ID,CYM,HEB,PoS,score
684,torri,להרוס,verbs,4.25
685,hysbysu,לעדכן,verbs,4.6
686,asteroid,כוכב,nouns,1.95
687,cnoi,לקרוא,verbs,0.0
688,persli,מאפין,nouns,0.45
689,angenrheidiol,חיוני,adjectives,4.9
690,stêc,עוף,nouns,1.45
691,hynod,משונה,adjectives,3.55
692,fflora,טבע,nouns,2.15
693,dydd  ,שחר,nouns,1.6
694,gwin,אלכוהול,nouns,2.1
695,concwest,מסע,nouns,0.85
696,cyflawni,לנצח,verbs,2.0
697,amau,לעצור,verbs,0.45
698,cân,מבצע,nouns,0.85
699,damcaniaeth,תיאוריה,nouns,5.05
700,ynys,חיל הים,nouns,0.3
701,bàth,עץ,nouns,0.1
702,reis,ילד,nouns,0.2
703,bowlen,צלחת,nouns,2.05
704,cyw iâr,סטייק,nouns,1.45
705,gêm,כיף,nouns,1.25
706,traddodiad,עבודת יד,nouns,0.6
707,byth,לעיתים רחוקות,adverbs,2.65
708,hyfforddwr,מורה,nouns,4.05
709,digon,גודש,nouns,3.85
710,taliad,מטבע,nouns,1.25
711,targed,חץ,nouns,1.05
712,machlud haul,זריחה,nouns,1.55
713,cyflwr,ילד,nouns,0.0
714,ffrio,לאפות,verbs,1.7
715,urddas,סמל,nouns,0.65
716,gadael,לעשות,verbs,0.35
717,difeddiannu,להזניח,verbs,0.65
718,herwgipio,לגנוב,verbs,2.8
719,derbyn,להאמין,verbs,1.4
720,diniwed,נאיבי,adjectives,5.4
721,ymadael,להמתין,verbs,0.2
722,braf,חברותי,adjectives,2.7
723,tad,הורה,nouns,3.2
724,drws,מטבח,nouns,0.55
725,gwraig,קש,nouns,0.1
726,pothell,הדגמה,nouns,0.0
727,pryderus,עצבני,adjectives,0.75
728,ysgoloriaeth,שכר לימוד,nouns,1.1
729,partner,בחור,nouns,1.2
730,yn ddiweddarach,לעולם לא,adverbs,0.45
731,gwrthod,למנוע,verbs,1.05
732,cwch,עץ,nouns,0.55
733,hen,חדש,adjectives,0.5
734,tŷ,אסם,nouns,0.85
735,pâr,זוג,nouns,5.75
736,blwch  ,כובע,nouns,0.05
737,difetha,להריח,verbs,0.05
738,dŵr,קרח,nouns,2.2
739,clecian,לחרוק,verbs,0.8
740,esgus,לדמיין,verbs,1.45
741,cath,אריה,nouns,2.15
742,creadigol,חדשני,adjectives,2.9
743,rhyddid,נווה מדבר,nouns,0.6
744,dŵr,בצורת,nouns,0.4
745,tystio,לשפוט,verbs,0.9
746,ecosystem,כלכלה,nouns,0.55
747,cymysgu,להכות,verbs,0.6
748,egluro,להבהיר,verbs,4.15
749,mygu,לחבק,verbs,0.45
750,dinistrio,להרוג,verbs,2.45
751,dringo,לטייל,verbs,2.3
752,dyddiad,יומן,nouns,1.85
753,cymysgu,לרכב,verbs,0.4
754,yn ffyddlon,בכנות,adverbs,1.8
755,damwain,חירום,nouns,1.85
756,erthygl,ספר,nouns,1.4
757,enillydd,נוכחות,nouns,0.0
758,llyfr,מידע,nouns,1.1
759,dwys,קשה,adjectives,0.55
760,cyfansoddiad,קיסר,nouns,0.35
761,lliain,בד,nouns,2.05
762,meddwl,להרהר,verbs,4.55
763,enwaediad,עורלה,nouns,1.3
764,tram,רכבת,nouns,2.7
765,dod â,להתלונן,verbs,0.0
766,gwyddoniaeth,פסיכולוגיה,nouns,1.85
767,tywynnu,לזרוח,verbs,4.45
768,yn rheolaidd,לעיתים,adverbs,1.05
769,caniatáu,להפריך,verbs,0.1
770,torf,מצעד,nouns,1.7
771,gadael,לקחת,verbs,0.2
772,ennill,להשיג,verbs,2.0
773,cwmwl,חלון,nouns,0.3
774,acwsteg,קול ,nouns,2.75
775,diflas,מוגן,adjectives,0.1
776,dychmygu,ליצור,verbs,1.2
777,stryd,מכונית,nouns,0.9
778,bywyd wedi marwolaeth,גיהנום,nouns,1.9
779,brenin,נסיכה,nouns,1.45
780,tramgwyddo,לדכא,verbs,0.85
781,beddrod,קבר,nouns,1.25
782,goleddfu,להסית,verbs,3.85
783,magma,הר געש,nouns,1.85
784,deigryn,עין,nouns,1.2
785,hen,טרי,adjectives,0.5
786,anifail,אדם,nouns,0.8
787,ceg,שיניים,nouns,1.3
788,cyrchwr,שבבים,nouns,0.15
789,cymeryd,לקבל,verbs,3.6
790,modfedd,יארד,nouns,1.55
791,piston,מנוע,nouns,2.15
792,yn ofalus,בזהירות,adverbs,3.4
793,canon,כדור,nouns,0.8
794,iâ,מים,nouns,2.2
795,sobr,שיכור,adjectives,0.55
796,anwybyddu,לחקור,verbs,0.3
797,llym,אכזרי,adjectives,1.65
798,mab,ילד,nouns,3.7
799,erlynydd,עורך דין,nouns,2.65
800,entropi,מידע,nouns,0.9
801,crys,קרדיגן,nouns,1.45
802,drwg  ,מצוין,adjectives,0.3
803,peiriannydd,עובד,nouns,2.0
804,barn,אמונה,nouns,4.15
805,hashnod,נושא,nouns,0.5
806,cwch,מכונית,nouns,1.2
807,tasg,כביש,nouns,0.0
808,byddin,צי,nouns,3.6
809,yn gyfrinachgar,בנימוס,adverbs,0.1
810,mab,אבא,nouns,1.45
811,ystafell wely,אמבטיה,nouns,1.5
812,pleidlais,יציאה,nouns,0.05
813,rhosyn,פרפר,nouns,0.45
814,yn gyfrifol,באופן אמין,adverbs,3.2
815,actores,שחקן,nouns,3.7
816,deall,להקשיב,verbs,1.45
817,profi,להסביר,verbs,1.55
818,ar hyn o bryd,בעדינות,adverbs,0.0
819,seiclon,טייפון,nouns,4.15
820,gallu,כוח,nouns,2.25
821,gwych,מהנה,adjectives,2.95
822,llymeitio,לבלוע,verbs,2.85
823,pêl,כדורעף,nouns,2.3
824,tarddu,לגלות,verbs,0.55
825,erfyn,להפציר,verbs,4.3
826,priodi,להתארס,verbs,1.55
827,reis,שעועית,nouns,1.15
828,madfall,נחש,nouns,1.65
829,sgriptiwr,טלויזיה,nouns,0.8
830,pobl,מסיבה,nouns,1.25
831,wisgi,אלכוהול,nouns,2.25
832,cath,חיית מחמד,nouns,2.7
833,priffordd,כביש,nouns,4.15
834,yn ochelgar,בקפידה,adverbs,3.4
835,cerflunydd,אחוזה,nouns,0.4
836,dewin,כבל,nouns,0.15
837,twnnel,שביל,nouns,1.25
838,afon,עמק,nouns,1.05
839,post,מהירות,nouns,0.3
840,dadlau,להתלונן,verbs,1.5
841,bacwn,ארוחה,nouns,1.05
842,chwilio,לשוטט,verbs,1.5
843,priffordd,מכונית,nouns,1.1
844,duw,כומר,nouns,1.05
845,amwys,לא ברור,adjectives,4.15
846,amhosib,אפשרי,adjectives,0.85
847,yn hawdd,בנוחיות,adverbs,1.35
848,tymer,דוקטור,nouns,0.0
849,diflas,חד,adjectives,0.9
850,yn hapus,נורא,adverbs,0.15
851,theori,היפותזה,nouns,5.05
852,gwneuthurio,לבנות,verbs,3.2
853,pren,אבן,nouns,0.45
854,bachgen,מצב,nouns,0.0
855,camera,המשך,nouns,0.0
856,campws,אוניברסיטה,nouns,1.8
857,credu,לדעת,verbs,1.4
858,perswadio,לרדוף,verbs,0.45
859,siampên,וויסקי,nouns,1.75
860,yn ddwfn,באופן משמעותי,adverbs,1.85
861,anodd ei gael,מצומצם,adjectives,1.55
862,chwedl,סאטירה,nouns,0.7
863,trafodaeth,טיעון,nouns,2.7
864,melys,חשמלי,adjectives,0.0
865,hawdd,קשה,adjectives,0.5
866,rhadlon,נכנס,adjectives,0.55
867,halen,מים,nouns,0.75
868,clwb,סימן,nouns,0.0
869,hylif,זרבובית,nouns,0.45
870,gosod mewn trefn,לארגן,verbs,5.4
871,pen,אף,nouns,1.15
872,yn ddiweddar,באופן מציאותי,adverbs,0.1
873,troed,יד,nouns,0.85
874,cerddoriaeth,מנגינה,nouns,3.35
875,coridor,דלת,nouns,0.85
876,busnes,חברה,nouns,3.6
877,erfyn,להשאיל,verbs,0.35
878,mynd  ,להגיע,verbs,1.05
879,heulwen,תפוח,nouns,0.0
880,llwybr,מנהרה,nouns,1.25
881,brithyll,גיטרה,nouns,0.05
882,ffuglen,ביוגרפיה,nouns,0.4
883,rhesymol,פיכח,adjectives,1.75
884,pry,דבורה,nouns,1.55
885,sigâr,קופסה,nouns,0.35
886,cryfder,עוצמה,nouns,4.55
887,cracio,לשבור,verbs,3.1
888,daeargryn,רעד,nouns,2.85
889,gweithredu,אלגברה,nouns,0.7
890,ffurfiol,ראוי,adjectives,1.0
891,arbed,לטבוע,verbs,0.6
892,ymddwyn,לציית,verbs,1.6
893,ystafell ymolchi,מטבח,nouns,1.2
894,cig,בקר,nouns,2.65
895,gwn,פרווה,nouns,0.05
896,cadw,לשכוח,verbs,0.45
897,ysgwyd,לבחוש,verbs,2.15
898,rheolaidd,בור,adjectives,0.05
899,methdaliad,כישלון,nouns,1.15
900,banciwr,פרקליט,nouns,1.0
901,agwedd,אמון,nouns,0.95
902,drwg,בינוני,adjectives,0.45
903,cydnabod,לדבר,verbs,0.5
904,wylo,לבכות,verbs,5.0
905,gŵr,אישה,nouns,1.85
906,bara,גבינה,nouns,0.85
907,anarchiaeth,כאוס,nouns,4.4
908,ethol,לבחור,verbs,3.55
909,realiti,הזיה,nouns,0.95
910,criced,אוהד,nouns,0.35
911,yn bendant,בוודאי,adverbs,5.75
912,caban,מחנה,nouns,1.1
913,anonest,ישר,adjectives,0.55
914,yn uchel,נורא,adverbs,0.1
915,drud,ביישן,adjectives,0.05
916,sudd,כף,nouns,0.3
917,personol,פרטי,adjectives,4.45
918,gwrthbrofi,להרשות,verbs,0.1
919,car,מונית,nouns,3.4
920,merch,אבא,nouns,1.1
921,doniol,משעמם,adjectives,0.5
922,sioe,מתמטיקאי,nouns,0.05
923,ysbyty,מיטה,nouns,0.85
924,rhannu,לכפול,verbs,1.1
925,deintydd,קולונל,nouns,0.3
926,yn gywir,נמרצות,adverbs,1.05
927,cyn,אחרי,adverbs,0.55
928,newyddion,רכילות,nouns,2.5
929,fel arfer,באופן שגרתי,adverbs,4.15
930,yn ofalus,בבטחה,adverbs,2.05
931,stoc,נכס,nouns,3.2
932,crochenwaith,קרמיקה,nouns,3.9
933,teiffŵn,ציקלון,nouns,4.15
934,drws,מסדרון,nouns,0.85
935,person,חיה,nouns,0.8
936,milwr,שלום,nouns,0.5
937,cyhyrau,לשון,nouns,1.6
938,calendr,חג,nouns,1.1
939,lleihau,לרדת,verbs,1.05
940,symudiad,פעילות,nouns,1.45
941,ceffyl,שור,nouns,1.25
942,pwnc,ספר,nouns,0.65
943,datgan,להודיע,verbs,4.3
944,rhyfedd,תמוה,adjectives,3.55
945,ymchwilio,לבחון,verbs,3.5
946,trin,לשלם,verbs,0.2
947,menyw,רעיה,nouns,4.85
948,cod,סמל,nouns,2.25
949,llwy,כוס,nouns,1.25
950,treth,הכנסה,nouns,0.9
951,hyfryd,משמח,adjectives,3.35
952,brysio,למהר,verbs,5.35
953,drôr,בגדים,nouns,0.85
954,sinema,אופרה,nouns,1.35
955,dinistrio,להציל,verbs,0.35
956,eglwys,מקהלה,nouns,1.05
957,osgoi,להתעלם,verbs,2.4
958,dodrefn,מיטה,nouns,1.95
959,dwys,מטומטם,adjectives,0.1
960,perfformiwr,שיר,nouns,0.85
961,lladd,להילחם,verbs,0.95
962,sgleinio,ליידע,verbs,0.0
963,het,קופסה,nouns,0.05
964,brechdan,ארוחה,nouns,1.35
965,cot,כובע,nouns,1.0
966,ffoi,לברוח,verbs,5.15
967,calendr,תאריך,nouns,1.85
968,cred,דעה,nouns,4.15
969,negyddol,לעולם לא,adjectives,1.1
970,rhesymeg,אינטליגנציה,nouns,2.35
971,arwyddluniau,כבוד,nouns,0.65
972,alltud,חייזר,nouns,2.9
973,tristwch,בושה,nouns,1.2
974,yn gadarn,בחוזקה,adverbs,1.7
975,cred,תפיסה,nouns,3.65
976,chwedl,מוסר,nouns,0.35
977,dynwared,ללכוד,verbs,0.15
978,apocalyps,שריפה,nouns,0.85
979,stori,עפרון,nouns,0.45
980,siwmper,כותנה,nouns,0.8
981,yn sicr,ברור,adverbs,2.85
982,lleng,צבא,nouns,3.2
983,cab,אוטובוס,nouns,1.55
984,teledu,תקשורת,nouns,1.45
985,darganfod,לאבד,verbs,0.55
986,anniben,מכוער,adjectives,1.15
987,yn fecanyddol,באופן אידיאלי,adverbs,0.15
988,cred,רושם,nouns,1.15
989,dianc,למצוא,verbs,0.45
990,pibell,מכונית,nouns,0.25
991,dod â,לשלוח,verbs,1.15
992,di-ffurf,חסר צורה,adjectives,5.5
993,anodd,קל,adjectives,0.45
994,drws,אחווה,nouns,0.0
995,cebl,קוסם,nouns,0.15
996,llyfr,חיבור,nouns,1.2
997,yn agos,באזור,adverbs,3.75
998,calibr,מטרייה,nouns,0.3
999,coginio,לערבב,verbs,1.15
1000,brenin,נפוטיזם,nouns,0.75
1001,haematoleg,פתולוגיה,nouns,1.95
1002,cwch,עוגן,nouns,1.2
1003,i ffwrdd,בבית,adverbs,0.75
1004,ffrog,ריקוד,nouns,0.5
1005,gwybod,לתת,verbs,0.0
1006,preifat,אישי,adjectives,4.45
1007,modur,סירה,nouns,1.05
1008,anarferol,נדיר,adjectives,4.45
1009,crisial,זכוכית,nouns,2.4
1010,ceisio,להשיג,verbs,0.9
1011,ysgwyd,לאסוף,verbs,0.1
1012,anniben,נקי,adjectives,0.45
1013,ci,חתול,nouns,1.3
1014,ffa,בייקון,nouns,0.6
1015,yn gyfforddus,בקלות,adverbs,1.35
1016,allwedd,בית,nouns,0.8
1017,dirmygus,לעגני,adjectives,3.8
1018,galaeth,אפליקציה,nouns,0.3
1019,strategydd,תחבולן,nouns,3.55
1020,moesol,אגדה,nouns,0.35
1021,cywilydd,בר מזל,adjectives,0.05
1022,creu,להפוך,verbs,0.4
1023,ardal,פינה,nouns,1.1
1024,dillad,ארון,nouns,0.95
1025,prin,יוצא דופן,adjectives,4.45
1026,priffordd,משימה,nouns,0.0
1027,emyn,תורה,nouns,0.5
1028,dechrau,החל,verbs,5.6
1029,llygoden,חולדה,nouns,2.95
1030,cardbord,נייר,nouns,2.4
1031,papur,קרטון,nouns,2.4
1032,claf,פגישה,nouns,0.55
1033,disgybl,סטודנט,nouns,5.05
1034,anghofio,לסלוח,verbs,1.5
1035,yn ofalus,באופן מסוכן,adverbs,0.5
1036,arbed,לאסוף,verbs,1.9
1037,rhad,מלוכלך,adjectives,0.4
1038,garddwrn,יד,nouns,1.65
1039,sefyllfa,נסיבות,nouns,4.8
1040,diog,עסוק,adjectives,0.4
1041,seciwlarydd,דת,nouns,1.2
1042,cyfarch,להופיע,verbs,0.3
1043,pêl-fas,כדורסל,nouns,2.15
1044,croen,אופניים,nouns,0.1
1045,gadael,לנסוג,verbs,3.15
1046,anwybyddu,להדפיס,verbs,0.1
1047,bowlen,זנב,nouns,0.0
1048,therapi,ביהביוריזם,nouns,1.55
1049,maddau,לשכוח,verbs,1.5
1050,hedfaniad,תעופה,nouns,3.0
1051,log,נוסחה,nouns,0.6
1052,sudd,תפוח,nouns,1.1
1053,asgwrn,מרפק,nouns,1.6
1054,cyfiawnder,זכות,nouns,0.55
1055,ufuddhau,להעניש,verbs,0.6
1056,cân,בלדה,nouns,4.15
1057,cynorthwyo,לסייע,verbs,5.85
1058,gwaed,וירוס,nouns,0.85
1059,car,אופניים,nouns,1.45
1060,coron,מפתח,nouns,0.0
1061,hurt,טיפש,adjectives,5.05
1062,dweud ar goedd,להודיע,verbs,4.55
1063,map,כיכר,nouns,0.5
1064,ergydio,לפספס,verbs,0.55
1065,pla,מדביר,nouns,1.05
1066,gair,מילון,nouns,1.8
1067,creu,להרוס,verbs,0.55
1068,tref,עיר,nouns,2.9
1069,brawd,ילד,nouns,2.1
1070,yn syth,פעם אחת,adverbs,0.75
1071,cawl,סעודה,nouns,1.55
1072,caled,קשיח,adjectives,3.4
1073,blanced,סערה,nouns,0.4
1074,gwellt,רעיה,nouns,0.1
1075,absenoldeb,נוכחות,nouns,0.95
1076,pennu,לחזות,verbs,0.9
1077,corn,תוף,nouns,0.6
1078,yn ddwfn,בעיקר,adverbs,0.65
1079,barnwr,בית משפט,nouns,1.3
1080,raced,כדור,nouns,1.1
1081,maddau,לקבל,verbs,1.25
1082,pwerus,חלש,adjectives,0.5
1083,sgrîn,פונולוגיה,nouns,0.15
1084,ochr,פסגה,nouns,0.45
1085,gwythïen,בחירה,nouns,0.0
1086,atodiad,סיומת,nouns,3.35
1087,sain,אקוסטיקה,nouns,2.75
1088,casglu,להחליט,verbs,1.1
1089,pwysig,הכרחי,adjectives,3.25
1090,treisgar,פאסיבי,adjectives,0.3
1091,cymryd yn ganiataol,לחזות,verbs,0.6
1092,cab,מכונית,nouns,3.4
1093,arwres,גיבור,nouns,3.7
1094,dioddefwr,טלפון,nouns,0.15
1095,trychineb,מוות,nouns,2.0
1096,newynog,עייף,adjectives,0.55
1097,creu,לדמיין,verbs,1.2
1098,plismon,פוליטיקאי,nouns,0.45
1099,yn llachar,מאוד,adverbs,0.2
1100,yn lleol,קרוב,adverbs,3.75
1101,môr,צונאמי,nouns,1.45
1102,amlwg,בולט,adjectives,3.7
1103,casáu,להינות,verbs,0.2
1104,cael,לשים,verbs,0.55
1105,lleihau,להנמיך,verbs,4.3
1106,ymerawdwr,חוקה,nouns,0.35
1107,siwgr,דבש,nouns,1.85
1108,mwynhau,לשנוא,verbs,0.2
1109,ofnadwy,רע,adjectives,3.65
1110,ystafell ddosbarth,פרוזדור,nouns,0.55
1111,cyfradd,ערך,nouns,1.7
1112,cryptogram,סמל,nouns,1.85
1113,cymysgu, לנער,verbs,2.15
1114,aer,מולקולה,nouns,1.0
1115,ymaflyd,לקחת,verbs,1.05
1116,barn,נטייה,nouns,2.6
1117,deall,לדעת,verbs,2.55
1118,ymbarél,קליבר,nouns,0.3
1119,mainc,כיסא,nouns,2.8
1120,morgrugyn,דבורה,nouns,1.25
1121,gwythïen,זרוע,nouns,0.75
1122,canrif,שנה,nouns,1.8
1123,gêm,טריק,nouns,1.25
1124,sobr,רציונלי,adjectives,1.75
1125,rhoi,לגנוב,verbs,0.45
1126,barnu,להעיד,verbs,0.9
1127,nerfus,בטוח,adjectives,0.15
1128,llunio,לעשות,verbs,3.2
1129,gwely,כיסא,nouns,0.9
1130,medal,מאמנים,nouns,0.65
1131,yn wallgof,בעצב,adverbs,0.6
1132,yn hyderus,בחשאיות,adverbs,0.6
1133,dadlau,לצעוק,verbs,1.9
1134,ffotoffon,הומופון,nouns,0.65
1135,mawr,כבד,adjectives,1.25
1136,archwilio,לרדוף,verbs,0.6
1137,chwerthin,לשיר,verbs,0.55
1138,coflaid,להתרכבל,verbs,3.7
1139,cwch,סיפון,nouns,1.45
1140,canon,רובה,nouns,2.45
1141,ffliwt,מוזיקה,nouns,1.3
1142,ystafell wely,מיטה,nouns,1.75
1143,gwych,יפה,adjectives,1.65
1144,petrusgar,זועם,adjectives,0.6
1145,rhoi,לקבל,verbs,0.55
1146,datgymalu,למות,verbs,0.35
1147,yn emosiynol,בעצב,adverbs,1.5
1148,gwaethygu,לתקוף,verbs,0.55
1149,gaeaf,קיץ,nouns,1.1
1150,gadael,להצטרף,verbs,0.55
1151,dweud celwydd,להאשים,verbs,0.7
1152,amddiffyn,להרוג,verbs,0.7
1153,dimai,גודל,nouns,0.1
1154,trist,גאה,adjectives,0.35
1155,gwydr,קריסטל,nouns,2.4
1156,heicio,לטפס,verbs,2.3
1157,car,מפעל,nouns,0.5
1158,llygoden,סיפון,nouns,0.05
1159,sgriblo,לכתוב,verbs,3.0
1160,stopio,לנהוג,verbs,0.5
1161,prawf,פסיקה,nouns,2.15
1162,mae'n debyg,בוודאי,adverbs,0.65
1163,papur,עץ,nouns,0.9
1164,perswadio,להתווכח,verbs,1.75
1165,twyll,פשע,nouns,2.45
1166,ergyd,מסגרת,nouns,0.0
1167,eliffant,דינוזאור,nouns,0.65
1168,amaethyddiaeth,מונוקלטורה,nouns,0.75
1169,yn ddiffuant,ברצינות,adverbs,1.0
1170,gwraig,אמא,nouns,2.15
1171,gwleidydd,נשיא,nouns,1.65
1172,degawd,עידן,nouns,1.85
1173,gwddf,עצם,nouns,0.7
1174,hyfforddiant,מלגה,nouns,1.1
1175,yn ddiffuant,ביושר,adverbs,5.0
1176,arolygu,לבחון,verbs,3.05
1177,ap,גלקסי,nouns,0.3
1178,yn uchel,ברכות,adverbs,0.25
1179,ffenestr,קרסול,nouns,0.0
1180,dechrau,ללכת,verbs,0.35
1181,modd,אופנה,nouns,0.4
1182,casglu,לנער,verbs,0.1
1183,ymgyrch,קוף,nouns,0.0
1184,codi,לגרור,verbs,1.4
1185,eglur,ברור,adjectives,2.85
1186,rhadlon,נחמד,adjectives,2.7
1187,dyn,בעל,nouns,3.5
1188,gwybodaeth,עיתון,nouns,1.3
1189,afal,מיץ,nouns,1.1
1190,pensil,סיפור,nouns,0.45
1191,dwywaith,תמיד,adverbs,0.65
1192,gogledd,מערב,nouns,1.5
1193,stopio,לשלוט,verbs,0.45
1194,enillydd,מועמד,nouns,1.0
1195,yn berffaith,באמת,adverbs,1.15
1196,drwg,אשם,adjectives,1.05
1197,pren,נייר,nouns,0.9
1198,modur,אוטו,nouns,5.45
1199,emyn,כבוש,nouns,0.25
1200,dweud celwydd,להכחיש,verbs,0.8
1201,darganfod,לחקור,verbs,2.4
1202,amnewidyn,החלפה,nouns,3.35
1203,cyd-beilot,תא הטייס,nouns,0.7
1204,dydd ,לילה,nouns,0.6
1205,llygoden,הנהלה,nouns,0.0
1206,cydnabod,להסכים,verbs,3.45
1207,meddwl,נוירוזה,nouns,1.2
1208,tyfu,להתרחב,verbs,4.35
1209,aros,לקבל,verbs,0.35
1210,cysyniad,אמונה,nouns,3.65
1211,angen,לסדר,verbs,0.15
1212,steil,אלגנטיות,nouns,2.2
1213,gadael,לפגוש,verbs,0.4
1214,anadlu,לחנוק,verbs,1.05
1215,cwrtais,ראוי,adjectives,1.0
1216,curo,לנצח,verbs,4.25
1217,mygu,לשרוף,verbs,1.2
1218,trafferthu,לפגוע,verbs,1.1
1219,ffenestr,ענן,nouns,0.3
1220,canlyn,לשכנע,verbs,0.45
1221,braich,שריר,nouns,1.0
1222,brawdgarwch,גברים,nouns,1.05
1223,gwneud,להפסיק,verbs,0.35
1224,arfordir,ספינת תותחים,nouns,0.65
1225,dysgu,להקשיב,verbs,1.1
1226,gwyliau,לוח שנה,nouns,1.1
1227,prynu,לשלם,verbs,2.6
1228,sâl,משוגע,adjectives,0.75
1229,stopio,להזהיר,verbs,1.1
1230,amherchnogi,להתכחש,verbs,1.95
1231,cadach,בגדים,nouns,1.55
1232,pêl,סל,nouns,0.55
1233,madfall,ממשלה,nouns,0.05
1234,reis,עוף,nouns,0.65
1235,yn sylfaenol,לחלוטין,adverbs,0.55
1236,taliad,הערה,nouns,0.05
1237,yn ddiffuant,לרוב,adverbs,0.25
1238,banereg,דגל,nouns,1.05
1239,baco,סיגריה,nouns,2.3
1240,tegan,קובייה,nouns,0.8
1241,casglu,לאגד,verbs,4.65
1242,ychwanegu,לכפול,verbs,1.55
1243,myfyriwr,פרופסור,nouns,1.05
1244,hunan,ביטחון,nouns,0.4
1245,coes,זרוע,nouns,1.3
1246,caffael,למצוא,verbs,1.45
1247,digartref,מיליונר,nouns,0.5
1248,ffens,קפיצה,nouns,0.35
1249,greddf,חוש,nouns,4.2
1250,soffa,בייסבול,nouns,0.1
1251,eilradd,משמעותי,adjectives,0.45
1252,bwrw,לצבוט,verbs,0.8
1253,glaw mân,גשם,nouns,3.45
1254,bore,יום,nouns,1.55
1255,asgwrn,לסת,nouns,1.3
1256,gwlyb,דביק,adjectives,0.7
1257,poen,נזק,nouns,1.9
1258,harmoni,פסנתר,nouns,1.0
1259,yn aeddfed,בחוכמה,adverbs,1.0
1260,glaswellt,טחב,nouns,1.6
1261,fflat,מלון,nouns,0.9
1262,cytundeb,חוזה,nouns,5.25
1263,cerbyd,אוטובוס,nouns,2.45
1264,ffabrig,בגדים,nouns,2.0
1265,gwern,אגם,nouns,1.35
1266,moleciwl,אטום,nouns,2.2
1267,duw,שטן,nouns,1.3
1268,hydoddi,לערבב,verbs,1.8
1269,styden,בחור,nouns,1.1
1270,coleg,כיתה,nouns,1.3
1271,argraff,אמונה,nouns,1.15
1272,hwyliau,כעס,nouns,0.75
1273,mynychu,לשלוח,verbs,0.45
1274,gwrtaith,צמיחה,nouns,1.05
1275,hapusrwydd,שלום,nouns,0.9
1276,cenedlaethol,גדול,adjectives,0.65
1277,arogli,לקלקל,verbs,0.05
1278,codiad haul,שקיעה,nouns,1.55
1279,atgoffa,למכור,verbs,0.0
1280,rabi,מורה,nouns,2.55
1281,cartref,מדינה,nouns,0.65
1282,reidio,לרוץ,verbs,0.55
1283,dodrefn,דירה,nouns,0.8
1284,germ,פתוגן,nouns,3.85
1285,amddiffyn,לעזור,verbs,1.35
1286,egluro,לשוחח,verbs,1.45
1287,llawr,סיפון,nouns,2.1
1288,gŵr bonheddig,גברת,nouns,0.9
1289,rhyfelgarwch,קרב,nouns,2.55
1290,sylw,עניין,nouns,2.3
1291,cyflog,כסף,nouns,3.25
1292,gwerthfawr,מיוחד,adjectives,2.55
1293,cyfathrebu,שפה,nouns,1.9
1294,creu,לעשות,verbs,4.35
1295,archwilio,לחקור,verbs,3.5
1296,barn,רעיון,nouns,2.7
1297,dec,עכבר,nouns,0.05
1298,llygoden fawr,עכבר,nouns,2.95
1299,gwraig,בעל,nouns,1.85
1300,fflat,רהיט,nouns,0.8
1301,trafodaeth,דיפלומטיה,nouns,2.1
1302,tad,בן,nouns,1.45
1303,cul,מלוכלך,adjectives,0.0
1304,sudd,מילקשייק,nouns,1.55
1305,ffynhonnell,קופסה,nouns,0.0
1306,diweddar,רענן,adjectives,3.15
1307,hela,לחפש,verbs,2.2
1308,gorsedd,חרב,nouns,0.65
1309,masarnen,אלון,nouns,1.85
1310,braich,עצם,nouns,1.45
1311,trefnu,לאסוף,verbs,1.45
1312,swydd,כלי,nouns,0.4
1313,yn hysbys,לאומי,adjectives,0.6
1314,realiti,אשליה,nouns,0.6
1315,cais,מועמד,nouns,2.1
1316,cyfrifiadur,מכונה,nouns,2.25
1317,oren,פרי הדר,nouns,3.15
1318,niwroseicoleg,פרפסיכולוגיה,nouns,1.65
1319,byth,בכנות,adverbs,0.0
1320,smart,מטומטם,adjectives,0.5
1321,pili-pala,ורד,nouns,0.45
1322,bachgen,בן,nouns,3.7
1323,diniwed,חופשי,adjectives,0.1
1324,amddiffyn,לכסות,verbs,1.3
1325,gweithiwr,מכונאי,nouns,2.0
1326,cansen siwgr,קומביין,nouns,0.25
1327,yn amlwg,כביכול,adverbs,0.65
1328,datgelwyd,מכוסה,adjectives,0.5
1329,athro,מדריך,nouns,4.05
1330,trychineb,תאונה,nouns,3.75
1331,lori,חבילה,nouns,0.7
1332,yn beryglus,בזהירות,adverbs,0.5
1333,yn gyfrinachol,בבטחה,adverbs,0.6
1334,wal,קישוט,nouns,0.5
1335,chwyrnu,להתעורר,verbs,0.5
1336,dwywaith,הרבה,adverbs,0.75
1337,gwn,מחברת,nouns,0.0
1338,salad,דיאטה,nouns,1.1
1339,caban,בקתה,nouns,3.6
1340,clun,שפה,nouns,0.8
1341,yn wael, בענווה,adverbs,0.3
1342,ceisio,לחשוב,verbs,0.4
1343,aloi,פלדה,nouns,2.3
1344,coginio,לאבד,verbs,0.0
1345,maes awyr,מטוס,nouns,1.65
1346,gwrando,ללמוד,verbs,1.1
1347,enillydd,גבר,nouns,0.5
1348,partner,ילד,nouns,0.55
1349,anghofio,להזכיר,verbs,0.55
1350,crebachu,להקטין,verbs,3.05
1351,balŵn,אמבטיה,nouns,0.05
1352,plisman,טייס,nouns,0.65
