ID,FIN,RUS,PoS,score
712,tukahduttaa,отрекаться,verbs,0.35
713,helmi,деньги,nouns,0.35
714,ystävä,приятель,nouns,4.55
715,sänky,комната,nouns,0.8
716,köyhä,гордый,adjectives,0.05
717,ateria,талия,nouns,0.05
718,hermo,тело,nouns,0.8
719,isä,родитель,nouns,3.55
720,yltäkylläisyys,множество,nouns,4.95
721,paraati,толпа,nouns,1.65
722,vartalo,рука,nouns,1.2
723,viides,первый,adjectives,0.05
724,piparminttu,жвачка,nouns,0.6
725,rangaista,ударять,verbs,0.6
726,tytär,ребенок,nouns,1.7
727,niitty,пастбище,nouns,3.05
728,käsivarsi,нога,nouns,1.0
729,keraaminen esine,глиняная посуда,nouns,3.9
730,yhdistelmä,соединение,nouns,3.15
731,ulkomaalainen,переводчик,nouns,0.35
732,kiistellä,соглашаться,verbs,0.3
733,algebra,операция,nouns,0.05
734,maali,поиск,nouns,0.55
735,fakta,доказательство,nouns,3.2
736,herra,госпожа,nouns,1.4
737,arvokkuus,значки,nouns,0.3
738,pehmeästi,твердо,adverbs,0.25
739,sekularisti,религия,nouns,0.45
740,kuvaaja,диаграмма,nouns,3.6
741,pilvi,дымка,nouns,2.8
742,tuhota,убивать,verbs,3.85
743,päälevy,материнская плата,nouns,3.8
744,ovi,братство,nouns,0.0
745,shamppanja,виски,nouns,1.25
746,kokoontua,встречаться,verbs,3.6
747,hirveä,плохой,adjectives,4.1
748,sikari,пачка,nouns,0.6
749,käsikirja,путеводитель,nouns,4.6
750,kyttä,штурман,nouns,0.45
751,tyhmä,сообразительный,adjectives,0.35
752,tölkki,бутылка,nouns,1.4
753,lisätä,соединять,verbs,1.35
754,auto ,автострада,nouns,0.85
755,tulla,казаться,verbs,0.8
756,ranta,море,nouns,1.1
757,tähdätä,ударять,verbs,1.05
758,historiografi,историк,nouns,3.2
759,aikuinen,ребенок,nouns,0.9
760,neule,пиджак,nouns,1.6
761,satunnaisesti,регулярно,adverbs,0.25
762,jättää,подождать,verbs,0.25
763,auringonlasku,рассвет,nouns,0.9
764,taksi,автобус,nouns,1.25
765,paperi,плакат,nouns,2.25
766,kissa,собака,nouns,0.9
767,tarina,песня,nouns,0.4
768,kiertäminen,багаж,nouns,0.65
769,jaardi,дюйм,nouns,1.6
770,arvioida,анализировать,verbs,3.95
771,kone,двигатель,nouns,2.6
772,laiton,законный,adjectives,0.3
773,teräs,сплав,nouns,2.65
774,nolla,бесконечность,nouns,0.25
775,tukki,формула,nouns,0.2
776,hyönteinen,пчела,nouns,2.45
777,terapia,бихевиоризм,nouns,0.6
778,niska,позвоночник,nouns,1.35
779,varmasti,точно,adverbs,2.8
780,ikuisuus,ноль,nouns,0.25
781,aloittaa,прекращать,verbs,0.25
782,sateenvarjo,калибр,nouns,0.0
783,selvin päin oleva,рациональный,adjectives,1.55
784,suorittaa loppuun,решать,verbs,2.3
785,makeinen,яблоко,nouns,0.55
786,viski,алкоголь,nouns,2.5
787,huuhdella,мыть,verbs,2.7
788,yhteiskunta,культура,nouns,1.5
789,lentokone,аэропорт,nouns,1.05
790,rankka,твердый,adjectives,3.05
791,ovi,окно,nouns,0.95
792,kaura,поле,nouns,0.85
793,sihteeri,женщина,nouns,0.75
794,vahvuus,мощь,nouns,3.8
795,varma,самоуверенный,adjectives,2.75
796,tunne,настроение,nouns,1.75
797,lehti,дерево,nouns,1.2
798,suklaa,пирог,nouns,0.7
799,kirja,рукопись,nouns,1.75
800,aamu,день,nouns,1.65
801,kallis,стеснительный,adjectives,0.0
802,liiketoiminta,промышленность,nouns,1.75
803,nöyryyttää,утешать,verbs,0.05
804,laskeutua,отходить,verbs,0.7
805,illallinen,трапеза,nouns,3.35
806,passiivisesti,молча,adverbs,1.35
807,tiedustella,искать,verbs,1.65
808,järkeistää,думать,verbs,2.05
809,alkoholi,бренди,nouns,2.5
810,välttää,игнорировать,verbs,3.6
811,omistaa,брать,verbs,2.05
812,rajaviiva,граница,nouns,3.7
813,polku,тоннель,nouns,0.7
814,armahtaa,прощать,verbs,4.15
815,henki,бог,nouns,2.15
816,joustava,движимый,adjectives,1.0
817,säilytysastia,платформа,nouns,0.15
818,öljy,норка,nouns,0.3
819,isä,брат,nouns,1.2
820,lastattu,тяжелый,adjectives,2.05
821,pikainen,быстрый,adjectives,4.25
822,tuhota,спасти,verbs,0.2
823,sitrushedelmä,апельсин,nouns,4.05
824,moottori,механизм,nouns,2.6
825,kuolla,закапывать,verbs,0.95
826,dermatiitti,экзема,nouns,3.55
827,levoton,молодой,adjectives,0.55
828,hiljattainen,новый,adjectives,2.7
829,tunnustus,отрицание,nouns,0.2
830,väkivaltainen,радикальный,adjectives,1.35
831,sitoa,объединять,verbs,3.1
832,auto,датчик,nouns,0.65
833,pilvi,туман,nouns,2.1
834,antaa,занимать,verbs,1.6
835,ujo,напуганный,adjectives,0.7
836,kutistua,расти,verbs,0.2
837,kiistää,принимать,verbs,0.25
838,kuljettaja,пилот,nouns,2.4
839,vilja,пшеница,nouns,3.1
840,ilmaista,сказать,verbs,3.25
841,kehys,удар,nouns,0.0
842,minuutti,секунда,nouns,1.65
843,lujasti,мягко,adverbs,0.25
844,kartano,скульптор,nouns,0.3
845,galaksi,астроном,nouns,1.1
846,vaivata,обижать,verbs,0.8
847,parasetamoli,бронхит,nouns,0.5
848,galaksi,приложение,nouns,0.3
849,nilkka,кость,nouns,1.4
850,torjua,осуждать,verbs,0.9
851,raha,жемчуг,nouns,0.35
852,dinosaurus,слон,nouns,1.0
853,pyrkiä,предрешать,verbs,0.0
854,aikoa,пытаться,verbs,2.5
855,vihje,слово,nouns,0.15
856,kokoontua,собирать,verbs,0.95
857,olla peräisin,открывать,verbs,0.2
858,kortti,бридж,nouns,0.5
859,vastaanottaa,ловить,verbs,0.75
860,passiivinen,агрессивный,adjectives,0.15
861,moottoritie,дорога,nouns,4.4
862,peitetty,тканевый,adjectives,1.5
863,pariskunta,пара,nouns,5.05
864,viikottainen,ежемесячный,adjectives,0.75
865,alkoholi,вино,nouns,2.35
866,kappale,ночь,nouns,0.0
867,armeija,легион,nouns,2.25
868,lannistaa,проваливать,verbs,0.7
869,heliumi,воздух,nouns,1.25
870,demoni,чудовище,nouns,4.4
871,pohjoinen,юг,nouns,0.8
872,kissa,кролик,nouns,0.8
873,ilmailu,авионики,nouns,1.45
874,epärehellinen,правдивый,adjectives,0.2
875,kohta,письмо,nouns,0.5
876,auringonnousu,закат,nouns,0.9
877,tarkkailla,смотреть,verbs,3.45
878,meri,дельта,nouns,0.75
879,valmistaa,становиться,verbs,0.4
880,nipistää,бить,verbs,0.85
881,menettää,готовить,verbs,0.0
882,aikakausi,десятилетие,nouns,1.6
883,ikkuna,лодыжка,nouns,0.0
884,sana,ключ,nouns,0.15
885,kuorsata,проснуться,verbs,0.3
886,vene,мотор,nouns,0.8
887,nälkäinen,иссохший,adjectives,1.1
888,kasvisto,природа,nouns,2.65
889,muodoton,аморфный,adjectives,3.65
890,erottaa,отходить,verbs,0.4
891,juosta,ездить,verbs,0.65
892,älykkyys,мудрость,nouns,3.7
893,kovakouraisesti,надежно,adverbs,0.1
894,näyttelijä,многогранник,nouns,0.05
895,sattua,пинать,verbs,1.55
896,helppo,жесткий,adjectives,0.05
897,kirjallinen muotokuva,спектакль,nouns,0.5
898,sirut,курсор,nouns,0.1
899,ilmiselvästi,благоразумно,adverbs,0.35
900,laulaa,смеяться,verbs,0.35
901,yrittää,преуспевать,verbs,0.6
902,lähettää,запускать,verbs,2.4
903,kuningas,правитель,nouns,4.0
904,lemma,слог,nouns,0.65
905,vastaanottaa,давать,verbs,0.3
906,matriisi,вектор,nouns,1.4
907,viisumi,глобализм,nouns,0.45
908,työntää,обвинять,verbs,0.0
909,muinainen,современный,adjectives,0.25
910,pari,чета,nouns,5.05
911,elin,печень,nouns,2.1
912,ompelulanka,пряжа,nouns,3.7
913,kiistää,лгать,verbs,1.05
914,tunnustaa,уведомлять,verbs,1.05
915,purra,драться,verbs,0.85
916,kovakouraisesti,минимально,adverbs,0.05
917,rauha,счастье,nouns,1.55
918,organisoida,становиться,verbs,0.15
919,heppu,друг,nouns,1.25
920,globalismi,виза,nouns,0.45
921,puhelin,будка,nouns,0.45
922,rikollinen,правонарушитель,nouns,5.1
923,voimakas tuuli,покрывало,nouns,0.0
924,tyyli,мода,nouns,3.35
925,vene,автомобиль,nouns,0.75
926,mennä,продавать,verbs,0.5
927,kirkkaasti,значительно,adverbs,1.0
928,luoda,разрушать,verbs,0.25
929,vihata,наслаждаться,verbs,0.15
930,huutaa,спорить,verbs,0.75
931,maito,сок,nouns,0.8
932,karja,корова,nouns,2.75
933,luokka,колледж,nouns,0.7
934,kangas,одежда,nouns,1.95
935,vapina,землетрясение,nouns,0.9
936,pensas,цветок,nouns,1.65
937,koriste,конверт,nouns,0.15
938,opetussuunnitelma,экзамен,nouns,0.6
939,harvinainen,экзотичный,adjectives,4.8
940,veljenpoika,тетя,nouns,0.8
941,kiirastuli,загробный мир,nouns,1.85
942,realistisesti,недавно,adverbs,0.0
943,mausteinen,хороший,adjectives,0.45
944,moottoritie,автомобиль,nouns,0.85
945,makeinen,корица,nouns,0.4
946,hampaat,кость,nouns,1.65
947,henkilö,персонаж,nouns,3.1
948,tietoisuus,внимание,nouns,1.5
949,peukalo,кисть,nouns,1.5
950,mies,дядя,nouns,2.55
951,pysähtyä,ехать,verbs,0.15
952,muotoutumaton,униформа,adjectives,0.25
953,pullo,баллончик,nouns,1.4
954,prinssikunta,герцогство,nouns,2.25
955,sotkuinen,порядоченный,adjectives,0.3
956,sekava,организованный,verbs,0.2
957,valmistaa,создавать,verbs,4.3
958,vuosi,век,nouns,1.35
959,ranta,остров,nouns,0.8
960,onnistua,пытаться,verbs,0.6
961,ilmiselvästi,видимо,adverbs,3.6
962,olla erilainen,соответствовать,verbs,0.0
963,särkyvä,бесстрастный,adjectives,0.15
964,pilli,задача,nouns,0.05
965,pysähtyä,предупреждать,verbs,0.25
966,hattu,пальто,nouns,1.1
967,luonnollisesti,тихо,adverbs,0.2
968,anoa,занимать,verbs,0.8
969,luu,локоть,nouns,1.05
970,avain,дом,nouns,0.6
971,rannikko,побережье,nouns,4.35
972,luoda,представлять,verbs,0.75
973,vektori,матрица,nouns,1.4
974,näyttö,фонология,nouns,0.1
975,talo,амбар,nouns,1.7
976,mylly,семя,nouns,0.65
977,pohja,ступня,nouns,0.1
978,kurssi,желудок,nouns,0.1
979,hattu,коробка,nouns,0.3
980,pitkä,короткий,adjectives,0.25
981,hankkia,находить,verbs,0.85
982,rankka,ловкий,adjectives,0.65
983,älykkyys,проницательность,nouns,2.65
984,symboli,криптограмма,nouns,1.95
985,tragedia,смерть,nouns,1.55
986,luotettavasti,ответственно,adverbs,3.15
987,kirkua,вопить,verbs,4.9
988,rationaalinen,трезвый,adjectives,1.55
989,eleganssi,стиль,nouns,4.05
990,raamattu,книга,nouns,2.05
991,tauti,опасность,nouns,0.45
992,pappi,бог,nouns,1.0
993,epäonnistua,полагаться,verbs,0.1
994,kansi,пол,nouns,1.15
995,etsiä,находить,verbs,1.55
996,päivällinen,суп,nouns,1.35
997,alue,регион,nouns,4.5
998,oppia,воспитывать,verbs,1.1
999,nenä,голова,nouns,1.05
1000,retki,путешествие,nouns,4.4
1001,aivot,разум,nouns,1.95
1002,joskus,часто,adverbs,0.85
1003,filmi,фильм,nouns,4.75
1004,peittää,маскировать,verbs,3.15
1005,syyllinen,честный,adjectives,0.05
1006,juhla,электорат,nouns,1.0
1007,julkistamaton,открытый,adjectives,0.25
1008,aggressiivinen,изогнутый,adjectives,0.0
1009,keilaaminen,игрок в боулинг,nouns,1.85
1010,päättää,судить,verbs,1.5
1011,itseluottamus,настрой,nouns,1.75
1012,kaivos,камень,nouns,0.3
1013,etsintä,цель,nouns,0.55
1014,hienovaraisesti,спокойно,adverbs,0.55
1015,kiistellä,вопить,verbs,0.75
1016,jäädä,покидать,verbs,0.55
1017,topologia,структура,nouns,2.55
1018,repiä,одевать,verbs,0.05
1019,kova,легкий,adjectives,0.25
1020,ottaa,завладевать,verbs,2.05
1021,huonosti,смиренно,adverbs,0.05
1022,yhdistää,делить,verbs,0.35
1023,halata,выжимать,verbs,0.75
1024,patologia,гематология,nouns,1.2
1025,lehti,саженец,nouns,1.05
1026,suoja,хижина,nouns,1.65
1027,suojella,сохранять,verbs,1.35
1028,hakemus,кандидат,nouns,0.6
1029,häpeissään oleva,счастливый,adjectives,0.05
1030,kemia,теория,nouns,0.7
1031,ilta,закат,nouns,2.15
1032,viini,спиртное,nouns,2.55
1033,menettää,сохранять,verbs,0.15
1034,dominoida,побеждать,verbs,2.2
1035,häpeä,печаль,nouns,1.05
1036,kiistää,избежать,verbs,0.55
1037,kuutio,игрушка,nouns,0.5
1038,keskinkertainen,скучный,adjectives,1.65
1039,yrittää,думать,verbs,0.3
1040,pohja,верх,nouns,0.35
1041,venyvä,гибкий,adjectives,4.55
1042,totella,слушаться,verbs,3.0
1043,mennä,путешествовать,verbs,2.65
1044,kirja,история,nouns,1.35
1045,jäytää,носить,verbs,0.0
1046,etsiä,спрашивать,verbs,1.65
1047,niellä,пить,verbs,1.9
1048,muuttaa,менять,verbs,2.75
1049,lähettää,идти,verbs,0.15
1050,mahdollisesti,оптимистически,adverbs,1.0
1051,ihmiset,население,nouns,3.15
1052,väkijoukko,парад,nouns,1.65
1053,vartalo,позвоночник,nouns,1.25
1054,näyttää,становиться,verbs,0.8
1055,puhdas,беспорядочный,adjectives,0.2
1056,matkia,захватить,verbs,0.1
1057,tunneli,дорожка,nouns,0.7
1058,lainata,хотеть,verbs,0.4
1059,toimeksianto,задача,nouns,4.5
1060,kestävyys,повязка,nouns,0.0
1061,ovi,присутствие,nouns,0.1
1062,tuoda,посылать,verbs,0.55
1063,tavu,лемма,nouns,0.65
1064,kieli,щека,nouns,1.25
1065,määrittää,уточнить,verbs,3.4
1066,hiiri,контейнер,nouns,0.0
1067,selkäranka,тело,nouns,1.25
1068,tavoitella,убеждать,verbs,0.9
1069,suuri,огромный,adjectives,4.9
1070,sattua,нападать,verbs,0.5
1071,dollari,миллионер,nouns,0.9
1072,vapauttaa,нажимать,verbs,0.0
1073,sanakirja,энциклопедия,nouns,2.55
1074,ase,пушка,nouns,2.55
1075,hienotunteisesti,теперь,adverbs,0.0
1076,olut,шампанское,nouns,1.15
1077,luotettavasti,пассивно,adverbs,0.05
1078,kirja,информация,nouns,1.1
1079,hallitsija,король,nouns,4.0
1080,kasvaa,расширяться,verbs,3.25
1081,yrtti,марихуана,nouns,2.35
1082,keinotekoinen,фальшивый,adjectives,4.3
1083,uudelleenhautaaminen,гробница,nouns,1.35
1084,laatikko,источник,nouns,0.0
1085,vamppyyri,летучая мышь,nouns,0.85
1086,mukava,великодушный,adjectives,1.2
1087,yleensä,нерегулярно,adverbs,0.3
1088,etsiä,странствовать,verbs,1.05
1089,salamahyökkäys,атака,nouns,3.65
1090,myöntyä,принимать,verbs,3.05
1091,tervehtiä,встречать,verbs,1.9
1092,eversti,дантист,nouns,0.4
1093,unohtaa,узнавать,verbs,0.3
1094,loistaa,светиться,verbs,4.8
1095,mennä,начинать,verbs,0.5
1096,korkeus,преобразование,nouns,0.0
1097,amerikkalainen jalkapallo,развлечение,nouns,0.7
1098,laakso,депрессия,nouns,0.0
1099,valloitus,битва,nouns,1.95
1100,lyhyt,длинный,adjectives,0.25
1101,rehellisesti,никогда,adverbs,0.0
1102,miellyttää,умолять,verbs,0.75
1103,sääntö,конвенция,nouns,1.7
1104,anoa,просить,verbs,3.45
1105,lukea,укусить,verbs,0.0
1106,ilmiselvä,заметный,adjectives,2.45
1107,silta,автомобиль,nouns,0.35
1108,liittyä,жениться,verbs,0.85
1109,itsepäinen,глупый,adjectives,0.7
1110,älykäs,тупой,adjectives,0.25
1111,pitkästynyt,скучный,adjectives,2.35
1112,monokulttuuri,сельское хозяйство,nouns,0.45
1113,hissi,коробка,nouns,0.35
1114,laite,кастрюля,nouns,0.35
1115,teollisuus,предприятие,nouns,1.75
1116,havaintokyky,видение,nouns,3.95
1117,keuhko,печень,nouns,1.2
1118,ranta,побережье,nouns,2.95
1119,hankkia,украсть,verbs,0.8
1120,maja,убежище,nouns,1.65
1121,äiti,жена,nouns,1.8
1122,tapa,манера,nouns,3.15
1123,hämmästyttävä,грязный,adjectives,0.0
1124,suuri,большой,adjectives,5.55
1125,lainata,давать,verbs,1.6
1126,tuho,построение,nouns,0.35
1127,paikantaa,находить,verbs,4.45
1128,kuolla,распадаться,verbs,0.9
1129,valtaistuin,меч,nouns,0.15
1130,sairaala,койка,nouns,0.6
1131,nainen,джинсы,nouns,0.15
1132,verrata,анализировать,verbs,2.65
1133,lihas,рука,nouns,1.15
1134,jäädä,достигать,verbs,0.05
1135,täti,дядя,nouns,1.2
1136,ilmeisesti,очевидно,adverbs,3.6
1137,kerran,немедленно,adverbs,0.15
1138,dollari,народ,nouns,0.0
1139,kuolema,бедствие,nouns,1.15
1140,mennä,входить,verbs,0.95
1141,rangaista,подчиниться,verbs,0.3
1142,naamio,вечеринка,nouns,0.5
1143,tuntea,верить,verbs,1.2
1144,symboli,знак,nouns,4.95
1145,saada,назначать,verbs,0.25
1146,vartalo,грудь,nouns,1.85
1147,ajatella,решать,verbs,1.85
1148,antaa,отрекаться,verbs,0.0
1149,epämääräinen,неясный,adjectives,4.5
1150,orja,слуга,nouns,2.0
1151,poika,партнер,nouns,0.85
1152,läsnäolo,победитель,nouns,0.05
1153,sulaa,растворяться,verbs,2.7
1154,ponnistus,трудность,nouns,1.7
1155,muffini,петрушка,nouns,0.3
1156,lainata,продавать,verbs,0.2
1157,biologi,микроскоп,nouns,0.75
1158,oppilas,учащийся,nouns,5.3
1159,neuroosi,разум,nouns,0.45
1160,tähti,яркость,nouns,1.1
1161,kuva,отражение,nouns,1.85
1162,pitää päällä,рвать,verbs,0.05
1163,eri tavalla,терминально,adverbs,0.15
1164,kivi,дерево,nouns,0.45
1165,uskonto,секулярист,nouns,0.45
1166,ase,мех,nouns,0.05
1167,kirje,абзац,nouns,0.5
1168,antaa lupa,утвердить,verbs,2.6
1169,pelästynyt,неуверенный,adjectives,1.1
1170,osallistua,посылать,verbs,0.25
1171,pilvi,озеро,nouns,0.3
1172,palvelustyttö,девочка,nouns,2.3
1173,pesäpallo,братство,nouns,0.3
1174,aloittaa,идти,verbs,0.5
1175,suisto,море,nouns,0.75
1176,merkki,символ,nouns,4.95
1177,virsi,завоевание,nouns,0.0
1178,kitara,скрипка,nouns,1.4
1179,luu,лодыжка,nouns,1.4
1180,osua,привлекать,verbs,0.0
1181,liha,бутерброд,nouns,0.8
1182,esiintyjä,песня,nouns,0.95
1183,potkaista,ушибить,verbs,1.55
1184,naida,объединяться,verbs,1.55
1185,johto,провод,nouns,4.0
1186,moittia,осуждать,verbs,4.2
1187,paha,потрясающий,adjectives,0.2
1188,ovi,проем,nouns,3.2
1189,tietokone,диск,nouns,0.9
1190,matkustaa,ходить,verbs,2.65
1191,heppu,девушка,nouns,0.55
1192,kaataa,отекать,verbs,0.6
1193,tehtävä,остров,nouns,0.0
1194,elefantti,компас,nouns,0.05
1195,kieltää,останавливать,verbs,0.55
1196,tylsä,смешной,adjectives,0.25
1197,vaimo,солома,nouns,0.0
1198,hampaat,молоток,nouns,0.05
1199,oikeudenkäynti,проверка,nouns,0.4
1200,varkaus,преступлениe,nouns,2.8
1201,jättää,идти,verbs,1.25
1202,satiiri,миф,nouns,0.6
1203,härkä,конь,nouns,1.2
1204,antropologia,археология,nouns,1.15
1205,hede,опыление,nouns,1.3
1206,lähettää,приносить,verbs,0.55
1207,organisoida,собирать,verbs,1.6
1208,täti,племянник,nouns,0.8
1209,ottaa,красть,verbs,1.2
1210,merimies,капитан,nouns,2.15
1211,huone,ванна,nouns,0.8
1212,lattia,крыша,nouns,0.75
1213,pelaaja,тренер,nouns,0.8
1214,ruohoalue,луг,nouns,3.05
1215,oppia,спутывать,verbs,0.0
1216,kallisarvoinen,священный,adjectives,2.45
1217,tuomita,давать показания,verbs,0.3
1218,huolellisesti,осторожно,adverbs,3.05
1219,auringonlasku,стол,nouns,0.0
1220,uskomattomasti,плотно,adverbs,0.1
1221,ilo,гордость,nouns,1.6
1222,pappi,пророк,nouns,1.25
1223,kääre,убежище,nouns,0.1
1224,rehellisesti,искренне,adverbs,4.6
1225,kursori,чип,nouns,0.1
1226,mukava,жестокий,adjectives,0.1
1227,epävarma,нуждающийся,adjectives,0.2
1228,villapaita,хлопок,nouns,0.9
1229,luku,цитоплазма,nouns,0.0
1230,onneton,рассерженный,adjectives,0.7
1231,syvästi,значительно,adverbs,0.9
1232,yö,глава,nouns,0.0
1233,muksu,мальчик,nouns,2.75
1234,ahdistuneesti,нервно,adverbs,3.35
1235,ilmeisesti,просто,adverbs,0.75
1236,apina,кампания,nouns,0.0
1237,päättää,представлять,verbs,0.7
1238,ilmoittaa,признавать,verbs,1.05
1239,luonne,врач,nouns,0.15
1240,anarkia,хаос,nouns,4.0
1241,jakku,свитер,nouns,1.6
1242,kirurgia,сердце,nouns,0.7
1243,olettaa,предсказывать,verbs,2.0
1244,persilja,маффин,nouns,0.3
1245,idea,образ,nouns,1.35
1246,tulla sisään,покидать,verbs,0.0
1247,sateenvarjo,нагреватель,nouns,0.05
1248,pelto,овёс,nouns,0.85
1249,haistaa,портить,verbs,0.05
1250,etsiä,охотиться,verbs,1.75
1251,selittää,обсуждать,verbs,1.3
1252,ranne,рука,nouns,1.75
1253,löytää,искать,verbs,1.55
1254,lumi,лёд,nouns,2.7
1255,myöhemmin,никогда,adverbs,0.6
1256,vaikeus,усилие,nouns,1.7
1257,mosaiikki,базилика,nouns,0.4
1258,peukalo,ноготь,nouns,1.55
1259,lähettää,посещать,verbs,0.25
1260,urheilija,бегун,nouns,2.45
1261,leipä,сыр,nouns,0.85
1262,lisko,правительство,nouns,0.0
1263,haudata,умереть,verbs,0.95
1264,auto,судно,nouns,0.75
1265,harvinainen,немой,adjectives,0.0
1266,ymmärrys,ум,nouns,2.65
1267,antaa,знать,verbs,0.35
1268,sovellus,галакси,nouns,0.3
1269,mahtava,ужасный,adjectives,0.2
1270,sokeriruoko,комбайн,nouns,0.2
1271,jatko-osa,камера,nouns,0.0
1272,energia,батарейка,nouns,1.6
1273,televisio,сценарист,nouns,0.75
1274,evakuoida,определить,verbs,0.15
1275,raapustaa,записывать,verbs,2.7
1276,juoda,перемешать,verbs,0.05
1277,sana,словарь,nouns,1.05
1278,hoikka,узкий,adjectives,2.85
1279,letku,сад,nouns,0.65
1280,hyvä,пряный,adjectives,0.45
1281,pilvi,погода,nouns,0.95
1282,olla velkaa,одалживать,verbs,1.75
1283,iiris,ацетилхолин,nouns,0.15
1284,kuunnella,слышать,verbs,3.0
1285,yksinäinen,бедный,adjectives,0.35
1286,todiste,факт,nouns,3.2
1287,nappi,одежда,nouns,1.35
1288,viikonloppu,неделя,nouns,1.1
1289,uhri,телефон,nouns,0.0
1290,totuudenmukainen,нечестный,adjectives,0.2
1291,kuulakärkikynä,алфавит,nouns,0.3
1292,tappaa,бороться,verbs,0.9
1293,valtava,большой,adjectives,4.9
1294,avustaa,помогать,verbs,4.55
1295,solu,запирание,nouns,0.4
1296,kämppä,коттедж,nouns,4.0
1297,sakkaroosi,углевод,nouns,2.4
1298,puhdas,аккуратный,adjectives,4.25
1299,tärkeä,необходимый,adjectives,4.1
1300,opettaja,друг,nouns,1.25
1301,hedelmätarha,страус,nouns,0.0
1302,turkki,женщина,nouns,0.2
1303,unohtaa,напоминать,verbs,0.2
1304,luu,колено,nouns,1.25
1305,läksyt,сочинение,nouns,2.05
1306,pyhimys,грешник,nouns,0.35
1307,lähde,коробка,nouns,0.0
1308,karja,йогурт,nouns,0.3
1309,jakolasku,умножение,nouns,1.2
1310,vyötärö,трапеза,nouns,0.05
1311,kuunnella,понимать,verbs,1.1
1312,auto,улица,nouns,0.6
1313,heikentyä,протирать,verbs,0.05
1314,vesi,засуха,nouns,0.4
1315,mikroskooppi,биолог,nouns,0.75
1316,iso,тяжелый,adjectives,1.45
1317,harjoitella,повторять,verbs,2.1
1318,kohtelias,приличный,adjectives,2.3
1319,epäonnistua,проигрывать,verbs,1.4
1320,ovi,пол,nouns,0.75
1321,turvattu,утомительный,adjectives,0.05
1322,mies,победитель,nouns,0.6
1323,tunnustaa,принимать,verbs,2.95
1324,kallisarvoinen,ленивый,adjectives,0.0
1325,leveä,узкий,adjectives,0.25
1326,sitruuna,яблоко,nouns,1.15
1327,leikkiä,драться,verbs,0.35
1328,tarina,карандаш,nouns,0.2
1329,käsivarsi,шея,nouns,0.85
1330,lattia,палуба,nouns,1.15
1331,maatalous,монокультура,nouns,0.45
1332,salaatti,диета,nouns,0.9
1333,teatteri,фильм,nouns,0.75
1334,ei koskaan,потом,adverbs,0.6
1335,naaraslintu,индейка,nouns,1.5
1336,farkut,женщина,nouns,0.15
1337,ranta,берег,nouns,nan
1338,vene,дерево,nouns,0.55
1339,tulokset,уровень,nouns,0.4
1340,kolahtaa,разбивать,verbs,0.5
1341,perustuslaki,сенат,nouns,0.65
1342,lanka,нить,nouns,3.7
1343,biohajoaminen,факторизация,nouns,0.8
1344,sekoittaa,пить,verbs,0.05
1345,tehdä kunniaa,выступать,verbs,0.7
1346,mittari,автомобиль,nouns,0.65
1347,saastuminen,президент,nouns,0.0
1348,keskikokoinen,незначительный,adjectives,0.7
1349,mies,ребенок,nouns,0.9
1350,muoti,форма,nouns,0.35
1351,kukka,выносливость,nouns,0.0
1352,raitiovaunu,поезд,nouns,2.1
1353,normaali,необычный,adjectives,0.25
1354,määrittää,эвакуировать,verbs,0.15
1355,levy,зарядное устройство,nouns,0.65
1356,edellyttää,устраивать,verbs,0.0
1357,todellisuus,фантазия,nouns,0.45
1358,oppia,забывать,verbs,0.3
1359,sulhanen,невеста,nouns,1.05
1360,polkupyörä,автомобиль,nouns,0.9
1361,olkapää,голова,nouns,0.75
1362,kersantti,пистолет,nouns,0.5
1363,mies,подозреваемый,nouns,0.25
1364,halpa,грязный,adjectives,0.1
1365,myöntyä,угождать,verbs,1.1
1366,vastapäinen,другой,adjectives,0.75
1367,kuume,болезнь,nouns,1.95
1368,veli,сын,nouns,1.55
1369,palatsi,небоскреб,nouns,1.1
1370,lukea,понимать,verbs,0.95
1371,kyynärpää,кость,nouns,1.05
1372,rytmi,стих,nouns,1.0
1373,taivutus,инфекция,nouns,0.0
1374,käsi ,ступня,nouns,0.9
1375,sisko,брат,nouns,1.65
1376,sattua,падать,verbs,0.8
1377,huomenna,сегодня ночью,adverbs,0.55
1378,harmonia,пианино,nouns,0.6
1379,täsmällinen,неправильный,adjectives,0.05
1380,siemen,мельница,nouns,0.65
1381,hukkua ,спасти,verbs,0.1
1382,hematologia,патология,nouns,1.2
1383,liha,хлеб,nouns,0.65
1384,tyhmä,умный,adjectives,0.25
1385,lumimyrsky,дождь,nouns,1.5
1386,tykki,ядро,nouns,0.6
1387,sade,метель,nouns,1.5
1388,pyyhkiä,ухудшать,verbs,0.05
1389,irrottaa,раскалывать,verbs,1.45
1390,organisoida,устраивать,verbs,5.0
1391,metalli,алюминий,nouns,2.4
1392,vedota,угождать,verbs,0.75
1393,biohajota,уничтожить,verbs,0.75
1394,rumpu,гитара,nouns,1.3
1395,luuta,пыль,nouns,1.0
1396,puu,клен,nouns,3.25
1397,kuulla,слушать,verbs,3.0
1398,yksinkertainen,тяжелый,adjectives,0.2
1399,pakti,соглашение,nouns,4.65
1400,mekaaninen,электрический,adjectives,0.7
1401,varallisuus,бедность,nouns,0.4
1402,lainata,задолжать,verbs,1.75
1403,uutiset,редакционный,nouns,1.05
