ID,EST,FIN,PoS,score
694,alus,happo,nouns,0.5
695,tool,sänky,nouns,1.05
696,kirss,mansikka,nouns,1.35
697,aatom,hiili,nouns,1.35
698,šerif,kyttä,nouns,3.5
699,paraad,yhtye,nouns,0.6
700,lõdvestunud,stressaantunut,adjectives,0.5
701,salaja,itsevarmasti,adverbs,0.45
702,kiirus,virka,nouns,0.15
703,tunnel,polku,nouns,0.7
704,õppima,unohtaa,verbs,0.45
705,hoidma,menettää,verbs,0.3
706,segadus,hysteria,nouns,2.2
707,külg,huippu,nouns,0.7
708,kehatu,hengellinen,adjectives,3.05
709,kätte toimetama,ottaa,verbs,0.5
710,kari,lammas,nouns,2.15
711,põgenema,paeta,verbs,5.5
712,õppima,imeä itseensä,verbs,1.5
713,sissetulek,vero,nouns,0.75
714,mitte kunagi,anteliaasti,adverbs,0.15
715,valima,torjua,verbs,0.45
716,regulaarne,oppimaton,adjectives,0.2
717,võimas,heikko,adjectives,0.3
718,terav,sileä,adjectives,0.55
719,kahtlusalune,mies,nouns,0.6
720,lihas,luu,nouns,1.2
721,relv,ihmiset,nouns,0.05
722,riiklik,tunnettu,adjectives,0.75
723,tööandja,työntekijä,nouns,1.45
724,onu,mies,nouns,2.55
725,kurv,kulma,nouns,1.35
726,hambad,luu,nouns,2.05
727,tseremoonia,juhla,nouns,3.9
728,kadents,rytmi,nouns,1.65
729,tõene,epärehellinen,adjectives,0.5
730,rutiinselt,normaalisti,adverbs,2.9
731,nõustuma,olla eri mieltä,verbs,0.45
732,hambad,vasara,nouns,0.1
733,diood,kondensaattori,nouns,1.5
734,laenama,anoa,verbs,1.4
735,õppima,arvioida,verbs,0.9
736,tänav,kuja,nouns,4.05
737,kohale jõudma,osallistua,verbs,0.65
738,võrkpall,pallo,nouns,2.6
739,ahv,kampanja,nouns,0.05
740,loodus,kasvisto,nouns,2.55
741,valuuta,samanaikaisuus,nouns,0.05
742,haavatav,helppo,adjectives,0.3
743,klaas,kunniamerkki,nouns,0.15
744,rahul,mieletön,adjectives,0.35
745,korraldama,kerätä,verbs,0.6
746,poeg,veli,nouns,1.65
747,äri,teollisuus,nouns,2.0
748,märg,tahmea,adjectives,1.4
749,praadima,kypsentää,verbs,3.1
750,pöörane,onnellinen,adjectives,1.05
751,korrutama,lisätä,verbs,1.35
752,kokku põrkama,murskata,verbs,1.3
753,eitama,myöntää,verbs,0.55
754,vanem,isä,nouns,3.05
755,kongress,parlamentti,nouns,3.35
756,tööline,mekaanikko,nouns,2.45
757,kuld,sinkki,nouns,1.35
758,kompilaator,aliohjelma,nouns,0.55
759,riietatud,peitetty,adjectives,2.85
760,tooma,kantaa,verbs,1.95
761,õpetaja,ystävä,nouns,0.9
762,lisama,rakentaa,verbs,0.9
763,informatsioon,sanomalehti,nouns,1.3
764,riided,liina,nouns,1.6
765,mitte nõustuma,taistella,verbs,1.45
766,pilv,sumu,nouns,2.35
767,putka,laatikko,nouns,0.6
768,ebaloomulikult,luonnollisesti,adverbs,0.45
769,oskus,älykkyys,nouns,1.75
770,paraad,väkijoukko,nouns,1.75
771,avastama,sivuuttaa,verbs,0.05
772,kummaline,outo,adjectives,5.5
773,kiiver,ase,nouns,0.5
774,toetaja,kriketti,nouns,0.0
775,tehislik,epäaito,adjectives,4.4
776,ülioluline,tärkeä,adjectives,4.1
777,tuntud,kansallinen,adjectives,0.75
778,imenduma,omistaa,verbs,0.55
779,tsütoplasma,luku,nouns,0.05
780,teadma,uskoa,verbs,1.8
781,purjus,selvin päin oleva,adjectives,0.5
782,edu saavutama,voittaa,verbs,3.75
783,alluma,rangaista,verbs,0.5
784,videvik,ilta,nouns,3.8
785,langetama,supistaa,verbs,2.2
786,aasta,syntymäpäivä,nouns,0.95
787,vaatama,etsiä,verbs,1.65
788,jäätisekokteil,mehu,nouns,1.4
789,tegevus,liike,nouns,2.25
790,kummaliselt,epätavallisesti,adverbs,4.85
791,muffin,persilja,nouns,0.4
792,kast,koju,nouns,0.6
793,juhtkiri,uutiset,nouns,1.2
794,kummaline,eriskummallinen,adjectives,5.15
795,gripp,kuume,nouns,2.55
796,talv,kesä,nouns,1.1
797,jalaga lööma,sattua,verbs,1.35
798,normaalne,erilainen,adjectives,0.6
799,halb,syyllinen,adjectives,1.2
800,hing,veli,nouns,0.3
801,kannike,kukka,nouns,2.5
802,jänes,kissa,nouns,1.15
803,riie,vaatteet,nouns,2.2
804,uduvihm,sade,nouns,4.05
805,suruma,vapauttaa,verbs,0.2
806,mängija,valmentaja,nouns,1.2
807,jää,vesi,nouns,2.3
808,liputeadus,lippu,nouns,1.5
809,jääma,odottaa,verbs,1.5
810,leib,liha,nouns,0.8
811,tabamus,kehys,nouns,0.25
812,udu,pilvi,nouns,2.5
813,päris,epäaito,adjectives,0.45
814,ohutult,onnellisesti,adverbs,1.3
815,kohutav,mahtava,adjectives,0.45
816,harjutama,toistaa,verbs,2.65
817,maskeerima,peittää,verbs,2.9
818,lämmatama,palaa,verbs,0.45
819,informatsioon,kirja,nouns,0.95
820,massiivselt,avoimesti,adverbs,0.2
821,katma,suojella,verbs,1.95
822,viiul,kitara,nouns,1.6
823,paljusus,yltäkylläisyys,nouns,4.8
824,mõtisklema,ajatella,verbs,4.85
825,pakt,sopimus,nouns,4.8
826,riided,jakku,nouns,1.75
827,negatiivselt,epäluonnollisesti,adverbs,0.65
828,käelaba,ranne,nouns,2.1
829,valgus,näppäimistö,nouns,0.1
830,luu,nilkka,nouns,2.2
831,auto,vaunut,nouns,1.45
832,esineja,laulu,nouns,0.95
833,kitarr,viulu,nouns,1.6
834,uks,käytävä,nouns,1.1
835,hütt,suoja,nouns,1.6
836,öö,kappale,nouns,0.05
837,loll,valtava,adjectives,0.1
838,organ,munuainen,nouns,2.3
839,ilukirjandus,elämäkerta,nouns,1.25
840,uurima,katsella,verbs,3.4
841,kurb,ylpeä,adjectives,0.0
842,võimalikult,optimistisesti,adverbs,1.3
843,deemon,enkeli,nouns,1.1
844,aed,hyppy,nouns,0.55
845,taotleja,hakemus,nouns,1.2
846,dieet,omena,nouns,0.65
847,täht,kirkkaus,nouns,1.1
848,pesapall,koripallo,nouns,1.8
849,pehmelt,lujasti,adverbs,0.5
850,marginaalselt,kovakouraisesti,adverbs,0.5
851,õiglus,oikeus,nouns,3.45
852,rand,riutta,nouns,0.95
853,kuupäev,syntymäpäivä,nouns,2.05
854,juhtuma,tehdä,verbs,1.15
855,ebamoraalne,laiton,adjectives,1.95
856,õnneseen,häpeissään oleva,adjectives,0.1
857,jooksja,urheilija,nouns,2.8
858,siiralt,vakavasti,adverbs,1.85
859,koer,hevonen,nouns,1.25
860,jõgi,meri,nouns,1.5
861,kolonel,hammaslääkäri,nouns,0.45
862,pilt,idea,nouns,0.85
863,bioloog,mikroskooppi,nouns,0.8
864,katus,ikkuna,nouns,1.0
865,ohtlikult,huolellisesti,adverbs,0.25
866,käsitöö,perinne,nouns,0.9
867,üdi,veri,nouns,0.6
868,meteoor,painovoima,nouns,0.5
869,frustreerima,lannistaa,verbs,2.8
870,leht,lentokone,nouns,0.15
871,müts,laatikko,nouns,0.2
872,vahetama,palauttaa,verbs,0.85
873,süüdistama,valehdella,verbs,0.3
874,päikesetõus,auringonlasku,nouns,1.15
875,tüdruk,heppu,nouns,1.0
876,näidik,auto,nouns,0.8
877,baas,jalkaterä,nouns,0.35
878,katastroof,kuolema,nouns,1.3
879,siiralt,yleensä,adverbs,0.5
880,kauss,kuja,nouns,0.0
881,heidutama,epäonnistua,verbs,1.15
882,päikeseloojang,ilta,nouns,1.95
883,käsikiri,kirja,nouns,2.35
884,ohvitser,sijainen,nouns,0.6
885,soovitama,hyväksyä,verbs,0.85
886,maamaja,kämppä,nouns,3.4
887,väärima,ansaita,verbs,3.3
888,vihkama,halveksia,verbs,3.5
889,kalts,vaatteet,nouns,1.6
890,poiss,muksu,nouns,2.7
891,huul,lonkka,nouns,0.95
892,koor,kirkko,nouns,1.1
893,uhkus,ilo,nouns,1.55
894,mesilane,hyönteinen,nouns,2.85
895,erinevalt,omituisesti,adverbs,2.15
896,kohtuma,jättää,verbs,0.0
897,tõsiselt,vilpittömästi,adverbs,1.85
898,nurjuma,menettää,verbs,1.5
899,tugevalt,rauhallisesti,adverbs,0.35
900,kaotama,kypsentää,verbs,0.0
901,surmavalt,pääasiassa,adverbs,0.15
902,pöörane,järjetön,adjectives,4.6
903,uks,veljeskunta,nouns,0.15
904,isa,jumala,nouns,0.35
905,mäng,toiminta,nouns,1.3
906,päästma,hukkua ,verbs,0.45
907,kitsas,laaja,adjectives,0.3
908,õiglaselt,kypsästi,adverbs,0.6
909,ümbris,satama,nouns,0.0
910,pastakas,aakkoset,nouns,0.35
911,intiimne,henkilökohtainen,adjectives,4.3
912,koguma,ravistaa,verbs,0.15
913,saama,hankkia,verbs,3.1
914,väljuma,erottaa,verbs,0.5
915,näitleja,laulaja,nouns,1.65
916,jooma,niellä,verbs,2.2
917,vajama,järjestää,verbs,0.35
918,vöökoht,ateria,nouns,0.2
919,meenutama,myydä,verbs,0.0
920,tavaline,kylmä,adjectives,0.2
921,maksma,kohdella,verbs,0.15
922,kehvasti,nöyrästi,adverbs,0.6
923,normaalselt,epänormaalisti,adverbs,0.5
924,auto,polkupyörä,nouns,1.1
925,tihe,kova,adjectives,1.55
926,rahustama,nöyryyttää,verbs,0.0
927,kerge,jäykkä,adjectives,0.1
928,leidma,etsiä,verbs,1.5
929,korv,pallo,nouns,0.55
930,auto,automobiili,nouns,5.5
931,ökosüsteem,talous,nouns,1.0
932,keha,olkapää,nouns,1.1
933,imelik,outo,adjectives,5.45
934,noppima,valikoida,verbs,2.9
935,realistlikult,hiljattain,adverbs,0.15
936,illustratsioon,rakko,nouns,0.05
937,linnapea,presidentti,nouns,1.55
938,kõht,kurssi,nouns,0.05
939,agressioon,vihamielisyys,nouns,4.4
940,jõllitama,siristää silmiään,verbs,1.2
941,teravili,vehnä,nouns,3.15
942,kerge,kova,adjectives,0.45
943,mõõk,valtaistuin,nouns,0.35
944,õhtusöök,kana,nouns,0.95
945,lind,kalkkuna,nouns,2.55
946,reostus,tunnelma,nouns,0.4
947,plekitu,puhdas,adjectives,4.85
948,vaikselt,luonnollisesti,adverbs,0.6
949,pahkluu,luu,nouns,2.2
950,seisma,kävellä,verbs,0.6
951,tool,penkki,nouns,3.85
952,mantel,hattu,nouns,1.25
953,eraldama,lähteä,verbs,0.5
954,jõukus,kuuluisuus,nouns,0.85
955,neutraalne,ratkaisematon,adjectives,0.95
956,kaks korda,kerran,adverbs,0.95
957,võimekus,vahvuus,nouns,2.55
958,oksendama,sulkea,verbs,0.0
959,pritsess,kuningas,nouns,1.45
960,vähendama,kutistua,verbs,2.85
961,preester,profeetta,nouns,1.4
962,maks,elin,nouns,2.25
963,suurus,sentti,nouns,1.0
964,jumaldama,ihailla,verbs,4.4
965,klass,korkeakoulu,nouns,0.9
966,sõbralik,epätodennäköisesti,adverbs,0.0
967,pesapall,veljeskunta,nouns,0.1
968,üllatama,juhlia,verbs,0.35
969,rahvasumm,väkijoukko,nouns,5.35
970,makse,viesti,nouns,0.65
971,käsi,peukalo,nouns,1.75
972,privaatne,julkinen,adjectives,0.8
973,järv,pilvi,nouns,0.35
974,täiskasvanud,epäkypsä,adjectives,0.4
975,poiss,jonkun poika,nouns,3.45
976,vale,täsmällinen,adjectives,0.3
977,sõber,kaveri,nouns,5.0
978,pahavara,mato,nouns,1.3
979,tekk,voimakas tuuli,nouns,0.25
980,uurima,tavoitella,verbs,1.0
981,laotama,tahrata,verbs,0.7
982,päikesepaiste,säde,nouns,1.75
983,ratas,iho,nouns,0.1
984,õiglus,tuomioistuin,nouns,1.65
985,jälitama,jahdata,verbs,4.05
986,kõndima,seistä,verbs,0.6
987,tagasi lükkama,paheksua,verbs,1.1
988,laul,balladi,nouns,3.75
989,või,peruna,nouns,0.9
990,raamat,raamattu,nouns,2.0
991,varjend,maja,nouns,1.6
992,puit,tukki,nouns,3.0
993,kuulma,havaita,verbs,2.15
994,veenma,yrittää,verbs,0.85
995,lammas,karitsa,nouns,4.15
996,kodus,poissa,adverbs,0.6
997,vaher,puu,nouns,2.9
998,koridor,luokkahuone,nouns,1.0
999,kritseldama,kirjoittaa,verbs,2.9
1000,ema,huoltaja,nouns,2.2
1001,õnnemängu mängima,veikata,verbs,2.85
1002,kaabel,velho,nouns,0.0
1003,vägivaldne,passiivinen,adjectives,0.35
1004,kindlustunne,minuus,nouns,1.3
1005,linnapea,päällikkö,nouns,2.0
1006,õhtu,iltahämärä,nouns,3.8
1007,ohver,luuri,nouns,0.15
1008,pea,kynsi,nouns,0.85
1009,miin,kallio,nouns,0.2
1010,pettus,korruptio,nouns,3.2
1011,kunstiteos,taiteilija,nouns,1.2
1012,diskreetselt,kohteliaasti,adverbs,3.6
1013,lumi,sää,nouns,1.1
1014,rand,rannikkoalue,nouns,nan
1015,põld,kaura,nouns,1.15
1016,veendunud,hermostunut,adjectives,0.15
1017,räpane,hämmästyttävä,adjectives,0.25
1018,luide,aavikko,nouns,1.45
1019,lehm,vuohi,nouns,1.3
1020,kannatused,epätoivo,nouns,2.7
1021,portreteerima,teeskennellä,verbs,0.7
1022,vill,kuvitus,nouns,0.05
1023,rahuldama,miellyttää,verbs,2.85
1024,au andma,suorittaa,verbs,0.3
1025,doktor,lääkäri,nouns,5.05
1026,ebaausalt,kohtuuttomasti,adverbs,2.45
1027,häbenev,järkyttynyt,adjectives,0.4
1028,toores,töykeä,adjectives,1.85
1029,segama,juoda,verbs,0.3
1030,legaalne,turvallinen,adjectives,1.7
1031,halb,moraaliton,adjectives,3.35
1032,minema,lähettää,verbs,0.45
1033,üle kuhjama,tukahduttaa,verbs,2.15
1034,muretsema,tuhlata,verbs,0.2
1035,taskukohane,halpa,adjectives,4.8
1036,kutt,partneri,nouns,1.45
1037,eelarvamus,sovinisti,nouns,1.05
1038,tavaliselt,vilpittömästi,adverbs,0.5
1039,kaetud,vaatetettu,adjectives,2.85
1040,vastu võtma,evätä,verbs,0.5
1041,õrnalt,äänekkäästi,adverbs,0.05
1042,kirjandus,sana,nouns,1.2
1043,korruptsioon,petos,nouns,3.2
1044,ütlema,ottaa osaa,verbs,0.6
1045,nõudma,kiistellä,verbs,1.1
1046,ebatavaliselt,oudosti,adverbs,4.85
1047,tähelepanelikult,varovasti,adverbs,3.9
1048,sõltuma,turvautua,verbs,2.55
1049,ebanormaalselt,normaalisti,adverbs,0.5
1050,tagasi lükkama,hyväksyä,verbs,0.5
1051,ortodont,hammaslääkäri,nouns,4.2
1052,ilmselge,huomattava,adjectives,2.95
1053,avastama,olla peräisin,verbs,0.35
1054,praadima,leipoa,verbs,3.15
1055,valitseja,kuningas,nouns,4.25
1056,mesilane,kuningatar,nouns,0.8
1057,suhtlus,keskustelu,nouns,3.4
1058,kommunikatsioon,televisio,nouns,1.7
1059,võlgnema,lainata,verbs,1.6
1060,abistama,avustaa,verbs,4.45
1061,bänd,orkesteri,nouns,4.0
1062,algvorm,tavu,nouns,1.05
1063,vangla,baari,nouns,0.8
1064,udu,sade,nouns,2.2
1065,rahvas,populaatio,nouns,3.25
1066,halb,epärehellinen,adjectives,2.0
1067,nädalavahetus,viikko,nouns,1.5
1068,keraamika,keramiikka,nouns,3.65
1069,pikk,kapea,adjectives,0.8
1070,itsitama,nauraa,verbs,4.4
1071,vastutustundlikult,itsenäisesti,adverbs,1.55
1072,kaks korda,aina,adverbs,0.4
1073,päikeseloojang,auringonnousu,nouns,1.15
1074,teooria,teoreema,nouns,2.85
1075,küünarnukk,nilkka,nouns,1.3
1076,onu,täti,nouns,1.4
1077,vahemaa,näkökulma,nouns,0.4
1078,maatriks,vektori,nouns,1.3
1079,ümbermaailmareis,matkatavarat,nouns,0.6
1080,välja tõstma,tyhjentää,verbs,1.4
1081,lift,auto,nouns,0.4
1082,kael,luu,nouns,1.1
1083,õigustama,todentaa,verbs,1.6
1084,lahing,sotaisuus,nouns,1.65
1085,põrand,ovi,nouns,1.05
1086,süntaks,hakusana,nouns,1.05
1087,kõrb,dyyni,nouns,1.45
1088,naps,vuosisata,nouns,0.0
1089,paat,auto,nouns,0.85
1090,härrasmees,leidi,nouns,1.0
1091,uskumus,konsepti,nouns,1.5
1092,sõrmus,sitoumus,nouns,1.15
1093,kombineerima,sulautua,verbs,2.6
1094,õpetama,rangaista,verbs,0.45
1095,aktsepteerima,tunnustaa,verbs,3.2
1096,tagasi võtma,torjua,verbs,1.6
1097,ignoreerima,välttää,verbs,3.95
1098,oht,tauti,nouns,0.5
1099,köök,ovi,nouns,0.4
1100,julgustama,lannistaa,verbs,0.25
1101,kuju,veistos,nouns,5.05
1102,vahekohus,oikeudenmukaisuus,nouns,1.65
1103,monarhia,demokratia,nouns,1.4
1104,naine,sihteeri,nouns,1.05
1105,meri,valtameri,nouns,3.8
1106,puuvill,polyesteri,nouns,1.2
1107,pilv,sää,nouns,1.3
1108,uhke,surullinen,adjectives,0.0
1109,ühtlaselt,joskus,adverbs,0.35
1110,jagama,kertoa,verbs,0.95
1111,imperaator,perustuslaki,nouns,0.55
1112,deemant,raha,nouns,0.8
1113,ausalt,vilpittömästi,adverbs,4.95
1114,sajand,väkijuoma,nouns,0.0
1115,panema,antaa,verbs,0.75
1116,preester,jumala,nouns,1.15
1117,televisioon,näyttelijä,nouns,0.9
1118,hoidma,lainata,verbs,0.45
1119,radiaator,sensori,nouns,0.15
1120,palk,raha,nouns,2.75
1121,pöial,käsi,nouns,1.75
1122,televisioon,viestintä,nouns,1.7
1123,iga,kauneus,nouns,0.5
1124,arvamus,valinta,nouns,0.95
1125,pigistama,halata,verbs,1.45
1126,kallistama,pidellä,verbs,1.95
1127,kiire,pikainen,adjectives,4.0
1128,tuginema,riippua,verbs,2.55
1129,ava,rako,nouns,3.35
1130,kombineeritud,sekoitettu,adjectives,3.05
1131,mänguasi,kuutio,nouns,0.5
1132,rääkima,kuiskata,verbs,2.5
1133,aktsepteerima,antaa anteeksi,verbs,2.0
1134,otsima,vaeltaa,verbs,1.2
1135,oluline,vähäpätöinen,adjectives,0.5
1136,politseinik,poliitikko,nouns,0.6
1137,sõnaraamat,sana,nouns,1.5
1138,kokku suruma,sisäistää,verbs,0.7
1139,kallis,ujo,adjectives,0.05
1140,suusatamine,lumilauta,nouns,1.45
1141,lahkuma,liittyä,verbs,0.2
1142,šampus,viski,nouns,1.4
1143,allikas,laatikko,nouns,0.0
1144,vaidlema,valittaa,verbs,1.2
1145,jätma,sivuuttaa,verbs,2.05
1146,liha,veri,nouns,0.95
1147,peegeldus,kuva,nouns,1.55
1148,lahkuma,odottaa,verbs,0.25
1149,eneseväärikus,arvomerkki,nouns,0.2
1150,uus,tuore,adjectives,4.3
1151,praadima,keittää,verbs,1.5
1152,haruldane,epätavallinen,adjectives,4.75
1153,iseseisvalt,vastuullisesti,adverbs,1.55
1154,saba,kulho,nouns,0.0
1155,neuroos,mieli,nouns,0.95
1156,uudised,juoruilu,nouns,1.6
1157,saabuma,tulla,verbs,4.55
1158,juhtkond,hiiri,nouns,0.0
1159,õhtueine,ateria,nouns,3.4
1160,eesnahk,ympärileikkaus,nouns,1.2
1161,väsinud,pitkäveteinen,adjectives,1.2
1162,teispoolsus,kiirastuli,nouns,1.55
1163,müts,takki,nouns,1.25
1164,sõdur,rauha,nouns,0.3
1165,tüütu,turvattu,adjectives,0.3
1166,suund,toiminta,nouns,0.75
1167,riff,ranta,nouns,0.95
1168,uks,keittiö,nouns,0.4
1169,privaatne,henkilökohtainen,adjectives,4.9
1170,kolledž,luokka,nouns,0.9
1171,lusikas,kuppi,nouns,1.2
1172,katus,sisäkatto,nouns,3.65
1173,uskuma,tuntea,verbs,1.45
1174,õrnalt,rauhallisesti,adverbs,1.55
1175,vilistama,pysähtyä,verbs,0.2
1176,mahl,pirtelö,nouns,1.4
1177,nutikas,ovela,adjectives,4.25
1178,kunaiganes,joskus,adverbs,1.25
1179,vampiir,lepakko,nouns,1.25
1180,lisama,jakaa,verbs,0.6
1181,küün,talo,nouns,1.9
1182,ülesanne,moottoritie,nouns,0.1
1183,kits,lehmä,nouns,1.3
1184,kuu,planeetta,nouns,2.05
1185,palk,puumateriaali,nouns,3.0
1186,ebakindel,puutteenalainen,adjectives,1.05
1187,kulutama,säästää,verbs,0.65
1188,seltskondlik,mukava,adjectives,1.2
1189,kahur,pallo,nouns,0.7
1190,vajalik,tärkeä,adjectives,4.8
1191,pistrik,kotka,nouns,2.25
1192,portreteerima,ilmoittaa,verbs,0.25
1193,põletama,tukahduttaa,verbs,0.45
1194,sigar,putki,nouns,0.55
1195,pea,olkapää,nouns,1.0
1196,auto,hissi,nouns,0.4
1197,kino,televisio,nouns,1.5
1198,lift,laatikko,nouns,0.15
1199,kenasti,kiltisti,adverbs,2.95
1200,valitsus,lisko,nouns,0.0
1201,õnnetus,katastrofi,nouns,4.35
1202,kirjanik,säveltäjä,nouns,1.35
1203,lööma,viehättää,verbs,0.3
1204,segatud,vanha,adjectives,0.1
1205,ookean,meri,nouns,3.8
1206,täna õhtul,huomenna,adverbs,0.5
1207,tušš,luostari,nouns,0.1
1208,ideaalselt,mekaanisesti,adverbs,0.2
1209,vihje,sana,nouns,0.45
1210,minema,sallia,verbs,0.5
1211,noor,levoton,adjectives,0.65
1212,skeem,idea,nouns,1.05
1213,majandus,ekosysteemi,nouns,1.0
1214,vürtsine,heikko,adjectives,0.0
1215,teostama,saavuttaa,verbs,3.15
1216,hävitama,säästää,verbs,0.35
1217,unustama,oppia,verbs,0.45
1218,näitlejanna,näyttelijä,nouns,4.65
1219,kuningas,prinssi,nouns,1.95
1220,kõrs,tehtävä,nouns,0.1
1221,ülikond,virkkaus,nouns,0.2
1222,tööriist,työ,nouns,0.95
1223,ühinema,tehdä yhteistyötä,verbs,1.6
1224,triumf,voitto,nouns,3.95
1225,rott,hiiri,nouns,2.6
1226,liha,voileipä,nouns,0.95
1227,stiil,eleganssi,nouns,3.75
1228,maja,matto,nouns,0.55
1229,pull,vasikka,nouns,1.9
1230,tütar,vauva,nouns,1.8
1231,haiget tegema,kaatua,verbs,1.1
1232,nõustuma,miellyttää,verbs,0.9
1233,odav,edullinen,adjectives,4.8
1234,riis,papu,nouns,1.2
1235,ametlikult,vahvasti,adverbs,0.75
1236,vägivaldne,radikaali,adjectives,1.6
1237,veen,vatsa,nouns,0.65
1238,sukelduma,luoda,verbs,0.15
1239,moslem,piispa,nouns,0.6
1240,artikkel,käsikirjoitus,nouns,1.55
1241,stressis,rentoutunut,adjectives,0.5
1242,põud,vesi,nouns,0.45
1243,planeet,kuu,nouns,2.05
1244,alustama,aloittaa,verbs,4.9
1245,lahkuma,saapua,verbs,0.55
1246,ümberlõikus,esinahka,nouns,1.2
1247,tavaline,uskomaton,adjectives,0.5
1248,põrand,katto,nouns,0.95
1249,inimene,eläin,nouns,0.95
1250,kaklema,olla eri mieltä,verbs,1.45
1251,julm,mukava,adjectives,0.1
1252,galaktika,astronomi,nouns,0.95
1253,asteroid,tähti,nouns,1.95
1254,nõu andma,suositella,verbs,3.95
1255,seelik,rannekello,nouns,0.1
1256,ühtne,muotoutumaton,adjectives,0.55
1257,kana,päivällinen,nouns,0.95
1258,ignorantsus,älykkyys,nouns,0.5
1259,hirmus,surullinen,adjectives,0.9
1260,kõrs,vaimo,nouns,0.0
1261,lubama,kumota,verbs,0.25
1262,pankur,lakimies,nouns,1.15
1263,rõõm,suru,nouns,0.7
1264,kuluma,sallia,verbs,0.1
1265,jahtima,etsiä,verbs,2.1
1266,flööt,musiikki,nouns,1.1
1267,tõbi,infektio,nouns,3.2
1268,sõitma,pysähtyä,verbs,0.4
1269,uks,kello,nouns,0.25
1270,lärm,helistin,nouns,1.1
1271,trikk,koko,nouns,0.05
1272,teadus,psykologia,nouns,2.1
1273,korraldama,edellyttää,verbs,0.35
1274,ühinema,naida,verbs,1.5
1275,lend,ilmailu,nouns,2.2
1276,dollar,ihmiset,nouns,0.05
1277,otsustama,ajatella,verbs,2.15
1278,null,ikuisuus,nouns,0.5
1279,teekond,valloitus,nouns,0.75
1280,relv,kypärä,nouns,0.5
1281,kabel,kaapeli,nouns,0.0
1282,mõtlema,muistaa,verbs,1.45
1283,sisehõõrdumine,loiske,nouns,0.4
1284,pall,maila,nouns,0.85
1285,hävitama,luoda,verbs,0.5
1286,heldelt,ei koskaan,adverbs,0.15
1287,kaitsma,peittää,verbs,1.95
1288,ütlema,muistuttaa,verbs,1.7
1289,uhke,ylimielinen,adjectives,2.7
1290,lisama,erottaa,verbs,0.35
1291,tabama,ampua ohi,verbs,0.6
1292,segama,ajaa,verbs,0.55
1293,märge,toimeksianto,nouns,0.75
1294,reket,pallo,nouns,0.85
1295,tooma,tulla,verbs,1.2
1296,laulma,nauraa,verbs,0.45
1297,robootika,simulaatio,nouns,1.05
1298,vägi,vahvuus,nouns,3.4
1299,bioloogia,anatomia,nouns,2.15
1300,vastandlik,muu,adjectives,0.4
1301,habras,hyytävä,adjectives,0.4
1302,ülikoolilinnak,yliopisto,nouns,2.45
1303,teesklema,näyttää,verbs,1.5
1304,äsja,viime aikoina,adverbs,4.3
1305,kirik,katedraali,nouns,4.15
1306,rajaleidja,jousiampuja,nouns,0.4
1307,ostma,saada,verbs,1.55
1308,kallama,tippua,verbs,1.05
1309,sõber,vieras,nouns,1.4
1310,kindlus,asenne,nouns,1.35
1311,minema,aloittaa,verbs,0.65
1312,televisioon,elokuvateatteri,nouns,1.5
1313,vahetus,korvaaminen,nouns,3.85
1314,lennundus,lento,nouns,2.2
1315,kutt,ystävä,nouns,1.3
1316,tegema,tapahtua,verbs,1.15
1317,fantastiliselt,mahtavasti,adverbs,4.85
1318,kuberner,keisari,nouns,1.15
1319,alkohol,brandy,nouns,2.6
1320,sinep,siemen,nouns,1.1
1321,munk,risti,nouns,0.7
1322,ulatuslik,kapea,adjectives,0.3
1323,teooria,kemia,nouns,0.55
1324,ankur,vene,nouns,0.95
1325,varsti,välittömästi,adverbs,3.05
1326,tolmukas,pölytys,nouns,1.6
1327,lugema,purra,verbs,0.1
1328,sild,auto,nouns,0.45
1329,automobiil,auto,nouns,5.5
1330,tulemus,taso,nouns,1.4
1331,piibel,virsi,nouns,0.55
1332,tossud,mitali,nouns,0.2
1333,mõistma,antaa anteeksi,verbs,1.7
1334,kast,hissi,nouns,0.15
1335,kaos,luokka,nouns,0.15
1336,liide,affiksi,nouns,3.15
1337,heli,akustiikka,nouns,2.55
1338,aitama,kysyä,verbs,0.65
1339,osa,kappale,nouns,3.55
1340,organiseerima,järjestää,verbs,5.4
1341,varastama,ottaa,verbs,1.95
1342,delta,meri,nouns,1.2
1343,laulja,kuoro,nouns,1.65
1344,taipama,ymmärtää,verbs,5.0
1345,keel,kurkku,nouns,1.4
1346,panema,saada,verbs,0.2
1347,ülikool,kampus,nouns,2.45
1348,sünnipäev,vuosi,nouns,0.95
1349,kapten,merimies,nouns,1.95
1350,kokteil,alkoholi,nouns,2.15
1351,kokkukutsumine,kokoontuminen,nouns,3.95
1352,voolik,auto,nouns,0.2
1353,kümnend,vuosisata,nouns,1.45
1354,veri,kurpitsa,nouns,0.6
1355,kaaslane,kaveri,nouns,3.85
1356,katastroof,onnettomuus,nouns,4.35
1357,surm,hautaaminen,nouns,1.45
1358,kissitama,mulkoilla,verbs,1.2
1359,tulema,osallistua,verbs,1.5
1360,sõiduk,linja-auto,nouns,2.65
1361,aju,mieli,nouns,1.6
1362,informeerima,ilmoittaa,verbs,5.35
1363,kõikvõimsus,ylivalta,nouns,3.15
1364,sidrun,tee,nouns,0.55
1365,aru saama,tietää,verbs,3.05
1366,ausalt,epäreilusti,adverbs,0.45
1367,vaba,viaton,adjectives,0.85
