ID,FIN,FRA,PoS,score
717,saapua,laisser,verbs,0.35
718,ystävä,professeur,nouns,1.0
719,kristalli,verre,nouns,3.2
720,lentokone,feuille,nouns,0.05
721,tohtori,orthodontiste,nouns,2.85
722,epäonnistua,décourager,verbs,1.5
723,tuhota,créer,verbs,0.95
724,rabbi,ministre,nouns,0.95
725,säilytysastia,wagon,nouns,0.3
726,vihamielisyys,agression,nouns,4.4
727,varastaa,kidnapper,verbs,2.9
728,kadota,disparaître,verbs,5.4
729,sänky,chaise,nouns,1.65
730,epäkypsä,adulte,adjectives,0.9
731,sanoa,exprimer,verbs,4.6
732,lihas,os,nouns,1.6
733,käteinen,argent,nouns,3.55
734,ennakkoluulo,chauvin,nouns,0.7
735,murskata,briser,verbs,4.8
736,sopimus,pacte,nouns,5.2
737,ei koskaan,plus tard,adverbs,1.6
738,tutkia,poursuivre,verbs,1.35
739,häpeissään oleva,modeste,adjectives,0.75
740,taivas,soleil,nouns,1.7
741,rakentaa,créer,verbs,4.25
742,kaapeli,chapelle,nouns,0.05
743,tuoli,télescope,nouns,0.2
744,kortti,pont,nouns,0.25
745,valinta,élection,nouns,3.05
746,takki,chapeau,nouns,1.95
747,tytär,gamin,nouns,2.1
748,piispa,musulman,nouns,0.95
749,ovi,portail,nouns,4.05
750,vatsa,ventre,nouns,5.3
751,taistelulaiva,croiseur,nouns,5.15
752,kieltäminen,confession,nouns,1.0
753,symboli,code,nouns,3.0
754,yhtye,longévité,nouns,0.1
755,merkittävästi,officiellement,adverbs,0.65
756,välittömästi,bientôt,adverbs,3.6
757,nostaa,augmenter,verbs,4.85
758,luoda,construire,verbs,4.25
759,ikkuna,toit,nouns,1.35
760,länsi,nord,nouns,1.8
761,kamera,président,nouns,0.05
762,lentäjä,chauffeur,nouns,3.75
763,normaali,bizarre,adjectives,1.1
764,jättää,prendre,verbs,1.25
765,sade,grêle,nouns,3.2
766,valmentaja,baseball,nouns,0.3
767,matto,maison,nouns,0.9
768,onnistua,atteindre,verbs,4.0
769,tukija,criquet,nouns,0.35
770,ohjaaja,patron,nouns,2.1
771,tuomita,accuser,verbs,3.2
772,kuvata,prétendre,verbs,0.4
773,epätavallinen,rare,adjectives,5.15
774,nappi,habit,nouns,1.8
775,asunto,meuble,nouns,1.3
776,vaatimaton,humble,adjectives,5.25
777,joskus,uniformément,adverbs,0.4
778,opetussuunnitelma,examen,nouns,1.2
779,retki,voyage,nouns,4.15
780,olla velkaa,entrer,verbs,0.15
781,myydä,emprunter,verbs,0.75
782,asunto,hôtel,nouns,1.95
783,kunnioitus,honneur,nouns,3.25
784,työkalu,emploi,nouns,0.7
785,kestävyys,groupe,nouns,0.1
786,kyynärpää,os,nouns,1.7
787,pitää,donner,verbs,1.15
788,seurata,chasser,verbs,3.1
789,opettaja,ami,nouns,1.0
790,päättää,penser,verbs,2.3
791,koko,centime,nouns,0.7
792,anoa,demander,verbs,3.0
793,pikkuruinen,énorme,adjectives,1.05
794,kynä,histoire,nouns,0.4
795,kyttä,shérif,nouns,3.75
796,alkoholi,bière,nouns,3.25
797,pilvenpiirtäjä,palais,nouns,1.65
798,antropologia,archéologie,nouns,2.15
799,lapsi,fille,nouns,2.95
800,rakennus,pièce,nouns,1.45
801,kylpy,ballon,nouns,0.15
802,kynsi,tête,nouns,1.2
803,hilata,soulever,verbs,3.05
804,laturi,disque,nouns,0.65
805,merimies,capitaine,nouns,3.0
806,vartalo,sang,nouns,1.65
807,taimi,feuille,nouns,1.3
808,laakso,canyon,nouns,4.2
809,homofoni,photophone,nouns,0.25
810,hiljattain,concrètement,adverbs,0.15
811,iso,facile,adjectives,0.2
812,välttämättömästi,fondamentalement,adverbs,3.45
813,biologia,anatomie,nouns,2.85
814,löysä,flexible,adjectives,1.0
815,sammal,herbe,nouns,2.1
816,ase,gens,nouns,0.2
817,vaimo,paille,nouns,0.0
818,kylpyhuone,chambre à coucher,nouns,2.35
819,joustava,élastique,adjectives,4.8
820,lehmä,bétail,nouns,3.55
821,moraaliton,mal,adjectives,3.8
822,tylsä,passionnant,adjectives,0.5
823,vakavasti,grandement,adverbs,1.5
824,epäsäännöllisesti,généralement,adverbs,0.95
825,olla peräisin,commencer,verbs,0.6
826,loistava,génial,adjectives,4.75
827,olut,boisson,nouns,3.2
828,liittyä,coopérer,verbs,2.0
829,moottoritie,route,nouns,4.0
830,puhdas,désordonné,adjectives,0.95
831,juhlia,surprendre,verbs,0.5
832,kuvata,imiter,verbs,1.55
833,tarkasti,localement,adverbs,1.05
834,tietää,oublier,verbs,0.95
835,vakavasti,sincèrement,adverbs,1.9
836,pölytys,étamine,nouns,1.8
837,mies,guerrier,nouns,1.8
838,odottaa,s'arrêter,verbs,2.3
839,onnettomuus,catastrophe,nouns,4.55
840,öljy,vison,nouns,0.2
841,myydä,rappeler,verbs,0.2
842,myöhemmin,jamais,adverbs,1.6
843,sää,neige,nouns,1.45
844,ansaita,faire,verbs,0.4
845,jalkaterä,sable,nouns,0.3
846,sankaritar,héros,nouns,4.25
847,kehys,succès,nouns,0.1
848,taistella,jouer,verbs,1.0
849,hevonen,chien,nouns,1.85
850,valkuaisaine,poignée,nouns,0.1
851,vene,voiture,nouns,1.5
852,runsaus,abondance,nouns,5.5
853,kurkku,nez,nouns,2.05
854,kevyesti,brillamment,adverbs,0.9
855,luoda,faire,verbs,4.8
856,kuu,planète,nouns,2.35
857,poika,enfant,nouns,3.45
858,pallo,volley-ball,nouns,2.45
859,sairaanhoitaja,scientifique,nouns,0.9
860,talo,grange,nouns,2.45
861,aggressiivinen,incurvé,adjectives,0.0
862,mennä,voyager,verbs,3.7
863,kutistua,disparaître,verbs,1.7
864,joustava,facile,adjectives,1.4
865,myrsky,ouragan,nouns,3.55
866,puhua,entendre,verbs,1.25
867,vesi,sel,nouns,0.75
868,epärehellinen,véridique,adjectives,0.7
869,miellyttää,être d'accord,verbs,1.6
870,aivoriihi,télescope,nouns,0.05
871,matkustaa,aller,verbs,3.7
872,kuorma-auto,paquet,nouns,0.15
873,lehti,arbre,nouns,1.9
874,palvelustyttö,auxiliaire,nouns,2.2
875,aamiainen,souper,nouns,2.2
876,virka,vitesse,nouns,0.0
877,tulla,organiser,verbs,0.15
878,varmasti,parfois,adverbs,0.8
879,muoti,style,nouns,4.1
880,keskikokoinen,doux,adjectives,0.6
881,jatko-osa,appareil photo,nouns,0.15
882,heikko,épicé,adjectives,0.1
883,antaa,garder,verbs,1.15
884,suisto,mer,nouns,1.8
885,yhtälö,formule,nouns,3.9
886,muinainen,nouveau,adjectives,1.1
887,mukava,extraverti,adjectives,1.25
888,hermostunut,effrayé,adjectives,1.85
889,vaikea,facile,adjectives,1.05
890,osallistua,envoyer,verbs,0.4
891,rintakehä,corps,nouns,2.4
892,nenä,gorge,nouns,2.05
893,kova,dense,adjectives,1.35
894,saatana,dieu,nouns,1.9
895,meteori,gravité,nouns,0.8
896,leiri,chalet,nouns,0.9
897,nauraa,pouffer,verbs,5.15
898,vetäytyä,descendre,verbs,0.8
899,kaveri,ami,nouns,5.4
900,päivällinen,repas,nouns,3.75
901,ujo,effrayé,adjectives,1.55
902,kompassi,éléphant,nouns,0.05
903,essee,livre,nouns,1.6
904,nepotismi,roi,nouns,1.65
905,tykki,ballon,nouns,0.45
906,laulaa,rire,verbs,1.2
907,ompelulanka,brin,nouns,3.75
908,paristo,théâtre,nouns,0.05
909,sileä,tranchant,adjectives,1.0
910,vilpillinen,fourbe,adjectives,5.1
911,organisoida,devenir,verbs,0.15
912,teeskennellä,représenter,verbs,0.4
913,persilja,muffin,nouns,0.5
914,organisoida,collecter,verbs,1.3
915,hyvä,épicé,adjectives,0.25
916,lainaaja,crédit,nouns,1.35
917,naudanliha,viande,nouns,3.5
918,valmistaa,devenir,verbs,0.55
919,vastaanottaa,prendre,verbs,2.9
920,kiistellä,assister,verbs,0.7
921,aalto,météo,nouns,0.55
922,työ,gestion,nouns,1.5
923,alusvaatteet,corps,nouns,1.0
924,patsas,sculpture,nouns,5.3
925,tuoda,venir,verbs,1.15
926,tanssi,robe,nouns,0.55
927,onnellinen,jeune,adjectives,0.4
928,ilmiselvä,apparent,adjectives,5.05
929,tapahtua,faire,verbs,1.6
930,voittaja,présence,nouns,0.25
931,apokalypsi,feu,nouns,0.95
932,viides,haut,adjectives,0.2
933,hyväksyä,nier,verbs,1.05
934,tieteilijä,infirmier,nouns,0.9
935,säästää,noyer,verbs,0.8
936,poika,fils,nouns,4.3
937,tukahduttaa,submerger,verbs,2.45
938,epävarma,effrayé,adjectives,1.0
939,miekka,trône,nouns,0.55
940,kirja,texte,nouns,3.35
941,kadottaa,soustraire,verbs,1.55
942,ananas,smartphone,nouns,0.0
943,vaatteet,bouton,nouns,1.8
944,tietokone,machine,nouns,3.95
945,kärpänen,fourmi,nouns,2.05
946,lämmitin,parapluie,nouns,0.3
947,päivä,nuit,nouns,1.8
948,vaara,menace,nouns,5.5
949,liittyä,acquérir,verbs,0.65
950,maksa,organe,nouns,2.8
951,oviaukko,sortie,nouns,3.4
952,lentopallo,ballon,nouns,2.45
953,halveksiva,dédaigneux,adjectives,5.9
954,vastaanottaa,donner,verbs,1.0
955,vannoa,promettre,verbs,5.1
956,kitara,truite,nouns,0.05
957,jäytää,pâlir,verbs,0.35
958,sää,vague,nouns,0.55
959,rentoutunut,stressé,adjectives,1.1
960,nostaa,transporter,verbs,3.05
961,kokoontuminen,convocation,nouns,3.9
962,kerho,société,nouns,3.85
963,leipä,viande,nouns,1.4
964,iiris,acétylcholine,nouns,nan
965,säästää,dépenser,verbs,0.5
966,ymmärtää,savoir,verbs,3.25
967,vaihto,remplacement,nouns,4.75
968,pitää päällä,déchirer,verbs,0.15
969,huomio,conscience,nouns,2.8
970,salaatti,régime,nouns,1.4
971,löytää,disparaître,verbs,0.35
972,kummallinen,sournois,adjectives,1.1
973,olkapää,bras,nouns,2.3
974,matemaatikko,spectacle,nouns,0.1
975,korottaa,élever,verbs,4.85
976,haista,puer,verbs,4.75
977,kantaa,prendre,verbs,1.2
978,rauha,soldat,nouns,0.8
979,tamma,cheval,nouns,4.05
980,työntää,critiquer,verbs,0.2
981,rangaista,obéir,verbs,1.0
982,järkyttynyt,honteux,adjectives,0.95
983,luu,coude,nouns,1.7
984,lähde,boîte,nouns,0.0
985,makeinen,pomme,nouns,1.05
986,mutantti,sociobiologie,nouns,0.25
987,joustava,lâche,adjectives,1.0
988,säästää,collecter,verbs,3.15
989,moittia,juger,verbs,3.2
990,tarina,livre,nouns,2.3
991,hitti,cadre,nouns,0.1
992,mosaiikki,basilique,nouns,0.65
993,säilyttää,oublier,verbs,0.8
994,leikkiä,combattre,verbs,1.0
995,penni,occasion,nouns,0.25
996,purkki,tasse,nouns,2.85
997,keittää,frire,verbs,2.55
998,petos,corruption,nouns,3.65
999,koripallo,baseball,nouns,2.65
1000,virallisesti,fortement,adverbs,0.45
1001,palatsi,gratte-ciel,nouns,1.65
1002,jättää,errer,verbs,0.25
1003,kondensaattori,diode,nouns,1.6
1004,voileipä,déjeuner,nouns,2.2
1005,laaja,gros,adjectives,3.95
1006,ranta,rivage,nouns,4.0
1007,purra,combattre,verbs,1.4
1008,myöntyä,accepter,verbs,3.95
1009,säikähtänyt,enthousiasmé,adjectives,0.8
1010,haavoittuvainen,facile,adjectives,0.55
1011,olla peräisin,découvrir,verbs,0.35
1012,lapsi,homme,nouns,1.8
1013,juoma,bière,nouns,3.2
1014,ansaita,mériter,verbs,3.1
1015,laskimo,bras,nouns,1.0
1016,kone,moteur,nouns,3.25
1017,lattia,toit,nouns,1.4
1018,leveä,frais,adjectives,0.1
1019,muistikirja,pistolet,nouns,0.1
1020,vaunu,récipient,nouns,0.3
1021,luku,nombre,nouns,5.15
1022,tehdas,voiture,nouns,0.65
1023,hienovaraisesti,poliment,adverbs,3.0
1024,oppia,évaluer,verbs,1.1
1025,aakkoset,stylo,nouns,0.6
1026,hyytävä,fragile,adjectives,0.35
1027,pikainen,vite,adjectives,5.03
1028,ottaa,laisser,verbs,1.25
1029,teoria,théorème,nouns,3.7
1030,vuosisata,liqueur,nouns,0.05
1031,varkaus,criminalité,nouns,3.1
1032,uhka,danger,nouns,5.5
1033,olennaisesti,nécessairement,adverbs,3.45
1034,kritisoida,remarquer,verbs,2.2
1035,uskomaton,ordinaire,adjectives,0.85
1036,väkijoukko,attroupement,nouns,5.45
1037,huone,échouage,nouns,1.45
1038,patikoida,grimper,verbs,2.15
1039,muodollinen,bon,adjectives,1.85
1040,nuhdella,exiger,verbs,0.6
1041,hissi,voiture,nouns,0.4
1042,korottaa,boire,verbs,0.05
1043,ase,portable,nouns,0.1
1044,hätätilanne,accident,nouns,3.45
1045,kaareva,droit,adjectives,1.05
1046,sallittu,légal,adjectives,4.45
1047,nauttia,détester,verbs,0.95
1048,serkku,oncle,nouns,2.3
1049,organisoida,organiser,verbs,5.15
1050,unohtaa,savoir,verbs,0.95
1051,olennaisesti,sévèrement,adverbs,0.8
1052,ase,couteau,nouns,2.9
1053,tuore,vieux,adjectives,0.35
1054,vaatteet,tissu,nouns,2.75
1055,ylpeästi,paisiblement,adverbs,0.45
1056,aina,deux fois,adverbs,1.15
1057,tehtävä,femme,nouns,0.05
1058,vihainen,violent,adjectives,2.1
1059,teksti,livre,nouns,3.35
1060,lainata,supplier,verbs,1.05
1061,lentoperämies,cockpit,nouns,1.15
1062,manageri,chef,nouns,4.0
1063,matkia,capturer,verbs,0.35
1064,näytös,mathématicien,nouns,0.1
1065,kappale,choix,nouns,0.5
1066,potilas,session,nouns,0.2
1067,lainata,vouloir,verbs,0.9
1068,vartalo,colonne vertébrale,nouns,1.7
1069,kuljettaja,pilote,nouns,3.75
1070,suffiksi,affixe,nouns,3.45
1071,kilpaileminen,philosophe,nouns,0.15
1072,normaalisti,quotidiennement,adverbs,1.75
1073,perustella,vérifier,verbs,2.25
1074,ehdokas,vainqueur,nouns,1.85
1075,vartalo,épaule,nouns,1.7
1076,leikkuupuimuri,canne à sucre,nouns,0.4
1077,niukasti,complètement,adverbs,0.95
1078,rytmi,arithmétique,nouns,0.2
1079,elefantti,boussole,nouns,0.05
1080,papu,bacon,nouns,0.85
1081,eläin,personne,nouns,0.95
1082,hyväksyä,rejeter,verbs,1.1
1083,pahentaa,agresser,verbs,0.85
1084,lippu,vexillologie,nouns,2.3
1085,kysyä,mendier,verbs,3.0
1086,ei koskaan,honnêtement,adverbs,0.05
1087,hermostunut,certain,adjectives,0.15
1088,flunssa,fièvre,nouns,2.95
1089,kanjoni,vallée,nouns,4.2
1090,hattu,manteau,nouns,1.95
1091,vaikutelma,croyance,nouns,2.2
1092,sokeriruoko,moissonneuse-batteuse,nouns,0.4
1093,normaalisti,anormalement,adverbs,0.95
1094,nurkka,surface,nouns,1.05
1095,rohkaista,décourager,verbs,1.05
1096,hammas,bouche,nouns,2.4
1097,itsenäisesti,responsablement,adverbs,1.45
1098,lähteä,séparer,verbs,1.1
1099,varastaa,prendre,verbs,2.6
1100,riisi,garçon,nouns,0.05
1101,laskimo,vaisseau,nouns,4.25
1102,sairaus,fièvre,nouns,3.05
1103,yleensä,irrégulièrement,adverbs,0.95
1104,halkaista,détacher,verbs,1.5
1105,olla velkaa,prêter,verbs,1.6
1106,painovoima,météore,nouns,0.8
1107,niukasti,grossièrement,adverbs,0.7
1108,ikävä,sûr,adjectives,0.25
1109,säilyttää,garder,verbs,4.6
1110,osallistua,apparaître,verbs,0.95
1111,humalainen,sobre,adjectives,1.1
1112,temppu,jeu,nouns,1.65
1113,olla erilainen,débattre,verbs,0.9
1114,käsivarsi,branche,nouns,0.95
1115,haukka,aigle,nouns,3.3
1116,työ,tâche,nouns,4.3
1117,ajatella,se renseigner,verbs,0.9
1118,valehdella,accuser,verbs,0.55
1119,viisaus,intelligence,nouns,4.0
1120,realistisesti,récemment,adverbs,0.15
1121,iloinen,fou,adjectives,0.7
1122,kiltisti,gentiment,adverbs,3.85
1123,vastapäinen,unique,adjectives,0.4
1124,etsiä,trouver,verbs,2.25
1125,jumala,diable,nouns,1.9
1126,kypsästi,intelligemment,adverbs,3.4
1127,suru,bonheur,nouns,1.15
1128,julma,agréable,adjectives,0.65
1129,tee,citron,nouns,1.05
1130,johtokunta,emploi,nouns,1.5
1131,onnellinen,furieux,adjectives,0.85
1132,töykeä,critique,adjectives,0.7
1133,hyökätä kimppuun,aggraver,verbs,0.85
1134,älykäs,malin,adjectives,5.2
1135,kovakouraisesti,facilement,adverbs,0.4
1136,opettaja,rabbin,nouns,2.05
1137,määrittää,clarifier,verbs,3.65
1138,hyväntuulinen,heureux,adjectives,4.25
1139,vakuuttaa ,essayer,verbs,0.65
1140,ateria,dîner,nouns,4.2
1141,nauraa,chanter,verbs,1.2
1142,sähkö,boîtier,nouns,0.65
1143,symboli,signe,nouns,5.45
1144,onnellinen,enjoué,adjectives,4.25
1145,ilmiselvästi,localement,adverbs,0.15
1146,pöytä,coucher de soleil,nouns,0.0
1147,jättää,apparaître,verbs,0.1
1148,sade,blizzard,nouns,2.65
1149,helppo,flexible,adjectives,1.4
1150,särkeä,fracasser,verbs,4.8
1151,valmistaa,gagner,verbs,0.4
1152,mekaanisesti,idéalement,adverbs,0.15
1153,liiketoiminta,entreprise,nouns,3.55
1154,keisari,constitution,nouns,0.75
1155,surullisesti,émotionnellement,adverbs,2.25
1156,saalis,dieu,nouns,0.05
1157,yö,jour,nouns,1.8
1158,valo,clavier,nouns,0.1
1159,poika,frère,nouns,2.35
1160,oppia,oublier,verbs,0.95
1161,silta,carte,nouns,0.25
1162,säännöllinen,ignorant,adjectives,0.45
1163,ilmaista,dire,verbs,4.6
1164,väkijuoma,vin,nouns,2.7
1165,rannekello,jupe,nouns,0.35
1166,avain,couronne,nouns,0.05
1167,puu,bateau,nouns,0.45
1168,säästö,épargnant,nouns,2.15
1169,varainkeruutapahtuma,événement,nouns,1.9
1170,syyttää,pousser,verbs,0.2
1171,hauska,triste,adjectives,0.8
1172,heikentyä,essuyer,verbs,0.25
1173,hengittää,étouffer,verbs,1.25
1174,helikopteri,avion,nouns,2.6
1175,nöyryyttää,conforter,verbs,0.45
1176,ilta,crépuscule,nouns,4.1
1177,luoda,détruire,verbs,0.95
1178,yhtenäisesti,parfois,adverbs,0.4
1179,kuppi,cône,nouns,0.3
1180,tuuli,bourrasque,nouns,4.25
1181,kävellä,boiter,verbs,2.75
1182,hyväksyä,être d'accord,verbs,3.95
1183,vilpittömästi,sérieusement,adverbs,1.9
1184,aamunkoitto,nuit,nouns,1.85
1185,yksinkertainen,difficile,adjectives,1.1
1186,artikkeli,manuscrit,nouns,2.1
1187,jänis,chat,nouns,1.6
1188,sotilas,paix,nouns,0.8
1189,kova,facile,adjectives,1.1
1190,piispa,archevêque,nouns,4.15
1191,merenranta,plage,nouns,4.0
1192,varastaa,acquérir,verbs,1.65
1193,uniikki,contraire,adjectives,0.4
1194,varovasti,soigneusement,adverbs,3.45
1195,hanska,balle,nouns,0.8
1196,käsikirja,guide,nouns,5.25
1197,vanhempi,adulte,nouns,3.5
1198,kriketti,supporter,nouns,0.35
1199,ovi,présence,nouns,0.15
1200,lentokone,jet,nouns,4.2
1201,sotkuinen,propre,adjectives,0.95
1202,ottaa,posséder,verbs,2.05
1203,makuuhuone,estomac,nouns,0.05
1204,paikantaa,trouver,verbs,4.7
1205,täysin,au fond,adverbs,1.4
1206,tavata,saluer,verbs,2.15
1207,ihanteellisesti,mécaniquement,adverbs,0.15
1208,varastaa,donner,verbs,0.85
1209,omena,soleil,nouns,0.3
1210,kirkkaasti,légèrement,adverbs,0.9
1211,voimallinen,faible,adjectives,0.9
1212,minttu,musée,nouns,0.0
1213,ulospäinsuuntautunut,agréable,adjectives,1.25
1214,nauraa,crier,verbs,1.15
1215,nainen,tâche,nouns,0.05
1216,käsivarsi,jambe,nouns,2.15
1217,käytävä,porte,nouns,1.3
1218,saavuttaa,recevoir,verbs,0.5
1219,terävä,terne,adjectives,0.25
1220,ajelehtia,couler,verbs,2.8
1221,mekko,danse,nouns,0.55
1222,terminaalisesti,différemment,adverbs,0.1
1223,johto,câble,nouns,4.05
1224,isä,parent,nouns,4.05
1225,juusto,pain,nouns,1.75
1226,lasi,cristal,nouns,3.2
1227,laakso,dépression,nouns,0.6
1228,uusi,vieux,adjectives,1.05
1229,työläinen,appareil photo,nouns,0.1
1230,keramiikka,céramique,nouns,4.25
1231,levy,chargeur,nouns,0.65
1232,käsi,pouce,nouns,2.55
1233,kerätä,secouer,verbs,0.25
1234,laskeutua,battre en retraite,verbs,0.8
1235,johtokunta,souris,nouns,0.0
1236,puhua,reconnaître,verbs,0.95
1237,piparminttu,gomme,nouns,0.95
1238,teatteri,batterie,nouns,0.05
1239,vahvuus,persévérance,nouns,3.75
1240,osallistua,débattre,verbs,0.7
1241,äiti,papa,nouns,2.25
1242,nihilismi,film,nouns,0.15
1243,tänään,ce soir,adverbs,3.2
1244,likainen,étroit,adjectives,0.1
1245,ilmoittaa,représenter,verbs,0.85
1246,viulu,guitare,nouns,2.45
1247,epätodennäköisesti,amical,adverbs,0.0
1248,kalenteri,vacances,nouns,1.55
1249,oppimaton,ordinaire,adjectives,0.45
1250,liikkua,tisser,verbs,0.7
1251,ase,canon,nouns,3.1
1252,vene,pont,nouns,1.1
1253,lammas,bétail,nouns,3.25
1254,risti,moine,nouns,1.15
1255,toimittaa,prendre,verbs,0.6
1256,hauta,réinhumation,nouns,1.75
1257,pysähtyä,conduire,verbs,0.85
1258,varallisuus,pauvreté,nouns,1.25
1259,muodoton,amorphe,adjectives,3.4
1260,täällä,maintenant,adverbs,1.25
1261,kärsimätön,inquiet,adjectives,1.75
1262,yhtenäinen,informe,adjectives,0.75
1263,opettaa,éduquer,verbs,4.55
1264,sekoittaa,boire,verbs,0.4
1265,raha,liquide,nouns,3.55
1266,seinä,château,nouns,0.95
1267,molekyyli,matrice,nouns,0.2
1268,auringonlasku,chaîne,nouns,0.0
1269,kahdesti,toujours,adverbs,1.15
1270,työntekijä,employeur,nouns,1.8
1271,tihkusade,pluie,nouns,4.4
1272,täydellisesti,vraiment,adverbs,2.65
1273,papu,café,nouns,0.65
1274,lemma,syllabe,nouns,1.5
1275,osallistua,arriver,verbs,0.55
1276,iloinen,heureux,adjectives,4.6
1277,vaalit,choix,nouns,3.05
1278,kristitty,protestant,nouns,3.7
1279,ostaa,payer,verbs,3.5
1280,henkilökunta,chanteur,nouns,0.2
1281,alkuperäisesti,créativement,adverbs,0.6
1282,olla tunnustamatta,négliger,verbs,1.25
1283,kiireellisesti,rapidement,adverbs,4.65
1284,lika,boue,nouns,2.9
1285,lenkkikengät,médaille,nouns,0.3
1286,todella,surtout,adverbs,2.3
1287,laivasto,île,nouns,0.7
1288,tukki,bain,nouns,0.0
1289,asianajaja,juriste,nouns,4.55
1290,salaatti,vinaigre,nouns,1.1
1291,sekularisti,religion,nouns,1.2
1292,hyytävä,rugueux,adjectives,0.45
1293,tarpeellinen,important,adjectives,4.7
1294,taimen,guitare,nouns,0.05
1295,suojella,défendre,verbs,4.9
1296,käsivarsi,os,nouns,1.8
1297,sheriffi,flic,nouns,3.75
1298,kuunnella,comprendre,verbs,2.15
1299,tarina,chanson,nouns,1.25
1300,rabbi,enseignant,nouns,2.05
1301,mekaanikko,ouvrier,nouns,3.1
1302,pilli,tâche,nouns,0.0
1303,kissa,animal de compagnie,nouns,3.6
1304,pakti,accord,nouns,5.2
1305,kapea,large,adjectives,1.1
1306,mulkoilla,loucher,verbs,0.7
1307,odottaa,laisser,verbs,0.8
1308,sisäkatto,sol,nouns,1.7
1309,vähentää,perdre,verbs,1.55
1310,puhelin,cabine,nouns,0.75
1311,pohjimmiltaan,pleinement,adverbs,1.4
1312,tuuma,mètre,nouns,2.45
1313,hyväntuulinen,délicieux,adjectives,1.15
1314,karkeasti,impatiemment,adverbs,0.75
1315,katto,sol,nouns,1.4
1316,kuume,maladie,nouns,3.05
1317,aikuinen,enfant,nouns,1.7
1318,juosta,chevaucher,verbs,1.2
1319,antaa,savoir,verbs,0.45
1320,lakimies,avocat,nouns,4.55
1321,brandy,alcool,nouns,3.2
1322,paha,immoral,adjectives,3.8
1323,poika,soldat,nouns,1.5
1324,kämppä,chalet,nouns,3.35
1325,päivä ,matin,nouns,2.6
1326,katto,plafond,nouns,4.15
1327,hammaslääkäri,orthodontiste,nouns,4.25
1328,puhua,chuchoter,verbs,3.4
1329,käsivarsi,genou,nouns,1.75
1330,synnintekijä,saint,nouns,1.05
1331,liha,pain,nouns,1.4
1332,tohtori,médecin,nouns,5.45
1333,kappale,nuit,nouns,0.1
1334,valehdella,nier,verbs,1.75
1335,tarpeeton,nécessaire,adjectives,1.05
1336,hävitä ,trouver,verbs,0.35
1337,tänä iltana,aujourd'hui,adverbs,3.2
1338,etsiä,regarder,verbs,2.0
1339,leipä,farine,nouns,2.0
1340,kruunu,clé,nouns,0.05
1341,hattu,boîte,nouns,0.7
1342,lukija,auteur,nouns,1.7
1343,näyttelijä,télévision,nouns,1.1
1344,viikonloppu,course,nouns,0.25
1345,tauti,infection,nouns,4.0
1346,innovatiivinen,créatif,adjectives,5.5
1347,sulkea,vomir,verbs,0.05
1348,salata,couvrir,verbs,3.2
1349,lannoite,croissance,nouns,1.45
1350,kertolasku,division,nouns,2.3
1351,mökki,hutte,nouns,3.35
1352,jää,neige,nouns,3.65
1353,hienostonut,mature,adjectives,1.3
1354,pitää,emprunter,verbs,1.15
1355,katu,ruelle,nouns,4.6
1356,siirrellä,conduire,verbs,0.55
1357,tohtori,caractère,nouns,0.0
1358,hypoteesi,théorie,nouns,4.55
1359,sana,dictionnaire,nouns,2.0
1360,mieletön,content,adjectives,0.7
1361,silta,voiture,nouns,0.45
1362,vika,système,nouns,0.3
1363,kangas,lin,nouns,2.75
1364,aktiivisesti,passivement,adverbs,1.05
1365,oikeudenmukaisuus,droit,nouns,4.05
1366,haistaa,gâcher,verbs,0.15
1367,moottoritie,tâche,nouns,0.05
1368,auto,camion,nouns,3.25
1369,kuvata,notifier,verbs,0.85
1370,vyötärö,repas,nouns,0.2
1371,hiiri,chat,nouns,1.8
1372,luoda,dessiner,verbs,2.35
1373,osavaltio,maison,nouns,0.1
1374,harvinainen,inhabituel,adjectives,5.15
1375,isä,fille,nouns,1.65
1376,kikattaa,rire,verbs,5.15
1377,paistaa,cuisiner,verbs,3.6
1378,antaa,mettre,verbs,1.35
1379,massiivinen,astronomique,adjectives,2.4
1380,illallinen,déjeuner,nouns,2.2
1381,valmiudet,force,nouns,2.75
1382,ilmapallo,peuple,nouns,0.0
1383,jonkun poika,garçon,nouns,4.3
1384,töykeä,agressif,adjectives,2.25
1385,ikkuna,nuage,nouns,0.4
1386,peittää,déguiser,verbs,3.2
1387,laatikko,chapeau,nouns,0.7
1388,epäluotettava,sournois,adjectives,5.1
1389,alkoholi,cocktail,nouns,3.0
1390,löytää,échapper,verbs,0.5
1391,automobiili,voiture,nouns,6.0
1392,lammas,agneau,nouns,4.55
1393,mahtavasti,fantastiquement,adverbs,5.3
1394,taksiauto,taxi,nouns,4.95
1395,yhdistää,attacher,verbs,3.5
1396,pätevyys,aptitude,nouns,5.1
1397,laimilyödä,renier,verbs,1.25
1398,sopimus,trou,nouns,0.0
1399,ilmeisesti,simplement,adverbs,0.9
1400,niitty,pâturage,nouns,4.15
1401,rehellisesti,jamais,adverbs,0.05
1402,pilvi,fenêtre,nouns,0.4
1403,sähköinen,doux,adjectives,0.2
1404,katu,voiture,nouns,0.85
1405,pää,pied,nouns,1.7
1406,auto,bateau,nouns,1.5
1407,amerikkalainen jalkapallo,plaisir,nouns,0.5
1408,harvinainen,exotique,adjectives,4.6
1409,iso,vaste,adjectives,3.95
