ID,SPA,SWA,PoS,score
708,injusto,jeuri,adjectives,2.15
709,carbón,makaa,nouns,2.95
710,asaltar,kushambulia,verbs,0.5
711,hijo,baba,nouns,1.05
712,manzana,mpangilio wa chakula,nouns,0.5
713,rey,mtoto wa mfalme,nouns,2.55
714,sobrevivir,kuhimili,verbs,1.35
715,vivir,kuishi,verbs,1.35
716,cama,hospitali,nouns,0.55
717,desear,kuazima,verbs,0.8
718,orgulloso,mjasiri,adjectives,0.15
719,pecador,mtakatifu,nouns,0.05
720,niño,kaka,nouns,2.2
721,accidente,balaa,nouns,2.65
722,mantener,kuazima,verbs,0.15
723,emocionado,sisimka,adjectives,0.7
724,estar de acuerdo,kukubali,verbs,2.35
725,principalmente,zaidi,adverbs,0.9
726,médula,damu,nouns,0.95
727,mucama,msichana,nouns,0.6
728,envase,chupa,nouns,1.3
729,gracioso,wa kuchosha,adjectives,0.1
730,pasillo,njia,nouns,0.4
731,insignias,insilia,nouns,0.2
732,frente,jicho,nouns,0.45
733,mantener,kushindwa,verbs,0.05
734,volverse,kujitokeza,verbs,1.05
735,ocasionalmente,mara chache,adverbs,1.25
736,culpa,kosa,nouns,0.1
737,enfermedad,hatari,nouns,0.75
738,brazo,mwili,nouns,1.5
739,armario,nguo,nouns,0.95
740,chocarse,kumgongano,verbs,3.0
741,horrible,mbaya,adjectives,1.9
742,parecer,kuwa,verbs,0.4
743,lengua,shavu,nouns,0.4
744,rabino,mwalimu,nouns,1.0
745,sandwich,chakula cha mchana,nouns,1.5
746,discutir,kukubaliana,verbs,0.4
747,caja,kibanda,nouns,0.65
748,hecho,ushahidi,nouns,2.05
749,alboroto,mgomo,nouns,0.05
750,construcción,uharibifu,nouns,0.2
751,caminar,kutembea ,verbs,0.15
752,esbelto,mwembamba,adjectives,3.85
753,viajar,kusafiri,verbs,2.85
754,avergonzado,jisikia aibu,adjectives,0.35
755,puesta de sol,macheo,nouns,1.25
756,conocido,inayojulikana,adjectives,0.2
757,ordinario,kawaida,adjectives,0.18
758,romper,kuvunja,verbs,2.85
759,disco,kompyuta,nouns,0.9
760,ahogar,kuwa nyororo,verbs,0.35
761,tedioso,kulivu,adjectives,0.05
762,maceta,kifaa,nouns,0.45
763,ordenador portátil,kipakatio,nouns,0.2
764,ocupado,bizi,adjectives,0.2
765,dividir,kuzidisha,verbs,0.4
766,canción,hadithi,nouns,0.6
767,perezoso,mvivu,adjectives,0.1
768,barato,si ghali,adjectives,5.3
769,club,klabu,nouns,0.45
770,marido,mke,nouns,0.95
771,aburrido,mkali,adjectives,0.05
772,cuello,mkono,nouns,0.4
773,sonido,sauti,nouns,3.4
774,pedir,kuuliza,verbs,0.45
775,compilador,mkusanyaji,nouns,0.4
776,venir,kuleta,verbs,0.65
777,difícil,rahisi,adjectives,0.1
778,cereal,ngano,nouns,2.1
779,aceptar,kupeleka,verbs,0.2
780,olvidar,kudumisha,verbs,0.2
781,habitación,kitanda,nouns,0.9
782,morder,kung'ata,verbs,0.45
783,coro,kiitiko,nouns,0.95
784,espíritu,mungu,nouns,1.85
785,discutir,kueleza,verbs,1.4
786,vena,chaguo,nouns,0.05
787,tejer,krocheti,nouns,0.15
788,rezar,kuuliza,verbs,1.0
789,afirmativamente,vyema,adverbs,0.45
790,galaxia,giligili,nouns,0.1
791,dar,kujua,verbs,0.25
792,alcohol,jini,nouns,2.4
793,permanecer,kubaki,verbs,2.05
794,teléfono,simu,nouns,2.35
795,castigar,kuadhibu,verbs,0.5
796,concurrencia,mapatano,nouns,0.15
797,sucio,chafu,adjectives,0.53
798,prohibir,kukataza,verbs,2.3
799,caja,lifti,nouns,0.15
800,carne,nyama,nouns,3.55
801,pistola,manyoya,nouns,0.05
802,fertilizante,samadi,nouns,0.45
803,tranvía,tramu,nouns,2.4
804,caos,mchafuko,nouns,4.1
805,antiguo,wa kisasa,adjectives,0.15
806,cañón,bonde,nouns,1.55
807,prepucio,govi,nouns,1.95
808,volar,nzi,nouns,0.45
809,oficialmente,rasmi,adverbs,0.23
810,globo,watu,nouns,0.25
811,buey,farasi,nouns,0.85
812,tronco,mbao,nouns,3.25
813,cita,siku ya kuzaliwa,nouns,1.4
814,dios,padri,nouns,1.05
815,inteligente,mwerevu,adjectives,4.5
816,suerte,enye bahati,adjectives,0.0
817,locamente,kwa hasira,adverbs,0.9
818,recordar,kuuza,verbs,0.0
819,reunirse,kukusanya,verbs,2.55
820,meteorito,meteor,nouns,0.7
821,amplio,mwembamba,adjectives,0.15
822,río,bahari,nouns,2.4
823,alegar,kujipendekeza,verbs,0.55
824,nihilismo,kutoamini dini,nouns,0.1
825,lanzar,kukutolewa,verbs,0.2
826,iglesia,kanisa,nouns,4.35
827,mantequilla,kiazi,nouns,0.45
828,madre,mke,nouns,2.4
829,rechazar,kukubali,verbs,0.15
830,descolorarse,kufifia,verbs,1.0
831,jabonaduras,puto,nouns,1.65
832,opinión,wazo,nouns,4.6
833,soldado,mwanajeshi,nouns,0.25
834,descubrir,kutokana,verbs,0.85
835,ceremonia,sherehe,nouns,4.75
836,barco de cañón,meli ya vita,nouns,0.45
837,firmemente,kiukakamavu,adverbs,0.55
838,innecesario,lazima,adjectives,0.15
839,puerta,undugu,nouns,0.2
840,tema,kitabu,nouns,0.45
841,contaminación,angahewa,nouns,0.75
842,gente,dola,nouns,0.4
843,perder,poteza,verbs,0.05
844,suerte,furaha,nouns,0.45
845,gente,sherehe,nouns,0.6
846,playa,mchanga,nouns,1.1
847,hacer,kuwa,verbs,0.25
848,pollo,wali,nouns,0.35
849,ilegal,wa dhambi,adjectives,2.05
850,poderoso,mwenye nguvu,adjectives,0.25
851,feo,mbaya,adjectives,0.95
852,nacional,kitaifa,adjectives,0.2
853,símbolo,msimbo,nouns,2.1
854,bote,nanga,nouns,1.0
855,palabra,ishara,nouns,0.3
856,idealmente,walau,adverbs,0.7
857,potro,farasi,nouns,3.45
858,coche,daraja,nouns,0.15
859,prueba,jaribio,nouns,1.0
860,dios,roho,nouns,1.85
861,interrumpir,kunyanyasa,verbs,2.6
862,dulce,tamu,adjectives,0.0
863,puerta,jiko,nouns,0.4
864,dar,kuazima,verbs,0.65
865,enojado,mkubwa sana,adjectives,0.05
866,firmemente,kwa dhati,adverbs,0.5
867,músculo,mkono,nouns,0.85
868,fallar,kukanya,verbs,0.5
869,naturalmente,kiasili,adverbs,0.7
870,robar,kuchukua,verbs,1.05
871,hermano,roho ,nouns,0.2
872,tronco,kuni,nouns,3.8
873,crimen,wizi,nouns,3.6
874,golpear,piga,verbs,0.75
875,antiguo,zamani,adjectives,0.0
876,silbar,mluzi,verbs,0.25
877,romper,kuchana,verbs,0.05
878,petróleo,ngozi,nouns,0.05
879,dar,kuweka,verbs,0.6
880,hotel,fleti,nouns,0.85
881,bonito,mkorofi,adjectives,0.1
882,hombro,mwili,nouns,0.85
883,puerta,lango,nouns,5.0
884,manzana,malimau,nouns,0.5
885,reñir,kulaani,verbs,0.25
886,independientemente,kwa kujitegemea,adverbs,0.8
887,corazón,upasuaji,nouns,0.8
888,mujer,mke,nouns,3.5
889,esquí,skiing,nouns,2.45
890,ritmo,hesabu,nouns,0.45
891,conocido,julikana,adjectives,2.6
892,frijol,nyama ya nguruwe,nouns,0.25
893,depender,kuhitaji,verbs,1.55
894,sofisticado,kisasa,adjectives,0.75
895,batería,betri,nouns,0.1
896,piel,ngozi,nouns,1.23
897,mejilla,ulimi,nouns,0.4
898,carne,mkate,nouns,0.35
899,fiscal,mwendesha mashtaka,nouns,3.05
900,ópera,opera,nouns,1.35
901,pretender,kuonyesha,verbs,0.65
902,aproximadamente,kwa kukadiria,adverbs,0.33
903,desear,kua na hamu,verbs,4.35
904,contribución,mchango,nouns,3.05
905,ahogar,kutota,verbs,0.15
906,comprender,kusoma,verbs,1.2
907,indigente,wasio na makazi,nouns,0.1
908,generosamente,kwa ukarimu,adverbs,0.0
909,pelota,mpira,nouns,0.95
910,avión,ndege,nouns,0.0
911,pelota,glavu,nouns,1.25
912,agua,maji,nouns,0.35
913,conquista,nyimbo,nouns,0.2
914,ángel,malaika,nouns,0.65
915,coche,mpira wa maji,nouns,0.15
916,dolor,aibu,nouns,0.65
917,encoger,kupotea,verbs,0.65
918,siglo,miaka kumi,nouns,0.55
919,terminalmente,mwishoni,adverbs,0.0
920,vendaval,upepo mkali,nouns,0.05
921,mujer,mwanamke,nouns,0.15
922,terminar,maliza,verbs,0.9
923,vestir,kuvaa,verbs,0.05
924,ir,kutuma,verbs,0.4
925,loco,mgonjwa,adjectives,0.9
926,especialmente,makusudi,adverbs,2.4
927,tratar,kufikiria,verbs,0.35
928,diputado,msaidizi,nouns,1.05
929,ambiente,mazingira,nouns,0.05
930,responsablemente,kwa kuwajibika,adverbs,1.15
931,obviamente,ni wazi,adverbs,0.2
932,bandera,bendera,nouns,0.5
933,bañera,chumba,nouns,0.4
934,originar,kugundua,verbs,0.85
935,átomo,kaboni,nouns,1.05
936,delta,delta,nouns,1.05
937,suéter,fulana,nouns,0.45
938,cabina,simu,nouns,1.8
939,esposa,kuoga,nouns,0.1
940,eczema,uwasho,nouns,2.4
941,activamente,kikamilifu,adverbs,0.05
942,camión,gari la mzigo,nouns,0.3
943,político,mwanasiasa,nouns,0.2
944,cañita,mke,nouns,0.15
945,defender,kuua,verbs,0.25
946,visón,mafuta,nouns,0.05
947,pájaro,mwewe,nouns,2.95
948,centavo,saizi,nouns,0.15
949,ministro,rabai,nouns,1.0
950,cocodrilo,mamba,nouns,2.55
951,desesperación,taabu,nouns,2.35
952,encontrar,kupotea,verbs,0.25
953,concepto,imani,nouns,1.5
954,sangre,uboho,nouns,0.95
955,estrecho,mchafu,adjectives,0.0
956,canela,mdalasini,nouns,0.55
957,envase,mkokoteni,nouns,0.0
958,tejado,dari,nouns,4.55
959,pasillo,darasa,nouns,0.15
960,padre,mungu,nouns,1.95
961,personal,kibinasfi,adjectives,3.65
962,muñeca,mkono,nouns,0.9
963,hacer,kuacha,verbs,0.25
964,barato,mchafu,adjectives,0.05
965,rodilla,mkono,nouns,0.45
966,conducir,endesha,verbs,0.3
967,avión,uwanja wa ndege,nouns,1.55
968,operación,uendeshaji,nouns,0.75
969,percibir,kung'amua,verbs,1.2
970,duro,bila jasho,adjectives,0.15
971,piso,mlango,nouns,0.5
972,traer,kuja,verbs,0.65
973,industria,biashara,nouns,2.4
974,oír,kusikiliza,verbs,5.05
975,tema,hadithi,nouns,0.5
976,pago,malipo,nouns,1.65
977,obstinado,msumbufu,adjectives,0.8
978,idea,oni,nouns,4.6
979,lluvia,mvua,nouns,0.55
980,cañón,mpira,nouns,0.3
981,enterrar,kuzika,verbs,3.0
982,goma,fizi,nouns,0.05
983,heroína,mwanaume wa shujaa,nouns,2.45
984,póster,bango,nouns,1.15
985,exprimir,kuminya,verbs,0.55
986,vestir,gauni,nouns,0.15
987,pesado,mkubwa,adjectives,1.4
988,tarjeta,daraja,nouns,0.1
989,cielo,anga,nouns,0.3
990,aclarar,kueleza,verbs,4.65
991,en tono rimbombante,kwa umuhimu,adverbs,0.05
992,elefante,ndovu,nouns,0.25
993,indagar,kuangalia,verbs,3.35
994,vacaciones,likizo,nouns,0.65
995,profesor,rafiki,nouns,0.4
996,sobrio,kutolewa,adjectives,0.1
997,corriente,mto,nouns,2.8
998,largo,mfupi,adjectives,0.15
999,desaparecer,kutoweka,verbs,5.4
1000,firmemente,kwa kidete,adverbs,0.15
1001,palabra,sentensi,nouns,1.95
1002,calle,gari,nouns,0.15
1003,obtener,kushindwa,verbs,0.2
1004,discutir,kujadili,verbs,0.3
1005,infinito,usio na mwisho,nouns,0.4
1006,trono,kiti cha enzi,nouns,0.2
1007,director,mkurugenzi,nouns,4.25
1008,apocalipsis,siku ya mwisho,nouns,0.45
1009,partido,sherehe,nouns,0.2
1010,probable,uwezekano,adverbs,3.85
1011,ahogarse,kupumua,verbs,0.3
1012,sal,maji,nouns,0.35
1013,dar,kuweka,verbs,0.45
1014,curso,tendo,nouns,0.85
1015,obvio,wa kuona,adjectives,2.65
1016,aceptar,kuitikia,verbs,3.38
1017,ordenado,kwa mpangilio,adjectives,0.1
1018,nube,vumbi,nouns,0.75
1019,disco,diski,nouns,0.2
1020,mujer,sekretari,nouns,0.5
1021,inexactamente,si kwa usahihi,adverbs,0.05
1022,limpiar,kung'arisha,verbs,0.0
1023,empujar,kusukuma,verbs,1.45
1024,oír,kusikia,verbs,1.2
1025,pedir,kutaka,verbs,0.25
1026,avestruz,mbuni,nouns,0.2
1027,día,usiku,nouns,0.7
1028,fácil,bila jasho,adjectives,4.8
1029,aprobar,kukubali,verbs,3.75
1030,amigo,mama,nouns,0.25
1031,esencialmente,kimsingi,adverbs,0.75
1032,encontrar,kujipatia,verbs,0.9
1033,caos,vurugu,nouns,0.1
1034,poner,kupata,verbs,0.25
1035,violento,wa ghadhabu,adjectives,1.55
1036,campanario,kanisa dogo,nouns,0.55
1037,tomar,kuchukua,verbs,0.95
1038,ejército,jeshi la wanamaji,nouns,4.2
1039,sintaxis,sintaksia,nouns,0.8
1040,hermano,baba,nouns,0.35
1041,ahora,sasahivi,adverbs,1.7
1042,cama,blanketi,nouns,1.2
1043,a menudo,mara nyingi,adverbs,1.65
1044,coche,geji,nouns,0.25
1045,inclinarse,kupendelea,verbs,2.4
1046,silla,benchi,nouns,4.05
1047,cultura,utamaduni,nouns,1.7
1048,casco,helmeti,nouns,0.9
1049,brazo,shingo,nouns,0.4
1050,multitud,fungu,nouns,0.45
1051,burbuja,mapovu,nouns,1.65
1052,fuego,moto,nouns,0.45
1053,profesor,mwalimu,nouns,0.85
1054,bote,meli,nouns,0.15
1055,inteligencia,ustadi,nouns,2.35
1056,necesitado,mhitaji,adjectives,0.35
1057,honesto,ana hatia,adjectives,0.15
1058,tímido,aibu,adjectives,0.2
1059,álgebra,algebra,nouns,0.75
1060,peligro,tishio,nouns,4.25
1061,maduro,kukomaa,adjectives,0.75
1062,negativo,hasi,adjectives,0.95
1063,metro,yadi,nouns,2.65
1064,retirar,kukataa,verbs,0.65
1065,musulmán,mwislamu,nouns,0.25
1066,desformado,kutobadilishwa,adjectives,0.35
1067,cocina,mlango,nouns,0.4
1068,planta,mmea,nouns,1.2
1069,picante,pilipili,adjectives,0.0
1070,valor,imani,nouns,1.3
1071,cooperar,kushiriki,verbs,3.75
1072,dedo,kiganja,nouns,0.95
1073,imaginar,kuumba,verbs,0.65
1074,cuerpo,kifua,nouns,1.5
1075,crudo,mbaya,adjectives,1.45
1076,lluvia,mvuke,nouns,0.5
1077,escritor,muandishi,nouns,0.05
1078,banda,wanamuziki,nouns,4.6
1079,árbol,mti,nouns,1.05
1080,cocina,bafu,nouns,0.4
1081,caja,sigara,nouns,0.35
1082,hacer,kutukia,verbs,0.45
1083,ignorancia,akili,nouns,0.55
1084,emocionante,sisimsha,adjectives,0.1
1085,crear,kuharibu,verbs,0.1
1086,educar,kuelimisha,verbs,5.2
1087,célula,gerezani,nouns,0.95
1088,casa,jimbo,nouns,0.2
1089,adquirir,kutafuta,verbs,0.9
1090,guante,mpira,nouns,1.25
1091,realizar,kuwa,verbs,0.4
1092,refutar,kukanusha,verbs,0.25
1093,opuesto,kinyume,adjectives,0.85
1094,determinar,kutambulisha,verbs,0.35
1095,siempre,mara kwa mara,adverbs,0.3
1096,pista,neno,nouns,0.3
1097,justicia,haki,nouns,2.25
1098,germen,vijidudu,nouns,2.5
1099,capacidad,ustadi,nouns,3.55
1100,mono,nyani,nouns,0.05
1101,administración,panya,nouns,0.0
1102,alumno,mwanafunzi,nouns,4.95
1103,fácil,mkubwa,adjectives,0.05
1104,después,baadae,adverbs,0.2
1105,empatar,kufunga,verbs,0.75
1106,flexible,rahisi kubadilika,adjectives,1.15
1107,aire,molekuli,nouns,0.65
1108,freír,kaanga,verbs,0.9
1109,civilización,ustaarabu,nouns,1.35
1110,pretender,jifanya,verbs,1.75
1111,computadora,kompyuta,nouns,3.35
1112,novela,simulizi,nouns,0.85
1113,informe,bila shepu,adjectives,1.95
1114,desintegrarse,kutenganisha,verbs,0.35
1115,excesivamente,isiyo na akili,adverbs,0.0
1116,injustamente,si kwa haki,adverbs,0.1
1117,envoltura,kanga,nouns,0.05
1118,normal,si wa kawaida,adjectives,0.25
1119,seguramente,kwa kuaminika,adverbs,0.6
1120,millonario,milionea,nouns,1.3
1121,ritmo,mahadhi,nouns,0.9
1122,avergonzado,mwenye kiasi,adjectives,0.4
1123,obrero,mfanyakazi,nouns,0.4
1124,ojear,kufinya macho,verbs,0.4
1125,conejo,paka,nouns,0.65
1126,negociación,jadiliano,nouns,2.0
1127,posterior,nyuma,nouns,2.55
1128,felicidad,amani,nouns,2.0
1129,ofender,kukashifu,verbs,3.85
1130,vaso,glasi,nouns,0.35
1131,príncipe,mfalme,nouns,2.55
1132,padre,mtoto wa kiume,nouns,1.05
1133,materialista,mwanaisilamu,nouns,0.95
1134,proteger,kukinga,verbs,4.85
1135,salsa,matofaa,nouns,0.35
1136,suavemente,kwa ulaini,adverbs,0.15
1137,brazo,mguu,nouns,1.1
1138,libro,fasihi,nouns,2.2
1139,decir,kushiriki,verbs,0.65
1140,galería,nyumba ya sanaa,nouns,0.1
1141,antiguo,mpya,adjectives,0.15
1142,absorber,kutoa,verbs,0.9
1143,disfrutar,kuburudisha,verbs,2.25
1144,escapar,kuhepa,verbs,0.15
1145,tifón,dhoruba,nouns,4.6
1146,chico,msichana,nouns,0.7
1147,esposa,mume,nouns,0.95
1148,jardín,mpira wa maji,nouns,0.3
1149,historia,mada,nouns,0.5
1150,grande,rahisi,adjectives,0.05
1151,esposa,tundu,nouns,0.0
1152,gestión,utawala,nouns,3.35
1153,escuchar,kujifunza,verbs,0.6
1154,pelota,mpira,nouns,2.25
1155,cola,mkia,nouns,2.55
1156,esfumarse,kupotea,verbs,5.4
1157,criticar,kupinga,verbs,0.65
1158,elección,mshipa,nouns,0.05
1159,parlamento,bunge,nouns,3.1
1160,sugerir,kupendekeza,verbs,3.95
1161,lengua,koo,nouns,1.15
1162,lluvia,manyunyu,nouns,4.5
1163,aprovechar,kamata,verbs,0.95
1164,venir,kwenda,verbs,0.7
1165,alfabeto,alphabeti,nouns,0.4
1166,rectamente,kwa ,adverbs,0.55
1167,enviar,kupokea,verbs,0.45
1168,piel,bunduki,nouns,0.05
1169,pulgada,mita,nouns,1.75
1170,vena,mkono,nouns,0.5
1171,retratar,kujifanya,verbs,0.65
1172,abrigo,kibanda,nouns,0.35
1173,pasivamente,kwa kutegemewa,adverbs,0.0
1174,semanal,kwa wiki,adjectives,0.3
1175,apartamento,nyumba,nouns,4.0
1176,estambre,stameni,nouns,1.6
1177,patatas fritas,kibanzi,nouns,0.0
1178,hermano,mvulana,nouns,2.2
1179,pared,tofali,nouns,1.55
1180,dios,baba,nouns,1.95
1181,palma,kidole,nouns,0.95
1182,tubo,sigara,nouns,0.2
1183,flor,chavua,nouns,1.6
1184,ortodoncista,daktari,nouns,2.45
1185,susurrar,kunong'oneza,verbs,1.35
1186,danza,densi,nouns,0.15
1187,lloriquear,kutoa machozi,verbs,5.1
1188,paga,kulipa,verbs,0.93
1189,tener éxito,kujaribu,verbs,0.7
1190,brazo,misuli,nouns,0.85
1191,esperar,kungoja,verbs,0.2
1192,manta,blanketi,nouns,0.05
1193,sensor,sensa,nouns,0.9
1194,adquirir,kupata,verbs,1.55
1195,chocarse con,kugonga,verbs,1.35
1196,nadar,kuogelea,verbs,0.0
1197,piña,nanasi,nouns,0.0
1198,corredor,ukumbi,nouns,0.25
1199,sacerdote,mungu,nouns,1.05
1200,habitación,chumba,nouns,0.85
1201,anormalmente,sikawaida,adverbs,0.1
1202,de manera segura,kwa ulinzi,adverbs,3.2
1203,nariz,kinywa,nouns,0.65
1204,padre,mtoto wa kike,nouns,0.35
1205,simpático,kirafiki,adverbs,0.0
1206,pionero,njia,nouns,0.4
1207,lámpara,taa,nouns,0.5
1208,sufragio,haki ya upigaji kura,nouns,0.05
1209,abierto,bila siri,adjectives,0.15
1210,puerta,mlango wa kutoka,nouns,1.75
1211,economía,uchumi,nouns,0.35
1212,pedir prestado,kuweka,verbs,0.15
1213,informar,arifu,verbs,0.0
1214,unirse,kushirikiana,verbs,3.2
1215,nuevo,ya zamani,adjectives,0.15
1216,explorar,kupuuza,verbs,0.15
1217,escritor,mwandishi,nouns,0.85
1218,persona,mtu,nouns,2.7
1219,cansado,choka,adjectives,0.5
1220,fin de semana,wiki,nouns,1.95
1221,diapositiva,teleza,nouns,0.25
1222,informar,kujulisha,verbs,5.05
1223,nieve,theluji,nouns,3.45
1224,recientemente,hivi karibuni,adverbs,0.0
1225,desear,kuchagua,verbs,1.15
1226,probar,kugombana,verbs,0.3
1227,huerta,kiunga,nouns,0.2
1228,número,nambari,nouns,5.25
1229,carne de vaca,nyama ya ng'ombe,nouns,3.55
1230,piedra,jiwe,nouns,0.45
1231,edificio,jengo,nouns,0.85
1232,retratar,kuamua,verbs,0.35
1233,cristal,bilauri,nouns,0.9
1234,sequía,ukame,nouns,0.7
1235,cruel,katili,adjectives,2.15
1236,bien,sawa,adjectives,0.45
1237,nube,ukungu,nouns,3.05
1238,descomponer,kuoza,verbs,2.5
1239,retratar,kuiga,verbs,2.0
1240,duna,dune,nouns,2.35
1241,alterar,kubadilisha,verbs,4.75
1242,órgano,figo,nouns,2.8
1243,opinión,chaguo,nouns,1.35
1244,buscar,kutafuta,verbs,1.83
1245,trabajo,jukumu,nouns,3.85
1246,cuaderno,daftari,nouns,0.13
1247,catedral,kanisa kuu,nouns,4.35
1248,sociobiología,jamii,nouns,0.2
1249,deambular,kutangatanga,verbs,1.15
1250,furia,hasira,nouns,4.5
1251,aceptar,kukubali,verbs,0.1
1252,fallar,kufanikiwa,verbs,0.15
1253,hospital,kitanda,nouns,0.55
1254,oveja,mwanakondoo,nouns,3.8
1255,estar de acuerdo,kuhusika,verbs,0.45
1256,dólar,watu,nouns,0.4
1257,valle,korongo,nouns,1.55
1258,chocolate,keki,nouns,1.15
1259,ir,kuenda,verbs,2.85
1260,activo,mali,nouns,2.75
1261,información,habari,nouns,0.4
1262,cámara,rais,nouns,0.45
1263,programa,mradi,nouns,0.05
1264,volverse,kutengeneza,verbs,0.25
1265,encantador,mchangamfu,adjectives,1.9
1266,explicar,kujadili,verbs,1.4
1267,recordar,kumbusha,verbs,0.65
1268,rojo,nyekundu,adjectives,0.55
1269,humilde,mnyenyekevu,adjectives,4.6
1270,coche,mtaa,nouns,0.15
1271,moisés,mlazi,nouns,2.6
1272,ganado,mifugo,nouns,0.35
1273,pie,mkono,nouns,0.95
1274,críticamente,kwa uweledi,adverbs,0.75
1275,cine,sinema,nouns,1.97
1276,significativamente,kwa maana,adverbs,2.4
1277,insultar,kutukana,verbs,3.85
1278,suelo,dari,nouns,0.45
1279,frijol,kahawa,nouns,0.3
1280,sospechar,kushukia,verbs,0.4
1281,obrero,makanika,nouns,2.0
1282,construir,kujumlisha,verbs,0.6
1283,ansioso,mwenye woga,adjectives,4.4
1284,otro,wengine,adjectives,0.55
1285,cabina,kambi,nouns,0.75
1286,preguntar,ulizia,verbs,1.5
1287,atmósfera,uchafuzi,nouns,0.75
1288,imitar,kuiga,verbs,0.2
1289,pacto,mapatano,nouns,5.3
1290,templar,daktari,nouns,0.15
1291,evaluar,kuchanganua,verbs,4.35
1292,caja,kofia,nouns,0.2
1293,inmencionable,haionekani,adjectives,0.15
1294,puerta,korido,nouns,0.55
1295,explorar,kugundua,verbs,2.85
1296,asistir,kukusanya,verbs,0.7
1297,trabajo,menejimenti,nouns,1.0
1298,mar,ziwa,nouns,3.5
1299,tonto,hodari,adjectives,0.4
1300,cabina,katoni,nouns,0.75
1301,cajón,nguo,nouns,1.0
1302,cabeza,msumari,nouns,0.35
1303,presencia,mshindi,nouns,0.25
1304,hambriento,kua na njaa,adjectives,0.5
1305,brazo,goti,nouns,0.45
1306,puerta,uwepo,nouns,0.3
1307,ángulo,tao,nouns,1.8
1308,agudo,ncha kali,adjectives,0.25
1309,estrella,nyota,nouns,3.0
1310,periodista,mwanahabari,nouns,0.65
1311,madera,gogo,nouns,3.8
1312,presidente,mwanachuo,nouns,0.15
1313,hielo,barafu,nouns,3.45
1314,largo,mwembamba,adjectives,0.25
1315,dinero,lulu,nouns,0.5
1316,niño,patna,nouns,0.25
1317,con confianza,kwa kujiamini,adverbs,0.6
1318,felizmente,kwa furaha,adverbs,0.15
1319,bañera,mke,nouns,0.1
1320,cero,sufuri,nouns,0.4
1321,tía,mpwa,nouns,0.4
1322,boca,jino,nouns,1.35
1323,alegar,kuuliza,verbs,1.05
1324,groseramente,yenye kukwaruza,adverbs,0.25
1325,cañón,bunduki,nouns,1.55
1326,honor,heshima,nouns,1.55
1327,imagen,wazo,nouns,1.35
1328,ladrillo,ukuta,nouns,1.55
1329,cuerpo,bega,nouns,0.85
1330,extranjero,mgeni,nouns,0.25
1331,vagón,gari la farasi,nouns,3.1
1332,llegar,kuja,verbs,2.6
1333,niño,wali,nouns,0.0
1334,cumpleaños,mwaka,nouns,1.0
1335,violín,chombo,nouns,2.35
1336,condición,mvulana,nouns,0.05
1337,orgullosamente,kwa jeuri,adverbs,0.08
1338,no usado,haijatumika,adjectives,5.3
1339,choza,makao,nouns,0.35
1340,evacuar,kuondoka,verbs,0.35
1341,envase,panya,nouns,0.05
1342,ir,kuanza,verbs,0.35
1343,cable,amari,nouns,0.0
1344,importante,lazima,adjectives,3.15
1345,enfadado,safi,adjectives,0.1
1346,fácilmente,kirahisi,adverbs,3.55
1347,descubierto,haijafunikwa,adjectives,0.2
1348,diferir de,kukubali,verbs,0.2
1349,añadir,kuunda,verbs,0.6
1350,saliente,inayotoka,adjectives,0.25
1351,puerto,bandari,nouns,0.05
1352,techo,sakafu,nouns,0.55
1353,roncar,kung'orota,verbs,0.15
1354,formal,sahihi,adjectives,2.3
1355,dinero,almasi,nouns,0.6
1356,capilla,kanisa ,nouns,0.0
1357,codo,mfupa,nouns,0.65
1358,golpear,kupiga,verbs,0.07
1359,esposa,mama,nouns,2.4
1360,deambular,kuondoka,verbs,1.0
1361,simpático,mkarimu,adjectives,2.0
1362,hombre,mwanamke,nouns,1.0
1363,huir,kukimbia,verbs,4.85
1364,resolver,kutoa suluhisho,verbs,2.5
1365,presidente,meya,nouns,1.45
1366,salir,kuondoka,verbs,0.23
1367,dentista,kanali,nouns,0.2
1368,partido,watu,nouns,0.6
1369,prejuicio,ubaguzi,nouns,1.85
1370,dar,kupokea,verbs,0.45
1371,deshonesto,si mwaminifu,adjectives,0.1
1372,realizar,kutumbuiza,verbs,0.2
1373,examinar,kukagua,verbs,4.4
1374,célula,chumba,nouns,0.35
1375,alfombra,nyumba,nouns,0.25
1376,hombre,mlinzi,nouns,0.8
1377,creer,kujua,verbs,0.85
1378,paraguas,mwamvuli,nouns,0.1
1379,cabina,chumba cha rubani,nouns,0.65
1380,ciencia,saikolojia,nouns,1.55
1381,quemar,kuunguza,verbs,0.05
1382,hacer,kuchuma,verbs,0.45
1383,sagrado,takatifu,adjectives,1.75
1384,show,onyesha,nouns,0.05
1385,observar,kutazama,verbs,4.85
1386,prueba,ukweli,nouns,2.05
1387,hacer,kuumba,verbs,4.15
1388,motor,injini,nouns,1.8
1389,desalentar,kukatisha tamaa,verbs,0.65
1390,gobierno,serikali,nouns,0.0
1391,aproximadamente,takriban,adverbs,0.28
1392,pan,nyama,nouns,0.35
1393,malo,ana hatia,adjectives,1.6
1394,construir,kuumba,verbs,4.1
1395,yarda,mita,nouns,2.65
1396,dios,windo,nouns,0.0
1397,enfermera,mwanasayansi,nouns,0.35
1398,malo,mkubwa sana,adjectives,0.05
1399,perseguir,kushawishi,verbs,0.5
