ID,CYM,YUE,PoS,score
736,ystafell ymolchi,廚房,nouns,0.63
737,sicr,肯定,adjectives,5.5
738,pobi,炒,verbs,1.88
739,llygredd,騙局,nouns,0.96
740,offeryn,工作,nouns,0.14
741,cul,寬廣,adjectives,0.18
742,seren,教堂,nouns,0.37
743,lwc,幸福,nouns,0.85
744,dadlau,抱怨,verbs,0.64
745,anghofio,提醒,verbs,0.1
746,bargeinio,賣,verbs,0.85
747,ffa,咖啡,nouns,0.68
748,cinio,餐,nouns,3.0
749,ymwrthod,壓抑,verbs,0.24
750,mawr,容易,adjectives,0.0
751,anrhydedd,敬重,nouns,2.71
752,llidiog,猶豫,adjectives,0.23
753,nodyn,付款,nouns,0.33
754,ynys,任務,nouns,0.0
755,cydweithredu,參與,verbs,1.08
756,mwstard,種子,nouns,0.7
757,cysuro,羞辱,verbs,0.0
758,ychwanegu,乘,verbs,1.27
759,ysgrifennu,匆匆地寫,verbs,3.37
760,amsugno,退出,verbs,0.45
761,hyfforddiant,獎學金,nouns,0.81
762,rhoi,得到,verbs,0.15
763,angenrheidiol,不需要,adjectives,0.04
764,siarad,低語,verbs,1.69
765,trosedd,詐騙,nouns,2.62
766,silff,山,nouns,0.0
767,pibell,花園,nouns,0.04
768,ymchwilio,檢查,verbs,3.89
769,gwellt,妻子,nouns,0.0
770,ysgubor,屋,nouns,0.56
771,yn ddigynnwrf,巧妙的,adverbs,0.76
772,enaid,兄弟,nouns,0.0
773,rhuthro,匆忙,verbs,4.93
774,llaeth,果汁,nouns,0.73
775,storm,颶風,nouns,3.24
776,dychan,神話,nouns,0.43
777,pryd bwyd,腰部,nouns,0.0
778,mynnu,訓斥,verbs,0.15
779,map,廣場,nouns,0.23
780,clariffeio,說明,verbs,3.92
781,pobl,元,nouns,0.0
782,morgrugyn,蜜蜂,nouns,1.27
783,yn hysbys,國民,adjectives,0.0
784,sleid,光標,nouns,0.14
785,arwres,英雄,nouns,3.9
786,yn realistig,最近,adverbs,0.32
787,barnu,決定,verbs,2.9
788,gwraig,老公,nouns,2.09
789,bowlio,保齡球選手,nouns,1.56
790,rheolaidd,無知,adjectives,0.04
791,yn sylfaenol,充分,adverbs,0.36
792,ifanc,開心,adjectives,0.2
793,yn oddefol,積極地,adverbs,0.04
794,parsel,貨車,nouns,0.44
795,lleihau,降落,verbs,0.35
796,niwtral,冷靜,adjectives,0.78
797,dinistrio,保留,verbs,0.1
798,swil,昂貴,adjectives,0.0
799,dewis,章,nouns,0.04
800,annheg,殘忍,adjectives,1.22
801,anelu,打中,verbs,1.1
802,diffiniad,字典,nouns,1.45
803,parti,人們,nouns,0.86
804,gweithiwr,機器匠,nouns,2.0
805,yn ddigynnwrf,堅固地,adverbs,1.01
806,môr,河流,nouns,1.69
807,portreadu,決定,verbs,0.0
808,gwely,睡房,nouns,1.77
809,yn wahanol,終末,adverbs,0.04
810,cymysgu,攪拌,verbs,3.73
811,casglu,見面,verbs,0.81
812,biolegydd,顯微鏡,nouns,0.77
813,chwaer,兄弟,nouns,1.63
814,bwydlen,點菜,nouns,0.61
815,hylif,噴嘴,nouns,0.14
816,gadael,見面,verbs,0.05
817,ymlid,跟隨,verbs,2.08
818,gwadu,坦白,nouns,0.38
819,balŵn,人,nouns,0.0
820,gwydn,容易,adjectives,0.18
821,argyhoeddi,拗撬,verbs,0.43
822,sillaf,詞元,nouns,0.46
823,gadael,徘徊,verbs,0.54
824,canon,球,nouns,0.39
825,ceirchen,田,nouns,0.51
826,blaengroen,割禮,nouns,1.27
827,sudd,蘋果,nouns,0.81
828,sarsiant,槍,nouns,0.48
829,dewis,想,verbs,0.59
830,ceiniog,付款,nouns,0.63
831,trafodaeth,爭論,nouns,3.46
832,cydymaith,夥伴,nouns,3.74
833,gwych,精彩,adjectives,4.64
834,cadlong,主力艦,nouns,3.22
835,alwminiwm,錫,nouns,2.19
836,plentynaidd,傻,adjectives,2.28
837,cynhesu,再熱,nouns,2.78
838,gwrthod,避免,verbs,0.79
839,brwnt,非常好,adjectives,0.0
840,yn heddychlon,自豪地,adverbs,0.33
841,blwch  ,帽子,nouns,0.0
842,sychedig,飢餓,adjectives,1.84
843,digio,侮辱,verbs,3.13
844,dinistrio,做,verbs,0.18
845,cinio,湯,nouns,1.24
846,papur,海報,nouns,1.83
847,penelin,踝,nouns,0.72
848,cyrraedd,來,verbs,1.88
849,ymosodiad,犯罪,nouns,1.6
850,nos,章節,nouns,0.0
851,casglu,组织,verbs,1.08
852,yn naturiol,悄悄地,adverbs,0.38
853,gwych,攞命,adjectives,0.09
854,hyfforddwr,老師,nouns,3.64
855,cael,獲得,verbs,4.27
856,gwrando,學習,verbs,0.48
857,hapus,嬲,adjectives,0.18
858,beibl,書,nouns,1.41
859,anghofio,原諒,verbs,0.65
860,te,檸檬,nouns,0.48
861,polyhedron,演員,nouns,0.28
862,haematoleg,病理學,nouns,2.17
863,nerth,能力,nouns,2.49
864,newydd,沒用過,adjectives,4.38
865,canwr,演員,nouns,1.69
866,geneth,小孩,nouns,1.88
867,athro,醫生,nouns,0.62
868,awdur,作曲家,nouns,2.74
869,brest,身體,nouns,1.36
870,yn berffaith,真實地,adverbs,0.54
871,swper,早餐,nouns,1.5
872,maint,一分錢,nouns,0.04
873,balch ,瘋狂,adjectives,0.28
874,cyfansoddwr,作家,nouns,2.74
875,ffôn symudol,電話,nouns,4.38
876,gwahaniaethu,同意,verbs,0.04
877,hyblyg,鬆動,adjectives,0.95
878,trefnu,收集,verbs,1.08
879,derbyn,原諒,verbs,0.82
880,glân,亂,adjectives,0.09
881,mynegi,說,verbs,3.13
882,geiriadur,百科全書,nouns,2.08
883,algebra,手術,nouns,0.24
884,ewyllys,意圖,nouns,1.6
885,protein,柄,nouns,0.04
886,prynu,得到,verbs,0.4
887,afal,糖果,nouns,0.24
888,anniben,核突,adjectives,0.96
889,paragraff,信,nouns,0.45
890,tröedigaeth,高度,nouns,0.04
891,gwyliadwraeth,裙子,nouns,0.09
892,capten,水手,nouns,0.88
893,brawd,兒子,nouns,0.91
894,anfeidredd,零,nouns,0.23
895,lindys,蠶,nouns,2.33
896,rheolaeth,工作,nouns,0.52
897,bydiaeth,簽證,nouns,0.28
898,gyrru,停,verbs,0.1
899,amlwg,顯著的,adjectives,4.5
900,angen,查詢,verbs,0.04
901,iâ,雪,nouns,3.27
902,hanfodol,必須,adjectives,5.08
903,esgus,假設,verbs,0.57
904,o ychydig,十足地,adverbs,0.1
905,iaith,溝通,nouns,1.63
906,canlyn,調查,verbs,0.6
907,dyn,嫌疑人,nouns,0.53
908,diddordeb,注意,nouns,1.6
909,ar hyn o bryd,微妙地,adverbs,0.18
910,gwrthod,選舉,verbs,0.0
911,ffêr,窗口,nouns,0.09
912,ceiniog,便宜貨,nouns,0.54
913,pechadur,聖,nouns,0.39
914,modd,方法,nouns,4.17
915,ardderchog,瘋狂,adjectives,0.05
916,gwahaniaethu,拗撬,verbs,0.44
917,digon,豐富,nouns,3.97
918,anfoesol,非法,adjectives,2.27
919,cemeg,理論,nouns,0.29
920,dychmygu,創建,verbs,0.49
921,soned,美,nouns,0.15
922,rhyfelgarwch,戰鬥,nouns,1.32
923,brecwast,晚餐,nouns,1.41
924,gwawr,槍,nouns,0.0
925,pastai,巧克力,nouns,0.29
926,gafael,明白,verbs,0.93
927,dymuno,想要,verbs,4.07
928,awyr,夢想,nouns,0.1
929,yn negyddol,非自然,adverbs,0.67
930,tywysoges,國王,nouns,1.49
931,gwerthu,借,verbs,0.2
932,ffres,舊,adjectives,0.0
933,disgyn,減少,verbs,0.35
934,cyhyr,手臂,nouns,0.57
935,soffa,棒球,nouns,0.0
936,mynd,進入,verbs,1.36
937,yn afreolaidd,平時,adverbs,0.23
938,maneg,球,nouns,0.14
939,oedolyn,家長,nouns,2.54
940,gwisg,球,nouns,0.1
941,modern,古老,adjectives,0.09
942,telesgop,頭腦風暴,nouns,0.04
943,ysgyfaint,肝,nouns,0.73
944,creulon,和藹,adjectives,0.0
945,canwr,合唱,nouns,0.86
946,garddwrn,手臂,nouns,1.02
947,yn ddarostyngedig,糟糕,adverbs,0.18
948,deilen,樹,nouns,1.06
949,gosod,給,verbs,0.97
950,darganfod,起源,verbs,0.48
951,arholiad,教學大綱,nouns,0.75
952,asetylocolin,鳶尾花,nouns,0.05
953,realiti,幻想,nouns,0.67
954,cadno,獵狗,nouns,1.04
955,ofnadwy,偉大,adjectives,0.09
956,adeiladu,加,verbs,0.87
957,caniatáu,走,verbs,0.0
958,bioleg gymdeithasol,突變體,nouns,0.24
959,gweiddi,尖叫,verbs,3.81
960,methu,依靠,verbs,0.2
961,dod yn,出現,verbs,0.79
962,ystafell,大厦,nouns,0.69
963,cipio,抓住,verbs,3.38
964,creu,畫,verbs,0.23
965,ceg,嘴唇,nouns,3.12
966,llyfr nodiadau,槍,nouns,0.0
967,gwasgu,把握,verbs,2.37
968,darganfod,獲得,verbs,2.08
969,haint,詞性變化,nouns,0.09
970,asgwrn,肘,nouns,0.83
971,rhesymeg,智力,nouns,2.41
972,theori,化學,nouns,0.29
973,maes awyr,片,nouns,0.0
974,ffaith,證明,nouns,0.95
975,lleihau,降低,verbs,4.27
976,angenrheidiol,重要,adjectives,3.19
977,hongian,放,verbs,0.51
978,pryf sidan,毛毛蟲,nouns,2.33
979,ystlum,吸血殭屍,nouns,1.0
980,gwaed,病毒,nouns,0.57
981,cyfrwys,堅固,adjectives,0.0
982,meteor,地心吸力,nouns,0.57
983,graddio,完成,verbs,1.01
984,pumed,最佳,adjectives,0.09
985,cebl,巫師,nouns,0.0
986,craig,礦,nouns,0.6
987,ap,星系,nouns,0.0
988,osgoi,拒絕,verbs,0.79
989,tystio,判斷,verbs,0.4
990,codi arian,發展,nouns,0.29
991,cân,演員,nouns,0.45
992,llwyddo,嘗試,verbs,0.54
993,cyflawn,完成,adjectives,4.93
994,meddyg,脾氣,nouns,0.18
995,gwirod,樂隊,nouns,0.0
996,troseddu,打稿,verbs,0.2
997,lladd,防守,verbs,0.3
998,hawdd,大,adjectives,0.0
999,machlud haul,表,nouns,0.0
1000,anodd,艱難,adjectives,5.32
1001,ymuno,離開,verbs,0.05
1002,dillad,衣櫃,nouns,0.81
1003,cyfarwyddwr,老闆,nouns,3.41
1004,bri,財富,nouns,0.1
1005,oedolyn,監護人,nouns,2.06
1006,cystadlu,完成,verbs,0.09
1007,methu,成功,verbs,0.05
1008,plesio,求情,verbs,0.23
1009,cynfas,平面,nouns,0.36
1010,cytoplasm,數字,nouns,0.0
1011,allanfa,選舉權,nouns,0.1
1012,ymennydd,頭腦,nouns,4.28
1013,merch,嬰兒,nouns,1.5
1014,gwych,壞,adjectives,0.04
1015,achub,拯救,verbs,5.03
1016,deall,讀,verbs,0.67
1017,wedi ymlacio,冷靜,adjectives,0.64
1018,bwriadu,试着,verbs,0.83
1019,anarferol,怪異,adjectives,3.81
1020,cwmni,商業,nouns,4.05
1021,lladd,絞刑,verbs,2.79
1022,gwartheg,牛,nouns,4.45
1023,ceunant,山谷,nouns,3.68
1024,brenhiniaeth,民主,nouns,0.15
1025,radar,操縱桿,nouns,0.14
1026,trwm,大,adjectives,0.82
1027,ffordd,高速公路,nouns,3.68
1028,danfon,帶來,verbs,0.69
1029,tric,沖涼,nouns,0.04
1030,yn hysbys,好,adjectives,0.5
1031,hir,短,adjectives,0.18
1032,tarfu,麻煩,verbs,0.65
1033,cyflawni,收到,verbs,0.24
1034,proffesiwn,學院,nouns,0.2
1035,cyfreithiwr,大狀,nouns,4.33
1036,enwaediad,包皮,nouns,1.27
1037,llawenydd,自豪,nouns,2.03
1038,polyester,棉,nouns,0.97
1039,caniatáu,反駁,verbs,0.0
1040,cawl,晚餐,nouns,1.24
1041,plaladdwr,蟲害,nouns,0.81
1042,anonest,真實,adjectives,0.1
1043,bod mewn dyled,借,verbs,1.18
1044,llygoden,容器,nouns,0.0
1045,myfyriwr,老師,nouns,0.8
1046,wedi ei ddiflasu,平淡,adjectives,3.56
1047,gêm,行動,nouns,0.46
1048,creigres,海灘,nouns,0.48
1049,trafferthu,打稿,verbs,0.65
1050,teithio,走,verbs,1.56
1051,newid,改變,verbs,3.44
1052,ysgytlaeth,果汁,nouns,0.87
1053,glaw,暴風雪,nouns,1.63
1054,dinas,城鎮,nouns,2.88
1055,to,天花板,nouns,3.83
1056,hapusrwydd,悲傷,nouns,0.29
1057,topoleg,結構,nouns,0.8
1058,mam,妻子,nouns,2.27
1059,ymddiried,依賴,verbs,4.32
1060,ennill,值得,verbs,0.39
1061,dod yn,似乎,verbs,1.02
1062,hyder,自己,nouns,0.37
1063,dibynnu,失敗,verbs,0.2
1064,ardderchog,壞,adjectives,0.04
1065,dilyn,追逐,verbs,2.08
1066,babi,成人,nouns,0.28
1067,crochenwaith,陶瓷,nouns,3.54
1068,erfyn,懇求,verbs,3.77
1069,biotop,生物學,nouns,0.34
1070,dod â,發送,verbs,0.69
1071,mwynhau,娛樂,verbs,1.1
1072,cymryd rhan,合作,verbs,1.08
1073,cwpan,錐形蛋筒,nouns,0.15
1074,anifail,人,nouns,0.28
1075,glaw mân,雨,nouns,4.04
1076,drwg,平庸,adjectives,0.1
1077,grawnfwyd,小麥,nouns,2.54
1078,tarian,小圆盾,nouns,0.93
1079,nerfus,某些,adjectives,0.04
1080,traeth,海,nouns,2.13
1081,yn hael,好心地,adverbs,3.17
1082,gwaith cartref,文章,nouns,1.77
1083,yn llawn,基本上,adverbs,0.36
1084,gallu,才能,nouns,4.09
1085,cymysgu,喝,verbs,0.2
1086,gogwyddo,傾向,verbs,3.68
1087,rhoi,知道,verbs,0.04
1088,cloch,塔,nouns,0.33
1089,yn amlwg,看來,adverbs,1.13
1090,canrif,十年,nouns,0.75
1091,myfyrio,想,verbs,3.78
1092,poster,紙,nouns,1.83
1093,mynd  ,來,verbs,0.54
1094,piano,和聲,nouns,0.82
1095,mygu,燒傷,verbs,1.07
1096,yn aeddfed,巧妙,adverbs,0.54
1097,prawf,試驗,nouns,4.38
1098,gwneuthurwr,創造者,nouns,4.59
1099,cymryd,收到,verbs,2.88
1100,blanced,木,nouns,0.0
1101,rhyddhau,抓住,verbs,0.78
1102,gofyn,唔睬,verbs,0.0
1103,darganfod,逃逸,verbs,0.05
1104,deallusrwydd,智慧,nouns,3.7
1105,gadael,驅逐,verbs,0.29
1106,mynydd,窗台,nouns,0.0
1107,uchder,換算,nouns,0.04
1108,morgrugyn,蒼蠅,nouns,0.41
1109,yn hapus,積極地,adverbs,0.46
1110,cadernid,力量,nouns,3.93
1111,sgrechian,叫喊,verbs,3.81
1112,ymddengys,變成,verbs,1.02
1113,argraffu,無視,verbs,0.0
1114,enillydd,男人,nouns,0.28
1115,creu,想像,verbs,0.49
1116,ceisio,實現,verbs,0.63
1117,gwisgo,撕開,verbs,0.0
1118,pren,紙,nouns,0.43
1119,cae,燕麥,nouns,0.51
1120,anferthedd,大小,nouns,3.13
1121,sychu,惡化,verbs,0.39
1122,deall,知道,verbs,2.65
1123,log,木材,nouns,3.23
1124,llygoden,甲板,nouns,0.04
1125,anifail anwes,貓,nouns,2.71
1126,storm,雲,nouns,1.27
1127,stori,書,nouns,2.55
1128,hedfaniad,航空,nouns,3.28
1129,ffilm,劇院,nouns,1.59
1130,anwybyddu,離開,verbs,0.64
1131,llyfr,文學,nouns,2.65
1132,perygl,疾病,nouns,0.46
1133,yn bryderus,緊張地,adverbs,3.33
1134,sgil,智力,nouns,1.94
1135,gwrtaith,發展,nouns,0.72
1136,braf,残酷,adjectives,0.0
1137,brawd,靈魂,nouns,0.0
1138,denu,打,verbs,0.0
1139,gair,提示,nouns,0.34
1140,treisgar,柔軟,adjectives,0.0
1141,poenydio,刺激,verbs,3.64
1142,cydsyniad,貨幣,nouns,0.0
1143,seryddol,大規模,adjectives,0.38
1144,bowlen,尾巴,nouns,0.0
1145,papur,硬紙板,nouns,2.42
1146,benthyg,賣,verbs,0.2
1147,gwellt,聖歌,nouns,0.18
1148,crwydro,搜索,verbs,1.08
1149,yn hawdd,舒服地,adverbs,1.01
1150,cyntedd,走廊,nouns,4.09
1151,pen,肩,nouns,0.73
1152,stopio,警告,verbs,0.74
1153,oeraidd,粗暴,adjectives,0.39
1154,pren,原木,nouns,3.23
1155,onest,不誠實,adjectives,0.1
1156,hyblyg,大,adjectives,0.15
1157,niweidio,戲弄,verbs,0.54
1158,ennill,做,verbs,0.0
1159,gwaed,身體,nouns,0.86
1160,reis,男孩,nouns,0.04
1161,bara,肉,nouns,0.28
1162,papur,木,nouns,0.43
1163,orthodontydd,牙醫,nouns,4.22
1164,anwybodus,制服,adjectives,0.0
1165,tad,男人,nouns,2.27
1166,graddio,分數,verbs,3.03
1167,capel,電纜,nouns,0.0
1168,wedi blino,飢餓,adjectives,0.38
1169,ceg,鼻子,nouns,0.43
1170,diweddar,新,adjectives,2.5
1171,datblygiad,募捐,nouns,0.29
1172,yn ddibynadwy,被動地,adverbs,0.1
1173,flwyddyn,世紀,nouns,1.01
1174,hael,善良,adjectives,1.49
1175,corn,車,nouns,0.29
1176,ewin,頭,nouns,0.1
1177,yn llachar,非常,adverbs,0.55
1178,cyflwr,家,nouns,0.04
1179,taliad,硬幣,nouns,0.63
1180,cytuno,不同意,verbs,0.14
1181,eang,新鮮,adjectives,0.05
1182,crio,哭泣,verbs,5.28
1183,nenfwd,屋頂,nouns,3.83
1184,tarth,雲,nouns,2.19
1185,iâr,火雞,nouns,2.09
1186,ci hela,狐狸,nouns,1.04
1187,aloi,鋼,nouns,2.64
1188,ffaith,洞察力,nouns,0.72
1189,dod yn,組織,verbs,0.09
1190,baco,香煙,nouns,3.27
1191,diflas,安全,adjectives,0.04
1192,bag,錢包,nouns,2.22
1193,gwraig,洞,nouns,0.0
1194,afon,大海,nouns,1.69
1195,mewnwelediad,事實,nouns,0.72
1196,chwedl,道德,nouns,0.24
1197,diogel,合法,adjectives,0.86
1198,ynys,公主,nouns,0.0
1199,corws,歌手,nouns,0.86
1200,pêl,球拍,nouns,0.81
1201,asgwrn,顎,nouns,1.46
1202,gwddf,鼻子,nouns,0.38
1203,yn anarferol,奇怪地,adverbs,3.5
1204,gwddf,骨頭,nouns,0.38
1205,dillad,布,nouns,1.94
1206,telesgop,椅子,nouns,0.04
1207,lloches,棚屋,nouns,1.18
1208,ysgoloriaeth,學費,nouns,0.81
1209,dirprwy,軍官,nouns,0.54
1210,llyfn,尖,adjectives,0.15
1211,cyllell,槍,nouns,1.3
1212,medrydd,車,nouns,0.05
1213,modryb,叔叔,nouns,1.23
1214,anrhagweledig,意料之外,adjectives,3.92
1215,etholi,拒絕,verbs,0.0
1216,theatr,電影,nouns,1.59
1217,sain,聲學,nouns,3.08
1218,bawd,手,nouns,1.37
1219,stryd,小巷,nouns,2.9
1220,rhoi,拒絕,verbs,0.0
1221,gwahardd,停止,verbs,3.27
1222,marcio,評分,verbs,3.03
1223,doniol,傷心,adjectives,0.04
1224,weithiau,肯定地,adverbs,0.0
1225,yn gyfrinachgar,有禮貌地,adverbs,0.59
1226,yn rhyfedd,異常,adverbs,3.5
1227,sylw,興趣,nouns,1.6
1228,yn fanwl gywir,錯誤,adjectives,0.18
1229,theorem,理論,nouns,3.92
1230,trafferthu,得罪,verbs,0.2
1231,dyn,朋友,nouns,0.85
1232,llawr,門,nouns,0.23
1233,eira,雪崩,nouns,1.88
1234,sgert,手錶,nouns,0.09
1235,morwyn,幫手,nouns,2.04
1236,car,坦克,nouns,0.77
1237,perfformio,敬禮,verbs,0.0
1238,crëwr,製作者,nouns,4.59
1239,athletwr,賽跑運動員,nouns,3.45
1240,ysgubell,灰塵,nouns,0.56
1241,cyfeiliornus,靠不住的,adjectives,1.92
1242,fformiwla,等式,nouns,3.92
1243,to,地板,nouns,0.34
1244,mynd,賣,verbs,0.04
1245,sudd,牛奶,nouns,0.73
1246,cot,帽子,nouns,0.63
1247,llac,靈活,adjectives,0.95
1248,anadlu,嗆,verbs,0.92
1249,car,電梯,nouns,0.19
1250,bàth,原木,nouns,0.0
1251,llygredd,大氣層,nouns,0.92
1252,syfrdanu,慶祝,verbs,0.04
1253,ergydio,未打中,verbs,0.1
1254,cyflog,錢,nouns,3.41
1255,ceg,牙齒,nouns,0.82
1256,troed,頭,nouns,0.34
1257,arian parod,錢,nouns,4.5
1258,goddefol,暴力,adjectives,0.04
1259,cadw,保留,verbs,4.25
1260,stopio,駕駛,verbs,0.1
1261,camera,工作者,nouns,0.18
1262,treial,測試,nouns,4.38
1263,casglwr,子程序,nouns,0.18
1264,finegr,沙拉,nouns,0.43
1265,bwlb,花朵,nouns,0.3
1266,yn ddwfn,大多,adverbs,0.56
1267,iogwrt,家牛,nouns,0.23
1268,swcros,醣類,nouns,1.65
1269,cyd-beilot,座艙,nouns,0.14
1270,amddiffyn,保持,verbs,0.88
1271,cenedlaethol,聞名,adjectives,0.0
1272,smart,笨,adjectives,0.04
1273,merch,父親,nouns,0.72
1274,rhyfedd,普通,adjectives,0.04
1275,gwthio,拉,verbs,0.18
1276,llafn,草,nouns,0.3
1277,neidr,蜥蜴,nouns,1.11
1278,bwriad,意志,nouns,1.6
1279,gweriniaeth,公爵,nouns,0.23
1280,nodyn,作業,nouns,0.53
1281,clun,嘴唇,nouns,0.19
1282,llyn,沼澤,nouns,1.92
1283,coridor,過道,nouns,4.09
1284,anarferol,怪誕,adjectives,3.88
1285,rhestr,陣列,nouns,1.08
1286,buan,快,adjectives,4.68
1287,erfyn,借,verbs,0.67
1288,meddwl,沉思,verbs,3.78
1289,hurt,蠢,adjectives,5.29
1290,plentyn,女孩,nouns,1.88
1291,twr,鐘,nouns,0.33
1292,yfed,啜,verbs,1.51
1293,brenin,公主,nouns,1.49
1294,enillydd,存在,nouns,0.04
1295,seler,門,nouns,0.19
1296,dweud,表達,verbs,3.13
1297,dug,共和國,nouns,0.23
1298,neigaredd,國王,nouns,0.2
1299,coflaid,摟抱,verbs,4.27
1300,medal,運動鞋,nouns,0.2
1301,awyrennu,飛行,nouns,3.28
1302,anatomeg,生物學,nouns,2.67
1303,mamfwrdd,主板,nouns,3.17
1304,dichonadwy,不可能,adjectives,0.44
1305,cwmwl,天氣,nouns,0.82
1306,drws,兄弟會,nouns,0.0
1307,anghyfrifol,未成熟的,adjectives,1.31
1308,anghenus,缺乏信心,adjectives,0.63
1309,chwarae,搏鬥,verbs,0.28
1310,gitâr,鼓,nouns,0.86
1311,ystafell ymolchi,睡房,nouns,1.27
1312,llosgfynydd,岩漿,nouns,1.96
1313,oeraidd,易損壞,adjectives,0.1
1314,haearn,維他命,nouns,0.54
1315,yn greadigol,本來,adverbs,0.79
1316,dechrau,起源,verbs,3.44
1317,pili-pala,玫瑰,nouns,0.24
1318,offeryn,小提琴,nouns,2.15
1319,capel,尖頂,nouns,0.37
1320,brawdgarwch,棒球,nouns,0.14
1321,yr wyddor,鋼筆,nouns,0.0
1322,democratiaeth,帝制,nouns,0.15
1323,cyfalaf,錢,nouns,3.37
1324,cyfeillgar,大方,adjectives,1.94
1325,afioneg,航空學,nouns,3.88
1326,cyfarfod,離開,verbs,0.05
1327,sefyllfa,狀況,nouns,5.38
1328,pobl,氣球,nouns,0.0
1329,losin,肉桂,nouns,0.58
1330,neuadd,走道,nouns,0.1
1331,yn aeddfed,正直地,adverbs,0.43
1332,dafad,羊肉,nouns,3.51
1333,cymharu,分析,verbs,2.73
1334,mwynhau,討厭,verbs,0.09
1335,saethydd,探路者,nouns,0.1
1336,trist,搞笑,adjectives,0.04
1337,cerddoriaeth,旋律,nouns,2.96
1338,mewnwelediad,智力,nouns,2.52
1339,damwain,大災難,nouns,3.1
1340,gwely,傢俱,nouns,2.27
1341,trydan,案件,nouns,0.0
1342,caban,營地,nouns,0.63
1343,torf,遊行,nouns,1.45
1344,yn ddiweddar,現實地,adverbs,0.32
1345,yn afresymol,不公平地,adverbs,3.93
1346,hafaliad,公式,nouns,3.92
1347,gwerthu,走,verbs,0.04
1348,danfon,發射,verbs,1.5
1349,dioddefwr,電話,nouns,0.04
1350,dysgu,教育,verbs,3.7
1351,swltan,部,nouns,0.2
1352,annibynadwy,狡詐,adjectives,1.92
1353,gallu,才能,nouns,4.11
1354,hedfan,螞蟻,nouns,0.41
1355,awyr,宇宙,nouns,1.49
1356,palas,高樓大廈,nouns,0.24
1357,hwyliau,憤怒,nouns,0.68
1358,dinistrio,建造,verbs,0.28
1359,yn onest,從未,adverbs,0.0
1360,maer,總統,nouns,2.4
1361,byth,稍後,adverbs,0.1
1362,rheolwr,領導,nouns,3.35
1363,gwthio,責怪,verbs,0.28
1364,nai,阿姨,nouns,1.04
1365,darn,飛機場,nouns,0.0
1366,yn gynnil,冷靜地,adverbs,0.76
1367,gweithred,課程,nouns,0.28
1368,trydanol,甜,adjectives,0.0
1369,yn fecanyddol,理想地,adverbs,0.18
1370,glofa,岩石,nouns,0.6
1371,corff,底衫褲,nouns,0.46
1372,bwystfil,動物,nouns,3.28
1373,cromlin,角度,nouns,1.6
1374,garw,冷淡,adjectives,0.39
1375,ffrind,傢伙,nouns,0.85
1376,cab,的士,nouns,5.85
1377,drws,廚房,nouns,0.28
1378,staff,歌手,nouns,0.18
1379,siofinist,偏見,nouns,2.94
1380,amgylchiad,情況,nouns,5.38
1381,yn sicr,當然,adverbs,5.18
1382,disgybl,總統,nouns,0.1
1383,ffres,新,adjectives,3.32
1384,rhedwr,運動員,nouns,3.45
1385,pen-glin,骨頭,nouns,1.3
1386,doniol,枯燥,adjectives,0.1
1387,oen,羊,nouns,3.51
1388,canolig,壞,adjectives,0.1
1389,hyderus,肯定,adjectives,4.34
1390,codiad haul,日落,nouns,0.87
1391,yn bennaf,大多,adverbs,3.0
1392,tegan,立方體,nouns,0.14
1393,allbriodasol,不宜說出口的,adjectives,0.23
1394,pobl,一分錢,nouns,0.14
1395,bardd,記者,nouns,0.24
1396,cerdd,韻律,nouns,0.96
1397,llwyn,花,nouns,1.46
1398,gwrthod,說謊,verbs,0.33
1399,ymosodol,彎曲,adjectives,0.0
1400,fisa,全球化,nouns,0.28
1401,ffôn,受害者,nouns,0.04
1402,lifft,盒子,nouns,0.04
1403,maint,深度,nouns,0.73
1404,llywydd,污染,nouns,0.0
1405,ystadegau,網球,nouns,0.0
1406,rhiant,大人,nouns,2.54
1407,teledu,編劇,nouns,0.56
1408,arf,頭盔,nouns,1.22
1409,unffurf,未成形,adjectives,0.0
1410,annog,使氣餒,verbs,0.0
1411,dyn,哨兵,nouns,0.8
1412,cinio,早餐,nouns,1.41
1413,yn arbennig,有意義地,adverbs,1.05
1414,cadw,保護,verbs,0.88
1415,hwyl,足球,nouns,0.33
1416,senedd,國會,nouns,2.83
1417,penderfynu,想,verbs,1.27
1418,cadair,長凳,nouns,3.18
1419,mawr,柔韌,adjectives,0.15
1420,sblash,粘性,nouns,0.0
1421,weithiau,每當,adverbs,0.38
1422,traethawd,功課,nouns,1.77
1423,ffrâm,打,nouns,0.14
1424,gwyliwr,男人,nouns,0.8
1425,popcorn,電影,nouns,0.67
1426,cydnabod,接受,verbs,2.9
1427,credyd,借款人,nouns,0.73
1428,dweud yn gyhoeddus,宣布,verbs,4.08
1429,strategydd,陰謀家,nouns,3.21
1430,car,貨車,nouns,1.98
1431,cwrw,酒,nouns,3.44
1432,cymhwysedd,能力,nouns,4.09
1433,blin,暴力,adjectives,0.82
1434,log,木,nouns,4.17
1435,cyfarfod,游泳,verbs,0.04
1436,edau,紗,nouns,3.46
1437,pryd bynnag,有時,adverbs,0.38
1438,caffael,搵到,verbs,2.08
1439,gwahanu,離開,verbs,2.54
1440,ceffyl,狗,nouns,1.18
1441,crogi,殺,verbs,2.79
1442,yn gyfrifol,獨立地,adverbs,0.69
1443,sylw,意識,nouns,2.56
