ID,EST,RUS,PoS,score
735,kõva,прочный,adjectives,3.3
736,juhtkond,работа,nouns,1.4
737,huul,бедро,nouns,0.6
738,naljakas,скучный,adjectives,0.15
739,õnnetu,рассерженный,adjectives,0.75
740,heidutama,проваливать,verbs,0.85
741,raiskama,беспокоиться,verbs,0.15
742,sõna,газета,nouns,1.2
743,kriitiliselt,практически,adverbs,0.5
744,kurat,бог,nouns,0.8
745,klaas,значок,nouns,0.15
746,telefon,будка,nouns,1.05
747,saama,достигать,verbs,1.7
748,põhjendamatult,несправедливо,adverbs,1.95
749,õlg,рука,nouns,1.4
750,määrama,избирать,verbs,1.5
751,ignoreerima,покидать,verbs,1.1
752,slaid,указатель,nouns,0.05
753,tihti,иногда,adverbs,0.75
754,alandama,утешать,verbs,0.05
755,vabastama,нажимать,verbs,0.2
756,ühiskond,клуб,nouns,1.3
757,külm,обычный,adjectives,0.2
758,sõnaraamat,слово,nouns,1.25
759,paber,дерево,nouns,1.15
760,vajalik,ненужный,adjectives,0.3
761,kerge,большой,adjectives,0.1
762,kohtunik,магистрат,nouns,1.4
763,firma,предприятие,nouns,3.9
764,tõesti,важно,adverbs,0.7
765,meri,цунами,nouns,1.1
766,täiskasvanu,опекун,nouns,1.85
767,suhtlema,молиться,verbs,0.45
768,saama,терять,verbs,0.1
769,kass,лев,nouns,1.2
770,säilitama,оставаться,verbs,1.3
771,intelligentsus,мудрость,nouns,4.15
772,relv,рассвет,nouns,0.05
773,partner,парень,nouns,1.8
774,rääkima,признавать,verbs,1.15
775,härrasmees,госпожа,nouns,1.4
776,rahvasumm,толпа,nouns,4.75
777,purunema,громить,verbs,1.6
778,mööbel,квартира,nouns,1.0
779,purjus,трезвый,adjectives,0.35
780,uduvihm,дождь,nouns,4.15
781,püha,драгоценный,adjectives,2.4
782,eine,ужин,nouns,3.25
783,ohutus,комфорт,nouns,1.0
784,matemaatik,показ,nouns,0.05
785,kodutöö,сочинение,nouns,2.0
786,informatsioon,газета,nouns,1.85
787,tuba,здание,nouns,1.25
788,luu,рука,nouns,1.1
789,biotoop,биология,nouns,0.95
790,penn,сделка,nouns,0.15
791,rahvas,население,nouns,2.9
792,laenama,задолжать,verbs,1.15
793,kari,йогурт,nouns,0.35
794,süsivesik,сахароза,nouns,2.55
795,loodus,флора,nouns,2.8
796,rebane,гончая,nouns,0.65
797,pööraselt,громко,adverbs,1.25
798,võib-olla,наверное,adverbs,3.45
799,liha,говядина,nouns,2.8
800,pall,волейбол,nouns,1.7
801,sõber,наставник,nouns,1.55
802,saama,казаться,verbs,0.77
803,raskendama,беспокоить,verbs,0.85
804,hea,известный,adjectives,0.4
805,kampsun,рубашка,nouns,1.05
806,kalju,мина,nouns,0.1
807,vinge,прекрасный,adjectives,4.25
808,ebaviisakas,громкий,adjectives,1.5
809,päike,небо,nouns,1.25
810,ideaalselt,механически,adverbs,0.25
811,märge,задание,nouns,0.6
812,õhtu,закат,nouns,2.5
813,võimalikult,скорее всего,adverbs,2.95
814,segunema,размешать,verbs,1.5
815,juhataja,глава,nouns,4.25
816,elustiil,цивилизация,nouns,0.95
817,auk,жена,nouns,0.05
818,kuritegu,кража,nouns,2.65
819,esik,коридор,nouns,4.05
820,rüüpama,глотать,verbs,2.45
821,vaidlema,вопить,verbs,0.7
822,koostööd tegema,объединяться,verbs,2.45
823,tagasihoidlik,смиренный,adjectives,1.75
824,erinema,соответствовать,verbs,0.2
825,tagasihoidlik,чистый,adjectives,0.75
826,valik,вена,nouns,0.05
827,kaks korda,всегда,adverbs,0.05
828,õun,диета,nouns,0.6
829,arutama,объяснять,verbs,1.7
830,seeme,мельница,nouns,1.05
831,katus,пол,nouns,0.8
832,häbelik,дорогой,adjectives,0.05
833,voodi,одеяло,nouns,1.2
834,siiralt,серьезно,adverbs,1.3
835,sulama,растворяться,verbs,1.7
836,enne,после,adverbs,0.3
837,ilm,снег,nouns,1.25
838,eneseväärikus,значки,nouns,0.2
839,paat,автомобиль,nouns,0.7
840,vein,спиртное,nouns,2.3
841,organiseerima,устраивать,verbs,5.0
842,teesklema,лгать,verbs,2.9
843,laenama,хотеть,verbs,0.3
844,kaotama,готовить,verbs,0.0
845,võõras,переводчик,nouns,0.85
846,tõstma,пить,verbs,0.4
847,põld,овёс,nouns,1.3
848,parapsühholoogia,нейропсихология,nouns,1.4
849,tekk,пол,nouns,1.2
850,sisenema,идти,verbs,1.15
851,valima,избирать,verbs,3.65
852,segama,беспокоить,verbs,3.35
853,hea,пряный,adjectives,0.9
854,juhtkang,радар,nouns,0.45
855,kahtlemata,конечно,adverbs,3.75
856,anatoomia,биология,nouns,1.75
857,ükskord,немедленно,adverbs,0.1
858,lennujaam,кусок,nouns,0.0
859,leedi,господин,nouns,1.4
860,väetis,развитие,nouns,0.8
861,soolikas,хладнокровие,nouns,1.15
862,lahkuma,странствовать,verbs,0.6
863,tants,платье,nouns,0.8
864,kandidaat,победитель,nouns,1.0
865,tila,жидкость,nouns,0.6
866,rahumeelselt,хаотично,adverbs,0.35
867,aktsepteerima,прощать,verbs,1.9
868,analüüsima,оценивать,verbs,3.35
869,mäss,рисование,nouns,0.05
870,hammustama,драться,verbs,0.9
871,fotofon,омофон,nouns,0.2
872,karp,шляпа,nouns,0.4
873,tagasi lükkama,отодвигать,verbs,1.7
874,homme,сегодня ночью,adverbs,0.35
875,lõimima,двигаться,verbs,0.2
876,lennujaam,самолет,nouns,1.25
877,jalgratas,автомобиль,nouns,0.9
878,avastama,происходить,verbs,0.25
879,ütlema,выражать,verbs,3.0
880,reaktiivmootor,самолет,nouns,1.3
881,loobuma,подавлять,verbs,0.05
882,peatükk,выбор,nouns,0.7
883,lõpmatus,ноль,nouns,0.65
884,kristall,стекло,nouns,2.35
885,kallas,побережье,nouns,3.55
886,rahuldama,понимать,verbs,0.3
887,riided,ящик,nouns,0.85
888,võrkpall,мяч,nouns,1.7
889,kõver,прямой,adjectives,0.35
890,võimlemine,фехтование,nouns,1.0
891,võistlema,заканчивать,verbs,0.2
892,vabadus,свобода,nouns,5.8
893,lehekülg,слово,nouns,0.75
894,vilistama,останавливаться,verbs,0.15
895,kuulsus,богатство,nouns,1.05
896,riided,ткань,nouns,1.83
897,kuulama,понимать,verbs,0.95
898,terav,тупой,adjectives,0.4
899,küpselt,праведно,adverbs,0.7
900,käsi,тело,nouns,1.05
901,keskpärane,скучный,adjectives,2.5
902,negatiivne,никогда,adjectives,1.45
903,avalikustamata,открытый,adjectives,0.5
904,hape,основание,nouns,0.55
905,umbes,надежно,adverbs,0.2
906,rahvas,шар,nouns,0.1
907,ookean,море,nouns,2.45
908,tuli,шахматы,nouns,1.55
909,kätte toimetama,носить,verbs,1.0
910,ilu,возраст,nouns,0.7
911,keelama,останавливать,verbs,0.75
912,meelt lahutama,наслаждаться,verbs,2.85
913,palvetama,общаться,verbs,0.45
914,ette kujutama,притворяться,verbs,1.8
915,valelik,правдивый,adjectives,0.3
916,eksam,учебный план,nouns,0.9
917,ümber lükkama,разрешать,verbs,0.05
918,lill,фиалка,nouns,2.25
919,lämmatama,сокрушать,verbs,1.4
920,petma,обманывать,verbs,4.7
921,hädaline,беспомощный,adjectives,3.15
922,raamat,библия,nouns,1.55
923,luuletus,ритм,nouns,1.35
924,tee,лимон,nouns,0.75
925,naarits,масло,nouns,0.4
926,arheoloogia,антропология,nouns,1.1
927,teguriteks lahutamine,разложение,nouns,1.15
928,püüdma,гнаться,verbs,2.0
929,huul,рот,nouns,1.8
930,kokteil,алкоголь,nouns,1.85
931,vagun,вагон,nouns,1.5
932,liit,сумма,nouns,2.1
933,moraal,легенда,nouns,0.65
934,šerif,полицейский,nouns,3.95
935,kahuripaat,берег,nouns,0.45
936,august,месяц,nouns,2.25
937,hommikusöök,ужин,nouns,1.05
938,konseptsioon,верование,nouns,1.6
939,õhupall,ванна,nouns,0.1
940,saabuma,покидать,verbs,0.4
941,vastu võtma,получать,verbs,3.0
942,ksenofoobia,расизм,nouns,3.25
943,pilt,идея,nouns,1.2
944,konteiner,бутылка,nouns,0.75
945,segama,готовить,verbs,0.6
946,trumm,гитара,nouns,1.05
947,leidma,приобретать,verbs,1.15
948,vormitu,аморфный,adjectives,3.9
949,rääkima,слышать,verbs,0.5
950,kohtuma,плавать,verbs,0.0
951,pea,ступня,nouns,0.75
952,lammas,ягненок,nouns,3.5
953,hädavajalik,необходимый,adjectives,3.65
954,tõuk,шелкопряд,nouns,2.7
955,kinnitama,говорить,verbs,1.3
956,pritsess,король,nouns,1.15
957,kõver,агрессивный,adjectives,0.25
958,torm,снег,nouns,1.3
959,tapma,защищать,verbs,0.3
960,välistama,стараться,verbs,0.0
961,kaunistus,конверт,nouns,0.35
962,nuuksuma,плакать,verbs,3.95
963,räpane,дешевый,adjectives,0.65
964,unustama,помнить,verbs,0.35
965,tavaliselt,искренне,adverbs,0.55
966,vihmavari,нагреватель,nouns,0.05
967,ori,слуга,nouns,1.9
968,poster,бумага,nouns,1.8
969,haruldane,необычный,adjectives,3.95
970,iganädalane,ежемесячный,adjectives,0.7
971,muutmine,высота,nouns,0.1
972,ilm,волна,nouns,0.45
973,metsamajake,лагерь,nouns,1.2
974,ebatäpselt,точно,adverbs,0.25
975,seltsiline,возлюбленный,nouns,1.75
976,ananass,смартфон,nouns,0.05
977,solvama,обижать,verbs,3.15
978,valima,назначать,verbs,1.5
979,katastroof,смерть,nouns,1.45
980,vannituba,спальня,nouns,1.05
981,tank,машина,nouns,1.2
982,tsink,золото,nouns,0.75
983,hoidma,терять,verbs,0.25
984,orkester,парад,nouns,0.95
985,kahtlev,гневный,adjectives,0.3
986,kurjategija,правонарушитель,nouns,4.75
987,päästma,защищать,verbs,1.6
988,hirmunud,нервный,adjectives,1.8
989,hirmunud,неуверенный,adjectives,1.9
990,kirjanik,композитор,nouns,1.0
991,tagasi võtma,отвергать,verbs,1.7
992,panema,давать,verbs,0.65
993,liha,бутерброд,nouns,0.85
994,lill,луковица,nouns,0.65
995,õppima,спутывать,verbs,0.3
996,ütlema,участвовать,verbs,0.65
997,isa,мужчина,nouns,1.75
998,kõndima,стоять,verbs,0.35
999,stsenarist,телевидение,nouns,1.1
1000,asteroid,звезда,nouns,2.1
1001,vaidlema,посещать,verbs,0.1
1002,haige,сумасшедший,adjectives,1.4
1003,korruptsioon,мошенничество,nouns,3.1
1004,tolmukas,опыление,nouns,1.6
1005,ebaseaduslik,законный,adjectives,0.45
1006,raha,бриллиант,nouns,1.0
1007,mull,пена,nouns,2.0
1008,koer,кошка,nouns,0.9
1009,emotsioon,страсть,nouns,3.05
1010,näitleja,многогранник,nouns,0.15
1011,soovitama,советовать,verbs,4.85
1012,traditsioon,ремесло,nouns,1.05
1013,skulptor,особняк,nouns,0.35
1014,äri,промышленность,nouns,1.85
1015,süsteem,вина,nouns,0.35
1016,essee,домашнее задание,nouns,2.0
1017,vähendama,пропитывать,verbs,0.25
1018,rassism,ксенофобия,nouns,3.25
1019,omandama,объединяться,verbs,0.35
1020,märk,символ,nouns,4.6
1021,huvi,внимание,nouns,3.4
1022,hääletama,выбирать,verbs,3.65
1023,laviin,снег,nouns,1.6
1024,tegema,становиться,verbs,1.15
1025,pahkluu,окно,nouns,0.0
1026,vesi,лед,nouns,2.3
1027,pettus,преступление,nouns,2.65
1028,looma,строить,verbs,3.4
1029,hertsog,республика,nouns,0.5
1030,mahl,яблоко,nouns,1.35
1031,loll,дурацкий,adjectives,4.1
1032,portreteerima,решать,verbs,0.7
1033,voolik,сад,nouns,0.85
1034,jooksja,спортсмен,nouns,2.35
1035,osalema,спорить,verbs,0.1
1036,pärl,деньги,nouns,0.4
1037,hütt,убежище,nouns,1.45
1038,viski,алкоголь,nouns,2.35
1039,rahvahulk,группа,nouns,3.1
1040,alus,кислота,nouns,0.55
1041,jõukus,бедность,nouns,0.5
1042,märg,липкий,adjectives,1.3
1043,uus,неиспользуемый,adjectives,3.55
1044,kast,лифт,nouns,0.5
1045,autor,читатель,nouns,0.9
1046,domineerima,выигрывать,verbs,1.85
1047,saama,ловить,verbs,1.1
1048,ootama,покидать,verbs,0.2
1049,proovima,преуспевать,verbs,0.85
1050,tagasi võtma,поглощать,verbs,0.05
1051,vend,сын,nouns,0.9
1052,lõpetama,начинать,verbs,0.35
1053,ruumikas,большой,adjectives,4.75
1054,rahutu,нетерпеливый,adjectives,3.25
1055,viies,первый,adjectives,0.35
1056,müüt,сатира,nouns,0.85
1057,polüester,хлопок,nouns,0.65
1058,loll,интеллектуальный,adjectives,0.4
1059,lai,узкий,adjectives,0.3
1060,intuitsioon,чувство,nouns,3.55
1061,käsivars,нога,nouns,1.1
1062,võitja,присутствие,nouns,0.4
1063,kohtumenetlus,вердикт,nouns,1.65
1064,tunnistama,уведомлять,verbs,0.9
1065,kaitsma,сохранять,verbs,1.6
1066,laadima,презирать,verbs,0.15
1067,passiivne,агрессивный,adjectives,0.3
1068,ebaaus,жестокий,adjectives,2.0
1069,triumf,победа,nouns,4.7
1070,harmoonia,пианино,nouns,0.85
1071,uurima,смотреть,verbs,3.35
1072,teravili,пшеница,nouns,3.05
1073,hoidma,защищать,verbs,2.55
1074,odav,грязный,adjectives,0.65
1075,segunema,комбинировать,verbs,2.95
1076,surema,распадаться,verbs,1.3
1077,jäätisekokteil,сок,nouns,0.9
1078,mees,подозреваемый,nouns,0.55
1079,voodi,комната,nouns,0.7
1080,avatult,массивно,adverbs,0.3
1081,peatükk,конец,nouns,0.15
1082,nurjuma,проигрывать,verbs,2.0
1083,meri,дельта,nouns,0.65
1084,õiglaselt,зрело,adverbs,0.7
1085,saatma,посещать,verbs,0.45
1086,poeg,мальчик,nouns,2.4
1087,mööbel,кровать,nouns,2.25
1088,aken,дверь,nouns,0.9
1089,võmm,штурман,nouns,0.15
1090,valima,отклонять,verbs,0.55
1091,kurb,гордый,adjectives,0.05
1092,raamat,авария,nouns,0.05
1093,läbi kukkuma,преуспевать,verbs,0.3
1094,oskus,ум,nouns,1.1
1095,kissitama,пялиться,verbs,1.0
1096,kitsas,широкий,adjectives,0.3
1097,eitamine,признание,nouns,0.55
1098,inimene,персонаж,nouns,2.5
1099,mitu korda,дважды,adverbs,1.15
1100,varastama,покупать,verbs,0.3
1101,veen,сосуд,nouns,3.5
1102,korporatsioon,мужчины,nouns,0.75
1103,tugevalt,плотно,adverbs,2.15
1104,külge tõmbama,ударять,verbs,0.3
1105,jumal,священник,nouns,1.25
1106,muuseum,mинт,nouns,0.0
1107,diivan,стул,nouns,1.35
1108,põhi,запад,nouns,0.65
1109,matma,покрывать,verbs,1.1
1110,lõppema,выпуститься,verbs,2.0
1111,laulma,смеяться,verbs,0.3
1112,poeg,брат,nouns,0.9
1113,laskuma,отходить,verbs,0.75
1114,tüdruk,дева,nouns,2.25
1115,tapma,душить,verbs,2.45
1116,tekk,шторм,nouns,0.25
1117,tüütama,мешать,verbs,3.35
1118,laiendama,расти,verbs,3.15
1119,enamasti,в основном,adverbs,3.2
1120,uks,кухня,nouns,0.65
1121,isa,сын,nouns,1.35
1122,romaan,писатель,nouns,1.15
1123,džinn,алкоголь,nouns,2.15
1124,kursor,чип,nouns,0.3
1125,sõna,фраза,nouns,1.7
1126,kummaline,чудной,adjectives,5.1
1127,kehvasti,смиренно,adverbs,0.55
1128,laisk,занятый,adjectives,0.2
1129,rahustama,унижать,verbs,0.05
1130,võimas,могущественный,adjectives,4.25
1131,tulema,приносить,verbs,0.8
1132,kiirustama,мчаться,verbs,3.7
1133,vana,смешанный,adjectives,0.1
1134,kuu,август,nouns,2.25
1135,riided,пальто,nouns,1.8
1136,käsi,ступня,nouns,0.95
1137,küün,дом,nouns,1.2
1138,turvaline,утомительный,adjectives,0.25
1139,ala,регион,nouns,3.8
1140,saama,посылать,verbs,0.35
1141,lööma,наказать,verbs,1.4
1142,kirjutama,строчить,verbs,2.3
1143,poeg,отец,nouns,1.35
1144,lämbuma,дышать,verbs,0.6
1145,vähk,болезнь,nouns,1.85
1146,lipp,изучение флагов,nouns,1.25
1147,kokpit,штурман,nouns,0.75
1148,andestama,забывать,verbs,1.0
1149,demokraatia,монархия,nouns,0.65
1150,meri,река,nouns,1.2
1151,laul,баллада,nouns,3.4
1152,hambad,молоток,nouns,0.15
1153,gripp,жар,nouns,1.75
1154,juhm,тупой,adjectives,4.4
1155,ärritama,угадывать,verbs,0.2
1156,surm,трагедия,nouns,1.9
1157,meel,интуиция,nouns,3.55
1158,vaip,дом,nouns,0.7
1159,praadima,готовить,verbs,1.85
1160,meenutama,продавать,verbs,0.05
1161,privaatne,общественный,adjectives,0.6
1162,maailm,земля,nouns,2.75
1163,vibukütt,следопыт,nouns,0.6
1164,halb,потрясающий,adjectives,0.2
1165,suu,зуб,nouns,1.0
1166,president,загрязнение,nouns,0.05
1167,küüs,кисть,nouns,1.2
1168,vabariik,герцог,nouns,0.5
1169,välja vihastama,нападать,verbs,0.65
1170,naps,вино,nouns,2.3
1171,vahetus,валюта,nouns,1.05
1172,tööandja,работник,nouns,1.15
1173,käeturvis,щит,nouns,2.6
1174,ministeerium,султан,nouns,0.1
1175,vaene,одинокий,adjectives,0.5
1176,maja,ковер,nouns,0.7
1177,lennundus,полет,nouns,1.55
1178,vaher,дерево,nouns,2.65
1179,makse,гонорар,nouns,3.65
1180,jard,дюйм,nouns,1.3
1181,mask,вечеринка,nouns,0.8
1182,ilusti,элегантно,adverbs,3.4
1183,maasikas,вишня,nouns,1.0
1184,kohtlema,платить,verbs,0.25
1185,kalkun,курица,nouns,1.25
1186,täiskasvanu,ребенок,nouns,0.9
1187,tina,металл,nouns,2.15
1188,täielikult,минимально,adverbs,0.65
1189,steik,мясо,nouns,4.2
1190,tööline,механик,nouns,2.05
1191,ülikool,кампус,nouns,1.7
1192,koostama,делать,verbs,2.95
1193,toit,программа,nouns,0.4
1194,jagama,умножать,verbs,0.4
1195,valjult,безумно,adverbs,1.25
1196,riided,шкаф,nouns,0.8
1197,ette kujutama,создавать,verbs,1.1
1198,reostus,президент,nouns,0.05
1199,soodne,дешевый,adjectives,5.0
1200,kaabel,часовня,nouns,0.0
1201,kindlalt,иногда,adverbs,0.25
1202,keegel,игрок в боулинг,nouns,1.7
1203,nõbu,дядя,nouns,1.7
1204,lehm,скот,nouns,2.0
1205,päris,фальшивый,adjectives,0.4
1206,ehitama,добавлять,verbs,0.7
1207,ulatuslik,узкий,adjectives,0.2
1208,helilooja,писатель,nouns,1.0
1209,ketas,компьютер,nouns,1.0
1210,poleerima,сообщить,verbs,0.0
1211,aju,разум,nouns,2.05
1212,rong,трамвай,nouns,1.95
1213,osalema,появляться,verbs,1.15
1214,tõstatama,поднимать,verbs,2.25
1215,murdma,трескаться,verbs,1.6
1216,kodutu,миллиардер,nouns,0.45
1217,nüri,смешной,adjectives,0.15
1218,kätte toimetama,брать,verbs,0.55
1219,printskond,герцогство,nouns,2.4
1220,uks,окно,nouns,0.9
1221,varastama,похищать,verbs,4.45
1222,stiil,элегантность,nouns,3.5
1223,kutt,бабник,nouns,1.2
1224,piim,сок,nouns,0.6
1225,ignoreerima,забывать,verbs,1.85
1226,psühholoogia,наука,nouns,1.95
1227,vihm,изморось,nouns,2.4
1228,armastaja,спутник,nouns,1.75
1229,tragöödia,смерть,nouns,1.9
1230,lagunema,умереть,verbs,1.3
1231,täielikult,чисто,adverbs,1.6
1232,mõtlema,спрашивать,verbs,0.75
1233,lambatall,овца,nouns,3.5
1234,täiuslik,совершенный,adjectives,3.0
1235,eitama,признавать,verbs,0.4
1236,rumal,тупой,adjectives,4.1
1237,värske,широкий,adjectives,0.05
1238,tagasi lükkama,избегать,verbs,1.65
1239,unustama,игнорировать,verbs,1.85
1240,plekkpurk,бутылка,nouns,1.15
1241,ilmselt,просто,adverbs,1.3
1242,silm,бровь,nouns,1.15
1243,meedium,новость,nouns,0.9
1244,karm,жестокий,adjectives,2.65
1245,suu,губа,nouns,1.8
1246,ülesanne,примечание,nouns,0.6
1247,korrutamine,деление,nouns,1.05
1248,ellu jääma,жить,verbs,2.05
1249,töötaja,работодатель,nouns,1.15
1250,ootama,оставаться,verbs,0.9
1251,suur,легкий,adjectives,0.1
1252,küngas,утес,nouns,2.2
1253,auto,автострада,nouns,1.1
1254,veresoon,вена,nouns,3.5
1255,sõnaraamat,энциклопедия,nouns,2.0
1256,umbes,нетерпеливо,adverbs,0.65
1257,piir,рубеж,nouns,3.9
1258,nina,голова,nouns,0.8
1259,radiaator,датчик,nouns,0.3
1260,mehaaniline,электрический,adjectives,0.5
1261,kass,собака,nouns,0.9
1262,kool,юриспруденция,nouns,0.6
1263,hindama,анализировать,verbs,3.35
1264,õigus,факультет,nouns,0.6
1265,mängija,тренер,nouns,1.0
1266,sõber,мать,nouns,1.4
1267,ebaausalt,необоснованно,adverbs,1.95
1268,komm,корица,nouns,0.6
1269,kandma,родить,verbs,1.0
1270,kirikutorn,часовня,nouns,1.4
1271,masin,двигатель,nouns,2.3
1272,lend,авиация,nouns,1.55
1273,pidulik,приличный,adjectives,0.75
1274,erinevalt,странно,adverbs,1.75
1275,koidik,ночь,nouns,1.2
1276,saama,давать,verbs,0.45
1277,diagramm,график,nouns,3.65
1278,käänamine,инфекция,nouns,0.0
1279,helde,приятный,adjectives,2.0
1280,kino,телевидение,nouns,2.5
1281,juhtuma,действовать,verbs,1.4
1282,keeruline,легкий,adjectives,0.4
1283,keeglimängija,боулинг,nouns,1.7
1284,kulutama,носить,verbs,0.6
1285,hirmus,печальный,adjectives,0.75
1286,režissöör,кинематография,nouns,1.3
1287,nõustuma,угождать,verbs,1.1
1288,kuritegu,нарушение,nouns,3.85
1289,kood,символ,nouns,1.45
1290,saar,полуостров,nouns,2.0
1291,lein,мука,nouns,1.65
1292,seletama,обсуждать,verbs,1.7
1293,nurk,область,nouns,0.25
1294,kägistama,убивать,verbs,2.45
1295,teenijanna,девочка,nouns,2.25
1296,kaklema,укусить,verbs,0.9
1297,tagasi lükkama,избирать,verbs,0.55
1298,kolb,мотор,nouns,1.75
1299,teenija,рабыня,nouns,1.9
1300,hõivatud,ленивый,adjectives,0.2
1301,tekk,мышь,nouns,0.55
1302,tüdinud,скучный,adjectives,2.2
1303,lõpetama,решать,verbs,1.1
1304,taust,обои,nouns,2.35
1305,jänes,наставник,nouns,0.6
1306,haavama,оскорблять,verbs,3.15
1307,rahe,дождь,nouns,1.8
1308,sõrmus,помолвка,nouns,1.25
1309,sihtima,ударять,verbs,1.3
1310,nisu,злак,nouns,3.05
1311,valik,тюрьма,nouns,0.2
1312,elektriline,механический,adjectives,0.5
1313,võimatu,возможный,adjectives,0.45
1314,kummaline,обычный,adjectives,0.4
1315,stiil,мода,nouns,3.55
1316,päikesepaiste,яблоко,nouns,0.2
1317,org,река,nouns,1.0
1318,voolama,дрейфовать,verbs,1.35
1319,haihtuma,исчезать,verbs,5.15
1320,ekraan,монитор,nouns,4.5
1321,surmavalt,счастливо,adverbs,0.15
1322,lumi,шторм,nouns,1.3
1323,arendus,сбор пожертвований,nouns,0.25
1324,öö,глава,nouns,0.05
1325,müüma,торговать,verbs,4.2
1326,etteaste,камея,nouns,0.4
1327,dieet,яблоко,nouns,0.6
1328,monokultuur,сельское хозяйство,nouns,1.1
1329,reket,мяч,nouns,1.15
1330,vargus,преступлениe,nouns,2.65
1331,täna õhtul,завтра,adverbs,0.35
1332,kitarr,форель,nouns,0.0
1333,kuup,игрушка,nouns,0.7
1334,onu,мужчина,nouns,2.1
1335,lift,коробка,nouns,0.5
1336,administratsioon,управление,nouns,4.4
1337,kino,попкорн,nouns,1.1
1338,õppima,оценивать,verbs,1.55
1339,kerge,трудный,adjectives,0.28
1340,luu,колено,nouns,1.15
1341,piin,горе,nouns,1.65
1342,lumi,лёд,nouns,2.6
1343,juhm,ребячливый,adjectives,1.7
1344,täpne,неправильный,adjectives,0.25
1345,portreteerima,уведомлять,verbs,0.1
1346,laps,взрослый,nouns,0.9
1347,täht,планета,nouns,2.4
1348,tegevus,движение,nouns,2.85
1349,sirge,изогнутый,adjectives,0.35
1350,üritama,намереваться,verbs,2.7
1351,puus,губа,nouns,0.6
1352,praegu,деликатно,adverbs,0.2
1353,kaudne,ненадёжный,adjectives,1.5
1354,riiklik,известный,adjectives,0.55
1355,kirg,эмоция,nouns,3.05
1356,nutma,смеяться,verbs,0.55
1357,härg,конь,nouns,1.0
1358,jääma,покидать,verbs,0.25
1359,tilkuma,наливать,verbs,0.65
1360,lagi,крыша,nouns,2.85
1361,kaamera,линза,nouns,1.25
1362,eksamineerima,осматривать,verbs,3.05
1363,tool,табуретка,nouns,3.45
1364,kahanema,уменьшаться,verbs,2.85
1365,ignoreerima,исследовать,verbs,0.05
1366,kombain,сахарный тростник,nouns,0.55
1367,veri,мозг,nouns,0.9
1368,äkkrünnak,атака,nouns,3.65
1369,päikesepaiste,луч,nouns,1.45
1370,džinn,фонарь,nouns,0.5
1371,petersell,маффин,nouns,0.3
1372,pöörane,больной,adjectives,1.4
1373,kiusama,обижать,verbs,2.6
1374,lusikas,чашка,nouns,1.0
1375,liikumine,действие,nouns,2.85
1376,tool,телескоп,nouns,0.0
1377,tunnel,дорожка,nouns,0.9
1378,järv,облако,nouns,0.35
1379,kampaania,обезьяна,nouns,0.05
1380,andestama,понимать,verbs,2.15
1381,lõdisema,замерзать,verbs,1.65
1382,uudised,сплетня,nouns,2.3
1383,tagasihoidlikult,гордо,adverbs,0.4
1384,tüdruk,ребенок,nouns,1.6
1385,valjult,тонко,adverbs,0.0
1386,sadam,обертка,nouns,0.1
1387,spetsiaalselt,значительно,adverbs,0.85
1388,haigus,рак,nouns,1.85
1389,juhtuma,случаться,verbs,2.05
1390,politseinik,политик,nouns,0.35
1391,korter,мебель,nouns,1.0
1392,teostama,становиться,verbs,0.95
1393,kartmatu,гордый,adjectives,1.5
1394,ülikond,вязание,nouns,0.4
1395,monarhia,демократия,nouns,0.65
1396,kostüüm,бал,nouns,1.2
1397,tööline,работодатель,nouns,1.2
1398,raamat,эссе,nouns,1.6
1399,kuritegu,мошенничество,nouns,2.65
1400,keha,позвоночник,nouns,1.45
1401,enamasti,глубоко,adverbs,0.35
1402,rahumeelselt,спокойно,adverbs,4.8
1403,sõdur,мир,nouns,0.5
1404,andma,отказывать,verbs,0.2
1405,korvpall,бейсбол,nouns,1.2
1406,avastama,изучать,verbs,2.6
1407,tuul,шквал,nouns,3.45
1408,kurb,ужасный,adjectives,0.75
1409,kohut mõistma,обвинять,verbs,3.0
1410,nõrk,мощный,adjectives,0.15
1411,tähistama,удивлять,verbs,0.45
1412,palvetama,просить,verbs,1.85
1413,imenduma,отделяться,verbs,0.05
1414,tossud,медаль,nouns,0.3
1415,eitama,лгать,verbs,1.15
1416,ilmuma,покидать,verbs,0.25
1417,makse,примечание,nouns,0.65
1418,lahkelt,мило,adverbs,3.9
1419,struktuur,топология,nouns,2.05
1420,looma,разрушать,verbs,0.35
1421,heaks kiitma,разрешать,verbs,3.25
1422,hommikusöök,бекон,nouns,0.8
1423,jäse,нога,nouns,2.85
1424,sikutama,поднимать,verbs,1.05
1425,ball,костюм,nouns,1.2
1426,summa,соединение,nouns,2.1
1427,taifuun,циклон,nouns,3.25
1428,linateos,кинолента,nouns,4.65
1429,aastaeg,зима,nouns,2.3
1430,lõdvestunud,спокойный,adjectives,3.25
1431,teadus,психология,nouns,1.95
1432,äsja,реалистично,adverbs,0.15
1433,seaduslik,нелегальный,adjectives,0.45
1434,julm,милый,adjectives,0.0
1435,essee,книга,nouns,1.6
1436,tavaline,обычный,adjectives,5.45
1437,bioloogia,биотоп,nouns,0.95
1438,keha,кровь,nouns,1.1
1439,kange,легкий,adjectives,0.05
1440,tõbi,опасность,nouns,0.65
1441,kaootiliselt,мирно,adverbs,0.35
