ID,EST,YUE,PoS,score
750,haige,瘋,adjectives,0.7
751,pesapall,兄弟會,nouns,0.24
752,perfektselt,真實地,adverbs,0.43
753,ettevaatlikult,安全地,adverbs,3.39
754,küünarnukk,骨頭,nouns,0.83
755,vaba,無辜,adjectives,0.55
756,post,速度,nouns,0.15
757,haavama,侮辱,verbs,3.38
758,kana,鳥,nouns,1.54
759,kahur,球,nouns,0.79
760,viirus,血液,nouns,0.83
761,habras,冷淡,adjectives,0.25
762,veiseliha,家牛,nouns,1.49
763,proovima,想,verbs,0.81
764,üksildane,貧窮,adjectives,0.35
765,kleit,舞蹈,nouns,0.45
766,taim,農業,nouns,1.21
767,tugevalt,冷靜地,adverbs,0.71
768,saama,放,verbs,0.1
769,põhi,西方,nouns,0.55
770,suurus,一分錢,nouns,0.39
771,piibel,書,nouns,1.16
772,kindlustunne,自己,nouns,0.92
773,kurb,自豪,adjectives,0.0
774,rajaleidja,射手,nouns,0.34
775,imelik,奇怪,adjectives,5.55
776,uks,走廊,nouns,0.98
777,voodi,房間,nouns,0.53
778,nüri,好笑,adjectives,0.15
779,seisund,情況,nouns,3.63
780,lennuk,直升機,nouns,2.13
781,lind,火雞,nouns,2.24
782,kari,羊,nouns,1.85
783,arvama,刺激,verbs,0.38
784,saar,海灘,nouns,0.96
785,klooster,沖涼,nouns,0.1
786,mitte nõustuma,同意,verbs,0.34
787,kohut mõistma,決定,verbs,2.75
788,imperaator,州長,nouns,0.96
789,neutraalne,未定,adjectives,1.06
790,ema,爸爸,nouns,1.42
791,muu,相反,adjectives,0.34
792,kokku hoidma,花费,verbs,0.4
793,äädikas,沙拉,nouns,0.47
794,põsk,舌頭,nouns,0.68
795,ohver,電話,nouns,0.2
796,märkmik,槍,nouns,0.0
797,kohut mõistma,作證,verbs,0.55
798,alandama,安慰,verbs,0.0
799,päikesepaiste,射線,nouns,1.07
800,palvetama,溝通,verbs,0.43
801,kindlalt,偷偷,adverbs,0.4
802,vend,靈魂,nouns,0.3
803,täiskasvanu,家長,nouns,3.29
804,amorfne,無形,adjectives,3.63
805,nautima,討厭,verbs,0.14
806,ilmselge,顯然,adjectives,5.0
807,veendunud,緊張,adjectives,0.2
808,reostus,總統,nouns,0.05
809,alumiinium,錫,nouns,1.83
810,seaduserikkuja,罪犯,nouns,5.13
811,taevas,陽光,nouns,1.21
812,saama,給予,verbs,0.58
813,katedraal,教堂,nouns,4.78
814,kuninganna,蜜蜂,nouns,0.4
815,saar,任務,nouns,0.0
816,tark,醒目,adjectives,4.63
817,sissetulek,税,nouns,0.58
818,koosseis,歌手,nouns,0.58
819,täht,段,nouns,0.35
820,arheoloogia,人類學,nouns,1.88
821,juhendaja,老師,nouns,3.44
822,pastakas,字母,nouns,0.3
823,määrima,傳播,verbs,0.43
824,tõsine,有趣,adjectives,0.54
825,häbelik,害怕,adjectives,2.08
826,ülesanne,高速公路,nouns,0.1
827,kasutamata,新,adjectives,4.38
828,katteta,冚住,adjectives,0.29
829,kokkulepe,爭論,nouns,0.59
830,tsink,金,nouns,1.73
831,kabel,尖頂,nouns,1.07
832,osalema,來,verbs,2.31
833,saar,公主,nouns,0.0
834,lill,忍耐力,nouns,0.2
835,päev,晚上,nouns,0.69
836,eelsoojendama,再熱,nouns,1.83
837,vaidlema,合理地解釋,verbs,0.6
838,imeline,极好,adjectives,3.34
839,süsivesik,蔗糖,nouns,2.65
840,õnneseen,慚愧,adjectives,0.1
841,spetsiaalselt,有意義地,adverbs,1.16
842,paber,海報,nouns,2.03
843,aastaeg,冬天,nouns,2.63
844,praegu,微妙地,adverbs,0.38
845,ära tõukama,給,verbs,0.2
846,sessioon,病人,nouns,0.72
847,paat,電動機,nouns,0.39
848,kaebama,帶來,verbs,0.05
849,vein,酒,nouns,2.64
850,korrutamine,除法,nouns,1.65
851,kõht,課程,nouns,0.05
852,esineja,歌曲,nouns,0.55
853,kombinatsioon,結合,nouns,2.83
854,kuritegu,攻擊,nouns,1.6
855,jagamine,乘法,nouns,1.65
856,kohane,有禮貌,adjectives,3.44
857,veri,身體,nouns,1.02
858,ava,缺口,nouns,3.36
859,sild,汽車,nouns,0.43
860,liha,牛扒,nouns,4.19
861,aktiivselt,高高興興,adverbs,1.26
862,leotama,减少,verbs,0.29
863,katus,窗口,nouns,0.87
864,teadlikkus,注意,nouns,2.71
865,võlur,電纜,nouns,0.0
866,häbenev,幸運,adjectives,0.1
867,sent,尺寸,nouns,0.39
868,sein,城堡,nouns,0.94
869,hobune,母馬,nouns,3.22
870,etendus,數學家,nouns,0.1
871,korter,酒店,nouns,1.5
872,auto,軟管,nouns,0.29
873,naine,妻子,nouns,2.99
874,tekk,船,nouns,0.76
875,pea,鼻子,nouns,0.49
876,aasta,世紀,nouns,1.21
877,kokku põrkama,摔碎,verbs,2.4
878,enne,之後,adverbs,0.34
879,vaesus,財富,nouns,0.54
880,mitte kunagi,否定,adjectives,0.91
881,koor,教堂,nouns,1.12
882,korraldama,需要,verbs,0.44
883,aken,屋頂,nouns,0.87
884,tekk,大風,nouns,0.25
885,rist,僧侣,nouns,0.59
886,informeerima,擦亮,verbs,0.0
887,vann,房間,nouns,0.63
888,semu,朋友,nouns,4.54
889,tädi,侄子,nouns,1.19
890,kaaslane,夥伴,nouns,3.69
891,kõrs,聖歌,nouns,0.18
892,kalju,礦,nouns,0.46
893,sassis,清潔,adjectives,0.34
894,soetama,偷,verbs,0.47
895,kuulsus,財富,nouns,0.87
896,tihedalt,堅固地,adverbs,2.6
897,teleskoop,頭腦風暴,nouns,0.04
898,ebakindel,黏人,adjectives,1.07
899,õnnelikult,死氣沈沈的,adverbs,0.1
900,jumal,魔鬼,nouns,0.65
901,vastandlik,獨特,adjectives,0.69
902,kaasamine,約定,nouns,0.85
903,ortodont,牙醫,nouns,4.77
904,tsoon,地區,nouns,4.3
905,hoomama,滿足,verbs,0.1
906,putukas,蜜蜂,nouns,3.13
907,õigus,學校,nouns,0.38
908,kindlus,壁,nouns,0.94
909,võõras,翻譯者,nouns,0.64
910,õlg,身體,nouns,0.86
911,purustama,撞,verbs,2.4
912,rahustama,羞辱,verbs,0.0
913,vaikselt,自然地,adverbs,0.73
914,automobiil,汽車,nouns,5.5
915,tekk,木,nouns,0.05
916,vastutustundlikult,可靠,adverbs,3.5
917,õiglus,法庭,nouns,2.22
918,tavaliselt,很少地,adverbs,0.34
919,hommikusöök,煙肉,nouns,0.63
920,märk,玻璃,nouns,0.24
921,sülearvuti,筆記本,nouns,0.86
922,ebaloomulikult,負面地,adverbs,0.86
923,muusika,長笛,nouns,1.38
924,närviline,害怕,adjectives,2.55
925,tavaline,冷,adjectives,0.2
926,kurbus,羞愧,nouns,1.78
927,kunaiganes,有時,adverbs,0.92
928,abielluma,訂婚,verbs,2.21
929,luu,肘,nouns,0.83
930,patrull,軍隊,nouns,0.65
931,lahkelt,好心地,adverbs,4.08
932,armee,海軍,nouns,2.98
933,kaotama,得到,verbs,0.15
934,pädevus,能力,nouns,4.2
935,kõndima,站立,verbs,0.43
936,mesi,乳製品,nouns,0.29
937,katus,天花板,nouns,3.33
938,ketas,充電器,nouns,0.15
939,ümbrik,裝飾,nouns,0.25
940,kole,粗糙,adjectives,0.76
941,põrand,天花板,nouns,0.78
942,kuluma,褪色,verbs,1.44
943,kaliiber,遮,nouns,0.05
944,rahakorjamine,事件,nouns,0.58
945,oluliselt,真實地,adverbs,0.72
946,raamat,文學,nouns,2.7
947,igav,累,adjectives,0.8
948,fotofon,同音詞,nouns,0.1
949,peatuma,警告,verbs,0.24
950,pagas,環球航行,nouns,0.68
951,kuritegu,詐騙,nouns,3.02
952,amet,學院,nouns,0.39
953,imperaator,憲法,nouns,0.58
954,loll,稀罕,adjectives,0.14
955,puudumine,在场,nouns,0.54
956,emotsionaalselt,傷心地,adverbs,1.17
957,tšempion,優勝者,nouns,4.73
958,hädasti,迅速地,adverbs,3.36
959,vine,雲,nouns,2.22
960,peatuma,控制,verbs,0.63
961,näitlejanna,演員,nouns,4.07
962,tõesti,重要地,adverbs,0.72
963,mosaiik,教堂,nouns,0.35
964,tõene,不誠實,adjectives,0.34
965,uurima,觀看,verbs,3.83
966,teadma,忘記,verbs,0.24
967,uskuma,感覺到,verbs,0.83
968,näpistama,用拳猛擊,verbs,1.07
969,enesekindel,肯定,adjectives,3.69
970,kriitiliselt,實質上,adverbs,0.53
971,vaenulikkus,侵略,nouns,3.63
972,artikkel,手稿,nouns,1.93
973,itsitama,大笑,verbs,3.63
974,pöial,指甲,nouns,1.5
975,märge,作業,nouns,0.47
976,koer,馬,nouns,1.18
977,jooksma,騎,verbs,0.49
978,kuluma,允許,verbs,0.1
979,vastane,對手,nouns,5.43
980,halb,偉大,adjectives,0.2
981,puuvill,冷衫,nouns,0.83
982,hoomama,知道,verbs,3.15
983,karistama,服從,verbs,0.43
984,süüdi,壞,adjectives,0.97
985,perv,山,nouns,0.55
986,ruum,單身牢房,nouns,1.13
987,valjusti,輕輕的,adverbs,0.24
988,üle saama,統治,verbs,0.3
989,päikeseloojang,線,nouns,0.05
990,vanem,父親,nouns,2.85
991,võimlemine,擊劍,nouns,1.08
992,härg,馬,nouns,1.56
993,närviliselt,焦急地,adverbs,3.99
994,põgenema,逃跑,verbs,5.33
995,refrään,歌手,nouns,1.06
996,portreteerima,通知,verbs,0.1
997,närviline,某些,adjectives,0.2
998,aed,軌,nouns,0.1
999,paindlik,大,adjectives,0.24
1000,vajalik,不需要,adjectives,0.29
1001,pea,肩,nouns,0.83
1002,seisma,步行,verbs,0.43
1003,metall,鋁,nouns,2.44
1004,osariik,家,nouns,0.34
1005,oaas,自由,nouns,0.35
1006,looma,毀滅,verbs,0.34
1007,pirukas,巧克力,nouns,0.54
1008,mood,風尚,nouns,3.55
1009,gravitatsioon,流星,nouns,0.68
1010,kaval,堅固,adjectives,0.3
1011,informatsioon,報紙,nouns,2.07
1012,kaebama,拗撬,verbs,0.64
1013,veri,骨髓,nouns,0.92
1014,uba,煙肉,nouns,0.25
1015,silm,眉頭,nouns,1.02
1016,ilmuma,離開,verbs,0.24
1017,ükskord,馬上,adverbs,0.14
1018,lihtne,困難,adjectives,0.39
1019,lõvi,貓,nouns,1.72
1020,kristall,玻璃,nouns,2.42
1021,poiss,狀態,nouns,0.1
1022,ülikond,鈎織編織,nouns,0.2
1023,teenima,做,verbs,0.35
1024,mõõdukas,適中,adjectives,3.45
1025,lahkuma,徘徊,verbs,0.49
1026,täpne,錯誤,adjectives,0.39
1027,teraapia,行動主義,nouns,0.5
1028,tennis,統計資料,nouns,0.2
1029,lagi,大教堂,nouns,0.55
1030,eitamine,坦白,nouns,0.72
1031,hiir,貓,nouns,0.48
1032,pentsik,奇怪,adjectives,4.88
1033,aitama,問,verbs,0.45
1034,mood,模式,nouns,0.5
1035,luud,灰塵,nouns,1.01
1036,nakkus,感染,nouns,2.84
1037,tõmbama,推,verbs,0.43
1038,avastama,認識到,verbs,3.29
1039,ajakiri,文章,nouns,1.98
1040,abikaasa (naine),母親,nouns,2.51
1041,passivselt,靜靜地,adverbs,0.92
1042,tarkus,智力,nouns,4.35
1043,loogika,智力,nouns,2.56
1044,uba,咖啡,nouns,0.97
1045,vormitu,不定形,adjectives,3.63
1046,talv,夏天,nouns,0.64
1047,eitama,接受,verbs,0.65
1048,etteaste,客串角色,nouns,0.4
1049,esinema,敬禮,verbs,0.15
1050,vilistama,停,verbs,0.29
1051,iiris,乙酰膽鹼,nouns,0.35
1052,ketas,電腦,nouns,0.94
1053,lugu,鉛筆,nouns,0.25
1054,abiline,老師,nouns,1.13
1055,kaabel,巫師,nouns,0.0
1056,tähistama,使驚奇,verbs,0.39
1057,naerma,傻笑,verbs,3.63
1058,reket,球,nouns,0.92
1059,pidustus,儀式,nouns,3.07
1060,valik,章,nouns,0.45
1061,hüsteeria,混亂,nouns,2.58
1062,suur,巨大,adjectives,3.76
1063,torbik,杯子,nouns,0.29
1064,ministeerium,蘇丹,nouns,0.15
1065,lahtine,靈活,adjectives,1.45
1066,hea,聞名,adjectives,0.8
1067,ekseem,皮炎,nouns,3.26
1068,käsipuu,籬笆,nouns,0.1
1069,sõna,文學,nouns,2.08
1070,kiibid,遊標,nouns,0.24
1071,lõug,骨頭,nouns,1.46
1072,auto,運輸,nouns,1.34
1073,kast,小亭,nouns,0.55
1074,õhupall,人,nouns,0.1
1075,valima,拒絕,verbs,0.45
1076,raevukas,猶豫,adjectives,0.43
1077,varvas,手指,nouns,0.97
1078,lubama,發誓,verbs,3.47
1079,sahharoos,醣類,nouns,2.65
1080,õppima,聽,verbs,1.08
1081,vähendama,淋透,verbs,0.29
1082,ebaloomulikult,自然地,adverbs,0.29
1083,protestant,基督教,nouns,3.78
1084,tehislik,假,adjectives,3.73
1085,plekkpurk,瓶子,nouns,1.83
1086,kerge,大,adjectives,0.1
1087,prohvet,牧師,nouns,1.02
1088,niit,紗,nouns,2.61
1089,hambad,骨頭,nouns,2.05
1090,kuld,鋅,nouns,1.73
1091,kahtlustama,逮捕,verbs,0.83
1092,sisenema,欠,verbs,0.05
1093,tehas,汽車,nouns,0.25
1094,üritus,募捐活動,nouns,0.58
1095,kurb,搞笑,adjectives,0.39
1096,koer,貓,nouns,1.02
1097,aken,踝,nouns,0.09
1098,ilmselt,明顯地,adverbs,1.73
1099,demokraatia,帝制,nouns,0.6
1100,maakera,世界,nouns,3.79
1101,omandama,搵到,verbs,2.08
1102,aasta,生日,nouns,1.01
1103,keha,底衫褲,nouns,0.77
1104,buss,車輛,nouns,2.24
1105,anne,作家,nouns,0.34
1106,advokaat,銀行家,nouns,1.46
1107,kuningas,裙帶關係,nouns,0.7
1108,kahtlev,憤怒,adjectives,0.43
1109,maskeerima,偽裝,verbs,3.02
1110,koidik,白天,nouns,2.08
1111,põngerjas,男孩子,nouns,2.53
1112,tõstatama,舉起,verbs,2.46
1113,kaamera,總統,nouns,0.2
1114,saama,留,verbs,0.55
1115,lugu,話題,nouns,1.51
1116,teesklema,講大話,verbs,2.81
1117,vägivaldne,被動,adjectives,0.29
1118,aktsepeerima,拒絕,verbs,0.65
1119,pehme,暴力,adjectives,0.0
1120,sõber,夥伴,nouns,4.54
1121,lehm,山羊,nouns,1.69
1122,aju,神經,nouns,1.45
1123,ülaosa,下面,nouns,0.45
1124,aus,內疚,adjectives,0.54
1125,seersant,槍,nouns,0.73
1126,võitma,完成,verbs,1.25
1127,noomima,需求,verbs,0.3
1128,sein,磚,nouns,1.01
1129,hammustama,讀,verbs,0.19
1130,kirjutama,匆匆地寫,verbs,3.07
1131,saama,獲得,verbs,4.12
1132,uitama,離開,verbs,0.49
1133,näitleja,電視,nouns,1.05
1134,kaootiliselt,和平地,adverbs,0.25
1135,hambaarst,上校,nouns,0.1
1136,jätma,攞,verbs,0.45
1137,kari,牛肉,nouns,1.49
1138,analüüsima,評估,verbs,3.78
1139,küpsetatud,水煮,adjectives,0.77
1140,kaunistus,信封,nouns,0.25
1141,aritmeetika,韻律,nouns,0.65
1142,vihkama,批評,verbs,0.88
1143,sõber,傢伙,nouns,1.3
1144,vähenema,降落,verbs,0.55
1145,tagasi võtma,退休,verbs,0.18
1146,edu saavutama,贏,verbs,4.19
1147,loodus,植物群,nouns,1.99
1148,valimisõigus,出口,nouns,0.2
1149,teostama,贏得,verbs,1.25
1150,ignoreerima,忘記,verbs,2.03
1151,realistlikult,理想地,adverbs,0.49
1152,käsitöö,傳統,nouns,0.97
1153,lapsik,傻,adjectives,2.03
1154,küps,複雜,adjectives,0.88
1155,makse,紙幣,nouns,0.93
1156,sviiter,褸,nouns,2.26
1157,korter,家具,nouns,0.73
1158,ilmselt,簡直,adverbs,1.02
1159,ümbermaailmareis,行李,nouns,0.68
1160,lai,新鮮,adjectives,0.05
1161,korporatsioon,棒球,nouns,0.24
1162,seletama,澄清,verbs,4.07
1163,vinge,精彩,adjectives,3.34
1164,tuba,床,nouns,0.53
1165,hiiglasuur,小,adjectives,0.29
1166,jalg,手,nouns,1.66
1167,number,細胞質,nouns,0.05
1168,turvaliselt,小心地,adverbs,3.39
1169,lihas,骨頭,nouns,0.93
1170,rand,暗礁,nouns,0.58
1171,mootor,機器,nouns,2.33
1172,suhtlus,語言,nouns,1.58
1173,veen,選擇,nouns,0.1
1174,uitama,搜索,verbs,1.03
1175,lööma,吸引,verbs,0.3
1176,kampaania,猴子,nouns,0.14
1177,kasv,肥料,nouns,1.02
1178,põngerjas,女兒,nouns,1.46
1179,voodi,沙發,nouns,2.62
1180,hävitama,創建,verbs,0.34
1181,riiklik,聞名,adjectives,0.5
1182,organiseerima,成為,verbs,0.44
1183,maks,收入,nouns,0.58
1184,senat,憲法,nouns,0.96
1185,surmavalt,不同,adverbs,0.15
1186,pankur,律師,nouns,1.46
1187,kodutöö,任務,nouns,2.78
1188,laulma,大笑,verbs,0.38
1189,karp,帽子,nouns,0.15
1190,kirjandus,詞,nouns,2.08
1191,ettevaatlikult,小心地,adverbs,4.46
1192,üllatama,慶祝,verbs,0.39
1193,kana,晚餐,nouns,0.43
1194,maatriks,向量,nouns,0.93
1195,kitsas,寬大,adjectives,0.34
1196,relv,筆記本,nouns,0.0
1197,vann,氣球,nouns,0.1
1198,pärl,錢,nouns,0.47
1199,kabel,電纜,nouns,0.0
1200,uurima,發現,verbs,2.81
1201,algama,啟,verbs,3.92
1202,heli,聲學,nouns,3.08
1203,muru,根,nouns,0.78
1204,uskumus,印象,nouns,0.88
1205,õun,糖果,nouns,0.44
1206,valetama,否認,verbs,0.82
1207,matkama,爬,verbs,1.31
1208,uks,鐘,nouns,0.48
1209,motell,小旅館,nouns,3.41
1210,pöörane,開心,adjectives,1.35
1211,pilvkate,預測,nouns,0.59
1212,õlu,酒,nouns,3.4
1213,müüma,提醒,verbs,0.0
1214,hoomama,讀,verbs,0.82
1215,ühinema,離開,verbs,0.15
1216,eesnahk,割禮,nouns,1.52
1217,karvapealt,準確地,adverbs,4.96
1218,lääs,北,nouns,0.55
1219,tark,笨,adjectives,0.39
1220,kannike,花朵,nouns,2.92
1221,lammas,牛,nouns,1.85
1222,diood,電容器,nouns,2.08
1223,tabama,未打中,verbs,0.45
1224,kena,残酷,adjectives,0.0
1225,õhupall,沖涼,nouns,0.1
1226,magma,火山,nouns,1.81
1227,katastroof,死亡,nouns,1.35
1228,eelkool,幼兒園,nouns,1.78
1229,teenijanna,女孩,nouns,1.13
1230,tööline,雇主,nouns,0.97
1231,munk,十字架,nouns,0.59
1232,sisenema,離開,verbs,0.29
1233,traditsioon,手工業,nouns,0.97
1234,abieluväline,不宜說出口的,adjectives,0.78
1235,nina,喉嚨,nouns,0.83
1236,siiralt,平時,adverbs,0.72
1237,kaotama,減去,verbs,1.88
1238,ausalt,從未,adverbs,0.0
1239,õnnemängu mängima,打賭,verbs,3.3
1240,floora,大自然,nouns,1.99
1241,õigustama,校驗,verbs,0.84
1242,sinine,紅色,adjectives,0.34
1243,tunnus,尊嚴,nouns,0.33
1244,teavitama,承認,verbs,0.93
1245,tipp,側面,nouns,0.68
1246,proovima,成功,verbs,0.79
1247,võileib,午飯,nouns,0.91
1248,vöökoht,肚,nouns,2.82
1249,politseinik,政治家,nouns,0.29
1250,loputama,洗,verbs,3.65
1251,korjandus,發展,nouns,0.34
1252,informatsioon,熵,nouns,0.84
1253,lill,灌木,nouns,1.61
1254,veri,肉,nouns,0.68
1255,supp,晚餐,nouns,1.34
1256,org,峽谷,nouns,4.03
1257,asendus,交換,nouns,3.84
1258,meloodia,節奏,nouns,2.69
1259,mängima,搏鬥,verbs,0.53
1260,enamasti,深深地,adverbs,0.76
1261,riis,雞,nouns,0.63
1262,naerma,哭,verbs,0.6
1263,ohvitser,副手,nouns,0.39
1264,rutiinselt,一般,adverbs,3.06
1265,relv,頭盔,nouns,1.12
1266,kuningas,王子,nouns,2.13
1267,selgelt,肯定地,adverbs,3.59
1268,kandma,撕開,verbs,0.05
1269,karp,硬件,nouns,0.29
1270,madu,蜥蜴,nouns,1.41
1271,raiskama,擔心,verbs,0.15
1272,trumm,吉他,nouns,0.96
1273,jõukus,名譽,nouns,0.87
1274,lill,紫羅蘭,nouns,2.92
1275,kokkukutsumine,聚會,nouns,3.25
1276,õnnelikult,安全地,adverbs,1.11
1277,rahvuslik,大,adjectives,0.45
1278,munk,神職人員,nouns,2.59
1279,ühiskond,俱樂部,nouns,0.45
1280,film,電影,nouns,4.87
1281,kriitika,爭論,nouns,1.78
1282,võtma,擁有,verbs,2.41
1283,uks,地窖,nouns,0.59
1284,stressis,輕鬆,adjectives,0.48
1285,vinge,壞,adjectives,0.1
1286,kongress,議會,nouns,3.04
1287,panema,給,verbs,0.62
1288,sassis,核突,adjectives,1.17
1289,ehitama,創建,verbs,3.66
1290,telefon,受害者,nouns,0.2
1291,relv,軍士,nouns,0.73
1292,häll,幼兒床,nouns,3.55
1293,juur,草,nouns,0.78
1294,ilmnema,發生,verbs,1.97
1295,professor,學生,nouns,0.69
1296,salat,減肥,nouns,0.73
1297,lõimima,移動,verbs,0.2
1298,laisk,珍貴,adjectives,0.2
1299,vihmavari,品質,nouns,0.05
1300,näts,薄荷,nouns,0.58
1301,sõbralik,大方,adjectives,2.58
1302,metsamajake,營地,nouns,0.78
1303,allikas,盒子,nouns,0.04
1304,selgroog,身體,nouns,1.08
1305,naine,牛仔褲,nouns,0.24
1306,jagama,乘,verbs,0.44
1307,õnnelik,瘋狂,adjectives,1.35
1308,poolitama,分離,verbs,2.92
1309,hobune,狗,nouns,1.18
1310,aru saama,知道,verbs,3.41
1311,keha,胸部,nouns,1.81
1312,ootama,暫停,verbs,1.16
1313,rind,身體,nouns,1.81
1314,tasu,付款,nouns,3.16
1315,pilv,湖,nouns,0.38
1316,hindama,分析,verbs,3.78
1317,leegion,軍隊,nouns,3.33
1318,valge,狹窄,adjectives,0.1
1319,suund,行動,nouns,0.93
1320,joonistus,暴動,nouns,0.1
1321,keelduma,謝絕,verbs,4.36
1322,heegeldus,制服,nouns,0.2
1323,erinev,正常,adjectives,0.45
1324,põld,燕麥,nouns,1.21
1325,äri,工業,nouns,2.37
1326,mära,馬,nouns,3.22
1327,külg,頂,nouns,0.68
1328,vahetus,替換,nouns,3.84
1329,võõrsil,在家裡,adverbs,0.44
1330,õpetaja,拉比,nouns,0.5
1331,mutant,社會生物學,nouns,0.48
1332,rumal,笨,adjectives,5.13
1333,teater,電影,nouns,1.64
1334,raud,維他命,nouns,0.54
1335,uks,窗,nouns,0.96
1336,nurjuma,依靠,verbs,0.04
1337,väsinud,飢餓,adjectives,0.73
1338,kauss,碟,nouns,2.38
1339,bänd,管弦樂隊,nouns,3.47
1340,vampiir,蝙蝠,nouns,1.0
1341,positiivselt,大概,adverbs,0.81
1342,palk,木材,nouns,3.28
1343,hävitama,建造,verbs,0.28
1344,riputama,放,verbs,1.21
1345,raha,工資,nouns,3.66
1346,siin,現在,adverbs,1.08
1347,kokkuhoid,儲蓄者,nouns,1.4
1348,ohutult,高高興興地,adverbs,1.11
1349,kutt,靚仔,nouns,2.25
1350,kummaline,古怪,adjectives,5.48
1351,saak,神,nouns,0.1
1352,häbelik,昂貴,adjectives,0.05
1353,kelder,門,nouns,0.59
1354,ananass,手機,nouns,0.05
1355,vaidlema,需求,verbs,0.8
1356,umbes,明顯地,adverbs,0.65
1357,fonoloogia,屏幕,nouns,0.1
1358,saatma,走,verbs,0.35
1359,peen,成熟,adjectives,0.88
1360,rivi,名單,nouns,1.44
1361,teesklema,描繪,verbs,0.55
1362,kleepuv,濕,adjectives,1.68
1363,jäik,易損壞,adjectives,0.25
1364,raske,滿載,adjectives,1.06
1365,ignoreerima,打印,verbs,0.0
1366,mäss,畫畫,nouns,0.1
1367,sõnaraamat,定義,nouns,1.5
1368,ootamatu,未預見到,adjectives,4.37
1369,jõgi,大海,nouns,1.89
1370,paluma,懇求,verbs,3.88
1371,võimatu,可行,adjectives,0.39
1372,jagama,團結,verbs,0.55
1373,õun,醬,nouns,0.38
1374,loominguline,創新,adjectives,4.13
1375,tõsiselt,重要的,adverbs,2.59
1376,kutt,女孩,nouns,0.82
1377,valmistaja,創造者,nouns,3.94
1378,administratsioon,行政管理,nouns,3.74
1379,punane,藍色,adjectives,0.34
1380,tööstus,商業,nouns,2.37
1381,kuhjatud,沉重,adjectives,1.06
1382,lõpetama,開始,verbs,0.34
1383,rannik,海灘,nouns,3.46
1384,laulja,演員,nouns,2.13
1385,tee,檸檬,nouns,0.43
1386,onu,表哥,nouns,1.73
1387,lugema,咬,verbs,0.19
1388,muusika,旋律,nouns,2.86
1389,ühendama,溶解,verbs,0.39
1390,teesklema,假設,verbs,0.83
1391,sõdur,男孩,nouns,0.95
1392,õhtusöök,湯,nouns,1.34
1393,käsi,肩膀,nouns,1.56
1394,heldelt,好心地,adverbs,4.18
1395,rass,週末,nouns,0.0
1396,õhtusöök,雞,nouns,0.43
1397,tabama,瞄准,verbs,1.54
1398,rääkima,低語,verbs,1.69
1399,ujuma,見面,verbs,0.04
1400,taasmatmine,墳墓,nouns,1.0
1401,tava,規則,nouns,3.16
1402,sahtel,衣服,nouns,0.72
1403,patsient,複診,nouns,0.72
1404,uduvihm,雨,nouns,4.13
1405,säär,手臂,nouns,0.98
1406,strateeg,陰謀家,nouns,2.92
1407,katedraal,天花板,nouns,0.55
1408,kuul,大炮,nouns,0.79
1409,püüdma,阻礙,verbs,0.0
1410,tõuk,蠶,nouns,2.58
1411,vihkama,蔑視,verbs,3.32
1412,ignoreerima,探索,verbs,0.05
1413,algebra,手術,nouns,0.74
1414,putka,電話,nouns,0.6
1415,uudised,流言蜚語,nouns,1.56
1416,prestiiž,財富,nouns,0.74
1417,teadus,心理學,nouns,1.55
1418,partner,男孩,nouns,1.13
1419,kinematograafia,導演,nouns,1.33
1420,hiir,管理,nouns,0.04
1421,hommikusöök,晚餐,nouns,1.55
1422,pakt,協議,nouns,4.26
1423,panema,得到,verbs,0.1
1424,hiir,甲板,nouns,0.2
1425,rääkima,承認,verbs,1.02
1426,pruut,公主,nouns,1.02
1427,tita,女兒,nouns,1.71
1428,süüdistama,推,verbs,0.47
1429,ebanormaalselt,一般,adverbs,0.3
1430,teostatav,不可能,adjectives,0.39
1431,onupojapoliitika,國王,nouns,0.7
1432,võidusõit,哲學家,nouns,0.09
1433,vildakas,彎曲,adjectives,3.98
1434,preagu,最近,adverbs,3.63
1435,segama,騎,verbs,0.1
1436,naps,樂隊,nouns,0.3
1437,peatükk,尾巴,nouns,0.1
1438,vihmavari,暖爐,nouns,0.1
1439,täkk,傢伙,nouns,2.25
1440,auk,妻子,nouns,0.05
1441,kaer,田,nouns,1.21
1442,šokolaad,派,nouns,0.54
1443,vein,白蘭地,nouns,2.44
1444,jumal,牧師,nouns,1.02
1445,poiss,士兵,nouns,0.95
1446,ebatavaline,罕見,adjectives,4.07
1447,auto,橋,nouns,0.43
1448,töö,工具,nouns,0.79
1449,null,無窮,nouns,0.68
1450,lukk,鎖匙,nouns,1.25
1451,ebaselge,模糊,adjectives,4.53
1452,tugevalt,緊緊,adverbs,2.6
1453,unustama,學習,verbs,0.29
1454,saal,走道,nouns,0.6
1455,tunnistama,說話,verbs,1.02
1456,regulaarne,無知,adjectives,0.24
1457,poiss,哥哥,nouns,2.41
1458,suund,肚,nouns,0.05
1459,sirge,彎曲,adjectives,0.43
1460,kuulutama,宣布,verbs,3.68
1461,ulatuslik,狹窄,adjectives,0.29
1462,kaks korda,總是,adverbs,0.14
1463,käsi,膝蓋,nouns,0.68
1464,tundma,相信,verbs,0.83
1465,ettenägematu,意料之外,adjectives,4.37
1466,umbes,稍微地,adverbs,0.95
1467,väsinud,無聊,adjectives,0.8
1468,merevägi,島,nouns,0.2
1469,haruldane,笨,adjectives,0.14
