ID,ENG,SPA,PoS,score
789,sharp,templado,adjectives,0.25
790,father,dios,nouns,1.25
791,sickness,cáncer,nouns,2.72
792,think,preguntar,verbs,0.85
793,organize,recoger,verbs,1.25
794,calmly,pacíficamente,adverbs,4.1
795,become,aparecer,verbs,0.49
796,hug,exprimir,verbs,1.38
797,harm,dolor,nouns,2.46
798,become,parecer,verbs,0.32
799,timber,tronco,nouns,3.26
800,queen,abeja,nouns,0.74
801,diplomacy,negociación,nouns,2.56
802,volcano,magma,nouns,1.5
803,money,capital,nouns,3.69
804,terminally,diferentemente,adverbs,0.04
805,melody,ritmo,nouns,2.53
806,ocean,mar,nouns,4.68
807,retreat,salir,verbs,2.91
808,heavy,grande,adjectives,1.52
809,expand,crecer,verbs,4.95
810,sweater,algodón,nouns,0.51
811,class,caos,nouns,0.1
812,buy,robar,verbs,0.22
813,snow,hielo,nouns,3.01
814,win,tener éxito,verbs,3.09
815,narrow,sucio,adjectives,0.0
816,age,belleza,nouns,0.33
817,logic,inteligencia,nouns,3.04
818,knee,brazo,nouns,0.29
819,symbol,código,nouns,2.04
820,belief,concepto,nouns,1.82
821,certain,nervioso,adjectives,0.05
822,narrow,delgado,adjectives,4.3
823,leave,llegar,verbs,0.24
824,explore,descubrir,verbs,2.71
825,strange,bizarro,adjectives,4.57
826,cent,gente,nouns,0.05
827,mouth,diente,nouns,1.18
828,ceiling,suelo,nouns,0.46
829,stomach,vena,nouns,0.2
830,remind,contar,verbs,1.21
831,pole,bandera,nouns,0.3
832,tongue,mejilla,nouns,0.54
833,unformed,uniforme,adjectives,0.3
834,flute,música,nouns,1.35
835,flag,vexilología,nouns,1.27
836,skyscraper,palacio,nouns,0.41
837,rude,ruidoso,adjectives,0.79
838,achieve,tratar,verbs,0.64
839,gift,escritor,nouns,0.05
840,president,contaminación,nouns,0.36
841,meal,cena,nouns,3.26
842,rely,fallar,verbs,0.1
843,partner,chico,nouns,0.63
844,explain,discutir,verbs,1.5
845,book,manuscrito,nouns,2.91
846,endurance,fuerza,nouns,2.92
847,come,asistir,verbs,2.58
848,delightful,alegre,adjectives,2.54
849,madly,ruidosamente,adverbs,0.94
850,disguise,cubrir,verbs,1.69
851,come,ir,verbs,0.96
852,throat,lengua,nouns,0.94
853,friend,huésped,nouns,1.76
854,umbrella,calibre,nouns,0.1
855,goal,búsqueda,nouns,1.52
856,hang,poner,verbs,1.39
857,launch,enviar,verbs,2.15
858,film,teatro,nouns,1.29
859,compare,analizar,verbs,2.62
860,sharp,aburrido,adjectives,0.04
861,cop,sheriff,nouns,3.66
862,attend,reunir,verbs,0.72
863,cinema,ópera,nouns,1.13
864,body,pecho,nouns,0.98
865,catastrophe,muerte,nouns,0.99
866,hawk,pájaro,nouns,2.3
867,suffix,afijo,nouns,1.81
868,curved,torcido,adjectives,2.75
869,car,fábrica,nouns,0.2
870,date,cumpleaños,nouns,1.54
871,compass,elefante,nouns,0.05
872,tree,bote,nouns,0.15
873,delta,mar,nouns,0.92
874,attend,enviar,verbs,0.35
875,catch,perseguir,verbs,0.82
876,robotics,simulación,nouns,0.95
877,know,entender,verbs,3.2
878,roughly,fácilmente,adverbs,0.1
879,alcohol,vino,nouns,1.73
880,kill,ahogarse,verbs,1.0
881,kindly,generosamente,adverbs,3.19
882,car,tanque,nouns,0.61
883,player,entrenador,nouns,0.41
884,delicately,actualmente,adverbs,0.0
885,necessary,innecesario,adjectives,0.14
886,cautiously,cuidadosamente,adverbs,4.63
887,read,comprender,verbs,1.64
888,avoid,negar,verbs,0.69
889,sensor,radiador,nouns,0.71
890,news,editorial,nouns,1.81
891,easy,sencillo,adjectives,4.61
892,actor,poliedro,nouns,0.04
893,build,añadir,verbs,1.19
894,softly,firmemente,adverbs,0.15
895,population,gente,nouns,3.12
896,apparent,obvio,adjectives,4.29
897,ledge,montaña,nouns,0.47
898,steeple,capilla,nouns,1.22
899,proudly,pacíficamente,adverbs,0.26
900,dress,danza,nouns,0.15
901,top,quinto,adjectives,0.05
902,wonderful,estupendo,adjectives,5.36
903,event,recaudación de fondos,nouns,2.34
904,hospital,cama,nouns,0.35
905,sometimes,cuando,adverbs,0.77
906,basketball,béisbol,nouns,1.02
907,attitude,confianza,nouns,1.91
908,south,norte,nouns,0.56
909,monkey,campaña,nouns,0.05
910,educate,aprender,verbs,1.16
911,after,antes de,adverbs,0.09
912,water,coronación,nouns,0.0
913,protect,mantener,verbs,1.4
914,hallway,corredor,nouns,5.46
915,bull,becerro,nouns,1.96
916,punish,enseñar,verbs,0.25
917,please,alegar,verbs,0.66
918,camera,obrero,nouns,0.05
919,baseball,sofá,nouns,0.1
920,alcohol,brandy,nouns,1.59
921,happily,sin peligro,adverbs,0.33
922,accomplish,volverse,verbs,0.14
923,cheese,un pan,nouns,0.28
924,shame,dolor,nouns,0.94
925,illegal,legal,adjectives,0.14
926,steal,tomar,verbs,1.54
927,laden,pesado,adjectives,3.1
928,calmly,sutilmente,adverbs,1.44
929,target,flecha,nouns,0.79
930,assist,ayudar,verbs,4.75
931,strength,resistencia,nouns,2.92
932,reality,espejismo,nouns,0.22
933,wife,centavo,nouns,0.15
934,fry,hervir,verbs,1.17
935,cheerful,feliz,adjectives,5.11
936,weak,poderoso,adjectives,0.19
937,belief,opinión,nouns,3.41
938,public,privado,adjectives,0.14
939,rate,valor,nouns,2.12
940,acetylcholine,iris,nouns,0.15
941,hallway,clase,nouns,0.19
942,roam,deambular,verbs,5.03
943,death,tragedia,nouns,1.97
944,shield,rodela,nouns,1.18
945,monoculture,agricultura,nouns,1.14
946,wisdom,inteligencia,nouns,3.83
947,belief,valor,nouns,2.31
948,woman,piel,nouns,0.15
949,generously,amablemente,adverbs,3.19
950,governor,emperador,nouns,2.08
951,fail,confiar,verbs,0.1
952,learn,confundir,verbs,0.1
953,rattle,ruido,nouns,2.97
954,elephant,brújula,nouns,0.05
955,priest,dios,nouns,0.99
956,massively,abiertamente,adverbs,0.1
957,smartly,maduro,adverbs,1.73
958,information,libro,nouns,1.06
959,cat,león,nouns,1.48
960,adult,guardián,nouns,1.42
961,weekend,raza,nouns,0.0
962,dawn,noche,nouns,0.39
963,boat,árbol,nouns,0.15
964,owe,prestar,verbs,0.29
965,victor,hombre,nouns,0.66
966,ordinary,frío,adjectives,0.05
967,booth,teléfono,nouns,0.87
968,depth,magnitud,nouns,1.67
969,money,salario,nouns,3.24
970,teeth,hueso,nouns,1.89
971,adore,admirar,verbs,3.27
972,beast,animal,nouns,4.05
973,payment,moneda,nouns,1.67
974,nature,flora,nouns,2.47
975,breakfast,tocino,nouns,0.46
976,perspective,distancia,nouns,1.89
977,boring,cansado,adjectives,0.91
978,cell,habitación,nouns,0.82
979,muslim,obispo,nouns,0.35
980,situation,circunstancia,nouns,5.34
981,arrive,asistir,verbs,1.64
982,inflection,infección,nouns,0.1
983,cup,tarro,nouns,2.04
984,literature,libro,nouns,2.42
985,cooperate,unirse,verbs,2.44
986,hymn,conquista,nouns,0.15
987,new,fresco,adjectives,3.54
988,glass,cristal,nouns,1.64
989,red,azul,adjectives,0.56
990,easy,difícil,adjectives,0.14
991,absorb,retirar,verbs,0.1
992,air,molécula,nouns,0.72
993,entertain,complacer,verbs,1.69
994,zone,área,nouns,5.15
995,float,cantar,verbs,0.0
996,smart,inteligente,adjectives,5.5
997,slide,puntero,nouns,0.25
998,actively,pasivamente,adverbs,0.14
999,get,perder,verbs,0.1
1000,upset,desalentar,verbs,0.49
1001,pearl,dinero,nouns,0.61
1002,fabric,ropa,nouns,1.97
1003,promise,jurar,verbs,5.07
1004,bake,freír,verbs,1.35
1005,affordable,barato,adjectives,4.18
1006,house,apartamento,nouns,3.47
1007,apartment,mueble,nouns,0.41
1008,probably,afirmativamente,adverbs,0.64
1009,news,chisme,nouns,2.13
1010,anger,frustración,nouns,4.25
1011,criticize,observar,verbs,1.35
1012,likely,posiblemente,adverbs,3.69
1013,danger,enfermedad,nouns,0.56
1014,island,playa,nouns,1.45
1015,national,conocido,adjectives,0.2
1016,teeth,martillo,nouns,0.05
1017,reprimand,pedir,verbs,0.29
1018,participate,decir,verbs,0.76
1019,window,techo,nouns,0.32
1020,enter,ir,verbs,1.5
1021,goat,vaca,nouns,1.07
1022,succeed,ganar,verbs,3.09
1023,violent,enojado,adjectives,1.83
1024,justify,verificar,verbs,1.4
1025,stomach,cintura,nouns,1.61
1026,electric,mecánico,adjectives,0.87
1027,box,cigarro,nouns,0.42
1028,take,poseer,verbs,1.91
1029,terrific,enojado,adjectives,0.05
1030,know,olvidar,verbs,0.14
1031,accept,negar,verbs,0.09
1032,television,cine,nouns,1.84
1033,wet,pegajoso,adjectives,0.67
1034,beach,isla,nouns,1.45
1035,aggression,hostilidad,nouns,3.69
1036,condemn,rechazar,verbs,1.95
1037,powerful,débiles,adjectives,0.19
1038,put,dar,verbs,0.76
1039,reject,condenar,verbs,1.95
1040,admit,negar,verbs,0.14
1041,island,tarea,nouns,0.05
1042,adult,niño,nouns,0.44
1043,container,botella,nouns,2.0
1044,clothes,chaqueta,nouns,1.52
1045,enter,deber,verbs,0.0
1046,accept,creer,verbs,1.54
1047,frightened,emocionado,adjectives,0.52
1048,perfectly,verdaderamente,adverbs,0.95
1049,dishonest,veraz,adjectives,0.09
1050,culture,sociedad,nouns,2.45
1051,inch,patio,nouns,0.47
1052,learn,escuchar,verbs,0.89
1053,tobacco,cigarrillo,nouns,2.88
1054,blood,carne,nouns,0.88
1055,eye,lágrima,nouns,0.57
1056,madly,tristemente,adverbs,0.39
1057,hand,uña,nouns,0.79
1058,map,cuadrado,nouns,0.2
1059,catch,lanzar,verbs,0.24
1060,daughter,bebé,nouns,2.38
1061,glad,enfadado,adjectives,0.1
1062,cloud,lago,nouns,0.15
1063,remark,criticar,verbs,1.35
1064,mathematician,show,nouns,0.05
1065,attend,discutir,verbs,0.1
1066,ceremony,celebracion,nouns,3.59
1067,wrathful,vacilante,adjectives,0.45
1068,pay,comprar,verbs,1.16
1069,theatre,batería,nouns,0.1
1070,hold,abrazar,verbs,1.55
1071,replace,restaurar,verbs,2.58
1072,management,ratón,nouns,0.0
1073,arm,muñeca,nouns,1.11
1074,clean,sucio,adjectives,0.49
1075,stink,oler,verbs,3.16
1076,maturely,rectamente,adverbs,0.94
1077,log,fórmula,nouns,0.17
1078,angry,feliz,adjectives,0.14
1079,stir,mezcla,verbs,3.36
1080,bed,habitación,nouns,1.27
1081,corruption,fraude,nouns,3.33
1082,word,página,nouns,0.52
1083,argue,probar,verbs,1.23
1084,urgently,con rapidez,adverbs,3.8
1085,corridor,puerta,nouns,0.34
1086,mouse,gato,nouns,0.41
1087,appliance,maceta,nouns,0.49
1088,year,siglo,nouns,0.92
1089,umbrella,calentador,nouns,0.1
1090,grow,incrementar,verbs,4.27
1091,punch,pellizcar,verbs,0.47
1092,poverty,riqueza,nouns,0.22
1093,twice,una vez,adverbs,0.75
1094,arm,vena,nouns,0.29
1095,think,decidir,verbs,1.57
1096,stressed,relajado,adjectives,0.14
1097,acquire,obtener,verbs,5.05
1098,guardian,adulto,nouns,1.42
1099,bathroom,cocina,nouns,0.57
1100,seed,mostaza,nouns,1.25
1101,generous,simpático,adjectives,1.5
1102,road,autopista,nouns,3.95
1103,organize,volverse,verbs,0.1
1104,guidebook,manual,nouns,4.34
1105,preheat,recalentamiento,nouns,1.38
1106,task,asignación,nouns,4.91
1107,truly,perfectamente,adverbs,0.95
1108,guitar,trucha,nouns,0.0
1109,neck,hueso,nouns,0.32
1110,copilot,cabina,nouns,0.46
1111,marry,unirse,verbs,2.66
1112,bite,luchar,verbs,0.65
1113,difficulty,esfuerzo,nouns,3.0
1114,activity,movimiento,nouns,3.04
1115,bad,deshonesto,adjectives,1.32
1116,sheep,ganado,nouns,2.12
1117,weave,movimiento,verbs,0.34
1118,inquire,buscar,verbs,1.66
1119,fraternity,béisbol,nouns,0.15
1120,real,0,adjectives,0.09
1121,telescope,reunión creativa,nouns,0.0
1122,reality,fantasía,nouns,0.34
1123,jaw,hueso,nouns,0.82
1124,hand,muñeca,nouns,1.76
1125,abdomen,vientre,nouns,4.0
1126,capture,agarrar,verbs,3.65
1127,ignore,pedir,verbs,0.1
1128,surely,obviamente,adverbs,3.09
1129,decomposition,factorización,nouns,1.04
1130,white,estrecho,adjectives,0.0
1131,deck,ratón,nouns,0.0
1132,trout,guitarra,nouns,0.0
1133,accuse,mentir,verbs,0.33
1134,dwarfish,pequeñito,adjectives,4.29
1135,jeans,mujer,nouns,0.15
1136,car,calibre,nouns,0.2
1137,mix,beber,verbs,0.3
1138,magma,volcán,nouns,1.5
1139,cathedral,techo,nouns,0.2
1140,worker,mecánico,nouns,2.16
1141,fragile,frígido,adjectives,0.05
1142,try,tener éxito,verbs,0.64
1143,cover,disfrazar,verbs,1.69
1144,ride,correr,verbs,0.39
1145,conversion,altitud,nouns,0.35
1146,acoustics,sonido,nouns,3.4
1147,wash,enjuagar,verbs,3.74
1148,copilot,policía,nouns,0.19
1149,chair,cama,nouns,0.97
1150,baggage,circunnavegación,nouns,0.63
1151,ox,caballo,nouns,1.04
1152,cytoplasm,dígito,nouns,0.0
1153,ceramic,cerámica,nouns,4.05
1154,new,antiguo,adjectives,0.14
1155,cannon,pistola,nouns,1.77
1156,accurately,precisamente,adverbs,5.17
1157,movable,flexible,adjectives,2.65
1158,inform,notificar,verbs,4.75
1159,skill,inteligencia,nouns,2.08
1160,happy,joven,adjectives,0.09
1161,agreement,pacto,nouns,5.15
1162,society,cultura,nouns,2.45
1163,unanticipated,imprevisto,adjectives,5.51
1164,create,destruir,verbs,0.09
1165,sometimes,seguramente,adverbs,0.49
1166,precious,perezoso,adjectives,0.0
1167,glass,placa,nouns,0.39
1168,start,empezar,verbs,5.49
1169,funny,triste,adjectives,0.17
1170,nice,saliente,adjectives,0.52
1171,cent,esposa,nouns,0.15
1172,soul,hermano,nouns,0.15
1173,easily,cómodamente,adverbs,3.15
1174,trick,pistola,nouns,0.1
1175,car,bote,nouns,0.57
1176,sauce,manzana,nouns,0.69
1177,deadly,felizmente,adverbs,0.05
1178,give,mantener,verbs,0.35
1179,sunset,noche,nouns,1.56
1180,big,fácil,adjectives,0.0
1181,protect,ayuda,verbs,1.5
1182,move,tejer,verbs,0.34
1183,beer,alcohol,nouns,2.09
1184,tail,capítulo,nouns,0.05
1185,warrior,hombre,nouns,0.72
1186,finger,palma,nouns,0.69
1187,get,permanecer,verbs,0.0
1188,honest,culpable,adjectives,0.05
1189,elbow,tobillo,nouns,0.39
1190,doorway,puerta,nouns,2.16
1191,candidate,ganador,nouns,1.23
1192,beer,champán,nouns,1.15
1193,cameo,actuación,nouns,0.69
1194,employee,empleador,nouns,0.6
1195,attack,bombardeo aéreo,nouns,2.9
1196,literature,palabra,nouns,2.01
1197,bird,gallina,nouns,1.67
1198,river,corriente,nouns,2.91
1199,sheep,cordero,nouns,4.17
1200,yarn,hilo,nouns,2.51
1201,wagon,envase,nouns,0.15
1202,fact,prueba,nouns,2.37
1203,boy,soldado,nouns,0.24
1204,acquire,unirse,verbs,0.56
1205,keep,dar,verbs,0.35
1206,essentially,necesariamente,adverbs,3.88
1207,bath,globo,nouns,0.05
1208,quit,empezar,verbs,0.14
1209,student,alumno,nouns,5.6
1210,leave,esperar,verbs,0.2
1211,ankle,hueso,nouns,0.86
1212,glad,feliz,adjectives,4.68
1213,shake,recoger,verbs,0.2
1214,sunset,amanecer,nouns,0.57
1215,speed,enviar,nouns,0.2
1216,tank,coche,nouns,0.61
1217,operation,álgebra,nouns,1.06
1218,accept,recomendar,verbs,0.4
1219,define,aclarar,verbs,3.47
1220,palm,dedo,nouns,0.69
1221,death,entierro,nouns,1.32
1222,cloud,clima,nouns,0.77
1223,unite,empatar,verbs,1.06
1224,escape,huir,verbs,5.1
1225,rice,pollo,nouns,0.29
1226,beach,costa,nouns,3.09
1227,medium,templado,adjectives,1.98
1228,vein,elección,nouns,0.0
1229,minute,segundo,nouns,1.79
1230,gullible,estúpido,adjectives,2.49
1231,money,diamante,nouns,0.51
1232,brilliant,genial,adjectives,3.65
1233,bride,princesa,nouns,0.59
1234,milk,jugo,nouns,0.66
1235,mechanic,obrero,nouns,2.16
1236,cliff,cola,nouns,0.0
1237,walk,estar,verbs,0.29
1238,sheet,avión,nouns,0.0
1239,agree,complacer,verbs,0.9
1240,bankruptcy,fracaso,nouns,1.68
1241,mouse,envase,nouns,0.05
1242,muffin,perejil,nouns,0.25
1243,menu,orden,nouns,0.81
1244,angry,violento,adjectives,1.83
1245,go,entrar,verbs,1.5
1246,office,obrero,nouns,0.22
1247,safety,comodidad,nouns,1.76
1248,balloon,bañera,nouns,0.05
1249,citrus,naranja,nouns,2.88
1250,camera,presidente,nouns,0.45
1251,winter,temporada,nouns,2.26
1252,engagement,cita,nouns,3.69
1253,reject,retirar,verbs,1.15
1254,assignment,nota,nouns,0.46
1255,student,profesor,nouns,0.41
1256,huge,grande,adjectives,4.96
1257,top,lado,nouns,0.76
1258,sob,llorar,verbs,4.24
1259,shrink,desaparecer,verbs,0.74
1260,quietly,naturalmente,adverbs,0.74
1261,mainly,terminalmente,adverbs,0.24
1262,scheme,idea,nouns,3.27
1263,princess,novia,nouns,0.59
1264,metal,estaño,nouns,1.71
1265,harsh,cruel,adjectives,3.34
1266,animal,bestia,nouns,4.05
1267,grow,expandir,verbs,4.95
1268,include,implicar,verbs,3.5
1269,examine,inspeccionar,verbs,4.95
1270,tremor,terremoto,nouns,3.66
1271,dad,madre,nouns,1.7
1272,try,pensar,verbs,0.35
1273,debate,discutir,verbs,4.13
1274,shrink,reducir,verbs,4.28
1275,accept,rechazar,verbs,0.14
1276,imitate,retratar,verbs,2.36
1277,ecosystem,economía,nouns,0.39
1278,accomplish,ganar,verbs,2.38
1279,night,capítulo,nouns,0.35
1280,retreat,descender,verbs,1.22
1281,spicy,bueno,adjectives,0.0
1282,aim,golpear,verbs,0.51
1283,boss,director,nouns,3.94
1284,strong,orgulloso,adjectives,0.81
1285,never,generosamente,adverbs,0.0
1286,ideally,mecánicamente,adverbs,0.1
1287,buddy,acompañante,nouns,4.5
1288,beautiful,maravilloso,adjectives,2.71
1289,achieve,tener éxito,verbs,4.0
1290,unsure,asustado,adjectives,1.43
1291,attract,golpear,verbs,0.05
1292,humiliate,comodidad,verbs,0.04
1293,body,sangre,nouns,0.41
1294,drum,guitarra,nouns,0.71
1295,cursor,patatas fritas,nouns,0.0
1296,people,partido,nouns,0.74
1297,fee,pago,nouns,3.79
1298,liquor,siglo,nouns,0.05
1299,stomach,habitación,nouns,0.1
1300,hose,coche,nouns,0.15
1301,tail,posterior,nouns,2.71
1302,friend,compañero,nouns,4.36
1303,film,nihilismo,nouns,0.1
1304,sell,pedir prestado,verbs,0.24
1305,mine,rock,nouns,0.27
1306,dawn,pistola,nouns,0.0
1307,borrow,vender,verbs,0.24
1308,print,ignorar,verbs,0.0
1309,retain,mantener,verbs,4.92
1310,mother,amigo,nouns,0.77
1311,swear,prometer,verbs,5.07
1312,leave,aparecer,verbs,0.34
1313,hard,denso,adjectives,2.27
1314,accept,entregar,verbs,0.2
1315,town,ciudad,nouns,3.02
1316,buddy,amigo,nouns,4.36
1317,learn,evaluar,verbs,0.72
1318,homework,ensayo,nouns,2.96
1319,cow,cabra,nouns,1.07
1320,allowed,legal,adjectives,4.3
1321,rationalize,discutir,verbs,2.17
1322,night,día,nouns,0.66
1323,illness,infección,nouns,3.29
1324,apple,dieta,nouns,0.64
1325,significant,menor,adjectives,0.14
1326,champagne,whisky,nouns,1.01
1327,person,animal,nouns,0.51
1328,cannon,pelota,nouns,0.51
1329,beauty,soneto,nouns,0.36
1330,brother,hijo,nouns,0.83
1331,evaluate,aprender,verbs,0.72
1332,argue,persuadir,verbs,1.73
1333,mother,papá,nouns,1.7
1334,inquire,pensar,verbs,0.85
1335,yogurt,ganado,nouns,0.57
1336,shrink,crecer,verbs,0.14
1337,wheat,cereal,nouns,1.6
1338,actively,precisamente,adverbs,0.54
1339,argue,convencer,verbs,1.41
1340,clench,agarrar,verbs,3.07
1341,kindly,suavemente,adverbs,2.24
1342,book,artículo,nouns,0.84
1343,wander,buscar,verbs,0.83
1344,rude,crítico,adjectives,0.88
1345,reflection,imagen,nouns,1.71
1346,background,papel pintado,nouns,2.34
1347,remain,salir,verbs,0.17
1348,area,región,nouns,4.49
1349,realistically,idealmente,adverbs,0.62
1350,mood,emoción,nouns,3.3
1351,repair,restaurar,verbs,4.66
1352,noise,traqueteo,nouns,2.97
1353,cinema,televisión,nouns,1.84
1354,realistically,recientemente,adverbs,0.0
1355,intelligence,lógica,nouns,3.04
1356,argue,pedir,verbs,0.49
1357,action,juego,nouns,0.81
1358,acquire,encontrar,verbs,1.82
1359,flexible,móvil,adjectives,2.65
1360,neglect,desconocer,verbs,1.25
1361,attention,interés,nouns,3.36
1362,charcoal,carbón,nouns,2.5
1363,photophone,homófono,nouns,0.44
1364,guest,amigo,nouns,1.76
1365,humbly,mal,adverbs,0.29
1366,oddly,diferentemente,adverbs,1.84
1367,atom,molécula,nouns,2.13
1368,top,fondo,nouns,0.26
1369,join,salir,verbs,0.29
1370,declare,anunciar,verbs,4.63
1371,servant,esclavo,nouns,2.94
1372,philosopher,carreras,nouns,0.15
1373,wall,decoración,nouns,0.56
1374,gossip,noticias,nouns,2.13
1375,bad,inmoral,adjectives,3.06
1376,normally,rutinariamente,adverbs,4.68
1377,dirty,estrecho,adjectives,0.0
1378,room,célula,nouns,0.82
1379,satisfy,comprender,verbs,0.42
1380,desire,querer,verbs,5.11
1381,beef,ganado,nouns,3.29
1382,kill,defender,verbs,0.35
1383,pipe,cigarro,nouns,0.84
1384,theory,química,nouns,0.69
1385,fifth,parte superior,adjectives,0.05
1386,average,regular,adjectives,4.05
1387,silkworm,oruga,nouns,2.44
1388,car,puente,nouns,0.1
1389,style,elegancia,nouns,3.71
1390,opinion,creencia,nouns,3.41
1391,broad,estrecho,adjectives,0.14
1392,orthodontist,dentista,nouns,3.45
1393,imagine,pretender,verbs,2.04
1394,pause,esperar,verbs,3.14
1395,lens,cámara,nouns,1.7
1396,appointment,compromiso,nouns,3.69
1397,give,poner,verbs,0.76
1398,swim,reunirse,verbs,0.27
1399,deny,aceptar,verbs,0.09
1400,god,padre,nouns,1.25
1401,rain,tormenta de nieve,nouns,0.65
1402,argument,conversación,nouns,2.39
1403,stupid,obstinado,adjectives,0.51
1404,syllabus,examen,nouns,0.61
1405,fall,herir,verbs,0.71
1406,secularist,religión,nouns,0.26
1407,tough,fácil,adjectives,0.14
1408,intelligent,listo,adjectives,5.5
1409,recent,nuevo,adjectives,4.17
1410,fire,apocalipsis,nouns,0.64
1411,hit,marco,nouns,0.15
1412,hen,pavo,nouns,0.97
1413,engagement,anillo,nouns,1.71
1414,create,dibujar,verbs,1.36
1415,modest,avergonzado,adjectives,0.52
1416,king,princesa,nouns,1.29
1417,manager,líder,nouns,3.1
1418,communicate,rezar,verbs,0.65
1419,openly,macizamente,adverbs,0.1
1420,chicken,arroz,nouns,0.29
1421,kindergarten,preescolar,nouns,3.55
1422,importantly,verdaderamente,adverbs,0.32
1423,dollar,millonario,nouns,0.67
1424,hymn,cañita,nouns,0.05
1425,legend,moral,nouns,0.41
1426,area,esquina,nouns,0.61
1427,abnormally,normalmente,adverbs,0.14
1428,task,trabajo,nouns,4.44
1429,log,madera,nouns,3.26
1430,movie,filme,nouns,5.68
1431,snap,crujir,verbs,1.76
1432,poster,papel,nouns,1.79
1433,head,uña,nouns,0.25
1434,arm,músculo,nouns,1.04
1435,second,minuto,nouns,1.79
1436,drink,mezcla,verbs,0.3
1437,dog,gato,nouns,0.66
1438,priest,monje,nouns,3.3
1439,lie,negar,verbs,1.17
1440,blizzard,lluvia,nouns,0.65
1441,dull,emocionante,adjectives,0.14
1442,lend,deber,verbs,0.29
1443,bubble,jabonaduras,nouns,2.39
1444,teach,castigar,verbs,0.25
1445,build,crear,verbs,3.84
1446,apple,salsa,nouns,0.69
1447,feasible,imposible,adjectives,0.14
1448,hurt,atacar,verbs,2.57
1449,arrange,exigir,verbs,0.15
1450,fever,enfermedad,nouns,2.32
1451,agriculture,monocultivo,nouns,1.14
1452,money,efectivo,nouns,4.71
1453,pollination,estambre,nouns,0.79
1454,allow,refutar,verbs,0.25
1455,sadly,emocionalmente,adverbs,1.77
1456,coast,litoral,nouns,4.28
1457,educate,enseñar,verbs,5.32
1458,become,realizar,verbs,0.14
1459,kitchen,baño,nouns,0.57
1460,prestige,riqueza,nouns,1.31
1461,frame,golpear,nouns,0.15
1462,clothes,paño,nouns,1.73
1463,wood,piedra,nouns,0.49
1464,neutral,indeciso,adjectives,2.17
1465,analyze,comparar,verbs,2.62
1466,mansion,escultor,nouns,0.35
1467,lawyer,banquero,nouns,0.97
1468,tired,hambriento,adjectives,0.61
1469,locate,encontrar,verbs,5.28
1470,ancient,moderno,adjectives,0.14
1471,dissolve,derretir,verbs,2.79
1472,innovative,creativo,adjectives,4.52
1473,mad,infeliz,adjectives,1.92
1474,lawyer,galería,nouns,0.1
1475,discussion,discusión,nouns,2.39
1476,cardboard,papel,nouns,3.09
1477,crocodile,lagartija,nouns,2.3
1478,runner,atleta,nouns,2.76
1479,mark,club,nouns,0.45
1480,button,ropa,nouns,1.01
1481,sociobiology,mutante,nouns,0.2
1482,old,mezclado,adjectives,0.0
1483,yard,metro,nouns,2.06
1484,tax,ingresos,nouns,0.51
1485,give,robar,verbs,0.09
1486,alley,calle,nouns,3.23
1487,scared,nervioso,adjectives,2.4
1488,narrow,amplio,adjectives,0.14
1489,bird,halcón,nouns,2.3
1490,sell,recordar,verbs,0.0
1491,translator,extranjero,nouns,0.41
1492,sadness,felicidad,nouns,0.44
1493,riot,dibujo,nouns,0.05
1494,band,resistencia,nouns,0.05
1495,young,feliz,adjectives,0.09
1496,pet,gato,nouns,2.92
1497,dumb,enorme,adjectives,0.04
1498,fraud,delito,nouns,2.66
1499,keyboard,ligero,nouns,0.25
1500,judge,testificar,verbs,0.79
1501,argue,quejarse,verbs,2.2
1502,whiskey,champán,nouns,1.01
1503,definitely,seguramente,adverbs,4.15
1504,spoil,oler,verbs,0.04
1505,deeply,significativamente,adverbs,2.94
1506,marginally,aproximadamente,adverbs,0.66
1507,crime,fraude,nouns,2.66
1508,multiply,dividir,verbs,0.51
1509,bowling,jugador de bolos,nouns,1.63
1510,gun,cuaderno,nouns,0.05
1511,attorney,licenciado en derecho,nouns,5.04
1512,confidence,yo,nouns,1.06
1513,fox,sabueso,nouns,0.98
1514,elephant,dinosaurio,nouns,0.57
1515,covered,descubierto,adjectives,0.14
1516,terrible,triste,adjectives,1.02
1517,realize,descubrir,verbs,3.99
1518,adult,bebé,nouns,0.45
1519,size,truco,nouns,0.0
1520,diamond,dinero,nouns,0.51
1521,heater,paraguas,nouns,0.1
1522,agriculture,planta,nouns,1.06
1523,gently,amablemente,adverbs,2.24
1524,elevator,coche,nouns,0.19
1525,sly,extraño,adjectives,0.22
1526,coat,ropa,nouns,1.47
1527,basket,pelota,nouns,0.15
1528,relaxed,estresado,adjectives,0.14
1529,enjoy,entretener,verbs,1.15
1530,mostly,profundamente,adverbs,0.85
1531,job,herramienta,nouns,0.48
1532,wood,papel,nouns,0.96
1533,drip,verter,verbs,1.34
1534,equation,fórmula,nouns,4.09
1535,monthly,semanal,adjectives,0.64
1536,head,hombro,nouns,1.21
1537,do,ocurrir,verbs,0.65
1538,chapter,elección,nouns,0.25
1539,want,pedir prestado,verbs,0.5
1540,winner,gol,nouns,0.51
1541,circumcision,prepucio,nouns,1.34
1542,glow,brillar,verbs,3.86
1543,cook,freír,verbs,2.55
1544,happily,mortal,adverbs,0.05
1545,bottom,lado,nouns,0.69
