ID,EST,SWA,PoS,score
699,veri,damu,nouns,0.8
700,lai,mbivu,adjectives,0.05
701,merevägi,jeshi la wanamaji,nouns,0.2
702,president,mwanasiasa,nouns,3.1
703,tööandja,mfanyakazi,nouns,1.0
704,ette kujutama,kujifanya,verbs,0.8
705,lõuna,ugali,nouns,1.45
706,ostma,kuiba,verbs,0.3
707,issi,mama,nouns,0.8
708,lõug,mfupa,nouns,0.65
709,kõver,yenye pindo,adjectives,0.3
710,süüdistama,kushtaki,verbs,2.25
711,kaliiber,kaliba,nouns,0.05
712,pära,jabali,nouns,0.0
713,lehm,mifugo,nouns,2.15
714,panus,mchango,nouns,2.2
715,raputama,kutikisa,verbs,1.17
716,loobuma,kukataa,verbs,0.93
717,õnnelik,ana hasira,adjectives,0.95
718,televisioon,mawasiliano,nouns,1.8
719,intelligentne,mpumbavu,adjectives,0.45
720,passiivne,kupooza,adjectives,0.25
721,traditsioon,utamaduni,nouns,0.7
722,luuletaja,mshairi,nouns,0.9
723,tehas,gari,nouns,0.3
724,hambad,meno,nouns,0.1
725,keemia,nadharia,nouns,0.55
726,käsi,mguu,nouns,1.15
727,peigmees,bibi arusi,nouns,0.8
728,kari,nyama ya ng'ombe,nouns,0.6
729,mugavus,usalama,nouns,1.15
730,välja tõstma,kufukuza,verbs,0.5
731,imelikult,kiajabu,adverbs,1.4
732,täkk,mvulana,nouns,0.75
733,abieluväline,nje ya ndoa,adjectives,0.55
734,ootama,kungoja,verbs,0.1
735,tossud,wakufunzi,nouns,0.45
736,mööda lööma,kukosa,verbs,0.4
737,lugu,kitabu,nouns,1.9
738,vaesus,utajiri,nouns,0.55
739,vesi,chumvi,nouns,0.5
740,lõdvestunud,kupumzika,adjectives,0.3
741,keha,neva,nouns,0.75
742,usaldusväärselt,kwa kuaminika,adverbs,0.15
743,teadustama,kutangaza,verbs,2.6
744,allikas,kisima,nouns,3.15
745,sent,watu,nouns,0.05
746,masin,injini,nouns,3.05
747,puu,mpera,nouns,2.7
748,laulma,kuimba,verbs,0.2
749,ülikond,sare,nouns,0.2
750,aju,neva,nouns,1.05
751,muffin,muffini,nouns,0.2
752,veok,gari la mzigo,nouns,0.65
753,raamat,mada,nouns,0.65
754,hingama,kukaba,verbs,0.4
755,kuningas,mtoto wa mfalme,nouns,2.4
756,minema,kuingia,verbs,0.75
757,eesmärk,jitihada,nouns,0.9
758,voodi,kochi,nouns,1.95
759,äri,ushirika,nouns,1.05
760,relv,bunduki,nouns,0.0
761,kaotama,kuweka,verbs,0.2
762,vahekäik,njia,nouns,0.6
763,lind,batamzinga,nouns,3.05
764,päike,anga,nouns,1.3
765,deemon,pepo,nouns,0.85
766,müts,koti,nouns,0.75
767,laud,meza,nouns,0.05
768,radiaator,radiator,nouns,0.4
769,nüri,wa kuchekesha,adjectives,0.15
770,vann,puto,nouns,0.1
771,osoon,ozoni,nouns,2.5
772,avalikustamata,haijafichuliwa,adjectives,0.5
773,tuul,upepo,nouns,3.55
774,meeleheide,taabu,nouns,2.4
775,korrutama,kugawanya,verbs,0.4
776,proovima,kufikiria,verbs,0.45
777,austus,pongezi,nouns,1.85
778,segatud,kumbakumba,adjectives,0.1
779,forell,samaki,nouns,0.0
780,fantaasia,uhalisi,nouns,0.5
781,number,tarakimu,nouns,0.05
782,õhtusöök,supu,nouns,0.95
783,küünarnukk,kifundo cha mguu,nouns,0.9
784,ookean,bahari,nouns,2.95
785,alandama,kuaibisha,verbs,0.0
786,vahekohus,mahakama,nouns,1.85
787,taganema,kurudia,verbs,0.55
788,keha,kifua,nouns,1.9
789,keha,mkono,nouns,1.45
790,vihkama,chukia,verbs,0.35
791,laulja,mwimbaji,nouns,0.8
792,looja,mtengenezaji,nouns,4.4
793,monokultuur,kilima cha zao moja,nouns,2.3
794,tapma,kuharibu,verbs,2.25
795,kuupäev,siku ya kuzaliwa,nouns,1.7
796,ärritama,kusumbua,verbs,0.43
797,selgitama,fafanua,verbs,4.6
798,kerge,ana shida,adjectives,0.3
799,võtma,kurithi,verbs,1.7
800,advokaat,mwanasheria,nouns,0.0
801,mägi,mwamba,nouns,1.5
802,osalema,kusema,verbs,0.4
803,šokolaad,keki,nouns,0.85
804,kuld,dhahabu,nouns,1.1
805,tuntud,inayojulikana,adjectives,0.3
806,keskpärane,mtumba,adjectives,1.0
807,itsitama,kukenua,verbs,3.55
808,hea,salama,adjectives,0.3
809,kaotama,kupata,verbs,0.2
810,kahtlustama,kushukia,verbs,0.65
811,terav,ncha kali,adjectives,0.4
812,loom,mtu,nouns,1.0
813,vaidlema,kufikiria,verbs,0.6
814,paindlik,rahisi kubadilika,adjectives,1.4
815,poleerima,kung'arisha,verbs,0.0
816,puhas,safi,adjectives,0.45
817,unustama,kupuuza,verbs,1.7
818,vastu võtma,kukataa,verbs,0.35
819,rong,treni,nouns,1.95
820,põngerjas,mtoto wa kike,nouns,1.3
821,agressiivne,kua na hasira,adjectives,0.3
822,püüdma,kukamata,verbs,3.95
823,kummaline,wa kigeni,adjectives,4.85
824,parlament,bunge,nouns,2.7
825,taastama,kubadilisha,verbs,0.4
826,märgatav,wazi,adjectives,2.95
827,kirg,hisia,nouns,3.3
828,köök,mlango,nouns,0.3
829,kapten,mwanamaji,nouns,1.65
830,koer,paka,nouns,0.9
831,sotsiobioloogia,jamii,nouns,0.35
832,võlgnema,kukopesha,verbs,0.75
833,kõht,mshipa,nouns,0.25
834,laps,mvulana,nouns,1.5
835,jää,barafu,nouns,3.3
836,harima,kuelimisha,verbs,5.05
837,vill,malengelenge,nouns,0.05
838,sajand,miaka kumi,nouns,0.95
839,nutma,kulia,verbs,0.55
840,salat,mpangilio wa chakula,nouns,0.7
841,praegu,kwa sasa,adverbs,0.2
842,ideaalselt,walau,adverbs,0.5
843,meeter,yadi,nouns,2.4
844,onu,mwanaume,nouns,2.3
845,käsivars,kifundo,nouns,1.5
846,patune,mtakatifu,nouns,0.45
847,võrevoodi,mlazi,nouns,3.1
848,steik,nyama,nouns,4.55
849,minema,kuuza,verbs,0.15
850,moslem,mwislamu,nouns,0.5
851,seisund,makubaliano,nouns,0.15
852,org,bonde,nouns,0.3
853,vaatenurk,mtazamo,nouns,0.35
854,aktsepteerima,kuitikia,verbs,4.7
855,osuti,kionyeshi,nouns,0.05
856,imiteerima,kuiga,verbs,0.45
857,ohutus,starehe,nouns,1.15
858,hommik,mchana,nouns,1.3
859,võitja,lengo,nouns,0.45
860,kaootiliselt,kwa vurugu,adverbs,0.25
861,koguma,kuchukua,verbs,0.05
862,pensionile jääma,kustaafu,verbs,0.2
863,motell,hoteli,nouns,3.25
864,kallistama,kukumbatia,verbs,1.23
865,lemmikloom,paka,nouns,2.75
866,poiss,mazingira,nouns,0.05
867,puhas,safi,adjectives,4.85
868,teispoolsus,kuzimu,nouns,1.35
869,aitama,saidia,verbs,1.25
870,kõht,njia,nouns,0.1
871,enamasti,zaidi,adverbs,0.55
872,kana,chakula cha usiku,nouns,0.55
873,häbenev,jisikia aibu,adjectives,0.1
874,pahavara,programu hatarishi,nouns,0.4
875,müüma,kukumbusha,verbs,0.0
876,määrima,kupaka,verbs,0.65
877,poiss,kijana,nouns,3.25
878,võitja,mwanaume,nouns,0.25
879,president,mwanachuo,nouns,0.25
880,praadima,kukaanga,verbs,3.05
881,jalg,mguu,nouns,0.25
882,muusika,muziki,nouns,1.1
883,vihmavari,mwamvuli,nouns,0.05
884,uba,wali,nouns,0.85
885,proovima,kutimiza,verbs,0.8
886,pealik,meya,nouns,2.1
887,takso,basi,nouns,2.0
888,atsetüülkoliin,acetylcholine,nouns,0.35
889,liblikas,kipepeo,nouns,0.25
890,kuritegu,uhalifu,nouns,1.65
891,dieet,saladi,nouns,0.7
892,tõmbama,kuvuta,verbs,0.8
893,ideaalselt,walau,adverbs,0.8
894,odav,mchafu,adjectives,0.7
895,hoiatama,onya,verbs,0.2
896,sõbralik,kirafiki,adverbs,0.0
897,lõuna,kaskazini,nouns,0.65
898,ilmuma,kuwa,verbs,0.95
899,rikkuma,kuharibu,verbs,0.0
900,teooria,kemia,nouns,0.55
901,ütlema,kusema,verbs,1.2
902,ehmunud,kua na uoga,adjectives,1.35
903,mull,mapovu,nouns,2.0
904,pärima,kuwaza,verbs,0.6
905,vestlus,mawasiliano,nouns,4.25
906,ülesanne,majani makavu,nouns,0.1
907,täkkvarss,farasi,nouns,3.65
908,valima,kutaka,verbs,1.1
909,täna õhtul,usiku huu,adverbs,1.95
910,kahuripaat,meli ya vita,nouns,0.45
911,ilm,hali ya hewa,nouns,0.6
912,kannatamatult,bila subira,adverbs,0.25
913,nahk,ngozi,nouns,0.1
914,vajalik,muhimu,adjectives,3.1
915,ühinema,kukuunga,verbs,0.15
916,haigus,ugonjwa wa kuambukiza ,nouns,1.75
917,luu,misuli,nouns,1.0
918,riff,ufuko,nouns,0.75
919,võitja,bingwa,nouns,5.15
920,tütar,mtoto mchanga,nouns,1.05
921,käepide,mpini,nouns,0.15
922,naine,mwanaume,nouns,0.8
923,sõnaraamat,neno,nouns,1.7
924,loll,adimu,adjectives,0.0
925,mikroskoop,darubini,nouns,0.85
926,sünnipäev,tarehe,nouns,1.7
927,kops,ini,nouns,0.75
928,purjus,mlevi,adjectives,0.3
929,otsustama,kuamua,verbs,2.55
930,voolik,bustani,nouns,0.5
931,rahustama,kufaraja,verbs,0.0
932,kael,mfupa,nouns,0.65
933,õpetaja,rafiki,nouns,0.8
934,valelik,si mwaminifu,adjectives,0.35
935,kuu,agosti,nouns,2.45
936,korporatsioon,mlango,nouns,0.15
937,mees,mtoto,nouns,0.75
938,refrään,kiitiko,nouns,0.8
939,auto,lifti,nouns,0.7
940,stipendium,ufadhili wa elimu,nouns,1.65
941,muretsema,kuwa na wasiwasi,verbs,0.15
942,palvetama,kuuliza,verbs,1.15
943,prognoos,utabiri,nouns,0.65
944,naine,jukumu,nouns,0.1
945,miljardär,bilionea,nouns,0.4
946,tunnus,insilia,nouns,0.05
947,tina,tini,nouns,1.85
948,kergelt,kiurahisi,adverbs,0.5
949,igav,boreka,adjectives,1.85
950,säilitama,kubaki,verbs,0.75
951,informatsioon,habari,nouns,0.75
952,komistama,kujikwaa,verbs,2.1
953,alkohol,jini,nouns,2.35
954,kindel,ana kujiamini,adjectives,3.35
955,kihlus,uchumba,nouns,0.8
956,tass,koni,nouns,0.35
957,videvik,jioni,nouns,4.45
958,meri,ufuko,nouns,2.25
959,riputama,kuweka,verbs,0.85
960,kätte toimetama,kuchukua,verbs,0.5
961,kõrb,jangwa,nouns,1.8
962,võrevoodi,kitanda,nouns,4.3
963,tõstma,kulea,verbs,0.4
964,lõhnama,kunusia,verbs,2.15
965,puus,mdomo,nouns,0.35
966,dollar,watu,nouns,0.4
967,jänes,paka,nouns,0.7
968,andma,kuweka,verbs,0.35
969,kohalolek,mshindi,nouns,0.4
970,nõbu,mjomba,nouns,1.2
971,maks,pafu,nouns,0.75
972,pea,mguu,nouns,0.6
973,uskumus,maadili,nouns,1.3
974,kodutöö,jukumu,nouns,3.45
975,buss,teksi,nouns,2.0
976,luu,kifundo cha mguu,nouns,2.3
977,hea,nzuri,adjectives,0.55
978,särama,kuangaza,verbs,2.85
979,unustama,kukumbusha,verbs,0.4
980,kaduma,kupungua,verbs,1.3
981,kauss,sahani,nouns,2.75
982,omama,kuweka,verbs,1.3
983,toetaja,msaidizi,nouns,0.0
984,sõna,sentensi,nouns,2.2
985,armee,kundi,nouns,1.7
986,lipp,bendera,nouns,1.2
987,tragöödia,kifo,nouns,1.85
988,kuupäev,kalenda,nouns,2.8
989,pakt,mazingira,nouns,0.15
990,fakt,ushahidi,nouns,2.35
991,ennustama,kudhani,verbs,2.65
992,liha,damu,nouns,1.15
993,käsi,bega,nouns,1.75
994,korrapärane,kwa mpangilio,adjectives,0.25
995,paber,kadibodi,nouns,2.25
996,laenama,kupa,verbs,2.5
997,koidik,bunduki,nouns,0.05
998,heidutama,kufeli,verbs,0.7
999,viisa,mhuri,nouns,0.55
1000,preester,mtawa,nouns,2.45
1001,osalema,kutuma,verbs,0.35
1002,ekraan,kiwambo,nouns,0.25
1003,närv,akili,nouns,1.05
1004,õhtusöök,kuku,nouns,0.55
1005,maksma,kulipa,verbs,1.3
1006,realistlikult,kihalisia,adverbs,0.8
1007,päev,alfajiri,nouns,1.4
1008,kostüüm,sherehe,nouns,0.75
1009,mees,mshindi,nouns,0.25
1010,eksamineerima,kukagua,verbs,3.25
1011,võtma,kuondoka,verbs,0.4
1012,kleit,gauni,nouns,0.45
1013,ülesanne,mgawo,nouns,0.35
1014,ballaad,wimbo,nouns,3.0
1015,väärtus,imani,nouns,1.3
1016,väide,ukosoaji,nouns,0.95
1017,kümnend,karne,nouns,0.95
1018,ulatuslik,mwembamba,adjectives,0.2
1019,karistama,kuadhibu,verbs,1.38
1020,tänav,gari,nouns,0.4
1021,etendus,onyesha,nouns,0.05
1022,kast,kibanda,nouns,0.6
1023,tagasi lükkama,kukataa,verbs,0.45
1024,jäädvustama,kushika,verbs,0.45
1025,võtma,kupeleka,verbs,0.5
1026,räpane,chafu,adjectives,0.25
1027,segama,kuchanganya,verbs,0.2
1028,jalg,mguu,nouns,0.05
1029,tõesti,kiukweli,adverbs,0.5
1030,veen,mkono,nouns,0.65
1031,sile,nyororo,adjectives,0.4
1032,peatuma,kusimamisha,verbs,0.8
1033,äsja,hivi karibuni,adverbs,0.15
1034,pöörane,mwenye furaha,adjectives,0.95
1035,kleepuv,natanata,adjectives,1.15
1036,kaudne,njia za panya,adjectives,1.05
1037,küüs,kidole gumba,nouns,1.2
1038,väsinud,iliyochoka,adjectives,1.85
1039,idee,picha,nouns,0.9
1040,lükkama,kusukuma,verbs,0.8
1041,kokkulepe,makubaliano,nouns,5.05
1042,treener,kocha,nouns,1.3
1043,koguma,kukusanya,verbs,2.4
1044,organ,figo,nouns,2.25
1045,brändi,kileo,nouns,2.7
1046,katus,dari,nouns,3.85
1047,vaidlema,kujadili,verbs,0.75
1048,iseseisvalt,kwa kujitegemea,adverbs,1.3
1049,päev,asubuhi,nouns,1.3
1050,mehed,undugu,nouns,0.95
1051,imepisike,mkubwa mno,adjectives,0.3
1052,lõpetama,kufanya,verbs,0.7
1053,radar,rada,nouns,0.5
1054,vastu võtma,kukubali,verbs,0.4
1055,osalema,kukusanya,verbs,1.05
1056,ühtlaselt,sawa,adverbs,0.3
1057,rahu,amani,nouns,0.3
1058,anuma,kuomba,verbs,4.55
1059,ruum,mahabusu,nouns,1.2
1060,lükkama,kusukuma,verbs,0.25
1061,lihtsalt,kirahisi,adverbs,0.65
1062,jooksma,kimbia,verbs,0.4
1063,uks,uwepo,nouns,0.2
1064,põllumajandus,kilimo,nouns,1.92
1065,tolmendamine,uchavushi,nouns,2.1
1066,robootika,roboti,nouns,0.7
1067,pea,msumari,nouns,0.35
1068,andma,kutoa,verbs,0.2
1069,allikas,chanzo,nouns,0.0
1070,lennuk,uwanja wa ndege,nouns,1.55
1071,oletama,kutabiri,verbs,2.65
1072,klaviatuur,kibodi,nouns,0.1
1073,lahkuma,kuzurura,verbs,0.75
1074,raamat,dhima,nouns,0.4
1075,kahtlusalune,mshukiwa,nouns,0.45
1076,osalema,kuhudhuria,verbs,0.1
1077,tuba,kuoga,nouns,0.4
1078,kokkulepe,pambano,nouns,0.55
1079,mosaiik,mosaic,nouns,0.4
1080,rutiinselt,kila baada ya muda fulani,adverbs,1.95
1081,kast,lifti,nouns,0.15
1082,tehislik,sio asili,adjectives,4.65
1083,kuul,mzinga,nouns,0.8
1084,piim,juisi,nouns,0.8
1085,rahvas,idadi ya watu,nouns,3.1
1086,tila,pua,nouns,0.6
1087,nurk,eneo,nouns,0.5
1088,mahl,juisi,nouns,0.3
1089,fotofon,picha,nouns,0.1
1090,tädi,mjomba,nouns,0.85
1091,kaamera,rais,nouns,0.2
1092,kallama,kumwaga,verbs,0.9
1093,läbi kukkuma,kufanikiwa,verbs,0.35
1094,abistama,kufadhili,verbs,4.7
1095,õun,malimau,nouns,0.8
1096,kriitika,hoja,nouns,0.95
1097,õudne,mbaya,adjectives,2.0
1098,vastu võtma,kupeleka,verbs,0.3
1099,imenduma,kutoa,verbs,0.85
1100,tekk,kitanda,nouns,1.25
1101,hiir,chombo,nouns,0.2
1102,tsoon,eneo,nouns,4.75
1103,taevas,anga,nouns,0.45
1104,kukkuma,kuanguka,verbs,2.1
1105,kinnitama,kutetea,verbs,0.9
1106,kalkun,kuku,nouns,1.2
1107,tugevalt,kwa kidete,adverbs,0.3
1108,semester,awamu,nouns,4.3
1109,suusatamine,skiing,nouns,2.2
1110,pärinema,kuanza,verbs,1.2
1111,paber,kuni,nouns,0.9
1112,varvas,kidole cha mkono,nouns,1.4
1113,saal,ukumbi,nouns,0.6
1114,piloot,dereva,nouns,2.2
1115,noor,isiyotulia,adjectives,0.65
1116,jõud,makadara,nouns,3.6
1117,otsima,tafuta,verbs,1.55
1118,meeter,inchi,nouns,1.9
1119,usaldusväärselt,pasipo tu,adverbs,0.2
1120,saak,mungu,nouns,0.1
1121,paber,karatasi,nouns,1.0
1122,kood,alama,nouns,1.85
1123,kunaiganes,kila wakati,adverbs,0.75
1124,tapma,kukinga,verbs,0.35
1125,voodi,blanketi,nouns,1.25
1126,auto,geji,nouns,0.65
1127,ilm,wingu,nouns,1.5
1128,tüdruk,mvulana,nouns,0.6
1129,teenima,kutengeneza,verbs,0.55
1130,abikaasa (naine),kuoga,nouns,0.0
1131,mehaaniliselt,kwa ustadi,adverbs,0.5
1132,privaatne,binafsi,adjectives,0.6
1133,otsing,lengo,nouns,0.9
1134,halvenema,kuzorota,verbs,0.05
1135,tegu,mchezo,nouns,1.25
1136,tervitama,kukutana,verbs,1.3
1137,normaalselt,kwa kawaida,adverbs,3.25
1138,nautima,kufurahia,verbs,0.05
1139,valetama,kudanganya,verbs,0.42
1140,vibukütt,mpiga mishale,nouns,0.3
1141,boss,bosi,nouns,4.0
1142,võõras,mgeni,nouns,0.5
1143,mõtlema,kuamua,verbs,2.2
1144,tekst,kitabu,nouns,2.85
1145,patrull,jeshi,nouns,1.7
1146,pastakas,kalamu,nouns,0.3
1147,tekk,blanketi,nouns,0.15
1148,klubi,klabu,nouns,0.35
1149,mitte nõustuma,kataa,verbs,0.35
1150,vabadus,uhuru,nouns,4.95
1151,normaalne,tofauti,adjectives,0.45
1152,ksenofoobia,ubaguzi,nouns,3.8
1153,saama,kujitokeza,verbs,0.95
1154,vallutus,safari,nouns,0.55
1155,lai,mwembamba,adjectives,0.3
1156,viies,wa tano,adjectives,0.35
1157,inimene,mtu,nouns,2.55
1158,õlg,mwili,nouns,0.85
1159,surm,balaa,nouns,1.78
1160,medal,medali,nouns,0.45
1161,kahtlemata,hakika,adverbs,4.4
1162,operatsioon,moyo,nouns,0.6
1163,suur,rahisi,adjectives,0.15
1164,turvama,kulinda,verbs,4.65
1165,lisama,kujiunga,verbs,0.8
1166,omama,kuchukua,verbs,1.6
1167,kaste,matofaa,nouns,0.25
1168,oht,ugonjwa,nouns,0.7
1169,viiul,chombo,nouns,2.1
1170,tavaline,kawaida,adjectives,0.35
1171,küsima,kuomba,verbs,3.0
1172,raha,mshahara,nouns,3.2
1173,õnnelikult,kwa furaha,adverbs,0.45
1174,ruupor,ngoma,nouns,0.7
1175,lill,chavua,nouns,1.2
1176,sõna,fasihi,nouns,1.1
1177,tahtma,kuchagua,verbs,1.1
1178,hävitama,kuharibu,verbs,0.15
1179,vana,mpya,adjectives,0.4
1180,sõrm,kidole cha mguu,nouns,1.4
1181,vend,kaka,nouns,1.45
1182,meteoor,meteor,nouns,0.4
1183,kitsas,mrefu,adjectives,0.55
1184,käsikiri,muswada,nouns,2.3
1185,arutama,kueleza,verbs,1.9
1186,sihtmärk,mshale,nouns,0.75
1187,voodi,kiti,nouns,0.75
1188,liha,mkate,nouns,0.45
1189,arendus,maendeleo,nouns,0.35
1190,ankur,boti,nouns,1.1
1191,küpselt,kiukomavu,adverbs,0.4
1192,ära tõukama,kutelekeza,verbs,0.85
1193,teadlane,muuguzi,nouns,0.25
1194,keskkond,mazingira,nouns,0.0
1195,heroiin,mwanaume wa shujaa,nouns,1.3
1196,mootor,mashine,nouns,3.05
1197,hiljuti,hivi majuzi,adverbs,3.95
1198,käelaba,kifundo,nouns,1.2
1199,vaidlema,kupinga,verbs,0.1
1200,märkmik,daftari,nouns,0.23
1201,näljane,kua na njaa,adjectives,0.45
1202,võimalikult,inawezekana,adverbs,1.15
1203,senat,seneti,nouns,0.9
1204,sigar,sanduku ,nouns,0.25
1205,prints,mfalme,nouns,2.4
1206,bänd,pombe,nouns,0.35
1207,võitma,kufanikiwa,verbs,4.6
1208,ukseava,mlango,nouns,3.25
1209,ebaausalt,si kwa haki,adverbs,0.3
1210,valge,nyeupe,adjectives,0.1
1211,ebamoraalne,haramu,adjectives,2.45
1212,jard,inchi,nouns,1.45
1213,taotleja,mwombaji,nouns,1.85
1214,rannik,ufuko,nouns,3.3
1215,arst,mtaalamu wa meno,nouns,3.05
1216,ühendama,kuchanganya,verbs,0.3
1217,kaduma,kutafuta,verbs,0.45
1218,vektor,vector,nouns,1.35
1219,õpetaja,mkufunzi,nouns,3.9
1220,otsustamata,kuwa yumba,adjectives,0.8
1221,tegema,kuwa,verbs,0.8
1222,komm,matofaa,nouns,0.55
1223,püüdma,kamata,verbs,1.25
1224,uudised,vyombo vya habari,nouns,1.7
1225,eine,kiuno,nouns,0.15
1226,lugema,kufahamu,verbs,0.95
1227,kõrs,mke,nouns,0.0
1228,ühinema,kuambatisha,verbs,0.8
1229,pilv,wingu,nouns,0.15
1230,valik,oni,nouns,1.35
1231,pigistama,kuminya,verbs,0.8
1232,kukkuma,kuanguka,verbs,1.0
1233,päikesetõus,machweo,nouns,1.5
1234,näts,fizi,nouns,0.4
1235,maja,banda,nouns,2.05
1236,mõjutama,kubagua,verbs,3.5
1237,informatsioon,kitabu,nouns,0.9
1238,üritama,kujaribu,verbs,1.85
1239,uks,sela,nouns,0.5
1240,kõver,pinda,adjectives,4.85
1241,äsja,hivi karibuni,adverbs,3.95
1242,raamat,makala,nouns,1.15
1243,tants,densi,nouns,0.45
1244,põlv,mfupa,nouns,0.75
1245,meel,akili,nouns,1.1
1246,hoidma,kuazima,verbs,0.3
1247,ots,sura,nouns,0.05
1248,kohalikult,kienyeji,adverbs,0.05
1249,vaene,masikini,adjectives,1.3
1250,printskond,mfalme,nouns,2.45
1251,valmistaja,muumbaji,nouns,4.4
1252,penn,peni,nouns,0.05
1253,täielikult,kwa ukamilifu,adverbs,1.13
1254,informeerima,kujulisha,verbs,5.4
1255,kogunema,kukusanyika,verbs,2.4
1256,saama,kushindwa,verbs,0.2
1257,kätte toimetama,kukubali,verbs,0.3
1258,parim,juu,adjectives,0.35
1259,trikk,mchezo,nouns,1.1
1260,rivi,areyi,nouns,1.25
1261,laager,kibanda,nouns,0.85
1262,hämmastav,kushangaza,adjectives,0.25
1263,suund,tumbo,nouns,0.1
1264,sõna,kamusi,nouns,1.7
1265,kombineeritud,iliyojumuishwa,adjectives,3.05
1266,lihtne,ana shida,adjectives,0.4
1267,soovitama,kushauri,verbs,4.35
1268,tool,kitanda,nouns,0.75
1269,reket,raketi,nouns,0.85
1270,tähistama,kusherekea,verbs,0.35
1271,vend,roho ,nouns,0.35
1272,hobune,mbwa,nouns,0.65
1273,võlts,feki,adjectives,0.35
1274,intelligentsus,ujinga,nouns,0.5
1275,koridor,darasa,nouns,0.45
1276,vaip,nyumba,nouns,0.4
1277,seaduslik,halali,adjectives,0.45
1278,harva,nadra,adverbs,0.3
1279,juhtkang,joystiki,nouns,0.5
1280,vajama,kuandaa,verbs,0.45
1281,monarhia,ufalme,nouns,1.1
1282,kohut mõistma,kuhukumu,verbs,2.4
1283,vilistama,mluzi,verbs,0.15
1284,voolik,gari,nouns,0.2
1285,hankima,kuchukua,verbs,1.7
1286,kalju,mkia,nouns,0.0
1287,jalgratas,chumba cha kulala,nouns,0.05
1288,kohv,maharagwe,nouns,0.9
1289,eitama,kukana,verbs,2.1
1290,imperaator,mtawala,nouns,0.55
1291,instrument,zeze,nouns,2.1
1292,ball,glavu,nouns,0.9
1293,plekitu,bila doa,adjectives,4.85
1294,lisama,kubandika,verbs,0.15
1295,juhe,kamba,nouns,1.05
1296,pakkumine,toleo,nouns,2.2
1297,pesapall,kochi,nouns,0.1
1298,maja,kapeti,nouns,0.4
1299,uppuma,kutota,verbs,0.4
1300,trikk,bunduki,nouns,0.25
1301,selgroog,shingo,nouns,0.95
1302,ala,kanda,nouns,4.75
1303,pliiats,penseli,nouns,0.25
1304,heidutama,kutia moyo,verbs,0.15
1305,optimistlikult,kwa matuamini,adverbs,1.15
1306,õigustama,kuhakikisha,verbs,0.9
1307,leedi,bwana,nouns,0.7
1308,galaktika,giligili,nouns,0.1
1309,küpsis,biskuti,nouns,0.05
1310,põrand,paa,nouns,0.55
1311,kaasamine,mkutano,nouns,0.6
1312,hoidma,kutunza,verbs,2.9
1313,üritus,tukio,nouns,0.5
1314,uks,mlangoni,nouns,3.25
1315,igapäevaselt,kila siku,adverbs,3.25
1316,kriitiliselt,kwa uweledi,adverbs,0.55
1317,baas,msingi,nouns,0.25
1318,algama,kwenda,verbs,0.35
1319,eelsoojendama,pasha kabla,nouns,0.75
1320,imelik,mgeni,adjectives,4.85
1321,üliõpilane,mwanachuo,nouns,4.05
1322,vägivaldne,wa ghadhabu,adjectives,1.75
1323,male,chess,nouns,2.25
1324,lahustama,kuyeyuka,verbs,0.75
1325,valk,protini,nouns,0.15
1326,aed,reli,nouns,0.1
1327,särk,shati,nouns,1.6
1328,tekk,sakafu,nouns,0.6
1329,vihm,mvua,nouns,3.05
1330,ettevaatlikult,kwa utaratibu,adverbs,0.2
1331,saama,kubaki,verbs,0.1
1332,vampiir,vampire,nouns,0.95
1333,võileib,chakula cha mchana,nouns,1.45
1334,simulatsioon,onyesho,nouns,0.7
1335,kurb,mbovu,adjectives,0.6
1336,kodutu,wasio na makazi,nouns,0.4
1337,oskus,akili,nouns,2.05
1338,tormakas,wa haraka,adjectives,4.25
1339,kutt,mtu mzuri,nouns,0.75
1340,puhkus,likizo,nouns,0.6
1341,neer,kiungo,nouns,2.25
1342,pritsess,mtoto mke wa mfalme,nouns,0.05
1343,pihk,kidole,nouns,1.0
1344,langetama,kushusha,verbs,2.4
1345,hindama,kuchanganua,verbs,3.6
1346,meelespea,baki,nouns,0.35
1347,rõõm,kiburi,nouns,0.8
1348,rahvastik,watu,nouns,3.1
1349,haruldane,mpumbavu,adjectives,0.0
1350,kohalikult,hapa ndani,adverbs,0.75
1351,esinema,kutumbuiza,verbs,0.2
1352,suurus,mbinu,nouns,0.05
1353,lennuk,ndege,nouns,0.15
1354,lääs,kaskazini,nouns,0.65
1355,keel,misuli,nouns,0.55
1356,kasutamata,haijatumika,adjectives,4.6
1357,palk,kuoga,nouns,0.0
1358,naarits,manyoya,nouns,2.9
1359,sadam,bandari,nouns,0.0
1360,katedraal,kanisa kuu,nouns,4.25
1361,pilv,hali ya hewa,nouns,1.5
1362,skeem,wazo,nouns,1.3
1363,piiskop,askofu mkuu,nouns,4.2
1364,andma,kukopesha,verbs,2.5
1365,õppima,kufyonza,verbs,0.45
1366,lõpetama,kuanza,verbs,0.35
1367,valitsus,serikali,nouns,0.0
1368,ahv,nyani,nouns,0.05
1369,kaaspiloot,rubani msaidizi,nouns,0.85
1370,autor,msomaji,nouns,0.6
1371,surema,kufariki,verbs,1.4
1372,tunnistama,kujulisha,verbs,0.95
1373,leegion,jeshi,nouns,3.4
1374,võimas,mwenye nguvu,adjectives,0.2
1375,rõõm,furaha,nouns,0.6
1376,käsi,kidole gumba,nouns,1.5
