ID,POL,SWA,PoS,score
689,smutek,aibu,nouns,0.5
690,podejrzewać,kushukia,verbs,0.6
691,potrzebujący,mhitaji,adjectives,0.2
692,myśleć,kufikiria,verbs,1.15
693,łatwy,bila jasho,adjectives,5.25
694,wyspa,ufuko,nouns,1.2
695,publiczny,hadharani,adjectives,0.0
696,zasadniczo,kimsingi,adverbs,0.7
697,artykuł,makala,nouns,1.35
698,cywilizacja,ustaarabu,nouns,1.15
699,zachęcać,kukanya,verbs,0.1
700,warunek,mvulana,nouns,0.0
701,pisarz,muandishi,nouns,0.0
702,chaotyczny,kutopangilia,adjectives,0.0
703,chirurgia,moyo,nouns,0.45
704,atmosfera,hali ya anga,nouns,2.5
705,niezły,sawa,adjectives,0.45
706,zaznaczyć,kutia alama,verbs,0.7
707,chaos,vurugu,nouns,0.05
708,przybywać,kuhudhuria,verbs,2.45
709,wanna,mke,nouns,0.0
710,taniec,densi,nouns,0.0
711,dodawać,kugawanya,verbs,0.2
712,małpa,nyani,nouns,0.0
713,mięso,damu,nouns,0.95
714,psuć,kuharibu,verbs,0.6
715,wyjście,mahali ya kutokea,nouns,0.05
716,przynieść,kuja,verbs,0.4
717,marzenie,ndoto,nouns,0.05
718,zadowalać,kukubali,verbs,0.45
719,łyżka,kijiko,nouns,0.0
720,fotofon,picha,nouns,0.05
721,wyspa,jukumu,nouns,0.0
722,miecz,sime,nouns,0.05
723,notatnik,daftari,nouns,0.0
724,słuchać,kujifunza,verbs,0.35
725,często,mara nyingi,adverbs,0.0
726,prywatny,binafsi,adjectives,0.0
727,pożyczyć,kupa,verbs,1.9
728,łatwy,rahisi,adjectives,0.15
729,drzewo,mpera,nouns,2.95
730,ozon,ozoni,nouns,2.5
731,koszykówka,baseball,nouns,0.95
732,wzrost,ukuaji,nouns,0.35
733,dorosły,mzazi,nouns,2.5
734,kurczyć się,kupunguza,verbs,3.45
735,owca,mwanakondoo,nouns,3.9
736,pistolet,mzinga,nouns,1.6
737,zniechęcać,katisha tamaa,verbs,1.7
738,kłamać,kudanganya,verbs,0.23
739,kostka,kiwiko,nouns,0.7
740,poprzednik,antecedent,nouns,1.15
741,róża,waridi,nouns,0.15
742,nędza,ukiwa,nouns,1.8
743,eksplorować,kupuuza,verbs,0.05
744,przekonanie,fikra,nouns,1.25
745,symulacja,onyesho,nouns,0.45
746,region,eneo,nouns,4.65
747,kardigan,fulana,nouns,1.6
748,woda,barafu,nouns,1.75
749,piec,kuoka,verbs,2.2
750,mierny,ya kawaida,adjectives,0.45
751,niewiarygodnie,kwa umaradufu,adverbs,0.85
752,drażnić,kuongeza,verbs,0.45
753,cel,mshindi,nouns,0.15
754,błędny,kosa,adjectives,0.0
755,argumentować,kujadili,verbs,0.25
756,szczęscie,furaha,nouns,0.1
757,negatywnie,kwa ubaya,adverbs,0.15
758,pokład,panya,nouns,0.0
759,zawód,chuo,nouns,0.35
760,dowiadywać się,ulizia,verbs,1.9
761,demokracja,demokrasia,nouns,0.8
762,nasienie,viungo,nouns,0.05
763,samolot,jeti,nouns,4.7
764,tramwaj,tramu,nouns,1.8
765,myśleć,kutafiti,verbs,0.4
766,piwo,shampeni,nouns,2.15
767,królik,paka,nouns,0.75
768,umrzeć,kufariki,verbs,0.4
769,snowboard,ubao wa theluji,nouns,2.05
770,gra,mbinu,nouns,0.75
771,strefa,eneo,nouns,5.15
772,prognoza,utabiri,nouns,0.25
773,ekonomia,uchumi,nouns,0.2
774,trik,saizi,nouns,0.0
775,dziwny,ya kushangaza,adjectives,0.1
776,herbata,limau,nouns,0.15
777,mucha,nzi,nouns,0.8
778,wysyłać,kwenda,verbs,0.05
779,szukać,tafuta,verbs,1.35
780,zawsze,mara kwa mara,adverbs,0.3
781,sałatka,mpangilio wa chakula,nouns,0.45
782,frytki,kibanzi,nouns,0.0
783,łatwo,kiurahisi,adverbs,0.2
784,organ,ini,nouns,2.85
785,jeździć,endesha,verbs,0.0
786,zaskoczyć,kushangaza,verbs,0.2
787,kwadrat,mraba,nouns,0.0
788,uroczystość,maadhimisho,nouns,5.5
789,budować,kujumlisha,verbs,0.55
790,sześcian,mchemraba,nouns,0.05
791,książka,mada,nouns,0.55
792,niebezpiecznie,kwa uhatari,adverbs,0.0
793,globalizm,utandawazi,nouns,0.05
794,zupa,chakula cha usiku,nouns,1.0
795,bronić,kulinda,verbs,4.9
796,korona ,taji,nouns,0.05
797,kompas,dira,nouns,0.0
798,fałszywy,feki,adjectives,0.1
799,święty,takatifu,adjectives,1.2
800,rzeczywistość,njozi,nouns,0.15
801,rząd,serikali,nouns,0.0
802,tępy,mkali,adjectives,0.05
803,południe,kaskazini,nouns,0.15
804,baseball,mpira wa kikapu,nouns,0.95
805,wąski,mrefu,adjectives,0.2
806,rozdział,chaguo,nouns,0.2
807,zaniepokojony,ogopa,adjectives,4.0
808,powiadamiać,kutambua,verbs,0.5
809,ojciec,mzazi,nouns,4.65
810,szkodnik,wadudu,nouns,1.15
811,roślina,mmea,nouns,1.0
812,pancernik,manowari,nouns,4.85
813,noc,alfajiri,nouns,0.05
814,sędzia,hakimu,nouns,1.9
815,wysyłać,kutuma,verbs,0.25
816,ciało,bega,nouns,0.85
817,blacha,tini,nouns,2.5
818,unia,shirikisho,nouns,1.6
819,winda,sanduku,nouns,0.1
820,praca,kazi,nouns,1.05
821,deszcz,manyunyu,nouns,4.1
822,szczęście,amani,nouns,1.7
823,zgądzać się,kukubali,verbs,4.7
824,fleksja,inflection,nouns,0.8
825,badać,kukagua,verbs,3.6
826,słuchać,kutii,verbs,1.85
827,łagodny,vuguvugu,adjectives,0.38
828,zespół,wanamuziki,nouns,4.3
829,marynarka,jeshi la wanamaji,nouns,0.05
830,plaża,uwanda wa bahari,nouns,3.0
831,kąt,tao,nouns,1.05
832,trzasnąć,kuvunja,verbs,0.6
833,uciec,kuhepa,verbs,0.0
834,umrzeć,kufariki,verbs,1.6
835,przyjaciel,mama,nouns,0.35
836,stanowczo,kiukakamavu,adverbs,0.5
837,rozwalić,kuharibu,verbs,4.25
838,poważanie,pongezi,nouns,1.5
839,zestresowany,kusisitiza,adjectives,0.0
840,odchodzić,kuzurura,verbs,0.7
841,skromny,mnyenyekevu,adjectives,0.4
842,ortodonta,daktari,nouns,3.15
843,droga,barabara,nouns,5.2
844,żona,senti,nouns,0.05
845,udawać,jifanya,verbs,2.6
846,posiadać,kuweka,verbs,1.35
847,naśladować,kuiga,verbs,0.0
848,radość,kiburi,nouns,0.85
849,lawina,maporomoko ya theluji,nouns,2.6
850,ewaluować,kujifunza,verbs,1.25
851,gotować,kupika,verbs,1.12
852,administracja,menejimenti,nouns,3.55
853,gracz,mchezaji,nouns,0.95
854,mnożyć,kujumlisha,verbs,0.45
855,współpracować,kushiriki,verbs,3.35
856,asystować,kusaidia,verbs,4.85
857,nieuczciwy,si mwaminifu,adjectives,0.05
858,mieszkanie,hoteli,nouns,0.9
859,oziębły,mdhaifu,adjectives,0.25
860,pożyczać,kutaka,verbs,0.55
861,poważny,makini,adjectives,0.0
862,widowisko,onyesha,nouns,0.0
863,wielce,zaidi,adverbs,0.25
864,usta,jino,nouns,1.0
865,witamina,chuma,nouns,0.55
866,wybór,sura,nouns,0.2
867,precyzyjny,uhakika,adjectives,0.0
868,zakrzywiony,isiyonyooka,adjectives,5.05
869,ignorować,kuuliza,verbs,0.05
870,uczęszczać,kutuma,verbs,0.0
871,zezwalać,kupa,verbs,1.25
872,uczestniczyć,kushirikiana,verbs,3.35
873,rezygnować,kufanya,verbs,0.05
874,pewność siebie,nafsi,nouns,0.6
875,niepewny,sio salama,adjectives,0.2
876,wóz,chombo,nouns,0.05
877,wujek,binamu,nouns,0.85
878,opiekun,mama,nouns,3.3
879,uderzyć,piga,verbs,1.3
880,cynamon,mdalasini,nouns,0.2
881,oglądać,kuangalia,verbs,5.05
882,chojnie,kwa ukarimu,adverbs,0.0
883,opakowanie,kanga,nouns,0.05
884,literatura,neno,nouns,1.3
885,dobry,nzuri,adjectives,0.25
886,smażyć,kaanga,verbs,1.75
887,wybór,jela,nouns,0.15
888,świt,mchana,nouns,1.6
889,wrzechświat,anga,nouns,1.2
890,wydawać się,kuwa,verbs,0.45
891,bateria,betri,nouns,0.0
892,kość,kiwiko,nouns,0.75
893,król,mtoto wa mfalme,nouns,2.15
894,duży,kubwa,adjectives,0.05
895,pojęcie,imani,nouns,1.25
896,organ,figo,nouns,2.95
897,ryż,maharagwe,nouns,0.55
898,mętny,isiyo dhahiri,adjectives,4.35
899,pozostać,kupata,verbs,0.1
900,śmieszny,mwenye huzuni,adjectives,0.05
901,stać się,kufanikisha,verbs,1.3
902,miotła,ufagio,nouns,0.3
903,menu,agizo,nouns,0.9
904,podłoga,dari,nouns,0.15
905,uczyć,kufundisha,verbs,0.2
906,zdać sobie sprawę,kugundua,verbs,4.65
907,metr,inchi,nouns,1.65
908,mózg,neva,nouns,0.5
909,lekko,wepesi,adverbs,0.15
910,kopać,kupiga,verbs,0.55
911,dać,kutoa,verbs,0.1
912,robić,kuwa,verbs,0.15
913,chłopiec,patna,nouns,0.6
914,optymistycznie,kwa matuamini,adverbs,0.95
915,precyzyjnie,kwa usahihi,adverbs,0.5
916,poszukiwanie,lengo,nouns,0.85
917,ananas,nanasi,nouns,0.0
918,smutny,mbovu,adjectives,0.25
919,niebo,ulimwengu,nouns,1.2
920,śpiewać,kuimba,verbs,0.0
921,mężczyzna,mshindi,nouns,0.15
922,miska,kichochoro,nouns,0.05
923,powiedzieć,kuhakikisha,verbs,0.3
924,ptak,kuku,nouns,3.15
925,zarabiać,kutengeneza,verbs,0.65
926,duży,rahisi,adjectives,0.05
927,biuro,ofisi,nouns,0.45
928,nóż,bunduki,nouns,0.45
929,konsorcjum,changanya,nouns,0.05
930,szczerze,kwa kweli,adverbs,1.5
931,prezydent,mwanachuo,nouns,0.05
932,wiadomości,porojo,nouns,1.4
933,świeży,mpana,adjectives,0.05
934,statua,kinyagu,nouns,4.75
935,port,bandari,nouns,0.05
936,ukazywać,kujifanya,verbs,0.3
937,wyjaśniać,fafanua,verbs,4.75
938,szyja,uti,nouns,0.4
939,miesięczny,kila mwezi,adjectives,0.3
940,warunek,makubaliano,nouns,0.85
941,dyrektor,mkurugenzi,nouns,4.55
942,gniew,hali,nouns,0.75
943,samochód,mpira wa maji,nouns,0.25
944,dezorientować,kuchanganya,verbs,0.0
945,ciężki,mzigo,adjectives,1.35
946,wymieszać,kuchanganya,verbs,0.35
947,narożnik,eneo,nouns,0.5
948,spód,upande,nouns,0.5
949,prosty,ngumu,adjectives,0.05
950,stop ,aloyi,nouns,1.5
951,wybrzeże,ufuko,nouns,3.0
952,flaga,bendera,nouns,0.5
953,służący,mtumishi,nouns,3.25
954,niemoralny,haramu,adjectives,2.05
955,ulica,kichochoro,nouns,2.6
956,bezradny,mnyonge,adjectives,0.5
957,burza mózgów,changamsha bongo,nouns,0.0
958,wieża,kengele,nouns,0.4
959,cyfra,tarakimu,nouns,5.1
960,encyklopedia,ensaiklopidia,nouns,2.35
961,teleskop,darubini,nouns,0.0
962,skontrolować,kuchunguza,verbs,3.6
963,uprzedzenie,ubaguzi,nouns,1.8
964,atom,kaboni,nouns,1.1
965,drzwi,korido,nouns,0.35
966,ojciec,mtoto wa kiume,nouns,0.8
967,akceptować,kukubali,verbs,0.1
968,drzwi,uwepo,nouns,0.0
969,program,mradi,nouns,0.0
970,chronić,kuweka,verbs,0.95
971,korytarz,ushoroba,nouns,4.85
972,zawstydzony,ana hatia,adjectives,0.3
973,ewakuować,kuondoka,verbs,0.0
974,noga,mkono,nouns,1.15
975,zarabiać,kustahili,verbs,0.65
976,dieta,saladi,nouns,0.45
977,drugi pilot,rubani msaidizi,nouns,0.0
978,szkwał,upepo mkali,nouns,3.75
979,dieta,matofaa,nouns,0.1
980,cyklon,kimbunga,nouns,4.45
981,przestraszony,ogopa,adjectives,1.25
982,uczyć się,kuchambua,verbs,1.25
983,drzwi,mlangoni,nouns,3.95
984,bekon,chakula cha asubuhi,nouns,0.95
985,glob,dunia,nouns,5.15
986,aprobować,kukubali,verbs,4.2
987,osiągnąć,kufanikisha,verbs,5.25
988,unikatowy,ya pekee,adjectives,0.4
989,kot,mbwa,nouns,0.25
990,idealnie,walau,adverbs,0.8
991,zupełnie,kwa uzima,adverbs,0.6
992,ciało,kifua,nouns,1.85
993,żeglarz,kapteni,nouns,2.5
994,przystępny,nafuu,adjectives,3.35
995,kibic,msaidizi,nouns,0.2
996,mężczyzna,mpiganaji,nouns,1.1
997,gardło,pua,nouns,0.65
998,ogromnie,kwa ukubwa,adverbs,0.25
999,stulecie,miaka kumi,nouns,0.55
1000,konwersja,uongofu,nouns,0.2
1001,podróż,ushindi,nouns,0.35
1002,szkoła,sheria,nouns,0.15
1003,odchodzić,kuondoka,verbs,0.0
1004,kolacja,chakula,nouns,3.8
1005,pewny siebie,ana hakika,adjectives,3.95
1006,przestępstwo,wizi,nouns,4.55
1007,koń,farasi wa kiume,nouns,3.7
1008,chemia,nadharia,nouns,0.55
1009,nieść,kuleta,verbs,2.3
1010,rysunek,mchoro,nouns,0.0
1011,nurkować,piga mbizi,verbs,0.0
1012,węglowodan,wanga,nouns,1.8
1013,ojciec,mwanaume,nouns,2.5
1014,spróbować,kujaribu,verbs,1.6
1015,czysty,safi,adjectives,5.35
1016,rozdział,mkia,nouns,0.0
1017,dolina,bonde,nouns,0.7
1018,czytać,kusoma,verbs,0.0
1019,podejrzany,mshukiwa,nouns,0.25
1020,ważny,lazima,adjectives,3.5
1021,myśleć,kujaribu,verbs,0.25
1022,meble,kitanda,nouns,2.9
1023,księżniczka,kisiwa,nouns,0.0
1024,księżniczka,bibi arusi,nouns,0.15
1025,matka,rafiki,nouns,0.35
1026,czuć,kuhisi,verbs,0.85
1027,sześcian,mchemraba,nouns,1.15
1028,wisieć,kuweka,verbs,0.2
1029,napój,bia,nouns,3.4
1030,żona,kuoga,nouns,0.0
1031,uwalniać,kukutolewa,verbs,0.0
1032,aresztować,kukamatwa,verbs,0.6
1033,teatr,ukumbi,nouns,0.5
1034,pracodawca,mfanyakazi,nouns,0.6
1035,grzejnik,kipasha joto,nouns,0.0
1036,ramię,misuli,nouns,0.8
1037,dzisiaj,leo,adverbs,1.8
1038,słownik,neno,nouns,1.25
1039,lotnisko,ndege,nouns,1.4
1040,brat,kaka,nouns,1.2
1041,redukować,kupunguza,verbs,0.0
1042,monarchia,ufalme,nouns,0.8
1043,fasola,nyama ya nguruwe,nouns,0.3
1044,kot,panya,nouns,0.3
1045,robotnik,mwajiri,nouns,0.6
1046,obecność,mshindi,nouns,0.1
1047,kręglarz,bowler,nouns,2.15
1048,niegrzeczny,jeuri,adjectives,1.2
1049,znaleźć,kupata,verbs,0.0
1050,tygodniowy,kwa wiki,adjectives,0.3
1051,rasizm,ubaguzi wa rangi,nouns,3.3
1052,ramię,mshipa,nouns,0.3
1053,przewodniczący,meya,nouns,1.7
1054,kinematografia,sinema,nouns,0.55
1055,telewizja,mawasiliano,nouns,1.3
1056,most,gari,nouns,0.05
1057,chaos,mchafuko,nouns,4.65
1058,biolog,mbiolojia,nouns,0.6
1059,ustalać,kuhitaji,verbs,0.35
1060,nabyć,kujiunga,verbs,0.15
1061,sokół,kozi,nouns,1.1
1062,żona,tundu,nouns,0.0
1063,pojmować,kufahamu,verbs,2.3
1064,dolar,watu,nouns,0.35
1065,dziecko,msichana,nouns,0.85
1066,kurz,vumbi,nouns,0.3
1067,oszczędzać,kutumia,verbs,0.2
1068,dostać,kununua,verbs,0.25
1069,moc,nguvu,nouns,4.05
1070,pietruszka,pasile,nouns,0.0
1071,pociąg,treni,nouns,1.8
1072,aluminium,alumini,nouns,2.52
1073,jednorodnie,sawa,adverbs,0.0
1074,ramię,mfupa,nouns,0.75
1075,kłócić się,kulalamika,verbs,1.25
1076,ciężarówka,gari la mzigo,nouns,0.5
1077,kombinacja,mjumuiko,nouns,1.6
1078,pokojowo,kwa amani,adverbs,2.0
1079,drzwi,dirisha,nouns,1.05
1080,wyłącznie,kweli,adverbs,1.65
1081,bal,mzinga,nouns,0.15
1082,życzliwie,kwa fadhili,adverbs,3.55
1083,zastępstwo,badala,nouns,2.4
1084,destrukcja,ujenzi,nouns,0.05
1085,upaść,kuanguka,verbs,1.95
1086,popularny,inayofahamika,adjectives,5.4
1087,dekada,karne,nouns,0.55
1088,diabeł,mungu,nouns,0.05
1089,zlecenie,mgawo,nouns,0.4
1090,łyżka,kikombe,nouns,0.55
1091,znacząco,umuhimu zaidi,adverbs,1.05
1092,dzielić,kugawanya,verbs,0.15
1093,szosa,jukumu,nouns,0.15
1094,pstrąg,samaki,nouns,0.0
1095,język ,misuli,nouns,0.8
1096,znaleźć,pata,verbs,0.4
1097,łóżko,blanketi,nouns,0.9
1098,zniechęcać,kutia moyo,verbs,0.1
1099,artykuł,kitabu,nouns,1.1
1100,głównie,haswa,adverbs,0.1
1101,ból,madhara,nouns,3.1
1102,niebawem,karibuni,adverbs,0.7
1103,kierownictwo,kazi,nouns,0.7
1104,dać,kuazima,verbs,1.05
1105,piąty,wa tano,adjectives,0.0
1106,kapelusz,koti,nouns,0.45
1107,kraść,kupa,verbs,0.0
1108,kawałek,kipande,nouns,0.0
1109,zbierać,kuvuna,verbs,1.25
1110,udawać,kudhani,verbs,0.15
1111,dyplomacja,diplomasia,nouns,2.0
1112,kciuk,mkono,nouns,1.45
1113,wymagać,kutafiti,verbs,0.25
1114,perła,hela,nouns,0.1
1115,opera,opera,nouns,1.3
1116,ekranizacja,filamu,nouns,4.6
1117,pieniądze,mshahara,nouns,3.15
1118,teleskop,darubini,nouns,0.0
1119,mieszkanie,nyumba,nouns,4.35
1120,krzesło,kitanda,nouns,0.45
1121,chodzić,kutembea ,verbs,0.05
1122,spokojny,utulivu,adjectives,0.75
1123,rzadko,nadra,adverbs,0.05
1124,ramię,kifundo,nouns,0.9
1125,nawóz,samadi,nouns,0.35
1126,drzeć,kuchana,verbs,0.05
1127,serce,upasuaji,nouns,0.45
1128,zgadzać się,kukubali,verbs,0.1
1129,bok,chini,nouns,0.5
1130,przyłączać,kubandika,verbs,0.0
1131,ciastko,biskuti,nouns,0.0
1132,ministerstwo,huduma,nouns,0.15
1133,gałęź,shina,nouns,0.1
1134,bogactwo,umaarufu,nouns,0.4
1135,rozszczepienie,utengano,nouns,0.5
1136,szczęśliwy,ana hasira,adjectives,0.1
1137,znikać,kupotea,verbs,5.0
1138,eksmitować,kufukuza,verbs,0.65
1139,klatka,kizuizi,nouns,0.75
1140,zrelaksowany,kupumzika,adjectives,0.0
1141,rozmiar,senti,nouns,0.05
1142,udusić,kuziba,verbs,0.1
1143,gwałtowny,kigomvi,adjectives,0.0
1144,porozumienie,makubaliano,nouns,5.05
1145,szczęka,mfupa,nouns,0.75
1146,wujek,shangazi,nouns,0.65
1147,okno,kifundo cha mguu,nouns,0.0
1148,zabawa,mchezo,nouns,4.05
1149,przebiegły,imara,adjectives,1.0
1150,zauważyć,kutoa maoni,verbs,0.4
1151,brzeg,benki,nouns,0.15
1152,panna młoda,mtoto wa mfalme,nouns,0.15
1153,ramię,shingo,nouns,0.35
1154,piosenka,wimbo,nouns,0.7
1155,brzęk,kelele,nouns,3.65
1156,kwiat,kichaka,nouns,0.75
1157,szczęśliwy,wa ghadhabu,adjectives,0.2
1158,śmiertelnie,hatari sana,adverbs,0.0
1159,niewiarygodny,asiyeaminika,adjectives,1.65
1160,wieczerza,chakula,nouns,3.95
1161,samotny,mpweke,adjectives,1.4
1162,czasem,muda mwingine,adverbs,0.0
1163,alkohol,jini,nouns,3.2
1164,zlecenie,jukumu,nouns,4.25
1165,broń,silaha,nouns,0.5
1166,warunek,hali,nouns,0.85
1167,trudny,bila jasho,adjectives,0.05
1168,często,mara nyingi,adverbs,0.75
1169,kuchnia,mlango,nouns,0.15
1170,film,filamu,nouns,0.5
1171,morze,ziwa,nouns,2.4
1172,współbieżność,mapatano,nouns,0.0
1173,ścigać,kimbiza,verbs,2.7
1174,pens,peni,nouns,0.05
1175,bić,kupiga,verbs,1.52
1176,napadać,kushambulia,verbs,0.45
1177,ostrzegać,onya,verbs,0.25
1178,zastąpić,kurudisha,verbs,0.75
1179,brać,kumiliki,verbs,1.7
1180,szermierka,uzio,nouns,0.4
1181,chór,kanisa,nouns,1.25
1182,usposobienie,daktari,nouns,0.0
1183,pakunek,furushi,nouns,0.5
1184,mundur,sare,nouns,0.0
1185,jaszczurka,mjusi,nouns,1.9
1186,mistrz,mshindi,nouns,5.0
1187,sukienka,gauni,nouns,0.0
1188,rozwój,maendeleo,nouns,0.15
1189,bierny,kupooza,adjectives,0.0
1190,wujek,mwanaume,nouns,2.1
1191,ostrożnie,kwa uangalifu,adverbs,3.1
1192,przypomnieć,kumbusha,verbs,0.95
1193,koszula,shati,nouns,1.6
1194,zakończony,kamili,adjectives,4.2
1195,rodzic,baba,nouns,4.65
1196,rozumieć,kusoma,verbs,0.85
1197,miękko,kwa ulaini,adverbs,0.0
1198,zniechęcać,kufeli,verbs,0.05
1199,ogromny,mpumbavu,adjectives,0.0
1200,wędrować,kutembea umbali mrefu,verbs,0.45
1201,łatwy,mkubwa,adjectives,0.05
1202,wiadomości,habari,nouns,0.85
1203,kot,mnyama,nouns,3.2
1204,wymiana,badilisha,nouns,2.4
1205,przeciwny,kinyume,adjectives,0.4
1206,brat,roho ,nouns,0.2
1207,dysk,diski,nouns,0.2
1208,dać,kuiba,verbs,0.0
1209,przedpokój,ukumbi,nouns,0.85
1210,ukazywać,kujulisha,verbs,1.7
1211,mechaniczny,a kifundi,adjectives,0.2
1212,dyskutować,kueleza,verbs,1.75
1213,tępy,ana akili,adjectives,0.05
1214,zadowolony,ana hasira,adjectives,0.0
1215,sytuacja,mazingira,nouns,0.85
1216,pojawić się,kuwa,verbs,1.35
1217,samochód,daraja,nouns,0.05
1218,kwiat,waridi,nouns,3.75
1219,rama,fremu,nouns,0.0
1220,biografia,habari za kubuniwa,nouns,0.6
1221,dziwaczny,wa kawaida,adjectives,0.15
1222,facet,mtu mzuri,nouns,0.4
1223,niezawodnie,pasipo tu,adverbs,0.1
1224,tryb,njia,nouns,0.75
1225,radzić,kushauri,verbs,4.0
1226,piasek,mchanga,nouns,0.0
1227,cząsteczka,atomu,nouns,3.05
1228,urodziny,mwaka,nouns,0.6
1229,znak,ishara,nouns,0.0
1230,koledż,weledi,nouns,0.35
1231,lemma,lemma,nouns,0.35
1232,narzekać,kugombana,verbs,1.25
1233,prosto,kirahisi,adverbs,0.6
1234,jastrząb,ndege,nouns,3.6
1235,truskawka,strouberi,nouns,2.1
1236,przyjazny,mkarimu,adjectives,1.65
1237,kreatywnie,kiubunifu,adverbs,0.85
1238,swoboda,uhuru,nouns,0.15
1239,odrzucić,kukataa,verbs,0.2
1240,cynk,zinki,nouns,0.7
1241,braterstwo,wanaume,nouns,0.95
1242,naiwny,mwenye pupa,adjectives,0.35
1243,szpik,damu,nouns,0.65
1244,medal,medali,nouns,0.35
1245,akapit,herufi,nouns,0.4
1246,łatwy,ana shida,adjectives,0.0
1247,stać  ,kusimama,verbs,0.05
1248,bankier,mwanasheria,nouns,0.45
1249,cel,jitihada,nouns,0.85
1250,zniechęcać,kukatisha tamaa,verbs,1.05
1251,opłynięcie,mzunguko,nouns,0.0
1252,przyjęcie,watu,nouns,0.45
1253,bóg,windo,nouns,0.0
1254,pistolet,kisu,nouns,0.45
1255,mysz,sitaha,nouns,0.0
1256,ocet,saladi,nouns,0.25
1257,kompetencja,uwezo,nouns,3.8
1258,szukać,kutafuta,verbs,1.75
1259,góra,mwamba,nouns,2.15
1260,ser,mkate,nouns,0.15
1261,taboret,kigoda,nouns,3.1
1262,konstruować,kutengeneza,verbs,4.1
1263,masło,kiazi,nouns,0.3
1264,język,shavu,nouns,0.5
1265,pływać,kuogelea,verbs,0.0
1266,źdźbło,nyasi,nouns,2.6
1267,bekon,nyama,nouns,4.5
1268,tajfun,dhoruba,nouns,4.45
1269,planeta,mwezi,nouns,1.3
1270,stopa,mguu,nouns,0.0
1271,pytać,kupuuza,verbs,0.05
1272,działo,mpira,nouns,0.15
1273,kopalnia,machimbo,nouns,0.3
1274,opowieść,hadithi,nouns,0.05
1275,stać się,kutengeneza,verbs,0.15
1276,trawa,mwani,nouns,1.3
1277,dekoracja,ukuta,nouns,0.35
1278,ręka,mguu,nouns,0.75
1279,biotop,ekolojia,nouns,0.55
1280,jabłko,mpangilio wa chakula,nouns,0.1
1281,słońce,anga,nouns,1.2
1282,dzisiaj wieczorem,usiku huu,adverbs,1.8
1283,zostawić,kuchukua,verbs,0.0
1284,chronić,kukinga,verbs,4.9
1285,zadanie,majani makavu,nouns,0.0
1286,fabryka,gari,nouns,0.15
1287,sekretarka,mwanamke,nouns,1.2
1288,szybki,wa kasi,adjectives,5.25
1289,dziwacznie,kiajabu,adverbs,1.25
1290,acetaminofen,acetaminopheni,nouns,0.4
1291,definiować,kufafanua,verbs,4.75
1292,chcieć,kuazima,verbs,0.55
1293,ząb,kinywa,nouns,1.0
1294,ołówek,penseli,nouns,0.05
1295,dwukrotnie,mara mbili,adverbs,0.47
1296,norka,mafuta,nouns,0.0
1297,ojciec,kaka,nouns,0.35
1298,źródło,chanzo,nouns,0.0
1299,niszczyć,kuua,verbs,1.75
1300,niedrogi,rahisi,adjectives,5.65
1301,polano,kuoga,nouns,0.0
1302,północ,magharibi,nouns,0.55
1303,aktor,mwimbaji,nouns,0.4
1304,postrzegać,kung'amua,verbs,0.4
1305,infekcja,ugonjwa,nouns,3.4
1306,dostać,kushindwa,verbs,0.1
1307,niezawodnie,kwa kuaminika,adverbs,0.1
1308,świt,bunduki,nouns,0.0
1309,jard,inchi,nouns,1.35
1310,rolnictwo,kilimo,nouns,1.65
1311,sierpień,mwezi,nouns,2.65
1312,kobieta,mwanamke,nouns,0.0
1313,zaciskać,kubana,verbs,0.15
1314,charakter,mhusika,nouns,2.1
1315,ścieżka,njia,nouns,0.15
1316,niewolnik,falahi,nouns,3.25
1317,owies,ngano,nouns,0.6
1318,opłata,mshahara,nouns,0.7
1319,redukować,kupungua,verbs,3.45
1320,mgiełka,mvua,nouns,0.6
1321,szeroki,mkubwa,adjectives,2.65
1322,koń,mbwa,nouns,0.5
1323,kwestarz,mfadhili,nouns,0.5
1324,zmierzch,jioni,nouns,4.75
1325,mikroskop,darubini,nouns,0.6
1326,spotykać,kukutana,verbs,0.0
1327,sypialnia,bafu,nouns,0.45
1328,sylaba,silabu,nouns,0.35
1329,aparat,rais,nouns,0.0
1330,motel,hoteli,nouns,2.05
1331,uczyć  ,kufundisha,verbs,5.3
1332,mgiełka,wingu,nouns,1.6
1333,test,jaribio,nouns,0.45
1334,znacząco,kwa maana,adverbs,2.5
1335,morze,bahari,nouns,0.8
1336,cal,mita,nouns,1.65
1337,zwycięzca,lengo,nouns,0.15
1338,pieniądze,almasi,nouns,0.5
1339,liść,jani,nouns,0.72
1340,ubrania,kifungo,nouns,0.6
1341,posiadłość,nyumba,nouns,0.0
1342,winda,gari,nouns,0.35
1343,śmiały,wa kujivunia,adjectives,0.85
1344,ogier,mvulana,nouns,0.4
1345,poliester,pamba,nouns,0.35
1346,nietoperz,popo,nouns,0.85
1347,piosenka,hadithi,nouns,0.8
1348,nauczyciel,rabai,nouns,1.85
1349,taksówka,basi,nouns,1.85
1350,wymieszać,kuchanganya,verbs,2.25
1351,uczeń,mwanafunzi,nouns,4.45
1352,chcieć,kutaka,verbs,4.7
1353,kobieta,manyoya,nouns,0.0
1354,przed,kabla,adverbs,0.25
1355,meble,fleti,nouns,0.35
1356,tworzyć,kuunda,verbs,4.25
1357,wędrować,kutangatanga,verbs,4.8
