ID,CMN,RUS,PoS,score
774,扫帚,пыль,nouns,0.83
775,阳光,яблоко,nouns,0.09
776,苏丹,министерство,nouns,0.0
777,认真地,важно,adverbs,1.56
778,收入,налог,nouns,0.67
779,争论,соглашаться,verbs,0.28
780,柄,белок,nouns,0.0
781,评分,отмечать,verbs,2.56
782,批评,спор,nouns,1.1
783,卧室,ванная,nouns,0.53
784,岩浆,вулкан,nouns,1.63
785,花,вера,nouns,0.14
786,获得,украсть,verbs,0.73
787,盒子,шляпа,nouns,0.25
788,窄小,широкий,adjectives,0.18
789,击中,целиться,verbs,1.25
790,网球,статистика,nouns,0.0
791,博物馆,mинт,nouns,0.0
792,灾难,смерть,nouns,1.79
793,优胜者,присутствие,nouns,0.05
794,肝,легкое,nouns,0.72
795,打中,упускать,verbs,0.18
796,给,разрешать,verbs,1.25
797,避难所,хижина,nouns,1.11
798,明亮地,значительно,adverbs,0.6
799,防御,защищать,verbs,4.05
800,保龄球选手,боулинг,nouns,1.5
801,身体,кровь,nouns,0.91
802,相机,линза,nouns,0.72
803,捏碎,щёлкать,verbs,1.95
804,床,мебель,nouns,3.02
805,大小,глубина,nouns,1.01
806,天空,вселенная,nouns,1.88
807,单身牢房,запирание,nouns,0.9
808,钱,зарплата,nouns,3.53
809,尺寸,трюк,nouns,0.05
810,募捐,развитие,nouns,0.04
811,名誉,богатство,nouns,1.0
812,嫌疑人,человек,nouns,0.38
813,冰,вода,nouns,2.24
814,箭头,мишень,nouns,0.86
815,地窖,дверь,nouns,0.48
816,尖,мягкий,adjectives,0.0
817,指控,лгать,verbs,0.24
818,喧闹声,грохот,nouns,4.58
819,使惊奇,праздновать,verbs,0.33
820,积极地,счастливо,adverbs,0.37
821,漫游,бродить,verbs,3.55
822,牛油,картофель,nouns,0.43
823,枪,шалость,nouns,0.1
824,奇怪,нормальный,adjectives,0.14
825,不公平,жестокий,adjectives,1.13
826,赛跑,философ,nouns,0.0
827,恶意软件,червяк,nouns,0.96
828,走廊,класс,nouns,0.54
829,正常,необычный,adjectives,0.05
830,大笑,плакать,verbs,0.18
831,勺子,сок,nouns,0.15
832,轻微,полностью,adverbs,0.05
833,谨慎地,вежливо,adverbs,0.72
834,窗口,лодыжка,nouns,0.0
835,爆玉米花,кино,nouns,0.78
836,沙文主义,предубеждение,nouns,1.24
837,任命,избирать,verbs,0.72
838,煤,рашкуль,nouns,1.4
839,发动机,механизм,nouns,2.33
840,护士,ученый,nouns,0.14
841,窗口,крыша,nouns,0.54
842,统治,выигрывать,verbs,0.93
843,亿万富翁,бездомный,nouns,0.05
844,毯,шторм,nouns,0.0
845,逃逸,находить,verbs,0.0
846,扼杀,жечь,verbs,0.14
847,退出,поглощать,verbs,0.0
848,高高兴兴地,смертельно,adverbs,0.28
849,数,цифра,nouns,4.57
850,排外主义,расизм,nouns,3.04
851,船,дерево,nouns,0.3
852,晚饭,трапеза,nouns,2.96
853,神经,тело,nouns,1.21
854,杯子,рожок,nouns,0.66
855,算术,логика,nouns,1.65
856,丈夫,жена,nouns,0.48
857,条件,пакт,nouns,2.13
858,借,хотеть,verbs,0.14
859,弱,мощный,adjectives,0.05
860,团结,жениться,verbs,1.17
861,心情,эмоция,nouns,2.74
862,发送,получать,verbs,0.37
863,壁橱,одежда,nouns,0.63
864,电动,сладкий,adjectives,0.0
865,鼓励,отговаривать,verbs,0.23
866,敬礼,выступать,verbs,0.55
867,不定形,бесформенный,adjectives,3.22
868,认识到,обнаруживать,verbs,3.21
869,问,игнорировать,verbs,0.09
870,时代,десятилетие,nouns,0.64
871,月,август,nouns,2.6
872,可能,оптимистически,adverbs,0.53
873,三文治,обед,nouns,0.64
874,声明,объявлять,verbs,4.49
875,炒,печь,verbs,1.2
876,章,конец,nouns,0.1
877,带来,жаловаться,verbs,0.19
878,不同,обычный,adjectives,0.05
879,酸奶,коро́ва,nouns,0.43
880,海滩,берег,nouns,2.75
881,穿,разъедать,verbs,0.14
882,拿,воспользоваться,verbs,2.06
883,当然,иногда,adverbs,0.15
884,撤离,определить,verbs,0.1
885,疯,больной,adjectives,1.21
886,种族,выходные,nouns,0.0
887,来源,коробка,nouns,0.0
888,犯罪者,преступник,nouns,4.81
889,便宜,недорогой,adjectives,4.41
890,沙发,бейсбол,nouns,0.0
891,轻信,глупый,adjectives,0.43
892,伟大,плохой,adjectives,0.0
893,棒,выдающийся,adjectives,4.88
894,书,текст,nouns,2.27
895,每周,ежемесячный,adjectives,0.92
896,导演,кинематография,nouns,1.19
897,装饰,стена,nouns,0.87
898,地球,мир,nouns,2.09
899,蟋蟀,сторонник,nouns,0.0
900,小孩,девочка,nouns,2.25
901,学校,класс,nouns,1.0
902,叶,саженец,nouns,0.86
903,布,лен,nouns,2.7
904,好心地,любезно,adverbs,4.42
905,后缀,аффикс,nouns,1.83
906,移动,ткать,verbs,0.0
907,听见,говорить,verbs,0.38
908,得到,терять,verbs,0.18
909,财富,слава,nouns,1.0
910,乏味,безопасный,adjectives,0.0
911,天气,снег,nouns,1.42
912,描绘,решать,verbs,0.5
913,罕见,необычный,adjectives,3.84
914,美,сонет,nouns,0.1
915,恐吓,преследовать,verbs,0.63
916,球拍,мяч,nouns,0.78
917,总统,фотоаппарат,nouns,0.1
918,拒绝,избегать,verbs,1.43
919,疯狂,безумный,adjectives,5.29
920,珍贵,священный,adjectives,1.88
921,担心,тратить,verbs,0.0
922,翻译者,иностранец,nouns,0.53
923,十字架,монах,nouns,0.84
924,乐器,скрипка,nouns,2.98
925,生气,счастливый,adjectives,0.0
926,出现,становиться,verbs,0.53
927,电视,актер,nouns,0.82
928,公寓,мебель,nouns,0.49
929,流言蜚语,новость,nouns,2.29
930,门,братство,nouns,0.0
931,盐,вода,nouns,0.38
932,歌曲,баллада,nouns,3.34
933,进入,покидать,verbs,0.18
934,日落,стол,nouns,0.0
935,雪崩,снег,nouns,1.71
936,芥末,зерно,nouns,0.97
937,伞,калибр,nouns,0.04
938,武士,мужчина,nouns,0.97
939,行动,курс,nouns,0.53
940,金,цинк,nouns,0.56
941,管理,мышь,nouns,0.35
942,飞机,аэропорт,nouns,1.1
943,靠不住的,коварный,adjectives,2.19
944,打,смешивать,verbs,0.05
945,出席,приходить,verbs,2.74
946,湖,облако,nouns,0.2
947,碱,кислота,nouns,0.18
948,硬件,дело,nouns,0.24
949,大笑,петь,verbs,0.1
950,早餐,бекон,nouns,0.63
951,倒,отекать,verbs,0.46
952,默默地,пассивно,adverbs,1.17
953,傻笑,смеяться,verbs,3.69
954,意外,бедствие,nouns,3.35
955,手腕,кисть,nouns,2.15
956,负面地,неестественно,adverbs,0.24
957,便条,задание,nouns,0.57
958,船,автомобиль,nouns,0.48
959,模拟,робототехника,nouns,0.73
960,议会,конгресс,nouns,2.31
961,征服,битва,nouns,1.23
962,打扰,обострять,verbs,0.05
963,菜单,заказ,nouns,1.23
964,分子,матрица,nouns,0.91
965,距离,перспектива,nouns,0.54
966,不确定,испуганный,adjectives,1.06
967,插曲,серия,nouns,1.26
968,公主,невеста,nouns,0.34
969,大多,глубоко,adverbs,0.18
970,红酒,бренди,nouns,2.02
971,求情,угождать,verbs,1.64
972,骨头,колено,nouns,1.28
973,因式分解,разложение,nouns,1.97
974,元,народ,nouns,0.0
975,男人,воин,nouns,0.97
976,清洁,аккуратный,adjectives,3.3
977,坚固地,спокойно,adverbs,0.43
978,奇怪地,необычно,adverbs,3.71
979,打,рамка,nouns,0.04
980,字典,слово,nouns,0.63
981,铁,витамин,nouns,0.81
982,合作,участвовать,verbs,1.36
983,捕获,подражать,verbs,0.0
984,惩罚,подчиниться,verbs,0.19
985,国民,известный,adjectives,0.05
986,赛跑运动员,спортсмен,nouns,2.63
987,极好,плохой,adjectives,0.24
988,船,мотор,nouns,0.58
989,参议院,конституция,nouns,0.71
990,兄弟会,бейсбол,nouns,0.3
991,主意,план,nouns,2.31
992,上面,низ,nouns,0.2
993,正式地,важно,adverbs,0.9
994,探索,обнаруживать,verbs,2.56
995,司机,пилот,nouns,1.57
996,选择,глава,nouns,0.34
997,黎明,ружье,nouns,0.0
998,杂志,статья,nouns,1.74
999,乐趣,игра,nouns,0.92
1000,奇怪,обычный,adjectives,0.1
1001,枫树,дерево,nouns,3.63
1002,字典,энциклопедия,nouns,1.81
1003,意见,выбор,nouns,1.1
1004,河谷,река,nouns,1.21
1005,暗礁,пляж,nouns,0.54
1006,员工,работодатель,nouns,0.45
1007,表达,сказать,verbs,2.94
1008,援助,ассистировать,verbs,4.17
1009,智力,логика,nouns,2.75
1010,叔叔,тетя,nouns,0.82
1011,复诊,пациент,nouns,0.33
1012,科学,психология,nouns,2.35
1013,工作,инструмент,nouns,0.58
1014,球,корзина,nouns,0.45
1015,指甲,кисть,nouns,0.93
1016,女人,секретарь,nouns,0.71
1017,滑雪板,лыжи,nouns,1.77
1018,运动员,бегун,nouns,2.63
1019,协助,помогать,verbs,4.17
1020,世纪,спиртное,nouns,0.0
1021,高高兴兴地,безопасно,adverbs,0.28
1022,选择,вена,nouns,0.04
1023,电话,потерпевший,nouns,0.0
1024,影片,фильм,nouns,4.19
1025,喜爱,ненавидеть,verbs,0.09
1026,科学家,медбрат,nouns,0.14
1027,立方体,игральная кость,nouns,2.67
1028,街,автомобиль,nouns,0.54
1029,机械师,работник,nouns,2.08
1030,走道,коридор,nouns,4.54
1031,柠檬,яблоко,nouns,0.44
1032,病原,микроб,nouns,3.83
1033,昂贵,стеснительный,adjectives,0.0
1034,儿子,мальчик,nouns,2.5
1035,拉比,наставник,nouns,0.96
1036,同意,угождать,verbs,1.65
1037,薄荷,жвачка,nouns,0.47
1038,血液,мозг,nouns,0.48
1039,小提琴,гитара,nouns,0.77
1040,男子,отец,nouns,1.93
1041,建立,добавлять,verbs,0.75
1042,灵魂,брат,nouns,0.5
1043,门,проем,nouns,3.32
1044,怪异,странный,adjectives,4.58
1045,刺激,угадывать,verbs,0.04
1046,有时,когда,adverbs,0.33
1047,分化,умереть,verbs,0.48
1048,长,короткий,adjectives,0.14
1049,发动机,поршень,nouns,1.49
1050,真实地,важно,adverbs,0.2
1051,考试,учебный план,nouns,0.57
1052,吸血鬼,летучая мышь,nouns,0.38
1053,聪慧,тупой,adjectives,0.14
1054,反驳,разрешать,verbs,0.05
1055,笨,сообразительный,adjectives,0.2
1056,糟糕,прекрасный,adjectives,0.04
1057,比较,анализировать,verbs,2.96
1058,河,долина,nouns,1.21
1059,舌头,мускул,nouns,0.65
1060,购买,воровать,verbs,0.28
1061,苹果,сладость,nouns,0.45
1062,雪,лёд,nouns,2.47
1063,肚子,вена,nouns,0.43
1064,新,свежий,adjectives,3.7
1065,遇见,покидать,verbs,0.18
1066,做,становиться,verbs,1.54
1067,意外,книга,nouns,0.0
1068,雕像,скульптура,nouns,4.63
1069,粗暴,равнодушный,adjectives,0.1
1070,法庭,справедливость,nouns,1.3
1071,清醒,пьяный,adjectives,0.14
1072,薪水,деньги,nouns,3.53
1073,律师,банкир,nouns,0.49
1074,粘性,всплеск,nouns,0.24
1075,直觉,чувство,nouns,3.94
1076,拒绝,осуждать,verbs,0.34
1077,王冠,ключ,nouns,0.0
1078,甜,электрический,adjectives,0.0
1079,客串角色,спектакль,nouns,0.04
1080,霸权,всемогущество,nouns,0.37
1081,便宜,доступный,adjectives,2.6
1082,搏斗,играть,verbs,0.23
1083,激情,эмоция,nouns,2.74
1084,监狱,выбор,nouns,0.04
1085,蜜蜂,муравей,nouns,0.43
1086,接受,верить,verbs,1.0
1087,喷嘴,жидкость,nouns,0.0
1088,争论,требовать,verbs,0.58
1089,侵蚀,носить,verbs,0.14
1090,百万富翁,доллар,nouns,0.6
1091,柔韧,крупный,adjectives,0.14
1092,海岸,пляж,nouns,2.75
1093,高速公路,автомобиль,nouns,0.6
1094,节目,математик,nouns,0.0
1095,感情上,грустно,adverbs,0.85
1096,珍珠,деньги,nouns,0.15
1097,雨,метель,nouns,0.77
1098,统治者,король,nouns,4.5
1099,女演员,актер,nouns,2.98
1100,水,засуха,nouns,0.29
1101,台风,циклон,nouns,3.34
1102,惩罚,учить,verbs,0.28
1103,立即,скоро,adverbs,1.91
1104,负责可靠地,независимо,adverbs,0.55
1105,监护人,взрослый,nouns,2.02
1106,谦虚,чистый,adjectives,0.66
1107,公共的,частный,adjectives,0.09
1108,车,судно,nouns,0.48
1109,缺席,пристуствие,nouns,0.34
1110,沙子,ступня,nouns,0.04
1111,预测,определять,verbs,0.64
1112,容易,тяжелый,adjectives,0.14
1113,牛,конь,nouns,0.57
1114,英寸,ярд,nouns,1.97
1115,地板,крыша,nouns,0.34
1116,心脏,операция,nouns,0.49
1117,谷仓,дом,nouns,0.78
1118,走,позволять,verbs,0.1
1119,父亲,брат,nouns,0.54
1120,拒绝,принимать,verbs,0.16
1121,新郎,невеста,nouns,0.78
1122,蜥蜴,крокодил,nouns,0.63
1123,疾病,инфекция,nouns,3.0
1124,培根,мясо,nouns,2.79
1125,经常,редко,adverbs,0.23
1126,邮包,грузовик,nouns,0.2
1127,新,старый,adjectives,0.09
1128,军官,лейтенант,nouns,1.73
1129,正牙医生,врач,nouns,2.83
1130,杂,старый,adjectives,0.0
1131,气球,народ,nouns,0.0
1132,宣告,провозглашать,verbs,4.49
1133,怒视,щуриться,verbs,0.53
1134,地图,площадь,nouns,0.48
1135,成熟地,праведно,adverbs,0.84
1136,笨,огромный,adjectives,0.04
1137,侵蚀,разрешать,verbs,0.0
1138,字,фраза,nouns,1.02
1139,女人,мех,nouns,0.2
1140,鼓,рожок,nouns,0.39
1141,钱,бриллиант,nouns,0.95
1142,糖类,сахароза,nouns,2.63
1143,早餐,ужин,nouns,0.71
1144,文化,общество,nouns,0.99
1145,牙医,полковник,nouns,0.09
1146,爸爸,мать,nouns,0.83
1147,无形,аморфный,adjectives,3.22
1148,小行星,звезда,nouns,2.5
1149,获得,пожинать,verbs,2.47
1150,不可能,возможный,adjectives,0.29
1151,对抗,раздражать,verbs,0.04
1152,偏见,шовинист,nouns,1.24
1153,母鸡,индейка,nouns,1.64
1154,原木,ванна,nouns,0.0
1155,新鲜,широкий,adjectives,0.0
1156,锁起来,клетка,nouns,0.9
1157,哭,реветь,verbs,5.16
1158,动物,человек,nouns,1.4
1159,充电器,диск,nouns,0.65
1160,心情,злость,nouns,1.88
1161,米饭,боб,nouns,0.53
1162,分数,оценивать,verbs,2.56
1163,迅速,скорый,adjectives,4.95
1164,标识,клуб,nouns,0.0
1165,饼干,принцесса,nouns,0.0
1166,杯子,кувшин,nouns,1.6
1167,努力,предрешать,verbs,0.0
1168,冷淡,ранимый,adjectives,0.0
1169,闻,портить,verbs,0.0
1170,硬币,оплата,nouns,1.15
1171,无礼,критичный,adjectives,0.57
1172,吸引,ударять,verbs,0.0
1173,韵律,арифметика,nouns,0.15
1174,公司,предприятие,nouns,4.22
1175,路,шоссе,nouns,4.17
1176,恳求,умолять,verbs,3.95
1177,电池,энергия,nouns,1.77
1178,主教,мусульман,nouns,0.52
1179,麻布,ткань,nouns,2.7
1180,听,понимать,verbs,0.98
1181,掩饰,покрывать,verbs,3.5
1182,关闭,срыгивать,verbs,0.0
1183,头,гвоздь,nouns,0.6
1184,分子,воздух,nouns,0.68
1185,说服,спорить,verbs,2.03
1186,蛇,ящерица,nouns,0.96
1187,世俗主义,религия,nouns,0.2
1188,真诚地,честно говоря,adverbs,4.2
1189,非自然,естественно,adverbs,0.23
1190,灰濛蒙,прогноз,nouns,0.65
1191,惯例,правило,nouns,1.88
1192,房子,квартира,nouns,4.23
1193,可行,невозможный,adjectives,0.29
1194,孩子气,безрассудный,adjectives,2.35
1195,灵活的,эластичный,adjectives,3.83
1196,环境,меч,nouns,0.38
1197,从不,отрицательный,adjectives,1.96
1198,力量,мощь,nouns,3.79
1199,旅程,завование,nouns,0.23
1200,父亲,дочь,nouns,0.54
1201,面包,сыр,nouns,0.34
1202,薄雾,дождь,nouns,1.51
1203,猫,мышка,nouns,0.43
1204,烧伤,душить,verbs,0.14
1205,死,распадаться,verbs,0.48
1206,擦亮,сообщить,verbs,0.0
1207,说,выражать,verbs,2.94
1208,混乱,истерика,nouns,2.27
1209,连接,отделять,verbs,0.18
1210,蔑视,обвинять,verbs,0.15
1211,机器,компьютер,nouns,2.02
1212,线,закат,nouns,0.0
1213,加剧,беспокоить,verbs,0.05
1214,锁匙,дом,nouns,0.4
1215,米饭,курятина,nouns,0.3
1216,接受,отвергать,verbs,0.16
1217,新鲜,старый,adjectives,0.14
1218,恢复,ремонтировать,verbs,2.89
1219,行星,звезда,nouns,2.88
1220,枪,рассвет,nouns,0.0
1221,文章,журнал,nouns,1.74
1222,申请人,приложение,nouns,0.73
1223,地带,область,nouns,4.12
1224,锤,зубы,nouns,0.05
1225,正义,право,nouns,0.88
1226,积极地,пассивно,adverbs,0.23
1227,雕塑,статуя,nouns,4.63
1228,很可能,возможно,adverbs,3.98
1229,平庸,плохой,adjectives,0.65
1230,新鲜,новый,adjectives,3.7
1231,甲板,судно,nouns,1.11
1232,大灾变,пожар,nouns,0.96
1233,生物学,анатомия,nouns,2.07
1234,好斗,изогнутый,adjectives,0.09
1235,段,письмо,nouns,0.54
1236,摩天大楼,дворец,nouns,0.63
1237,竞争,заканчивать,verbs,0.0
1238,渴,голодный,adjectives,1.46
1239,被动地,надёжно,adverbs,0.0
1240,指甲,палец,nouns,0.92
1241,巧克力,пирог,nouns,0.63
1242,妻子,дыра,nouns,0.32
1243,驾驶,останавливаться,verbs,0.1
1244,毁灭,убивать,verbs,3.88
1245,冬天,сезон,nouns,1.98
1246,战役,завоевание,nouns,1.23
1247,教授,доктор,nouns,1.16
1248,身体,желудок,nouns,1.61
1249,状况,ситуация,nouns,4.59
1250,帅哥,парень,nouns,0.86
1251,好斗,бой,nouns,2.5
1252,人,цент,nouns,0.0
1253,无畏舰,линкор,nouns,2.38
1254,伟大,ужасный,adjectives,0.04
1255,律师,прокурор,nouns,1.38
1256,肘,лодыжка,nouns,0.53
1257,汽车,велосипед,nouns,0.57
1258,恐龙,слон,nouns,0.34
1259,工作,управление,nouns,0.88
1260,做,строить,verbs,2.78
1261,故事,тема,nouns,0.67
1262,争论,жаловаться,verbs,1.4
1263,今天晚上,завтра,adverbs,0.34
1264,女儿,младенец,nouns,2.06
1265,税,доход,nouns,0.67
1266,圣经,книга,nouns,1.98
1267,活动,движение,nouns,2.96
1268,儿童,мальчик,nouns,2.75
1269,派,шоколад,nouns,0.63
1270,加,делить,verbs,0.28
1271,脖子,рука,nouns,0.39
1272,哨,останавливаться,verbs,0.0
1273,独立地,ответственно,adverbs,0.55
1274,颚,кость,nouns,1.37
1275,酒,бренди,nouns,2.92
1276,请,умолять,verbs,1.64
1277,教,воспитывать,verbs,3.44
1278,奇怪,чудной,adjectives,4.58
1279,照耀,светиться,verbs,4.17
1280,年轻,счастливый,adjectives,0.15
1281,放开,нажимать,verbs,0.0
1282,说明,прояснять,verbs,3.27
1283,忘记,узнавать,verbs,0.1
1284,大气层,загрязнение,nouns,0.49
1285,从不,потом,adverbs,0.09
1286,鸟,курица,nouns,1.72
1287,亲王国,герцогство,nouns,1.77
1288,轻松,напряжённый,adjectives,0.05
1289,资本,деньги,nouns,3.82
1290,交流,беседа,nouns,4.86
1291,忽略,исследовать,verbs,0.0
1292,车,датчик,nouns,0.58
1293,大薄片,самолет,nouns,0.14
1294,发热,грипп,nouns,1.59
1295,疼痛,вред,nouns,0.96
1296,有弹性,гибкий,adjectives,3.83
1297,踝,локоть,nouns,0.53
1298,游标,чип,nouns,0.15
1299,主要,обычно,adverbs,3.3
1300,推,тянуть,verbs,0.53
1301,携带,приносить,verbs,2.6
1302,本来,творчески,adverbs,0.0
1303,覆盖着,тканевый,adjectives,1.63
1304,点菜,меню,nouns,1.23
1305,耐力,сила,nouns,2.67
1306,打鼾,проснуться,verbs,0.33
1307,红酒,спиртное,nouns,3.25
1308,树,лодка,nouns,0.3
1309,人们,партия,nouns,0.83
1310,戏法,ружье,nouns,0.1
1311,公式,уравнение,nouns,2.5
1312,乘,делить,verbs,0.33
1313,棚屋,убежище,nouns,1.11
1314,争论,убеждать,verbs,2.79
1315,庆祝,удивлять,verbs,0.33
1316,充分,в принципе,adverbs,0.53
1317,坦白,отрицание,nouns,0.05
1318,政治家,президент,nouns,2.69
1319,守规矩,подчиняться,verbs,3.7
1320,文章,домашнее задание,nouns,1.51
1321,紧张,испуганный,adjectives,1.75
1322,月亮,планета,nouns,2.62
1323,保持,занимать,verbs,0.1
1324,床,больница,nouns,0.72
1325,成为,завершать,verbs,0.81
1326,办公室,работник,nouns,0.63
1327,抱怨,приносить,verbs,0.19
1328,沈闷,скучный,adjectives,3.81
1329,甲板,мышь,nouns,0.4
1330,讨论,объяснять,verbs,1.55
1331,侵蚀,увядать,verbs,0.37
1332,深度,величина,nouns,1.01
1333,子程序,компилятор,nouns,1.36
1334,电梯,тащить,verbs,1.27
1335,交谈,общение,nouns,4.86
1336,其他,противолежащий,adjectives,0.73
1337,歌曲,исполнитель,nouns,0.73
1338,允许,разъедать,verbs,0.0
1339,深深地,в основном,adverbs,0.18
1340,大教堂,потолок,nouns,0.2
1341,尝试,думать,verbs,0.43
1342,变成,казаться,verbs,0.73
1343,岛,принцесса,nouns,0.0
1344,手册,путеводитель,nouns,3.56
1345,学习,воспитывать,verbs,1.64
1346,在家里,далеко,adverbs,0.28
1347,日期,календарь,nouns,2.21
1348,微妙地,теперь,adverbs,0.0
1349,手掌,палец,nouns,1.41
1350,沐浴,жена,nouns,0.0
1351,女佣,девочка,nouns,2.35
1352,笔直,изогнутый,adjectives,0.14
1353,身体,рука,nouns,0.78
1354,钢琴,гармония,nouns,0.53
1355,放走,ловить,verbs,0.18
1356,尺寸,цент,nouns,0.3
1357,雨,град,nouns,1.32
1358,使满意,ладить,verbs,1.65
1359,咬,драться,verbs,1.21
1360,电影,нигилизм,nouns,0.28
1361,歌曲,история,nouns,0.38
1362,大象,компас,nouns,0.04
1363,码,метр,nouns,1.94
1364,雪,снежный обвал,nouns,1.71
1365,接受,доставлять,verbs,0.1
1366,想,обосновывать,verbs,0.98
1367,普通,странный,adjectives,0.1
1368,基本上,вполне,adverbs,0.53
1369,云,туман,nouns,2.13
1370,玩,драться,verbs,0.23
1371,傻,ребячливый,adjectives,2.35
1372,喝醉,трезвый,adjectives,0.14
1373,拥抱,выжимать,verbs,0.23
1374,单种栽培,сельское хозяйство,nouns,0.84
1375,打招呼,встречать,verbs,1.27
1376,书,рукопись,nouns,1.3
1377,冬天,лето,nouns,0.29
1378,电池,театр,nouns,0.0
1379,河流,море,nouns,1.44
1380,停,ехать,verbs,0.1
1381,神圣,драгоценный,adjectives,1.88
1382,保持,терять,verbs,0.14
1383,滨,побережье,nouns,3.21
1384,温和,острый,adjectives,0.0
1385,警长,полицейский,nouns,4.11
1386,苍蝇,муравей,nouns,0.62
1387,主力舰,дредноут,nouns,2.38
1388,白兰地,вино,nouns,2.02
1389,粗糙地,приблизительно,adverbs,0.71
1390,大概,возможно,adverbs,3.72
1391,自豪,радость,nouns,1.66
1392,银行,сиденье,nouns,0.09
1393,常规地,обычно,adverbs,4.25
1394,病毒,кровь,nouns,0.49
1395,气旋,тайфун,nouns,3.34
1396,演员,песня,nouns,0.73
1397,工作者,офис,nouns,0.63
1398,棒球,кушетка,nouns,0.0
1399,奇特地,удивительно,adverbs,3.24
1400,碗,дорожка,nouns,0.0
1401,狐狸,гончая,nouns,0.52
1402,满足,понимать,verbs,0.43
1403,记得,думать,verbs,0.53
1404,选择,избирать,verbs,3.31
1405,疯,сумасшедший,adjectives,5.29
1406,幸运,пристыженный,adjectives,0.04
1407,烘烤,жарить,verbs,1.2
1408,恶魔,ангел,nouns,0.24
1409,股票,актив,nouns,2.38
1410,谴责,отклонять,verbs,0.34
1411,走廊,проход,nouns,4.31
1412,准确地,активно,adverbs,0.32
1413,上校,дантист,nouns,0.09
1414,抖动,размешать,verbs,1.55
1415,避免,отвергать,verbs,1.43
1416,做,прекращать,verbs,0.1
1417,羞愧,скромный,adjectives,0.43
1418,国王,непотизм,nouns,0.33
1419,伙伴,друг,nouns,3.95
1420,公寓,гостиница,nouns,0.77
1421,墙,кирпич,nouns,0.82
1422,松动,гибкий,adjectives,1.31
1423,残酷,милый,adjectives,0.0
1424,普通,потрясающий,adjectives,0.1
1425,十四行诗,красота,nouns,0.1
1426,飑,ветер,nouns,3.46
1427,离开,встретить,verbs,0.18
1428,减肥,салат,nouns,0.63
1429,脊柱,шея,nouns,0.97
1430,有时,конечно,adverbs,0.15
1431,海滩,море,nouns,1.88
1432,轻蔑,презрительный,adjectives,4.17
1433,盒子,сигара,nouns,0.49
1434,士兵,мир,nouns,0.34
1435,流行,известный,adjectives,4.02
1436,地区,регион,nouns,4.79
1437,小巷,улица,nouns,2.99
1438,资产,акции,nouns,2.38
1439,大象,динозавр,nouns,0.34
1440,拒绝,отодвигать,verbs,1.17
1441,面包,мясо,nouns,0.29
1442,懒,занятый,adjectives,0.1
1443,准许,утвердить,verbs,3.31
1444,铝,банка,nouns,0.36
1445,呼吸,задыхаться,verbs,0.57
1446,罗盘,слон,nouns,0.04
1447,等式,формула,nouns,2.5
1448,便士,сделка,nouns,0.15
1449,被动地,активно,adverbs,0.23
1450,椅子,телескоп,nouns,0.0
1451,交换,валюта,nouns,0.9
1452,柔软,агрессивный,adjectives,0.0
1453,淋透,уменьшить,verbs,0.0
1454,出口,избирательное право,nouns,0.18
1455,钢笔,алфавит,nouns,0.25
1456,从不,честно говоря,adverbs,0.0
1457,杀,защищать,verbs,0.18
1458,信息,энтропия,nouns,0.33
1459,生活,выживать,verbs,2.13
1460,高度,преобразование,nouns,0.04
1461,衣服,шкаф,nouns,0.63
1462,沉思,думать,verbs,4.22
1463,公主,бисквит,nouns,0.0
1464,锚,лодка,nouns,0.73
1465,纸,картон,nouns,2.9
1466,云,буря,nouns,1.01
1467,自豪的,смиренно,adverbs,0.33
1468,选举权,выход,nouns,0.18
1469,士兵,мальчик,nouns,1.64
1470,紧紧,твердо,adverbs,2.78
1471,收缩,расти,verbs,0.09
1472,主题,хэштег,nouns,2.95
1473,完成,решать,verbs,1.62
1474,家俱,кровать,nouns,3.02
1475,洞察力,ум,nouns,2.13
1476,绝望,бедствование,nouns,2.03
1477,剩余,разница,nouns,2.08
1478,男人,дядя,nouns,2.19
1479,病菌,патогенный микроорганизм,nouns,3.83
1480,判决书,разбирательство,nouns,1.52
1481,信心十足地,тайно,adverbs,0.0
1482,学生,ученик,nouns,4.7
1483,雨,изморось,nouns,1.51
1484,犯罪,атака,nouns,0.71
1485,谷物,пшеница,nouns,3.13
1486,工作者,фотоаппарат,nouns,0.29
1487,单身牢房,комната,nouns,1.73
1488,手臂,плечо,nouns,0.83
1489,紧急情况,происшествие,nouns,4.15
1490,选举,выбор,nouns,2.62
1491,哲学家,разгон,nouns,0.0
1492,电缆,волшебник,nouns,0.0
1493,眼睛,бровь,nouns,0.68
1494,预言家,священник,nouns,0.73
1495,沙拉,уксус,nouns,0.39
1496,偷偷,уверенно,adverbs,0.0
1497,女英雄,герой,nouns,3.3
1498,相信,чувствовать,verbs,0.91
1499,旧,свежий,adjectives,0.14
1500,否认,признавать,verbs,0.23
1501,肉,хлеб,nouns,0.29
1502,稻草,жена,nouns,0.09
1503,完成,откладывать,verbs,0.14
1504,灵活,свободный,adjectives,1.31
1505,保龄,игрок в боулинг,nouns,1.5
1506,简单,трудный,adjectives,0.04
1507,文章,рукопись,nouns,3.29
1508,牛奶,сок,nouns,0.42
1509,花朵,выносливость,nouns,0.23
1510,创造者,автор,nouns,4.25
1511,鸡,рис,nouns,0.3
1512,尾巴,глава,nouns,0.1
1513,接受,рекомендовать,verbs,0.39
