ID,CMN,SWA,PoS,score
720,蔑视,kuchukia,verbs,0.3
721,重要的,umuhimu zaidi,adverbs,0.75
722,和平,amani,nouns,0.15
723,现实,ndoto,nouns,0.6
724,机械地,kwa ustadi,adverbs,0.39
725,灰尘,vumbi,nouns,0.38
726,军队,jeshi la wanamaji,nouns,3.86
727,羞辱,kuaibisha,verbs,0.09
728,来,kuleta,verbs,1.21
729,人,dola,nouns,0.35
730,參加,kukuunga,verbs,0.18
731,足球,burudani,nouns,0.49
732,募捐,mchango,nouns,0.15
733,智慧,akili,nouns,3.85
734,幸福,bahati,nouns,0.51
735,抓住,kamata,verbs,0.54
736,困难,rahisi,adjectives,0.29
737,屋顶,dari,nouns,3.74
738,鼻子,koo,nouns,0.39
739,失去,poteza,verbs,0.0
740,肺,ini,nouns,0.52
741,微妙地,kijanja,adverbs,0.0
742,咖啡,maharagwe,nouns,0.38
743,追求,kushawishi,verbs,0.39
744,给,kuiba,verbs,0.18
745,信念,ono,nouns,0.24
746,流星,meteor,nouns,0.0
747,做,kuharibu,verbs,0.14
748,知会,arifu,verbs,0.0
749,学习,kusahau,verbs,0.15
750,钱,lulu,nouns,0.0
751,周末,wiki,nouns,1.98
752,早餐,nyama ya nguruwe,nouns,0.63
753,坚硬,imara,adjectives,2.74
754,真实地,kiukweli,adverbs,0.0
755,缺席,kuwepo,nouns,0.24
756,僧侣,mtawa,nouns,0.14
757,木,gogo,nouns,3.99
758,增加,kuongeza,verbs,1.3
759,穆斯林,mwislamu,nouns,0.41
760,毯子,kitanda,nouns,0.7
761,喇叭,ngoma,nouns,0.15
762,加入,kuoa,verbs,0.24
763,厨房,bafu,nouns,0.19
764,保持,kuweka,verbs,2.59
765,身体,mkono,nouns,1.18
766,盒子,lifti,nouns,0.0
767,香槟,wiski,nouns,2.98
768,角度,tao,nouns,1.2
769,信息,habari,nouns,0.28
770,交流,televisheni,nouns,0.7
771,听,kujifunza,verbs,0.38
772,座位,kiti,nouns,0.09
773,找到,kupata,verbs,0.0
774,枪,mbinu,nouns,0.1
775,兔子,paka,nouns,0.48
776,灌木,ua,nouns,0.52
777,尝试,kujaribu,verbs,0.32
778,鳟鱼,samaki,nouns,0.0
779,灵活,rahisi,adjectives,0.23
780,读,kusoma,verbs,0.0
781,侵蚀,kumomonyoka,verbs,0.07
782,拿,kupeleka,verbs,0.24
783,苏丹,sultani,nouns,0.0
784,三角洲,delta,nouns,0.54
785,盒子,sigara,nouns,0.04
786,电话,simu,nouns,2.21
787,游泳,kuogelea,verbs,0.0
788,肘,kifundo cha mguu,nouns,0.57
789,短,mrefu,adjectives,0.14
790,资产,mali,nouns,2.72
791,无礼,jeuri,adjectives,1.07
792,难以置信地,kwa umaradufu,adverbs,0.55
793,裙带关系,undugu,nouns,0.18
794,松动,pwaya,adjectives,1.41
795,溅,chubwi,nouns,0.04
796,驾驶,endesha,verbs,0.04
797,员工,mwajiri,nouns,0.2
798,树,mti,nouns,0.0
799,校验,kutetea,verbs,0.33
800,糖,asali,nouns,2.58
801,家长,mtu mzima,nouns,2.94
802,伟大,wa ajabu,adjectives,1.29
803,网球,tenisi,nouns,0.0
804,坠落,kuanguka,verbs,0.53
805,詞,ukurasa,nouns,0.05
806,海滩,mchanga,nouns,0.39
807,手机,simu ya mkononi,nouns,4.42
808,笨,hodari,adjectives,0.19
809,游行,umati,nouns,0.34
810,啤酒,shampeni,nouns,2.67
811,木,mbao,nouns,0.0
812,走廊,darasa,nouns,0.14
813,十,enzi,nouns,0.34
814,床,hospitali,nouns,0.43
815,薪水,hela,nouns,3.63
816,士兵,mwanajeshi,nouns,0.15
817,啤酒,kileo,nouns,5.14
818,脏,mwembamba,adjectives,0.0
819,文章,insha,nouns,0.6
820,团结,kuungana,verbs,0.15
821,发送,kuhudhuria,verbs,0.0
822,清洁,safi,adjectives,5.16
823,天花板,paa,nouns,3.74
824,仆人,mtumishi,nouns,3.23
825,容易,mkubwa,adjectives,0.05
826,好,nzuri,adjectives,0.0
827,谴责,laani,verbs,0.59
828,创建,kuwazia,verbs,0.36
829,眼睛,chozi,nouns,0.92
830,犯罪,wizi,nouns,3.77
831,总统,uchafuzi,nouns,0.1
832,想像,kujifanya,verbs,0.14
833,闻名,julikana,adjectives,0.0
834,翻译者,mtafsiri,nouns,0.18
835,幼儿床,mlazi,nouns,3.05
836,流体,majimaji,nouns,0.0
837,理论,kemia,nouns,0.52
838,走,kuruhusu,verbs,0.0
839,饥饿,kua na njaa,adjectives,0.23
840,故事,wimbo,nouns,0.63
841,今天晚上,leo usiku,adverbs,0.14
842,晚餐,chakula cha asubuhi,nouns,0.56
843,玩具,kichezeo,nouns,0.09
844,钟,mlango,nouns,0.15
845,沙发,kiti,nouns,2.84
846,电梯,sanduku,nouns,0.0
847,伤害,kuuma,verbs,0.32
848,普通,kawaida,adjectives,0.1
849,卧室,bafu,nouns,0.28
850,肝脏,kiungo,nouns,2.47
851,菜单,agizo,nouns,1.13
852,连接,kujiunga,verbs,0.91
853,外套,nguo,nouns,3.24
854,飞机,ndege,nouns,3.17
855,舞蹈,densi,nouns,0.09
856,老师,rafiki,nouns,0.61
857,剑,panga,nouns,0.18
858,马,ng'ombe dume,nouns,0.38
859,再热,choma,nouns,0.42
860,未成熟的,kutokomaa,adjectives,0.18
861,乐队,pombe,nouns,0.05
862,碗,kichochoro,nouns,0.05
863,肉,damu,nouns,0.83
864,发炎,ugonjwa,nouns,3.41
865,时代,miaka kumi,nouns,0.34
866,尾巴,jabali,nouns,0.0
867,牙医,kanali,nouns,0.14
868,机器,mashine,nouns,2.81
869,乞求,kusihi,verbs,4.45
870,癌症,maradhi,nouns,3.75
871,包装纸,kanga,nouns,0.0
872,大致,kwa kukadiria,adverbs,0.36
873,父亲,mtoto wa kiume,nouns,0.47
874,家牛,ngombe,nouns,3.17
875,不同,wa kawaida,adjectives,0.05
876,意外,ajali,nouns,0.0
877,椅子,sofa,nouns,2.84
878,起源,kugundua,verbs,0.24
879,故障,kosa,nouns,0.0
880,闪电攻击,mashambulizi,nouns,4.18
881,好斗,ubishani,nouns,3.55
882,掌握,kufahamu,verbs,4.08
883,满载,mzito,adjectives,1.21
884,模糊,isiyo dhahiri,adjectives,4.39
885,徘徊,kutangatanga,verbs,0.83
886,其他,wengine,adjectives,0.14
887,天气,theluji,nouns,1.17
888,奖学金,ufadhili wa elimu,nouns,1.31
889,旋律,muziki,nouns,4.12
890,生病,ana wazimu,adjectives,0.66
891,听,kuelewa,verbs,0.98
892,喝,kunywa,verbs,0.0
893,母亲,mke,nouns,2.49
894,晚餐,supu,nouns,0.43
895,人,idadi ya watu,nouns,2.88
896,海岸,pwani,nouns,0.15
897,蠕虫,mnyoo,nouns,0.51
898,契约,mapatano,nouns,4.97
899,陶瓷,kauri,nouns,1.68
900,雪茄,sanduku ,nouns,0.04
901,地板,paa,nouns,0.1
902,信念,ua,nouns,0.14
903,沟通,kusali,verbs,0.47
904,拥有,kufyonza,verbs,0.28
905,栅栏,zizi,nouns,1.36
906,收缩,kukua,verbs,0.14
907,签证,mhuri,nouns,0.41
908,小学生,mwanafunzi,nouns,4.2
909,圣歌,ushindi,nouns,0.05
910,脊柱,mwili,nouns,0.88
911,呕吐,kutapika,verbs,0.0
912,大风,upepo mkali,nouns,0.0
913,依靠,tegemea,verbs,0.14
914,狭窄,nyembamba,adjectives,0.18
915,喉咙,pua,nouns,0.39
916,先生,bibi,nouns,0.34
917,医生,mtaalamu wa meno,nouns,3.17
918,滑雪板,ubao wa theluji,nouns,1.88
919,每当,kila wakati,adverbs,0.33
920,精灵,jini,nouns,0.0
921,除,kujumlisha,verbs,0.43
922,分子,molekuli,nouns,0.41
923,安全地,kwa usalama,adverbs,0.28
924,选举,uchaguzi,nouns,2.87
925,毁灭,kuumba,verbs,0.23
926,放开,kuachilia,verbs,0.0
927,聚集,kukutana,verbs,1.32
928,大,rahisi,adjectives,0.05
929,关闭,kufunga,verbs,0.0
930,石,jiwe,nouns,0.04
931,肚子,chumba cha kulala,nouns,0.0
932,诗人,mshairi,nouns,0.2
933,赦免,kusamehe,verbs,4.36
934,受害者,mwathirika,nouns,0.0
935,政治家,mwanasiasa,nouns,0.04
936,慷慨地,kwa ukarimu,adverbs,0.0
937,上衣,kofia,nouns,0.89
938,大气层,hali ya anga,nouns,2.72
939,沙发,kitanda,nouns,1.11
940,完美地,kiukamilifu,adverbs,0.63
941,大小,kina,nouns,0.86
942,燕麦,ngano,nouns,0.23
943,画画,mchoro,nouns,0.04
944,侄子,shangazi,nouns,0.24
945,能力,ustadi,nouns,4.59
946,给,kuruhusu,verbs,0.9
947,蛋白质,protini,nouns,0.15
948,搂抱,kukumbatia,verbs,5.14
949,离开,kuzurura,verbs,0.39
950,资料,gazeti,nouns,1.92
951,判决书,kesi,nouns,1.46
952,情绪,hamu,nouns,2.99
953,加,kuunda,verbs,0.6
954,给予,toleo,nouns,2.71
955,出席,kufika,verbs,3.0
956,多,nyingi zaidi,adverbs,0.34
957,方法,namna,nouns,4.43
958,束,umati,nouns,0.05
959,闻,kunusa,verbs,0.0
960,车,njia kuu,nouns,0.29
961,机械师,mfanyakazi,nouns,1.98
962,建议,kupendekeza,verbs,3.68
963,球,glavu,nouns,0.79
964,乳制品,maziwa,nouns,0.18
965,灯,taa,nouns,0.0
966,编译器,mkusanyaji,nouns,0.36
967,老师,msaidizi,nouns,0.71
968,同意,kukubali,verbs,2.2
969,模仿,kuonyesha,verbs,1.18
970,乘法,zidisha,nouns,0.56
971,次要,mdogo,adjectives,0.09
972,留,kuondoka,verbs,0.14
973,放,kuning'inia,verbs,0.51
974,协助,kusaidia,verbs,4.27
975,勺子,kijiko,nouns,0.0
976,推荐,kushauri,verbs,3.96
977,智力,umaizi,nouns,2.53
978,影片,sinema,nouns,4.44
979,气球,kuoga,nouns,0.0
980,不同意,kukutokubali,verbs,0.1
981,歌曲,tuni,nouns,2.94
982,得分,alama,nouns,0.46
983,州,nyumba,nouns,0.1
984,离开,kujitokeza,verbs,0.4
985,死气沉沉的,hatari sana,adverbs,0.18
986,平庸,mtumba,adjectives,0.33
987,合法,halali,adjectives,1.31
988,想,kufikiria,verbs,1.03
989,旧,mpya,adjectives,0.18
990,动物,mtu,nouns,1.25
991,不清楚,haijulikani,adjectives,4.39
992,付款,kulipa,verbs,1.38
993,办公室,ofisi,nouns,0.48
994,塔,kengele,nouns,0.47
995,珍贵,yenye thamani,adjectives,0.76
996,加,kugawanya,verbs,0.43
997,不定期地,isivyo kawaida,adverbs,0.23
998,群落生境,ekolojia,nouns,0.94
999,酒,bia,nouns,5.14
1000,蝙蝠,popo,nouns,0.73
1001,周末,wikiendi,nouns,0.0
1002,和平地,kwa amani,adverbs,0.09
1003,花朵,subira,nouns,0.23
1004,小亭,sanduku,nouns,0.05
1005,单身牢房,gerezani,nouns,1.25
1006,人群,fungu,nouns,0.05
1007,遇见,kukutana,verbs,0.0
1008,男孩,mazingira,nouns,0.14
1009,路,barabara,nouns,4.37
1010,辣,pilipili,adjectives,0.0
1011,骨头,shingo,nouns,0.39
1012,方式,njia,nouns,4.43
1013,力量,makadara,nouns,3.39
1014,年轻,isiyotulia,adjectives,0.1
1015,冠军,mshindi,nouns,5.38
1016,马,farasi wa kike,nouns,3.77
1017,同意,kutofautiana,verbs,0.05
1018,秘书,mwanamke,nouns,0.67
1019,坚固,mwerevu,adjectives,0.39
1020,豆,nyama ya nguruwe,nouns,0.1
1021,脚,kichwa,nouns,0.24
1022,电视,runinga,nouns,0.43
1023,水,maji,nouns,0.14
1024,逻辑,akili,nouns,3.0
1025,好的,sawa,adjectives,0.53
1026,门口,mlango,nouns,3.57
1027,节约,kutumia,verbs,0.52
1028,家伙,mtu mzuri,nouns,0.41
1029,消失,kutafuta,verbs,0.1
1030,带来,kurudisha,verbs,0.7
1031,容易,ngumu,adjectives,0.29
1032,除法,mgawanyiko,nouns,0.56
1033,年龄,urembo,nouns,0.28
1034,保留,kusahau,verbs,0.14
1035,长笛,filimbi,nouns,1.04
1036,手臂,shingo,nouns,0.24
1037,牛,farasi,nouns,0.38
1038,军士,mjeshi,nouns,0.49
1039,这里,papa hapa,adverbs,1.75
1040,头,bega,nouns,0.49
1041,扩大,kukua,verbs,1.25
1042,犯罪者,mkosaji,nouns,4.96
1043,工作,menejimenti,nouns,0.53
1044,类别,darasa,nouns,0.0
1045,给,kuweka,verbs,0.19
1046,针织套衫,jaketi,nouns,3.34
1047,政治家,rais,nouns,3.04
1048,易损坏,baridi,adjectives,0.1
1049,锌,zinki,nouns,0.91
1050,蜜糖,sukari,nouns,2.58
1051,代替,kurudisha,verbs,0.1
1052,工作者,mwajiri,nouns,0.43
1053,贫困,uhitaji,adjectives,0.97
1054,骨头,meno,nouns,0.42
1055,弯曲,yenye pindo,adjectives,0.14
1056,旅程,mwendo,nouns,3.79
1057,颚,mfupa,nouns,0.97
1058,走,kutuma,verbs,0.1
1059,平庸,ya kawaida,adjectives,0.53
1060,褪色,kufifia,verbs,0.82
1061,二极管,diode,nouns,0.93
1062,货币,sarafu,nouns,0.3
1063,生气,ghadhabu,nouns,4.4
1064,烧伤,kuunguza,verbs,0.14
1065,偷偷,kwa siri,adverbs,0.05
1066,宽大,mwembamba,adjectives,0.18
1067,减少,kupunguza,verbs,0.0
1068,合作伙伴,mvulana,nouns,0.28
1069,粘人,mhitaji,adjectives,0.04
1070,指甲,kidole gumba,nouns,0.88
1071,任务,majani makavu,nouns,0.0
1072,朋友,mama,nouns,0.24
1073,肘,mfupa,nouns,0.34
1074,描绘,kuiga,verbs,1.18
1075,独特,ya pekee,adjectives,0.75
1076,敬礼,kutoa heshima,verbs,0.05
1077,猎物,mungu,nouns,0.0
1078,生态系统,mfumo wa ikolojia,nouns,0.15
1079,神经,matumbo,nouns,0.24
1080,骨头,kifundo cha mguu,nouns,1.13
1081,危险地,kwa uhatari,adverbs,0.18
1082,老鼠,chombo,nouns,0.0
1083,拒绝,kukubali,verbs,0.16
1084,理解,kusoma,verbs,0.77
1085,皮炎,ugonjwa wa ngozi,nouns,3.03
1086,流言蜚语,habari,nouns,1.64
1087,害羞,aibu,adjectives,0.35
1088,舌头,shavu,nouns,0.2
1089,风暴,theluji,nouns,0.51
1090,纯,safi,adjectives,0.46
1091,事件,tukio,nouns,0.78
1092,创建,kuunda,verbs,4.42
1093,困难,bidii,nouns,0.19
1094,之前,kabla,adverbs,0.23
1095,理解,kuridhisha,verbs,0.23
1096,戏法,saizi,nouns,0.0
1097,个人,kibinafsi,adjectives,0.05
1098,枪,alfajiri,nouns,0.0
1099,章节,usiku,nouns,0.0
1100,购买,kuiba,verbs,0.28
1101,碗,sahani,nouns,2.46
1102,导演,mkurugenzi,nouns,0.59
1103,简直,kirahisi,adverbs,0.55
1104,蜜蜂,mdudu,nouns,2.65
1105,哥哥,mvulana,nouns,2.44
1106,上衣,nguo,nouns,3.49
1107,公主,mtoto mke wa mfalme,nouns,0.0
1108,大规模,mkubwa,adjectives,3.81
1109,文明,ustaarabu,nouns,1.67
1110,酒,brandi,nouns,3.32
1111,花,kichaka,nouns,0.52
1112,步行,kutembea,verbs,2.38
1113,现代,wa kale,adjectives,0.05
1114,意见,imani,nouns,0.23
1115,画,kuchora,verbs,0.14
1116,花朵,waridi,nouns,3.77
1117,打招呼,kukutana,verbs,0.73
1118,天使,malaika,nouns,0.29
1119,珍珠,hela,nouns,0.0
1120,男人,mlinzi,nouns,1.35
1121,海,ufuko,nouns,2.58
1122,亿万富翁,bilionea,nouns,0.0
1123,湿疹,uwasho,nouns,3.03
1124,没用过,haijatumika,adjectives,4.27
1125,海,bahari,nouns,0.81
1126,饥饿,kua na njaa ,adjectives,1.11
1127,聚集,kukusanyika,verbs,2.76
1128,穿,kuvaa,verbs,0.14
1129,踝,mfupa,nouns,1.13
1130,教授,mwanafunzi,nouns,0.43
1131,牙,meno,nouns,0.0
1132,钩针编织,krocheti,nouns,0.23
1133,鸢尾花,boriti,nouns,0.0
1134,病原,pathojeni,nouns,2.68
1135,水平,kiwango,nouns,0.46
1136,接受,kuamini,verbs,1.65
1137,人们,sherehe,nouns,0.34
1138,蜜蜂,sisimizi,nouns,0.53
1139,步行,kutembea ,verbs,0.23
1140,恶魔,jitu,nouns,2.12
1141,任务,njia kuu,nouns,0.1
1142,木,karatasi,nouns,0.38
1143,空气,molekuli,nouns,0.43
1144,给予,kupokea,verbs,0.3
1145,潜水,piga mbizi,verbs,0.0
1146,角,eneo,nouns,0.47
1147,橡木,mpera,nouns,1.68
1148,收缩,kupunguza,verbs,3.38
1149,目前,kwa sasa,adverbs,0.0
1150,裙子,gauni,nouns,0.09
1151,独立地,kwa kujitegemea,adverbs,1.04
1152,排外主义,ubaguzi,nouns,3.59
1153,开心,wa ghadhabu,adjectives,0.15
1154,大规模,kwa ukubwa,adverbs,0.6
1155,毛,mwanamke,nouns,0.0
1156,压抑,kukandamiza,verbs,0.35
1157,怪异,mgeni,adjectives,3.73
1158,糖果,matofaa,nouns,0.24
1159,倾向,kupendelea,verbs,2.63
1160,负面地,kwa ubaya,adverbs,0.14
1161,十字架,msalaba,nouns,0.14
1162,国民,kitaifa,adjectives,0.0
1163,兄弟会,baseball,nouns,0.0
1164,恢复,kubadilisha,verbs,0.1
1165,强大,mwenye nguvu,adjectives,0.1
1166,软管,bustani,nouns,0.05
1167,成为,kupanga,verbs,0.1
1168,磁盘,kompyuta,nouns,0.53
1169,加剧,kuongeza,verbs,0.18
1170,搅拌,kukoroga,verbs,4.28
1171,枪,mzinga,nouns,1.77
1172,帮手,mwalimu,nouns,0.71
1173,猫,mbwa,nouns,0.43
1174,最佳,juu,adjectives,0.04
1175,奇怪,wa kigeni,adjectives,4.78
1176,轨,ua,nouns,0.0
1177,了解,kusamehe,verbs,0.42
1178,资料,kitabu,nouns,1.35
1179,教练,kocha,nouns,0.6
1180,正式地,rasmi,adverbs,0.75
1181,失败,kushidwa,verbs,0.14
1182,剧院,ukumbi,nouns,0.0
1183,大厅,ukumbi,nouns,0.14
1184,在场,kutokuwepo,nouns,0.24
1185,阿姨,mjomba,nouns,0.47
1186,恶魔,pepo,nouns,0.29
1187,电池,betri,nouns,0.0
1188,难以置信,maradufu,adjectives,0.05
1189,日落,macheo,nouns,1.23
1190,部长,rabai,nouns,0.45
1191,星系,giligili,nouns,0.09
1192,笨,mkubwa mno,adjectives,0.04
1193,云,wingu,nouns,0.0
1194,重要,lazima,adjectives,3.31
1195,牛油,kiazi,nouns,0.24
1196,一分钱,saizi,nouns,0.05
1197,头盔,helmeti,nouns,0.34
1198,一餐,kiuno,nouns,0.0
1199,静脉,tumbo,nouns,0.24
1200,行星,sayari,nouns,3.33
1201,给予,kukopesha,verbs,2.29
1202,芥末,mbegu,nouns,0.33
1203,手,kidole gumba,nouns,0.93
1204,军队,kikosi,nouns,3.98
1205,门,dirisha,nouns,0.78
1206,乐观地,kwa matuamini,adverbs,0.68
1207,纸,kadibodi,nouns,2.35
1208,信念,fikra,nouns,1.08
1209,棒球,undugu,nouns,0.0
1210,歌手,mtaalamu wa sauti,nouns,0.33
1211,原谅,kuelewa,verbs,0.42
1212,总统,meya,nouns,1.4
1213,雨,manyunyu,nouns,3.98
1214,本来,ya uhalisia,adverbs,0.65
1215,不公平,si kwa haki,adverbs,0.23
1216,苍蝇,nzi,nouns,0.52
1217,肯定,ana kujiamini,adjectives,3.2
1218,立方体,mchemraba,nouns,0.09
1219,未拿定主意,kuwa yumba,adjectives,0.42
1220,农业,kilimo,nouns,1.39
1221,忽略,kupuuza,verbs,0.0
1222,薄荷,minti,nouns,0.0
1223,大概,labda,adverbs,0.0
1224,今天,leo,adverbs,1.83
1225,词,fasihi,nouns,1.3
1226,本地,hapa ndani,adverbs,0.09
1227,服从,kutii,verbs,0.09
1228,服装,sherehe,nouns,0.1
1229,冷淡,mdhaifu,adjectives,0.1
1230,提高,kukuinua,verbs,3.72
1231,病毒,kirusi,nouns,0.34
1232,收到,kupokea,verbs,0.54
1233,犯罪,udanganyifu,nouns,2.96
1234,谦逊,mnyenyekevu,adjectives,5.13
1235,房屋,ufunguo,nouns,0.4
1236,肉,mkate,nouns,0.19
1237,正文,kitabu,nouns,3.08
1238,书,biblia,nouns,2.58
1239,商业,viwanda,nouns,1.3
1240,女人,mwanaume,nouns,0.43
1241,大概,uwezekano,adverbs,3.12
1242,黏,natanata,adjectives,1.25
1243,坏,mkubwa sana,adjectives,0.09
1244,日期,siku ya kuzaliwa,nouns,1.42
1245,退出,kutoa,verbs,1.11
1246,确定,ana hakika,adjectives,4.89
1247,机场,ndege,nouns,1.4
1248,电线,kamba,nouns,0.79
1249,傍晚,giza kuingia,nouns,4.91
1250,事实,ushahidi,nouns,1.21
1251,带来,kuja,verbs,1.21
1252,膝盖,mkono,nouns,0.38
1253,拆除,kubomoa,verbs,0.67
1254,新娘,bwana arusi,nouns,0.57
1255,直升机,helikopta,nouns,3.17
1256,听,kusikia,verbs,4.63
1257,水,chumvi,nouns,0.33
1258,忘记,kujifunza,verbs,0.15
1259,借,kuuza,verbs,0.28
1260,香烟,tumbaku,nouns,4.61
1261,黎明,usiku,nouns,0.1
1262,女人,mwanamke,nouns,0.04
1263,暴力,wa ghadhabu,adjectives,1.55
1264,主题,hadithi,nouns,0.42
1265,速度,mwendo,nouns,0.0
1266,椅子,kitanda,nouns,0.48
1267,兄弟会,mlango,nouns,0.0
1268,文学,neno,nouns,1.3
1269,神圣,takatifu,adjectives,1.48
1270,便宜,rahisi,adjectives,2.81
1271,稀有,wa kigeni,adjectives,0.05
1272,伤害,kuumia,verbs,0.47
1273,评估,kujifunza,verbs,0.68
1274,训斥,kulaani,verbs,0.09
1275,墙壁,pambo,nouns,0.47
1276,分析,kuchambua,verbs,4.28
1277,惩罚,kuadhibu,verbs,0.48
1278,理论,nadharia,nouns,1.09
1279,通常,kawaida,adverbs,0.14
1280,抓住,kudaka,verbs,0.14
1281,衣服,kitambaa,nouns,2.83
1282,糟糕,kwa ubaya,adverbs,0.0
1283,案件,kesi,nouns,0.09
1284,摄影,sinema,nouns,0.59
1285,领带,kufunga,verbs,0.15
1286,绞刑,kuua,verbs,3.56
1287,给,kujua,verbs,0.0
1288,雪,dhoruba,nouns,0.51
1289,篱笆,reli,nouns,0.0
1290,血液,uboho,nouns,0.48
1291,城镇,mji,nouns,4.26
1292,拥抱,kumbatia,verbs,5.14
1293,洞,mke,nouns,0.32
1294,操纵杆,joystiki,nouns,0.34
1295,杜松子酒,kileo,nouns,3.12
1296,民主,demokrasia,nouns,0.55
1297,杯子,kopo,nouns,1.3
1298,新鲜,mpana,adjectives,0.0
1299,包皮,govi,nouns,1.27
1300,非常,zaidi,adverbs,0.0
1301,理解,kuelewa,verbs,4.08
1302,钻石,hela,nouns,0.8
1303,手臂,mguu,nouns,1.03
1304,拖着脚走,kuchanganya,verbs,0.0
1305,字,gazeti,nouns,0.92
1306,眼睛,nyusi,nouns,0.48
1307,母亲,mlezi,nouns,3.16
1308,财富,umasikini,nouns,0.15
1309,卧室,tumbo,nouns,0.0
1310,闷,kuboreka,adjectives,0.46
1311,购买,kununua,verbs,2.66
1312,困难,rahisi,adjectives,0.09
1313,非常好,kushangaza,adjectives,0.0
1314,文化,utamaduni,nouns,1.34
1315,舱,katoni,nouns,0.33
1316,坚固地,kwa kidete,adverbs,0.0
1317,静脉,chombo,nouns,0.05
1318,拇指,ukucha,nouns,0.88
1319,血液,nyama,nouns,0.83
1320,保持,kulinda,verbs,0.24
1321,愤怒,mkali,adjectives,0.23
1322,雪,theluji,nouns,3.17
1323,收集,kukusanya,verbs,2.76
1324,名誉,utajiri,nouns,0.6
1325,名单,orodha,nouns,0.73
1326,发送,kuleta,verbs,0.1
1327,开始,kwenda,verbs,0.14
1328,王冠,taji,nouns,0.0
1329,汽车,lifti,nouns,0.35
1330,身体,tumbo,nouns,1.27
1331,合唱,kiitiko,nouns,0.92
1332,任务,kazi,nouns,3.28
1333,准许,kuruhusu,verbs,4.11
1334,努力,shida,nouns,0.19
1335,神职人员,mtawa,nouns,2.72
1336,收集,kukusanya,verbs,1.6
1337,季节,msimu wa baridi,nouns,2.58
1338,正义,haki,nouns,0.99
1339,吞,meza,verbs,1.69
1340,巧妙的,kwa ujanja,adverbs,0.28
1341,校验,kusema,verbs,0.05
1342,控制,kudhibiti,verbs,0.58
1343,友好,kirafiki,adverbs,0.09
1344,胜利者,mwanaume,nouns,0.18
1345,攻击,shambulio,nouns,2.57
1346,幻灯片,teleza,nouns,0.09
1347,骨头,taya,nouns,0.97
1348,拒绝,kukataa,verbs,0.0
1349,柔软,laini,adjectives,0.0
1350,腐烂,kuoza,verbs,2.22
1351,帮忙,kusaidia,verbs,0.29
1352,找到,kupotea,verbs,0.1
1353,拥抱,kukumbatia,verbs,0.16
1354,酒,divai,nouns,4.1
1355,点菜,menyu,nouns,1.13
1356,主板,bodi kuu,nouns,3.93
1357,监护人,mama,nouns,3.16
1358,苹果,mwanga wa jua,nouns,0.14
1359,默默地,kwa ukimya,adverbs,0.32
1360,不准确地,si kwa usahihi,adverbs,0.18
1361,舱,kambi,nouns,0.34
1362,获得,kupata,verbs,0.73
1363,尖,mbutu,adjectives,0.14
1364,硬件,kifaa,nouns,0.14
1365,出租车,basi,nouns,2.25
1366,标志,alama,nouns,4.45
1367,后部,nyuma,nouns,2.75
1368,似乎,kujifanya,verbs,0.29
1369,手臂,goti,nouns,0.38
1370,牛排,nyama,nouns,4.5
1371,字,ishara,nouns,0.29
1372,罪人,mtakatifu,nouns,0.1
1373,棒球,kochi,nouns,0.0
1374,欲望,kua na hamu,verbs,4.14
1375,工业,biashara,nouns,1.3
1376,手,ukucha,nouns,0.53
1377,旅程,ushindi,nouns,0.28
1378,得罪,kukashifu,verbs,3.01
1379,尊严,hadhi,nouns,0.0
1380,沙丘,dune,nouns,2.51
1381,星系,giligili,nouns,0.0
1382,上面,chini,nouns,0.15
1383,制服,sare,nouns,0.14
1384,父亲,kaka,nouns,0.29
1385,半学年,awamu,nouns,4.22
1386,新,mpya,adjectives,4.27
1387,焦躁不安,mchanga,adjectives,0.1
1388,机器,injini,nouns,3.08
1389,远足,kutembea umbali mrefu,verbs,0.28
1390,旗,bendera,nouns,0.98
1391,新,wa kale,adjectives,0.19
1392,数字,tarakimu,nouns,0.0
1393,微晶片,kibanzi,nouns,0.04
1394,骨头,goti,nouns,0.88
1395,说明,kufafanua,verbs,4.03
1396,减少,kupungua,verbs,1.94
1397,兄弟会,wanaume,nouns,1.08
1398,大致,takriban,adverbs,0.07
1399,观察,kutazama,verbs,4.93
1400,家,jimbo,nouns,0.1
1401,爆玉米花,bisi,nouns,0.28
1402,征服,safari,nouns,0.28
1403,家长,baba,nouns,4.18
1404,泥,uchafu,nouns,4.54
1405,篱笆,uzio,nouns,0.0
1406,忽略,kuondoka,verbs,0.28
1407,精彩,poa,adjectives,1.29
1408,原木,kuni,nouns,3.99
1409,高高兴兴地,kwa furaha,adverbs,0.23
1410,报纸,taarifa,nouns,1.92
1411,申请人,mwombaji,nouns,1.78
1412,女儿,baba,nouns,0.19
1413,无形,bila shepu,adjectives,2.17
1414,阳光,anga,nouns,1.01
1415,插图,katuni,nouns,0.0
1416,成熟,kwa utu uzima,adverbs,0.43
1417,假,feki,adjectives,0.24
1418,加冕礼,kusimikwa ufalme,nouns,0.04
1419,害怕,ogopa,adjectives,2.75
1420,邮件,nguzo,nouns,0.0
1421,图表,chati,nouns,3.19
1422,职业,chuo,nouns,0.39
1423,溪流,mto,nouns,3.47
1424,掩饰,kuficha,verbs,3.55
1425,参与,kusema,verbs,0.05
1426,公牛,ndama,nouns,2.69
1427,人,bunduki,nouns,0.05
1428,原子,molekuli,nouns,2.58
