ID,HEB,SWA,PoS,score
680,מכונאי,mfanyakazi,nouns,1.75
681,בית,jimbo,nouns,0.75
682,תורה,nyimbo,nouns,0.25
683,יופי,umri,nouns,0.6
684,ללמוד,kusikiliza,verbs,0.9
685,לייעץ,kupendekeza,verbs,3.35
686,חוקי,halali,adjectives,0.5
687,באופן אמין,pasipo tu,adverbs,0.5
688,מיומנות,akili,nouns,1.95
689,גבינה,mkate,nouns,0.65
690,חגורה,kitanzi,nouns,1.4
691,הפרה,uhalifu,nouns,2.65
692,ירך,mdomo,nouns,0.75
693,שנה,siku ya kuzaliwa,nouns,0.9
694,ספר,biblia,nouns,2.2
695,כדור,glavu,nouns,1.2
696,צוק,mkia,nouns,0.0
697,מוט,mlingoti,nouns,1.1
698,להפסיד,kupata,verbs,0.5
699,מחבט,raketi,nouns,0.95
700,לקצור,kuvuna,verbs,1.6
701,להתחזות,kudhani,verbs,0.05
702,נוכחות,mlango,nouns,0.15
703,מקרה,kesi,nouns,0.3
704,להשיג,kujaribu,verbs,0.7
705,מגדל,kengele,nouns,0.65
706,דירה,fanicha,nouns,0.55
707,גיוס כספים,mchango,nouns,0.5
708,סקי,skiing,nouns,2.55
709,אקזמה,uwasho,nouns,2.2
710,שמיים,ulimwengu,nouns,1.35
711,לשמור,kuweka,verbs,2.45
712,לקחת,kupeleka,verbs,0.65
713,להמתין,kungoja,verbs,0.2
714,מיליונר,bilionea,nouns,0.45
715,מכוסה,funikwa,adjectives,0.6
716,אורתודונט,daktari,nouns,2.65
717,בקתה,kibanda,nouns,3.85
718,ארון,nguo,nouns,0.7
719,חוף,pwani,nouns,0.7
720,עקומה,pembe,nouns,2.05
721,תחזית,wingu,nouns,1.35
722,ספה,baseball,nouns,0.1
723,עיתון,taarifa,nouns,1.8
724,משימה,kazi,nouns,3.5
725,עבר,zamani,nouns,1.7
726,להפסיד,kuweka,verbs,0.35
727,להגן,kulinda,verbs,2.88
728,מעוקל,pinda,adjectives,0.6
729,פיתוח,maendeleo,nouns,0.5
730,לעיתים קרובות,mara nyingi,adverbs,0.55
731,חריף,pilipili,adjectives,0.1
732,באופן מוזר,ya kustajabisha,adverbs,4.65
733,להעליב,kutukana,verbs,3.45
734,לערב,kumhusisha,verbs,2.8
735,צעיר,isiyotulia,adjectives,0.3
736,מצלמה,mfanyakazi,nouns,0.1
737,פח,chuma,nouns,1.4
738,חדר שינה,bafu,nouns,0.65
739,זרוע,misuli,nouns,0.85
740,עמוס,mzito,adjectives,1.55
741,לחשוד,kushukia,verbs,0.4
742,מטומטם,wa upuzi,adjectives,4.65
743,סל,mpira,nouns,0.65
744,חיישן,sensa,nouns,0.7
745,ברצינות,kwa umakini,adverbs,2.65
746,לעזוב,kufika,verbs,0.5
747,עצום,mpumbavu,adjectives,0.1
748,אסטרטג,mkakati,nouns,2.9
749,אזור,eneo,nouns,4.68
750,נוזל,majimaji,nouns,0.45
751,מבצע,mwigizaji,nouns,0.65
752,לשכוח,kukumbusha,verbs,0.55
753,מזכירה,mwanamke,nouns,1.0
754,חשוף,haijafunikwa,adjectives,0.6
755,שומר,mwanaume,nouns,0.65
756,ניקוד,alama,nouns,0.55
757,זהה,sawa,adjectives,4.3
758,לגדל,kulea,verbs,0.0
759,חורף,msimu,nouns,2.3
760,מטבח,bafu,nouns,0.85
761,להרוס,kutengeneza,verbs,0.55
762,בלתי אפשרי,kutowekana,adjectives,0.6
763,לאחרונה,hivi karibuni,adverbs,0.1
764,קפיצה,kuruka,nouns,0.35
765,מוזיקה,muziki,nouns,1.2
766,מועמד,mwombaji,nouns,2.35
767,חרב,panga,nouns,0.0
768,למכור,kwenda,verbs,0.05
769,חלון,kifundo cha mguu,nouns,0.0
770,פינה,eneo,nouns,0.9
771,שקרן,danganyifu,adjectives,0.55
772,לקבל,kuamini,verbs,1.8
773,עצבני,kuoga,adjectives,0.15
774,עכשיו,sasahivi,adverbs,2.2
775,שחקן כדורת,bowler,nouns,2.7
776,היעדרות,kuwepo,nouns,0.65
777,בקבוק,chombo,nouns,0.6
778,לשמור,kukinga,verbs,4.45
779,לוחם,mwanaume,nouns,1.35
780,לריב,pigana,verbs,0.75
781,בעצב,kwa huzuni,adverbs,1.0
782,חילוניות,mwanaisilamu,nouns,1.45
783,פתולוגיה,stadi ya magonjwa,nouns,2.55
784,בענווה,kwa unyenyekevu,adverbs,0.5
785,באופן מציאותי,kihalisia,adverbs,0.85
786,ריאה,ini,nouns,0.9
787,צנוע,nyenyekevu,adjectives,5.4
788,הססני,kuwa yumba,adjectives,0.7
789,לשפוט,hakimu,verbs,0.7
790,בעוני,kwa ubaya,adverbs,0.25
791,מסורת,utamaduni,nouns,0.55
792,חומצה,asidi,nouns,0.85
793,סביבה,mazingira,nouns,0.0
794,פרפר,kipepeo,nouns,0.3
795,לרכוש,kuchukua,verbs,1.25
796,באופן חריג,sio kawaida,adverbs,4.65
797,חצוף,jeuri,adjectives,0.38
798,מנצח,uwepo,nouns,0.05
799,קל,pole,adjectives,0.65
800,טריק,saizi,nouns,0.0
801,גורד שחקים,maghorofa,nouns,2.2
802,עומק,ukubwa,nouns,1.4
803,רציני,makini,adjectives,0.45
804,התעמלות,mazoezi,nouns,0.65
805,לפגוש,kupatana,verbs,0.35
806,סרט,filamu,nouns,4.0
807,רגיל,mara kwa mara,adjectives,0.05
808,לקבל,kupokea,verbs,2.0
809,באופן יצירתי,kiubunifu,adverbs,1.0
810,אינץ',mita,nouns,2.05
811,זמר,mtaalamu wa sauti,nouns,0.2
812,להתחיל,kuacha,verbs,0.55
813,ארכיבישוף,askofu,nouns,3.8
814,תפוח,sosi,nouns,0.4
815,בעצם,kimsingi,adverbs,0.4
816,גדול,mkubwa sana,adjectives,3.9
817,מזג,daktari,nouns,0.0
818,מכונית,njia kuu,nouns,0.95
819,סימן,alama,nouns,4.3
820,וריד,chaguo,nouns,0.05
821,פרח,imani,nouns,0.05
822,שור,ndama,nouns,2.4
823,הברה,silabu,nouns,0.9
824,הנהלה,panya,nouns,0.0
825,שיפוע,benki,nouns,0.05
826,לעצור,kusimamisha,verbs,1.43
827,קל,ngumu,adjectives,0.7
828,היסטריה,ghasia,nouns,1.0
829,להעציב,kuhuzunika,verbs,0.6
830,לספוג,kulowesha,verbs,0.25
831,נשיא,kamera,nouns,0.05
832,חשוב,kwa umuhimu,adverbs,0.3
833,לפגוע,kukashifu,verbs,3.45
834,נפלא,maridadi,adjectives,1.15
835,רכילות,habari,nouns,1.65
836,משעמם,boreka,adjectives,1.6
837,מילון,kamusi,nouns,2.55
838,שיכור,mlevi,adjectives,0.5
839,שלג,theluji,nouns,2.5
840,דיכאון,huzuni,nouns,0.0
841,המטולוגיה,hematolojia,nouns,2.55
842,אמא,mke,nouns,2.6
843,זרוע,shingo,nouns,0.75
844,להקשיב,kutii,verbs,2.45
845,אחווה,mlango,nouns,0.0
846,להשאיל,kuuza,verbs,0.7
847,לבכות,kulia,verbs,2.8
848,לרכב,endesha,verbs,0.4
849,חבילה,furushi,nouns,0.35
850,מסע,mwendo,nouns,3.85
851,מרק,chakula cha usiku,nouns,1.1
852,אל,windo,nouns,0.05
853,חדר שינה,baisikeli,nouns,0.15
854,מצעד,bendi,nouns,1.95
855,להזכיר,kuuza,verbs,0.0
856,משולב,iliyojumuishwa,adjectives,2.8
857,לנבוע,kugundua,verbs,0.45
858,לשלוח,kuhudhuria,verbs,0.45
859,להצדיע,kutoa heshima,verbs,0.35
860,חזה,mwili,nouns,1.75
861,חדר שינה,kitanda,nouns,1.35
862,בגאווה,kwa jeuri,adverbs,0.3
863,צמיגות,mnato,nouns,0.25
864,מוזר,mwerevu,adjectives,0.35
865,דיונה,dune,nouns,2.15
866,אנשים,sherehe,nouns,0.95
867,ביטוי,neno,nouns,2.5
868,בעדינות,kwa utaratibu,adverbs,0.15
869,מעסיק,mfanyakazi,nouns,1.05
870,כינור,chombo,nouns,1.6
871,מודעות,uangalifu,nouns,1.05
872,מחשב,kompyuta,nouns,2.7
873,שעועית,nyama ya nguruwe,nouns,0.6
874,מידה,ukubwa,nouns,4.45
875,מעלית,sanduku,nouns,0.3
876,מוכר,inayojulikana,adjectives,0.4
877,לקבור,kuzika,verbs,2.65
878,עושר,umaarufu,nouns,0.95
879,אבא,mtoto wa kike,nouns,0.8
880,בוהן,kidole cha mkono,nouns,2.15
881,להתדרדר,kuzorota,verbs,0.0
882,לשחוק,kumomonyoka,verbs,0.15
883,לילה,alfajiri,nouns,0.8
884,איבר,figo,nouns,2.25
885,טוב,salama,adjectives,0.4
886,מנצח,mwanaume,nouns,0.4
887,סילבוס,mtaala,nouns,0.65
888,מוזיאון,jumba la makumbusho,nouns,0.2
889,ספר,makala,nouns,1.6
890,דוכס,mjuzi,nouns,0.45
891,אופניים,gari,nouns,1.35
892,לצוד,kuwinda,verbs,2.65
893,ענק,mkubwa,adjectives,3.9
894,קל,rahisi,adjectives,0.55
895,להחזיק,kufyonza,verbs,0.15
896,טרף,mungu,nouns,0.05
897,להבין,kusamehe,verbs,0.7
898,נקי,safi,adjectives,0.65
899,מידע,gazeti,nouns,1.8
900,כיסא,sofa,nouns,2.9
901,איריס,boriti,nouns,0.3
902,סירה,mota,nouns,1.65
903,אנשים,puto,nouns,0.1
904,קשה,bila jasho,adjectives,0.45
905,אחר,wengine,adjectives,0.3
906,ללכת,kutuma,verbs,0.4
907,טיפול,tiba,nouns,0.8
908,בזהירות,kwa utaratibu,adverbs,0.45
909,בוודאי,ni wazi,adverbs,0.2
910,לשיר,kuimba,verbs,0.35
911,מטרה,mshale,nouns,1.1
912,גאה,kujivunia,adjectives,0.25
913,מדביר,dawa ya wadudu,nouns,1.0
914,יד,kidole gumba,nouns,1.6
915,למחול,kusamehe,verbs,5.4
916,מכונית,gari la farasi,nouns,1.5
917,ארוע,tukio,nouns,0.85
918,לדעת,kuamini,verbs,0.85
919,בקר,kondoo,nouns,2.95
920,טלסקופ,darubini,nouns,0.0
921,סלט,mpangilio wa chakula,nouns,0.95
922,שליט,mtawala,nouns,4.5
923,עצם,mkono,nouns,0.95
924,לאסוף,kukusanya,verbs,2.05
925,לשרוף,kuunguza,verbs,0.35
926,לנחם,kufaraja,verbs,0.35
927,סנט,saizi,nouns,0.15
928,עץ,mbao,nouns,0.15
929,חורף,msimu wa joto,nouns,0.85
930,לדאוג,kuwa na wasiwasi,verbs,0.1
931,איחוד,umoja,nouns,2.15
932,טלפון,simu,nouns,2.23
933,שד,jini,nouns,0.45
934,בודד,mpweke,adjectives,1.7
935,פלנטה,mwezi,nouns,1.6
936,למסור,kubeba,verbs,0.8
937,שחקן,mwimbaji,nouns,1.15
938,דלת,lango,nouns,4.7
939,באופן אחיד,sawa,adverbs,0.25
940,לדכא,kukatisha tamaa,verbs,0.8
941,בחוזקה,kwa nguvu,adverbs,0.0
942,חרות,kujitawala,nouns,4.95
943,הורה,mtu mzima,nouns,2.3
944,חלק,kipande,nouns,0.1
945,שחקן,mchezaji wa kike,nouns,3.7
946,לשאת,kuchukua,verbs,2.55
947,לשמור,kushindwa,verbs,0.35
948,צמד,vitu viwili,nouns,5.7
949,פחמימה,wanga,nouns,1.7
950,לשאת,kuleta,verbs,2.15
951,תקשורת,televisheni,nouns,1.7
952,גבעה,jabali,nouns,2.65
953,טלפון סלולרי,simu ya mkononi,nouns,4.3
954,לדחות,kuhairisha,verbs,1.0
955,אדם,mnyama,nouns,0.95
956,סוודר,fulana,nouns,0.75
957,אבן,jiwe,nouns,0.4
958,תאונה,ajali,nouns,0.0
959,רצפה,dari,nouns,0.7
960,אסטרונום,mtaalam wa nyota,nouns,0.75
961,דירה,nyumba,nouns,4.15
962,בקוצר רוח,bila subira,adverbs,0.15
963,לחוב,kukopesha,verbs,1.1
964,רעיון,picha,nouns,1.0
965,גאה,kujivunia,adjectives,0.1
966,ביצה,ziwa,nouns,2.1
967,לבחוש,kukoroga,verbs,5.15
968,לקנות,kuiba,verbs,0.35
969,להיכשל,kukanya,verbs,0.3
970,מילה,kamusi,nouns,1.8
971,להתחנן,kusihi,verbs,4.75
972,מסך,kiwambo,nouns,0.3
973,הערה,noti,nouns,0.55
974,בייסבול,kochi,nouns,0.1
975,בגדים,kifungo,nouns,0.95
976,להנות,kuburudisha,verbs,2.3
977,שיעורי בית,kazi ya ziada,nouns,1.0
978,לב,upasuaji,nouns,0.75
979,בערך,takribani,adverbs,0.7
980,לחבוט,kukupiga ngumi,verbs,0.4
981,מצחיק,inayochekesha,adjectives,0.45
982,אכזרי,mwema,adjectives,0.45
983,באופן לא סדיר,isivyo kawaida,adverbs,0.45
984,סיר,kifaa,nouns,0.8
985,מפתח,kifunguo,nouns,0.0
986,ציור,mchoro,nouns,0.1
987,ברצינות,kwa umakini,adverbs,0.7
988,לטגן,kaanga,verbs,1.35
989,לעצור,kuacha,verbs,0.35
990,קש,mke,nouns,0.1
991,למצוא,kupata,verbs,0.4
992,גדול,kubwa,adjectives,0.4
993,להחליט,kuamua,verbs,2.25
994,עוזר,mwalimu,nouns,1.1
995,פגישה,kikao,nouns,0.55
996,מקצוע,chuo,nouns,0.95
997,לתאר,kujulisha,verbs,1.5
998,לגלות,kutokana,verbs,0.45
999,קהה,mkali,adjectives,0.85
1000,אישה,mwanamke,nouns,0.3
1001,צנוע,pole,adjectives,0.65
1002,לאחד,kuunganisha,verbs,0.65
1003,דוקטור,mtaalamu wa meno,nouns,5.2
1004,טרי,mzee,adjectives,0.55
1005,רובוטיקה,roboti,nouns,0.6
1006,עכבר,paka,nouns,0.9
1007,טקסט,kitabu,nouns,3.1
1008,להגיע,kutuma,verbs,0.45
1009,זמר,mchezaji,nouns,1.15
1010,איבר,ini,nouns,2.0
1011,שד,pepo,nouns,0.8
1012,נפש,akili,nouns,1.1
1013,עץ,mpera,nouns,2.85
1014,אוויר,molekuli,nouns,1.0
1015,שקופית,teleza,nouns,0.2
1016,בבגרות,kwa utu uzima,adverbs,0.8
1017,עוגן,boti,nouns,1.2
1018,לרכוש,kutafuta,verbs,1.0
1019,המשך,mwendelezo,nouns,0.0
1020,לדרוש,kutafiti,verbs,0.6
1021,מכונית,geji,nouns,0.45
1022,צינור,gari,nouns,0.25
1023,משעמם,kuboreka,adjectives,0.6
1024,עיירה,mji,nouns,4.05
1025,לאבד,kutafuta,verbs,0.6
1026,להחזיק,kubakisha,verbs,2.45
1027,ראש,rais,nouns,1.35
1028,לציית,kutenda,verbs,1.5
1029,להפריד,kutenganisha,verbs,0.5
1030,לתפוס,kudaka,verbs,0.5
1031,לספוג,kutoa,verbs,1.0
1032,להטריח,kusumbua,verbs,0.88
1033,באמת,kweli,adverbs,1.2
1034,אשמה,kosa,nouns,0.2
1035,סולמית,reli,nouns,0.2
1036,נושא,mada,nouns,0.2
1037,קרסול,kiwiko,nouns,1.3
1038,אטמוספירה,hali ya anga,nouns,3.1
1039,גיטרה,ngoma,nouns,2.3
1040,להחזיק,kuchukua,verbs,1.5
1041,הלילה,leo usiku,adverbs,0.55
1042,מתרגם,mtafsiri,nouns,0.3
1043,מחבר,muumbaji,nouns,3.15
1044,להסתכל,kuangalia,verbs,2.3
1045,חיה,mtu,nouns,0.95
1046,וויסקי,shampeni,nouns,2.9
1047,עט,kalamu,nouns,0.4
1048,פרקליט,mfanyakazi wa benki,nouns,0.85
1049,כתף,mkono,nouns,2.0
1050,חשוד,mshukiwa,nouns,0.4
1051,מוזר,ya kushangaza,adjectives,0.6
1052,זול,mchafu,adjectives,0.45
1053,פוטופון,picha,nouns,0.5
1054,לשתות,kunywa,verbs,2.2
1055,מזוייף,feki,adjectives,0.6
1056,חמאה,kiazi,nouns,0.6
1057,כן,ana hatia,adjectives,0.4
1058,שמח,ana hasira,adjectives,0.5
1059,מנוע,injini,nouns,5.4
1060,לפגוע,uma,verbs,0.6
1061,מעולה,wa kutisha,adjectives,0.45
1062,בצורה יפה,kwa uzuri,adverbs,3.55
1063,רהיט,fleti,nouns,0.55
1064,תרנגולת,chakula cha usiku,nouns,0.65
1065,אישה,sekretari,nouns,1.0
1066,נורמלי,si wa kawaida,adjectives,0.65
1067,מעורפל,isiyo dhahiri,adjectives,4.1
1068,סכנה,ugonjwa,nouns,0.95
1069,בצדקנות,kwa ,adverbs,0.25
1070,ציפורן,kichwa,nouns,0.45
1071,סיפון,boti,nouns,1.05
1072,מודרני,wa kale,adjectives,0.55
1073,ראש,bega,nouns,1.1
1074,להכריע,kuzidiwa,verbs,0.25
1075,עובדה,ushahidi,nouns,1.6
1076,זול,rahisi,adjectives,2.55
1077,גשם,mvua,nouns,3.25
1078,באופטימיות,kwa matuamini,adverbs,1.0
1079,רפובליקה,jamhuri,nouns,0.45
1080,להצטרף,kujipatia,verbs,0.2
1081,לחקור,kugundua,verbs,2.65
1082,להרוס,kuumba,verbs,0.55
1083,עצב,mwili,nouns,0.9
1084,בטן,mwili,nouns,1.35
1085,ספרה,tarakimu,nouns,0.25
1086,בינוני,mtumba,adjectives,0.55
1087,להוסיף,kujiunga,verbs,0.9
1088,מים,barafu,nouns,2.5
1089,סופת שלגים,theluji kali,nouns,1.05
1090,להופיע,kuondoka,verbs,0.7
1091,עליז,mwenye furaha,adjectives,5.05
1092,לארגן,kuandaa,verbs,4.5
1093,וריד,mkono,nouns,0.8
1094,חדר,kitanda,nouns,0.7
1095,עריסה,mlazi,nouns,3.7
1096,קדוש,mkosaji,nouns,0.5
1097,מילון,neno,nouns,1.8
1098,ספינת מלחמה,manowari,nouns,5.5
1099,נהדר,kubwa,adjectives,0.75
1100,גדול,mkubwa mno,adjectives,5.3
1101,שער,mlango,nouns,4.7
1102,בחירה,oni,nouns,1.45
1103,ים,ufuko,nouns,2.45
1104,לקלוט,kufahamu,verbs,3.9
1105,שיעור,kiwango,nouns,1.15
1106,רב,mchungaji,nouns,0.9
1107,בערך,kwa kukadiria,adverbs,0.4
1108,נהג,rubani,nouns,2.4
1109,עפרון,penseli,nouns,0.3
1110,זר,mgeni,nouns,0.3
1111,לחטוף,kuteka nyara,verbs,2.2
1112,מוגן,lindwa,adjectives,0.1
1113,חד,mbutu,adjectives,0.85
1114,לחוב,kuingia,verbs,0.0
1115,שמש,anga,nouns,1.25
1116,עצם,kiwiko,nouns,1.1
1117,לסדר,panga,verbs,2.05
1118,בוקר,mchana,nouns,1.45
1119,שלילי,hasi,adjectives,1.05
1120,להרתיח,kuchemsha,verbs,1.35
1121,חיידק,vijidudu,nouns,2.7
1122,פעולה,uendeshaji,nouns,0.5
1123,לטעון,kutofautiana,verbs,2.85
1124,מסטיק,fizi,nouns,0.6
1125,לדחוף,kusukuma,verbs,0.2
1126,אמבטיה,mbinu,nouns,0.0
1127,לוחמנות,ubishani,nouns,3.6
1128,לשטוף,kusuuza,verbs,4.75
1129,לעזוב,kujitokeza,verbs,0.7
1130,כסף,lulu,nouns,0.45
1131,לחנך,kuelimisha,verbs,4.7
1132,אופרה,opera,nouns,1.65
1133,חוף,bahari,nouns,2.45
1134,גמיש,mkubwa sana,adjectives,0.25
1135,מלכה,nyuki,nouns,0.7
1136,שטיח,nyumba,nouns,0.6
1137,למסור,kukubali,verbs,0.5
1138,מסכן,masikini,adjectives,1.7
1139,להישאר,kubaki,verbs,2.05
1140,לאפות,kuoka,verbs,1.9
1141,ברית מילה,tohara,nouns,1.8
1142, לנער,kutikisa,verbs,2.4
1143,לסגת,kukataa,verbs,0.25
1144,קשוח,mkorofi,adjectives,1.2
1145,שר,rabai,nouns,0.9
1146,מיץ,maziwa,nouns,1.05
1147,זהב,dhahabu,nouns,1.35
1148,לעזוב,kupuuza,verbs,0.55
1149,רשמית,rasmi,adverbs,0.35
1150,אמבטיה,jiko,nouns,0.85
1151,הלילה,usiku huu,adverbs,1.4
1152,לתסכל,kufadhaisha,verbs,2.4
1153,טיפש,mpumbavu,adjectives,4.6
1154,להסוות,kuficha,verbs,3.05
1155,חתן,bibi arusi,nouns,1.15
1156,תחזית,utabiri,nouns,0.8
1157,לברך,kukutana,verbs,0.85
1158,גוף,bega,nouns,1.15
1159,פיכח,kutolewa,adjectives,0.5
1160,קבר,kaburi,nouns,1.5
1161,כביש,barabara,nouns,4.6
1162,עצרת,mkutano,nouns,4.8
1163,לנשל,kukataliwa,verbs,1.3
1164,מדינה,nyumba,nouns,0.75
1165,להשאיר,enda,verbs,0.75
1166,רע,poa,adjectives,0.5
1167,מספר,nambari,nouns,5.4
1168,קתדרלה,kanisa kuu,nouns,4.25
1169,טהור,safi,adjectives,0.6
1170,אוכל,chakula,nouns,0.25
1171,ישר,enye ukweli,adjectives,0.55
1172,אינטליגנציה,mantiki,nouns,2.8
1173,סיפור,hadithi,nouns,0.3
1174,לפעמים,muda mwingine,adverbs,0.15
1175,להופיע,kuhudhuria,verbs,3.8
1176,לציית,kutii,verbs,0.4
1177,גברים,undugu,nouns,0.9
1178,ביקורתי,muhimu,adjectives,0.5
1179,לערבב,kuchanganya,verbs,0.45
1180,מכונית,daraja,nouns,0.45
1181,טוב,sawa,adjectives,0.95
1182,שמחה,amani,nouns,1.05
1183,כוכב,nyota,nouns,3.17
1184,להרהר,kuwaza,verbs,5.2
1185,חרב,sime,nouns,0.3
1186,תרנגולת,ndege,nouns,2.65
1187,בוודאי,kwa hakika,adverbs,5.05
1188,עץ,mti,nouns,0.55
1189,לעקל,kukuifungia,verbs,0.1
1190,שונה,wa kawaida,adjectives,0.5
1191,דוקטור,tabia,nouns,0.0
1192,אבא,mzazi,nouns,3.8
1193,עצום,mkubwa sana,adjectives,5.3
1194,תרבות,utamaduni,nouns,1.55
1195,ספר,mada,nouns,0.55
1196,לברר,kuwaza,verbs,0.8
1197,כיכר,mraba,nouns,0.45
1198,מחנה,kibanda,nouns,0.9
1199,כומר,mtawa,nouns,3.25
1200,בכנות,kwa ukweli,adverbs,0.38
1201,להיכנס,kuondoka,verbs,0.5
1202,חלש,dhaifu,adjectives,0.1
1203,סרטן,maradhi,nouns,2.95
1204,לדשדש,kuchanganya,verbs,0.4
1205,חיל הים,jeshi la wanamaji,nouns,0.2
1206,יד,mguu,nouns,1.05
1207,קבורה מחדש,zika upya,nouns,1.5
1208,תחבולן,mweka mipango,nouns,2.9
1209,זיהום,angahewa,nouns,0.4
1210,קרדיגן,fulana,nouns,1.9
1211,לחנוק,kupumua,verbs,0.55
1212,חדר,kuoga,nouns,0.7
1213,לספוג,kumiliki,verbs,0.15
1214,עייף,choka,adjectives,0.45
1215,מורה,mkufunzi,nouns,4.05
1216,לחמניה,biskuti,nouns,0.0
1217,חרק,nyuki,nouns,2.1
1218,גבר,mjomba,nouns,2.0
1219,עגל,fahali,nouns,2.4
1220,אחרי,baada ya,adverbs,0.55
1221,טיעון,ukosoaji,nouns,1.15
1222,ילד,patna,nouns,0.55
1223,ריקוד,densi,nouns,0.35
1224,סטודנט,profesa,nouns,0.9
1225,בטן,mshipa,nouns,0.5
1226,אל,padri,nouns,0.9
1227,לבקר,kupinga,verbs,0.3
1228,משרת,mtumishi,nouns,3.8
1229,שיעור,darasa,nouns,0.1
1230,להיפצע,kuumia,verbs,1.0
1231,להדפיס,kuchapisha,verbs,0.1
1232,ענן,mvuke,nouns,2.2
1233,לחלוטין,kwa uzima,adverbs,0.55
1234,מבולגן,chafu,adjectives,0.9
1235,כובע,koti,nouns,0.8
1236,מחר,kesho,adverbs,0.55
1237,עוצמה,nguvu,nouns,4.15
1238,להרוג,kukinga,verbs,0.45
1239,סאטירה,satire,nouns,1.75
1240,לסרב,kukataa,verbs,0.55
1241,שריר,mkono,nouns,0.85
1242,מזג אוויר,hali ya hewa,nouns,0.7
1243,צפון,kusini,nouns,0.8
1244,לשקר,kudanganya,verbs,0.55
1245,המון,umati,nouns,4.3
1246,חור,mke,nouns,0.0
1247,חוקה,katiba,nouns,0.68
1248,סירה,sitaha,nouns,1.05
1249,לשחרר,kukutolewa,verbs,0.5
1250,גשם,mvua,nouns,1.05
1251,שיניים,meno,nouns,0.0
1252,צמא,kua na kiu,adjectives,0.95
1253,מיקרוסקופ,darubini,nouns,0.8
1254,להביא,kurudisha,verbs,1.25
1255,גודל,kina,nouns,1.4
1256,קצף,puto,nouns,1.85
1257,טחב,nyasi,nouns,1.65
1258,עץ,karatasi,nouns,0.85
1259,משוגע,ana kichaa,adjectives,5.3
1260,בלתי נסלח,haionekani,adjectives,0.1
1261,תזמורת,gwaride,nouns,1.95
1262,מרפאה,kitanda,nouns,0.7
1263,קופסה,sigara,nouns,0.35
1264,פנינה,hela,nouns,0.45
1265,מילה,ishara,nouns,0.55
1266,לרצות,kuchagua,verbs,1.05
1267,בעיקר,haswa,adverbs,0.1
1268,גרף,jedwali,nouns,3.85
1269,אצטילכולין,acetylcholine,nouns,0.3
1270,תיבה,kesi,nouns,0.2
1271,רעב,kua na njaa ,adjectives,0.95
1272,מהיר,wa kasi,adjectives,4.9
1273,באלגנטיות,kwa ufasaha,adverbs,1.9
1274,באופן מוזר,kiajabu,adverbs,0.5
1275,לכפול,kujumlisha,verbs,1.0
1276,חשבון,mantiki,nouns,0.75
1277,סוציוביולוגיה,jamii,nouns,0.4
1278,להעניש,kuadhibu,verbs,1.43
1279,להכות,piga,verbs,0.8
1280,חיפוש,lengo,nouns,0.75
1281,מורה,mwalimu,nouns,1.3
1282,בבגרות,kiukomavu,adverbs,0.25
1283,כבד,mkubwa,adjectives,1.75
1284,פרלמנט,bunge,nouns,3.35
1285,ציטופלזמה,cytoplasm,nouns,0.25
1286,קרושה,krocheti,nouns,0.15
1287,נהר,bonde,nouns,0.85
1288,פעם אחת,mara moja,adverbs,1.15
1289,רופא,mtaalamu wa meno,nouns,2.65
1290,לשתות,kunywa,verbs,0.45
1291,גוף,neva,nouns,0.9
1292,גלריה,nyumba ya sanaa,nouns,0.0
1293,בטוח,salama,adjectives,0.5
1294,לסיים,kumaliza,verbs,1.03
1295,פגיע,walio hatarini,adjectives,0.1
1296,חדש,ya zamani,adjectives,0.55
1297,צונאמי,sunami,nouns,1.05
1298,אלפבית,alphabeti,nouns,0.4
1299,בולט,wazi,adjectives,2.8
1300,קל,imara,adjectives,0.55
1301,נביא,nabii,nouns,2.45
1302,ארמון,jumba la kubwa,nouns,2.2
1303,שסתום,pistoni,nouns,1.55
1304,ארוך,mfupi,adjectives,0.55
1305,שארית,baki,nouns,1.05
1306,כדור,mavazi,nouns,0.25
1307,בית,fleti,nouns,4.15
1308,גבול,mpaka,nouns,4.2
1309,גמור,malizika,adjectives,2.95
1310,רגל,mguu,nouns,0.25
1311,צריף,makao,nouns,1.2
1312,משרד,ofisi,nouns,0.9
1313,משוגע,mgonjwa,adjectives,0.8
1314,ערפל,wingu,nouns,2.67
1315,כותנה,plastiki,nouns,0.75
1316,בעדינות,kwa uangalifu,adverbs,0.0
1317,לגיון,jeshi,nouns,3.2
1318,משורר,mshairi,nouns,1.0
1319,לחשוב,kuamua,verbs,1.45
1320,גבר,baba,nouns,2.85
1321,אשראי,mkopo,nouns,1.25
1322,לגחך,kukenua,verbs,3.85
1323,טופולוגיה,upangilio,nouns,3.05
1324,ללכת,kuruhusu,verbs,0.05
1325,עסק,kampuni,nouns,2.85
1326,גאוני,mwenye akili,adjectives,0.75
1327,שוקולד,keki,nouns,0.95
1328,במרץ,kwa uhai,adverbs,0.25
1329,לסמוך,tegemea,verbs,0.25
1330,להתגבר,kutawala,verbs,1.0
1331,לדבר,kusikia,verbs,0.7
1332,להשאיר,kupata,verbs,0.45
1333,בבטחה,kwa kujiamini,adverbs,0.5
1334,משכורת,ada,nouns,0.65
1335,להופיע,kutumbuiza,verbs,0.35
1336,מסכן,maskini,adjectives,0.1
1337,חלום,ndoto,nouns,0.45
1338,צנוע,mnyenyekevu,adjectives,0.6
1339,חול,mchanga,nouns,0.25
1340,להביא,kuja,verbs,0.6
