ID,CMN,YUE,PoS,score
791,牛仔裤,女人,nouns,0.14
792,伞,暖爐,nouns,0.09
793,情人,伴侶,nouns,4.81
794,书,文學,nouns,2.5
795,徽章,尊嚴,nouns,0.28
796,忘记,提醒,verbs,0.22
797,枪,黎明,nouns,0.0
798,晚餐,雞,nouns,0.27
799,偷,給,verbs,0.22
800,正牙医生,牙醫,nouns,4.37
801,错误,精確,adjectives,0.23
802,走廊,門,nouns,0.36
803,突变体,社會生物學,nouns,0.36
804,风,颮,nouns,2.77
805,肾,器官,nouns,3.91
806,失败,成功,verbs,0.18
807,幸运,慚愧,adjectives,0.09
808,减肥,沙拉,nouns,0.55
809,通常,真誠地,adverbs,0.23
810,电视,演員,nouns,0.78
811,同意,接受,verbs,3.87
812,暴力,柔軟,adjectives,0.0
813,书,文章,nouns,3.91
814,进入,欠,verbs,0.0
815,插图,起泡,nouns,0.04
816,弱,辣,adjectives,0.04
817,床,睡房,nouns,1.14
818,淋透,减少,verbs,0.04
819,卧室,肚,nouns,0.04
820,团结,結婚,verbs,0.59
821,作业,便條,nouns,0.45
822,获得,收割,verbs,1.91
823,分界线,國境,nouns,3.46
824,布料,衣服,nouns,1.9
825,毛,槍,nouns,0.04
826,罪人,聖,nouns,0.09
827,电梯,盒子,nouns,0.04
828,毁灭,做,verbs,0.23
829,孤独,貧窮,adjectives,0.14
830,平庸,壞,adjectives,0.04
831,打招呼,見面,verbs,0.69
832,球状物,球,nouns,3.91
833,控制,停止,verbs,0.41
834,尖,溫和,adjectives,0.0
835,谴责,拒絕,verbs,0.14
836,毛,貂,nouns,0.55
837,忘记,學習,verbs,0.04
838,祈祷,溝通,verbs,0.46
839,孩子气,傻,adjectives,2.68
840,本来,創造性地,adverbs,0.09
841,聪慧,笨,adjectives,0.36
842,需求,訓斥,verbs,0.09
843,管弦乐队,樂隊,nouns,3.78
844,电脑,磁盘,nouns,0.91
845,极好,瘋狂,adjectives,0.18
846,疯,瘋狂,adjectives,5.27
847,破产,失敗,nouns,1.0
848,原谅,忘記,verbs,0.32
849,苍蝇,螞蟻,nouns,0.73
850,接受,運送,verbs,0.0
851,大小,量,nouns,2.91
852,留,得到,verbs,0.59
853,朋友,夥伴,nouns,4.13
854,无政府,混亂,nouns,3.04
855,接受,拒絕,verbs,0.45
856,家俱,床,nouns,3.14
857,瞄准,打中,verbs,1.5
858,分子,原子,nouns,2.36
859,基底,底部,nouns,3.31
860,某些,緊張,adjectives,0.04
861,多面体,演員,nouns,0.28
862,监护人,母親,nouns,3.0
863,成功,節約,verbs,0.18
864,犯罪,違反,nouns,3.36
865,和蔼,残酷,adjectives,0.0
866,甘蔗,聯合,nouns,0.0
867,一对,情侶,nouns,3.22
868,做,賺,verbs,0.18
869,发生,做,verbs,0.09
870,滴,倒,verbs,0.73
871,笨,巨大,adjectives,0.14
872,岩石,礦,nouns,1.36
873,任务,作業,nouns,2.46
874,轻松,強調,adjectives,0.18
875,沐浴,原木,nouns,0.0
876,探索,發現,verbs,2.77
877,放,給,verbs,0.46
878,射线,陽光,nouns,0.96
879,谢绝,拒絕,verbs,4.13
880,领导,經理,nouns,2.5
881,电影,電視,nouns,2.63
882,短小,矬小,adjectives,3.19
883,脖子,骨頭,nouns,0.36
884,參加,離開,verbs,0.18
885,掩盖,埋葬,verbs,2.45
886,无助,脆弱,adjectives,1.91
887,神经,腸子,nouns,0.23
888,生日,日期,nouns,1.68
889,玩具,立方體,nouns,0.18
890,百科全书,字典,nouns,2.09
891,植物,農業,nouns,1.04
892,状态,情況,nouns,3.68
893,电视,編劇,nouns,0.69
894,创建,畫,verbs,0.32
895,猛烈地,可悲的是,adverbs,0.14
896,肚子,睡房,nouns,0.04
897,镜片,相機,nouns,0.64
898,成为,出現,verbs,0.32
899,读,咬,verbs,0.09
900,丰富,許多,nouns,3.91
901,情感,心情,nouns,3.18
902,火山,岩漿,nouns,1.69
903,皮炎,濕疹,nouns,3.59
904,脏,非常好,adjectives,0.0
905,阵列,名單,nouns,0.91
906,征服,旅程,nouns,0.32
907,瘦,狹窄,adjectives,1.0
908,容器,瓶子,nouns,3.09
909,负责可靠地,獨立地,adverbs,1.18
910,最佳,第五,adjectives,0.14
911,门,存在,nouns,0.0
912,农业,植物,nouns,1.04
913,美人,年齡,nouns,0.22
914,球,手套,nouns,0.18
915,洗手间,睡房,nouns,0.5
916,章,尾巴,nouns,0.04
917,减少,降低,verbs,3.73
918,紧紧,堅固地,adverbs,3.23
919,协议,契約,nouns,4.18
920,靠不住的,狡詐,adjectives,2.41
921,偏压,意見,nouns,0.18
922,狭窄,白色,adjectives,0.18
923,鼠,老鼠,nouns,5.23
924,道德,傳說,nouns,0.04
925,羊,牛,nouns,1.64
926,争论,討論,nouns,3.69
927,攻击,加劇,verbs,0.22
928,星期,週末,nouns,2.54
929,穿,撕開,verbs,0.09
930,加入,加,verbs,3.69
931,安全地,小心地,adverbs,2.87
932,评论说,批評,verbs,2.23
933,瘦,苗條,adjectives,4.63
934,马,小馬,nouns,3.45
935,鸵鸟,果園,nouns,0.0
936,算术,邏輯,nouns,2.32
937,化学,理論,nouns,0.5
938,赞成,准許,verbs,3.59
939,可靠地,大致,adverbs,0.32
940,书,故事,nouns,2.77
941,珍贵,神聖,adjectives,1.31
942,金,鋅,nouns,1.54
943,剑,環境,nouns,0.18
944,尾巴,懸崖,nouns,0.04
945,花朵,紫羅蘭,nouns,3.54
946,机械地,理想地,adverbs,0.27
947,不准确地,精確地,adverbs,0.22
948,迅速,快,adjectives,5.2
949,手,手腕,nouns,2.73
950,杂乱无章,井井有條,verbs,0.22
951,地震,震,nouns,3.87
952,军团,軍隊,nouns,3.91
953,小行星,星,nouns,3.59
954,保龄球选手,保齡球,nouns,1.41
955,棒球,兄弟會,nouns,0.14
956,男孩,合作夥伴,nouns,0.5
957,土豆,牛油,nouns,0.18
958,听见,聽,verbs,4.13
959,法律,學校,nouns,0.36
960,静脉,選擇,nouns,0.09
961,拥抱,保持,verbs,0.0
962,暴力,被動,adjectives,0.04
963,脚,頭,nouns,0.23
964,湖,雲,nouns,0.22
965,分解,因式分解,nouns,2.87
966,充电器,磁盤,nouns,0.04
967,屋,穀倉,nouns,0.64
968,流体,噴嘴,nouns,0.14
969,大厅,走道,nouns,0.14
970,啤酒,飲品,nouns,2.41
971,检查,檢查,verbs,5.0
972,旅程,旅行,nouns,4.5
973,得到,購買,verbs,0.41
974,向量,矩陣,nouns,0.82
975,屋,地毯,nouns,0.27
976,勺子,杯子,nouns,0.55
977,旗,杆,nouns,1.0
978,小学生,總統,nouns,0.04
979,小圆盾,屏蔽,nouns,0.32
980,强烈地,正式,adverbs,0.64
981,糖果,肉桂,nouns,0.27
982,真实地,完美地,adverbs,0.32
983,旅行,走,verbs,0.59
984,昂贵,害羞,adjectives,0.0
985,纯,謙虛,adjectives,0.59
986,脑,神經,nouns,1.46
987,倾向,偏見,verbs,2.86
988,帽子,大褸,nouns,0.81
989,举起,提高,verbs,3.14
990,哭泣,哭,verbs,5.68
991,饥饿,渴,adjectives,1.96
992,操纵杆,雷達,nouns,0.14
993,面包,芝士,nouns,0.41
994,愉快,精彩,adjectives,2.64
995,手臂,頸,nouns,0.36
996,电线,軟線,nouns,0.81
997,骑,跑,verbs,0.27
998,机灵,狡猾,adjectives,2.32
999,朋友,賓客,nouns,3.41
1000,搜索,尋求,verbs,3.41
1001,起源,開始,verbs,3.54
1002,纸币,付款,nouns,0.82
1003,手掌,手指,nouns,1.69
1004,栅栏,籠子,nouns,1.09
1005,拉比,老師,nouns,0.86
1006,国王,王子,nouns,2.18
1007,可能,樂觀地,adverbs,0.46
1008,学习,教育,verbs,2.63
1009,长,狹窄,adjectives,0.46
1010,女英雄,英雄,nouns,4.0
1011,公国,親王國,nouns,1.14
1012,强大,強大,adjectives,4.86
1013,行动,課程,nouns,0.46
1014,长笛,音樂,nouns,1.32
1015,从不,慷慨地,adverbs,0.04
1016,吵闹,喧鬧聲,nouns,4.0
1017,篮子,球,nouns,0.14
1018,主意,方案,nouns,3.54
1019,做,創建,verbs,1.04
1020,指甲,手,nouns,0.69
1021,炒,煮沸,verbs,0.59
1022,有创造力,創新,adjectives,4.78
1023,使气馁,鼓勵,verbs,0.18
1024,骨头,手臂,nouns,0.41
1025,成熟地,正直地,adverbs,0.68
1026,汽车,廠,nouns,0.09
1027,班级,大學,nouns,0.14
1028,走,進入,verbs,0.86
1029,草地,草原,nouns,4.04
1030,精灵,燈,nouns,0.09
1031,非常,明亮地,adverbs,0.5
1032,说,表達,verbs,2.86
1033,小孩,女孩,nouns,2.68
1034,成年人,監護人,nouns,2.69
1035,画画,暴動,nouns,0.09
1036,不开心,激氣,adjectives,3.23
1037,母鸡,火雞,nouns,2.23
1038,总统,政治家,nouns,3.09
1039,参与,說,verbs,0.0
1040,缺乏信心,黏人,adjectives,0.27
1041,头脑风暴,望遠鏡,nouns,0.04
1042,圣歌,征服,nouns,0.0
1043,愚笨,笨,adjectives,5.32
1044,一分钱,尺寸,nouns,0.04
1045,城市,城鎮,nouns,3.59
1046,严酷,殘酷,adjectives,4.04
1047,徽章,玻璃,nouns,0.14
1048,国民,聞名,adjectives,0.0
1049,贫穷,孤獨,adjectives,0.14
1050,报纸,資料,nouns,2.19
1051,薄荷,口香糖,nouns,0.5
1052,离开,徘徊,verbs,0.14
1053,大规模,大,adjectives,3.5
1054,比较,分析,verbs,3.04
1055,自由,綠洲,nouns,0.04
1056,酒,樂隊,nouns,0.0
1057,选择,靜脈,nouns,0.09
1058,猎狗,狐狸,nouns,1.0
1059,当然,明顯地,adverbs,3.41
1060,字,報紙,nouns,1.32
1061,冷,普通,adjectives,0.0
1062,微妙地,大聲地,adverbs,0.04
1063,军队,軍團,nouns,3.91
1064,不可說出口的,婚外,adjectives,1.09
1065,拇指,手,nouns,1.0
1066,结婚,訂婚,verbs,2.63
1067,布,衣服,nouns,2.27
1068,试着,打算,verbs,1.19
1069,不合理,不公平地,adverbs,3.68
1070,稻草,聖歌,nouns,0.18
1071,男孩,小孩,nouns,2.86
1072,文章,手稿,nouns,2.77
1073,阴谋家,策略家,nouns,2.82
1074,在场,缺席,nouns,0.18
1075,地窖,門,nouns,0.27
1076,天空,陽光,nouns,0.91
1077,知道,明白,verbs,3.5
1078,新,古老,adjectives,0.18
1079,娱乐,使滿意,verbs,0.41
1080,沙子,腳,nouns,0.09
1081,士兵,男孩,nouns,1.68
1082,孩子,女兒,nouns,2.41
1083,意外,大災難,nouns,2.96
1084,地图,廣場,nouns,0.32
1085,大炮,球,nouns,0.09
1086,准许,贊成,verbs,3.59
1087,飞行,航空,nouns,3.23
1088,出现,發生,verbs,2.5
1089,淹,救,verbs,0.09
1090,大学,級數,nouns,0.14
1091,椅子,凳子,nouns,4.96
1092,铝,金屬,nouns,2.59
1093,想,查詢,verbs,0.18
1094,街,小巷,nouns,3.13
1095,驱逐,離開,verbs,2.54
1096,幻想,現實,nouns,2.71
1097,海啸,海,nouns,1.54
1098,沙丘,沙漠,nouns,2.59
1099,大规模,巨大,adjectives,3.46
1100,重要地,真實地,adverbs,0.23
1101,喜爱,討厭,verbs,0.18
1102,确定,肯定,adjectives,5.13
1103,滑雪板,滑雪,nouns,1.14
1104,窗口,雲,nouns,0.0
1105,犯罪,盜竊,nouns,3.45
1106,对手,對手,nouns,5.18
1107,图表,圖解,nouns,3.04
1108,手稿,書,nouns,0.96
1109,马,狗,nouns,1.14
1110,参与,參加,verbs,4.77
1111,受惊,興奮,adjectives,0.5
1112,知道,忘記,verbs,0.04
1113,干旱,水,nouns,0.04
1114,芥末,種子,nouns,0.82
1115,西洋棋,檢查,nouns,0.09
1116,门,地板,nouns,0.18
1117,阳光,天空,nouns,0.91
1118,不诚实,壞,adjectives,0.96
1119,伙伴,傢伙,nouns,2.46
1120,蜜蜂,昆蟲,nouns,3.23
1121,获得,得到,verbs,4.69
1122,现代,古老,adjectives,0.09
1123,果园,鴕鳥,nouns,0.0
1124,狗,貓,nouns,0.55
1125,喧闹声,吵鬧,nouns,4.0
1126,紧急情况,意外,nouns,3.63
1127,尖叫,叫喊,verbs,3.64
1128,男人,丈夫,nouns,2.63
1129,骨头,肘,nouns,0.27
1130,哲学家,賽跑,nouns,0.09
1131,公主,新娘,nouns,0.36
1132,战役,征服,nouns,0.64
1133,讨厌,批評,verbs,0.5
1134,想,選擇,verbs,0.45
1135,捏碎,折斷,verbs,2.5
1136,谦虚,羞愧,adjectives,0.36
1137,搜索,查詢,verbs,3.78
1138,伤心,搞笑,adjectives,0.09
1139,年,世紀,nouns,1.41
1140,手腕,手臂,nouns,0.41
1141,男孩,狀態,nouns,0.18
1142,呛,呼吸,verbs,0.69
1143,航空,飛行,nouns,3.23
1144,巫师,電纜,nouns,0.0
1145,游戏,戲法,nouns,0.5
1146,灌木,花,nouns,1.23
1147,椅子,長凳,nouns,3.54
1148,保留,毀滅,verbs,0.14
1149,宾客,朋友,nouns,3.41
1150,显然,大致,adverbs,0.82
1151,日历,假日,nouns,0.59
1152,不诚实,真實,adjectives,0.09
1153,飞机,直升機,nouns,2.41
1154,征服,聖歌,nouns,0.0
1155,拥抱,擠壓,verbs,0.27
1156,适中,溫和,adjectives,3.5
1157,守规矩,服從,verbs,3.68
1158,肉,煙肉,nouns,2.87
1159,目前,最近,adverbs,3.37
1160,歌手,合唱,nouns,1.19
1161,厨房,門,nouns,0.18
1162,戒除,做,verbs,0.04
1163,幸福,運氣,nouns,0.86
1164,点菜,菜單,nouns,1.14
1165,说服,嘗試,verbs,0.36
1166,球,球拍,nouns,0.54
1167,柔软,暴力,adjectives,0.0
1168,借,欠,verbs,0.41
1169,擦,惡化,verbs,0.09
1170,可靠地,被動地,adverbs,0.0
1171,惩罚,教,verbs,0.5
1172,屋顶,窗口,nouns,0.41
1173,米饭,男孩,nouns,0.04
1174,杂志,文章,nouns,2.22
1175,勺子,果汁,nouns,0.18
1176,硬件,案件,nouns,0.18
1177,也许,大概,adverbs,3.78
1178,椅子,沙發,nouns,2.63
1179,用拳猛击,捏,verbs,0.5
1180,试验,測試,nouns,4.27
1181,闻,溺愛,verbs,0.0
1182,使满意,娛樂,verbs,0.41
1183,之后,之前,adverbs,0.22
1184,保持,失去,verbs,0.14
1185,天神,魔鬼,nouns,0.09
1186,付款,硬幣,nouns,0.82
1187,定义,字典,nouns,0.86
1188,球,排球,nouns,3.41
1189,肝脏,器官,nouns,2.64
1190,理想地,機械地,adverbs,0.27
1191,腰部,一餐,nouns,0.0
1192,光,鍵盤,nouns,0.14
1193,加,乘,verbs,0.59
1194,任务,高速公路,nouns,0.0
1195,裂开,打碎,verbs,1.5
1196,家,州,nouns,0.04
1197,令人惊讶,奇特地,adverbs,2.87
1198,鸟,母雞,nouns,1.36
1199,监狱,選擇,nouns,0.04
1200,状态,男孩,nouns,0.18
1201,英式足球,足球,nouns,4.72
1202,脏,淫賤,adjectives,0.59
1203,自行车,皮膚,nouns,0.04
1204,不同意,同意,verbs,0.27
1205,硬币,付款,nouns,0.82
1206,一般,常規地,adverbs,3.91
1207,站立,步行,verbs,0.36
1208,钻石,錢,nouns,0.96
1209,网球,統計資料,nouns,0.0
1210,衣服,布料,nouns,1.9
1211,博物馆,薄荷,nouns,0.04
1212,哨,停,verbs,0.14
1213,行星,月亮,nouns,2.69
1214,阳光,蘋果,nouns,0.09
1215,大脑,頭腦,nouns,4.5
1216,摩天大楼,宮殿,nouns,0.32
1217,出席,發送,verbs,0.09
1218,兄弟,姊妹,nouns,1.77
1219,电影,劇院,nouns,2.04
1220,凹地,谷,nouns,2.54
1221,监控,螢幕,nouns,0.59
1222,建议,推介,verbs,3.46
1223,未成形,制服,adjectives,0.0
1224,肉桂,糖果,nouns,0.27
1225,保存,收藏,verbs,4.23
1226,小巷,碗,nouns,0.0
1227,走,旅行,verbs,0.59
1228,讽刺,神話,nouns,0.46
1229,人,人口,nouns,2.77
1230,恶魔,天使,nouns,0.27
1231,难以置信,普通,adjectives,0.0
1232,果汁,奶昔,nouns,0.5
1233,吸收,擁有,verbs,0.36
1234,发抖,凍結,verbs,0.14
1235,给予,貢獻,nouns,2.87
1236,喉,舌頭,nouns,0.91
1237,单种栽培,農業,nouns,1.5
1238,映像,圖像,nouns,3.37
1239,雕塑,雕像,nouns,4.91
1240,鼻子,嘴巴,nouns,0.18
1241,测试,試驗,nouns,4.27
1242,开始,起源,verbs,3.54
1243,选择,章,nouns,0.09
1244,结婚,團結,verbs,0.59
1245,晚餐,餐,nouns,3.13
1246,听,明白,verbs,0.77
1247,自行车,汽車,nouns,1.0
1248,机场,飛機,nouns,0.86
1249,云,窗口,nouns,0.0
1250,锁匙,王冠,nouns,0.04
1251,疯狂,高興,adjectives,0.55
1252,管理,老鼠,nouns,0.04
1253,拥有,保持,verbs,0.91
1254,企业,公司,nouns,4.18
1255,棒球,籃球,nouns,1.19
1256,未公开,公開,adjectives,0.18
1257,父亲,家長,nouns,3.63
1258,中性,冷靜,adjectives,0.36
1259,理解,知道,verbs,3.46
1260,花费,保存,verbs,0.32
1261,克服,統治,verbs,0.09
1262,忽略,離開,verbs,0.32
1263,电缆,教堂,nouns,0.0
1264,苹果,糖果,nouns,0.14
1265,混乱,無政府,nouns,3.04
1266,天气,波浪,nouns,0.09
1267,犹豫,憤怒,adjectives,0.41
1268,队长,水手,nouns,0.22
1269,不道德,非法,adjectives,2.41
1270,选举权,出口,nouns,0.22
1271,戏弄,傷害,verbs,0.46
1272,先生,女士,nouns,0.54
1273,饼干,公主,nouns,0.0
1274,女王,蜜蜂,nouns,0.0
1275,大方,善良,adjectives,2.04
1276,私人,個人,adjectives,4.04
1277,容器,靜脈,nouns,0.23
1278,自豪的,謙遜地,adverbs,0.36
1279,半学年,學期,nouns,3.96
1280,消逝,消失,verbs,4.09
1281,普通,平凡,adjectives,4.96
1282,蛇,蜥蜴,nouns,0.86
1283,注意,意識,nouns,2.77
1284,修理,恢復,verbs,1.73
1285,母马,馬,nouns,3.55
1286,身体,肩,nouns,0.73
1287,苗条,瘦,adjectives,4.63
1288,谈判,外交,nouns,2.04
1289,违反,犯罪,nouns,3.36
1290,友善,大方,adjectives,2.59
1291,风尚,時裝,nouns,2.73
1292,忽略,探索,verbs,0.0
1293,真诚地,平時,adverbs,0.23
1294,弱,強大,adjectives,0.04
1295,存在,門,nouns,0.0
1296,技巧,智力,nouns,2.27
1297,包皮,割禮,nouns,1.14
1298,岛,海灘,nouns,1.04
1299,正义,權利,nouns,0.55
1300,学费,獎學金,nouns,0.73
1301,相反,獨特,adjectives,0.64
1302,溶解,混合,verbs,0.36
1303,大炮,槍,nouns,1.91
1304,褪色,侵蝕,verbs,0.96
1305,生气,開心,adjectives,0.14
1306,坚固,狡猾,adjectives,0.04
1307,世纪,十年,nouns,0.64
1308,通知,描繪,verbs,0.0
1309,海滩,島,nouns,1.04
1310,穆斯林,主教,nouns,0.45
1311,粗糙,無禮貌,adjectives,0.5
1312,恶化,抹,verbs,0.09
1313,主教,穆斯林,nouns,0.45
1314,拒绝,退出,verbs,0.41
1315,钟,門,nouns,0.28
1316,必须,重要,adjectives,3.5
1317,韵律,算術,nouns,0.04
1318,日落,日出,nouns,0.59
1319,羊,羊肉,nouns,4.04
1320,片,飛機場,nouns,0.0
1321,电视,溝通,nouns,0.04
1322,说话,聽見,verbs,0.32
1323,尖,鈍,adjectives,0.18
1324,肚子,靜脈,nouns,0.27
1325,旧,新,adjectives,0.23
1326,没用过,新,adjectives,4.04
1327,问,幫忙,verbs,0.09
1328,奇怪,普通,adjectives,0.09
1329,戏法,沖涼,nouns,0.04
1330,作家,作曲家,nouns,2.41
1331,全能,霸權,nouns,0.59
1332,募捐活动,事件,nouns,0.86
1333,保留,留,verbs,4.0
1334,芝士,麵包,nouns,0.41
1335,害怕,急,adjectives,0.23
1336,歌手,演員,nouns,2.36
1337,想要,慾望,verbs,3.86
1338,灵活,鬆動,adjectives,1.46
1339,出口,門口,nouns,3.54
1340,医院,床,nouns,0.36
1341,肉,血液,nouns,0.36
1342,频繁,無知,adjectives,0.09
1343,任务,稻草,nouns,0.0
1344,机灵,笨,adjectives,0.36
1345,铅笔,故事,nouns,0.14
1346,望远镜,椅子,nouns,0.04
1347,萤幕,監控,nouns,0.59
1348,清洁,一塵不染,adjectives,4.96
1349,货币,交換,nouns,0.78
1350,煮,炒,verbs,0.64
1351,收缩,減少,verbs,3.13
1352,牛肉,肉,nouns,3.46
1353,自然地,非自然,adverbs,0.22
1354,舌头,肌肉,nouns,0.45
1355,小巷,街,nouns,3.13
1356,奇怪,怪異,adjectives,4.04
1357,不同,拗撬,verbs,0.23
1358,橡木,楓木,nouns,2.68
1359,木,石,nouns,0.36
1360,条件,協議,nouns,1.91
1361,软管,汽車,nouns,0.14
1362,箭头,目標,nouns,0.86
1363,方式,方法,nouns,4.36
1364,死亡,悲劇,nouns,1.73
1365,聚集,見面,verbs,0.73
1366,决定,想,verbs,0.55
1367,温和,尖,adjectives,0.0
1368,来,出席,verbs,3.0
1369,优胜者,存在,nouns,0.04
1370,内疚,誠實,adjectives,0.18
1371,骗局,貪污,nouns,1.14
1372,伟大,攞命,adjectives,0.14
1373,瞇,怒視,verbs,0.22
1374,喝,混合,verbs,0.04
1375,安慰,安全,nouns,0.04
1376,实质上,關鍵地,adverbs,0.55
1377,增加,成長,verbs,0.82
1378,全球化,簽證,nouns,0.54
1379,国境,分界線,nouns,3.46
1380,快乐,開心,adjectives,5.32
1381,岛,公主,nouns,0.0
1382,精彩,极好,adjectives,3.41
1383,舒服地,容易地,adverbs,1.23
1384,演员,歌手,nouns,2.36
1385,否定,從未,adjectives,1.41
1386,可靠,負責任,adverbs,3.32
1387,安全,合法,adjectives,0.69
1388,失去,失敗,verbs,0.73
1389,窗帘,竿,nouns,0.27
1390,谷物,小麥,nouns,3.18
1391,走道,大廳,nouns,0.14
1392,奇怪,狡猾,adjectives,0.73
1393,学期,半學年,nouns,3.96
1394,公寓,屋,nouns,4.22
1395,电话,手提電話,nouns,4.46
1396,早餐,煙肉,nouns,0.45
1397,合作,參與,verbs,0.54
1398,保护,防御,verbs,3.73
1399,割礼,包皮,nouns,1.14
1400,嘴巴,鼻子,nouns,0.18
1401,成功,嘗試,verbs,0.23
1402,从不,稍後,adverbs,0.09
1403,拒绝,選舉,verbs,0.0
1404,极其,非常,adverbs,4.18
1405,枫木,橡木,nouns,2.68
1406,茶,檸檬,nouns,0.18
1407,蚂蚁,蒼蠅,nouns,0.73
1408,提高,喝,verbs,0.0
1409,字典,百科全書,nouns,2.09
1410,派对,面具,nouns,0.23
1411,异族,外國人,nouns,4.04
1412,真实,假,adjectives,0.27
1413,标识,俱樂部,nouns,0.04
1414,人,人物,nouns,4.27
1415,女孩,男人,nouns,0.46
1416,机器,電腦,nouns,2.73
1417,丑陋,粗糙,adjectives,0.64
1418,深度地,有意義,adverbs,2.0
1419,麻布,布,nouns,2.96
1420,时装,模式,nouns,0.04
1421,残酷,和藹,adjectives,0.0
1422,根,草,nouns,0.41
1423,大致,不耐煩地,adverbs,0.18
1424,好斗,彎曲,adjectives,0.09
1425,容器,四輪貨運馬車,nouns,0.14
1426,明亮地,非常,adverbs,0.5
1427,沉重,滿載,adjectives,0.77
1428,优雅,風格,nouns,1.27
1429,声望,財富,nouns,0.36
1430,伴侣,情人,nouns,4.81
1431,自由,自由,nouns,4.46
1432,男孩,米飯,nouns,0.04
1433,团结,領帶,verbs,0.0
1434,断绝亲子关系 or...,給,verbs,0.04
1435,冻结,發抖,verbs,0.14
1436,带来,攜帶,verbs,3.63
1437,困难,簡單,adjectives,0.16
1438,证明,解釋,verbs,3.13
1439,脾气,醫生,nouns,0.18
1440,领带,團結,verbs,0.0
1441,菠萝,手機,nouns,0.0
1442,杀,毀滅,verbs,2.77
1443,监护人,成人,nouns,2.69
1444,拖着脚走,騎,verbs,0.0
1445,海报,紙,nouns,2.18
1446,焦虑,不耐煩,adjectives,3.5
1447,地板,屋頂,nouns,0.18
1448,总和,結合,nouns,0.55
1449,小麦,穀物,nouns,3.18
1450,把握,握緊,verbs,2.87
1451,罕见,笨,adjectives,0.14
1452,薄雾,雨,nouns,0.73
1453,惩罚,服從,verbs,0.23
1454,确定,撤離,verbs,0.0
1455,保持,珍愛,verbs,0.27
1456,苹果,檸檬,nouns,0.41
1457,便士,便宜貨,nouns,0.14
1458,歌曲,歌謠,nouns,3.68
1459,智力,洞察力,nouns,2.46
1460,本地,明顯地,adverbs,0.09
1461,塔,鐘,nouns,0.5
1462,异常,奇怪地,adverbs,3.41
1463,雪茄,盒子,nouns,0.09
1464,大灾难,意外,nouns,2.96
1465,笨,聰明,adjectives,0.09
1466,参与,合作,verbs,0.54
1467,坦白,否認,nouns,0.23
1468,起泡,插圖,nouns,0.04
1469,大,重,adjectives,0.55
1470,十年,世紀,nouns,0.64
1471,法官,法庭,nouns,0.86
1472,教育,學習,verbs,2.63
1473,通知,承認,verbs,0.28
1474,名单,陣列,nouns,0.91
1475,有时,每當,adverbs,0.5
1476,家牛,乳酪,nouns,0.46
1477,类似,相像,adjectives,3.04
1478,贪污,騙局,nouns,1.14
1479,兄弟,靈魂,nouns,0.0
1480,保持,借,verbs,0.0
1481,达到,完成,verbs,3.68
1482,亲王国,公國,nouns,1.14
1483,忘记,保留,verbs,0.14
1484,歌曲,演員,nouns,0.18
1485,电缆,巫師,nouns,0.0
1486,密码,標誌,nouns,0.04
1487,男人,勝利者,nouns,0.36
1488,坚固地,冷靜地,adverbs,0.59
1489,蚕,毛毛蟲,nouns,2.27
1490,脚趾,手指,nouns,0.46
1491,允许,反駁,verbs,0.0
1492,器官,肝臟,nouns,2.64
1493,井井有条,雜亂無章,verbs,0.22
1494,无聊,累,adjectives,0.14
1495,妻子,一分錢,nouns,0.18
1496,行星,星星,nouns,2.63
1497,普通,冷,adjectives,0.0
1498,车,的士,nouns,3.81
1499,打印,無視,verbs,0.0
1500,面具,派對,nouns,0.23
1501,准确地,積極地,adverbs,0.86
1502,权利,正義,nouns,0.55
1503,感情上,傷心地,adverbs,0.78
1504,说明,討論,verbs,1.41
1505,语言,溝通,nouns,1.0
1506,卖,提醒,verbs,0.0
1507,价格,價值,nouns,4.0
1508,诚实地,從未,adverbs,0.0
1509,乐趣,遊戲,nouns,0.45
1510,凯旋,勝利,nouns,4.46
1511,提醒,告訴,verbs,2.63
1512,能量,電池,nouns,2.09
1513,大麻,草藥,nouns,2.41
1514,成年人,家長,nouns,3.23
1515,树,船,nouns,0.04
1516,猴子,参加競選,nouns,0.09
1517,区域,地區,nouns,4.68
1518,吞,喝,verbs,1.0
1519,校园,大學,nouns,2.59
1520,哥哥,男孩,nouns,2.54
1521,支气管炎,對乙酰氨基酚,nouns,0.09
1522,苔藓,草,nouns,2.09
1523,选择,選舉,nouns,2.54
1524,海滩,海,nouns,2.5
1525,贡献,給予,nouns,2.87
1526,泉,噴泉,nouns,3.63
1527,放开,按下,verbs,0.09
1528,母亲,妻子,nouns,2.5
1529,组织,收集,verbs,1.18
1530,天空,宇宙,nouns,2.27
1531,教授,學生,nouns,0.27
1532,忠诚地,誠實地,adverbs,4.31
1533,头,鼻子,nouns,0.18
1534,鸡,晚餐,nouns,0.27
1535,奖学金,學費,nouns,0.73
1536,同意,不同意,verbs,0.27
1537,扼杀,燒傷,verbs,0.36
1538,饮食,蘋果,nouns,0.64
1539,精确地,不準確地,adverbs,0.22
1540,走,開始,verbs,0.09
1541,关闭,嘔吐,verbs,0.0
1542,沈闷,枯燥,adjectives,4.32
1543,尊严,徽章,nouns,0.28
1544,飓风,暴風雨,nouns,2.96
1545,杂,聯合,adjectives,0.09
1546,职业,學院,nouns,0.09
1547,乙酰胆碱,鳶尾花,nouns,0.0
