ID,CYM,SWA,PoS,score
678,cynghori,kupendekeza,verbs,3.95
679,rhythm,hesabu,nouns,0.0
680,gafael,kushikilia,verbs,2.4
681,cytundeb,pambano,nouns,0.1
682,mynachlog,monasteri,nouns,0.0
683,pen-glin,mfupa,nouns,1.05
684,pur,safi,adjectives,0.65
685,esgus,kuonyesha,verbs,0.55
686,adfer,kubadilisha,verbs,0.15
687,corws,kiitiko,nouns,0.6
688,gitâr,gita,nouns,0.5
689,salwch,saratani,nouns,3.35
690,cymryd,kuondoka,verbs,0.05
691,nos,sura,nouns,0.0
692,mawr,mkubwa sana,adjectives,3.8
693,dde,maadili,nouns,0.35
694,gwely,chumba cha kulala,nouns,1.6
695,siwmper,fulana,nouns,0.25
696,yn union,kwa usahihi,adverbs,2.15
697,coeden,mti,nouns,1.1
698,prin,wa kigeni,adjectives,0.7
699,rhif,nambari,nouns,5.5
700,parth,eneo,nouns,5.1
701,allwedd,kifunguo,nouns,0.0
702,cell,chumba,nouns,1.3
703,darganfod,kutokana,verbs,0.3
704,arfordir,ufuko,nouns,2.8
705,strategydd,mkakati,nouns,3.05
706,pont,kadi,nouns,0.1
707,ystafell wely,tumbo,nouns,0.0
708,gwrando,kuelewa,verbs,0.85
709,seryddol,unajimu,adjectives,0.2
710,niwtral,upande wowote,adjectives,0.5
711,blwyddyn,siku ya kuzaliwa,nouns,0.75
712,rhesymeg,hesabu,nouns,0.5
713,côn,kikombe,nouns,0.2
714,carchariad,funga,nouns,1.7
715,crebachu,kupunguza,verbs,3.25
716,gwaed,uboho,nouns,0.6
717,ysbrydol,kiroho,adjectives,0.8
718,rhiant,baba,nouns,3.5
719,chwilio,kutafuta,verbs,2.01
720,bacwn,chakula cha asubuhi,nouns,0.75
721,gafr,ngombe,nouns,0.85
722,ffroenell,pua,nouns,0.0
723,amaethyddiaeth,kilimo,nouns,1.15
724,gwaelod,juu,nouns,0.25
725,mwstard,mbegu,nouns,0.2
726,gwely,fanicha,nouns,2.35
727,cywilydd,jisikia aibu,adjectives,0.15
728,mawr,mzito,adjectives,1.5
729,ewin,mkono,nouns,0.7
730,danfon,kuhudhuria,verbs,0.0
731,deallus,mpumbavu,adjectives,0.1
732,alcohol,jini,nouns,2.25
733,tywysoges,bibi arusi,nouns,0.45
734,llidiog,mkali,adjectives,0.05
735,mwnci,nyani,nouns,0.0
736,afiechyd,hatari,nouns,0.45
737,ar ôl,baada ya,adverbs,0.1
738,awdur,mwandishi,nouns,0.85
739,merch,kijana,nouns,1.4
740,apocalyps,siku ya mwisho,nouns,0.35
741,gyrru,endesha,verbs,0.05
742,babi,mtoto wa kike,nouns,0.85
743,dillad,koti,nouns,2.2
744,ymbarél,mwavuli,nouns,0.0
745,dant,kinywa,nouns,1.1
746,tad,mungu,nouns,2.2
747,argymell,kukubali,verbs,0.45
748,pylu,kufifia,verbs,1.7
749,sobr,makini,adjectives,0.95
750,mwtant,jitu,nouns,0.1
751,yn feirniadol,kwa uweledi,adverbs,0.3
752,trochion,puto,nouns,0.95
753,modfedd,yadi,nouns,1.35
754,lledaenu,kuenea,verbs,0.4
755,athro,mkufunzi,nouns,4.1
756,helmed,helmeti,nouns,0.6
757,ailadrodd,kurudia,verbs,0.4
758,harddwch,umri,nouns,0.3
759,ystadegau,takwimu,nouns,0.0
760,ansicr,sio salama,adjectives,0.4
761,ar hyn o bryd,kwa sasa,adverbs,1.45
762,siofinist,chauvinist,nouns,2.45
763,minc,manyoya,nouns,2.5
764,cyfieithydd,mtafsiri,nouns,0.15
765,cath,sungura,nouns,0.7
766,cyrnol,daktari wa meno,nouns,0.05
767,lansio,kuzindua,verbs,0.5
768,dysgu,kuchambua,verbs,0.7
769,yn ddiogel,kwa usalama,adverbs,0.15
770,cydnabod,kujulisha,verbs,0.65
771,mawr,nama,adjectives,0.25
772,bydysawd,anga,nouns,0.85
773,asgwrn cefn,mwili,nouns,0.5
774,hedfaniad,ndege,nouns,3.4
775,ysgrifennu,kuchorachora,verbs,2.75
776,hyblyg,mwenye kiasi,adjectives,0.75
777,priodol,wa heshima,adjectives,0.6
778,presenoldeb,mshindi,nouns,0.05
779,benthyg,kuweka,verbs,0.15
780,ystlum,popo,nouns,0.95
781,bàth,chumba,nouns,0.25
782,menyw,mke,nouns,4.45
783,hyfforddwyr,wakufunzi,nouns,0.45
784,gweithgaredd,mwendo,nouns,0.55
785,casglu,kukusanya,verbs,1.5
786,nodyn,noti,nouns,0.6
787,gwyliau,likizo,nouns,0.4
788,dod â,kulalamika,verbs,0.05
789,cyfathrebu,kusali,verbs,0.55
790,llywydd,meya,nouns,1.3
791,log,mbao,nouns,2.85
792,mwydyn,mnyoo,nouns,0.05
793,tric,mchezo,nouns,0.75
794,perygl,tishio,nouns,4.0
795,gwallgof,mwenye furaha,adjectives,0.1
796,cytuno,kujipendekeza,verbs,0.4
797,gwddf,uti,nouns,0.6
798,cystrawen,sintaksia,nouns,0.5
799,angel,malaika,nouns,0.2
800,plymio,piga mbizi,verbs,0.0
801,mynd  ,kuja,verbs,0.45
802,hapusrwydd,furaha,nouns,0.3
803,dosbarthu,kuchukua,verbs,0.3
804,lladd,kukaba,verbs,0.85
805,cyflymder,mwendo,nouns,0.0
806,rhoi,kupata,verbs,0.3
807,aer,molekuli,nouns,0.4
808,hyder,mtazamo,nouns,0.6
809,gardd,mpira wa maji,nouns,0.05
810,seicoleg,sayansi,nouns,2.1
811,reis,maharagwe,nouns,0.65
812,codiad haul,machweo,nouns,1.5
813,awdur,mtungaji,nouns,3.9
814,anobaith,taabu,nouns,2.75
815,paragraff,herufi,nouns,0.7
816,ewythr,mwanaume,nouns,1.75
817,oedi,kusubiri,verbs,5.5
818,darllen,kufahamu,verbs,0.8
819,archwilio,kupuuza,verbs,0.1
820,bar,zizi,nouns,0.6
821,dyfarniad,kesi,nouns,1.6
822,tasg,mwanamke,nouns,0.05
823,dolen,mkanda,nouns,0.75
824,jin,wiski,nouns,2.35
825,tafod,shavu,nouns,0.55
826,ffin,mpaka,nouns,4.1
827,deintydd,kanali,nouns,0.05
828,cyfnod,miaka kumi,nouns,0.9
829,cinio,supu,nouns,0.85
830,pobi,kuoka,verbs,1.5
831,cuddwisgo,kuficha,verbs,2.55
832,blwch,lifti,nouns,0.0
833,hysbysu,arifu,verbs,0.0
834,gaeaf,msimu wa joto,nouns,0.55
835,yn negyddol,kwa ubaya,adverbs,0.35
836,mynach,mtawa,nouns,0.35
837,cyflogwr,mwajiriwa,nouns,0.55
838,twymyn,mafua,nouns,4.3
839,yn ddwfn,kwa undani,adverbs,0.35
840,gwallgof,ana wazimu,adjectives,4.95
841,gwawr,bunduki,nouns,0.0
842,gweithredu,uendeshaji,nouns,0.2
843,ardderchog,ana hasira,adjectives,0.05
844,yn anghywir,si kwa usahihi,adverbs,0.0
845,amnewidyn,badala,nouns,2.3
846,yn ddibynadwy,kwa kuaminika,adverbs,0.0
847,lleuad,sayari,nouns,1.7
848,braich,mwili,nouns,1.4
849,gwyddoniadur,ensaiklopidia,nouns,2.2
850,bodloni,kufahamu,verbs,0.3
851,gwn,alfajiri,nouns,0.0
852,yn agored i niwed,walio hatarini,adjectives,0.05
853,anifail,mtu,nouns,0.35
854,actor,mwimbaji,nouns,0.8
855,stori,hadithi,nouns,0.15
856,caffael,kutafuta,verbs,1.15
857,canolig,wastani,adjectives,0.35
858,caniataëdig,mkubalika,adjectives,2.35
859,urddas,hadhi,nouns,0.0
860,newyddion,habari,nouns,0.75
861,pîn-afal,nanasi,nouns,0.0
862,cyhoeddus,hadharani,adjectives,0.05
863,peilliad,uchavushi,nouns,1.75
864,datgymalu,kutenganisha,verbs,0.05
865,perswadio,kugombana,verbs,0.95
866,gwirod,karne,nouns,0.0
867,boch,ulimi,nouns,0.55
868,ci,farasi,nouns,0.65
869,maint,senti,nouns,0.05
870,cath,mnyama,nouns,2.95
871,plentyn,mwanaume,nouns,0.25
872,cadw,kubaki,verbs,0.1
873,gweithiwr,kamera,nouns,0.0
874,yn ddiamynedd,bila subira,adverbs,0.25
875,baw,matope,nouns,4.4
876,syml,ngumu,adjectives,0.05
877,papur,kadibodi,nouns,2.0
878,menyw,jukumu,nouns,0.05
879,orthodontydd,mtaalamu wa meno,nouns,4.45
880,gwely,kiti,nouns,0.6
881,datrys,kutoa suluhisho,verbs,1.05
882,blanced ,kitanda,nouns,1.2
883,menyw,sekretari,nouns,0.45
884,gwrando,kutii,verbs,1.8
885,drws,sela,nouns,0.1
886,disgleirio,kuangaza,verbs,4.05
887,goleddfu,kupendelea,verbs,3.45
888,cerddoriaeth,muziki,nouns,1.1
889,cwpan,kijiko,nouns,0.85
890,tŷ,kapeti,nouns,0.25
891,benthyg,kupa,verbs,1.95
892,gwaith llaw,kazi za mikono,nouns,0.05
893,trychineb,kifo,nouns,1.8
894,rhosyn,waridi,nouns,0.25
895,anhygoel,kushangaza,adjectives,0.0
896,balŵn,kuoga,nouns,0.0
897,twyll,ulaghai,nouns,1.45
898,tad,mtoto wa kike,nouns,0.5
899,senedd,bunge,nouns,2.5
900,gweithiwr,mfanyakazi,nouns,0.65
901,gweddïo,kuuliza,verbs,0.95
902,lleihau,kupungua,verbs,2.0
903,llawr,paa,nouns,0.25
904,esgus,kuonekana,verbs,0.3
905,golygyddol,uhariri,nouns,0.75
906,meddwl,akili,nouns,1.1
907,eisiau,kutaka,verbs,4.35
908,cerflunwaith,sanamu,nouns,4.75
909,cadair,kitanda,nouns,0.6
910,gwych,maridadi,adjectives,1.2
911,eglwys,kanisa,nouns,3.85
912,llynges,jeshi,nouns,3.85
913,asid,asidi,nouns,0.25
914,amddiffyn,kulinda,verbs,2.75
915,yn ysgafn,kwa utaratibu,adverbs,0.4
916,argyhoeddi,kushawishi,verbs,0.0
917,crwydro,kutangatanga,verbs,1.6
918,cymhwysedd,uwezo,nouns,4.1
919,gwasgu,kuvyombo vya habari,verbs,0.05
920,darganfod,pata,verbs,0.55
921,sudd,matofaa,nouns,0.95
922,creulon,katili,adjectives,2.1
923,tyfu,kupungua,verbs,0.1
924,llaeth,juisi,nouns,0.75
925,rheolaeth,utawala,nouns,2.8
926,glaw,mvua,nouns,0.7
927,disg,diski,nouns,0.0
928,saethydd,mpiga mishale,nouns,0.05
929,cyfraniad,mchango,nouns,2.4
930,iaith,mawasiliano,nouns,2.15
931,meddu ar,kufyonza,verbs,0.2
932,afal,mpangilio wa chakula,nouns,0.4
933,chwyrnu,kung'orota,verbs,0.1
934,cario ,kuleta,verbs,2.1
935,rhiant,mtu mzima,nouns,2.25
936,eglwys,kwaya,nouns,1.05
937,yn beryglus,kwa uhatari,adverbs,0.05
938,bwyd,chakula,nouns,0.05
939,cyfiawnhau,kuhakikisha,verbs,0.45
940,ymuno,kujipatia,verbs,0.15
941,wagen,gari la farasi,nouns,3.9
942,cyfnewid,badilisha,nouns,2.3
943,presenoldeb,kutokuwepo,nouns,0.6
944,yn gywir,kabisa,adverbs,2.15
945,cytuno,kukubali,verbs,0.15
946,agwedd,hakika,nouns,0.6
947,ewyllys,hiari,nouns,1.95
948,anghyfreithlon,wa dhambi,adjectives,2.25
949,cas,kesi,nouns,0.03
950,hael,wa kirafiki,adjectives,1.95
951,porth,mlango wa kutoka,nouns,1.95
952,post,nguzo,nouns,0.0
953,bydiaeth,utandawazi,nouns,0.15
954,pwnc,hadithi,nouns,0.6
955,twyll,uhalifu,nouns,2.85
956,drwg,wa dhambi,adjectives,2.8
957,losin,matofaa,nouns,0.35
958,cerdd,shairi,nouns,1.0
959,yn fras,takribani,adverbs,0.25
960,criced,kriketi,nouns,0.05
961,yn ddiweddarach,baadae,adverbs,0.1
962,sain,sauti,nouns,2.95
963,dadlau,kupinga,verbs,0.0
964,yn aml,mara nyingi,adverbs,0.05
965,duw,shetani,nouns,0.4
966,gwych,mbaya,adjectives,0.05
967,gwas,mtumishi,nouns,2.65
968,tarian,mwepesi,nouns,0.75
969,cytundeb,makubaliano,nouns,5.3
970,trafodaeth,jadiliano,nouns,1.95
971,bàth,mbinu,nouns,0.0
972,corff,tumbo,nouns,0.95
973,ffliwt,filimbi,nouns,1.1
974,drws,mlangoni,nouns,3.8
975,prin,mpumbavu,adjectives,0.0
976,cywilydd,huzuni,nouns,0.9
977,deallusrwydd,ujinga,nouns,0.25
978,yn union,kwa usahihi,adverbs,0.0
979,colli,kupata,verbs,0.15
980,cig,nyama,nouns,3.0
981,cythraul,pepo,nouns,0.2
982,darganfod,kutambua,verbs,4.45
983,yr wyddor,alphabeti,nouns,0.0
984,oedolyn,mtoto,nouns,0.55
985,sychder,ukame,nouns,0.25
986,ofnadwy,poa,adjectives,0.05
987,smart,mpumbavu,adjectives,0.05
988,ysbyty,kitanda,nouns,0.55
989,mam,mke,nouns,2.25
990,bowlen,mkia,nouns,0.0
991,yn anaml,mara chache,adverbs,0.05
992,canwr,mtaalamu wa sauti,nouns,0.15
993,cyfoeth,umasikini,nouns,0.35
994,arall,wengine,adjectives,0.5
995,braich,kifundo,nouns,1.05
996,dicter,usumbufu,nouns,0.9
997,addurn,mapambo,nouns,0.0
998,mewnwelediad,ukweli,nouns,1.35
999,cul,mpana,adjectives,0.1
1000,heddiw,leo,adverbs,1.4
1001,dirprwy,msaidizi,nouns,0.75
1002,cwmwl,wingu,nouns,0.0
1003,sillaf,silabu,nouns,0.2
1004,gweledigaeth,utambuzi,nouns,1.4
1005,bacwn,maharagwe,nouns,0.2
1006,crocodeil,mamba,nouns,1.75
1007,teiffŵn,dhoruba,nouns,4.25
1008,ymdrech,shida,nouns,0.7
1009,mynychu,kutuma,verbs,0.0
1010,gwerddon,oasisi,nouns,0.35
1011,ysgoloriaeth,ufadhili wa elimu,nouns,1.4
1012,meddyg,tabibu,nouns,4.9
1013,ymddygiadaeth,somo la tabia,nouns,1.05
1014,dyddiad,kalenda,nouns,2.85
1015,anfoesol,mbaya,adjectives,2.8
1016,dewis,chaguo,nouns,2.95
1017,tymer,daktari,nouns,0.0
1018,gwlychu,kulowesha,verbs,0.0
1019,penderfynu,kuamua,verbs,2.7
1020,bàth,mke,nouns,0.0
1021,cwch,nanga,nouns,1.0
1022,pennu,kutabiri,verbs,0.6
1023,bod yn ddyledus,kuingia,verbs,0.1
1024,cynorthwy-ydd,mwalimu,nouns,1.35
1025,cyfaddef,kukubali,verbs,0.1
1026,gwybodaeth,habari,nouns,0.1
1027,basilica,basilika,nouns,0.4
1028,seciwlarydd,mwanaisilamu,nouns,1.45
1029,anhawster,bidii,nouns,0.7
1030,disgybl,mwanafunzi,nouns,4.65
1031,pibell,sigara,nouns,0.4
1032,cyfreithiol,halali,adjectives,2.35
1033,wedi ymlacio,kupumzika,adjectives,0.55
1034,cwyno,kugombana,verbs,1.05
1035,cyn,kabla,adverbs,0.1
1036,hedyn,mbegu,nouns,0.2
1037,sleid,teleza,nouns,0.0
1038,gwythïen,mkono,nouns,0.45
1039,clyfar,mpumbavu,adjectives,0.1
1040,môr,ziwa,nouns,3.4
1041,hawdd,ana shida,adjectives,0.0
1042,glaw,manyunyu,nouns,4.2
1043,rheilffordd,ua,nouns,0.05
1044,argyhoeddi,kushawishi,verbs,0.15
1045,cael,kushindwa,verbs,0.15
1046,dadlau,kukubaliana,verbs,0.2
1047,derbyn,kutambua,verbs,2.1
1048,cryndod,kutetemeka,nouns,2.8
1049,traethu,kusema,verbs,0.45
1050,yn garedig,kiupole,adverbs,2.55
1051,mynnu,kutaka,verbs,0.15
1052,cymeriad,mhusika,nouns,2.85
1053,gadael,kubaki,verbs,0.1
1054,sobr,kutolewa,adjectives,0.05
1055,yn gyflym,kwa haraka,adverbs,4.85
1056,ffactorio,sababu,nouns,0.7
1057,chwipio,kubuta,verbs,2.35
1058,stumog,mwili,nouns,0.95
1059,bustach,farasi,nouns,0.55
1060,acwsteg,akustik,nouns,2.95
1061,afon,bonde,nouns,0.7
1062,crëwr,mtengenezaji,nouns,5.05
1063,mwsogl,nyasi,nouns,1.45
1064,ymbarél,mwamvuli,nouns,0.0
1065,benthyciwr,mkopi,nouns,1.1
1066,cylchfordaith,mzunguko,nouns,0.0
1067,ymaflyd,kamata,verbs,1.3
1068,yn berffaith,kiukamilifu,adverbs,0.85
1069,coeden,mpera,nouns,3.0
1070,cipio,kudaka,verbs,3.45
1071,gwawr,mchana,nouns,1.15
1072,anwybyddu,kufanya utafiti,verbs,0.1
1073,enillydd,mwanaume,nouns,0.1
1074,proffwydo,kutabiri,verbs,0.9
1075,twp,mpumbavu,adjectives,4.85
1076,yn ddarostyngedig,kwa unyenyekevu,adverbs,0.05
1077,casáu,kudharau,verbs,1.05
1078,asetylocolin,acetylcholine,nouns,0.05
1079,dewis,oni,nouns,1.35
1080,yn ddwfn,kiundani,adverbs,0.55
1081,yn hapus,kwa furaha,adverbs,0.05
1082,pennod,usiku,nouns,0.0
1083,weithiau,mara nyingine,adverbs,0.43
1084,car,njia kuu,nouns,0.65
1085,llywydd,kamera,nouns,0.0
1086,ysgwydd,mkono,nouns,2.0
1087,asgwrn,taya,nouns,0.65
1088,llyn,ziwa,nouns,0.2
1089,yn sicr,kwa hakika,adverbs,5.2
1090,yn dynn,kwa mkazo,adverbs,0.7
1091,merch,mvulana,nouns,0.5
1092,athro,mwanafunzi,nouns,0.75
1093,yn ddiweddar,hivi karibuni,adverbs,0.0
1094,dosbarthu,kukubali,verbs,0.05
1095,brwydro,kupigana,verbs,0.55
1096,prif air,nenokuu,nouns,0.5
1097,ychwanegu,kujiunga,verbs,0.85
1098,ffug,feki,adjectives,0.15
1099,gwaed,damu,nouns,0.55
1100,lladd,kukinga,verbs,0.35
1101,gêm,mbinu,nouns,0.75
1102,egluro,kujadili,verbs,1.55
1103,ofnus,ogopa,adjectives,3.55
1104,gwydr,glasi,nouns,0.0
1105,bachgen,wali,nouns,0.0
1106,actor,mchezaji wa kike,nouns,4.0
1107,dod,kuhudhuria,verbs,3.0
1108,wedi ei dychryn,kua na uoga,adjectives,1.25
1109,oedran,urembo,nouns,0.3
1110,llinyn,waya,nouns,1.05
1111,yn wallgof,kwa hasira,adverbs,0.35
1112,yn garedig,kwa fadhili,adverbs,2.8
1113,ffisigwr,daktari,nouns,4.9
1114,oedolyn,mtoto mchanga,nouns,0.2
1115,gwerthu,kuazima,verbs,0.15
1116,gwraig,senti,nouns,0.05
1117,angor,boti,nouns,1.0
1118,llawenydd,kiburi,nouns,0.95
1119,asgwrn,kiwiko,nouns,0.9
1120,crwydro,kuondoka,verbs,0.8
1121,yn gain,kwa ufasaha,adverbs,2.1
1122,cyfnewid,ubadilishaji,nouns,0.35
1123,dydd  ,asubuhi,nouns,1.0
1124,clogwyn,mkia,nouns,0.0
1125,cawod,shower,nouns,0.0
1126,yn obeithiol,kwa matuamini,adverbs,1.15
1127,ceisio,kufikiria,verbs,0.15
1128,priffordd,barabara kuu,nouns,4.55
1129,yn ddiffuant,kwa ukweli,adverbs,0.5
1130,polyester,pamba,nouns,0.8
1131,pêl-droed,mpira wa miguu,nouns,5.95
1132,cydsyniad,mapatano,nouns,0.0
1133,yn ofalus,kwa utaratibu,adverbs,0.05
1134,cyflwr,mvulana,nouns,0.0
1135,diplomyddiaeth,diplomasia,nouns,1.95
1136,hapusrwydd,bahati,nouns,0.5
1137,hofrennydd,helikopta,nouns,3.45
1138,trydanol,chenye umeme,adjectives,0.0
1139,gwerth,thamani,nouns,1.55
1140,pobl,senti,nouns,0.0
1141,het,sanduku,nouns,0.05
1142,cleddyf,panga,nouns,0.0
1143,cyflwr,nyumba,nouns,0.1
1144,dod â,kurudisha,verbs,0.65
1145,enfawr,mdogo,adjectives,0.1
1146,yn ddi-drefn,kwa vurugu,adverbs,0.0
1147,rheolaidd,mara kwa mara,adjectives,0.0
1148,prawf,wamuzi,nouns,1.6
1149,gwddf,mkono,nouns,0.3
1150,gwarcheidwad,mama,nouns,2.8
1151,codi,kunyanyua,verbs,3.9
1152,damwain,balaa,nouns,2.6
1153,ennill,kufaida,verbs,0.6
1154,swil,aibu,adjectives,0.63
1155,priodol,rasmi,adjectives,1.4
1156,twrci,ndege,nouns,3.2
1157,trafod,kueleza,verbs,1.55
1158,cwmwl,wingu,nouns,0.2
1159,blawd,mkate,nouns,1.1
1160,oeraidd,wa kukwaruza,adjectives,0.35
1161,lifft,sanduku,nouns,0.0
1162,ysbryd,jini,nouns,0.0
1163,stumog,chumba cha kulala,nouns,0.0
1164,tynnu'n ôl,kutoa,verbs,0.4
1165,nod,mshindi,nouns,0.1
1166,brwydro,kupigana,verbs,0.1
1167,gwraig,mama,nouns,2.25
1168,priodferch,bwana arusi,nouns,1.15
1169,llywodraethwr,gavana,nouns,3.4
1170,person,mnyama,nouns,0.35
1171,twrci,kuku,nouns,1.45
1172,merch,mtoto mchanga,nouns,0.85
1173,amddiffyn,kuweka,verbs,0.7
1174,mynd,kuuza,verbs,0.0
1175,targed,mshale,nouns,0.65
1176,ymlid,kimbiza,verbs,1.9
1177,gadael,kuondoka,verbs,0.1
1178,ffaith,umaizi,nouns,1.35
1179,sinematograffeg,sinema,nouns,0.45
1180,tegan,kichezeo,nouns,0.05
1181,llyfr,mada,nouns,0.5
1182,misol,kila mwezi,adjectives,0.5
1183,cadw,kuazima,verbs,0.15
1184,gwyliadwraeth,saa,nouns,0.0
1185,cerdded,kutembea ,verbs,0.5
1186,rhythm,muondoko,nouns,0.05
1187,twf,ukuaji,nouns,0.45
1188,steil,fesheni,nouns,5.15
1189,coginio,kupika,verbs,0.23
1190,addurn,ukuta,nouns,0.3
1191,claddu,kuzikwa,verbs,1.5
1192,lan,pwani,nouns,3.35
1193,duw,padri,nouns,0.65
1194,maes awyr,ndege,nouns,1.8
1195,o ddifrif,kwa umakini,adverbs,2.2
1196,hir,mfupi,adjectives,0.1
1197,bwlch,sigara,nouns,0.0
1198,digwydd,kufanya,verbs,0.5
1199,prysur,bizi,adjectives,0.05
1200,hapus,wa ghadhabu,adjectives,0.2
1201,wal,pambo,nouns,0.3
1202,cyfarfod,kukutana,verbs,0.0
1203,rhwygo,kuchana,verbs,0.05
1204,cynllwyniwr,mweka mipango,nouns,3.05
1205,aderyn,batamzinga,nouns,3.2
1206,atom,kaboni,nouns,0.75
1207,ymarfer,kujiandaa,verbs,0.4
1208,newyddiadurwr,mwanahabari,nouns,0.4
1209,ael,jicho,nouns,0.7
1210,dannedd,meno,nouns,0.0
1211,traeth,ukingo wa bahari,nouns,5.15
1212,car,baisikeli,nouns,1.0
1213,cae,uwanja,nouns,0.1
1214,llesteirio,kufadhaisha,verbs,1.8
1215,pêl,mzinga,nouns,0.4
1216,gofyn,kupuuza,verbs,0.05
1217,tâl,malipo,nouns,4.75
1218,cyffrous,sisimsha,adjectives,0.05
1219,diogel,salama,adjectives,0.5
1220,cyfreithiol,halali,adjectives,0.5
1221,disgyrchiant,mvuto,nouns,0.3
1222,melys,tamu,adjectives,0.0
1223,maint,kina,nouns,1.05
1224,pigo,chagua,verbs,4.7
1225,caffael,kupata,verbs,1.9
1226,o bosibl,inawezekana,adverbs,1.15
1227,hyfforddiant,ada,nouns,1.4
1228,gwraig,bwana,nouns,0.5
1229,anghefnogi,kutia moyo,verbs,0.1
1230,hardd,ana ajabu,adjectives,1.2
1231,drôr,nguo,nouns,0.65
1232,llaw,mguu,nouns,0.6
1233,arferol,si wa kawaida,adjectives,0.15
1234,yn gynnil,kwa ujanja,adverbs,0.3
1235,stondin,sanduku,nouns,0.1
1236,cyfreithiwr,wakili,nouns,3.92
1237,lleng,jeshi,nouns,3.5
1238,arbed,kuokota,verbs,1.2
1239,ewythr,binamu,nouns,0.55
1240,poen,madhara,nouns,2.55
1241,hwyl,mpira wa miguu,nouns,0.6
1242,ffynhonnell,chanzo,nouns,0.0
1243,gwybodaeth,gazeti,nouns,1.6
1244,hyblyg,rahisi,adjectives,0.6
1245,gynfad,meli ya vita,nouns,0.15
1246,cosbi,kuadhibu,verbs,0.2
1247,yn naturiol,kwa uhalisia,adverbs,0.35
1248,dyn,mlinzi,nouns,0.65
1249,arloesol,bunifu,adjectives,3.1
1250,bara,unga,nouns,1.1
1251,glân,safi,adjectives,0.2
1252,bysellfwrdd,kibodi,nouns,0.0
1253,ffenestr,dirisha,nouns,0.15
1254,doniol,wa kuchosha,adjectives,0.1
1255,wylo,kutoa machozi,verbs,5.25
1256,trefnu,kupanga,verbs,0.05
1257,anghefnogi,kukatisha tamaa,verbs,0.75
1258,dinistrio,kuua,verbs,2.4
1259,ffa,wali,nouns,0.65
1260,rhyfedd,wa kawaida,adjectives,0.15
1261,pledio,kuuliza,verbs,1.75
1262,mam,rafiki,nouns,0.7
1263,gwddf,mfupa,nouns,0.4
1264,da,nzuri,adjectives,0.0
1265,ceisio,kufanikiwa,verbs,0.9
1266,ufuddhau,kutii,verbs,0.2
1267,camera,mfanyakazi,nouns,0.0
1268,persli,pasile,nouns,0.05
1269,gitâr,ngoma,nouns,1.75
1270,reis,mvulana,nouns,0.0
1271,pryd bwyd,kiuno,nouns,0.0
1272,bronceitus,ugonja wa bronchitis,nouns,0.3
1273,crwm,pinda,adjectives,0.15
1274,cyfrifiadur,cd,nouns,0.65
1275,pot,kifaa,nouns,0.3
1276,ymuno,kujumlisha,verbs,0.85
1277,o ddifrif,kwa umakini,adverbs,0.8
1278,ffwr,mwanamke,nouns,0.05
1279,methu,kushidwa,verbs,0.2
1280,yn gadarn,kwa dhati,adverbs,0.7
1281,teledu,runinga,nouns,0.3
1282,rheoli,panya,nouns,0.0
1283,archwilio,kugundua,verbs,2.35
1284,perl,hela,nouns,0.15
1285,arf,silaha,nouns,0.6
1286,cyflawni,kushinda,verbs,2.75
1287,drysu,kuchanganya,verbs,0.0
1288,modd,njia,nouns,4.25
1289,gwn,mbinu,nouns,0.05
1290,ale,mtaa,nouns,2.4
1291,allanfa,mahali ya kutokea,nouns,0.05
1292,sedd,kiti,nouns,0.05
1293,trafferthu,kusumbua,verbs,1.0
1294,cyfartaledd,wastani,adjectives,0.65
1295,gadael,kuacha,verbs,1.45
1296,offeryn,zeze,nouns,2.1
1297,gadael,kuanza,verbs,0.05
1298,gwahanu,kutenganisha,verbs,0.05
1299,clariffeio,kueleza,verbs,4.3
1300,gadael,kuzurura,verbs,0.8
1301,cynnyrch llaeth,maziwa,nouns,0.1
1302,anifail,nunda,nouns,2.35
1303,argraff,imani,nouns,0.75
1304,galar,uchungu,nouns,2.55
1305,blodyn,chavua,nouns,1.15
1306,gwisgedig,amevaa,adjectives,1.1
1307,addoli,kuabudu,verbs,1.55
1308,allbriodasol,nje ya ndoa,adjectives,0.0
1309,asgwrn,misuli,nouns,0.45
1310,casglu,kuchukua,verbs,0.0
1311,onest,enye ukweli,adjectives,0.1
1312,twll,mapatano,nouns,0.0
1313,eginblanhigyn,miche,nouns,1.2
1314,damwain,dharura,nouns,1.05
1315,anghofio,kujifunza,verbs,0.3
1316,yn ddigynnwrf,kwa utulivu,adverbs,0.75
1317,braich,mfupa,nouns,1.1
1318,swydd,kazi,nouns,0.7
1319,atgoffa,kumbusha,verbs,0.45
1320,cebl,amari,nouns,0.0
1321,plesio,kukubali,verbs,0.4
1322,yn wael,kwa ubaya,adverbs,0.05
1323,llawr,mlango,nouns,0.1
1324,brawdgarwch,mlango,nouns,0.0
1325,llaw,kidole gumba,nouns,1.3
1326,isrwtîn,subroutine,nouns,0.0
1327,monitor,simamia,nouns,0.3
1328,parch,pongezi,nouns,1.9
1329,brecwast,karamu,nouns,0.75
1330,gaeaf,msimu,nouns,2.65
1331,menyn,kiazi,nouns,0.2
1332,rhyddhau,kukutolewa,verbs,0.55
1333,gwn,bunduki,nouns,0.0
1334,cytoplasm,cytoplasm,nouns,0.0
1335,drwm,gitaa,nouns,1.75
1336,hynafol,wa kisasa,adjectives,0.05
