ID,CYM,RUS,PoS,score
720,radar,джойстик,nouns,0.3
721,bacwn,мясо,nouns,2.55
722,yn heddychlon,хаотично,adverbs,0.1
723,blodyn,фиалка,nouns,1.8
724,fideo,кинолента,nouns,4.1
725,gwasgu,схватывать,verbs,1.6
726,edafedd,нить,nouns,3.7
727,babi,дочь,nouns,1.25
728,marwolaeth,погребение,nouns,1.4
729,lluosiad,деление,nouns,0.75
730,aer,гелий,nouns,2.15
731,cig,стейк,nouns,3.65
732,niwl,дождь,nouns,2.0
733,teledu,коммуникация,nouns,1.5
734,ffwr,ружье,nouns,0.1
735,parti,маска,nouns,0.5
736,calon,операция,nouns,0.5
737,digwyddiad codi arian,event,nouns,1.35
738,yn ddelfrydol,реалистично,adverbs,0.65
739,caseg,лошадь,nouns,4.5
740,gadael,прибывать,verbs,0.05
741,siarad,слышать,verbs,0.5
742,hawdd,тяжелый,adjectives,0.05
743,mainc,стул,nouns,2.35
744,denu,ударять,verbs,0.0
745,gwartheg,йогурт,nouns,0.2
746,dosbarthu,принимать,verbs,0.15
747,gair,фраза,nouns,1.55
748,dadelfennu,факторизация,nouns,1.35
749,wal,кирпич,nouns,1.1
750,bacwn,завтрак,nouns,0.75
751,gair,газета,nouns,0.95
752,arsylwi,смотреть,verbs,3.2
753,awyr,вселенная,nouns,1.1
754,canolig,плохой,adjectives,0.7
755,dannedd,молоток,nouns,0.05
756,crys,кардиган,nouns,0.8
757,cyfreithiol,допущенный,adjectives,2.7
758,amlwg,заметный,adjectives,3.35
759,bowlen,дорожка,nouns,0.0
760,miliwnydd,доллар,nouns,0.95
761,afal,солнце,nouns,0.0
762,yn enfawr,открыто,adverbs,0.45
763,adref,далеко,adverbs,0.3
764,cyrchwr,чип,nouns,0.1
765,crogi,убивать,verbs,1.85
766,deall,удовлетворять,verbs,0.5
767,diflas,захватывающий,adjectives,0.1
768,miniog,гладкий,adjectives,0.2
769,dysgu,забывать,verbs,0.25
770,yn fanwl gywir,неправильный,adjectives,0.05
771,arferol,необычный,adjectives,0.4
772,cloch,башня,nouns,0.55
773,enfawr,крошечный,adjectives,0.05
774,sychder,вода,nouns,0.3
775,bol,живот,nouns,4.75
776,canrif,год,nouns,1.0
777,pili-pala,роза,nouns,0.5
778,hael,приятный,adjectives,1.35
779,car,датчик,nouns,0.5
780,gweddïo,просить,verbs,1.65
781,sigarét,табак,nouns,2.35
782,lleihau,пропитывать,verbs,0.0
783,alaw,музыка,nouns,3.6
784,brwydr,завоевание,nouns,2.2
785,patholeg,гематология,nouns,1.15
786,plesio,умолять,verbs,0.5
787,gwaith cartref,сочинение,nouns,1.95
788,olew,норка,nouns,0.2
789,anonest,плохой,adjectives,1.4
790,stopio,ехать,verbs,0.1
791,deallus,сообразительный,adjectives,2.65
792,crynnu,замерзать,verbs,1.55
793,ysgwydd,тело,nouns,1.05
794,chwibanu,останавливаться,verbs,0.05
795,helpu,помогать,verbs,5.25
796,amhosib,возможный,adjectives,0.5
797,ochr,верх,nouns,0.4
798,anwybyddu,распечатать,verbs,0.0
799,coffi,боб,nouns,0.8
800,anniben,уродливый,adjectives,0.7
801,tywysoges,остров,nouns,0.0
802,sinema,опера,nouns,0.55
803,eilradd,значительный,adjectives,0.05
804,piano,гармония,nouns,0.75
805,asgwrn,зубы,nouns,1.05
806,masarnen,дерево,nouns,2.95
807,derbyn,ловить,verbs,1.2
808,maint,глубина,nouns,1.2
809,gwybodaeth,энтропия,nouns,0.15
810,ffôl,ребячливый,adjectives,1.95
811,arweinydd,руководитель,nouns,3.95
812,coeden,лист,nouns,1.2
813,llwythog,тяжелый,adjectives,3.25
814,siwgr,мед,nouns,1.45
815,synhwyrydd,радиатор,nouns,0.3
816,bronceitus,ацетаминофен,nouns,0.55
817,cytundeb,прореха,nouns,0.0
818,oren,цитрус,nouns,3.6
819,eryr,сокол,nouns,1.8
820,mewnwelediad,ум,nouns,2.2
821,ffêr,кость,nouns,1.25
822,hen,свежий,adjectives,0.05
823,telesgop,мозговой штурм,nouns,0.0
824,gwely,комната,nouns,0.5
825,pêl-fas,братство,nouns,0.3
826,cerflunydd,особняк,nouns,0.4
827,gosod,давать,verbs,1.0
828,dychmygu,притворяться,verbs,2.0
829,dewis,вена,nouns,0.0
830,papur,дерево,nouns,0.6
831,dweud ar goedd,объявлять,verbs,4.8
832,argyhoeddi,пытаться,verbs,0.25
833,nos,глава,nouns,0.0
834,pennu,эвакуировать,verbs,0.1
835,gwawr,ночь,nouns,0.5
836,dychan,миф,nouns,0.5
837,anghyfreithlon,законный,adjectives,0.15
838,clyfar,хитрый,adjectives,1.1
839,dyddiad,календарь,nouns,1.95
840,blin,счастливый,adjectives,0.05
841,rhanbarth,область,nouns,4.85
842,caniau,бутылка,nouns,0.5
843,cloch,дверь,nouns,0.7
844,yn bennaf,обычно,adverbs,2.85
845,balchder,дерзкий,adjectives,1.25
846,rinsio,мыть,verbs,2.8
847,niwrosis,разум,nouns,0.7
848,anodd ei gael,редкий,adjectives,1.3
849,gŵr,мужчина,nouns,3.4
850,hynod,ненормальный,adjectives,3.6
851,dynwared,захватить,verbs,0.0
852,cenedlaethol,известный,adjectives,0.05
853,ymholi,думать,verbs,0.9
854,dweud,выражать,verbs,3.2
855,ffrog,танец,nouns,0.5
856,yn rhyfedd,необычно,adverbs,3.8
857,seren,яркость,nouns,1.25
858,mefus,вишня,nouns,0.95
859,gwefrydd,диск,nouns,0.6
860,heb ei ddatgelu,открытый,adjectives,0.15
861,gwneud,прекращать,verbs,0.1
862,dyffryn,река,nouns,0.8
863,llenyddiaeth,книга,nouns,2.3
864,cyrraedd,посещать,verbs,1.05
865,bagiau,кругосветное плавание,nouns,0.5
866,tynnu,создавать,verbs,0.45
867,ymadael,отделять,verbs,1.1
868,yn ddibynadwy,ответственно,adverbs,3.25
869,dod â,нести,verbs,2.05
870,anaml,скудный,adjectives,1.3
871,gwacáu,определить,verbs,0.1
872,drwg,безнравственный,adjectives,2.75
873,datblygiad,сбор пожертвований,nouns,0.2
874,swil,напуганный,adjectives,1.25
875,anaeddfed,взрослый,adjectives,0.1
876,atom,углерод,nouns,1.15
877,ffrind,парень,nouns,1.2
878,penwythnos,неделя,nouns,1.1
879,crëwr,изготовитель,nouns,4.6
880,pêl,волейбол,nouns,1.75
881,cymysg,комбинированный,adjectives,3.65
882,braich,нога,nouns,0.65
883,mynychu,спорить,verbs,0.0
884,tywod,ступня,nouns,0.05
885,cyflwr,ситуация,nouns,2.4
886,pobl,доллар,nouns,0.0
887,mynnu,спорить,verbs,1.4
888,brawd,сын,nouns,0.9
889,rhoi,красть,verbs,0.05
890,stondin,телефон,nouns,0.45
891,ffurfdroad,инфекция,nouns,0.0
892,iâ,снег,nouns,2.7
893,gwrthod,осуждать,verbs,0.35
894,blodyn,выносливость,nouns,0.1
895,gweithredu,алгебра,nouns,0.2
896,crwm,прямой,adjectives,0.1
897,coron,ключ,nouns,0.0
898,clecian,хрустеть,verbs,1.65
899,cracio,ломать,verbs,2.0
900,cadw,занимать,verbs,0.2
901,buddugoliaeth,триумф,nouns,4.15
902,eglwys,собор,nouns,3.6
903,nam,система,nouns,0.05
904,hanfodol,необходимый,adjectives,4.2
905,dadlau,соглашаться,verbs,0.15
906,canon,ружье,nouns,2.15
907,ffôn,будка,nouns,0.45
908,malu,ударяться,verbs,0.6
909,yn fawr,невероятно,adverbs,0.65
910,hawdd,трудный,adjectives,0.1
911,iâr,индейка,nouns,1.5
912,gwisg unffurf,вязание,nouns,0.2
913,hedyn,мельница,nouns,0.6
914,eira,снежный обвал,nouns,1.5
915,hawdd,простой,adjectives,2.55
916,môr,дельта,nouns,0.65
917,ffensio,гимнастика,nouns,0.4
918,ymgyrch,обезьяна,nouns,0.0
919,atgyweirio,восстановить,verbs,3.7
920,wylo,плакать,verbs,4.7
921,gadael,выселять,verbs,0.5
922,creu,делать,verbs,4.55
923,yn ddigynnwrf,решительно,adverbs,0.85
924,yn gadarnhaol,наверное,adverbs,0.5
925,cyfathrebu,язык,nouns,1.55
926,gwely,стул,nouns,0.4
927,byth,щедро,adverbs,0.0
928,grawnfwyd,пшеница,nouns,2.5
929,cymryd,отказывать,verbs,0.05
930,sigâr,трубка,nouns,1.35
931,ffactorio,разложение,nouns,1.35
932,twp,упрямый,adjectives,0.45
933,ewythr,кузен,nouns,1.05
934,natur,флора,nouns,2.45
935,yn sicr,очевидно,adverbs,2.6
936,yn emosiynol,грустно,adverbs,1.45
937,canwr,хор,nouns,1.25
938,adnewid,менять,verbs,2.4
939,gwerthuso,анализировать,verbs,3.75
940,harddwch,сонет,nouns,0.2
941,swyddog,лейтенант,nouns,1.5
942,eliffant,компас,nouns,0.0
943,tynnu,потерять,verbs,0.3
944,arogli,портить,verbs,0.0
945,yn negyddol,неестественно,adverbs,0.45
946,cymryd,оставлять,verbs,0.1
947,nendwr,дворец,nouns,0.55
948,tramgwyddo,отговаривать,verbs,0.4
949,cadw,защищать,verbs,1.55
950,casglu,посещать,verbs,0.25
951,emyn,библия,nouns,1.35
952,maddau,понимать,verbs,1.35
953,edmygu,обожать,verbs,3.05
954,camera,линза,nouns,1.4
955,yn wreiddiol,творчески,adverbs,0.7
956,coflaid,душить,verbs,0.4
957,angen,устраивать,verbs,0.0
958,darlun,волдырь,nouns,0.0
959,haf,зима,nouns,0.65
960,mynegi,сказать,verbs,3.2
961,ynys,пляж,nouns,0.9
962,ynys,задача,nouns,0.0
963,yn garedig,осторожно,adverbs,0.7
964,gwan,пряный,adjectives,0.0
965,nihiliaeth,фильм,nouns,0.0
966,gadael,отходить,verbs,2.75
967,rhesymoli,думать,verbs,2.1
968,maes awyr,кусок,nouns,0.0
969,carchar,пруток,nouns,0.2
970,hwyliau,злость,nouns,1.1
971,cyfnos,вечер,nouns,3.45
972,deinosor,слон,nouns,0.35
973,enwogrwydd,богатство,nouns,0.85
974,hawdd,ранимый,adjectives,0.05
975,cymysgu,встряхивать,verbs,1.55
976,côr,церковь,nouns,0.95
977,priodferch,принцесса,nouns,0.7
978,dod â,восстанавливать,verbs,0.05
979,chwydu,закрыть,verbs,0.0
980,presenoldeb,отсутствие,nouns,0.7
981,meddu ar,поглощать,verbs,0.35
982,amnewid,восстанавливать,verbs,0.7
983,bricsen,стена,nouns,1.1
984,nodadwy,очевидный,adjectives,3.35
985,athronydd,разгон,nouns,0.0
986,mwslim,епископ,nouns,0.3
987,offeryn,скрипка,nouns,2.45
988,cawl,ужин,nouns,1.15
989,clwb,марка,nouns,0.0
990,creu,нырять,verbs,0.0
991,ysgol,класс,nouns,0.85
992,enillydd,человек,nouns,0.55
993,yn weithredol,пассивно,adverbs,0.05
994,amlwg,неизвестный,adjectives,0.15
995,gwraig,муж,nouns,1.35
996,gwybod,забывать,verbs,0.1
997,yn bryderus,нервно,adverbs,3.25
998,trist,смешной,adjectives,0.0
999,entropi,информация,nouns,0.15
1000,awdur,создатель,nouns,3.8
1001,disgwyl,покидать,verbs,0.1
1002,busnes,промышленность,nouns,1.75
1003,buwch,коза,nouns,0.85
1004,ffonoleg,экран,nouns,0.0
1005,aloi,сталь,nouns,2.05
1006,hanesyddiaethwr,историк,nouns,2.9
1007,nod,победитель,nouns,0.2
1008,cyhuddo,лгать,verbs,0.4
1009,anwybodaeth,ум,nouns,0.3
1010,therapi,бихевиоризм,nouns,1.15
1011,cyw iâr,рис,nouns,0.4
1012,alltud,пришелец,nouns,3.3
1013,gwrthod,принимать,verbs,0.08
1014,yn wir,важно,adverbs,0.55
1015,sudd,ложка,nouns,0.2
1016,gadael,начинать,verbs,0.05
1017,symbol,код,nouns,1.6
1018,credu,принимать,verbs,1.15
1019,erthygl,книга,nouns,0.9
1020,cosbi,ударять,verbs,0.9
1021,dysgu,спутывать,verbs,0.0
1022,moleciwl,воздух,nouns,0.65
1023,danfon,приносить,verbs,0.75
1024,cael,терять,verbs,0.05
1025,allwedd,замок,nouns,1.0
1026,canser,болезнь,nouns,2.4
1027,dyn,ребенок,nouns,0.45
1028,marwolaeth,бедствие,nouns,1.55
1029,maes awyr,самолет,nouns,1.5
1030,cae,овёс,nouns,0.6
1031,swil,дорогой,adjectives,0.0
1032,cân,баллада,nouns,3.9
1033,rhybuddio,останавливаться,verbs,0.8
1034,priffordd,задача,nouns,0.1
1035,cinio,бутерброд,nouns,1.1
1036,parasetamol,бронхит,nouns,0.55
1037,wedi ymlacio,спокойный,adjectives,1.75
1038,twf,удобрение,nouns,0.5
1039,ofnus,неуверенный,adjectives,1.7
1040,dicter,досада,nouns,1.8
1041,dygnwch,цветок,nouns,0.1
1042,botwm,одежда,nouns,0.75
1043,darllenydd,писатель,nouns,0.6
1044,pêl,ракетка,nouns,1.05
1045,gwallgof,довольный,adjectives,0.05
1046,cot,шляпа,nouns,0.8
1047,tiwtora,воспитывать,verbs,3.2
1048,ar ôl,до,adverbs,0.05
1049,cyflogwr,работник,nouns,0.8
1050,dyn,муж,nouns,3.4
1051,gair,литература,nouns,1.2
1052,cyfoeth,репутация,nouns,0.15
1053,cwrs,желудок,nouns,0.1
1054,mwnci,кампания,nouns,0.0
1055,digwydd,действовать,verbs,1.3
1056,argyhoeddi,спорить,verbs,0.95
1057,twll,соглашение,nouns,0.0
1058,o ychydig,полностью,adverbs,0.1
1059,yn unffurf,иногда,adverbs,0.05
1060,biotop,биология,nouns,0.5
1061,cynhwysor,диод,nouns,0.85
1062,sefyll,ходить,verbs,0.55
1063,hyblyg,покладистый,adjectives,1.6
1064,hwyl,футбол,nouns,0.7
1065,balŵn,народ,nouns,0.0
1066,menyw,секретарь,nouns,0.5
1067,llawr,потолок,nouns,0.35
1068,myffin,петрушка,nouns,0.15
1069,deffro,храпеть,verbs,0.2
1070,cynyddu,расти,verbs,3.55
1071,yn ansicr,испуганный,adjectives,1.7
1072,diflannu,исчезать,verbs,5.25
1073,drwg  ,потрясающий,adjectives,0.15
1074,credu,знать,verbs,1.2
1075,pwysig,решающий,adjectives,3.75
1076,yn drist,безумно,adverbs,0.25
1077,crocodeil,ящерица,nouns,0.9
1078,bowliwr,боулинг,nouns,1.65
1079,cwt,убежище,nouns,1.65
1080,losin,яблоко,nouns,0.55
1081,symbol,знак,nouns,4.45
1082,coginio,жарить,verbs,1.65
1083,ymennydd,нерв,nouns,0.95
1084,dŵr,соль,nouns,0.4
1085,hanesydd,историограф,nouns,2.9
1086,afon,море,nouns,1.0
1087,iris,ацетилхолин,nouns,0.05
1088,plesio,удовлетворять,verbs,2.95
1089,gludiog,грязный,adjectives,1.2
1090,smart,интеллектуальный,adjectives,2.65
1091,machlud haul,вечер,nouns,2.75
1092,sbeislyd,слабый,adjectives,0.0
1093,smart,тупой,adjectives,0.15
1094,pot,прибор,nouns,0.25
1095,siriol,восхитительный,adjectives,3.15
1096,terfysg,рисование,nouns,0.0
1097,anghwrtais,критичный,adjectives,0.75
1098,llac,гибкий,adjectives,0.8
1099,cyn,после,adverbs,0.05
1100,roboteg,симуляция,nouns,0.6
1101,bàth,комната,nouns,0.95
1102,personol,частный,adjectives,3.95
1103,eglwys gadeiriol,церковь,nouns,3.6
1104,yn gyfrifol,независимо,adverbs,0.05
1105,pryd bynnag,иногда,adverbs,0.2
1106,offeiriad,пророк,nouns,1.3
1107,yn hapus,активно,adverbs,0.05
1108,brest,тело,nouns,1.2
1109,cenedlaethol,большой,adjectives,0.35
1110,metr,дюйм,nouns,1.05
1111,yn hanfodol,критично,adverbs,0.25
1112,peiriannydd,работник,nouns,1.95
1113,cerddoriaeth,флейта,nouns,1.05
1114,ar hyn o bryd,на днях,adverbs,0.65
1115,yn sicr,иногда,adverbs,0.15
1116,yn aml,редко,adverbs,0.1
1117,senedd,конституция,nouns,0.8
1118,tric,размер,nouns,0.05
1119,crwt,дочь,nouns,1.25
1120,yn bwysig,официально,adverbs,1.55
1121,llaw,ноготь,nouns,1.1
1122,beiddgar,гордый,adjectives,1.25
1123,esgob,архиепископ,nouns,2.85
1124,blodyn,луковица,nouns,0.6
1125,sobr,пьяный,adjectives,0.1
1126,yn swyddogol,сильно,adverbs,0.3
1127,athro,доктор,nouns,1.0
1128,caethwas,слуга,nouns,2.0
1129,pêl,перчатка,nouns,0.1
1130,safbwynt,расстояние,nouns,0.45
1131,ffres,старый,adjectives,0.05
1132,creulon,милый,adjectives,0.0
1133,cyngres,парламент,nouns,2.15
1134,llygad,слеза,nouns,0.95
1135,cadw,забывать,verbs,0.05
1136,llywydd,политик,nouns,1.75
1137,creu,разрушать,verbs,0.1
1138,mam,опекунша,nouns,1.65
1139,ofnadwy,печальный,adjectives,1.3
1140,disgyn,отходить,verbs,0.5
1141,hurt,дурацкий,adjectives,4.15
1142,pen-glin,кость,nouns,1.45
1143,yn union,точно,adverbs,2.6
1144,cytuno,противоречить,verbs,0.1
1145,tystio,судить,verbs,0.45
1146,camera,президент,nouns,0.1
1147,casglu,организовать,verbs,1.6
1148,athro,студент,nouns,0.8
1149,trin,платить,verbs,0.1
1150,datrys,заканчивать,verbs,0.95
1151,anghywir,точный,adjectives,0.05
1152,diddanu,угождать,verbs,1.3
1153,ymbarél,калибр,nouns,0.0
1154,côn,стакан,nouns,0.35
1155,llen,карниз,nouns,0.4
1156,deall,слушать,verbs,0.85
1157,cwmwl,дымка,nouns,2.5
1158,coroni,воды,nouns,0.0
1159,offeryn,работа,nouns,0.4
1160,pen,алфавит,nouns,0.25
1161,yn derfynol,иначе,adverbs,0.05
1162,plentyn,мужчина,nouns,0.45
1163,dis,куб,nouns,2.85
1164,twnnel,дорожка,nouns,0.95
1165,sitrws,апельсин,nouns,3.6
1166,dafad,ягненок,nouns,3.15
1167,geiser,весна,nouns,0.1
1168,cyffrous,скучный,adjectives,0.1
1169,rhith,реальность,nouns,0.4
1170,doler,народ,nouns,0.0
1171,sychu,ухудшать,verbs,0.3
1172,ffraeo,убеждать,verbs,0.95
1173,gwych,прекрасный,adjectives,5.05
1174,sbeislyd,хороший,adjectives,0.35
1175,cyfrwys,выносливый,adjectives,0.65
1176,diflas,безопасный,adjectives,0.0
1177,crebachu,уменьшаться,verbs,3.05
1178,codi,тащить,verbs,1.2
1179,dicter,ярость,nouns,4.15
1180,darostyngedig,скромный,adjectives,1.9
1181,brwydro,убивать,verbs,0.6
1182,darganfod,изучать,verbs,2.2
1183,go iawn,фальшивый,adjectives,0.2
1184,modrwy,помолвка,nouns,1.45
1185,cerflunwaith,статуя,nouns,4.5
1186,ceirios,клубника,nouns,0.95
1187,pîn-afal,смартфон,nouns,0.0
1188,derbyn,рекомендовать,verbs,0.45
1189,llygredd,атмосфера,nouns,1.0
1190,peiriant,компьютер,nouns,1.65
1191,cyflwr,мальчик,nouns,0.0
1192,benthyg,продавать,verbs,0.2
1193,cryfder,мощь,nouns,4.4
1194,cred,ценность,nouns,0.55
1195,ci,кошка,nouns,0.75
1196,siocled,пирог,nouns,0.55
1197,cymryd rhan,высказываться,verbs,0.3
1198,stopio,свистеть,verbs,0.05
1199,strwythur,топология,nouns,2.05
1200,cyfathrebu,телевидение,nouns,1.5
1201,tymor,зима,nouns,2.05
1202,creadigol,инновационный,adjectives,3.0
1203,microsgop,биолог,nouns,0.95
1204,bara,сыр,nouns,0.5
1205,nai,тетя,nouns,0.85
1206,cyfreithlon,нелегальный,adjectives,0.15
1207,yn gyflym,срочно,adverbs,4.3
1208,damwain,книга,nouns,0.0
1209,casglu,встряхивать,verbs,0.0
1210,deallusrwydd,проницательность,nouns,2.2
1211,colli,получать,verbs,0.05
1212,gwydr,хрусталь,nouns,2.45
1213,bustach,конь,nouns,0.75
1214,unigryw,противоположный,adjectives,0.15
1215,gwydn,твердый,adjectives,3.1
1216,cwrw,алкоголь,nouns,2.5
1217,dŵr,засуха,nouns,0.3
1218,cynorthwy-ydd,наставник,nouns,2.1
1219,diogel,легальный,adjectives,1.05
1220,asgwrn cefn,шея,nouns,1.2
1221,rhythm,стих,nouns,1.3
1222,homoffon,фотофон,nouns,0.25
1223,dod,приносить,verbs,1.25
1224,syniad,мнение,nouns,2.35
1225,gwaith celf,художник,nouns,1.25
1226,ffuglen,биография,nouns,0.5
1227,allanfa,проход,nouns,2.45
1228,yn ddi-drefn,мирно,adverbs,0.1
1229,cywilydd,виноватый,adjectives,2.25
1230,pren,бревно,nouns,3.05
1231,ciwb,игрушка,nouns,0.4
1232,dadansoddi,сравнивать,verbs,2.65
1233,sychedig,голодный,adjectives,1.35
1234,od,странный,adjectives,3.65
1235,yn amlwg,локально,adverbs,0.0
1236,glân,беспорядочный,adjectives,0.0
1237,pen,гвоздь,nouns,0.65
1238,lluosi,складывать,verbs,1.05
1239,cul,широкий,adjectives,0.1
1240,cod,символ,nouns,1.6
1241,bwlch,сигара,nouns,0.45
1242,mae'n debyg,просто,adverbs,0.8
1243,argymell,принимать,verbs,0.45
1244,rhyfedd,скрытный,adjectives,0.65
1245,ar hyn o bryd,деликатно,adverbs,0.0
1246,llwch,метла,nouns,0.75
1247,casglu,сохранять,verbs,2.0
1248,gwely,больница,nouns,0.85
1249,band,парад,nouns,0.95
1250,llyfr,текст,nouns,1.5
1251,beibl,псалом,nouns,1.35
1252,erfyn,занимать,verbs,0.65
1253,wisgi,джин,nouns,1.9
1254,etholi,отклонять,verbs,0.1
1255,dyn,дядя,nouns,1.55
1256,diwylliant,общество,nouns,0.95
1257,cyflogwr,работник,nouns,0.8
1258,treth,доход,nouns,0.65
1259,golau,клавиатура,nouns,0.0
1260,lluosi,делить,verbs,0.35
1261,stêc,курятина,nouns,1.0
1262,braf,жестокий,adjectives,0.0
1263,gyferbyn,другой,adjectives,1.1
1264,dewis,тюрьма,nouns,0.0
1265,myfyriwr,профессор,nouns,0.8
1266,gweithiwr,офис,nouns,0.8
1267,corwynt,буря,nouns,3.8
1268,archeoleg,антропология,nouns,1.2
1269,llygoden,управление,nouns,0.35
1270,arnofio,петь,verbs,0.05
1271,sesiwn,пациент,nouns,0.15
1272,pry,пчела,nouns,1.6
1273,coeden,лодка,nouns,0.3
1274,bachgen,рис,nouns,0.0
1275,blodyn,вера,nouns,0.05
1276,yn lleol,очевидно,adverbs,0.0
1277,tenis,статистика,nouns,0.0
1278,tad,мать,nouns,1.35
1279,dysgu,наказать,verbs,0.05
1280,dan straen,расслабленный,adjectives,0.05
1281,diffiniad,словарь,nouns,2.1
1282,cyfartaledd,обычный,adjectives,1.5
1283,amherchnogi,давать,verbs,0.5
1284,cysylltu,отделять,verbs,0.05
1285,gwddf,рука,nouns,0.45
1286,lemwn,яблоко,nouns,0.95
1287,mwsogl,трава,nouns,1.45
1288,myfyrio,думать,verbs,4.5
1289,bar,клетка,nouns,0.1
1290,cyfiawnder,право,nouns,0.65
1291,pen-blwydd,год,nouns,1.2
1292,alcohol,джин,nouns,2.05
1293,ychwanegu,соединять,verbs,1.2
1294,gwaethygu,нападать,verbs,0.1
1295,niwtral,спокойный,adjectives,1.5
1296,metr,ярд,nouns,1.35
1297,cywilydd,счастливый,adjectives,0.0
1298,pryf sidan,гусеница,nouns,2.45
1299,corff,желудок,nouns,1.3
1300,caled,простой,adjectives,0.0
1301,yn feirniadol,практически,adverbs,0.25
1302,ystafell ymolchi,кухня,nouns,0.8
1303,lan,побережье,nouns,3.2
1304,ceiniog,оплата,nouns,0.95
1305,ffin,рубеж,nouns,4.25
1306,yn fras,минимально,adverbs,0.0
1307,rhyddid,цензура,nouns,0.4
1308,sedd,наклон,nouns,0.05
1309,crwydro,странствовать,verbs,4.0
1310,anodd,тяжелый,adjectives,4.7
1311,serameg,глиняная посуда,nouns,3.95
1312,miniog,мягкий,adjectives,0.05
1313,swper,завтрак,nouns,0.9
1314,yn fras,надежно,adverbs,0.05
1315,yn dynn,твердо,adverbs,1.55
1316,ceisio,убеждать,verbs,0.25
1317,bardd,журналист,nouns,0.55
1318,synnwyr,интуиция,nouns,3.8
1319,machlud haul,строка,nouns,0.0
1320,creu,строить,verbs,2.6
1321,urddas,значки,nouns,0.15
1322,yn wahanol,терминально,adverbs,0.05
1323,dur,сплав,nouns,2.05
1324,nerthol,мощный,adjectives,4.25
1325,post,скорость,nouns,0.0
1326,gogledd,запад,nouns,0.7
1327,fel arfer,нерегулярно,adverbs,0.1
1328,twr,колокол,nouns,0.55
1329,sillaf,лемма,nouns,0.25
1330,ffrind,гость,nouns,0.9
1331,cyfarch,встречать,verbs,1.55
1332,hiliaeth,ксенофобия,nouns,3.15
1333,llo,бык,nouns,2.0
1334,marw,закапывать,verbs,0.95
1335,deiet,яблоко,nouns,0.65
1336,adeiladu,разрушать,verbs,0.05
1337,ardderchog,великолепный,adjectives,5.05
1338,mynd,путешествовать,verbs,2.1
1339,clymu,объединять,verbs,3.1
1340,darganfod,исчезать,verbs,0.05
1341,rhoi,вешать,verbs,0.35
1342,lladrad,преступлениe,nouns,2.1
1343,cael,назначать,verbs,0.3
1344,popcorn,кино,nouns,0.9
1345,trist,гордый,adjectives,0.15
1346,iselder,долина,nouns,0.3
1347,yn hysbys,национальный,adjectives,0.05
1348,yn gywir,именно,adverbs,2.6
1349,dadansoddi,оценивать,verbs,3.75
1350,anghofio,узнавать,verbs,0.25
1351,twrci,птица,nouns,2.45
1352,yn oddefol,активно,adverbs,0.05
1353,gwyliwr,человек,nouns,0.85
1354,ergyd,рамка,nouns,0.0
1355,argraffu,игнорировать,verbs,0.0
1356,cymharu,анализировать,verbs,2.65
1357,malware,червяк,nouns,0.5
1358,parêd,толпа,nouns,1.7
1359,ecosystem,экономика,nouns,0.4
1360,hyll,беспорядочный,adjectives,0.7
1361,glaswelltir,луг,nouns,2.55
1362,calendr,праздник,nouns,0.75
1363,aur,цинк,nouns,0.35
1364,pledio,умолять,verbs,3.95
1365,ffwr,женщина,nouns,0.25
1366,yn anhygoel,плотно,adverbs,0.0
1367,gwenith,злак,nouns,2.5
1368,gadael,делать,verbs,0.1
1369,corff,рука,nouns,1.0
1370,glaw,изморось,nouns,2.0
1371,canfod,слышать,verbs,1.05
1372,dadl,соглашение,nouns,0.3
1373,swltan,министерство,nouns,0.15
1374,fel arfer,повседневно,adverbs,4.2
1375,amau,арестовывать,verbs,0.2
1376,fformiwla,журнал,nouns,0.6
1377,batri,энергия,nouns,2.3
1378,ansicr,нуждающийся,adjectives,0.4
1379,bisged,принцесса,nouns,0.0
1380,tyfu,расширяться,verbs,3.65
1381,hysteria,помрачение,nouns,1.9
1382,datgymalu,умереть,verbs,0.4
1383,cwch,мотор,nouns,0.85
1384,gweithiwr,работодатель,nouns,0.8
1385,mecanyddol,электрический,adjectives,0.35
1386,amherchnogi,отрекаться,verbs,2.55
1387,dychmygu,создавать,verbs,0.65
1388,encilio,покидать,verbs,2.75
1389,ysgwyd,размешать,verbs,1.55
1390,undeb,комбинация,nouns,2.4
1391,ymwrthod,подавлять,verbs,0.15
1392,dwyn,покупать,verbs,0.05
1393,aderyn,ястреб,nouns,1.95
1394,dewis,выборы,nouns,2.7
1395,rheolaidd,невежественный,adjectives,0.05
1396,gŵr bonheddig,госпожа,nouns,1.2
1397,heno,сегодня,adverbs,1.5
1398,ci hela,лиса,nouns,0.55
1399,proffwyd,священник,nouns,1.3
1400,colli,вычитать,verbs,0.3
1401,deall,прощать,verbs,1.35
1402,carbohydrad,сахароза,nouns,1.55
1403,poen,вред,nouns,1.55
1404,gwisg,бал,nouns,0.55
1405,preifat,общественный,adjectives,0.05
1406,democratiaeth,монархия,nouns,0.2
1407,twll,жена,nouns,0.0
1408,gwydn,ловкий,adjectives,0.65
1409,hynafol,новый,adjectives,0.0
1410,swigen,пена,nouns,0.95
1411,modd,привычка,nouns,3.8
1412,meddwl,обосновывать,verbs,2.1
1413,gwddf,позвоночник,nouns,1.2
1414,cymylog,прогноз,nouns,0.6
1415,cliw,слово,nouns,0.25
