ID,POL,RUS,PoS,score
727,eksmitować,освобождать,verbs,1.55
728,iść,покидать,verbs,1.3
729,karłowaty,коротковатый,adjectives,2.7
730,przyjść,посещать,verbs,2.55
731,chronić,хранить,verbs,1.8
732,ekscytujący,скучный,adjectives,0.05
733,dziennikarz,поэт,nouns,0.6
734,kamea,спектакль,nouns,0.15
735,dominować,побеждать,verbs,1.8
736,hit,рамка,nouns,0.0
737,argumentować,требовать,verbs,0.7
738,klif,холм,nouns,2.3
739,zakładać się,рисковать,verbs,2.55
740,strateg,комбинатор,nouns,1.45
741,kości,куб,nouns,2.15
742,tydzień,выходной,nouns,0.75
743,szlochać,плакать,verbs,4.85
744,plaża,побережье,nouns,3.15
745,odrzucić,избегать,verbs,1.65
746,nienormalnie,обычно,adverbs,0.0
747,wujek,кузен,nouns,1.35
748,przestrzegać,наказывать,verbs,0.5
749,pracodawca,работник,nouns,0.95
750,ryż,мальчик,nouns,0.0
751,sylaba,лемма,nouns,0.4
752,powiedzieć,выражать,verbs,3.05
753,bezcielesny,духовный,adjectives,4.0
754,sprzedawać,занимать,verbs,0.05
755,bić,смешивать,verbs,0.3
756,wielki,гибкий,adjectives,0.0
757,wyłącznie,полностью,adverbs,1.7
758,pianino,гармония,nouns,0.4
759,aparat,президент,nouns,0.1
760,krew,плоть,nouns,0.9
761,obecność,победитель,nouns,0.1
762,wrzechświat,небо,nouns,1.45
763,fikcja,биография,nouns,0.65
764,ładowarka,диск,nouns,0.8
765,unia,комбинация,nouns,1.85
766,po,до,adverbs,0.2
767,bóg,жертва,nouns,0.15
768,opowieść,песня,nouns,0.55
769,wyruszyć,отделять,verbs,0.2
770,przerwa,открытие,nouns,0.9
771,metal,алюминий,nouns,2.1
772,szalony,ужасный,adjectives,1.2
773,przeżyć,жить,verbs,2.45
774,ścieżka,тоннель,nouns,0.6
775,brzydki,беспорядочный,adjectives,0.7
776,prezydent,мэр,nouns,1.35
777,przynieść,нести,verbs,2.25
778,dziecinny,безрассудный,adjectives,2.0
779,pamiętać,думать,verbs,0.65
780,wycieczka,путешествие,nouns,4.75
781,dzielić,складывать,verbs,0.05
782,myśleć,пытаться,verbs,0.4
783,grubo,приблизительно,adverbs,0.45
784,kot,кролик,nouns,0.7
785,katastrofa,авария,nouns,4.1
786,nienaturalnie,отрицательно,adverbs,0.25
787,zatrzymywać,предупреждать,verbs,0.35
788,nieujawniony,открытый,adjectives,0.15
789,przemoczyć,уменьшить,verbs,0.0
790,aktywnie,пассивно,adverbs,0.1
791,butelka,баллончик,nouns,0.95
792,zwykły,странный,adjectives,0.05
793,temat,хэштег,nouns,2.45
794,koronacja,воды,nouns,0.0
795,słusznie,зрело,adverbs,1.25
796,ostrożnie,опасно,adverbs,0.1
797,gromadzić się,встречаться,verbs,4.35
798,nerwowy,испуганный,adjectives,1.55
799,kość,колено,nouns,1.3
800,matka,жена,nouns,1.5
801,mąka,хлеб,nouns,0.95
802,bieg,действие,nouns,0.8
803,praca domowa,сочинение,nouns,2.25
804,szalony,безумный,adjectives,5.25
805,kanonierka,берег,nouns,0.1
806,oficjalnie,сильно,adverbs,0.55
807,świeży,новый,adjectives,3.95
808,dom,квартира,nouns,4.5
809,ciało,позвоночник,nouns,1.05
810,pożyczać,продавать,verbs,0.05
811,futerał,аппара́тное обеспече́ние,nouns,0.4
812,galaktyka,астроном,nouns,1.3
813,bydło,бык,nouns,3.2
814,gliniarz,шериф,nouns,4.0
815,morał,легенда,nouns,0.7
816,sprzedawać,торговать,verbs,5.1
817,rzeźbiarz,особняк,nouns,0.25
818,oko,бровь,nouns,0.7
819,zaułek,шар,nouns,0.0
820,piękno,сонет,nouns,0.15
821,opinia,идея,nouns,1.7
822,pobieżnie,нетерпеливо,adverbs,1.05
823,słaby,пряный,adjectives,0.0
824,krzyczeć,вопить,verbs,5.45
825,przewidywać,предполагать,verbs,3.25
826,ogon,миска,nouns,0.0
827,musztarda,зерно,nouns,0.7
828,wiatr,шквал,nouns,3.65
829,okropny,прекрасный,adjectives,0.0
830,rzeczywistość,иллюзия,nouns,0.4
831,gra,сноровка,nouns,0.95
832,parada,толпа,nouns,1.8
833,mierny,хороший,adjectives,0.45
834,ręka,ступня,nouns,0.55
835,często,иногда,adverbs,0.7
836,dać,отказывать,verbs,0.05
837,ganić,требовать,verbs,0.95
838,biegacz,спортсмен,nouns,2.3
839,wybór,глава,nouns,0.45
840,mianowanie,обязательство,nouns,1.1
841,kurczyć się,уменьшаться,verbs,3.25
842,powieść się,пытаться,verbs,0.2
843,weryfikować,говорить,verbs,0.55
844,dieta,яблоко,nouns,0.35
845,zauważyć,критиковать,verbs,1.1
846,acetaminofen,бронхит,nouns,0.65
847,przewód,провод,nouns,3.85
848,iść,приходить,verbs,1.55
849,wisieć,класть,verbs,0.4
850,hardy,ловкий,adjectives,1.3
851,miękko,твердо,adverbs,0.05
852,ustalać,организовывать,verbs,4.05
853,teoria,химия,nouns,0.95
854,aplikacja,галакси,nouns,0.3
855,siła,способность,nouns,0.9
856,marynarka,остров,nouns,0.4
857,słońce,небо,nouns,1.15
858,luźny,гибкий,adjectives,1.15
859,skomplikowany,простой,adjectives,0.0
860,przyjęcie,электорат,nouns,0.95
861,pole,овёс,nouns,1.1
862,ksiądz,монах,nouns,2.95
863,tajfun,циклон,nouns,3.9
864,upaść,ушибить,verbs,0.6
865,troska,осторожность,nouns,2.2
866,absorbować,иметь,verbs,0.85
867,utykać,ходить,verbs,0.85
868,oczywisty,кажущийся,adjectives,2.5
869,opowieść,тема,nouns,0.8
870,sufit,собор,nouns,0.4
871,wanna,шар,nouns,0.0
872,pokrętny,ненадёжный,adjectives,2.1
873,mocny,могущественный,adjectives,4.1
874,chronić,помогать,verbs,2.6
875,pstrąg,гитара,nouns,0.0
876,rozdział,конец,nouns,0.1
877,łagodny,острый,adjectives,0.0
878,ciężki,большой,adjectives,1.45
879,powiesić,убивать,verbs,1.65
880,wielce,ярко,adverbs,0.85
881,wychodzić,входить,verbs,0.25
882,błagać,просить,verbs,4.2
883,narzędzia,дело,nouns,0.4
884,zrelaksowany,спокойный,adjectives,3.15
885,piosenkarz,актер,nouns,0.65
886,opinia,выбор,nouns,0.9
887,cyfra,число,nouns,4.6
888,arytmetyka,ритм,nouns,0.1
889,gwałtowny,радикальный,adjectives,1.55
890,rozumieć,прощать,verbs,2.0
891,rzeka,долина,nouns,0.65
892,wierzyć,знать,verbs,0.3
893,słyszeć,говорить,verbs,0.55
894,informacja,энтропия,nouns,0.15
895,drzewo,лист,nouns,0.85
896,pokojowo,хаотично,adverbs,0.1
897,twardo,мягко,adverbs,0.05
898,szczerze,обычно,adverbs,0.35
899,ignorować,забывать,verbs,1.75
900,mieszać,встряхивать,verbs,1.6
901,zaświaty,чистилище,nouns,2.1
902,zyskać,пожинать,verbs,2.0
903,doktor,самообладание,nouns,0.15
904,rasizm,ксенофобия,nouns,2.75
905,pokład,судно,nouns,1.85
906,gotować,потерять,verbs,0.0
907,kibic,крикет,nouns,0.2
908,odpowiedzialnie,надежно,adverbs,2.3
909,koń,собака,nouns,0.45
910,gniew,ярость,nouns,4.4
911,spokojny,расслабленный,adjectives,3.15
912,delta,море,nouns,0.55
913,oczywiście,конечно,adverbs,3.55
914,znacząco,серьезно,adverbs,2.75
915,mrówka,пчела,nouns,0.55
916,wartość,темп,nouns,0.35
917,filiżanka,кувшин,nouns,1.3
918,zapominać,игнорировать,verbs,1.75
919,parasol,калибр,nouns,0.0
920,jechać,останавливаться,verbs,0.05
921,depresja,долина,nouns,0.7
922,decydować,завершать,verbs,1.6
923,instruktor,учитель,nouns,5.1
924,ubrany,покрытый,adjectives,1.55
925,lód,вода,nouns,1.65
926,dostać,оставаться,verbs,0.0
927,wąski,грязный,adjectives,0.0
928,szybkość,пост,nouns,0.0
929,bezdomny,миллиардер,nouns,0.05
930,mokry,липкий,adjectives,0.7
931,debatować,спорить,verbs,3.0
932,płaszcz,шляпа,nouns,0.55
933,podekscytowany,испуганный,adjectives,0.25
934,brać,получать,verbs,1.55
935,krzak,цветок,nouns,1.1
936,wyścig,выходные,nouns,0.0
937,kolacja,курятина,nouns,0.5
938,stopa,база,nouns,0.3
939,cenny,ленивый,adjectives,0.0
940,wierzch,низ,nouns,0.15
941,duch,бог,nouns,2.1
942,rozmazywać,размазывать,verbs,3.6
943,wycofywać się,покидать,verbs,3.0
944,stać się,завершать,verbs,1.45
945,klakson,автомобиль,nouns,0.55
946,oszczędzać,тратить,verbs,0.05
947,jezioro,облако,nouns,0.35
948,nabyć,находить,verbs,1.15
949,dłoń,палец,nouns,1.2
950,syn,мальчик,nouns,2.2
951,przeciwny,уникальный,adjectives,0.3
952,stary,новый,adjectives,0.1
953,piłka,корзина,nouns,0.7
954,poeta,журналист,nouns,0.6
955,policjant,политик,nouns,0.15
956,osiągnąć,преуспевать,verbs,3.1
957,pens,сделка,nouns,0.15
958,pasywnie,надёжно,adverbs,0.1
959,sztywny,легкий,adjectives,0.0
960,narodowy,известный,adjectives,0.3
961,trybunał,справедливость,nouns,1.85
962,szpik,кровь,nouns,0.65
963,rozdział,выбор,nouns,0.45
964,nawalić,полагаться,verbs,0.0
965,złapać,гнаться,verbs,1.4
966,żona,ванна,nouns,0.0
967,wędrować,странствовать,verbs,4.1
968,zezwalać,давать,verbs,1.6
969,gwiazda,астероид,nouns,1.7
970,sacharoza,углевод,nouns,2.1
971,zęby,молоток,nouns,0.05
972,szachy,шах,nouns,1.95
973,starożytny,современный,adjectives,0.05
974,niedawno,реалистично,adverbs,0.0
975,wanna,жена,nouns,0.0
976,ruch,действие,nouns,3.65
977,wiadomości,редакционный,nouns,0.8
978,prosić,угождать,verbs,0.5
979,rytm,стих,nouns,1.0
980,nigdy,щедро,adverbs,0.0
981,nudny,смешной,adjectives,0.05
982,unikać,отвергать,verbs,1.65
983,podnieść,тащить,verbs,1.25
984,odchodzić,оставаться,verbs,0.0
985,słoik,чашка,nouns,1.3
986,ubrania,пальто,nouns,2.1
987,ekosystem,экономика,nouns,0.4
988,schorzenie,инфекция,nouns,2.9
989,kłaść,вешать,verbs,0.4
990,ewaluować,изучать,verbs,1.95
991,organizować,собирать,verbs,2.3
992,pobić,выиграть,verbs,1.55
993,walka,воинственность,nouns,2.4
994,węglowodan,сахароза,nouns,2.1
995,puszka,бутылка,nouns,0.95
996,dobry,пряный,adjectives,0.6
997,mechanik,работник,nouns,2.0
998,cygaro,пачка,nouns,0.45
999,spód,бок,nouns,0.4
1000,cukier,мед,nouns,0.8
1001,słowo,газета,nouns,0.85
1002,ramię,колено,nouns,0.65
1003,klasa,коридор,nouns,0.6
1004,przebiegły,умный,adjectives,1.05
1005,pewien,нервный,adjectives,0.05
1006,kłamać,отрицать,verbs,1.0
1007,temat,книга,nouns,0.75
1008,biografia,роман,nouns,0.65
1009,wirus,кровь,nouns,0.65
1010,wymagać,устраивать,verbs,0.25
1011,informować,сообщать,verbs,5.25
1012,duży,национальный,adjectives,0.05
1013,skończyć,откладывать,verbs,0.15
1014,ubrania,пуговица,nouns,0.95
1015,klatka piersiowa,тело,nouns,1.6
1016,mądrość,ум,nouns,4.05
1017,otrzymywać,принимать,verbs,2.35
1018,niespokojny,молодой,adjectives,0.85
1019,wydarzyć się,происходить,verbs,3.35
1020,patogen,микроб,nouns,4.15
1021,siostra,брат,nouns,1.05
1022,chaotyczny,организованный,adjectives,0.0
1023,otwór drzwiowy,выход,nouns,3.3
1024,duma,радость,nouns,1.5
1025,spotykać,приветствовать,verbs,1.4
1026,cytrus,апельсин,nouns,3.7
1027,dostarczać,брать,verbs,0.35
1028,dzisiaj,сегодня ночью,adverbs,1.9
1029,robić,прекращать,verbs,0.1
1030,lekko,ярко,adverbs,0.15
1031,sprawiedliwość,суд,nouns,1.85
1032,zezwalać,позволять,verbs,5.25
1033,bogactwo,репутация,nouns,0.95
1034,indyk,птица,nouns,2.7
1035,słyszeć,слушать,verbs,2.6
1036,płyta matka,главная плата,nouns,3.5
1037,stopa,значение,nouns,0.35
1038,mężczyzna,воин,nouns,1.35
1039,wymieszać,растворять,verbs,1.55
1040,pewny,утомительный,adjectives,0.0
1041,cal,метр,nouns,1.2
1042,szczęscie,печаль,nouns,0.05
1043,miotła,пыль,nouns,0.75
1044,palec,ладонь,nouns,1.2
1045,znaleźć,искать,verbs,1.05
1046,rozbić,разгромить,verbs,4.25
1047,arytmetyka,логика,nouns,0.95
1048,deputowany,офицер,nouns,1.8
1049,zamierzać,пытаться,verbs,2.45
1050,zwierzę,человек,nouns,0.4
1051,niesprawiedliwy,жестокий,adjectives,1.75
1052,szczęka,кость,nouns,1.15
1053,jasność,звезда,nouns,1.25
1054,umrzeć,распадаться,verbs,0.75
1055,wypadek,бедствие,nouns,4.1
1056,pas,петля,nouns,0.75
1057,leniwy,драгоценный,adjectives,0.0
1058,eksmitować,покидать,verbs,0.7
1059,mozaika,базилика,nouns,0.35
1060,rozmiar,трюк,nouns,0.05
1061,alkohol,вино,nouns,2.55
1062,pociągać,ударять,verbs,0.0
1063,być dłużnym,входить,verbs,0.0
1064,bawić się,драться,verbs,0.05
1065,ojciec,сын,nouns,1.0
1066,nauczyciel,преподаватель,nouns,5.1
1067,kongres,парламент,nouns,2.15
1068,chmura,мгла,nouns,1.25
1069,informacja,газета,nouns,1.9
1070,szczęśliwie,смертельно,adverbs,0.1
1071,woda,соль,nouns,0.5
1072,nigdy,потом,adverbs,0.3
1073,udowodnić,объяснять,verbs,2.25
1074,czerwony,синий,adjectives,0.05
1075,łóżko,одеяло,nouns,0.85
1076,środowisko,меч,nouns,0.2
1077,wszechmoc,примат,nouns,0.8
1078,klucz,замок,nouns,0.65
1079,nerw,мозг,nouns,0.85
1080,głębia,величина,nouns,1.3
1081,wykonalny,невозможный,adjectives,0.15
1082,analizować,сравнивать,verbs,3.7
1083,zaprzeczać,соглашаться,verbs,0.05
1084,winda,коробка,nouns,0.45
1085,dodawać,строить,verbs,0.7
1086,chwytać,брать,verbs,1.65
1087,kultura,общество,nouns,1.05
1088,szosa,автомобиль,nouns,0.7
1089,wysyłać,посещать,verbs,0.1
1090,okropny,плохой,adjectives,4.05
1091,kruchy,бесстрастный,adjectives,0.15
1092,spekulować,сделать ставку,verbs,2.55
1093,śniadanie,ужин,nouns,0.5
1094,raz,немедленно,adverbs,0.15
1095,konieczny,важный,adjectives,3.85
1096,wybór,мнение,nouns,0.9
1097,przyjść,идти,verbs,1.55
1098,zachęcać,отговаривать,verbs,0.05
1099,ogromny,крошечный,adjectives,0.0
1100,neutralny,спокойный,adjectives,1.75
1101,wielościan,актер,nouns,0.0
1102,krzesło,телескоп,nouns,0.0
1103,unosić się,петь,verbs,0.05
1104,legenda,мораль,nouns,0.7
1105,zasada,конвенция,nouns,1.85
1106,pieniądze,бриллиант,nouns,0.65
1107,społeczeństwo,культура,nouns,1.05
1108,sałatka,диета,nouns,0.55
1109,istotny,незначительный,adjectives,0.05
1110,akapit,страница,nouns,0.7
1111,hymn,библия,nouns,1.4
1112,cel,победитель,nouns,0.25
1113,perła,деньги,nouns,0.25
1114,jabłko,сладость,nouns,0.6
1115,przynieść,жаловаться,verbs,0.1
1116,szeroki,свежий,adjectives,0.05
1117,przekonanie,представление,nouns,1.45
1118,wchodzić,задолжать,verbs,0.0
1119,kochanek,спутник,nouns,1.55
1120,zakryty,непокрытый,adjectives,0.1
1121,przytulić,душить,verbs,0.3
1122,podłoga,потолок,nouns,0.35
1123,cicho,пассивно,adverbs,1.3
1124,atom,углерод,nouns,1.5
1125,często,редко,adverbs,0.05
1126,silnie,официально,adverbs,0.55
1127,łódź,автомобиль,nouns,0.6
1128,dziwny,скрытный,adjectives,0.65
1129,ogier,парень,nouns,0.85
1130,wzrosnąć,расти,verbs,2.9
1131,artysta ,искусства,nouns,1.1
1132,waluta,совпадение,nouns,0.0
1133,telewizja,сценарист,nouns,0.55
1134,żona,солома,nouns,0.0
1135,naśladować,захватить,verbs,0.0
1136,wydawać,копить,verbs,0.05
1137,zaniepokojony,испуганный,adjectives,3.8
1138,rozsmarować,мазать,verbs,3.6
1139,przyjaciel,парень,nouns,1.4
1140,wartość,вера,nouns,1.3
1141,łazienka,кухня,nouns,0.65
1142,głodny,иссохший,adjectives,1.05
1143,czyściec,загробный мир,nouns,2.1
1144,ojciec,бог,nouns,1.8
1145,cegła,стена,nouns,0.85
1146,sok,ложка,nouns,0.15
1147,piłka,перчатка,nouns,0.15
1148,okno,облако,nouns,0.2
1149,konieczny,ненужный,adjectives,0.05
1150,czuć,верить,verbs,1.05
1151,marginalnie,грубо,adverbs,0.55
1152,zakładać,предсказывать,verbs,3.25
1153,chcieć,выбирать,verbs,1.05
1154,kurczyć się,расти,verbs,0.0
1155,ciało,нерв,nouns,0.5
1156,bekon,боб,nouns,0.3
1157,przyjaciel,мать,nouns,0.7
1158,jabłko,повидло,nouns,0.55
1159,odkryć,изучать,verbs,2.8
1160,pracownik,работодатель,nouns,0.95
1161,niebezpieczeństwo,болезнь,nouns,0.45
1162,psychologia,наука,nouns,1.9
1163,schowek,одежда,nouns,0.4
1164,bęben,гитара,nouns,0.9
1165,erodować,носить,verbs,0.0
1166,posiąść,поглощать,verbs,0.85
1167,ścigać,ловить,verbs,1.4
1168,ludzie,цент,nouns,0.05
1169,pojętny,хитрый,adjectives,1.05
1170,historyk,историограф,nouns,2.55
1171,chodzić,хромать,verbs,0.85
1172,pojmać,подражать,verbs,0.0
1173,książka,информация,nouns,1.15
1174,pokój,счастье,nouns,2.05
1175,kanapka,мясо,nouns,0.35
1176,test,суд,nouns,0.7
1177,cząsteczka,воздух,nouns,0.9
1178,dekoracja,конверт,nouns,0.2
1179,matka,подруга,nouns,0.7
1180,żyć,выживать,verbs,2.45
1181,złapać,получать,verbs,0.45
1182,przeważnie,глубоко,adverbs,0.0
1183,pręt,клетка,nouns,0.25
1184,sytuacja,обстоятельство,nouns,4.4
1185,rożek,стакан,nouns,0.25
1186,pożyczyć,давать,verbs,1.5
1187,chłopiec,солдат,nouns,0.5
1188,dar,писатель,nouns,0.4
1189,czasopismo,статья,nouns,1.35
1190,ramię,тело,nouns,1.3
1191,pociąg,трамвай,nouns,1.8
1192,bitwa,завоевание,nouns,2.25
1193,mąż,мужчина,nouns,2.4
1194,zatrzymywać,забывать,verbs,0.35
1195,talia,желудок,nouns,0.35
1196,strumień,река,nouns,2.15
1197,radar,джойстик,nouns,0.25
1198,młotek,зубы,nouns,0.05
1199,południe,север,nouns,0.3
1200,bogactwo,бедность,nouns,0.2
1201,wybierać,хотеть,verbs,1.05
1202,karać,подчиниться,verbs,0.5
1203,odkryć,осознавать,verbs,3.35
1204,ramię,нога,nouns,0.65
1205,entropia,информация,nouns,0.15
1206,przypominać,продавать,verbs,0.05
1207,porozumienie,прореха,nouns,0.0
1208,wysyłać,приносить,verbs,0.15
1209,mysz,палуба,nouns,0.4
1210,wyspa,флот,nouns,0.4
1211,widoczny,очевидный,adjectives,2.5
1212,ananas,смартфон,nouns,0.0
1213,stół,закат,nouns,0.0
1214,bagaż,кругосветное плавание,nouns,0.5
1215,mieszany,старый,adjectives,0.05
1216,udusić,сокрушать,verbs,0.9
1217,nienaturalnie,естественно,adverbs,0.05
1218,herbata,лимон,nouns,0.5
1219,pochówek,смерть,nouns,1.35
1220,posiłek,ужин,nouns,3.3
1221,drzewo,клен,nouns,2.9
1222,pracodawca,работник,nouns,0.8
1223,guma,мята,nouns,0.3
1224,żona,цент,nouns,0.05
1225,zaznaczyć,оценивать,verbs,1.5
1226,trząść,собирать,verbs,0.05
1227,smutek,счастье,nouns,0.05
1228,łatwy,большой,adjectives,0.0
1229,odmawiać,отказаться,verbs,3.35
1230,przestraszony,стеснительный,adjectives,1.25
1231,świt,ружье,nouns,0.0
1232,samochód,судно,nouns,0.6
1233,zadanie,автострада,nouns,0.15
1234,gitara,барабан,nouns,0.9
1235,trik,игра,nouns,0.95
1236,nigdy,честно говоря,adverbs,0.0
1237,dekoracja,стена,nouns,0.75
1238,przebiegły,выносливый,adjectives,1.3
1239,sukienka,танец,nouns,0.35
1240,acetylocholina,ирис,nouns,0.3
1241,zwycięzca,кандидат,nouns,0.75
1242,później,никогда,adverbs,0.3
1243,parlament,конгресс,nouns,2.15
1244,prognoza,облачность,nouns,0.7
1245,niszczyć,создавать,verbs,0.05
1246,koń,кобыла,nouns,3.75
1247,para,чета,nouns,5.15
1248,tworzyć,делать,verbs,3.85
1249,mechaniczny,электрический,adjectives,0.35
1250,prawdopodobnie,возможно,adverbs,4.2
1251,kampania,обезьяна,nouns,0.0
1252,pytać,умолять,verbs,2.5
1253,cukierek,яблоко,nouns,0.6
1254,przerobić,менять,verbs,2.7
1255,źdźbło,трава,nouns,3.55
1256,pobieżnie,очевидно,adverbs,0.1
1257,kurczyć się,исчезать,verbs,1.6
1258,krzesło,табуретка,nouns,3.0
1259,drzwi,подвал,nouns,0.4
1260,werdykt,разбирательство,nouns,1.55
1261,rzadko,никогда,adverbs,0.6
1262,obierać,отклонять,verbs,0.3
1263,pchać,тянуть,verbs,0.55
1264,astronom,галактика,nouns,1.3
1265,serce,операция,nouns,0.55
1266,szeroki,узкий,adjectives,0.05
1267,konwencja,правило,nouns,1.85
1268,śmieszny,серьезный,adjectives,0.05
1269,stulecie,год,nouns,0.75
1270,powiedzieć,напоминать,verbs,1.2
1271,jabłko,диета,nouns,0.35
1272,era,десятилетие,nouns,1.85
1273,zwycięstwo,триумф,nouns,5.35
1274,chybić,ударять,verbs,0.05
1275,zwieść,мошенничать,verbs,4.55
1276,pobieżnie,надежно,adverbs,0.15
1277,lawina,снег,nouns,1.85
1278,dziwaczny,странный,adjectives,5.2
1279,zapominać,прощать,verbs,1.7
1280,zadanie,остров,nouns,0.0
1281,mysz,контейнер,nouns,0.05
1282,broń,шлем,nouns,0.85
1283,współbieżność,валюта,nouns,0.0
1284,postawa,уверенность,nouns,2.0
1285,odchodzić,прибывать,verbs,0.0
1286,łódź,якорь,nouns,0.95
1287,wybór,тюрьма,nouns,0.05
1288,infekcja,болезнь,nouns,3.0
1289,noc,день,nouns,0.15
1290,pasja,эмоция,nouns,2.3
1291,oddzielać,отходить,verbs,0.2
1292,święto,календарь,nouns,0.9
1293,lemma,слог,nouns,0.4
1294,zgryzota,мука,nouns,1.15
1295,plakat,бумага,nouns,1.75
1296,woda,лед,nouns,1.65
1297,upaść,спотыкаться,verbs,1.55
1298,bronić,защищать,verbs,4.6
1299,neuropsychologia,парапсихология,nouns,1.3
1300,żołnierz,мир,nouns,0.45
1301,ciastko,принцесса,nouns,0.0
1302,dżentelmen,госпожа,nouns,1.5
1303,odchodzić,идти,verbs,1.3
1304,biblia,псалом,nouns,1.4
1305,pies,лошадь,nouns,0.45
1306,osoba,персонаж,nouns,2.05
1307,fakt,суть,nouns,2.35
1308,szczęśliwie,активно,adverbs,0.3
1309,towarzysz,возлюбленный,nouns,1.55
1310,gorączka,болезнь,nouns,1.35
1311,klucz,корона,nouns,0.05
1312,nosić,рвать,verbs,0.0
1313,sierżant,пистолет,nouns,0.45
1314,delikatnie,теперь,adverbs,0.0
1315,śmiało,тайно,adverbs,0.0
1316,wulkan,магма,nouns,1.75
1317,miły,великодушный,adjectives,1.3
1318,armia,флот,nouns,3.0
1319,klacz,лошадь,nouns,3.75
1320,pić,перемешать,verbs,0.1
1321,droga,шоссе,nouns,5.0
1322,wartościowy,особый,adjectives,2.3
1323,wyspa,полуостров,nouns,1.25
1324,smutny,гордый,adjectives,0.05
1325,ludzie,ружье,nouns,0.05
1326,dioda,конденсатор,nouns,0.95
1327,nauczyciel,ученик,nouns,0.55
1328,fiołek,цветок,nouns,2.85
1329,teleskop,стул,nouns,0.0
1330,medium,новость,nouns,0.8
1331,trawa,травинка,nouns,3.55
1332,głowa,плечо,nouns,0.65
1333,wino,бренди,nouns,1.35
1334,struktura,топология,nouns,2.6
1335,rower,спальня,nouns,0.0
1336,miksować,бить,verbs,0.3
1337,opowieść,книга,nouns,1.8
1338,chmura,погода,nouns,0.8
1339,wznosić,пить,verbs,0.1
1340,pobieżnie,легко,adverbs,0.15
1341,uczyć się,оценивать,verbs,1.95
1342,flaga,изучение флагов,nouns,1.15
1343,stopa,голова,nouns,0.45
1344,stopa,песок,nouns,0.0
1345,sensor,радиатор,nouns,0.25
1346,walczyć,убивать,verbs,0.65
1347,znikać,исчезать,verbs,4.85
1348,przywrócić,приносить,verbs,0.85
1349,deszcz,изморось,nouns,1.6
1350,wielokrotnie,дважды,adverbs,0.6
1351,łazienka,спальня,nouns,0.7
1352,wolność,оазис,nouns,0.4
1353,rząd,ящерица,nouns,0.0
1354,frustrować,отговаривать,verbs,0.95
1355,przybywać,покидать,verbs,0.0
1356,nieść,приносить,verbs,2.25
1357,niewiarygodny,коварный,adjectives,2.1
1358,zostawić,забирать,verbs,0.05
1359,zeznawać,судить,verbs,0.25
1360,neutralny,нерешительный,adjectives,1.45
1361,cielę,бык,nouns,2.1
1362,połykać,пить,verbs,2.1
1363,nieść,брать,verbs,0.15
1364,nauka,психология,nouns,1.9
1365,piosenkarz,хор,nouns,0.85
1366,ryż,боб,nouns,0.6
1367,uzyskać,брать,verbs,1.4
1368,suma,соединение,nouns,1.35
1369,intrygant,стратег,nouns,1.45
1370,wąż ogrodowy,сад,nouns,0.65
1371,ciotka,племянник,nouns,0.85
1372,waluta,обмен,nouns,0.55
1373,energia,батарейка,nouns,1.9
1374,regularny,средний,adjectives,2.65
1375,tryb,мода,nouns,0.4
1376,rozwalić,разбивать,verbs,4.25
1377,ocean,море,nouns,1.9
1378,absorbować,учиться,verbs,0.6
1379,chłopiec,ребенок,nouns,2.75
1380,miska,дорожка,nouns,0.0
1381,czasem,когда,adverbs,0.7
1382,jedzenie,программа,nouns,0.25
1383,metr,ярд,nouns,2.0
1384,mapa,площадь,nouns,0.35
1385,występować,приветствовать,verbs,0.6
1386,prymitywny,уродливый,adjectives,1.1
1387,mnożenie,деление,nouns,0.45
1388,taniec,платье,nouns,0.35
1389,niebieski,красный,adjectives,0.05
1390,natychmiast,один раз,adverbs,0.15
1391,slajd,указатель,nouns,0.0
1392,anarchia,хаос,nouns,4.6
1393,głupi,упрямый,adjectives,0.65
1394,zniechęcać,подбодрять,verbs,0.05
1395,wąż ,ящерица,nouns,0.8
1396,czekać,оставаться,verbs,1.25
1397,jagnię,овца,nouns,3.5
1398,smutno,эмоционально,adverbs,0.85
1399,trząść,размешать,verbs,1.6
1400,dusza,брат,nouns,0.65
1401,uznawać,говорить,verbs,0.65
1402,szosa,дорога,nouns,5.0
1403,razić,щуриться,verbs,0.35
1404,konstytucja,сенат,nouns,0.8
1405,ozon,атмосфера,nouns,1.9
1406,szeroki,большой,adjectives,1.75
1407,dać,отрекаться,verbs,0.05
1408,gra,действие,nouns,1.8
1409,odrzucić,принимать,verbs,0.05
1410,dać,знать,verbs,0.3
1411,wyścigi,философ,nouns,0.0
1412,wybór,выборы,nouns,2.5
1413,szczur,мышь,nouns,1.65
1414,olej,норка,nouns,0.2
1415,decydować,думать,verbs,1.95
1416,zupełnie,в принципе,adverbs,0.9
1417,poważnie,искренне,adverbs,1.3
1418,sześcian,игральная кость,nouns,2.15
1419,hełm,оружие,nouns,0.85
1420,palec,палец,nouns,5.25
1421,śpiewać,смеяться,verbs,0.2
1422,łatwy,тяжелый,adjectives,0.05
1423,talia,трапеза,nouns,0.05
1424,cesarz,губернатор,nouns,1.05
1425,prezydent,загрязнение,nouns,0.1
1426,precyzyjny,неправильный,adjectives,0.0
1427,mutant,социобиология,nouns,0.4
1428,znaleźć,обнаруживать,verbs,4.1
1429,tępy,острый,adjectives,0.05
1430,myśleć,спрашивать,verbs,0.55
1431,trik,размер,nouns,0.05
