ID,EST,SPA,PoS,score
734,mitte nõustuma,estar de acuerdo,verbs,0.65
735,makse,nota,nouns,1.0
736,jagama,añadir,verbs,0.3
737,tunnistama,juez,verbs,1.0
738,pilv,clima,nouns,1.1
739,ehitamine,destrucción,nouns,0.6
740,number,citoplasma,nouns,0.05
741,häbelik,asustado,adjectives,2.0
742,järg,cámara,nouns,0.15
743,seebivaht,burbuja,nouns,2.05
744,looma,dibujar,verbs,1.4
745,kogunemine,convocatoria,nouns,4.1
746,nõustuma,aceptar,verbs,4.4
747,laenama,desear,verbs,0.8
748,ilm,ola,nouns,0.5
749,juhm,infantil,adjectives,1.9
750,raev,enfado,nouns,4.5
751,toru,cigarro,nouns,0.55
752,ilmselt,obviamente,adverbs,2.65
753,süsteemiplaat,tarjeta madre,nouns,2.8
754,teoreem,teoría,nouns,3.2
755,küün,casa,nouns,1.1
756,väsinud,hambriento,adjectives,0.95
757,kokkulepe,agujero,nouns,0.05
758,aatom,molécula,nouns,2.0
759,harilik,extraño,adjectives,0.45
760,kurb,orgulloso,adjectives,0.05
761,magamistuba,estómago,nouns,0.2
762,lai,estrecho,adjectives,0.35
763,artikkel,diario,nouns,1.65
764,idee,imagen,nouns,1.15
765,raam,golpear,nouns,0.4
766,vend,alma,nouns,0.45
767,surm,entierro,nouns,1.6
768,unustama,saber,verbs,0.3
769,maatriks,vector,nouns,1.6
770,tank,coche,nouns,0.8
771,voodi,habitación,nouns,1.0
772,paat,coche,nouns,0.7
773,käsi,pulgar,nouns,1.45
774,keeruline,fácil,adjectives,0.4
775,võitma,tener éxito,verbs,3.65
776,lusikas,vaso,nouns,1.2
777,magamistuba,bicicleta,nouns,0.2
778,näljane,cansado,adjectives,0.95
779,ava,brecha,nouns,2.9
780,märksõna,sintaxis,nouns,0.95
781,voolik,jardín,nouns,0.7
782,lahkuma,unirse,verbs,0.4
783,õppima,olvidar,verbs,0.3
784,valik,elección,nouns,3.65
785,valima,decidir,verbs,3.75
786,küünarnukk,tobillo,nouns,0.8
787,leht,planta de semilla,nouns,1.2
788,kahtlustama,arrestar,verbs,1.05
789,karm,astuto,adjectives,0.45
790,teemaviide,tema,nouns,2.55
791,pastakas,alfabeto,nouns,0.7
792,ajakirjanik,poeta,nouns,1.15
793,õhtueine,comida,nouns,3.5
794,veri,carne,nouns,0.8
795,elekter,caso,nouns,0.2
796,ruumikas,grande,adjectives,3.45
797,rannik,barco de cañón,nouns,0.7
798,kurbus,felicidad,nouns,0.9
799,simulatsioon,robótica,nouns,1.15
800,saama,comprar,verbs,2.5
801,tähelepanelikult,cautelosamente,adverbs,4.35
802,raskus,esfuerzo,nouns,2.5
803,spirituaalne,incorpóreo,adjectives,3.4
804,kitsas,largo,adjectives,0.6
805,hirmul,ansioso,adjectives,1.75
806,homme,esta noche,adverbs,0.35
807,antropoloogia,arqueología,nouns,1.25
808,kapten,marinero,nouns,1.4
809,vine,nube,nouns,1.4
810,varastama,tomar,verbs,1.5
811,lükkama,tirar,verbs,1.25
812,vann,tronco,nouns,0.0
813,ignorantsus,inteligencia,nouns,0.65
814,riff,playa,nouns,1.25
815,võtma,poseer,verbs,2.1
816,hõljuma,cantar,verbs,0.0
817,suhtumine,confianza,nouns,1.35
818,salat,dieta,nouns,0.95
819,vihkama,criticar,verbs,1.1
820,uba,arroz,nouns,1.15
821,valimine,decisión,nouns,3.65
822,aju,nervio,nouns,1.4
823,nüri,agudo,adjectives,0.35
824,küpsis,princesa,nouns,0.05
825,teavitama,reconocer,verbs,1.15
826,kultuur,sociedad,nouns,2.25
827,arutelu,discusión,nouns,2.85
828,silm,frente,nouns,1.0
829,eine,cintura,nouns,0.4
830,peatükk,noche,nouns,0.4
831,liha,sándwich,nouns,0.9
832,kole,sucio,adjectives,1.15
833,raamat,información,nouns,1.15
834,külaline,amigo,nouns,1.8
835,uitama,buscar,verbs,1.3
836,häbenev,culpable,adjectives,1.9
837,reaktiivmootor,avión,nouns,0.55
838,äri,industria,nouns,2.6
839,kartul,mantequilla,nouns,0.85
840,raamat,biblia,nouns,1.75
841,kõht,vena,nouns,0.35
842,saar,tarea,nouns,0.05
843,salat,vinagre,nouns,0.8
844,päikesepaiste,manzana,nouns,0.45
845,otsustama,juzgar,verbs,2.65
846,mõnikord,seguramente,adverbs,0.55
847,ohtlikult,cuidadosamente,adverbs,0.35
848,aed,saltando,nouns,0.65
849,kuulma,hablar,verbs,0.7
850,suurus,centavo,nouns,0.45
851,vill,ilustración,nouns,0.05
852,ühinema,casarse,verbs,2.15
853,sünnipäev,año,nouns,1.3
854,vihm,granizo,nouns,1.85
855,intelligentsus,visión,nouns,0.7
856,konteiner,ratón,nouns,0.25
857,eelarvamus,chauvinista,nouns,1.35
858,tapeet,fondo,nouns,2.2
859,jalg,mano,nouns,1.3
860,ausalt,fielmente,adverbs,2.85
861,lõuna,sandwich,nouns,0.95
862,pesapall,sofá,nouns,0.2
863,haruldane,tonto,adjectives,0.1
864,seletama,discutir,verbs,1.8
865,voodi,manta,nouns,1.15
866,haihtuma,desaparecer,verbs,5.2
867,ohutu,legal,adjectives,1.75
868,rahvas,pistola,nouns,0.1
869,hiljutine,nuevo,adjectives,4.05
870,kriket,seguidor,nouns,0.0
871,piirama,reducir,verbs,2.95
872,isiklik,íntimo,adjectives,4.55
873,kulm,ojo,nouns,1.0
874,kahuripaat,costa,nouns,0.7
875,võtma,salir,verbs,0.6
876,ebatõenäoline,simpático,adverbs,0.0
877,semu,amigo,nouns,4.3
878,imeline,encantador,adjectives,2.75
879,ajastu,década,nouns,2.4
880,saama,hacer,verbs,0.95
881,võlgnema,prestar,verbs,0.75
882,kätte toimetama,aceptar,verbs,0.5
883,jõgi,valle,nouns,1.85
884,raha,salario,nouns,3.55
885,mehaanik,obrero,nouns,2.35
886,mõtlema,preguntar,verbs,0.75
887,ksenofoobia,racismo,nouns,4.1
888,tragöödia,muerte,nouns,2.15
889,tunnistama,negar,verbs,0.45
890,ebamoraalne,ilegal,adjectives,1.9
891,kohutav,genial,adjectives,0.35
892,valjusti,suavemente,adverbs,0.15
893,partner,chico,nouns,1.5
894,steik,carne,nouns,3.9
895,emotsioon,estado animico,nouns,3.55
896,kass,conejo,nouns,0.95
897,biheiviorism,terapia,nouns,0.95
898,eesnahk,circuncisión,nouns,1.7
899,jagamine,multiplicación,nouns,0.95
900,hoovus,río,nouns,1.55
901,koidik,pistola,nouns,0.05
902,tugevus,capacidad,nouns,2.95
903,rahustama,humillar,verbs,0.0
904,analüüsima,evaluar,verbs,3.85
905,võimas,débiles,adjectives,0.25
906,reisima,ir,verbs,2.55
907,prognoos,nublado,nouns,1.15
908,seemik,hoja,nouns,1.2
909,hiljuti,recientemente,adverbs,4.45
910,klass,universidad,nouns,1.4
911,otsustama,concluir,verbs,1.85
912,kõrs,himno,nouns,0.05
913,rikkumata,modesto,adjectives,0.85
914,õppima,escuchar,verbs,1.4
915,alkohol,whisky,nouns,2.1
916,lõpetama,competir,verbs,0.3
917,võitja,hombre,nouns,0.6
918,umbes,ligeramente,adverbs,0.65
919,poleerima,informar,verbs,0.0
920,kinnas,pelota,nouns,0.75
921,lagunema,destruir,verbs,2.55
922,sisenema,deber,verbs,0.05
923,uduvihm,lluvia,nouns,4.2
924,kaebama,traer,verbs,0.05
925,säästja,ahorro,nouns,2.3
926,partner,niño,nouns,1.05
927,printsess,isla,nouns,0.05
928,kärbes,hormiga,nouns,1.0
929,maantee,tarea,nouns,0.15
930,hindama,aprender,verbs,0.9
931,uudised,medio,nouns,1.75
932,reostus,atmósfera,nouns,1.05
933,leidma,adquirir,verbs,1.35
934,alkohol,vino,nouns,2.05
935,ennustama,asumir,verbs,3.0
936,apelsin,cítrico,nouns,3.15
937,null,infinito,nouns,0.8
938,tegu,juego,nouns,1.55
939,jumal,presa,nouns,0.1
940,relv,cañón,nouns,1.85
941,kunaiganes,a veces,adverbs,1.2
942,unustama,recordar,verbs,0.4
943,trikk,bañera,nouns,0.0
944,teavitama,informar,verbs,5.15
945,pankur,abogado,nouns,1.3
946,koostööd tegema,unirse,verbs,2.5
947,slaid,puntero,nouns,0.3
948,põngerjas,hija,nouns,0.7
949,käsipuu,cerca,nouns,0.5
950,laps,hombre,nouns,1.0
951,külm,ordinario,adjectives,0.25
952,siidiuss,oruga,nouns,2.85
953,molekul,átomo,nouns,2.0
954,märg,pegajoso,adjectives,1.3
955,taastama,traer,verbs,0.15
956,anuma,complacer,verbs,0.45
957,looma,destruir,verbs,0.35
958,keha,nervio,nouns,0.6
959,avastama,explorar,verbs,3.0
960,maantee,coche,nouns,1.25
961,kergelt,aproximadamente,adverbs,0.55
962,ema,esposa,nouns,2.2
963,ebaseaduslik,legal,adjectives,0.45
964,automobiil,coche,nouns,5.25
965,ülesanne,mujer,nouns,0.15
966,lisama,multiplicar,verbs,1.25
967,võrevoodi,cuna,nouns,2.6
968,naps,siglo,nouns,0.05
969,lahkuma,esperar,verbs,0.3
970,mitte nõustuma,luchar,verbs,1.4
971,pettus,corrupción,nouns,3.65
972,lagi,suelo,nouns,0.95
973,kohtuma,reunir,verbs,2.8
974,fakt,prueba,nouns,2.8
975,tuntud,nacional,adjectives,0.7
976,korrutamine,división,nouns,0.95
977,kalju,cola,nouns,0.0
978,lihtsalt,aparentemente,adverbs,0.9
979,rand,orilla,nouns,3.25
980,edu saavutama,tratar,verbs,0.95
981,vähendama,restringir,verbs,2.95
982,salaja,con confianza,adverbs,0.95
983,ohutus,comodidad,nouns,1.65
984,kostüüm,pelota,nouns,0.8
985,laisk,precioso,adjectives,0.15
986,rong,tranvía,nouns,2.45
987,võrevoodi,cama,nouns,3.5
988,jumal,padre,nouns,1.05
989,sipelgas,abeja,nouns,0.95
990,valelik,malo,adjectives,1.95
991,õpetama,educar,verbs,4.95
992,naiivne,inocente,adjectives,2.7
993,põgenema,encontrar,verbs,0.35
994,kannatamatult,aproximadamente,adverbs,0.25
995,lööma,ganar,verbs,0.95
996,vesi,sal,nouns,0.55
997,forell,guitarra,nouns,0.0
998,olukord,condición,nouns,4.0
999,kaklema,discrepar,verbs,1.4
1000,palvetama,pedir,verbs,1.65
1001,radikaalne,violento,adjectives,2.0
1002,huul,cadera,nouns,0.55
1003,saama,tomar,verbs,1.65
1004,reaalsus,fantasía,nouns,0.6
1005,rist,monje,nouns,0.55
1006,semu,acompañante,nouns,4.25
1007,otsima,buscar,verbs,1.8
1008,hoidma,perder,verbs,0.25
1009,jogurt,ganado,nouns,0.5
1010,laulja,actor,nouns,1.4
1011,liha,filete,nouns,3.9
1012,arvamus,idea,nouns,3.25
1013,ründama,herir,verbs,2.55
1014,lipp,vexilología,nouns,1.3
1015,kaks korda,una vez,adverbs,0.65
1016,süüdi,honesto,adjectives,0.45
1017,naine,pantalones,nouns,0.3
1018,kohut mõistma,testificar,verbs,1.0
1019,inimene,animal,nouns,0.95
1020,kass,león,nouns,1.5
1021,otsima,preguntar,verbs,1.3
1022,käelaba,muñeca,nouns,2.05
1023,org,río,nouns,1.85
1024,ala,región,nouns,3.55
1025,lennuk,aeropuerto,nouns,1.4
1026,jõukus,prestigio,nouns,1.2
1027,laisk,ocupado,adjectives,0.3
1028,sekund,minuto,nouns,2.1
1029,osuti,diapositiva,nouns,0.3
1030,ignoreerima,olvidar,verbs,2.0
1031,süütu,gratis,adjectives,0.6
1032,alandama,comodidad,verbs,0.0
1033,müüma,recordar,verbs,0.0
1034,preester,monje,nouns,2.65
1035,kasvama,encoger,verbs,0.4
1036,lugema,morder,verbs,0.1
1037,talv,temporada,nouns,2.9
1038,haisema,oler,verbs,2.65
1039,privaatne,público,adjectives,0.7
1040,hobune,perro,nouns,0.7
1041,ilmuma,volverse,verbs,0.8
1042,teooria,hipótesis,nouns,3.2
1043,saavutama,recoger,verbs,0.7
1044,sahharoos,carbohidrato,nouns,2.5
1045,laps,adulto,nouns,0.75
1046,tõend,hecho,nouns,2.8
1047,pragunema,romper,verbs,2.1
1048,soovitama,aceptar,verbs,0.65
1049,vastandlik,único,adjectives,1.15
1050,poliitik,policía,nouns,0.45
1051,tsoon,área,nouns,4.95
1052,purustama,romper,verbs,1.85
1053,sarnane,igual,adjectives,4.05
1054,pall,raqueta,nouns,1.2
1055,auto,manguera,nouns,0.35
1056,nurjuma,confiar,verbs,0.1
1057,taevas,universo,nouns,1.5
1058,hoomama,leer,verbs,1.25
1059,rand,costa,nouns,3.35
1060,hea,picante,adjectives,0.55
1061,nahk,bicicleta,nouns,0.3
1062,viski,champán,nouns,1.15
1063,tõstma,aumentar,verbs,1.55
1064,pritsess,galleta,nouns,0.05
1065,vann,truco,nouns,0.0
1066,valima,desear,verbs,1.35
1067,säilitama,mantener,verbs,4.45
1068,lill,violeta,nouns,2.15
1069,luuletaja,periodista,nouns,1.15
1070,õlg,cuerpo,nouns,1.0
1071,minema,enviar,verbs,0.7
1072,mees,centinela,nouns,1.1
1073,ära tõukama,renunciar,verbs,1.55
1074,koletis,demonio,nouns,3.5
1075,paindlik,fácil,adjectives,1.5
1076,poiss,condición,nouns,0.1
1077,lugu,tema,nouns,1.45
1078,hommikusöök,cena,nouns,1.5
1079,soovitama,asesorar,verbs,4.35
1080,õrnalt,tranquilamente,adverbs,1.9
1081,tunnel,camino,nouns,1.65
1082,juhtkond,administración,nouns,3.8
1083,kaart,cuadrado,nouns,0.45
1084,kahanema,desaparecer,verbs,1.05
1085,lõng,hilo,nouns,2.25
1086,igakuine,semanal,adjectives,0.85
1087,ebatavaline,único,adjectives,4.05
1088,haiget tegema,molestar,verbs,2.25
1089,käänamine,infección,nouns,0.1
1090,käsi,cuerpo,nouns,1.05
1091,võit,triunfo,nouns,5.1
1092,kümnend,siglo,nouns,1.1
1093,võimekus,competencia,nouns,3.65
1094,hakk,pájaro,nouns,2.4
1095,küps,sofisticado,adjectives,1.35
1096,lihas,brazo,nouns,1.4
1097,maailm,globo,nouns,3.25
1098,lõhnama,apestar,verbs,2.65
1099,saama,adquirir,verbs,3.15
1100,haigus,infección,nouns,2.85
1101,auto,calibre,nouns,0.8
1102,hümn,conquista,nouns,0.3
1103,teadma,olvidar,verbs,0.3
1104,jääma,esperar,verbs,1.7
1105,usaldusväärselt,aproximadamente,adverbs,0.75
1106,meeter,pulgada,nouns,1.55
1107,eraldama,adjuntar,verbs,0.2
1108,viiul,guitarra,nouns,0.9
1109,teadlane,enfermera,nouns,0.3
1110,kleit,danza,nouns,0.6
1111,tänav,callejón,nouns,3.7
1112,passiivne,violento,adjectives,0.35
1113,umbes,impacientemente,adverbs,0.25
1114,atmosfäär,contaminación,nouns,1.05
1115,galaktika,astrónomo,nouns,1.4
1116,kerge,duro,adjectives,0.15
1117,auto,autopista,nouns,1.25
1118,otsekohe,una vez,adverbs,0.5
1119,panema,colgar,verbs,1.8
1120,tegema,crear,verbs,3.55
1121,taotlus,solicitante,nouns,1.55
1122,planeet,luna,nouns,1.6
1123,instrument,violín,nouns,2.65
1124,energia,batería,nouns,2.5
1125,tool,telescopio,nouns,0.1
1126,katastroof,muerte,nouns,1.45
1127,nädal,fin de semana,nouns,1.8
1128,kohalolek,puerta,nouns,0.5
1129,kohtumenetlus,veredicto,nouns,2.65
1130,ooper,cine,nouns,1.2
1131,korv,pelota,nouns,0.55
1132,õlu,champán,nouns,1.3
1133,jõllitama,ojear,verbs,0.9
1134,emotsionaalselt,tristemente,adverbs,1.7
1135,sõber,compañero,nouns,4.3
1136,muffin,perejil,nouns,0.45
1137,mõtlema,decidir,verbs,2.0
1138,vahepeal,cuando,adverbs,1.2
1139,udu,nube,nouns,2.52
1140,loputama,lavar,verbs,3.5
1141,täna õhtul,hoy,adverbs,2.55
1142,supp,cena,nouns,1.8
1143,kerge,difícil,adjectives,0.35
1144,lasteaed,preescolar,nouns,2.65
1145,naksama,crujir,verbs,1.75
1146,iiris,acetilcolina,nouns,0.5
1147,müksama,chocarse,verbs,2.8
1148,klass,caos,nouns,0.25
1149,kaudne,que no es de fiar,adjectives,0.9
1150,ilu,años,nouns,0.65
1151,närv,intestino,nouns,0.6
1152,vajalik,esencial,adjectives,4.4
1153,janune,hambriento,adjectives,1.6
1154,keemia,teoría,nouns,0.9
1155,suhtlema,rezar,verbs,0.6
1156,küüs,mano,nouns,1.15
1157,õhk,molécula,nouns,0.95
1158,ignorantne,regular,adjectives,0.2
1159,kaine,borracho,adjectives,0.4
1160,uudised,editorial,nouns,1.3
1161,tüdruk,chico,nouns,1.1
1162,pagas,circunnavegación,nouns,1.0
1163,taust,papel pintado,nouns,2.2
1164,lind,gallina,nouns,1.9
1165,kohtuotsus,juicio,nouns,2.65
1166,lahustama,mezclar,verbs,1.3
1167,lubama,ir,verbs,0.45
1168,printima,ignorar,verbs,0.0
1169,võõrastemaja,motel,nouns,3.65
1170,halb,inmoral,adjectives,2.95
1171,lääts,cámara,nouns,1.95
1172,talv,verano,nouns,0.85
1173,planeet,estrella,nouns,2.4
1174,jälitama,capturar,verbs,1.6
1175,haigus,fiebre,nouns,2.15
1176,otsustama,escoger,verbs,3.75
1177,jänes,gato,nouns,0.95
1178,alluma,castigar,verbs,0.8
1179,steik,pollo,nouns,1.55
1180,kadents,ritmo,nouns,2.0
1181,kohus,juez,nouns,1.25
1182,süüdi,malo,adjectives,1.4
1183,vaidlema,asistir,verbs,0.2
1184,võmm,copiloto,nouns,0.3
1185,äri,empresa,nouns,4.2
1186,ülioluline,importante,adjectives,4.15
1187,mask,partido,nouns,0.6
1188,vaimustav,aburrido,adjectives,0.15
1189,saama,enviar,verbs,0.6
1190,printskond,ducado,nouns,2.6
1191,koguma,reunir,verbs,2.55
1192,ühendama,disolver,verbs,1.3
1193,teostama,ganar,verbs,1.7
1194,julm,bonito,adjectives,0.05
1195,kalju,colina,nouns,1.8
1196,poeg,padre,nouns,1.7
1197,haruldane,raro,adjectives,4.05
1198,aastaeg,invierno,nouns,2.9
1199,praadima,cocinar,verbs,2.6
1200,laul,bailarín,nouns,0.8
1201,portreteerima,notificar,verbs,0.4
1202,raamat,historia,nouns,1.5
1203,kuulutama,anunciar,verbs,4.05
1204,õhtusöök,sopa,nouns,1.8
1205,metall,estaño,nouns,2.25
1206,kolledž,clase,nouns,1.4
1207,tekk,vendaval,nouns,0.3
1208,põrand,cubierta,nouns,0.95
1209,entroopia,información,nouns,1.15
1210,punane,azul,adjectives,0.5
1211,õun,caramelo,nouns,0.6
1212,eestkostja,madre,nouns,1.65
1213,bioloogia,anatomía,nouns,2.1
1214,muuseum,menta,nouns,0.0
1215,tihe,difícil,adjectives,2.15
1216,pakk,camión,nouns,0.95
1217,meel,intuición,nouns,3.4
1218,varras,cortina,nouns,0.35
1219,normaalne,extraño,adjectives,0.4
1220,ajurünnak,telescopio,nouns,0.0
1221,keetma,freír,verbs,0.85
1222,püüdma,perseguir,verbs,1.6
1223,mära,caballo,nouns,2.8
1224,kindlus,actitud,nouns,1.35
1225,intiimne,personal,adjectives,4.55
1226,metsamajake,campamento,nouns,1.1
1227,tööandja,obrero,nouns,1.2
1228,mosaiik,basílica,nouns,0.55
1229,rajaleidja,arquero,nouns,0.7
1230,julgustama,desalentar,verbs,0.2
1231,eestkostja,adulto,nouns,1.8
1232,arutama,explicar,verbs,1.8
1233,ettevaatlikult,de manera segura,adverbs,3.75
1234,hematoloogia,patología,nouns,1.45
1235,isa,hijo,nouns,1.7
1236,kaotama,sustraer,verbs,0.8
1237,tehislik,0,adjectives,3.75
1238,küüs,pulgar,nouns,1.4
1239,tolm,escoba,nouns,1.0
1240,poiss,arroz,nouns,0.05
1241,mehaaniline,eléctrico,adjectives,0.95
1242,säravalt,ligeramente,adverbs,0.3
1243,mutant,sociobiología,nouns,0.55
1244,regioon,zona,nouns,3.55
1245,kuulutama,proclamar,verbs,3.65
1246,kana,pavo,nouns,1.15
1247,ignoreerima,imprimir,verbs,0.0
1248,pöörane,feliz,adjectives,0.95
1249,ühtlaselt,a veces,adverbs,0.4
1250,raamat,accidente,nouns,0.15
1251,lennuk,helicóptero,nouns,1.45
1252,ettevaatlikult,cuidadosamente,adverbs,4.35
1253,legaalne,permitido,adjectives,4.7
1254,meenutama,vender,verbs,0.0
1255,austus,honor,nouns,2.2
1256,krõmpsutama,chasquear,verbs,1.75
1257,tuul,chubasco,nouns,2.1
1258,sõnaraamat,definición,nouns,2.25
1259,siiralt,honestamente,adverbs,4.95
1260,mitte kunagi,raramente,adverbs,1.35
1261,relv,sargento,nouns,0.75
1262,võileib,almuerzo,nouns,0.95
1263,tõenäoliselt,quizás,adverbs,3.65
1264,veenma,perseguir,verbs,0.35
1265,õnn,paz,nouns,2.55
1266,lõik,página,nouns,1.7
1267,dieet,manzana,nouns,0.75
1268,kümnend,era,nouns,2.4
1269,sõna,frase,nouns,1.85
1270,mitte kunagi,generosamente,adverbs,0.1
1271,veenma,discutir,verbs,1.7
1272,hertsog,república,nouns,0.45
1273,järv,nube,nouns,0.35
1274,sassis,limpiar,adjectives,0.7
1275,tabamus,marco,nouns,0.4
1276,kapital,dinero,nouns,3.95
1277,küpsetama,freír,verbs,2.6
1278,au andma,realizar,verbs,0.3
1279,värske,antiguo,adjectives,0.1
1280,õnnemängu mängima,apostar,verbs,2.65
1281,skeem,idea,nouns,2.3
1282,torm,nieve,nouns,1.35
1283,käsi,hueso,nouns,1.1
1284,rand,isla,nouns,1.5
1285,riided,capa,nouns,1.7
1286,puu,hoja,nouns,1.25
1287,vend,padre,nouns,0.9
1288,teadlikkus,atención,nouns,2.05
1289,öö,día,nouns,1.05
1290,intelligentsus,ignorancia,nouns,0.65
1291,küsima,rezar,verbs,1.65
1292,põlgama,cargar,verbs,0.3
1293,sõdur,niño,nouns,0.6
1294,uhke,triste,adjectives,0.05
1295,hoidma,proteger,verbs,2.5
1296,peatükk,elección,nouns,0.65
1297,tennis,estadística,nouns,0.45
1298,hobune,potro,nouns,3.1
1299,meierei,miel,nouns,0.4
1300,riided,chaqueta,nouns,1.6
1301,modernne,antiguo,adjectives,0.4
1302,televisioon,cine,nouns,2.25
1303,poeg,hermano,nouns,0.95
1304,poiss,hermano,nouns,1.8
1305,teesklema,asumir,verbs,1.7
1306,kerge,grande,adjectives,0.1
1307,organ,hígado,nouns,2.25
1308,tool,cama,nouns,1.15
1309,riputama,poner,verbs,1.8
1310,raamat,ensayo,nouns,1.5
1311,moraal,leyenda,nouns,0.65
1312,auto,fábrica,nouns,0.45
1313,enamasti,principalmente,adverbs,4.25
1314,torm,viento,nouns,2.1
1315,tüdruk,mucama,nouns,1.15
1316,kokkulepe,pacto,nouns,5.05
1317,raputama,recoger,verbs,0.25
1318,bänd,resistencia,nouns,0.2
1319,saama,aceptar,verbs,2.85
1320,nakkus,dolencia,nouns,2.45
1321,käsi,rama,nouns,0.95
1322,lihtne,duro,adjectives,0.35
1323,segatud,conjunto,adjectives,2.9
1324,koidik,día,nouns,2.1
1325,rahvastik,gente,nouns,3.35
1326,papp,papel,nouns,3.15
1327,kass,perro,nouns,1.05
1328,dermatiit,eczema,nouns,2.5
1329,maks,órgano,nouns,2.25
1330,kukkuma,tropezar,verbs,3.05
1331,võõramaalane,extraterrestre,nouns,1.8
1332,meelde tuletama,olvidar,verbs,0.4
1333,minema,viajar,verbs,2.55
1334,riiklik,conocido,adjectives,0.7
1335,vaene,orgulloso,adjectives,0.4
1336,tarkus,inteligencia,nouns,4.25
1337,tekk,madera,nouns,0.1
1338,otsima,encontrar,verbs,1.25
1339,vesi,hielo,nouns,1.55
1340,meelt lahutama,disfrutar,verbs,2.05
1341,vastupidavus,fuerza,nouns,2.85
1342,keha,ropa interior,nouns,0.7
1343,ärritama,desalentar,verbs,1.15
1344,kunstnik,obra de arte,nouns,1.55
1345,valitsus,lagartija,nouns,0.0
1346,kirjandus,libro,nouns,2.35
1347,sultan,ministerio,nouns,0.3
1348,pisik,patógeno,nouns,3.5
1349,kurv,ángulo,nouns,1.85
1350,teravili,trigo,nouns,2.5
1351,tähelepanu,interés,nouns,3.35
1352,laviin,nieve,nouns,1.5
1353,lahendama,terminar,verbs,2.95
1354,läbikukkumine,bancarrota,nouns,2.0
1355,katedraal,iglesia,nouns,4.3
1356,flööt,música,nouns,1.45
1357,tera,hierba,nouns,0.3
1358,kallistama,exprimir,verbs,1.15
1359,abikaasa (naine),agujero,nouns,0.05
1360,püsimatu,joven,adjectives,0.65
1361,ehitama,crear,verbs,3.75
1362,kõndima,cojear,verbs,1.6
1363,puhas,ordenado,adjectives,1.6
1364,ulatus,tamaño,nouns,4.25
1365,otsima,deambular,verbs,1.3
1366,põlv,hueso,nouns,1.0
1367,üks kord,dos veces,adverbs,0.65
1368,muru,espada,nouns,0.3
1369,magamistuba,cama,nouns,1.2
1370,tuntud,bien,adjectives,0.5
1371,rumal,tonto,adjectives,4.95
1372,terav,templado,adjectives,0.4
1373,tugevalt,suavemente,adverbs,0.45
1374,edu saavutama,fallar,verbs,0.4
1375,klaviatuur,ligero,nouns,0.35
1376,luu,dientes,nouns,1.9
1377,pärast,antes de,adverbs,0.35
1378,doktor,médico,nouns,5.15
1379,keha,brazo,nouns,1.05
1380,andma,robar,verbs,0.2
1381,arv,dígito,nouns,4.75
1382,trikk,tamaño,nouns,0.05
1383,regulaarselt,ocasionalmente,adverbs,1.6
1384,seersant,pistola,nouns,0.75
1385,popkorn,cine,nouns,1.6
1386,pea,uña,nouns,0.5
1387,terav,suave,adjectives,0.65
1388,harima,aprender,verbs,2.25
1389,mõte,esquema,nouns,2.3
1390,karp,electricidad,nouns,0.2
1391,tsensuur,libertad,nouns,0.3
1392,hävitama,crear,verbs,0.35
1393,omama,mantener,verbs,2.3
1394,abikaasa (naine),bañera,nouns,0.1
1395,keraamika,cerámica,nouns,4.15
1396,stipendium,matrícula,nouns,1.3
1397,praadima,hervir,verbs,0.85
1398,põrand,techo,nouns,0.95
1399,marginaalselt,aproximadamente,adverbs,0.65
1400,taskukohane,barato,adjectives,4.35
1401,harva,generalmente,adverbs,0.35
1402,hiir,cubierta,nouns,0.15
1403,käsiraamat,guía,nouns,3.95
1404,lugu,lápiz,nouns,0.65
1405,monitor,pantalla,nouns,4.8
1406,süüdistama,acusar,verbs,2.75
1407,magus,eléctrico,adjectives,0.1
1408,jalgratas,coche,nouns,0.85
1409,ulatuslik,estrecho,adjectives,0.25
1410,välistama,esforzarse,verbs,0.35
1411,sent,tamaño,nouns,0.45
1412,sisalik,serpiente,nouns,1.6
1413,küsima,ignorar,verbs,0.2
1414,habras,frígido,adjectives,0.3
1415,korrutama,añadir,verbs,1.25
1416,rahumeelselt,tranquilamente,adverbs,4.35
1417,raamat,materia,nouns,1.3
1418,hertsogkond,principado,nouns,2.6
1419,tooma,llevar,verbs,1.4
1420,valjult,sutilmente,adverbs,0.05
1421,nõbu,tío,nouns,1.25
1422,pöial,mano,nouns,1.45
1423,jänes,profesor,nouns,0.3
1424,sisenema,salir,verbs,0.3
1425,veider,extraño,adjectives,5.55
1426,sülearvuti,cuaderno,nouns,0.65
1427,meri,río,nouns,2.0
1428,sool,agua,nouns,0.55
1429,rütm,cadencia,nouns,2.0
1430,passivselt,silenciosamente,adverbs,0.95
1431,kerge,rígido,adjectives,0.1
1432,laad,camino,nouns,1.15
1433,kast,cabina,nouns,1.15
1434,pigistama,abrazar,verbs,1.15
1435,taassoojendama,precalentamiento,nouns,1.45
1436,kaitsma,matar,verbs,0.5
1437,tegema,dejar,verbs,0.85
1438,isa,dios,nouns,1.05
1439,informeerima,notificar,verbs,5.15
1440,preester,dios,nouns,1.5
1441,pesapall,baloncesto,nouns,1.45
1442,lõpetama,hacer,verbs,0.85
1443,kohut mõistma,decidir,verbs,2.65
1444,kael,espina,nouns,1.05
1445,lääs,norte,nouns,0.75
1446,sajand,década,nouns,1.1
