ID,CMN,SPA,PoS,score
774,个人,privado,adjectives,4.18
775,借,desear,verbs,0.64
776,抱怨,traer,verbs,0.09
777,闻名,popular,adjectives,3.97
778,老师,ayudante,nouns,0.96
779,后部,cola,nouns,2.71
780,在场,ausencia,nouns,0.24
781,不准确地,precisamente,adverbs,0.23
782,拿,recibir,verbs,1.62
783,实现,tratar,verbs,0.86
784,搅拌,mezcla,verbs,3.33
785,呼吸,ahogarse,verbs,0.57
786,雨,niebla,nouns,0.81
787,被动地,silenciosamente,adverbs,0.67
788,八月,mes,nouns,2.75
789,政治家,policía,nouns,0.24
790,爬,hacer senderismo,verbs,0.83
791,动物,bestia,nouns,3.82
792,借,dar,verbs,1.91
793,教室,pasillo,nouns,0.29
794,通灵研究,neuropsicología,nouns,0.87
795,臭氧,atmósfera,nouns,2.32
796,窄小,amplio,adjectives,0.24
797,公主,isla,nouns,0.05
798,点菜,menú,nouns,1.23
799,鼓,cuerno,nouns,0.39
800,警察,copiloto,nouns,0.2
801,事实,visión,nouns,0.34
802,感情上,tristemente,adverbs,1.3
803,火车,tranvía,nouns,2.36
804,喷嘴,fluido,nouns,0.2
805,简单,fácil,adjectives,4.43
806,对抗,irritar,verbs,0.04
807,创建,construir,verbs,4.32
808,尝试,tener éxito,verbs,0.39
809,亿万富翁,indigente,nouns,0.1
810,修道院,ducha,nouns,0.0
811,子程序,compilador,nouns,0.77
812,某些,nervioso,adjectives,0.05
813,洗手间,habitación,nouns,0.78
814,扰乱,molestar,verbs,3.51
815,天文学家,galaxia,nouns,0.89
816,米饭,frijol,nouns,0.78
817,听,oír,verbs,4.68
818,坦白,negación,nouns,0.6
819,骑,correr,verbs,0.38
820,跟随,perseguir,verbs,3.26
821,赛跑运动员,atleta,nouns,3.29
822,薄雾,lluvia,nouns,0.81
823,空气,molécula,nouns,0.68
824,保龄球选手,bolos,nouns,1.6
825,行政管理,gestión,nouns,3.56
826,建议,recomendar,verbs,4.3
827,画,crear,verbs,0.84
828,出租车,autobús,nouns,2.04
829,旗,polo,nouns,0.79
830,假,artificial,adjectives,3.2
831,走廊,puerta,nouns,0.48
832,容器,vagón,nouns,0.09
833,学习,evaluar,verbs,0.73
834,洗澡,monasterio,nouns,0.0
835,契约,acuerdo,nouns,4.97
836,资本,dinero,nouns,3.92
837,遇见,salir,verbs,1.08
838,客串角色,actuación,nouns,0.04
839,保持,apreciar,verbs,0.43
840,未成形,uniforme,adjectives,0.3
841,被动地,seguramente,adverbs,0.0
842,合法,ilegal,adjectives,0.19
843,肩膀,brazo,nouns,0.64
844,不定期地,generalmente,adverbs,0.53
845,今天晚上,hoy,adverbs,2.43
846,积极地,felizmente,adverbs,0.37
847,播放机,entrenador,nouns,0.25
848,知会,limpiar,verbs,0.0
849,加入,adquirir,verbs,0.45
850,花,creencia,nouns,0.14
851,人,centavo,nouns,0.05
852,自豪,arrogante,adjectives,3.21
853,水,hielo,nouns,1.49
854,手臂,vena,nouns,0.29
855,脸颊,lengua,nouns,0.2
856,牛肉,ganado,nouns,3.21
857,理想地,de modo realista,adverbs,0.44
858,医生,templar,nouns,0.15
859,男孩,arroz,nouns,0.0
860,记得,pensar,verbs,1.03
861,冠军,ganador,nouns,5.13
862,农药,parásito,nouns,0.43
863,河谷,río,nouns,2.06
864,新鲜,nuevo,adjectives,4.0
865,碗,plato,nouns,2.11
866,笔直,curvo,adjectives,0.24
867,十年,siglo,nouns,0.44
868,大脑,mente,nouns,4.08
869,惩罚,enseñar,verbs,0.53
870,听见,escuchar,verbs,4.68
871,指甲,cabeza,nouns,0.25
872,大致,groseramente,adverbs,0.71
873,长笛,música,nouns,1.4
874,明亮地,ligeramente,adverbs,0.0
875,充电器,disco,nouns,0.24
876,粗鲁,agresivo,adjectives,1.89
877,社会生物学,mutante,nouns,0.43
878,上衣,sombrero,nouns,1.04
879,好心地,generosamente,adverbs,2.97
880,骨头,cuello,nouns,0.34
881,得到,permanecer,verbs,0.04
882,拿,robar,verbs,1.0
883,鸢尾花,acetilcolina,nouns,0.15
884,保留,destruir,verbs,0.14
885,士兵,paz,nouns,0.2
886,减少,encoger,verbs,3.83
887,小心地,cautelosamente,adverbs,4.47
888,世纪,espíritu,nouns,0.05
889,洞察力,hecho,nouns,0.34
890,暴动,dibujo,nouns,0.1
891,接受,estar de acuerdo,verbs,3.81
892,发送,recibir,verbs,0.62
893,糖果,canela,nouns,0.49
894,复杂,maduro,adjectives,0.97
895,装饰,pared,nouns,0.72
896,贫困,impotente,adjectives,0.78
897,意识,atención,nouns,2.12
898,口香糖,menta,nouns,0.37
899,最近,últimamente,adverbs,5.18
900,香芹,mollete,nouns,0.25
901,重要,necesario,adjectives,3.66
902,事件,recaudación de fondos,nouns,1.98
903,能量,batería,nouns,2.46
904,壁橱,ropa,nouns,1.08
905,预测,nublado,nouns,0.7
906,星,asteroide,nouns,2.85
907,禁止,detener,verbs,2.75
908,查询,exigir,verbs,0.98
909,坚固地,tranquilamente,adverbs,0.58
910,炒,hervir,verbs,0.77
911,挂,poner,verbs,1.46
912,困难,fácil,adjectives,0.17
913,窗,puerta,nouns,0.68
914,忙碌,perezoso,adjectives,0.2
915,牧师,dios,nouns,0.94
916,安全,legal,adjectives,0.97
917,海军,ejército,nouns,4.16
918,溶解,derretir,verbs,3.16
919,尖,suave,adjectives,0.34
920,想,escoger,verbs,1.06
921,迷惑,aprender,verbs,0.1
922,忽略,olvidar,verbs,2.83
923,开口,brecha,nouns,3.31
924,不道德,malo,adjectives,2.66
925,争论,convencer,verbs,1.83
926,汽车旅馆,posada,nouns,3.38
927,使满意,entretener,verbs,1.17
928,帮助,proteger,verbs,1.2
929,抓住,perseguir,verbs,1.64
930,出席,enviar,verbs,0.35
931,宽,fresco,adjectives,0.05
932,同意,diferir de,verbs,0.15
933,散热器,sensor,nouns,0.78
934,小亭,caja,nouns,0.6
935,线,puesta de sol,nouns,0.0
936,总统,cámara,nouns,0.45
937,知道,comprender,verbs,3.36
938,进来,saliente,adjectives,0.15
939,尊严,insignias,nouns,0.2
940,神经,intestino,nouns,0.44
941,未预见到,no previsible,adjectives,5.29
942,除,multiplicar,verbs,0.63
943,母亲,esposa,nouns,2.19
944,接受,recomendar,verbs,0.54
945,骑,barajar,verbs,0.3
946,速度,enviar,nouns,0.2
947,氦气,aire,nouns,2.02
948,内疚,malo,adjectives,0.74
949,人,globo,nouns,0.25
950,平滑,agudo,adjectives,0.34
951,来,ir,verbs,0.88
952,弯曲,torcido,adjectives,3.48
953,借,mantener,verbs,0.1
954,文明,estilo de vida,nouns,1.42
955,合作伙伴,niño,nouns,0.43
956,木,manta,nouns,0.05
957,法庭,juez,nouns,0.86
958,未成熟的,irresponsable,adjectives,2.46
959,不开心,enojado,adjectives,2.79
960,怪异,extraño,adjectives,5.03
961,头,nariz,nouns,0.54
962,街,coche,nouns,0.29
963,收缩,desaparecer,verbs,0.34
964,高度,conversión,nouns,0.39
965,和平,felicidad,nouns,2.44
966,父亲,hijo,nouns,1.03
967,玩具,cubo,nouns,0.59
968,顶,lado,nouns,0.73
969,信念,flor,nouns,0.14
970,傲慢,orgulloso,adjectives,3.21
971,胆大,orgulloso,adjectives,0.36
972,合法,seguro,adjectives,0.97
973,电动,dulce,adjectives,0.0
974,捏碎,chasquear,verbs,2.1
975,晚饭,comida,nouns,3.25
976,菠萝,teléfono inteligente,nouns,0.0
977,打算,intentar,verbs,2.51
978,男孩,condición,nouns,0.18
979,底部,base,nouns,2.74
980,部,sultán,nouns,0.2
981,安排,exigir,verbs,0.15
982,大小,profundidad,nouns,0.96
983,迅速,veloz,adjectives,5.45
984,现在,aquí,adverbs,1.95
985,高高兴兴地,mortal,adverbs,0.23
986,心烦,avergonzado,adjectives,0.48
987,募捐,desarrollo,nouns,0.45
988,这里,ahora,adverbs,1.95
989,获得,tomar,verbs,3.17
990,死,enterrar,verbs,1.54
991,尾巴,capítulo,nouns,0.05
992,宣布,anunciar,verbs,4.46
993,社会,cultura,nouns,1.54
994,章,elección,nouns,0.29
995,探路者,arquero,nouns,0.54
996,大象,brújula,nouns,0.1
997,岛,armada,nouns,0.24
998,想,recuerda,verbs,1.03
999,主教,musulmán,nouns,0.56
1000,圣歌,cañita,nouns,0.05
1001,羞愧,modesto,adjectives,0.58
1002,吸血鬼,murciélago,nouns,1.23
1003,罪犯,delincuente,nouns,4.66
1004,手臂,muñeca,nouns,0.55
1005,大,pesado,adjectives,0.63
1006,结构,topología,nouns,0.75
1007,笔记本,pistola,nouns,0.05
1008,偷,tomar,verbs,1.0
1009,乳制品,miel,nouns,0.43
1010,聪慧,listo,adjectives,5.24
1011,不显眼地,obviamente,adverbs,0.38
1012,生物学,anatomía,nouns,2.42
1013,舌头,músculo,nouns,0.92
1014,身体,estómago,nouns,1.71
1015,争论,acuerdo,nouns,0.82
1016,高兴,feliz,adjectives,4.88
1017,付款,moneda,nouns,1.6
1018,有意义,profundamente,adverbs,2.52
1019,香烟,tabaco,nouns,4.21
1020,酸,base,nouns,0.64
1021,走,enviar,verbs,0.39
1022,谨慎地,cortésmente,adverbs,1.27
1023,实质上,críticamente,adverbs,0.73
1024,攻击,herir,verbs,2.84
1025,每月,semanal,adjectives,1.07
1026,电梯,recorrer,verbs,0.78
1027,智慧,inteligencia,nouns,3.85
1028,木,tronco,nouns,3.99
1029,倒,gotear,verbs,1.17
1030,征服,himno,nouns,0.15
1031,椅子,sofá,nouns,2.39
1032,人,dólar,nouns,0.05
1033,前进,promover,verbs,2.06
1034,想,decidir,verbs,1.03
1035,喇叭,coche,nouns,0.09
1036,想像,pretender,verbs,0.74
1037,歌曲,balada,nouns,3.5
1038,苹果,caramelo,nouns,0.29
1039,黎明,día,nouns,2.62
1040,饥饿,cansado,adjectives,0.72
1041,牛,oveja,nouns,2.03
1042,篱笆,saltando,nouns,0.2
1043,开朗,bonito,adjectives,0.84
1044,伙伴,amigo,nouns,3.9
1045,脖子,espina,nouns,0.47
1046,日落,mesa,nouns,0.05
1047,天气,nieve,nouns,1.31
1048,兔子,gato,nouns,0.73
1049,谦虚,avergonzado,adjectives,0.58
1050,机场,avión,nouns,1.25
1051,女人,piel,nouns,0.15
1052,奇怪地,diferentemente,adverbs,0.98
1053,环境,espada,nouns,0.23
1054,无助,vulnerable,adjectives,1.8
1055,撤离,determinar,verbs,0.35
1056,新,antiguo,adjectives,0.24
1057,审查,libertad,nouns,0.15
1058,案件,programa informático,nouns,0.39
1059,天花板,catedral,nouns,0.24
1060,知会,notificar,verbs,4.13
1061,音乐,flauta,nouns,1.4
1062,工具,trabajo,nouns,0.58
1063,毁灭,construir,verbs,0.28
1064,出席,discutir,verbs,0.19
1065,便条,trabajo,nouns,0.57
1066,生态系统,economía,nouns,0.2
1067,主题,historia,nouns,0.72
1068,乏味,seguro,adjectives,0.05
1069,家具,apartamento,nouns,0.29
1070,踝,ventana,nouns,0.05
1071,副驾驶,cabina,nouns,0.67
1072,退出,rechazar,verbs,1.02
1073,标识,club,nouns,0.45
1074,路,autopista,nouns,3.96
1075,调查,perseguir,verbs,0.69
1076,蛇,lagartija,nouns,1.05
1077,无聊,cansado,adjectives,0.84
1078,草,espada,nouns,0.05
1079,断绝亲子关系,negar,verbs,0.75
1080,停,silbar,verbs,0.25
1081,肚子,cuerpo,nouns,1.71
1082,打扰,ofender,verbs,1.71
1083,加,construir,verbs,1.0
1084,许多,abundancia,nouns,4.59
1085,旗,vexilología,nouns,1.02
1086,湿疹,dermatitis,nouns,2.83
1087,羞愧,dolor,nouns,0.9
1088,多面体,actor,nouns,0.0
1089,分钟,segundo,nouns,2.29
1090,名单,formación,nouns,0.53
1091,故障,sistema,nouns,0.1
1092,分化,morir,verbs,0.48
1093,经常,a veces,adverbs,2.29
1094,星系,aplicación,nouns,0.1
1095,香槟,whisky,nouns,1.78
1096,提醒,olvidar,verbs,0.23
1097,医生,médico,nouns,5.06
1098,后缀,afijo,nouns,2.23
1099,坏,inmoral,adjectives,2.66
1100,字,pista,nouns,0.19
1101,果汁,manzana,nouns,1.23
1102,想像,crear,verbs,1.02
1103,从不,negativo,adjectives,1.75
1104,批评,observar,verbs,1.52
1105,绿洲,libertad,nouns,0.15
1106,胸部,cuerpo,nouns,1.55
1107,很可能,posiblemente,adverbs,4.29
1108,喝醉,sobrio,adjectives,0.19
1109,野兽,animal,nouns,3.82
1110,心情,enfado,nouns,2.73
1111,徘徊,buscar,verbs,0.58
1112,有礼貌,apropiado,adjectives,3.36
1113,地板,puerta,nouns,0.45
1114,混乱,anarquía,nouns,3.25
1115,牧师,profeta,nouns,0.73
1116,水晶,vaso,nouns,1.21
1117,大笑,llorar,verbs,0.28
1118,奇怪,raro,adjectives,5.03
1119,小心地,peligrosamente,adverbs,0.33
1120,棉,suéter,nouns,0.71
1121,走开,salir,verbs,3.75
1122,给,saber,verbs,0.25
1123,懒,precioso,adjectives,0.04
1124,豆,arroz,nouns,0.78
1125,花,arbusto,nouns,1.37
1126,很少地,generalmente,adverbs,0.23
1127,原谅,excusar,verbs,3.31
1128,学费,beca,nouns,0.96
1129,苍蝇,hormiga,nouns,0.57
1130,作业,nota,nouns,0.57
1131,混乱,clase,nouns,0.1
1132,理解,leer,verbs,1.07
1133,马,potro,nouns,3.17
1134,笨,raro,adjectives,0.1
1135,难看,sucio,adjectives,0.67
1136,武士,hombre,nouns,0.73
1137,关键地,esencialmente,adverbs,0.73
1138,发誓,prometer,verbs,4.61
1139,带来,quejar,verbs,0.09
1140,门,fraternidad,nouns,0.2
1141,离开,ignorar,verbs,0.33
1142,球,raqueta,nouns,0.83
1143,小学生,presidente,nouns,0.1
1144,讨厌,despreciar,verbs,3.7
1145,惩罚,golpear,verbs,0.65
1146,发出气味,apestar,verbs,2.63
1147,生存,vivir,verbs,2.28
1148,意志,intención,nouns,1.16
1149,树,hoja,nouns,0.79
1150,步行,estar,verbs,0.28
1151,走廊,pasillo,nouns,4.79
1152,季节,invierno,nouns,2.58
1153,蚂蚁,abeja,nouns,0.63
1154,海,playa,nouns,2.97
1155,教堂,coro,nouns,0.69
1156,玩,lucha,verbs,0.38
1157,甲板,bote,nouns,0.86
1158,进入,salir,verbs,0.23
1159,纸,madera,nouns,0.72
1160,混合,cocinar,verbs,0.64
1161,器官,riñón,nouns,3.78
1162,恢复,traer,verbs,0.1
1163,篮子,pelota,nouns,0.2
1164,字典,palabra,nouns,0.82
1165,碟,cuenco,nouns,2.11
1166,云,tormenta,nouns,0.96
1167,诚实地,nunca,adverbs,0.1
1168,尾巴,cuenco,nouns,0.1
1169,雪,clima,nouns,1.31
1170,自信,actitud,nouns,1.58
1171,放,colgar,verbs,1.46
1172,完成,volverse,verbs,0.46
1173,不经常,a menudo,adverbs,0.58
1174,马,yegua,nouns,3.13
1175,人类学,arqueología,nouns,1.01
1176,光标,diapositiva,nouns,0.34
1177,酒店,apartamento,nouns,0.92
1178,酒,banda,nouns,0.25
1179,日期,cumpleaños,nouns,1.42
1180,疯,enfermos,adjectives,1.16
1181,碰撞,tropezarse,verbs,2.83
1182,杂志,artículo,nouns,1.9
1183,看来,obviamente,adverbs,2.6
1184,庆祝,sorprender,verbs,0.72
1185,滑雪,snowboard,nouns,2.02
1186,声明放弃,reprimir,verbs,0.5
1187,头,uña,nouns,0.25
1188,停止,controlar,verbs,0.64
1189,抽屉,ropa,nouns,0.7
1190,摔碎,chocarse con,verbs,1.03
1191,弱,poderoso,adjectives,0.15
1192,容易,sencillo,adjectives,4.43
1193,操纵杆,radar,nouns,0.24
1194,书,biblia,nouns,2.18
1195,运送,llevar,verbs,2.53
1196,作证,juez,verbs,0.54
1197,云,clima,nouns,1.44
1198,床,habitación,nouns,1.02
1199,肘,tobillo,nouns,0.48
1200,听,aprender,verbs,0.78
1201,学院,profesión,nouns,0.55
1202,粗糙,grosero,adjectives,0.82
1203,毁灭,salvar,verbs,0.14
1204,钟,puerta,nouns,0.15
1205,稍后,nunca,adverbs,0.29
1206,意图,será,nouns,1.16
1207,游戏,truco,nouns,1.32
1208,解释,probar,verbs,2.79
1209,借,mendigar,verbs,1.2
1210,喝,mezcla,verbs,0.3
1211,争论,estar de acuerdo,verbs,0.43
1212,坚固地,suavemente,adverbs,0.15
1213,文化,sociedad,nouns,1.54
1214,捏,dar un puñetazo,verbs,0.38
1215,裂开,romper,verbs,2.2
1216,晚上,día,nouns,0.5
1217,新,reciente,adjectives,3.42
1218,牛排,carne,nouns,3.84
1219,前情,pasado,nouns,3.75
1220,暖炉,paraguas,nouns,0.15
1221,当然,a veces,adverbs,0.45
1222,乞求,pedir prestado,verbs,1.2
1223,狡诈,que no es de fiar,adjectives,1.59
1224,推荐,aceptar,verbs,0.54
1225,需求,discutir,verbs,0.43
1226,偶然,regularmente,adverbs,1.17
1227,维他命,plancha,nouns,0.66
1228,主机板,placa base,nouns,2.69
1229,肉,pan,nouns,0.34
1230,枪,cuaderno,nouns,0.05
1231,领导,gerente,nouns,2.6
1232,技巧,inteligencia,nouns,2.38
1233,胜利者,hombre,nouns,0.53
1234,打,marco,nouns,0.2
1235,天气,ola,nouns,0.34
1236,愉快,maravilloso,adjectives,2.92
1237,深度地,significativamente,adverbs,2.52
1238,复诊,paciente,nouns,0.53
1239,土豆,mantequilla,nouns,0.48
1240,影片,película,nouns,4.89
1241,火,apocalipsis,nouns,0.86
1242,窗口,techo,nouns,0.29
1243,确定,predecir,verbs,0.89
1244,毁灭,descomponer,verbs,2.92
1245,拇指,mano,nouns,0.88
1246,娱乐,complacer,verbs,1.17
1247,可悲的是,locamente,adverbs,0.44
1248,找到,adquirir,verbs,1.64
1249,错误,preciso,adjectives,0.14
1250,蕊,polinización,nouns,0.81
1251,电梯,coche,nouns,0.15
1252,说话,oír,verbs,0.57
1253,婚外,inmencionable,adjectives,1.01
1254,简单,difícil,adjectives,0.19
1255,犯罪,fraude,nouns,2.91
1256,大厦,escultor,nouns,0.35
1257,意料之外,imprevisto,adjectives,5.29
1258,容易地,aproximadamente,adverbs,0.1
1259,冬天,verano,nouns,0.34
1260,移动,tejer,verbs,0.15
1261,帅哥,chico,nouns,0.71
1262,餐,cena,nouns,3.53
1263,犹豫,colérico,adjectives,0.68
1264,静脉,brazo,nouns,0.29
1265,灵活,suelto,adjectives,1.56
1266,尝试,lograr,verbs,0.86
1267,男孩,hermano,nouns,1.94
1268,天神,espíritu,nouns,0.75
1269,理解,saber,verbs,3.36
1270,肝脏,órgano,nouns,2.47
1271,猫,león,nouns,1.05
1272,状态,situación,nouns,4.06
1273,日期,calendario,nouns,2.12
1274,注意,conciencia,nouns,2.12
1275,任务,isla,nouns,0.05
1276,来,traer,verbs,1.17
1277,一分钱,esposa,nouns,0.33
1278,沐浴,truco,nouns,0.0
1279,苹果,limón,nouns,0.34
1280,伤害,patear,verbs,1.06
1281,冻结,temblar,verbs,0.58
1282,副驾驶,policía,nouns,0.2
1283,女孩,mucama,nouns,1.25
1284,一次,instantáneamente,adverbs,0.45
1285,把握,apretar,verbs,2.84
1286,同音词,fotófono,nouns,0.4
1287,谦虚,flexible,adjectives,0.47
1288,不确定,asustado,adjectives,1.41
1289,眼睛,frente,nouns,0.53
1290,未成熟的,crecido,adjectives,0.43
1291,编织,movimiento,verbs,0.15
1292,蜥蜴,serpiente,nouns,1.05
1293,房子,apartamento,nouns,4.18
1294,大门,puerta,nouns,5.22
1295,邮包,camión,nouns,0.34
1296,否定,nunca,adjectives,1.75
1297,澄清,explicar,verbs,4.17
1298,游戏,acción,nouns,0.7
1299,大概,quizás,adverbs,3.92
1300,状况,situación,nouns,5.39
1301,门,cocina,nouns,0.35
1302,理解,saber,verbs,3.29
1303,宇宙,cielo,nouns,1.83
1304,窗口,tobillo,nouns,0.05
1305,说,participar,verbs,0.6
1306,平庸,aburrido,adjectives,0.85
1307,状态,niño,nouns,0.18
1308,小说,escritor,nouns,0.7
1309,传说,moral,nouns,0.3
1310,磁盘,ordenador,nouns,0.93
1311,裙带关系,rey,nouns,1.03
1312,秘书,mujer,nouns,0.56
1313,电动机,maquinaria,nouns,2.23
1314,向外,entrante,adjectives,0.15
1315,地板,techo,nouns,0.55
1316,轻视,desdeñoso,adjectives,4.03
1317,俱乐部,marca,nouns,0.45
1318,海滩,arrecife,nouns,0.89
1319,韵律,poema,nouns,0.68
1320,旅程,viaje,nouns,3.84
1321,人们,partido,nouns,0.54
1322,交流,idioma,nouns,1.27
1323,狩猎,buscar,verbs,1.21
1324,星期,fin de semana,nouns,2.24
1325,相机,presidente,nouns,0.45
1326,阵列,lista,nouns,0.53
1327,出席,aparecer,verbs,2.9
1328,悲痛,agonía,nouns,4.25
1329,书,accidente,nouns,0.1
1330,加入,participar,verbs,3.59
1331,混合,beber,verbs,0.3
1332,得罪,molestia,verbs,1.71
1333,拓扑,estructura,nouns,0.75
1334,申请人,solicitud,nouns,1.48
1335,照耀,irradiar,verbs,3.92
1336,类似,igual,adjectives,3.35
1337,迅速,ágil,adjectives,4.4
1338,糟糕,genial,adjectives,0.15
1339,组织,volverse,verbs,0.1
1340,毁灭,hacer,verbs,0.19
1341,背景,papel pintado,nouns,2.3
1342,房屋,llave,nouns,0.3
1343,穿,erosionar,verbs,0.14
1344,通知,retratar,verbs,0.3
1345,王冠,llave,nouns,0.1
1346,公爵,república,nouns,0.1
1347,嘴巴,diente,nouns,1.07
1348,蠢,tonto,adjectives,5.36
1349,脚,arena,nouns,0.24
1350,厂,coche,nouns,0.29
1351,副手,oficial,nouns,1.43
1352,离开,permanecer,verbs,0.14
1353,细胞质,dígito,nouns,0.0
1354,无知,inteligencia,nouns,0.35
1355,明亮地,muy,adverbs,0.15
1356,人群,manojo,nouns,0.4
1357,运动鞋,medalla,nouns,0.15
1358,脏,pegajoso,adjectives,1.12
1359,年轻,feliz,adjectives,0.1
1360,预言家,sacerdote,nouns,0.73
1361,眉头,ojo,nouns,0.53
1362,昂贵,tímido,adjectives,0.2
1363,尾巴,acantilado,nouns,0.0
1364,渴,hambriento,adjectives,1.51
1365,女人,tarea,nouns,0.1
1366,布,lino,nouns,2.9
1367,两次,una vez,adverbs,0.57
1368,世界,globo,nouns,2.59
1369,说服,perseguir,verbs,0.29
1370,正常,extraño,adjectives,0.19
1371,汽车,bicicleta,nouns,0.53
1372,离开,ir,verbs,3.75
1373,唇,boca,nouns,2.38
1374,肚子,curso,nouns,0.05
1375,最近,recientemente,adverbs,5.18
1376,保龄,jugador de bolos,nouns,1.6
1377,沐浴,esposa,nouns,0.1
1378,弯曲,ángulo,nouns,1.6
1379,绑架,robar,verbs,1.08
1380,学校,derecho,nouns,0.58
1381,瓶子,envase,nouns,2.46
1382,防御,proteger,verbs,4.5
1383,针织套衫,chaqueta,nouns,2.84
1384,正直地,maduro,adverbs,1.1
1385,做,destruir,verbs,0.19
1386,汽车,calle,nouns,0.29
1387,工作者,cámara,nouns,0.1
1388,显然,discretamente,adverbs,0.38
1389,肚子,cintura,nouns,1.69
1390,蜜蜂,insecto,nouns,2.95
1391,小,enorme,adjectives,0.19
1392,传播,manchar,verbs,0.56
1393,百科全书,diccionario,nouns,2.12
1394,手臂,pierna,nouns,0.53
1395,卖,ir,verbs,0.05
1396,母鸡,pájaro,nouns,1.72
1397,母马,caballo,nouns,3.13
1398,乐队,orquesta,nouns,4.11
1399,容器,vena,nouns,0.0
1400,现金,dinero,nouns,4.29
1401,陷害,golpear,nouns,0.2
1402,未公开,abierto,adjectives,0.09
1403,精彩,hermoso,adjectives,3.23
1404,冰,agua,nouns,1.49
1405,射手,pionero,nouns,0.54
1406,鸡,arroz,nouns,0.25
1407,偷,secuestrar,verbs,1.08
1408,追求,investigar,verbs,0.69
1409,缺口,apertura,nouns,3.31
1410,选择,opinión,nouns,1.1
1411,门,piso,nouns,0.45
1412,价值,tarifa,nouns,3.21
1413,书,materia,nouns,1.85
1414,贫穷,orgulloso,adjectives,0.15
1415,需要,organizar,verbs,0.15
1416,大自然,flora,nouns,2.11
1417,鸟,pavo,nouns,2.08
1418,故事,canción,nouns,0.43
1419,成熟地,rectamente,adverbs,1.1
1420,父亲,hija,nouns,0.34
1421,腹部,vientre,nouns,3.6
1422,从不,después,adverbs,0.29
1423,游戏,divertido,nouns,0.78
1424,晚上,amanecer,nouns,0.24
1425,鸟,gallina,nouns,1.72
1426,惱火,infeliz,adjectives,2.79
1427,鼠,ratón,nouns,5.02
1428,诈骗,delito,nouns,2.91
1429,大学,campus,nouns,3.21
1430,确定,evacuar,verbs,0.35
1431,普通,increíble,adjectives,0.1
1432,走,venir,verbs,0.88
1433,严酷,cruel,adjectives,3.78
1434,覆盖着的,descubierto,adjectives,0.19
1435,传统,artesanía,nouns,1.84
1436,加剧,molestar,verbs,0.55
1437,开心,joven,adjectives,0.1
1438,打扰,agravar,verbs,0.55
1439,作曲家,escritor,nouns,2.47
1440,枯燥,gracioso,adjectives,0.05
1441,家长,padre,nouns,4.54
1442,叫喊,discutir,verbs,1.0
1443,到达,asistir,verbs,2.65
1444,黎明,noche,nouns,0.24
1445,手稿,artículo,nouns,2.69
1446,智力,sabiduría,nouns,3.85
1447,连接,separar,verbs,0.23
1448,学生,alumno,nouns,4.75
1449,船,motor,nouns,0.34
1450,出口,sufragio,nouns,0.23
1451,原谅,aceptar,verbs,2.58
1452,起源,empezar,verbs,3.96
1453,军官,diputado,nouns,1.43
1454,中性,calma,adjectives,0.64
1455,拿,salir,verbs,0.2
1456,植物,agricultura,nouns,0.99
1457,发动机,motor,nouns,2.23
1458,非自然,naturalmente,adverbs,0.23
1459,国民,conocido,adjectives,0.2
1460,普通,frío,adjectives,0.05
1461,否认,confesión,nouns,0.6
1462,学校,grado,nouns,1.29
1463,承诺,jurar,verbs,4.61
1464,幼儿床,cuna,nouns,2.55
1465,墙纸,fondo,nouns,2.3
1466,木炭,carbón,nouns,2.19
1467,弯曲,agresivo,adjectives,0.09
1468,喜悦,orgullo,nouns,1.51
1469,尺寸,truco,nouns,0.0
1470,正式地,en tono rimbombante,adverbs,0.7
1471,剧院,batería,nouns,0.1
1472,自然地,antinaturalmente,adverbs,0.23
1473,紧紧地,increíblemente,adverbs,0.0
1474,花朵,violeta,nouns,2.78
1475,小学生,estudiante,nouns,4.75
1476,董事,jefe,nouns,4.38
1477,啜,beber,verbs,2.42
1478,尺寸,centavo,nouns,0.1
1479,失去,sustraer,verbs,1.11
1480,沟通,rezar,verbs,0.62
1481,月,agosto,nouns,2.75
1482,球,cañón,nouns,0.2
1483,肉,sangre,nouns,0.48
1484,奖章,zapatillas,nouns,0.15
1485,关闭,vomitar,verbs,0.0
1486,玻璃,cristal,nouns,1.21
1487,冷淡,frágil,adjectives,0.05
1488,白天,amanecer,nouns,2.62
1489,雕塑,estatua,nouns,5.33
1490,谦虚,puro,adjectives,0.76
1491,寻求,objetivo,nouns,1.1
1492,放,obtener,verbs,0.1
1493,羞耻,suerte,adjectives,0.04
1494,赦免,perdonar,verbs,3.31
1495,毁灭,construcción,nouns,0.29
1496,检查,inspeccionar,verbs,4.82
1497,浮动,cantar,verbs,0.0
1498,法官,corte,nouns,0.86
1499,生活,sobrevivir,verbs,2.28
1500,无助,necesitado,adjectives,0.78
1501,总统,alumno,nouns,0.1
1502,狂怒,enfado,nouns,4.1
1503,长,corto,adjectives,0.19
1504,盒子,sombrero,nouns,0.15
1505,踝,codo,nouns,0.48
1506,和平地,orgullosamente,adverbs,0.19
1507,非常,brillantemente,adverbs,0.15
1508,大象,dinosaurio,nouns,0.54
1509,相机,obrero,nouns,0.1
1510,羊,cordero,nouns,4.08
1511,软线,cable,nouns,1.84
1512,聚酯纤维,algodón,nouns,1.2
1513,电,caso,nouns,0.04
1514,朋友,compañero,nouns,3.9
1515,乘,añadir,verbs,0.88
1516,任务,cañita,nouns,0.05
