ID,ENG,FIN,PoS,score
745,hypothesis,teoria,nouns,4.41
746,fake,aito,adjectives,0.24
747,solve,suorittaa loppuun,verbs,2.54
748,likely,mahdollisesti,adverbs,3.04
749,retain,pitää,verbs,4.42
750,stir,ravistaa,verbs,1.52
751,join,jättää,verbs,0.09
752,hug,puristaa,verbs,1.68
753,tower,kello,nouns,0.33
754,beef,liha,nouns,2.85
755,believe,tuntea,verbs,1.79
756,disturb,vaivata,verbs,3.88
757,dangerously,huolellisesti,adverbs,0.05
758,guess,ärsyttää,verbs,0.0
759,obviously,varmasti,adverbs,3.79
760,endurance,vahvuus,nouns,3.42
761,press,vapauttaa,verbs,0.0
762,rain,raekuuro,nouns,2.33
763,pencil,tarina,nouns,0.2
764,plate,kulho,nouns,1.97
765,factorization,biohajoaminen,nouns,0.54
766,animal,peto,nouns,3.35
767,parade,yhtye,nouns,0.42
768,politician,poliisi,nouns,0.42
769,extramarital,mainitsematon,adjectives,0.07
770,snow,myrsky,nouns,1.19
771,unusual,harvinainen,adjectives,4.89
772,find,hävitä ,verbs,0.15
773,coach,pelaaja,nouns,0.66
774,dumb,valtava,adjectives,0.04
775,buddy,ystävä,nouns,5.06
776,reward,korvaus,nouns,2.44
777,accept,uskoa,verbs,1.44
778,appear,osallistua,verbs,0.47
779,handle,valkuaisaine,nouns,0.0
780,sun,taivas,nouns,0.81
781,large,valtava,adjectives,4.96
782,inform,ilmoittaa,verbs,4.95
783,dive,luoda,verbs,0.0
784,bee,hyönteinen,nouns,2.38
785,wine,alkoholi,nouns,2.24
786,sugar,hunaja,nouns,1.29
787,uncle,täti,nouns,1.54
788,incredibly,tiukasti,adverbs,0.1
789,stomach,laskimo,nouns,0.5
790,player,valmentaja,nouns,0.66
791,create,piirtää,verbs,1.52
792,rationalize,ajatella,verbs,2.75
793,log,kaava,nouns,0.07
794,fall,sattua,verbs,0.51
795,balloon,ihmiset,nouns,0.0
796,image,idea,nouns,0.89
797,capability,pätevyys,nouns,4.42
798,buy,varastaa,verbs,0.41
799,combine,sulautua,verbs,3.65
800,new,hiljattainen,adjectives,3.82
801,coat,hattu,nouns,0.91
802,obviously,hienovaraisesti,adverbs,0.14
803,politician,presidentti,nouns,2.84
804,pathology,hematologia,nouns,1.71
805,lie,teeskennellä,verbs,2.96
806,easy,rankka,adjectives,0.24
807,hardware,tapaus,nouns,0.15
808,try,saavuttaa,verbs,0.74
809,highway,tehtävä,nouns,0.0
810,achieve,yrittää,verbs,0.74
811,boy,lapsi,nouns,2.28
812,christian,protestantti,nouns,3.28
813,trainers,mitali,nouns,0.09
814,irritate,arvata,verbs,0.0
815,untrustworthy,vilpillinen,adjectives,4.02
816,squad,armeija,nouns,1.31
817,private,julkinen,adjectives,0.24
818,drink,sekoittaa,verbs,0.0
819,activity,liike,nouns,2.49
820,cuddle,halata,verbs,4.89
821,steak,kana,nouns,0.71
822,bring,kantaa,verbs,1.9
823,action,kurssi,nouns,0.94
824,log,puumateriaali,nouns,2.94
825,bedroom,polkupyörä,nouns,0.0
826,give,vastaanottaa,verbs,0.29
827,blend,lyödä,verbs,0.15
828,hammer,hampaat,nouns,0.0
829,ability,pätevyys,nouns,4.51
830,winner,ehdokas,nouns,0.94
831,dollar,miljonääri,nouns,0.41
832,scared,hermostunut,adjectives,2.34
833,bath,huone,nouns,0.13
834,say,varmistaa,verbs,0.84
835,bring,valittaa,verbs,0.0
836,hit,tähdätä,verbs,1.06
837,payment,kolikko,nouns,0.92
838,put,antaa,verbs,0.6
839,reliably,kovakouraisesti,adverbs,0.05
840,defend,suojella,verbs,4.15
841,finger,varvas,nouns,1.41
842,bush,kukka,nouns,1.76
843,camp,kämppä,nouns,0.59
844,day,aamunkoitto,nouns,2.21
845,guidebook,käsikirja,nouns,4.49
846,glass,kunniamerkki,nouns,0.04
847,journal,artikkeli,nouns,1.7
848,send,osallistua,verbs,0.15
849,narrow,valkoinen,adjectives,0.0
850,container,vaunu,nouns,0.26
851,tear,silmä,nouns,0.53
852,blend,yhdistää,verbs,3.65
853,mix,hämmentää,verbs,4.26
854,dawn,yö,nouns,0.79
855,cheek,kieli,nouns,1.09
856,chapter,jakso,nouns,2.91
857,hesitant,raivostunut,adjectives,0.3
858,build,lisätä,verbs,1.14
859,accuse,syyttää,verbs,4.13
860,north,länsi,nouns,1.05
861,live,selviytyä,verbs,2.74
862,bee,muurahainen,nouns,1.06
863,roof,sisäkatto,nouns,3.79
864,snake,lisko,nouns,1.89
865,class,kaaos,nouns,0.0
866,spoil,haistaa,verbs,0.09
867,crazy,järjetön,adjectives,4.97
868,fact,todiste,nouns,2.62
869,saving,säästäjä,nouns,1.63
870,maturely,fiksusti,adverbs,2.58
871,declare,kuuluttaa,verbs,4.78
872,reduce,kastella,verbs,0.0
873,operation,algebra,nouns,0.36
874,valley,kanjoni,nouns,4.03
875,roughly,ilmiselvästi,adverbs,0.04
876,vein,käsivarsi,nouns,0.29
877,cautiously,huolellisesti,adverbs,4.18
878,muscle,luu,nouns,0.53
879,slender,hoikka,adjectives,5.44
880,bacon,aamiainen,nouns,0.86
881,listen,oppia,verbs,0.69
882,syntax,hakusana,nouns,0.74
883,avoid,kiistää,verbs,0.64
884,exit,äänioikeus,nouns,0.0
885,vinegar,salaatti,nouns,0.24
886,pact,sopimus,nouns,4.9
887,dull,pitkästynyt,adjectives,2.14
888,dissolve,sulaa,verbs,3.24
889,construct,tuhota,verbs,0.24
890,ant,kärpänen,nouns,1.11
891,show,matemaatikko,nouns,0.0
892,necessary,tarpeeton,adjectives,0.24
893,nice,ulospäinsuuntautunut,adjectives,0.62
894,groom,morsian,nouns,1.24
895,unique,vastapäinen,adjectives,0.54
896,container,hiiri,nouns,0.0
897,stubborn,typerä,adjectives,0.51
898,anatomy,biologia,nouns,2.54
899,clothes,takki,nouns,1.92
900,communication,keskustelu,nouns,3.36
901,man,epäilty,nouns,0.22
902,anxious,kärsimätön,adjectives,1.48
903,automobile,auto,nouns,5.85
904,necessary,tärkeä,adjectives,4.35
905,dumb,harvinainen,adjectives,0.0
906,lemon,tee,nouns,0.29
907,people,dollari,nouns,0.0
908,campus,yliopisto,nouns,2.5
909,dirty,kapea,adjectives,0.0
910,do,lopettaa,verbs,0.29
911,proof,fakta,nouns,2.62
912,compiler,aliohjelma,nouns,0.41
913,lip,lonkka,nouns,0.69
914,flower,pensas,nouns,1.76
915,exciting,tylsä,adjectives,0.24
916,bench,tuoli,nouns,3.21
917,chair,teleskooppi,nouns,0.0
918,arm,polvi,nouns,0.69
919,survive,elää,verbs,2.74
920,moss,ruoho,nouns,1.51
921,demon,hirviö,nouns,4.11
922,source,laatikko,nouns,0.0
923,notebook,ase,nouns,0.0
924,belief,konsepti,nouns,1.32
925,situation,kunto,nouns,1.69
926,biotope,biologia,nouns,0.99
927,fantastically,mahtavasti,adverbs,5.19
928,chaos,anarkia,nouns,3.33
929,door,keittiö,nouns,0.19
930,crib,kehto,nouns,4.67
931,sheriff,kyttä,nouns,3.56
932,float,laulaa,verbs,0.0
933,hit,kehys,nouns,0.0
934,dermatitis,ekseema,nouns,3.34
935,sum,liitto,nouns,0.44
936,dream,taivas,nouns,0.13
937,chicken,päivällinen,nouns,0.99
938,belief,kukka,nouns,0.12
939,bone,niska,nouns,0.81
940,immoral,paha,adjectives,3.46
941,condition,tilanne,nouns,1.69
942,bull,vasikka,nouns,1.96
943,trout,kitara,nouns,0.0
944,cat,lemmikkieläin,nouns,2.77
945,deny,antaa,verbs,0.0
946,star,kirkkaus,nouns,0.71
947,teacher,ystävä,nouns,0.45
948,want,lainata,verbs,0.4
949,infection,taivutus,nouns,0.0
950,gut,hermo,nouns,0.99
951,walk,seistä,verbs,0.54
952,madly,äänekkäästi,adverbs,0.73
953,battery,teatteri,nouns,0.0
954,sea,suisto,nouns,0.92
955,sheep,karitsa,nouns,4.42
956,grass,juuri,nouns,0.81
957,succeed,epäonnistua,verbs,0.24
958,archer,tienraivaaja,nouns,0.26
959,easily,mukavasti,adverbs,2.25
960,alcohol,gini,nouns,2.36
961,wrathful,epäröivä,adjectives,0.3
962,gun,temppu,nouns,0.0
963,denial,tunnustus,nouns,0.42
964,mood,viha,nouns,0.94
965,choose,haluta,verbs,0.66
966,opera,elokuvateatteri,nouns,1.18
967,give,antaa lainaksi,verbs,2.29
968,disappear,kutistua,verbs,1.34
969,attend,saapua,verbs,0.89
970,gun,turkki,nouns,0.0
971,television,näyttelijä,nouns,0.34
972,purely,täysin,adverbs,2.66
973,retain,unohtaa,verbs,0.05
974,actor,näyttelijätär,nouns,4.2
975,story,kynä,nouns,0.2
976,unfairly,reilusti,adverbs,0.24
977,army,partio,nouns,1.31
978,rod,verho,nouns,0.15
979,freeze,vapista,verbs,0.89
980,avoid,torjua,verbs,1.53
981,yard,metri,nouns,2.41
982,sincerely,vakavasti,adverbs,1.77
983,ceremony,juhla,nouns,3.69
984,safely,onnellisesti,adverbs,0.63
985,harbor,kääre,nouns,0.0
986,palace,pilvenpiirtäjä,nouns,0.77
987,expand,kasvaa,verbs,4.25
988,borrow,anoa,verbs,1.07
989,accident,kirja,nouns,0.0
990,altitude,keskustelu,nouns,0.0
991,sea,tsunami,nouns,1.05
992,maid,tyttö,nouns,1.22
993,ignorance,älykkyys,nouns,0.24
994,erode,sallia,verbs,0.0
995,generous,mukava,adjectives,1.07
996,break,murtaa,verbs,3.58
997,silently,passiivisesti,adverbs,1.27
998,bishop,muslimi,nouns,0.3
999,infection,sairaus,nouns,3.19
1000,concept,uskomus,nouns,1.32
1001,helper,opettaja,nouns,2.17
1002,daily,normaalisti,adverbs,1.96
1003,parliament,kongressi,nouns,3.41
1004,bedroom,kylpyhuone,nouns,1.51
1005,plane,suihkukone,nouns,4.39
1006,runner,urheilija,nouns,2.56
1007,relaxed,stressaantunut,adjectives,0.24
1008,fiction,elämäkerta,nouns,0.84
1009,gather,tavata,verbs,3.13
1010,popular,tunnettu,adjectives,2.7
1011,deck,vene,nouns,0.44
1012,think,miettiä,verbs,5.14
1013,king,hallitsija,nouns,3.58
1014,openly,massiivisesti,adverbs,0.05
1015,money,kuukausipalkka,nouns,2.44
1016,mist,sade,nouns,1.79
1017,stomach,vyötärö,nouns,2.31
1018,drawing,mellakka,nouns,0.0
1019,dance,mekko,nouns,0.1
1020,hurt,kaatua,verbs,0.51
1021,descend,pienentää,verbs,0.49
1022,uncle,serkku,nouns,1.0
1023,stop,varoittaa,verbs,0.48
1024,arithmetic,logiikka,nouns,1.63
1025,tongue,kurkku,nouns,1.19
1026,sand,jalkaterä,nouns,0.0
1027,door,portti,nouns,3.04
1028,protect,auttaa,verbs,1.84
1029,region,alue,nouns,4.84
1030,tin,alumiini,nouns,1.19
1031,union,yhdistelmä,nouns,3.0
1032,character,henkilö,nouns,3.12
1033,newspaper,sana,nouns,0.53
1034,believe,hyväksyä,verbs,1.44
1035,comprehend,tyydyttää,verbs,0.13
1036,wine,brandy,nouns,1.49
1037,cousin,setä,nouns,1.0
1038,forecast,pilvinen sää,nouns,0.51
1039,cry,nyyhkyttää,verbs,4.49
1040,reject,vetäytyä,verbs,1.2
1041,gale,peitto,nouns,0.0
1042,desert,dyyni,nouns,1.56
1043,gunboat,rannikkoalue,nouns,0.19
1044,student,professori,nouns,0.57
1045,grassland,niitty,nouns,3.09
1046,economy,ekosysteemi,nouns,0.59
1047,director,elokuvaus,nouns,0.82
1048,lose,pitää,verbs,0.1
1049,man,soturi,nouns,0.92
1050,orderly,sotkuinen,adjectives,0.19
1051,spotless,puhdas,adjectives,5.39
1052,unnaturally,negatiivisesti,adverbs,0.22
1053,ordinary,arkipäiväinen,adjectives,4.74
1054,gun,kersantti,nouns,0.42
1055,liver,keuhko,nouns,1.15
1056,graph,kaavio,nouns,3.54
1057,unreasonably,epäreilusti,adverbs,3.26
1058,unclear,epämääräinen,adjectives,5.04
1059,writer,lahja,nouns,0.0
1060,smart,älykäs,adjectives,5.64
1061,nerve,aivot,nouns,1.22
1062,tin,metalli,nouns,1.21
1063,sofa,tuoli,nouns,2.5
1064,agree,kiistellä,verbs,0.24
1065,daughter,vauva,nouns,1.98
1066,word,sanomalehti,nouns,0.53
1067,protect,pitää,verbs,0.85
1068,brain,hermo,nouns,1.22
1069,century,väkijuoma,nouns,0.0
1070,make,muodostaa,verbs,3.3
1071,animal,henkilö,nouns,0.51
1072,house,matto,nouns,0.29
1073,sometimes,yhtenäisesti,adverbs,0.05
1074,shoulder,käsivarsi,nouns,1.23
1075,remark,kritisoida,verbs,1.76
1076,birthday,vuosi,nouns,0.67
1077,daughter,muksu,nouns,1.55
1078,closely,paikallisesti,adverbs,2.52
1079,greatly,kirkkaasti,adverbs,0.67
1080,personal,yksityinen,adjectives,4.06
1081,attention,mielenkiinto,nouns,3.16
1082,book,essee,nouns,1.45
1083,tram,juna,nouns,2.54
1084,cup,lusikka,nouns,0.94
1085,conclude,päättää,verbs,3.24
1086,management,hiiri,nouns,0.0
1087,clean,tahraton,adjectives,5.39
1088,zone,alue,nouns,4.75
1089,theatre,elokuva,nouns,1.25
1090,bored,tylsä,adjectives,2.14
1091,employer,työntekijä,nouns,0.71
1092,win,menestyä,verbs,3.29
1093,telescope,aivoriihi,nouns,0.0
1094,lizard,käärme,nouns,1.89
1095,walk,ontua,verbs,1.76
1096,crack,rikkoa,verbs,3.58
1097,mark,kerho,nouns,0.05
1098,amorphous,muodoton,adjectives,4.1
1099,president,pormestari,nouns,1.59
1100,surely,ilmiselvästi,adverbs,3.79
1101,happy,hyväntuulinen,adjectives,4.26
1102,perception,näkö,nouns,3.37
1103,flower,polttimo,nouns,0.39
1104,clothes,komero,nouns,0.51
1105,umbrella,kaliiperi,nouns,0.0
1106,understand,antaa anteeksi,verbs,0.94
1107,lightly,kirkkaasti,adverbs,1.17
1108,hang,laittaa,verbs,0.43
1109,child,tyttö,nouns,2.28
1110,spine,vartalo,nouns,0.79
1111,deny,valehdella,verbs,1.07
1112,hungry,janoinen,adjectives,0.98
1113,necessarily,olennaisesti,adverbs,3.58
1114,ice,vesi,nouns,2.08
1115,universe,taivas,nouns,0.74
1116,sensor,jäähdytin,nouns,0.17
1117,teeth,luu,nouns,2.04
1118,deeply,enimmäkseen,adverbs,0.45
1119,search,vaeltaa,verbs,0.73
1120,rock,kaivos,nouns,0.47
1121,symbol,merkki,nouns,5.08
1122,wrist,käsivarsi,nouns,1.72
1123,key,kruunu,nouns,0.0
1124,stomach,kurssi,nouns,0.0
1125,bizarre,kummallinen,adjectives,5.07
1126,lose,kypsentää,verbs,0.0
1127,try,onnistua,verbs,0.83
1128,lawyer,syyttäjä,nouns,3.0
1129,kill,roikkua,verbs,0.42
1130,rule,sopivuussäännöt,nouns,2.49
1131,simple,vaikea,adjectives,0.24
1132,mother,ystävä,nouns,1.17
1133,fight,olla eri mieltä,verbs,1.44
1134,combine,sokeriruoko,nouns,0.1
1135,hymn,pilli,nouns,0.1
1136,formal,asianmukainen,adjectives,3.13
1137,bat,vamppyyri,nouns,1.02
1138,weak,voimallinen,adjectives,0.24
1139,become,organisoida,verbs,0.0
1140,alloy,teräs,nouns,2.76
1141,aunt,setä,nouns,1.54
1142,bean,kahvi,nouns,0.65
1143,depth,suuruus,nouns,1.92
1144,muscle,kieli,nouns,1.71
1145,camera,jatko-osa,nouns,0.0
1146,ugly,raaka,adjectives,0.71
1147,harsh,julma,adjectives,2.79
1148,bone,lihas,nouns,0.53
1149,date,syntymäpäivä,nouns,1.9
1150,bank,istuin,nouns,0.0
1151,decade,vuosisata,nouns,1.04
1152,father,veli,nouns,0.99
1153,often,joskus,adverbs,0.64
1154,contemplate,ajatella,verbs,5.14
1155,inquire,etsiä,verbs,2.3
1156,know,uskoa,verbs,1.85
1157,guilty,rehellinen,adjectives,0.05
1158,apocalypse,tuli,nouns,0.29
1159,book,kirjallisuus,nouns,2.47
1160,carefully,varovasti,adverbs,4.18
1161,join,lisätä,verbs,2.04
1162,meaningfully,erityisesti,adverbs,1.31
1163,explore,sivuuttaa,verbs,0.0
1164,crocodile,lisko,nouns,2.55
1165,singer,näyttelijä,nouns,0.96
1166,huge,pikkuruinen,adjectives,0.28
1167,cheap,huokea,adjectives,5.03
1168,body,vatsa,nouns,1.39
1169,mountain,kieleke,nouns,0.57
1170,drum,kitara,nouns,1.16
1171,build,luoda,verbs,3.59
1172,away,kotona,adverbs,0.41
1173,society,kerho,nouns,4.25
1174,news,väliaine,nouns,0.0
1175,push,syyttää,verbs,0.0
1176,fundraising,kehitys,nouns,0.04
1177,chips,kursori,nouns,0.0
1178,bowl,häntä,nouns,0.0
1179,game,hauskuus,nouns,1.21
1180,repeat,harjoitella,verbs,2.27
1181,brow,silmä,nouns,1.02
1182,judge,todistaa,verbs,0.59
1183,mill,siemen,nouns,0.27
1184,coin,korvaus,nouns,0.92
1185,hallway,välikäytävä,nouns,2.31
1186,intelligence,logiikka,nouns,2.7
1187,weekly,kuukausittainen,adjectives,1.04
1188,school,laki,nouns,0.17
1189,negotiation,diplomatia,nouns,2.46
1190,sell,mennä,verbs,0.1
1191,strawberry,kirsikka,nouns,1.14
1192,overcast,ennuste,nouns,0.51
1193,creator,tekijä,nouns,3.75
1194,righteously,kypsästi,adverbs,0.58
1195,baby,aikuinen,nouns,0.56
1196,log,puutavara,nouns,2.86
1197,play,taistella,verbs,0.3
1198,leave,liittyä,verbs,0.09
1199,violation,rikos,nouns,2.27
1200,pottery,keraaminen esine,nouns,3.55
1201,sadly,tunteellisesti,adverbs,1.98
1202,spoon,mehu,nouns,0.1
1203,crooked,kaareva,adjectives,2.05
1204,peacefully,ylpeästi,adverbs,0.15
1205,decide,tulla johtopäätökseen,verbs,3.24
1206,entertain,miellyttää,verbs,2.08
1207,evening,iltahämärä,nouns,3.84
1208,swallow,juoda,verbs,1.99
1209,calf,sonni,nouns,1.96
1210,radiator,sensori,nouns,0.17
1211,enter,mennä,verbs,1.29
1212,smother,halata,verbs,0.82
1213,possess,imeä itseensä,verbs,0.29
1214,slim,solakka,adjectives,5.44
1215,instructor,opettaja,nouns,4.47
1216,verify,perustella,verbs,1.35
1217,boy,riisi,nouns,0.0
1218,criticism,kiista,nouns,1.33
1219,payment,maksu,nouns,3.54
1220,seedling,lehti,nouns,0.94
1221,greatly,uskomattomasti,adverbs,1.87
1222,deceive,huijata,verbs,3.86
1223,friend,opettaja,nouns,0.45
1224,beer,shamppanja,nouns,1.1
1225,gin,alkoholi,nouns,2.36
1226,strange,omituinen,adjectives,5.24
1227,fluid,suutin,nouns,0.09
1228,clothes,nappi,nouns,1.01
1229,accident,katastrofi,nouns,3.72
1230,wall,tiili,nouns,0.71
1231,corridor,ovi,nouns,0.34
1232,key,talo,nouns,0.32
1233,performance,kirjallinen muotokuva,nouns,1.19
1234,special,arvokas,adjectives,2.57
1235,angry,väkivaltainen,adjectives,1.89
1236,assault,pahentaa,verbs,0.63
1237,lock,avain,nouns,0.64
1238,launch,lähettää,verbs,2.15
1239,iron,vitamiini,nouns,1.06
1240,protestant,kristitty,nouns,3.28
1241,difficult,helppo,adjectives,0.24
1242,cattle,lehmä,nouns,3.62
1243,coronation,vesi,nouns,0.0
1244,drawer,vaatteet,nouns,0.26
1245,mouse,säilytysastia,nouns,0.0
1246,argument,keskustelu,nouns,1.84
1247,draw,luoda,verbs,1.52
1248,meet,tervehtiä,verbs,1.86
1249,skyscraper,palatsi,nouns,0.77
1250,innovative,luova,adjectives,4.97
1251,belief,arvo,nouns,1.96
1252,happily,kuolettavasti,adverbs,0.0
1253,calendar,juhlapäivä,nouns,0.52
1254,field,kaura,nouns,0.35
1255,pretend,valehdella,verbs,2.96
1256,proud,ylimielinen,adjectives,3.0
1257,captain,merimies,nouns,2.34
1258,intelligence,taito,nouns,1.83
1259,area,seutu,nouns,4.84
1260,immediately,pian,adverbs,3.4
1261,recently,nykyään,adverbs,1.92
1262,well,tunnettu,adjectives,0.27
1263,stream,joki,nouns,3.21
1264,pathfinder,jousiampuja,nouns,0.26
1265,kid,poika,nouns,2.42
1266,deliver,kantaa,verbs,1.35
1267,outgoing,mukava,adjectives,0.62
1268,bronchitis,parasetamoli,nouns,0.14
1269,cyclone,taifuuni,nouns,4.58
1270,avoid,sivuuttaa,verbs,3.17
1271,offend,vaivata,verbs,1.48
1272,chocolate,piirakka,nouns,0.57
1273,pollination,hede,nouns,0.99
1274,stay,odottaa,verbs,2.06
1275,strange,ovela,adjectives,0.28
1276,firmly,tiukasti,adverbs,4.38
1277,yell,kiistellä,verbs,1.44
1278,certain,hermostunut,adjectives,0.0
1279,engine,mäntä,nouns,1.77
1280,bedroom,sänky,nouns,1.02
1281,action,peli,nouns,0.57
1282,seat,pankki,nouns,0.0
1283,dinner,ateria,nouns,3.11
1284,theatre,paristo,nouns,0.0
1285,demon,enkeli,nouns,0.52
1286,terrible,surullinen,adjectives,1.22
1287,precisely,epätäsmällisesti,adverbs,0.24
1288,chapel,kirkontorni,nouns,1.67
1289,mayor,päällikkö,nouns,1.79
1290,big,suuri,adjectives,5.86
1291,ignore,unohtaa,verbs,1.33
1292,protect,säästää,verbs,2.23
1293,agree,olla eri mieltä,verbs,0.24
1294,conversion,korkeus,nouns,0.0
1295,election,valinta,nouns,1.96
1296,lake,pilvi,nouns,0.15
1297,simulation,robotiikka,nouns,0.85
1298,electric,makea,adjectives,0.0
1299,negative,ei koskaan,adjectives,0.6
1300,beer,alkoholi,nouns,2.25
1301,jaw,luu,nouns,0.97
1302,proud,köyhä,adjectives,0.0
1303,blood,kurpitsa,nouns,0.31
1304,cloth,vaatteet,nouns,1.39
1305,cheat,pettää,verbs,3.86
1306,catastrophe,onnettomuus,nouns,3.72
1307,enter,olla velkaa,verbs,0.0
1308,honestly,vilpittömästi,adverbs,4.95
1309,shrink,supistaa,verbs,3.63
1310,guilty,paha,adjectives,1.19
1311,normally,epänormaalisti,adverbs,0.24
1312,curved,kiero,adjectives,2.05
1313,elephant,dinosaurus,nouns,0.86
1314,poor,ylpeä,adjectives,0.0
1315,booth,puhelin,nouns,0.27
1316,asteroid,tähti,nouns,1.62
1317,never,negatiivinen,adjectives,0.6
1318,seldom,ei koskaan,adverbs,2.83
1319,cardboard,paperi,nouns,2.95
1320,elbow,luu,nouns,1.05
1321,plane,helikopteri,nouns,1.76
1322,hose,puutarha,nouns,0.33
1323,head,jalkaterä,nouns,0.64
1324,frightened,innostunut,adjectives,0.22
1325,arm,jalka,nouns,1.01
1326,responsibly,luotettavasti,adverbs,3.21
1327,neurosis,mieli,nouns,0.77
1328,beg,kysyä,verbs,2.51
1329,school,arvosana,nouns,0.56
1330,literature,sana,nouns,1.21
1331,lake,suo,nouns,1.32
1332,vector,matriisi,nouns,1.65
1333,chart,kuvaaja,nouns,3.54
1334,secure,ikävä,adjectives,0.09
1335,admit,kiistää,verbs,0.24
1336,evaluate,oppia,verbs,0.72
1337,bridge,kortti,nouns,0.0
1338,borrower,luotto,nouns,0.51
1339,easy,joustava,adjectives,1.43
1340,fault,järjestelmä,nouns,0.22
1341,modest,joustava,adjectives,0.25
1342,car,tehdas,nouns,0.1
1343,highway,auto ,nouns,0.45
1344,situation,olosuhde,nouns,4.84
1345,image,heijastus,nouns,1.86
1346,night,päivä,nouns,0.76
1347,difficult,yksinkertainen,adjectives,0.24
1348,prove,kiistellä,verbs,1.18
1349,lie,kiistää,verbs,1.07
1350,make,tulla,verbs,0.27
1351,worry,tuhlata,verbs,0.05
1352,author,luoja,nouns,3.75
1353,breathe,tukehtua,verbs,0.25
1354,polish,tiedottaa,verbs,0.0
1355,wave,sää,nouns,0.1
1356,softly,lujasti,adverbs,0.2
1357,actor,laulaja,nouns,0.96
1358,important,tarpeellinen,adjectives,4.35
1359,club,yhdistys,nouns,4.25
1360,fry,kypsentää,verbs,3.05
1361,comfortably,helposti,adverbs,2.25
1362,chase,seurata,verbs,3.17
1363,news,juoruilu,nouns,1.57
1364,mouse,johtokunta,nouns,0.0
1365,mediocre,paha,adjectives,0.51
1366,adult,vauva,nouns,0.56
1367,pilot,kuljettaja,nouns,2.59
1368,toe,sormi,nouns,1.41
1369,essentially,kriittisesti,adverbs,2.0
1370,get,jäädä,verbs,0.05
1371,absorb,oppia,verbs,1.98
1372,start,aloittaa,verbs,5.34
1373,key,lukko,nouns,0.64
1374,positively,todennäköisesti,adverbs,0.59
1375,recent,uusi,adjectives,3.82
1376,brother,isä,nouns,0.99
1377,failure,konkurssi,nouns,1.42
1378,prey,jumala,nouns,0.0
1379,nose,kurkku,nouns,0.94
1380,angry,onnellinen,adjectives,0.24
1381,carry,toimittaa,verbs,1.35
1382,event,varainkeruutapahtuma,nouns,2.19
1383,death,tragedia,nouns,1.37
1384,luck,onnellisuus,nouns,0.44
1385,medal,lenkkikengät,nouns,0.09
1386,billionaire,koditon,nouns,0.42
1387,assignment,viesti,nouns,0.61
1388,body,rintakehä,nouns,1.57
1389,minor,merkittävä,adjectives,0.24
1390,father,poika,nouns,1.01
1391,messy,hallittu,adjectives,0.19
1392,clarify,määrittää,verbs,3.13
1393,smell,pilata,verbs,0.09
1394,body,alusvaatteet,nouns,0.3
1395,attack,salamahyökkäys,nouns,3.5
1396,body,veri,nouns,0.6
1397,orthodontist,tohtori,nouns,1.71
1398,mad,iloinen,adjectives,0.05
1399,protect,puolustaa,verbs,4.15
1400,smartly,kypsästi,adverbs,2.58
1401,condemn,torjua,verbs,1.5
1402,boring,keskinkertainen,adjectives,1.43
1403,inn,motelli,nouns,3.81
1404,haul,nostaa,verbs,3.2
1405,attitude,itseluottamus,nouns,1.91
1406,peacefully,kaoottisesti,adverbs,0.24
1407,arm,vartalo,nouns,0.81
1408,door,kello,nouns,0.17
1409,collect,organisoida,verbs,0.95
1410,grass,terä,nouns,0.34
1411,dentist,eversti,nouns,0.44
1412,syllable,lemma,nouns,0.52
1413,abundance,runsaus,nouns,5.1
1414,winter,kausi,nouns,1.56
1415,young,onnellinen,adjectives,0.09
1416,confidence,minuus,nouns,1.16
1417,evaluate,analysoida,verbs,4.46
1418,soccer,jalkapallo,nouns,5.67
1419,symbol,koodi,nouns,2.19
1420,lift,korottaa,verbs,4.78
1421,society,kulttuuri,nouns,2.6
1422,manuscript,kirja,nouns,2.41
1423,son,isä,nouns,1.01
1424,schemer,strategi,nouns,2.8
1425,afraid,ahdistunut,adjectives,2.56
1426,combat,sotaisuus,nouns,1.86
1427,sound,akustiikka,nouns,2.6
1428,belief,mielipide,nouns,3.46
1429,create,kuvitella,verbs,1.19
1430,ask,rukoilla,verbs,1.04
1431,exchange,valuutta,nouns,0.79
1432,organ,maksa,nouns,2.04
1433,word,kirjallisuus,nouns,1.21
1434,reprimand,vaatia,verbs,0.19
1435,completely,niukasti,adverbs,0.14
1436,deny,välttää,verbs,0.64
1437,fresh,leveä,adjectives,0.0
1438,blitz,hyökkäys,nouns,3.5
1439,intelligence,ymmärrys,nouns,2.89
1440,room,rakennus,nouns,0.96
1441,level,tulokset,nouns,0.86
1442,holiday,kalenteri,nouns,0.52
1443,get,kadottaa,verbs,0.05
1444,size,sentti,nouns,0.65
1445,area,nurkka,nouns,0.81
1446,fence,raide,nouns,0.64
1447,ceramic,keramiikka,nouns,3.55
1448,restless,nuori,adjectives,0.14
1449,oak,vaahtera,nouns,1.52
1450,sometimes,varmasti,adverbs,0.19
1451,wife,äiti,nouns,1.73
1452,friend,kaveri,nouns,5.06
1453,pursue,suostutella,verbs,0.39
1454,bottle,tölkki,nouns,1.56
1455,drunk,selvin päin oleva,adjectives,0.24
1456,catch,jahdata,verbs,0.92
1457,dull,jännittävä,adjectives,0.24
1458,swamp,järvi,nouns,1.32
1459,foolish,lapsellinen,adjectives,1.44
1460,flight,ilmailu,nouns,2.76
1461,decide,kuvata,verbs,0.2
