ID,FIN,SWA,PoS,score
683,kirja,insha,nouns,1.2
684,tunneli,shimo,nouns,0.25
685,logiikka,akili,nouns,2.8
686,saada,kushindwa,verbs,0.15
687,vastapäinen,kinyume,adjectives,0.15
688,varovaisuus,tahadhari,nouns,0.9
689,kirjailija,muandishi,nouns,0.0
690,köyhä,maskini,adjectives,0.0
691,pyyhkiä,kupanguza,verbs,0.05
692,enkeli,malaika,nouns,0.55
693,ilmestyä,kuondoka,verbs,0.4
694,epäonnistua,kukanya,verbs,0.55
695,purukumi,fizi,nouns,0.45
696,huomenna,kesho,adverbs,0.35
697,viehättää,kuvutia,verbs,0.0
698,häntä,jabali,nouns,0.0
699,äiti,baba,nouns,1.05
700,maissi,nafaka,nouns,4.4
701,ompelulanka,uzi,nouns,4.85
702,luvata,kuweka ahadi,verbs,4.55
703,kamera,kamera,nouns,0.0
704,ihmeellinen,poa,adjectives,1.8
705,artikkeli,kitabu,nouns,1.4
706,hunaja,asali,nouns,0.0
707,avain,funguo,nouns,1.05
708,ilma,molekuli,nouns,0.5
709,tuhota,kujenga,verbs,0.25
710,äänioikeus,haki ya upigaji kura,nouns,0.0
711,hattu,sanduku,nouns,0.1
712,pekoni,nyama,nouns,3.65
713,radikaali,fikra mpya,adjectives,0.75
714,oppilas,mwanafunzi,nouns,4.8
715,avioliiton ulkopuolinen,nje ya ndoa,adjectives,0.0
716,täysin,kwa uzima,adverbs,0.7
717,kadottaa,kupoteza,verbs,0.4
718,piispa,askofu,nouns,0.2
719,niukasti,mara kwa mara,adverbs,0.25
720,raapustaa,kuandika,verbs,2.85
721,nostaa,kunyanyua,verbs,4.15
722,yrittää,kutimiza,verbs,0.8
723,asunto,nyumba,nouns,3.7
724,metalli,bati,nouns,0.95
725,avustaa,kusaidia,verbs,4.65
726,helmi,hela,nouns,0.2
727,tapaus,kesi,nouns,0.03
728,tuhlata,takataka,verbs,0.05
729,tavata,kukusanya,verbs,2.75
730,itseluottamus,nafsi,nouns,0.85
731,pilli,mke,nouns,0.0
732,huippu,chini,nouns,0.3
733,virkapuku,sare,nouns,0.0
734,kori,mpira,nouns,0.3
735,erityinen,maalumu,adjectives,2.6
736,helppo,pole,adjectives,0.5
737,turkki,mwanamke,nouns,0.0
738,kulmakarva,jicho,nouns,0.65
739,oudosti,ya kustajabisha,adverbs,4.8
740,onnellinen,mchanga,adjectives,0.15
741,uskomus,ua,nouns,0.05
742,tuomari,hakimu,nouns,1.7
743,ihana,wa ajabu,adjectives,1.35
744,hiekka,mchanga,nouns,0.0
745,tietosanakirja,ensaiklopidia,nouns,2.95
746,pallo,mpira,nouns,1.65
747,kaaos,vurugu,nouns,0.0
748,aamiainen,karamu,nouns,1.0
749,jakaa,kuzidisha,verbs,0.65
750,opettaja,rafiki,nouns,0.5
751,kaapeli,amari,nouns,0.0
752,minuus,hakika,nouns,0.85
753,kappale,usiku,nouns,0.0
754,biohajota,kuoza,verbs,1.35
755,jalkaterä,kichwa,nouns,0.75
756,valita,kuamua,verbs,2.5
757,epäaito,bandia,adjectives,4.95
758,torjunta-aine,dawa ya wadudu,nouns,0.7
759,huokea,rahisi,adjectives,5.2
760,leipoa,kuoka,verbs,2.35
761,olkapää,mwili,nouns,0.95
762,levy,kompyuta,nouns,0.45
763,häntä,mkia,nouns,1.9
764,kynsi,mkono,nouns,1.05
765,kapea,mrefu,adjectives,0.45
766,rouskua,kuteketa,verbs,0.75
767,vaara,ugonjwa,nouns,0.5
768,lukija,mtunzi,nouns,0.65
769,käsivarsi,bega,nouns,1.9
770,arvioida,kujifunza,verbs,0.85
771,sisäkatto,paa,nouns,4.1
772,tänä iltana,leo usiku,adverbs,0.35
773,viisumi,mhuri,nouns,0.3
774,kielenkäyttö,mawasiliano,nouns,2.2
775,veli,kaka,nouns,1.8
776,tiedustella,ulizia,verbs,2.15
777,nenä,koo,nouns,1.05
778,lisätä,kuunda,verbs,0.55
779,epärehellinen,danganyifu,adjectives,0.85
780,juosta,kimbia,verbs,0.45
781,väkivaltainen,dhalimu,adjectives,0.75
782,muistuttaa,kusahau,verbs,0.25
783,saada kiinni,kukamata,verbs,3.25
784,satama,bandari,nouns,0.0
785,sulkea,kukuifungia,verbs,0.0
786,riisi,mvulana,nouns,0.0
787,ajatella,kuamua,verbs,1.95
788,kahdesti,mara mbili,adverbs,0.55
789,tohtori,profesa,nouns,1.7
790,setä,shangazi,nouns,0.85
791,televisio,runinga,nouns,0.4
792,rytmi,hesabu,nouns,0.1
793,täsmällisesti,kwa usahihi,adverbs,0.45
794,viheltää,mluzi,verbs,0.05
795,jatko-osa,mwendelezo,nouns,0.0
796,sanakirja,namna,nouns,0.35
797,iso,kubwa,adjectives,0.15
798,haudata,kuzikwa,verbs,1.5
799,keksi,biskuti,nouns,0.0
800,kunnossa oleva,sawa,adjectives,0.65
801,miekka,panga,nouns,0.0
802,aakkoset,alphabeti,nouns,0.05
803,tylsä,mkali,adjectives,0.25
804,laskeutua,teremka,verbs,0.55
805,näyttelijä,mwimbaji,nouns,0.9
806,koriste,mapambo,nouns,0.05
807,iiris,boriti,nouns,0.15
808,lippu,bendera,nouns,0.7
809,mittari,gari,nouns,0.25
810,henkilö,mnyama,nouns,0.45
811,puutavara,gogo,nouns,2.85
812,luovasti,kiubunifu,adverbs,1.1
813,suojella,kuliinda,verbs,1.4
814,pitkä,mfupi,adjectives,0.25
815,luostari,monasteri,nouns,0.0
816,pyrkiä,kujitahidi,verbs,0.0
817,kirkkaasti,kwa ukali,adverbs,0.5
818,syntymäpäivä,tarehe,nouns,1.75
819,ylpeä,mwenye nguvu,adjectives,0.35
820,ulospäinsuuntautunut,inayotoka,adjectives,0.32
821,virus,kirusi,nouns,0.6
822,käsivarsi,mshipa,nouns,0.5
823,vartalo,kifua,nouns,2.1
824,miljonääri,milionea,nouns,1.05
825,sää,theluji,nouns,0.7
826,hakusana,nenokuu,nouns,0.9
827,kurkku,pua,nouns,1.05
828,valita,kuteua,verbs,0.0
829,viikottainen,kwa wiki,adjectives,0.7
830,kiista,majadiliano,nouns,1.0
831,ekosysteemi,mfumo wa ikolojia,nouns,0.55
832,henkilö,mtu,nouns,3.15
833,kurjuus,ukiwa,nouns,2.6
834,hankkia,kupata,verbs,1.7
835,koko,ukubwa,nouns,5.35
836,fakta,umaizi,nouns,1.35
837,sensuuri,udhibiti,nouns,0.2
838,riisi,maharagwe,nouns,0.85
839,hauska,wa kuchosha,adjectives,0.25
840,jalkaterä,mkono,nouns,1.1
841,kuukausittainen,kila mwezi,adjectives,0.7
842,vanhempi,baba,nouns,3.75
843,ilo,kiburi,nouns,0.95
844,leiri,kibanda,nouns,0.5
845,tuoda,kulalamika,verbs,0.05
846,haavoittuvainen,walio hatarini,adjectives,0.05
847,päivällinen,supu,nouns,1.05
848,väkijoukko,gwaride,nouns,1.05
849,koe,mtihani,nouns,0.45
850,arvokas,yenye thamani,adjectives,2.6
851,kunto,makubaliano,nouns,0.05
852,luoda,kuunda,verbs,3.85
853,mainitsematon,haionekani,adjectives,0.0
854,organisoida,panga,verbs,1.5
855,alusvaatteet,chupi,nouns,0.15
856,kutistua,kupotea,verbs,1.25
857,auto,daraja,nouns,0.2
858,leipä,unga,nouns,1.3
859,aihe,kitabu,nouns,0.5
860,sormus,pete,nouns,0.75
861,vastaanottaa,kupokea,verbs,0.9
862,tieteilijä,muuguzi,nouns,0.35
863,pari,vitu viwili,nouns,5.35
864,itsepäinen,msumbufu,adjectives,0.8
865,kone,injini,nouns,3.35
866,yksinkertaisesti,kirahisi,adverbs,0.1
867,tehtävä,kazi,nouns,4.4
868,mies,mwanaume,nouns,0.15
869,nilkka,dirisha,nouns,0.0
870,omituinen,mgeni,adjectives,4.6
871,ruma,mbaya,adjectives,0.95
872,työntää,kusukuma,verbs,0.0
873,hyväksyä,kukubali,verbs,0.3
874,vuosi,mwaka,nouns,1.35
875,henkilökohtainen,kibinasfi,adjectives,3.7
876,muistuttaa,kuuza,verbs,0.0
877,väärä,kosa,adjectives,0.05
878,pohja,besi,nouns,0.25
879,polkupyörä,chumba cha kulala,nouns,0.0
880,palvelustyttö,msichana,nouns,1.3
881,lyhyt,mrefu,adjectives,0.25
882,koira,paka,nouns,0.9
883,pallo,mavazi,nouns,0.05
884,patologia,stadi ya magonjwa,nouns,2.35
885,päättää,kuonyesha,verbs,0.25
886,surullinen,mbovu,adjectives,0.6
887,suorittaa,kutumbuiza,verbs,0.2
888,kylki,juu,nouns,0.5
889,työ,jukumu,nouns,3.55
890,polvi,mkono,nouns,0.85
891,teleskooppi,darubini,nouns,0.0
892,epänormaalisti,sikawaida,adverbs,0.2
893,sitruuna,matofaa,nouns,1.05
894,joskus,mara nyingine,adverbs,0.75
895,kotona,nyumbani,adverbs,0.25
896,laskimo,tumbo,nouns,0.6
897,katto,dari,nouns,4.1
898,tölkki,kopo,nouns,1.85
899,rankka,ngumu,adjectives,2.45
900,hullu,mgonjwa,adjectives,1.0
901,vastuullisesti,kwa uwajibikaji,adverbs,1.25
902,morsian,bwana arusi,nouns,0.85
903,oppia,kujifunza,verbs,0.0
904,ase,mbinu,nouns,0.05
905,päivällinen,chakula cha asubuhi,nouns,0.9
906,kyynel,jicho,nouns,1.15
907,apuraha,ufadhili wa elimu,nouns,1.2
908,juuri,nyasi,nouns,0.7
909,ampua ohi,kukosa,verbs,0.2
910,peittää,kufunika,verbs,3.2
911,hampaat,meno,nouns,0.0
912,senaatti,seneti,nouns,0.7
913,astronomi,mtaalam wa nyota,nouns,0.35
914,uskoa,kukubali,verbs,1.7
915,luotettavasti,kwa kuaminika,adverbs,0.05
916,hiljattain,hivi karibuni,adverbs,0.0
917,maksaa,kulipa,verbs,1.32
918,ratkaista,kutoa suluhisho,verbs,2.4
919,määritelmä,kamusi,nouns,0.35
920,selkäranka,mwili,nouns,0.8
921,sentti,saizi,nouns,0.7
922,purra,kung'ata,verbs,0.65
923,jäädä,kupata,verbs,0.15
924,hammaslääkäri,kanali,nouns,0.45
925,kimppu,umati,nouns,0.1
926,epäilty,mshukiwa,nouns,0.15
927,laivasto,jeshi la wanamaji,nouns,0.05
928,lento,ndege,nouns,3.15
929,terävä,mbutu,adjectives,0.25
930,palauttaa,kuleta,verbs,1.6
931,palvelustyttö,msaidizi,nouns,2.65
932,odottaa,kungoja,verbs,0.15
933,lannistaa,kukatisha tamaa,verbs,0.65
934,aamunkoitto,usiku,nouns,0.65
935,huoltaja,mama,nouns,3.1
936,sivu,neno,nouns,0.2
937,torjua,kukataa,verbs,0.0
938,iloinen,ana hasira,adjectives,0.05
939,opettaa,kufundisha,verbs,2.65
940,kummallinen,ya kushangaza,adjectives,0.3
941,vaatetettu,amevaa,adjectives,1.35
942,varoittaa,onya,verbs,0.15
943,helppo,bila jasho,adjectives,4.75
944,infektio,ugonjwa,nouns,3.7
945,kunnioitus,pongezi,nouns,1.9
946,uskonto,dini,nouns,1.1
947,kertoa,kujumlisha,verbs,1.1
948,terävä,kali,adjectives,0.0
949,helppo,ngumu,adjectives,0.4
950,kiistellä,kubisha,verbs,0.35
951,niellä,meza,verbs,2.25
952,kellua,kuelea,verbs,0.0
953,mukavasti,kwa uzuri,adverbs,2.65
954,kaapata,kudaka,verbs,3.25
955,velho,mchawi,nouns,0.0
956,leveä,mwembamba,adjectives,0.25
957,valopuhelin,picha,nouns,0.0
958,kerätä,kuchukua,verbs,0.1
959,suurenmoinen,mbaya,adjectives,0.05
960,antaa lainaksi,kupa,verbs,2.2
961,vuosi,siku ya kuzaliwa,nouns,0.65
962,tiedustella,kuwaza,verbs,0.5
963,peukalo,ukucha,nouns,1.5
964,viestiä,kusali,verbs,0.35
965,eläin,nunda,nouns,2.15
966,turvattu,lindwa,adjectives,0.05
967,ladata,kutiachaji,verbs,0.3
968,ystävä,mama,nouns,0.65
969,tarina,wimbo,nouns,0.65
970,sonni,ndama,nouns,2.25
971,tukahduttaa,kuwa nyororo,verbs,0.25
972,ase,silaha,nouns,0.4
973,valehdella,kudanganya,verbs,0.28
974,havaintokyky,kuona,nouns,2.55
975,ihastuttava,mchangamfu,adjectives,1.2
976,kitara,gitaa,nouns,0.0
977,sana,sentensi,nouns,1.9
978,sanoa,kuhakikisha,verbs,0.55
979,vaatteet,jaketi,nouns,2.5
980,kapea,mchafu,adjectives,0.0
981,kemia,nadharia,nouns,0.3
982,epäluonnollisesti,si asili,adverbs,0.35
983,normaali,si wa kawaida,adjectives,0.35
984,televisio,mawasiliano,nouns,1.3
985,maali,jitihada,nouns,0.25
986,lanka,nyuzi,nouns,4.85
987,tunnelma,uchafuzi,nouns,0.1
988,hanska,mpira,nouns,0.8
989,intohimo,hisia,nouns,2.85
990,hevonen,ng'ombe dume,nouns,1.0
991,auto,gari,nouns,3.55
992,suu,pua,nouns,1.0
993,evakuoida,kuondoka,verbs,0.05
994,viikonloppu,wiki,nouns,1.65
995,laki,shule,nouns,0.15
996,paha,ana hatia,adjectives,1.4
997,nappi,nguo,nouns,1.0
998,saavuttaa,kufanikiwa,verbs,3.2
999,tilastotiede,takwimu,nouns,0.0
1000,hammas,kinywa,nouns,1.5
1001,puumateriaali,mbao,nouns,0.35
1002,paha,wa dhambi,adjectives,2.8
1003,vaikutelma,imani,nouns,0.9
1004,tukehtua,kupumua,verbs,0.3
1005,hiiri,paka,nouns,0.85
1006,lehmä,mifugo,nouns,2.9
1007,nolla,sufuri,nouns,0.1
1008,kaaos,mchafuko,nouns,4.05
1009,polku,njia,nouns,0.25
1010,universumi,anga,nouns,0.8
1011,ruoka,chakula,nouns,0.0
1012,laulaja,mchezaji,nouns,0.9
1013,matkapuhelin,simu ya mkononi,nouns,4.45
1014,kirja,dhima,nouns,0.3
1015,suositella,kushauri,verbs,3.6
1016,jalkapallo,mpira wa miguu,nouns,5.9
1017,kulho,mkia,nouns,0.0
1018,katu,gari,nouns,0.2
1019,täysikasvuinen,umekua,adjectives,0.2
1020,vapaus,uhuru,nouns,0.0
1021,sopimus,makubaliano,nouns,5.05
1022,odottaa,kusubiri,verbs,1.85
1023,presidentti,mwanachuo,nouns,0.25
1024,pankkiiri,mwanasheria,nouns,0.8
1025,tietää,kuelewa,verbs,3.7
1026,saari,jukumu,nouns,0.0
1027,solakka,mwembamba,adjectives,5.05
1028,samanaikaisuus,mapatano,nouns,0.0
1029,kuja,bakuli,nouns,0.05
1030,kirkko,kwaya,nouns,1.05
1031,hämmentää,kukoroga,verbs,4.95
1032,kuvitella,kujifanya,verbs,0.65
1033,kurssi,tendo,nouns,0.3
1034,joustava,flexibo,adjectives,0.7
1035,vaatia,hitaji,verbs,0.35
1036,siisti,safi,adjectives,5.1
1037,reikä,mke,nouns,0.0
1038,löytää,kupotea,verbs,0.25
1039,huone,kuoga,nouns,0.1
1040,näyttelijä,mwigaji,nouns,0.28
1041,makeinen,matofaa,nouns,0.35
1042,ostaa,kununua,verbs,2.65
1043,kiirastuli,purigatori,nouns,1.6
1044,kieli,shavu,nouns,0.95
1045,itsevarma,ana hakika,adjectives,3.15
1046,murehtia,kuwa na wasiwasi,verbs,0.05
1047,veistos,sanamu,nouns,4.9
1048,tuoli,benchi,nouns,4.2
1049,joki,bonde,nouns,0.6
1050,tulla,kupanga,verbs,0.1
1051,selittää,kujadili,verbs,1.5
1052,tyttö,mvulana,nouns,0.6
1053,arvokkuus,hadhi,nouns,0.15
1054,sukeltaa,piga mbizi,verbs,0.0
1055,ihmeellinen,mwenye kupendeza,adjectives,1.35
1056,jännittävä,sisimsha,adjectives,0.2
1057,lattia,paa,nouns,0.5
1058,olennaisesti,kimsingi,adverbs,0.95
1059,arvo,imani,nouns,0.95
1060,kilpailla,kushindana,verbs,0.3
1061,tietoisuus,uangalifu,nouns,1.4
1062,ei koskaan,kamwe,adverbs,0.0
1063,teatteri,ukumbi,nouns,0.0
1064,siemen,mbegu,nouns,0.25
1065,toimisto,ofisi,nouns,0.65
1066,opettaja,rabai,nouns,1.8
1067,leipä,chizi,nouns,0.75
1068,sähkö,umeme,nouns,0.0
1069,kampanja,kampeni,nouns,0.0
1070,punainen,nyekundu,adjectives,0.9
1071,tunnustus,kanusho,nouns,0.25
1072,tunnustaa,kuzungumza,verbs,0.8
1073,opetussuunnitelma,mtaala,nouns,0.45
1074,emolevy,bodi mama(mama as central),nouns,4.3
1075,auto,baisikeli,nouns,1.0
1076,presidentti,mwanasiasa,nouns,3.0
1077,auringonpaiste,matofaa,nouns,0.05
1078,voi,kiazi,nouns,0.5
1079,hajota,kutenganisha,verbs,0.55
1080,karja,kondoo,nouns,2.9
1081,vaatteet,kifungo,nouns,1.0
1082,veksillologia,elimu ya bendera,nouns,1.4
1083,aktiivisesti,kwa juhudi,adverbs,0.45
1084,rannikko,pwani,nouns,4.5
1085,esiintyjä,mwigizaji,nouns,0.65
1086,tuska,huzuni,nouns,3.05
1087,kuutio,mchemraba,nouns,0.15
1088,hevonen,farasi wa kike,nouns,3.8
1089,äänekkäästi,kwa sauti,adverbs,0.27
1090,onnellinen,wa ghadhabu,adjectives,0.35
1091,liha,ugali,nouns,0.7
1092,fraasi,neno,nouns,1.9
1093,vartalo,bega,nouns,0.95
1094,kello,mlango,nouns,0.2
1095,aamiainen,nyama ya nguruwe,nouns,0.95
1096,kappale,mkia,nouns,0.0
1097,organisoida,kuandaa,verbs,4.75
1098,tulla,kutengeneza,verbs,0.05
1099,näyttelijä,mchezaji wa kike,nouns,4.35
1100,aihe,hadithi,nouns,0.55
1101,paheksua,laani,verbs,1.15
1102,lukea,kufahamu,verbs,0.95
1103,yksinkertainen,ana shida,adjectives,0.25
1104,miljardööri,bilionea,nouns,0.15
1105,tavoitella,kushawishi,verbs,0.65
1106,professori,daktari,nouns,1.7
1107,virka,nguzo,nouns,0.0
1108,kouluttaa,kuelimisha,verbs,4.75
1109,turhauttaa,kufadhaisha,verbs,2.25
1110,moderni,wa kale,adjectives,0.25
1111,onnellinen,ana hasira,adjectives,0.3
1112,välttää,kukataa,verbs,1.75
1113,tuuri,furaha,nouns,0.35
1114,ympärileikkaus,tohara,nouns,1.45
1115,pilvi,dhoruba,nouns,0.6
1116,presidentti,meya,nouns,1.3
1117,särkeä,kuvunja,verbs,4.1
1118,jumala,windo,nouns,0.0
1119,hattu,koti,nouns,1.0
1120,muurahainen,nyuki,nouns,1.05
1121,epärehellinen,si mwaminifu,adjectives,0.25
1122,oviaukko,mlango,nouns,3.45
1123,sikari,sanduku ,nouns,0.15
1124,tuore,mzee,adjectives,0.25
1125,kylpy,mbinu,nouns,0.0
1126,vaatia,kutaka,verbs,0.15
1127,hede,stameni,nouns,1.8
1128,ohjelma,mradi,nouns,0.0
1129,virsi,ushindi,nouns,0.05
1130,kasvaa,kupungua,verbs,0.25
1131,nihilismi,kutoamini dini,nouns,0.0
1132,vasikka,fahali,nouns,2.25
1133,protestantti,protestanti,nouns,3.6
1134,saada kiinni,kamata,verbs,0.9
1135,ilmapallo,watu,nouns,0.0
1136,kämppä,nyumba ndogo,nouns,3.6
1137,uhri,mwathirika,nouns,0.0
1138,rasismi,ubaguzi wa rangi,nouns,4.2
1139,kovakouraisesti,kwa kukadiria,adverbs,0.0
1140,rauhallisesti,kwa utulivu,adverbs,2.18
1141,päiväkirja,maziwa,nouns,0.0
1142,lusikka,kikombe,nouns,0.95
1143,painava,mzigo,adjectives,1.6
1144,peitto,blanketi,nouns,0.0
1145,sänky,chumba,nouns,0.7
1146,siemailla,kukunywa,verbs,4.05
1147,selventää,kueleza,verbs,4.4
1148,suuri,nama,adjectives,0.35
1149,veljeskunta,mlango,nouns,0.0
1150,puumateriaali,mbao,nouns,0.0
1151,avain,kifunguo,nouns,0.0
1152,talous,uchumi,nouns,0.55
1153,vesi,barafu,nouns,2.4
1154,rotta,panya,nouns,3.4
1155,rakentaa,kuumba,verbs,3.85
1156,hyväksyä,kukataa,verbs,0.25
1157,keittää,kuchemsha,verbs,1.55
1158,ase,watu,nouns,0.05
1159,filmi,sinema,nouns,5.0
1160,vaatteet,koti,nouns,2.55
1161,makea,tamu,adjectives,0.0
1162,laimilyödä,kupuuzia,verbs,1.1
1163,prinsessa,mtoto mke wa mfalme,nouns,0.0
1164,työnantaja,mwajiriwa,nouns,0.75
1165,lemma,lemma,nouns,0.6
1166,valmentaja,kitanda,nouns,0.7
1167,esitys,utendaji,nouns,1.05
1168,ymmärtää,kusikiliza,verbs,1.1
1169,romahtaa,kugonga,verbs,1.45
1170,säilyttää,kusahau,verbs,0.1
1171,saari,mtoto wa mfalme,nouns,0.0
1172,maatalous,kilimo,nouns,1.25
1173,mieletön,mwenye furaha,adjectives,0.3
1174,voimallinen,mwenye nguvu,adjectives,0.43
1175,ympäristö,mazingira,nouns,0.0
1176,tuhota,kuharibu,verbs,0.2
1177,kiistellä,kupinga,verbs,0.55
1178,uskomus,ono,nouns,0.9
1179,kiistellä,kufikiria,verbs,0.2
1180,normaalisti,kwa kawaida,adverbs,0.2
1181,valloitus,nyimbo,nouns,0.05
1182,pihvi,kuku,nouns,0.6
1183,polkupyörä,gari,nouns,1.0
1184,eteishalli,korido,nouns,4.0
1185,aloittaa,kwenda,verbs,0.4
1186,ohjaaja,mkurugenzi,nouns,0.4
1187,alkoholi,brandi,nouns,2.9
1188,tykkivene,meli ya vita,nouns,0.25
1189,setä,binamu,nouns,1.1
1190,korvata,kurudisha,verbs,0.65
1191,nainen,manyoya,nouns,0.0
1192,topologia,upangilio,nouns,3.0
1193,onnellinen,mchangamfu,adjectives,4.2
1194,suihkukone,ndege,nouns,4.7
1195,vamppyyri,vampire,nouns,1.2
1196,kiistellä,kutetea,verbs,0.65
1197,säikähtänyt,kua na uoga,adjectives,0.4
1198,aikuinen,mtoto mchanga,nouns,0.5
1199,mukava,nzuri,adjectives,0.35
1200,presidentti,kamera,nouns,0.0
1201,hurskaasti,kwa ,adverbs,0.2
1202,lemmikkieläin,paka,nouns,3.1
1203,yritys,biashara,nouns,2.95
1204,huuhdella,kusuuza,verbs,3.45
1205,dominoida,kushinda,verbs,1.35
1206,lykätä,kuhairisha,verbs,0.85
1207,oikeudenkäynti,wamuzi,nouns,1.25
1208,kissa,panya,nouns,0.85
1209,olla velkaa,kuingia,verbs,0.0
1210,leveä,mbivu,adjectives,0.0
1211,täti,mjomba,nouns,0.85
1212,lehti,jani,nouns,1.15
1213,miellyttää,kukubali,verbs,0.5
1214,ruoho,mwani,nouns,1.45
1215,legioona,jeshi,nouns,3.1
1216,kumota,kukanusha,verbs,0.25
1217,tapahtua,kufanya,verbs,0.85
1218,siristää silmiään,kufinya macho,verbs,0.7
1219,risuaita,reli,nouns,0.25
1220,jäytää,kumomonyoka,verbs,0.55
1221,mausteinen,pilipili,adjectives,0.1
1222,tavu,silabu,nouns,0.6
1223,vene,mota,nouns,1.35
1224,tukki,kuni,nouns,3.65
1225,lihas,ulimi,nouns,1.05
1226,lattia,mlango,nouns,0.5
1227,omena,malimau,nouns,1.05
1228,ostaa,kuiba,verbs,0.3
1229,ortodontti,daktari,nouns,2.45
1230,sänky,blanketi,nouns,0.95
1231,sanomalehti,neno,nouns,0.55
1232,mansikka,strouberi,nouns,1.7
1233,ekseema,uwasho,nouns,3.1
1234,tieto,habari,nouns,0.1
1235,härnätä,kutania,verbs,0.15
1236,tuonpuoleinen,kuzimu,nouns,1.6
1237,säilytysastia,mkokoteni,nouns,0.1
1238,keskustelu,pambano,nouns,1.0
1239,vuosikymmen,karne,nouns,0.9
1240,totella,kutenda,verbs,2.1
1241,joustava,mwenye kiasi,adjectives,0.8
1242,veri,damu,nouns,0.6
1243,tunteellisesti,kwa hisia,adverbs,1.75
1244,mielettömästi,kwa ghadhabu,adverbs,0.5
1245,kellari,mlango,nouns,0.2
1246,ilmoittaa,kufahamisha,verbs,5.25
1247,kuivuus,ukame,nouns,0.35
1248,miettiä,kuwaza,verbs,5.55
1249,kunniamerkki,baji,nouns,0.0
1250,laatikko,sanduku,nouns,0.0
1251,raivo,hasira,nouns,4.65
1252,epävarma,sio salama,adjectives,0.2
1253,selkäranka,shingo,nouns,0.75
1254,sivuuttaa,kupuuza,verbs,0.0
1255,pekoni,chakula cha asubuhi,nouns,0.95
1256,määrittää,kutambulisha,verbs,0.05
1257,behaviorismi,somo la tabia,nouns,0.5
1258,kapea,mpana,adjectives,0.2
1259,sekaannus,kichaa,nouns,1.2
1260,reilusti,kwa haki,adverbs,0.25
1261,hermo,matumbo,nouns,0.6
1262,rotu,mbio,nouns,0.0
1263,tähdätä,kulenga,verbs,1.3
1264,uudelleenhautaaminen,zika upya,nouns,1.35
1265,vaatteet,kitambaa,nouns,2.8
1266,toimeksianto,mgawo,nouns,0.6
1267,risti,msalaba,nouns,0.25
1268,mitali,medali,nouns,0.35
1269,vahvuus,makadara,nouns,3.4
1270,vaimo,tundu,nouns,0.0
1271,ase,bunduki,nouns,0.0
1272,aita,reli,nouns,0.1
1273,ottaa,kurithi,verbs,0.55
1274,häpeissään oleva,ana hatia,adjectives,0.6
1275,uusi,wa kale,adjectives,0.3
1276,peittämätön,haijafunikwa,adjectives,0.3
1277,lammas,mifugo,nouns,2.9
1278,takki,nguo,nouns,2.55
1279,milloin tahansa,kila wakati,adverbs,0.6
1280,tyttö,mfanyakazi wa nyumbani,nouns,1.3
1281,kuvanveistäjä,sonara,nouns,0.05
1282,löytää,kupata,verbs,0.2
1283,esteettömyys,uhuru,nouns,0.2
1284,oppia,kusahau,verbs,0.35
1285,naaraslintu,batamzinga,nouns,1.45
1286,isä,mwanaume,nouns,2.65
1287,kummallinen,wa kigeni,adjectives,4.6
1288,lämmitin,kipasha joto,nouns,0.05
1289,kaupunki,mji,nouns,4.2
1290,ehkäpä,labda,adverbs,2.55
1291,dinosaurus,mijusi ya kale,nouns,0.75
1292,kukka,subira,nouns,0.0
1293,lukea,kusoma,verbs,0.0
1294,retki,safari,nouns,4.0
1295,oikeudenkäynti,hukumu,nouns,0.15
1296,kasvaa,kukua,verbs,1.5
1297,rabbi,mchungaji,nouns,0.6
1298,kaapata,kushika,verbs,0.1
1299,kirja,hadithi,nouns,1.7
1300,takavarikoida,kamata,verbs,1.65
1301,soitin,zeze,nouns,2.3
1302,rytmi,tuni,nouns,1.0
1303,logiikka,hesabu,nouns,0.8
1304,polyesteri,pamba,nouns,0.75
1305,merkittävästi,umuhimu zaidi,adverbs,0.55
1306,hame,sketi,nouns,0.0
1307,yhteiskunta,jamii,nouns,1.85
1308,yhdistää,kujumuisha,verbs,2.6
1309,salaa,kwa siri,adverbs,0.1
1310,sairaanhoitaja,mwanasayansi,nouns,0.35
1311,kulta,dhahabu,nouns,1.25
1312,lahja,zawadi,nouns,0.0
1313,onnellisesti,kwa furaha,adverbs,0.32
1314,mielettömästi,kwa hasira,adverbs,0.7
1315,järjestää,kupanga,verbs,4.75
1316,tuuma,yadi,nouns,1.75
1317,puro,mto,nouns,3.1
1318,raivostunut,mkali,adjectives,0.3
1319,mausteinen,pilipili,adjectives,0.0
1320,yllättää,kushangaza,verbs,0.0
1321,kolikko,sarafu,nouns,0.9
1322,myöntyä,kutofautiana,verbs,0.05
1323,korkeus,urefu,nouns,0.0
1324,salata,kuficha,verbs,3.2
1325,kokoontua,kuhudhuria,verbs,1.25
1326,kaareva,yenye pindo,adjectives,0.05
1327,perustella,kugombana,verbs,0.65
1328,rintakehä,mwili,nouns,2.1
1329,arkki,gombo,nouns,0.0
1330,varastaa,kupa,verbs,0.15
1331,kukka,waridi,nouns,3.45
1332,hyökätä,shambulio,nouns,0.6
1333,hienostonut,kisasa,adjectives,0.6
1334,aliohjelma,subroutine,nouns,0.1
1335,rehellinen,ana hatia,adjectives,0.15
1336,mennä,kuanza,verbs,0.4
1337,kaatua,kuanguka,verbs,0.6
1338,ase,bunduki,nouns,0.55
