ID,CYM,FIN,PoS,score
683,o reidrwydd,olennaisesti,adverbs,3.6
684,penderfynu,valita,verbs,3.55
685,ffêr,kyynärpää,nouns,1.1
686,crwm,suora,adjectives,0.3
687,caniataëdig,laillinen,adjectives,3.1
688,cythruddo,arvata,verbs,0.0
689,dyffryn,kanjoni,nouns,3.6
690,gwneuthurwr,luoja,nouns,4.4
691,archwilio,tavoitella,verbs,0.45
692,cipio,saada kiinni,verbs,3.1
693,hyblyg,suuri,adjectives,0.3
694,maint,syvyys,nouns,1.4
695,yn derfynol,eri tavalla,adverbs,0.1
696,rheoli,hiiri,nouns,0.0
697,ffêr,ikkuna,nouns,0.0
698,harddwch,ikä,nouns,0.3
699,dweud,ottaa osaa,verbs,0.25
700,bara,jauho,nouns,1.2
701,cytundeb,pakti,nouns,5.05
702,pwnc,tarina,nouns,0.95
703,mynychu,lähettää,verbs,0.15
704,brwydr,sotaisuus,nouns,1.9
705,drws,läsnäolo,nouns,0.0
706,casáu,nauttia,verbs,0.15
707,ymuno,lisätä,verbs,1.25
708,cael,kadottaa,verbs,0.1
709,homoffon,valopuhelin,nouns,0.15
710,dwys,kova,adjectives,0.7
711,cyfrwys,rankka,adjectives,0.0
712,pryd bwyd,päivällinen,nouns,3.2
713,alcohol,viski,nouns,2.5
714,llyfr,raamattu,nouns,2.25
715,dyn,partneri,nouns,1.0
716,nos,kappale,nouns,0.0
717,boch,kieli,nouns,1.1
718,fformiwla,tukki,nouns,0.4
719,penderfynu,kuvata,verbs,0.2
720,yn unffurf,joskus,adverbs,0.05
721,hyll,sotkuinen,adjectives,0.95
722,brwydro,purra,verbs,0.55
723,asteroid,tähti,nouns,1.85
724,arian,timantti,nouns,0.7
725,braf,antelias,adjectives,0.75
726,yn gyfrinachol,itsevarmasti,adverbs,0.2
727,ael,silmä,nouns,0.95
728,marwolaeth,katastrofi,nouns,1.4
729,llywodraeth,lisko,nouns,0.0
730,cau,oksentaa,verbs,0.0
731,brithyll,kitara,nouns,0.0
732,mygu,palaa,verbs,1.1
733,gwahanu,liittää,verbs,0.25
734,mob,väkijoukko,nouns,4.95
735,pwysig,tarpeellinen,adjectives,3.95
736,deallusrwydd,ymmärrys,nouns,2.95
737,beibl,kirja,nouns,2.25
738,jet,lentokone,nouns,4.35
739,ceffyl,härkä,nouns,1.25
740,cyfathrebu,televisio,nouns,1.05
741,brecwast,päivällinen,nouns,1.2
742,asgwrn cefn,vartalo,nouns,0.9
743,athro,auttaja,nouns,2.15
744,poblogaeth,ihmiset,nouns,2.8
745,gyrrwr,lentäjä,nouns,3.05
746,alwminiwm,metalli,nouns,2.95
747,hofrennydd,lentokone,nouns,2.5
748,encilio,laskeutua,verbs,0.8
749,lemwn,tee,nouns,0.6
750,corff,rintakehä,nouns,1.65
751,cwympo,kompastua,verbs,4.0
752,derbyn,myöntyä,verbs,3.25
753,cyfrifiadur,levy,nouns,0.6
754,cot,vaatteet,nouns,1.95
755,dod â,kantaa,verbs,1.85
756,caled,tiheä,adjectives,0.7
757,lema,tavu,nouns,0.4
758,tad,poika,nouns,1.15
759,ymadael,erottaa,verbs,1.1
760,amnewidyn,vaihto,nouns,3.5
761,yn anarferol,oudosti,adverbs,4.45
762,gwregys,silmukka,nouns,0.15
763,etholi,torjua,verbs,0.0
764,anwybyddu,tehdä tutkimusmatka,verbs,0.05
765,gynfad,rannikkoalue,nouns,0.2
766,ecsema,dermatiitti,nouns,3.7
767,cas,sähkö,nouns,0.0
768,cynnig,panos,nouns,1.65
769,delwedd,idea,nouns,0.95
770,bacwn,aamiainen,nouns,0.9
771,afon,puro,nouns,3.5
772,yn wir,täydellisesti,adverbs,1.55
773,cerbyd,vaunu,nouns,4.3
774,myfyriwr,professori,nouns,0.9
775,cae,kaura,nouns,0.45
776,yn rheolaidd,satunnaisesti,adverbs,0.5
777,dioddefwr,luuri,nouns,0.0
778,tröedigaeth,korkeus,nouns,0.0
779,tagu,tappaa,verbs,1.15
780,dewis,laskimo,nouns,0.0
781,ysgafn,keskikokoinen,adjectives,0.2
782,anodd,helppo,adjectives,0.2
783,erydu,sallia,verbs,0.0
784,diafol,jumala,nouns,1.05
785,gwasgu,sisäistää,verbs,1.35
786,amaethyddiaeth,kasvi,nouns,0.8
787,yn garedig,mukavasti,adverbs,2.45
788,anelu,osua,verbs,1.3
789,ychwanegu,rakentaa,verbs,1.0
790,cynghori,suositella,verbs,3.55
791,penelin,luu,nouns,1.25
792,gwrthwynebydd,vastustaja,nouns,3.45
793,caban,leiri,nouns,0.7
794,losin,omena,nouns,0.3
795,nerf,suoli,nouns,0.6
796,gât,ovi,nouns,2.6
797,deiet,omena,nouns,0.7
798,dyfarniad,oikeudenkäynti,nouns,1.65
799,deilen,taimi,nouns,1.2
800,brenin,prinsessa,nouns,1.2
801,gwrthbrofi,sallia,verbs,0.25
802,teithio,mennä,verbs,2.75
803,awyr,aurinko,nouns,0.85
804,anghyfrifol,epäkypsä,adjectives,2.1
805,go iawn,epäaito,adjectives,0.25
806,ofnus,ujo,adjectives,1.45
807,soned,kauneus,nouns,0.25
808,tywysoges,morsian,nouns,0.6
809,canwr,henkilökunta,nouns,0.0
810,gwisg,pallo,nouns,0.05
811,tad,veli,nouns,1.3
812,eil,eteishalli,nouns,1.7
813,cyfreithiwr,pankkiiri,nouns,0.95
814,oedolyn,vanhempi,nouns,2.5
815,bachgen,jonkun poika,nouns,3.95
816,galaeth,sovellus,nouns,0.0
817,newydd,tuore,adjectives,4.3
818,ystafell ddosbarth,eteishalli,nouns,0.7
819,rhythm,aritmetiikka,nouns,0.1
820,derbyn,kiistää,verbs,0.3
821,aeddfed,hienostonut,adjectives,1.7
822,trydan,tapaus,nouns,0.0
823,ffôn,uhri,nouns,0.0
824,nam,järjestelmä,nouns,0.1
825,uno,sitoa,verbs,2.8
826,hwyl,amerikkalainen jalkapallo,nouns,0.3
827,cyfrifiadur,kone,nouns,2.65
828,gadael,vaeltaa,verbs,0.45
829,unwaith,kahdesti,adverbs,0.85
830,trefnu,järjestää,verbs,5.65
831,benthyg,olla velkaa,verbs,2.05
832,ale,kulho,nouns,0.0
833,rhifyddeg,logiikka,nouns,1.1
834,dodrefn,sänky,nouns,1.9
835,niwrosis,mieli,nouns,0.95
836,blanced ,sänky,nouns,0.85
837,drysu,oppia,verbs,0.0
838,hel,saada kiinni,verbs,1.3
839,pledio,miellyttää,verbs,0.25
840,harddwch,sonetti,nouns,0.25
841,troseddu,vaivata,verbs,0.75
842,priffordd,tie,nouns,4.15
843,berwi,paistaa,verbs,1.6
844,llythyr,kohta,nouns,0.5
845,anghenus,epävarma,adjectives,0.6
846,drwg,hirveä,adjectives,3.85
847,afon,meri,nouns,1.3
848,gwawr,ase,nouns,0.0
849,fel arfer,päivittäin,adverbs,1.2
850,pathogen,taudinaiheuttaja,nouns,5.0
851,derbyn,ottaa,verbs,2.65
852,bioleg,biotooppi,nouns,0.85
853,diffinio,selventää,verbs,3.1
854,proffwydo,olettaa,verbs,1.85
855,cymharu,analysoida,verbs,2.1
856,denu,osua,verbs,0.0
857,seiclon,taifuuni,nouns,4.45
858,neigaredd,kuningas,nouns,0.7
859,yn ddymunol,kiltisti,adverbs,2.45
860,moleciwl,atomi,nouns,2.1
861,cymysgu,liueta,verbs,1.5
862,babi,aikuinen,nouns,0.5
863,llun,mellakka,nouns,0.0
864,prin,tyhmä,adjectives,0.0
865,cynffon,kappale,nouns,0.0
866,ysgwydd,vartalo,nouns,0.95
867,pennu,evakuoida,verbs,0.05
868,bowlen,lautanen,nouns,1.85
869,gwrando,oppia,verbs,0.6
870,blanced,puumateriaali,nouns,0.0
871,rheolwr,johtaja,nouns,3.55
872,llwy,kuppi,nouns,1.1
873,trefnu,sekava,verbs,0.25
874,gwalch,lintu,nouns,2.65
875,diogel,laillinen,adjectives,1.1
876,pennu,ennustaa,verbs,0.7
877,erthygl,käsikirjoitus,nouns,1.25
878,unwaith,välittömästi,adverbs,0.65
879,lluosi,lisätä,verbs,1.65
880,pen,jalkaterä,nouns,0.8
881,cwt,suoja,nouns,1.8
882,gêm,temppu,nouns,0.95
883,nerfus,tietty,adjectives,0.0
884,cofleidio,puristaa,verbs,1.8
885,hapusrwydd,suru,nouns,0.4
886,diddanu,miellyttää,verbs,2.2
887,digartref,miljardööri,nouns,0.2
888,tywynnu,loistaa,verbs,4.85
889,blwyddyn,syntymäpäivä,nouns,0.9
890,minc,turkki,nouns,2.1
891,rhesymoli,kiistellä,verbs,0.45
892,gweiddi,kirkua,verbs,4.2
893,gwyliadwraeth,hame,nouns,0.0
894,gafael,halata,verbs,1.8
895,tagu,hengittää,verbs,0.8
896,llidiog,epäröivä,adjectives,0.35
897,moesol,legenda,nouns,0.2
898,brawd,poika,nouns,1.65
899,bachgen,kunto,nouns,0.0
900,dyddiad,kalenteri,nouns,1.75
901,dur,metalliseos,nouns,2.7
902,anwybyddu,tulostaa,verbs,0.0
903,ceg,huuli,nouns,2.3
904,yn gywir,aktiivisesti,adverbs,0.65
905,ardal,seutu,nouns,4.95
906,corwynt,myrsky,nouns,3.35
907,yn fras,niukasti,adverbs,0.05
908,wastad,kahdesti,adverbs,0.6
909,cyflawni,onnistua,verbs,4.1
910,dymuno,haluta,verbs,4.7
911,euog,häpeissään oleva,adjectives,1.45
912,am ddim,viaton,adjectives,0.3
913,yn falch,nõyrästi,adverbs,0.25
914,acwsteg,ääni,nouns,2.55
915,te,sitruuna,nouns,0.6
916,grawnfwyd,vehnä,nouns,2.6
917,bowlen,häntä,nouns,0.0
918,sgert,rannekello,nouns,0.0
919,llyfr nodiadau,kannettava tietokone,nouns,0.6
920,modd,tapa,nouns,3.25
921,dinistrio,säästää,verbs,0.25
922,dyfnder,suuruus,nouns,1.4
923,salad,etikka,nouns,0.4
924,cyfreithiwr,syyttäjä,nouns,2.95
925,dyn,nainen,nouns,0.55
926,anghyfreithlon,moraaliton,adjectives,1.75
927,adeiladwaith,tuho,nouns,0.25
928,dysgu,arvioida,verbs,0.75
929,cyfarch,tavata,verbs,1.45
930,bisged,prinsessa,nouns,0.0
931,hawdd,yksinkertainen,adjectives,3.9
932,gwialen,verho,nouns,0.0
933,wedi blino,nälkäinen,adjectives,0.25
934,codi arian,kehitys,nouns,0.2
935,corff,olkapää,nouns,0.95
936,cyfraniad,lahjoitus,nouns,1.65
937,dugiaeth,prinssikunta,nouns,2.15
938,eang,kapea,adjectives,0.2
939,llifo,ajelehtia,verbs,3.15
940,llen,sauva,nouns,0.0
941,disgybl,presidentti,nouns,0.25
942,gwahanu,lähteä,verbs,1.1
943,braich,polvi,nouns,1.0
944,llwch,luuta,nouns,0.45
945,dydd  ,aamunkoitto,nouns,1.6
946,caffael,saada,verbs,3.2
947,codi,juoda,verbs,0.0
948,cawod,luostari,nouns,0.0
949,taro,viehättää,verbs,0.0
950,patholeg,hematologia,nouns,1.75
951,barn,idea,nouns,2.35
952,nôl rhywbeth,ostaa,verbs,0.95
953,perfformiwr,laulu,nouns,0.85
954,dannedd,vasara,nouns,0.0
955,storm,lumi,nouns,1.05
956,mynachlog,suihku,nouns,0.0
957,clou,pikainen,adjectives,4.5
958,dyn,aviomies,nouns,3.85
959,haint,taivutus,nouns,0.0
960,rhoi,saada,verbs,0.25
961,amaethyddiaeth,monokulttuuri,nouns,0.4
962,absenoldeb,läsnäolo,nouns,0.65
963,anwybyddu,välttää,verbs,3.3
964,cân,tarina,nouns,0.7
965,canolig,mieto,adjectives,0.2
966,germ,patogeeni,nouns,5.0
967,bwriad,tahto,nouns,1.8
968,gwerthfawr,erityinen,adjectives,2.3
969,yn realistig,ihanteellisesti,adverbs,0.65
970,symudol,joustava,adjectives,1.25
971,saeth,kohde,nouns,0.35
972,cylchfordaith,matkatavarat,nouns,0.15
973,hurt,harvinainen,adjectives,0.0
974,haematoleg,patologia,nouns,1.75
975,drws,ikkuna,nouns,1.05
976,llong ryfel,sotalaiva,nouns,4.5
977,anrhydedd,kunnioitus,nouns,2.6
978,gwallgof,iloinen,adjectives,0.05
979,swil,pelästynyt,adjectives,1.45
980,canwr,kuoro,nouns,1.45
981,cystadleuwr,vihollinen,nouns,3.45
982,talu,ostaa,verbs,2.75
983,yn wahanol,terminaalisesti,adverbs,0.1
984,bwthyn,kämppä,nouns,3.35
985,rhoi,laittaa,verbs,1.1
986,menyw,mies,nouns,0.55
987,creulon,mukava,adjectives,0.1
988,awst,kuukausi,nouns,2.45
989,yn sicr,selvästi,adverbs,2.8
990,cynghori,ehdottaa,verbs,2.7
991,dis,kuutio,nouns,3.0
992,fformiwla,yhtälö,nouns,3.9
993,deallusrwydd,taito,nouns,1.8
994,alcohol,viini,nouns,2.35
995,ffrind,vieras,nouns,0.7
996,presenoldeb,poissaolo,nouns,0.65
997,llwy,mehu,nouns,0.15
998,diod,olut,nouns,2.5
999,corachaidd,pienehkö,adjectives,3.0
1000,personol,yksityinen,adjectives,4.0
1001,papur wal,tausta,nouns,1.3
1002,egluro,selventää,verbs,4.2
1003,dadlau,osallistua,verbs,0.15
1004,hyll,raaka,adjectives,0.3
1005,anniben,hallittu,adjectives,0.2
1006,arbed,suojella,verbs,2.1
1007,eilradd,merkittävä,adjectives,0.2
1008,cwpan,lusikka,nouns,1.1
1009,tric,kylpy,nouns,0.0
1010,maint,sentti,nouns,0.65
1011,beirniadu,vihata,verbs,0.95
1012,offeryn,työ,nouns,0.3
1013,yn ofalus,vaarallisesti,adverbs,0.1
1014,galar,tuska,nouns,2.9
1015,eisiau,himoita,verbs,4.7
1016,rhoddi,lainata,verbs,1.85
1017,caniatáu,mennä,verbs,0.25
1018,barnwr,tuomioistuin,nouns,1.1
1019,pleidlais,uloskäynti,nouns,0.05
1020,cytundeb,kiista,nouns,0.25
1021,mynd  ,aloittaa,verbs,0.55
1022,deintydd,ortodontti,nouns,3.65
1023,band,paraati,nouns,0.6
1024,ceg,hammas,nouns,1.4
1025,estrys,hedelmätarha,nouns,0.0
1026,marwolaeth,hautaaminen,nouns,1.3
1027,saws,omena,nouns,0.55
1028,benthyg,pitää,verbs,0.3
1029,cwpan,kartio,nouns,0.1
1030,hyfforddwraig,pelaaja,nouns,0.7
1031,gadael,ilmestyä,verbs,0.05
1032,piston,moottori,nouns,2.15
1033,dyddiad,syntymäpäivä,nouns,1.65
1034,yn ddibynadwy,vastuullisesti,adverbs,3.6
1035,diferu,kaataa,verbs,1.65
1036,rhyfedd,tavallinen,adjectives,0.2
1037,rhesymeg,laskuoppi,nouns,1.1
1038,yn amlwg,varmasti,adverbs,2.8
1039,anhrefn,luokka,nouns,0.05
1040,clogwyn,mäki,nouns,1.75
1041,deintydd,eversti,nouns,0.4
1042,dal,vastaanottaa,verbs,1.45
1043,arweinydd,manageri,nouns,3.55
1044,ffenestr,pilvi,nouns,0.0
1045,dyweddïad,tapaaminen,nouns,0.25
1046,anfoesol,paha,adjectives,3.3
1047,tun,alumiini,nouns,1.4
1048,purdan,tuonpuoleinen,nouns,1.8
1049,gweithiwr,työnantaja,nouns,1.05
1050,rhosyn,perhonen,nouns,0.35
1051,chwerthin,itkeä,verbs,0.3
1052,dod â,tulla,verbs,1.65
1053,dwys,tyhmä,adjectives,0.0
1054,oeraidd,särkyvä,adjectives,0.25
1055,cyn,jälkeen,adverbs,0.25
1056,dod,tuoda,verbs,1.65
1057,harbwr,kääre,nouns,0.0
1058,theatr,elokuva,nouns,0.9
1059,sgwâr,kartta,nouns,0.05
1060,modrwy,sitoumus,nouns,1.35
1061,parasetamol,keuhkoputkentulendus,nouns,0.25
1062,casáu,halveksia,verbs,2.3
1063,tristwch,onnellisuus,nouns,0.4
1064,cardbord,paperi,nouns,2.75
1065,cerdd,rytmi,nouns,0.9
1066,pêl-fas,valmentaja,nouns,0.25
1067,sinema,paukkumaissi,nouns,0.55
1068,yn wahanol,omituisesti,adverbs,2.05
1069,canrif,vuosikymmen,nouns,0.9
1070,actor,televisio,nouns,0.8
1071,môr,valtameri,nouns,4.25
1072,brenin,nepotismi,nouns,0.7
1073,cyflog,raha,nouns,2.5
1074,gadael,häätää,verbs,1.1
1075,llwybr,tunneli,nouns,0.75
1076,nendwr,palatsi,nouns,0.75
1077,yn ofalus,nykyään,adverbs,0.0
1078,dathlu,yllättää,verbs,0.0
1079,cyrraedd,osallistua,verbs,0.85
1080,tasg,työ,nouns,3.5
1081,cardigan,paita,nouns,1.3
1082,cwch,auto,nouns,0.85
1083,cydnabod,puhua,verbs,0.8
1084,bawd,kynsi,nouns,1.35
1085,gwan,mausteinen,adjectives,0.0
1086,hapus,mieletön,adjectives,0.2
1087,dadlau,olla erilainen,verbs,0.45
1088,ansicr,puutteenalainen,adjectives,0.6
1089,creulon,ankara,adjectives,1.9
1090,gwyliau,kalenteri,nouns,0.75
1091,gwely,sairaala,nouns,0.45
1092,traethawd,kirja,nouns,1.3
1093,cyfreithiwr,galleria,nouns,0.0
1094,weithiau,usein,adverbs,0.65
1095,car,mittari,nouns,0.25
1096,ceisio,saavuttaa,verbs,1.0
1097,dinistr,rakentaminen,nouns,0.25
1098,yn naturiol,epäluonnollisesti,adverbs,0.25
1099,cyfarwyddwr,pomo,nouns,2.45
1100,difeddiannu,laimilyödä,verbs,0.45
1101,gwely,peitto,nouns,0.85
1102,bar,häkki,nouns,0.1
1103,fisa,globalismi,nouns,0.35
1104,pêl-droed,hauskanpito,nouns,0.3
1105,rhaniad,kertolasku,nouns,1.25
1106,ffres,uusi,adjectives,4.3
1107,cadw,antaa,verbs,0.25
1108,swper,aamiainen,nouns,1.35
1109,cod,symboli,nouns,2.35
1110,myfyrio,ajatella,verbs,4.9
1111,carchar,valinta,nouns,0.0
1112,llwyddo,voittaa,verbs,3.7
1113,llesteirio,lannistaa,verbs,2.25
1114,llyn,pilvi,nouns,0.3
1115,pla,torjunta-aine,nouns,0.75
1116,awyrgylch,saastuminen,nouns,0.6
1117,cymryd,varastaa,verbs,2.15
1118,hylif,suutin,nouns,0.05
1119,gwin,alkoholi,nouns,2.35
1120,plesio,vedota,verbs,0.25
1121,cyfarfod,jättää,verbs,0.05
1122,maneg,pallo,nouns,0.15
1123,ennill,niittää,verbs,0.45
1124,ffoi,karata,verbs,5.35
1125,dadlau,huutaa,verbs,1.45
1126,hysbysu,kuvata,verbs,0.3
1127,cadw,säilyttää,verbs,4.3
1128,dirmygu,ladata,verbs,0.0
1129,yn ddiamynedd,karkeasti,adverbs,0.55
1130,entropi,tieto,nouns,0.2
1131,dysgu,kuunnella,verbs,0.6
1132,teledu,viestintä,nouns,1.05
1133,gorllewin,pohjoinen,nouns,1.1
1134,cyfnod,vuosikymmen,nouns,1.7
1135,algebra,operaatio,nouns,0.25
1136,yn sylfaenol,täysin,adverbs,0.7
1137,to,sisäkatto,nouns,4.15
1138,cynorthwyo,avustaa,verbs,5.1
1139,ceffyl,koira,nouns,1.25
1140,anobaith,kurjuus,nouns,3.05
1141,derbyn,tunnustaa,verbs,2.95
1142,papur newydd,tieto,nouns,1.1
1143,cyflawni,tulla,verbs,0.6
1144,yn syml,ilmeisesti,adverbs,0.25
1145,artist,taideteos,nouns,1.1
1146,tyfu,laajentaa,verbs,3.9
1147,sylfaen,happo,nouns,0.0
1148,gwddf,nenä,nouns,0.95
1149,plisman,lentoperämies,nouns,0.5
1150,theatr,paristo,nouns,0.0
1151,gwybodaeth,sanomalehti,nouns,1.1
1152,cyhoeddus,yksityinen,adjectives,0.25
1153,organ,munuainen,nouns,2.55
1154,bagiau,kiertäminen,nouns,0.15
1155,pêl,kori,nouns,0.2
1156,llawysgrif,kirja,nouns,1.65
1157,nofio,tavata,verbs,0.0
1158,basged,pallo,nouns,0.2
1159,diogel,ikävä,adjectives,0.05
1160,cerflun,veistos,nouns,5.25
1161,cyfansoddiad,keisari,nouns,0.2
1162,yn anarferol,normaalisti,adverbs,0.35
1163,cadw,unohtaa,verbs,0.05
1164,nant,joki,nouns,3.5
1165,wedi tyfu,epäkypsä,adjectives,0.25
1166,angerdd,tunne,nouns,3.45
1167,ceffyl,tamma,nouns,4.1
1168,cwmpawd,elefantti,nouns,0.05
1169,lliain,kangas,nouns,2.1
1170,egluro,keskustella,verbs,1.55
1171,mathemategydd,näytös,nouns,0.0
1172,diniwed,vapaa,adjectives,0.3
1173,mecanyddol,sähköinen,adjectives,0.75
1174,darganfod,etsiä,verbs,1.45
1175,dygnwch,vahvuus,nouns,4.4
1176,gwadu,tunnustus,nouns,0.3
1177,dug,tasavalta,nouns,0.25
1178,aflonyddu,pelästyttää,verbs,1.65
1179,gwrthod,välttää,verbs,1.75
1180,claf,istunto,nouns,0.1
1181,gwythïen,valinta,nouns,0.0
1182,cyflym,pikainen,adjectives,4.85
1183,ymgyrch,apina,nouns,0.0
1184,anrhagweledig,odottamaton,adjectives,3.8
1185,llew,kissa,nouns,2.3
1186,drws,keittiö,nouns,0.25
1187,ymuno,hankkia,verbs,0.15
1188,trydanol,makea,adjectives,0.0
1189,cysur,turvallisuus,nouns,1.0
1190,cnocio,romahtaa,verbs,0.5
1191,cysuro,nöyryyttää,verbs,0.0
1192,gwrthod,vetäytyä,verbs,1.75
1193,cymryd,jättää,verbs,0.45
1194,cyffredin,uskomaton,adjectives,0.2
1195,jar,pullo,nouns,2.55
1196,nos,päivä,nouns,0.7
1197,mawr,kansallinen,adjectives,0.4
1198,modryb,veljenpoika,nouns,0.85
1199,mab,veli,nouns,1.65
1200,mynydd,kieleke,nouns,0.3
1201,lemwn,omena,nouns,1.4
1202,amhosib,käyttökelpoinen,adjectives,0.55
1203,sefyllfa,kunto,nouns,1.85
1204,glaswellt,terä,nouns,0.3
1205,ffôn,matkapuhelin,nouns,4.5
1206,llaw,jalkaterä,nouns,0.9
1207,blin,onnellinen,adjectives,0.25
1208,cymryd rhan,liittyä,verbs,3.15
1209,diflas,keskinkertainen,adjectives,0.55
1210,chwilio,metsästää,verbs,2.2
1211,amrwd,töykeä,adjectives,0.9
1212,asgwrn,käsivarsi,nouns,1.5
1213,coginio,sekoittaa,verbs,0.65
1214,artiffisial,epäaito,adjectives,5.05
1215,ysbryd,jumala,nouns,1.75
1216,glaw mân,sade,nouns,3.95
1217,sarsiant,ase,nouns,0.35
1218,byth,anteliaasti,adverbs,0.05
1219,eglwys gadeiriol,sisäkatto,nouns,0.1
1220,llygoden,rotta,nouns,3.15
1221,oer,tavallinen,adjectives,0.0
1222,bwydlen,järjestys,nouns,0.25
1223,hwyl,peli,nouns,1.0
1224,anghefnogi,rohkaista,verbs,0.2
1225,cludo,toimittaa,verbs,2.35
1226,allwedd,lukko,nouns,1.0
1227,o ddifrif,vilpittömästi,adverbs,1.4
1228,asgwrn,niska,nouns,0.85
1229,nod,kerho,nouns,0.05
1230,crynnu,jäätyä,verbs,1.2
1231,dillad,takki,nouns,1.95
1232,cyrraedd,jättää,verbs,0.2
1233,gwybod,ymmärtää,verbs,2.9
1234,concwest,virsi,nouns,0.0
1235,arllwys,tippua,verbs,1.65
1236,ffôl,lapsellinen,adjectives,1.45
1237,ychydig,kovakouraisesti,adverbs,0.05
1238,gwaelod,puoli,nouns,0.75
1239,yn bwysig,vakavasti,adverbs,1.4
1240,soffa,tuoli,nouns,2.45
1241,ffwr,minkki,nouns,2.1
1242,cyfaill,kumppani,nouns,3.9
1243,cymyl,sumu,nouns,2.5
1244,anghofio,muistuttaa,verbs,0.25
1245,pêl,lentopallo,nouns,2.65
1246,rhad,edullinen,adjectives,5.25
1247,cytundeb,kunto,nouns,0.0
1248,coch,sininen,adjectives,0.95
1249,cyfarfod,uida,verbs,0.0
1250,glaw,usva,nouns,1.8
1251,hurt,typerä,adjectives,5.25
1252,offeiriad,jumala,nouns,0.85
1253,uchel,töykeä,adjectives,0.4
1254,yn wreiddiol,luovasti,adverbs,1.15
1255,yn gyfrinachgar,ilmiselvästi,adverbs,0.1
1256,gradd,koulu,nouns,0.8
1257,ffilm,elokuva,nouns,4.65
1258,nihiliaeth,elokuva,nouns,0.0
1259,meddwl,yrittää,verbs,0.3
1260,dolen,vyö,nouns,0.15
1261,rhagorol,mahtava,adjectives,4.8
1262,cyrnol,hammaslääkäri,nouns,0.4
1263,llenwi,halveksia,verbs,0.0
1264,llynges,saari,nouns,0.15
1265,gweithiwr,toimisto,nouns,0.7
1266,cymryd,toimittaa,verbs,0.3
1267,dysgu,hämätä,verbs,0.0
1268,mawr,helppo,adjectives,0.0
1269,biolegydd,mikroskooppi,nouns,0.6
1270,swil,kallis,adjectives,0.0
1271,poblogaidd,tunnettu,adjectives,2.3
1272,ceffyl,orivarsa,nouns,3.55
1273,llyn,suo,nouns,1.4
1274,blaengroen,ympärileikkaus,nouns,0.95
1275,banc,istuin,nouns,0.05
1276,llyfn,terävä,adjectives,0.3
1277,gwddf,selkäranka,nouns,1.05
1278,canrif,vuosi,nouns,1.55
1279,llywydd,pormestari,nouns,1.8
1280,matrics,molekyyli,nouns,0.15
1281,chwaraewr,valmentaja,nouns,0.7
1282,blodyn,uskomus,nouns,0.0
1283,heulwen,omena,nouns,0.0
1284,alaw,musiikki,nouns,2.8
1285,silff,vuori,nouns,0.3
1286,cwyno,kiistellä,verbs,1.2
1287,o bosibl,todennäköisesti,adverbs,2.35
1288,dadlau,myöntyä,verbs,0.25
1289,ffres,leveä,adjectives,0.05
1290,hyrwyddo,edetä,verbs,2.05
1291,cadair,sohva,nouns,2.45
1292,penwythnos,rotu,nouns,0.0
1293,cafflo,pettää,verbs,4.2
1294,tudalen,sana,nouns,0.55
1295,tad,tytär,nouns,0.95
1296,ofnadwy,paha,adjectives,3.85
1297,pren,paperi,nouns,0.95
1298,llwyn,kukka,nouns,1.65
1299,dal,vapauttaa,verbs,0.75
1300,awdur,luoja,nouns,3.45
1301,heb ei ddefnyddio,uusi,adjectives,4.55
1302,angenrheidiol,tärkeä,adjectives,3.95
1303,estron,ulkolainen,nouns,3.85
1304,capten,merimies,nouns,2.0
1305,planhigyn,maatalous,nouns,0.8
1306,orthodontydd,hammaslääkäri,nouns,3.65
1307,pobl,dollari,nouns,0.0
1308,dilyniant,kamera,nouns,0.0
1309,pibell,sikari,nouns,0.5
1310,gwraig,pilli,nouns,0.0
1311,bregus,hyytävä,adjectives,0.25
1312,cyflogwr,työntekijä,nouns,0.9
1313,twll,sopimus,nouns,0.0
1314,realiti,illuusio,nouns,0.3
1315,mêl,sokeri,nouns,1.85
1316,cyfarwyddwr,elokuvaus,nouns,0.85
1317,llygad,kyynel,nouns,0.9
1318,hen,tuore,adjectives,0.2
1319,gyferbyn,muu,adjectives,0.65
1320,anghefnogi,turhauttaa,verbs,2.25
1321,athro,ystävä,nouns,0.6
1322,cryfder,kestävyys,nouns,4.4
1323,dosbarth,korkeakoulu,nouns,0.85
1324,hafaliad,kaava,nouns,3.9
1325,amherchnogi,antaa,verbs,0.5
1326,mosäig,basilikakirkko,nouns,0.6
1327,cwpl,pari,nouns,5.4
1328,duw,pappi,nouns,0.85
1329,esgus,kuvitella,verbs,1.55
1330,yn gryf,virallisesti,adverbs,0.35
1331,dyn,naistenmies,nouns,0.85
1332,gadael,aloittaa,verbs,0.2
1333,bodloni,käsittää,verbs,0.35
1334,tsunami,meri,nouns,1.35
1335,mawr,painava,adjectives,1.1
1336,ofnadwy,surullinen,adjectives,1.45
1337,reidio,juosta,verbs,0.5
1338,adref,poissa,adverbs,0.45
1339,mynnu,nuhdella,verbs,0.3
1340,gwyddbwyll,tarkistus,nouns,0.0
1341,sgleinio,tiedottaa,verbs,0.0
1342,treisgar,pehmeä,adjectives,0.1
1343,afon,laakso,nouns,0.8
1344,crisial,lasi,nouns,2.6
1345,tywysogaeth,herttuakunta,nouns,2.15
1346,caban,mökki,nouns,3.35
1347,ufuddhau,käyttäytyä,verbs,2.2
