ID,FIN,YUE,PoS,score
726,sade,暴風雪,nouns,2.28
727,jännittävä,平淡,adjectives,0.38
728,väsynyt,飢餓,adjectives,0.43
729,ilo,自豪,nouns,2.03
730,mahdollisesti,樂觀地,adverbs,0.93
731,etsiä,查詢,verbs,2.97
732,ystävällinen,大方,adjectives,1.89
733,leipä,小麥粉,nouns,1.02
734,täti,侄子,nouns,0.99
735,löytää,消失,verbs,0.15
736,palauttaa,修理,verbs,0.98
737,tennis,統計資料,nouns,0.0
738,ratkaisematon,中性,adjectives,0.61
739,seinä,磚,nouns,0.81
740,suo,湖,nouns,2.02
741,teoria,假設,nouns,3.74
742,yleensä,不定期地,adverbs,0.43
743,kerran,兩次,adverbs,0.64
744,pujotella,绑,verbs,1.1
745,perhonen,玫瑰,nouns,0.2
746,myöntää,否認,verbs,0.24
747,kuolema,葬禮,nouns,1.83
748,lisko,鱷魚,nouns,2.55
749,fiksu,笨,adjectives,0.24
750,käsityö,傳統,nouns,0.48
751,epäaito,真實,adjectives,0.34
752,torjua,選舉,verbs,0.0
753,taistella,玩,verbs,0.48
754,pitää,給,verbs,0.29
755,imeä itseensä,學習,verbs,2.59
756,heikko,強大,adjectives,0.24
757,kiltisti,温和地,adverbs,3.96
758,vuori,窗台,nouns,0.3
759,hampaat,骨頭,nouns,2.0
760,kokoontua,收集,verbs,1.05
761,keisari,憲法,nouns,0.33
762,ohjaamo,副駕駛,nouns,0.39
763,luostari,沖涼,nouns,0.0
764,viikottainen,每月,adjectives,1.38
765,rakentaa,加,verbs,0.77
766,kemia,理論,nouns,0.29
767,heikentyä,抹,verbs,0.14
768,sotaisuus,戰鬥,nouns,1.22
769,peittää,埋葬,verbs,3.13
770,rankka,狡猾,adjectives,0.0
771,kahvi,豆,nouns,0.57
772,sankaritar,英雄,nouns,3.9
773,nopeasti,紧急,adverbs,4.36
774,hyvä,辣,adjectives,0.15
775,pehmeästi,大聲地,adverbs,0.18
776,auto,運輸,nouns,1.29
777,yhdistää,混合,verbs,3.37
778,tekijä,讀者,nouns,0.73
779,parlamentti,國會,nouns,3.58
780,piirakka,巧克力,nouns,0.43
781,karkea,冷淡,adjectives,0.34
782,hede,授粉,nouns,1.1
783,hämätä,學習,verbs,0.0
784,lumilauta,滑雪,nouns,0.81
785,elokuva,虛無主義,nouns,0.09
786,yllättää,慶祝,verbs,0.04
787,uskomattomasti,緊緊地,adverbs,0.24
788,peittelemätön,未公開,adjectives,0.19
789,kirkko,合唱團,nouns,0.62
790,jakkara,椅子,nouns,4.33
791,toistaa,練習,verbs,2.66
792,hävitä ,搵到,verbs,0.15
793,istuin,銀行,nouns,0.0
794,lasi,水晶,nouns,2.81
795,kauniisti,優雅地,adverbs,3.92
796,majatalo,汽車旅館,nouns,3.41
797,galaksi,應用程式,nouns,0.0
798,presidentti,小學生,nouns,0.24
799,lukea,咬,verbs,0.09
800,laki,學校,nouns,0.28
801,massiivisesti,公開地,adverbs,0.28
802,tuoli,望遠鏡,nouns,0.04
803,varma,自信,adjectives,3.5
804,anteliaasti,從未,adverbs,0.1
805,soitin,小提琴,nouns,2.35
806,taksi,巴士,nouns,2.13
807,raaka,無禮貌,adjectives,0.88
808,laiska,忙碌,adjectives,0.24
809,auto,的士,nouns,3.69
810,äänioikeus,出口,nouns,0.04
811,morsian,公主,nouns,0.43
812,hautaaminen,死亡,nouns,1.83
813,kuulakärkikynä,字母,nouns,0.05
814,miljardööri,無家可歸,nouns,0.2
815,prinsessa,國王,nouns,1.79
816,täysin,基本上,adverbs,1.06
817,onnellisuus,運氣,nouns,0.71
818,musiikki,旋律,nouns,2.66
819,matriisi,分子,nouns,0.46
820,kuuluisuus,財富,nouns,0.62
821,itkeä,大笑,verbs,0.24
822,sisäkatto,大教堂,nouns,0.1
823,muuttaa,更改,verbs,3.79
824,sivu,詞,nouns,0.43
825,kana,米飯,nouns,0.53
826,ihmiset,派對,nouns,0.67
827,suojella,保持,verbs,0.63
828,liittyä,合作,verbs,0.79
829,juuri,草,nouns,0.72
830,päättää,描繪,verbs,0.2
831,juhla,人們,nouns,0.67
832,päivällinen,早餐,nouns,1.71
833,palaa,扼殺,verbs,0.47
834,pätevyys,能力,nouns,4.2
835,partio,軍隊,nouns,0.39
836,kiireinen,懶,adjectives,0.24
837,amorfinen,無形,adjectives,3.38
838,säilyttää,保持,verbs,3.96
839,helposti,大致地,adverbs,0.47
840,omena,陽光,nouns,0.0
841,tähdätä,打中,verbs,1.29
842,liha,麵包,nouns,0.63
843,vaara,疾病,nouns,0.52
844,satunnaisesti,經常地,adverbs,0.43
845,sallia,走,verbs,0.25
846,valinta,意見,nouns,0.85
847,niska,手臂,nouns,0.83
848,mielipide,偏壓,nouns,0.29
849,ikkuna,雲,nouns,0.0
850,henkilökunta,歌手,nouns,0.18
851,sanomalehti,字,nouns,0.95
852,virallisesti,重要的,adverbs,0.71
853,piirustus,暴動,nouns,0.04
854,korjata,恢復,verbs,0.98
855,kaunis,精彩,adjectives,0.81
856,ilma,氦氣,nouns,0.77
857,sivuuttaa,問,verbs,0.0
858,ranne,手,nouns,2.88
859,niska,骨頭,nouns,0.92
860,järkyttää,受傷,verbs,0.54
861,puhelin,手提電話,nouns,4.48
862,mielettömästi,大聲地,adverbs,1.21
863,hakea,搜索,verbs,3.93
864,kyynärpää,踝,nouns,1.02
865,esiintyjä,歌曲,nouns,0.4
866,diplomatia,談判,nouns,2.29
867,häntä,碗,nouns,0.0
868,auttaa,問,verbs,0.2
869,asunto,酒店,nouns,1.6
870,tehdä tutkimusmatka,無視,verbs,0.0
871,laulaa,浮動,verbs,0.0
872,arkipäiväinen,普通,adjectives,4.7
873,venyvä,靈活的,adjectives,4.54
874,helppo,生硬,adjectives,0.05
875,galaksi,天文學家,nouns,1.44
876,puolustaa,殺,verbs,0.2
877,armeija,班,nouns,0.39
878,puutavara,原木,nouns,3.23
879,myydä,借,verbs,0.2
880,leidi,先生,nouns,0.91
881,pyörä,皮膚,nouns,0.04
882,laskuoppi,邏輯,nouns,1.97
883,nilkka,窗口,nouns,0.09
884,tuoda,來,verbs,1.88
885,kettu,獵狗,nouns,1.39
886,päiväkoti,幼兒,nouns,2.03
887,odottaa,暫停,verbs,1.3
888,jäätyä,發抖,verbs,0.35
889,nurkka,地區,nouns,0.55
890,elin,腎,nouns,2.98
891,valmentaja,播放機,nouns,0.5
892,kouluttaa,教,verbs,3.6
893,olut,酒,nouns,3.44
894,infektio,感染,nouns,3.09
895,pankkiiri,律師,nouns,1.42
896,mieletön,開心,adjectives,0.7
897,säästö,儲蓄者,nouns,1.2
898,lopettaa,做,verbs,0.29
899,vartalo,胸部,nouns,2.01
900,vaihto,貨幣,nouns,0.38
901,ikä,美人,nouns,0.15
902,tehtävä,女人,nouns,0.04
903,määritelmä,字典,nouns,0.9
904,vaunut,汽車,nouns,1.29
905,olla eri mieltä,同意,verbs,0.29
906,sallia,反駁,verbs,0.25
907,johtaja,經理,nouns,3.2
908,niukasti,十足地,adverbs,0.15
909,tulivuori,岩漿,nouns,1.51
910,vastaanottaa,實現,verbs,0.48
911,lähettää,接收,verbs,0.24
912,alkoholi,杜松子酒,nouns,3.44
913,jäädä,離開,verbs,0.6
914,luu,肘,nouns,0.69
915,lapsi,男孩,nouns,2.44
916,terävä,溫和,adjectives,0.0
917,laatikko,帽子,nouns,0.05
918,vahvuus,威力,nouns,3.33
919,elokuva,劇院,nouns,1.49
920,luotto,借款人,nouns,0.48
921,papu,米飯,nouns,0.88
922,jänis,貓,nouns,1.47
923,rotu,週末,nouns,0.0
924,puumateriaali,紙,nouns,0.97
925,kukka,灌木,nouns,2.01
926,suuresti,明亮地,adverbs,0.9
927,kirja,故事,nouns,2.3
928,juoda,混合,verbs,0.04
929,dia,光標,nouns,0.14
930,kuja,街,nouns,3.65
931,taksi,車,nouns,3.69
932,elämäntapa,文明,nouns,0.72
933,pilli,任務,nouns,0.0
934,viini,酒,nouns,3.17
935,ravistaa,攪拌,verbs,1.23
936,säikähtänyt,興奮,adjectives,0.33
937,ovi,地板,nouns,0.63
938,kurkku,鼻子,nouns,0.93
939,luopua,壓抑,verbs,0.43
940,valinta,選舉,nouns,2.33
941,paha,偉大,adjectives,0.1
942,vesi,鹽,nouns,0.1
943,länsi,北,nouns,0.6
944,laillinen,安全,adjectives,1.06
945,kasvaa,增加,verbs,1.02
946,huoltaja,母親,nouns,2.94
947,summa,結合,nouns,0.47
948,kuvata,決定,verbs,0.2
949,ikkuna,踝,nouns,0.09
950,nopeus,郵件,nouns,0.0
951,tytär,嬰兒,nouns,2.0
952,tähti,行星,nouns,2.0
953,laaja,狹窄,adjectives,0.29
954,matka,征服,nouns,0.34
955,kurkku,舌頭,nouns,1.3
956,ei koskaan,誠實地,adverbs,0.0
957,normaalisti,異常地,adverbs,0.2
958,epäonnistua,使氣餒,verbs,0.68
959,maksa,肺,nouns,1.08
960,odottamaton,未預見到,adjectives,3.52
961,ase,大炮,nouns,2.59
962,kuoro,教堂,nouns,0.62
963,sulhanen,新娘,nouns,1.82
964,sairaala,床,nouns,0.24
965,antelias,友善,adjectives,1.89
966,vuosisata,十年,nouns,1.25
967,vilpittömästi,認真地,adverbs,2.4
968,viehättää,打,verbs,0.0
969,rasismi,排外主義,nouns,4.38
970,epärehellinen,真實,adjectives,0.24
971,pelata uhkapeliä,打賭,verbs,3.55
972,edeltäjä,過去,nouns,2.25
973,nykyään,微妙地,adverbs,0.18
974,idea,形象,nouns,0.55
975,eriskummallinen,奇怪,adjectives,4.63
976,perustuslaki,參議院,nouns,0.76
977,pitää,保護,verbs,0.63
978,alumiini,金屬,nouns,2.59
979,ikävä,安全,adjectives,0.1
980,onnettomuus,大災難,nouns,3.6
981,tausta,牆紙,nouns,1.89
982,kunniamerkki,玻璃,nouns,0.09
983,lannistaa,失敗,verbs,0.68
984,tukahduttaa,燒傷,verbs,0.47
985,iiris,乙酰膽鹼,nouns,0.15
986,makuuhuone,床,nouns,1.18
987,lumi,天氣,nouns,0.63
988,hauskuus,遊戲,nouns,0.63
989,päivällinen,餐,nouns,3.1
990,luu,頸,nouns,0.92
991,pitää,保留,verbs,3.96
992,ihmeellinen,靚,adjectives,0.81
993,naaraslintu,火雞,nouns,2.09
994,koira,馬,nouns,1.52
995,vastaanottaa,攞,verbs,3.33
996,pilli,妻子,nouns,0.0
997,ovi,鐘,nouns,0.33
998,tyyli,時裝,nouns,3.35
999,palauttaa,代替,verbs,0.96
1000,laittaa,給,verbs,0.77
1001,illallinen,早餐,nouns,1.75
1002,paistaa,烘烤,verbs,2.73
1003,vanha,新,adjectives,0.29
1004,herkkäuskoinen,蠢,adjectives,1.3
1005,tuoda,發送,verbs,0.49
1006,sentti,尺寸,nouns,0.7
1007,terminaalisesti,不同,adverbs,0.15
1008,peruna,牛油,nouns,0.45
1009,vaivata,得罪,verbs,0.55
1010,ilmapallo,人,nouns,0.0
1011,menestyjä,男人,nouns,0.33
1012,nipistää,用拳猛擊,verbs,0.82
1013,sheriffi,警察,nouns,3.62
1014,heliumi,空氣,nouns,0.77
1015,saavuttaa,收到,verbs,0.48
1016,pehmeästi,堅固地,adverbs,0.24
1017,käsikirjoitus,文章,nouns,1.98
1018,suurkaupunki,城鎮,nouns,3.53
1019,talvi,夏天,nouns,0.64
1020,kasvaa,收縮,verbs,0.2
1021,eversti,牙醫,nouns,0.45
1022,sotilas,男孩,nouns,1.15
1023,näkökulma,距離,nouns,0.33
1024,aivot,神經,nouns,1.5
1025,ranta,暗礁,nouns,0.64
1026,elegantisti,美麗地,adverbs,3.92
1027,lukea,理解,verbs,0.82
1028,hiihtäminen,滑雪板,nouns,0.81
1029,käsikirjoitus,書,nouns,1.41
1030,onnellinen,快樂,adjectives,4.3
1031,sohva,椅子,nouns,2.69
1032,behaviorismi,治療,nouns,0.35
1033,arvioida,分析,verbs,4.38
1034,vedota,乞求,verbs,3.27
1035,ärsyttää,對抗,verbs,2.21
1036,neuvottelu,外交,nouns,2.29
1037,kylki,頂,nouns,0.47
1038,puu,楓樹,nouns,3.88
1039,hedelmätarha,鴕鳥,nouns,0.0
1040,miehet,兄弟會,nouns,1.75
1041,isä,兒子,nouns,1.7
1042,riisi,雞,nouns,0.53
1043,täällä,現在,adverbs,0.48
1044,strutsi,果園,nouns,0.0
1045,vaarallisesti,小心地,adverbs,0.14
1046,helppo,靈活,adjectives,1.59
1047,hyvin,聞名,adjectives,0.5
1048,ortodontti,牙醫,nouns,4.07
1049,kysyä,求情,verbs,0.15
1050,surullinen,可怕,adjectives,0.54
1051,kirjoittaa,匆匆地寫,verbs,3.47
1052,suisto,海,nouns,0.97
1053,vaatimaton,純,adjectives,0.43
1054,haitta,疼痛,nouns,0.98
1055,samankaltainen,相像,adjectives,3.4
1056,tarkalleen,不準確地,adverbs,0.24
1057,ihanteellisesti,現實地,adverbs,0.24
1058,julkistamaton,公開,adjectives,0.19
1059,tulo,税,nouns,0.53
1060,tukehtua,呼吸,verbs,0.61
1061,kaareva,好鬥,adjectives,0.0
1062,edetä,促進,verbs,1.51
1063,katastrofi,死亡,nouns,1.04
1064,itsevarmasti,偷偷,adverbs,0.05
1065,lykätä,完成,verbs,0.24
1066,oikeudenmukaisuus,法庭,nouns,2.07
1067,tulla,似乎,verbs,0.56
1068,ymmärrys,事實,nouns,0.72
1069,kanjoni,山谷,nouns,4.28
1070,evätä,拒絕,verbs,3.41
1071,sotkuinen,清潔,adjectives,0.29
1072,katedraali,教堂,nouns,4.73
1073,hienovaraisesti,大聲地,adverbs,0.1
1074,saada,留,verbs,0.6
1075,hirviö,惡魔,nouns,3.79
1076,ruohoalue,草地,nouns,4.04
1077,sensori,散熱器,nouns,0.41
1078,kallis,害羞,adjectives,0.0
1079,nöyryyttää,安慰,verbs,0.0
1080,onnistua,嘗試,verbs,0.54
1081,sulautua,聯合,verbs,3.37
1082,olennaisesti,關鍵地,adverbs,0.93
1083,orkesteri,樂隊,nouns,4.17
1084,kuvata,模仿,verbs,1.0
1085,säännöllinen,平均,adjectives,0.44
1086,pankki,座位,nouns,0.0
1087,maapallo,世界,nouns,4.09
1088,vesi,加冕禮,nouns,0.0
1089,valtaistuin,劍,nouns,0.05
1090,sekunti,分鐘,nouns,2.69
1091,vanhempi,大人,nouns,3.24
1092,paita,開襟衫,nouns,2.31
1093,kunto,男孩,nouns,0.04
1094,epätoivo,苦難,nouns,3.27
1095,säästäjä,存款,nouns,1.2
1096,edellyttää,安排,verbs,0.09
1097,pysähtyä,哨,verbs,0.18
1098,sali,走道,nouns,0.74
1099,uskomaton,普通,adjectives,0.2
1100,häpeä,悲傷,nouns,1.88
1101,muoti,風尚,nouns,3.35
1102,öljy,貂,nouns,0.15
1103,mies,父親,nouns,2.62
1104,kypsä,複雜,adjectives,0.88
1105,valo,鍵盤,nouns,0.09
1106,säilyttää,忘記,verbs,0.1
1107,timantti,錢,nouns,0.61
1108,kiistellä,辯解,verbs,0.68
1109,antaa,允許,verbs,3.37
1110,retki,旅程,nouns,4.71
1111,televisio,演員,nouns,0.76
1112,ihanteellisesti,機械地,adverbs,0.18
1113,suositella,建議,verbs,3.1
1114,kulma,彎曲,nouns,1.55
1115,lentoperämies,座艙,nouns,0.39
1116,ampua ohi,打中,verbs,0.24
1117,normaali,奇怪,adjectives,0.29
1118,krokotiili,蜥蜴,nouns,2.55
1119,pyhä,珍貴,adjectives,1.89
1120,kaivos,岩石,nouns,0.66
1121,säästää,花费,verbs,0.25
1122,sää,波浪,nouns,0.15
1123,kallisarvoinen,懶,adjectives,0.04
1124,syyllinen,誠實,adjectives,0.18
1125,suklaa,派,nouns,0.43
1126,lohduttaa,羞辱,verbs,0.0
1127,käyttökelpoinen,不可能,adjectives,0.29
1128,kyynel,眼睛,nouns,0.77
1129,myöntyä,不同意,verbs,0.29
1130,tarina,話題,nouns,0.91
1131,yhtälö,公式,nouns,3.52
1132,rauhanomaisesti,冷靜地,adverbs,3.63
1133,auto,單車,nouns,1.33
1134,oppia,聽,verbs,0.48
1135,ei koskaan,很少,adverbs,3.71
1136,lounas,三文治,nouns,1.26
1137,sana,提示,nouns,0.24
1138,myöhemmin,從未,adverbs,0.6
1139,hyväksyä,承認,verbs,3.05
1140,passiivisesti,靜靜地,adverbs,0.82
1141,pallo,球拍,nouns,0.67
1142,tyhmä,聰明,adjectives,0.24
1143,pöytä,日落,nouns,0.0
1144,jumala,獵物,nouns,0.0
1145,televisio,編劇,nouns,0.66
1146,huone,單身牢房,nouns,0.88
1147,kiistää,接受,verbs,0.7
1148,huuhdella,洗,verbs,3.4
1149,tunnettu,流行,adjectives,2.4
1150,kartta,廣場,nouns,0.18
1151,tarina,鉛筆,nouns,0.2
1152,jumaloida,敬佩,verbs,4.47
1153,patologia,血液學,nouns,2.22
1154,hiljattainen,新,adjectives,2.75
1155,terä,草,nouns,0.0
1156,varainkeruu ,發展,nouns,0.09
1157,ohjelma,食物,nouns,0.0
1158,kerran,馬上,adverbs,0.19
1159,älykkyys,技巧,nouns,1.94
1160,manageri,領導,nouns,3.2
1161,kamera,工作者,nouns,0.23
1162,tuhota,保留,verbs,0.24
1163,siemen,磨坊,nouns,0.29
1164,mies,嫌疑人,nouns,0.33
1165,filmi,電影,nouns,4.97
1166,ahdistuneesti,緊張地,adverbs,3.44
1167,harvinainen,難得,adjectives,3.17
1168,lumi,冰,nouns,3.27
1169,saapua,離開,verbs,0.15
1170,purkki,杯子,nouns,2.54
1171,taideteos,藝術家,nouns,0.86
1172,sivuuttaa,探索,verbs,0.0
1173,muistikirja,槍,nouns,0.0
1174,biologia,群落生境,nouns,0.79
1175,kiistellä,需求,verbs,0.39
1176,laukku,錢包,nouns,3.27
1177,sormi,腳趾,nouns,1.27
1178,lentokone,大薄片,nouns,0.36
1179,muodostaa,毀滅,verbs,0.43
1180,turvautua,失敗,verbs,0.15
1181,lanka,線,nouns,3.46
1182,sattua,跌,verbs,0.53
1183,tahrata,傳播,verbs,0.54
1184,verho,竿,nouns,0.14
1185,hyökätä kimppuun,加劇,verbs,0.24
1186,epäluonnollisesti,自然地,adverbs,0.24
1187,suurenmoinen,精彩,adjectives,3.0
1188,tsunami,海,nouns,1.42
1189,avioliiton ulkopuolinen,不宜說出口的,adjectives,0.23
1190,penkki,椅子,nouns,3.58
1191,voimakas tuuli,毯,nouns,0.0
1192,puutteenalainen,缺乏信心,adjectives,0.43
1193,katsoa,搜索,verbs,1.17
1194,moottoritie,路,nouns,3.74
1195,nopea,迅速,adjectives,5.18
1196,dollari,人,nouns,0.0
1197,makea,電動,adjectives,0.0
1198,päästää,允許,verbs,2.91
1199,pala,飛機場,nouns,0.0
1200,vahvuus,能力,nouns,2.64
1201,kutistua,減少,verbs,3.05
1202,kokous,聚會,nouns,3.79
1203,levitä,塗抹,verbs,0.54
1204,lisko,政府,nouns,0.04
1205,kalliojyrkänne,尾巴,nouns,0.04
1206,käsivarsi,骨頭,nouns,0.88
1207,silmä,眉頭,nouns,0.73
1208,itsepäinen,蠢,adjectives,0.57
1209,mosaiikki,教堂,nouns,0.25
1210,häntä,章,nouns,0.04
1211,letku,汽車,nouns,0.09
1212,todistaa,拗撬,verbs,0.25
1213,ajokoira,狐狸,nouns,1.39
1214,tuhota,做,verbs,0.34
1215,vuosi,世紀,nouns,1.36
1216,auringonlasku,表,nouns,0.0
1217,täysin,全然地,adverbs,3.59
1218,synnintekijä,聖,nouns,0.24
1219,turvattu,乏味,adjectives,0.1
1220,opettaa,教育,verbs,3.6
1221,surullisesti,猛烈地,adverbs,0.2
1222,määrittää,撤離,verbs,0.05
1223,fiktio,傳記,nouns,1.32
1224,näyttelijä,多面體,nouns,0.33
1225,tulla sisään,離開,verbs,0.04
1226,osua,懲罰,verbs,0.15
1227,teollisuus,商業,nouns,2.27
1228,ystävällisesti,不會,adverbs,0.0
1229,monokulttuuri,農業,nouns,1.11
1230,veri,骨髓,nouns,0.32
1231,naida,加入,verbs,0.55
1232,sanakirja,百科全書,nouns,2.83
1233,kehto,幼兒床,nouns,4.05
1234,aina,兩次,adverbs,0.54
1235,saada selville,認識到,verbs,3.44
1236,muistikirja,手提電腦,nouns,0.66
1237,suuri,柔韌,adjectives,0.24
1238,tarjous,便士,nouns,0.19
1239,letku,花園,nouns,0.29
1240,epäonnistua,成功,verbs,0.2
1241,tietokone,磁盘,nouns,0.83
1242,varakkuus,聲望,nouns,0.2
1243,kurssi,行動,nouns,0.38
1244,ruokavalio,沙拉,nouns,0.83
1245,tuomioistuin,法官,nouns,1.1
1246,tuoli,長凳,nouns,3.58
1247,älypuhelin,菠蘿,nouns,0.0
1248,myydä,提醒,verbs,0.0
1249,kiistellä,說服,verbs,0.63
1250,uskomus,概念,nouns,1.05
1251,hevonen,牛,nouns,1.76
1252,nainen,毛,nouns,0.0
1253,peitto,床,nouns,0.39
1254,kauneus,年齡,nouns,0.15
1255,vetäytyä,降落,verbs,0.55
1256,auto,坦克,nouns,0.81
1257,kondensaattori,二極管,nouns,1.88
1258,kortti,橋,nouns,0.0
1259,järjestäytynyt,雜亂無章,verbs,0.24
1260,laulusolisti,員工,nouns,0.18
1261,valkuaisaine,柄,nouns,0.04
1262,saalis,神,nouns,0.0
1263,hengittää,嗆,verbs,0.61
1264,pehmeä,暴力,adjectives,0.1
1265,säännöllinen,無知,adjectives,0.04
1266,mausteinen,好,adjectives,0.15
1267,vika,系統,nouns,0.15
1268,hahmo,人,nouns,3.98
1269,turvallinen,合法,adjectives,1.06
1270,mies,女人,nouns,0.77
1271,valloitus,旅程,nouns,0.34
1272,ihmiset,氣球,nouns,0.0
1273,vaatia,拗撬,verbs,0.39
1274,keskustella,說明,verbs,1.16
1275,tyttö,小孩,nouns,2.58
1276,särkeä,摔碎,verbs,4.35
1277,kritisoida,評論說,verbs,2.51
1278,tietää,給,verbs,0.2
1279,härnätä,傷害,verbs,0.29
1280,luokkahuone,走廊,nouns,0.6
1281,paperi,木,nouns,0.97
1282,arvata,刺激,verbs,0.18
1283,miekka,環境,nouns,0.0
1284,tutkia,追求,verbs,0.95
1285,tiedustella,想,verbs,0.39
1286,varastaa,獲得,verbs,0.92
1287,nauraa,哭,verbs,0.24
1288,vapauttaa,按下,verbs,0.09
1289,kuvata,通知,verbs,0.15
1290,valikoida,挑選,verbs,3.98
1291,suosittu,聞名,adjectives,2.4
1292,tuhota,創建,verbs,0.24
1293,riemuvoitto,勝利,nouns,3.73
1294,passiivisesti,可靠地,adverbs,0.05
1295,hammaslääkäri,正牙醫生,nouns,4.07
1296,oppia,忘記,verbs,0.24
1297,veli,靈魂,nouns,0.0
1298,ase,筆記本,nouns,0.0
1299,liha,煙肉,nouns,2.83
1300,asianmukainen,正式,adjectives,2.84
1301,vähäpätöinen,重大,adjectives,0.34
1302,taiteilija,藝術品,nouns,0.86
1303,suihku,修道院,nouns,0.0
1304,lastattu,沉重,adjectives,1.16
1305,elää,生存,verbs,3.02
1306,kansallinen,聞名,adjectives,0.25
1307,ajaa,跑,verbs,0.54
1308,kuvaaja,圖表,nouns,3.16
1309,avuton,貧困,adjectives,0.95
1310,näyttelijä,歌手,nouns,1.79
1311,tärkeä,關鍵,adjectives,4.24
1312,reikä,妻子,nouns,0.0
1313,nuori,焦躁不安,adjectives,0.15
1314,maja,避難所,nouns,1.18
1315,aikakauslehti,文章,nouns,1.88
1316,onnellinen,瘋狂,adjectives,0.7
1317,kirsikka,士多啤梨,nouns,2.07
1318,armeija,軍團,nouns,3.03
1319,kulho,尾巴,nouns,0.0
1320,kieli,臉頰,nouns,0.93
1321,pätevyys,能力,nouns,4.16
1322,rentoutunut,強調,adjectives,0.38
1323,setä,姨媽,nouns,0.97
1324,keittiö,門,nouns,0.33
1325,sarvi,鼓,nouns,0.28
1326,usva,雲,nouns,2.53
1327,vuosisata,年,nouns,1.36
1328,korvata,恢復,verbs,0.96
1329,katto,天花板,nouns,3.58
1330,kahdesti,一次,adverbs,0.64
1331,fonologia,屏幕,nouns,0.1
1332,kone,引擎,nouns,2.63
1333,ylpeä,膽大,adjectives,1.02
1334,onnellinen,嬲,adjectives,0.34
1335,papu,煙肉,nouns,0.2
1336,sirut,遊標,nouns,0.04
1337,käydä sisään,欠,verbs,0.0
1338,kutistua,成長,verbs,0.2
1339,laulaja,合唱,nouns,1.31
1340,iso,寬廣,adjectives,3.6
1341,pitää,擁有,verbs,1.43
1342,tulla,帶來,verbs,1.88
1343,oppia,評估,verbs,0.49
1344,tie,高速公路,nouns,3.74
1345,yleensä,真誠地,adverbs,0.23
1346,tietty,緊張,adjectives,0.04
1347,vihainen,暴力,adjectives,1.32
1348,metalli,錫,nouns,1.54
1349,esitys,客串角色,nouns,0.5
1350,käsivarsi,頸,nouns,0.83
1351,nainen,妻子,nouns,2.54
1352,täsmällisesti,精確地,adverbs,5.02
1353,haudata,冚住,verbs,3.13
1354,ilma,分子,nouns,0.62
1355,antaa,收到,verbs,0.43
1356,henkilö,動物,nouns,0.38
1357,nauttia,娛樂,verbs,0.9
1358,veksillologia,旗,nouns,1.3
1359,lukko,鎖匙,nouns,0.95
1360,imeä itseensä,擁有,verbs,0.24
1361,tapaaminen,訂婚,nouns,0.7
1362,sairaanhoitaja,科學家,nouns,0.24
1363,sää,雲,nouns,0.87
1364,epäreilusti,公平,adverbs,0.24
1365,yö,黎明,nouns,0.82
1366,tunne,激情,nouns,2.5
1367,antaa anteeksi,赦免,verbs,3.79
1368,sonetti,美,nouns,0.1
1369,hermo,腸子,nouns,0.58
1370,uusi,最近,adjectives,2.75
1371,himoita,想要,verbs,4.17
1372,joustava,有彈性,adjectives,4.54
1373,auto,船,nouns,0.68
1374,mansikka,櫻桃,nouns,2.07
1375,keksi,公主,nouns,0.0
1376,ase,刀,nouns,2.4
1377,edistää,前進,verbs,1.51
1378,arkeologia,人類學,nouns,1.93
1379,säästää,保護,verbs,1.08
1380,persilja,瑪芬,nouns,0.24
1381,sydän,手術,nouns,0.67
1382,luu,手臂,nouns,0.88
1383,temppu,槍,nouns,0.0
1384,luoda,想像,verbs,0.59
1385,yksityinen,個人,adjectives,4.01
1386,kadottaa,得到,verbs,0.1
1387,tanko,旗,nouns,0.71
1388,pullo,容器,nouns,2.94
1389,kansi,地板,nouns,0.68
1390,laiton,不道德,adjectives,2.12
1391,kuolettavasti,高高興興地,adverbs,0.04
1392,viheltää,停,verbs,0.18
1393,valuutta,交換,nouns,0.38
1394,ostaa,偷,verbs,0.3
1395,alkuperäisesti,創造性地,adverbs,0.54
1396,taivas,夢想,nouns,0.05
1397,helppo,大,adjectives,0.0
1398,kartio,杯子,nouns,0.04
1399,herttua,共和國,nouns,0.38
1400,tietää,相信,verbs,1.07
1401,hotelli,公寓,nouns,1.6
1402,pitkäveteinen,累,adjectives,0.49
1403,luoja,製作者,nouns,3.9
1404,futis,足球,nouns,5.49
1405,onnellisuus,悲傷,nouns,0.29
1406,pallo,排球,nouns,3.04
1407,keittiö,洗手間,nouns,0.83
1408,tuskin koskaan,經常,adverbs,0.24
1409,lujasti,冷靜地,adverbs,0.46
1410,huone,床,nouns,0.63
1411,sänky,傢俱,nouns,2.37
1412,meri,海洋,nouns,5.03
1413,vilja,小麥,nouns,3.15
1414,teoreema,理論,nouns,3.83
1415,vene,樹,nouns,0.29
1416,strategi,陰謀家,nouns,2.67
1417,kapea,寬廣,adjectives,0.29
1418,dominoida,贏,verbs,0.92
1419,ylimielinen,自豪,adjectives,2.69
1420,opiskelija,教授,nouns,0.58
1421,sitruuna,茶,nouns,0.39
1422,ovi,窗,nouns,1.02
1423,kutistua,消失,verbs,1.17
1424,kestävyys,強度,nouns,3.41
1425,meteori,地心吸力,nouns,0.38
1426,tilanne,狀況,nouns,5.03
1427,fakta,洞察力,nouns,0.72
