ID,CMN,FIN,PoS,score
735,死亡,katastrofi,nouns,1.64
736,书,teema,nouns,1.21
737,放,saada,verbs,0.1
738,男人,tyttö,nouns,0.64
739,尖叫,huutaa,verbs,4.03
740,派对,ihmiset,nouns,0.43
741,和平地,ylpeästi,adverbs,0.09
742,沐浴,huone,nouns,0.1
743,匆匆地写,kirjoittaa,verbs,3.33
744,草,terä,nouns,0.0
745,词,kirjallisuus,nouns,1.4
746,书,teksti,nouns,2.63
747,婴儿,tytär,nouns,2.42
748,吞,juoda,verbs,1.65
749,沙子,jalkaterä,nouns,0.04
750,高高兴兴地,kuolettavasti,adverbs,0.18
751,角度,käyrä,nouns,1.1
752,副驾驶,ohjaamo,nouns,0.57
753,谦虚,joustava,adjectives,0.57
754,体操,miekkailu,nouns,1.3
755,商业,yritys,nouns,2.65
756,财富,arvovalta,nouns,0.47
757,冷静地,lujasti,adverbs,0.23
758,必须,tarpeeton,adjectives,0.29
759,编译器,aliohjelma,nouns,0.46
760,获胜者,ehdokas,nouns,1.64
761,白天,yö,nouns,0.6
762,黏,märkä,adjectives,1.5
763,薄雾,sade,nouns,1.31
764,病毒,veri,nouns,0.44
765,书,onnettomuus,nouns,0.0
766,分化,kuolla,verbs,0.69
767,驱逐,jättää,verbs,1.68
768,毯,voimakas tuuli,nouns,0.0
769,混合,lyödä,verbs,0.0
770,正牙医生,hammaslääkäri,nouns,3.79
771,医生,ortodontti,nouns,2.83
772,晚餐,ateria,nouns,3.43
773,天气,pilvi,nouns,1.64
774,勺子,kuppi,nouns,0.65
775,迷惑,oppia,verbs,0.0
776,坠落,sattua,verbs,0.63
777,说,ilmaista,verbs,3.58
778,轻轻的,äänekkäästi,adverbs,0.05
779,老鼠,kansi,nouns,0.0
780,苹果,makeinen,nouns,0.2
781,得罪,vaivata,verbs,1.5
782,蛇,lisko,nouns,1.66
783,坏,hirveä,adjectives,3.97
784,不同,terminaalisesti,adverbs,0.1
785,恶魔,enkeli,nouns,0.54
786,付款,viesti,nouns,0.55
787,疏忽,olla tunnustamatta,verbs,0.3
788,家牛,lehmä,nouns,3.27
789,接受,myöntyä,verbs,3.76
790,援助,avustaa,verbs,4.02
791,雪茄,laatikko,nouns,0.2
792,成年人,lapsi,nouns,0.78
793,成为,menestyä,verbs,0.56
794,大,joustava,adjectives,0.34
795,减少,kutistua,verbs,3.19
796,导演,elokuvaus,nouns,0.99
797,停,kuljettaa,verbs,0.15
798,拥抱,tukahduttaa,verbs,0.25
799,主题,tarina,nouns,0.77
800,毕业,suorittaa loppuun,verbs,3.03
801,简单,jäykkä,adjectives,0.14
802,石,puumateriaali,nouns,0.39
803,枫树,puu,nouns,3.88
804,批评,töykeä,adjectives,0.67
805,汽车,polkupyörä,nouns,0.78
806,游戏,temppu,nouns,0.77
807,挤压,halata,verbs,0.97
808,花园,letku,nouns,0.25
809,新郎,morsian,nouns,0.83
810,重要,tarpeellinen,adjectives,4.26
811,法庭,oikeudenmukaisuus,nouns,1.21
812,兄弟会,miehet,nouns,1.43
813,皮肤,pyörä,nouns,0.0
814,得出结论,päättää,verbs,3.58
815,锁匙,kruunu,nouns,0.0
816,作业,viesti,nouns,0.72
817,创建,kuvitella,verbs,0.86
818,了解,kuunnella,verbs,1.48
819,当然,lopullisesti,adverbs,2.83
820,井然有序,sotkuinen,adjectives,0.29
821,电话,koju,nouns,0.0
822,结婚,liittyä,verbs,0.69
823,拒绝,hyväksyä,verbs,0.31
824,责怪,moittia,verbs,3.73
825,接受,antaa anteeksi,verbs,2.02
826,解释,todistaa,verbs,2.74
827,饥饿,janoinen,adjectives,1.46
828,忍耐力,kukka,nouns,0.23
829,容器,vaunu,nouns,0.19
830,人们,juhla,nouns,0.43
831,停,viheltää,verbs,0.05
832,包含,sisältää,verbs,5.48
833,普通,arkipäiväinen,adjectives,4.66
834,乘法,jakolasku,nouns,1.3
835,星系,sovellus,nouns,0.0
836,血液,virus,nouns,0.44
837,加冕礼,vesi,nouns,0.04
838,经常,joskus,adverbs,1.54
839,有趣,vakava,adjectives,0.25
840,穆斯林,piispa,nouns,0.52
841,同意,hyväksyä,verbs,3.76
842,借款人,luotto,nouns,0.76
843,记者,runoilija,nouns,0.45
844,银行家,lakimies,nouns,0.64
845,风暴,lumi,nouns,0.91
846,门,kellari,nouns,0.38
847,狗,hevonen,nouns,1.21
848,单身牢房,huone,nouns,1.79
849,鸡,päivällinen,nouns,0.79
850,飞机,lentokenttä,nouns,1.04
851,港口,kääre,nouns,0.0
852,感染,taivutus,nouns,0.0
853,安全,laillinen,adjectives,0.93
854,矩阵,vektori,nouns,1.2
855,狐狸,ajokoira,nouns,1.11
856,无礼,kriittinen,adjectives,0.67
857,评估,oppia,verbs,0.73
858,周末,viikko,nouns,1.94
859,煮熟的,keitetty,adjectives,3.08
860,瓶子,säilytysastia,nouns,2.75
861,嘴巴,hammas,nouns,1.22
862,字,sanomalehti,nouns,1.27
863,现实地,hiljattain,adverbs,0.0
864,逻辑,älykkyys,nouns,2.9
865,女演员,näyttelijä,nouns,4.03
866,陷害,hitti,nouns,0.04
867,死,haudata,verbs,1.59
868,任务,työ,nouns,3.63
869,基质,molekyyli,nouns,0.41
870,包皮,ympärileikkaus,nouns,0.82
871,绑,pujotella,verbs,1.5
872,调查,kuulustella,verbs,2.46
873,卧室,vatsa,nouns,0.0
874,明亮地,suuresti,adverbs,0.4
875,积极地,onnellisesti,adverbs,0.62
876,选择,poimia,verbs,3.58
877,飓风,myrsky,nouns,3.07
878,给,pitää,verbs,0.29
879,避免,torjua,verbs,1.88
880,蝙蝠,vamppyyri,nouns,1.02
881,埋葬,kuolla,verbs,1.59
882,有时候,usein,adverbs,1.54
883,字母,kuulakärkikynä,nouns,0.05
884,王冠,avain,nouns,0.0
885,离开,odottaa,verbs,0.33
886,苹果,auringonpaiste,nouns,0.09
887,日落,pöytä,nouns,0.0
888,迅速,nopea,adjectives,5.04
889,苏丹,ministeriö,nouns,0.1
890,长笛,musiikki,nouns,1.04
891,抓住,jahdata,verbs,1.74
892,环球航行,matkatavarat,nouns,0.15
893,强烈地,virallisesti,adverbs,0.57
894,偷,ostaa,verbs,0.57
895,想要,himoita,verbs,4.49
896,呼吸,tukehtua,verbs,0.57
897,摄影,ohjaaja,nouns,0.99
898,行动,peli,nouns,0.45
899,枪,ihmiset,nouns,0.0
900,骰子,kuutio,nouns,2.83
901,支持者,kriketti,nouns,0.0
902,考试,opetussuunnitelma,nouns,0.57
903,农药,tuhoeläin,nouns,0.48
904,修道院,suihku,nouns,0.0
905,电动机,vene,nouns,0.48
906,考古学,antropologia,nouns,1.21
907,代替,palauttaa,verbs,0.55
908,帅哥,heppu,nouns,0.96
909,博物馆,minttu,nouns,0.0
910,收藏,säästää,verbs,3.83
911,伙伴,kumppani,nouns,3.12
912,跛行,kävellä,verbs,2.38
913,被动地,luotettavasti,adverbs,0.05
914,疯狂,iloinen,adjectives,0.33
915,广场,kartta,nouns,0.14
916,小亭,puhelin,nouns,0.0
917,参议院,perustuslaki,nouns,0.67
918,大方,ystävällinen,adjectives,2.21
919,军官,sijainen,nouns,0.98
920,开始,mennä,verbs,0.44
921,黎明,ase,nouns,0.0
922,医院,sänky,nouns,0.33
923,算术,logiikka,nouns,1.74
924,申请人,hakemus,nouns,1.14
925,粗暴,hyytävä,adjectives,0.34
926,锥形蛋筒,kuppi,nouns,0.41
927,货车,auto,nouns,3.01
928,书,käsikirjoitus,nouns,1.45
929,纽扣,vaatteet,nouns,0.92
930,负责可靠地,itsenäisesti,adverbs,1.29
931,苹果,ruokavalio,nouns,0.71
932,到达,jättää,verbs,0.29
933,肚子,vartalo,nouns,1.86
934,选择,kappale,nouns,0.15
935,表达,sanoa,verbs,3.58
936,不同,kiistellä,verbs,0.24
937,允许,laillinen,adjectives,3.17
938,重要的,vakavasti,adverbs,0.86
939,预言家,pappi,nouns,0.79
940,大学,luokka,nouns,0.34
941,讨厌,halveksia,verbs,3.0
942,总是,kahdesti,adverbs,0.4
943,从不,myöhemmin,adverbs,0.69
944,攻击,pahentaa,verbs,0.38
945,多面体,näyttelijä,nouns,0.05
946,酒,viini,nouns,3.3
947,自信,asenne,nouns,1.58
948,警告,pysähtyä,verbs,0.15
949,情况,olosuhde,nouns,4.89
950,锌,kulta,nouns,1.16
951,朋友,kaveri,nouns,4.6
952,合乎体统,muodollinen,adjectives,3.12
953,换算,korkeus,nouns,0.04
954,探路者,jousiampuja,nouns,0.24
955,椅子,teleskooppi,nouns,0.0
956,傍晚,iltahämärä,nouns,4.25
957,奶昔,mehu,nouns,0.88
958,发热,flunssa,nouns,2.4
959,奴隶,palvelija,nouns,2.78
960,离开,liittyä,verbs,0.23
961,糖果,kaneli,nouns,0.29
962,之前,jälkeen,adverbs,0.38
963,总统,oppilas,nouns,0.2
964,旧,sekoitettu,adjectives,0.0
965,留,saada,verbs,0.1
966,醋,salaatti,nouns,0.29
967,状态,poika,nouns,0.14
968,攻击,salamahyökkäys,nouns,3.73
969,聪明,tyhmä,adjectives,0.24
970,耐力,yhtye,nouns,0.0
971,平庸,pitkäveteinen,adjectives,0.96
972,马车,vaunu,nouns,4.07
973,血液,liha,nouns,0.63
974,牛,karja,nouns,3.27
975,必须,tärkeä,adjectives,4.26
976,参加竞选,apina,nouns,0.0
977,玫瑰,perhonen,nouns,0.43
978,赛跑,filosofi,nouns,0.0
979,分界线,raja,nouns,3.09
980,开襟毛衣,paita,nouns,1.53
981,任务,nainen,nouns,0.0
982,国民,iso,adjectives,0.1
983,对手,vastustaja,nouns,4.4
984,加入,naida,verbs,0.69
985,北,etelä,nouns,0.69
986,老师,opiskelija,nouns,0.78
987,科学,psykologia,nouns,2.5
988,柑橘,appelsiini,nouns,3.68
989,鸟,kalkkuna,nouns,2.17
990,孤独,köyhä,adjectives,0.34
991,能量,paristo,nouns,1.56
992,驱逐,tyhjentää,verbs,1.13
993,职业,korkeakoulu,nouns,0.24
994,学生,opettaja,nouns,0.78
995,杯子,lusikka,nouns,0.65
996,训斥,vaatia,verbs,0.24
997,协议,pakti,nouns,4.72
998,促进,edetä,verbs,1.92
999,简直,ilmeisesti,adverbs,0.65
1000,人物,henkilö,nouns,3.98
1001,湖,pilvi,nouns,0.2
1002,參加,tehdä yhteistyötä,verbs,0.97
1003,灯,henkiolento,nouns,0.1
1004,水,kruunajaiset,nouns,0.04
1005,知道,ymmärtää,verbs,3.14
1006,正式,vahvasti,adverbs,0.57
1007,部,sulttaani,nouns,0.1
1008,用拳猛击,nipistää,verbs,0.68
1009,豆,kahvi,nouns,0.48
1010,看,etsiä,verbs,1.35
1011,绊倒,kaatua,verbs,3.15
1012,难得,harvinainen,adjectives,3.44
1013,种族,viikonloppu,nouns,0.0
1014,旗,veksillologia,nouns,1.21
1015,头,nenä,nouns,0.74
1016,线,auringonlasku,nouns,0.0
1017,衣服,nappi,nouns,0.92
1018,想,tiedustella,verbs,0.39
1019,提醒,myydä,verbs,0.0
1020,失去,vähentää,verbs,1.31
1021,皮炎,ekseema,nouns,3.53
1022,母亲,huoltaja,nouns,2.85
1023,门,kello,nouns,0.05
1024,粗糙,töykeä,adjectives,0.82
1025,情绪,intohimo,nouns,3.04
1026,男孩,lapsi,nouns,2.9
1027,伤心,kauhea,adjectives,0.73
1028,允许,mennä,verbs,0.25
1029,上衣,hattu,nouns,1.39
1030,老师,rabbi,nouns,1.47
1031,冷淡,särkyvä,adjectives,0.15
1032,推,vetää,verbs,0.47
1033,坚固地,rauhallisesti,adverbs,0.23
1034,接受,kiistää,verbs,0.2
1035,电梯,auto,nouns,0.05
1036,短,pitkä,adjectives,0.29
1037,歌手,näyttelijä,nouns,1.88
1038,房间,solu,nouns,1.79
1039,避免,kiistää,verbs,0.73
1040,巫师,kaapeli,nouns,0.0
1041,收到,saada kiinni,verbs,0.64
1042,保护,puolustaa,verbs,4.15
1043,运送,kantaa,verbs,2.03
1044,岩石,kaivos,nouns,1.11
1045,僧侣,pappi,nouns,1.97
1046,汽车,tehdas,nouns,0.19
1047,手臂,oksa,nouns,0.15
1048,罕见,epätavallinen,adjectives,4.64
1049,找到,hävitä ,verbs,0.15
1050,频繁,keskimääräinen,adjectives,0.57
1051,坚硬,rankka,adjectives,2.89
1052,小学生,opiskelija,nouns,4.6
1053,作曲家,kirjailija,nouns,1.97
1054,抖动,hämmentää,verbs,1.9
1055,马,orivarsa,nouns,3.38
1056,诗,rytmi,nouns,0.48
1057,留,jättää,verbs,0.64
1058,门,läsnäolo,nouns,0.0
1059,纯,vaatimaton,adjectives,0.76
1060,牧师,jumala,nouns,0.58
1061,给予,lainata,verbs,2.08
1062,指控,valehdella,verbs,0.18
1063,捕获,matkia,verbs,0.1
1064,死,hajota,verbs,0.69
1065,象征,merkki,nouns,5.2
1066,想像,luoda,verbs,0.86
1067,棒球,valmentaja,nouns,0.25
1068,意见,valinta,nouns,0.95
1069,可怕,surullinen,adjectives,0.73
1070,汽车,hissi,nouns,0.05
1071,问,rukoilla,verbs,0.78
1072,政府,lisko,nouns,0.0
1073,大致地,helposti,adverbs,0.15
1074,乐队,kestävyys,nouns,0.0
1075,保持,säilyttää,verbs,3.59
1076,柔软,väkivaltainen,adjectives,0.1
1077,远足,kiivetä,verbs,1.13
1078,沙发,tuoli,nouns,2.24
1079,首词,syntaksi,nouns,0.78
1080,预测,määrittää,verbs,0.39
1081,地区,vyöhyke,nouns,4.57
1082,參加,jättää,verbs,0.23
1083,州长,keisari,nouns,0.69
1084,吉他,rumpu,nouns,1.03
1085,智力,logiikka,nouns,2.9
1086,游行,yhtye,nouns,0.33
1087,阳光,omena,nouns,0.09
1088,蔗糖,hiilihydraatti,nouns,3.13
1089,船,ankkuri,nouns,0.63
1090,满载,painava,adjectives,1.11
1091,木,peitto,nouns,0.0
1092,非法,moraaliton,adjectives,1.89
1093,坚固地,pehmeästi,adverbs,0.2
1094,统治,voittaa,verbs,0.78
1095,高高兴兴地,turvallisesti,adverbs,0.73
1096,枫木,tammi,nouns,2.13
1097,契约,sopimus,nouns,4.72
1098,成熟地,hurskaasti,adverbs,0.75
1099,公平,epäreilusti,adverbs,0.38
1100,飑,tuuli,nouns,3.56
1101,威士忌酒,shamppanja,nouns,2.03
1102,岛,tehtävä,nouns,0.0
1103,凳子,tuoli,nouns,4.92
1104,建立,luoda,verbs,4.07
1105,天空,aurinko,nouns,0.96
1106,恶化,pyyhkiä,verbs,0.05
1107,强硬,kova,adjectives,2.89
1108,温和,terävä,adjectives,0.0
1109,大灾变,tuli,nouns,0.51
1110,现代,muinainen,adjectives,0.2
1111,款待,maksaa,verbs,0.09
1112,鸟,haukka,nouns,2.65
1113,似乎,teeskennellä,verbs,0.54
1114,针织套衫,jakku,nouns,2.59
1115,人群,kimppu,nouns,0.05
1116,软管,auto,nouns,0.04
1117,草药,marihuana,nouns,2.52
1118,世纪,väkijuoma,nouns,0.0
1119,犹豫,raivostunut,adjectives,0.53
1120,无聊,väsynyt,adjectives,0.54
1121,冬天,kesä,nouns,0.6
1122,弯曲,aggressiivinen,adjectives,0.09
1123,准确地,aktiivisesti,adverbs,0.57
1124,汽车,katu,nouns,0.34
1125,自豪,vahva,adjectives,0.57
1126,骨头,nilkka,nouns,1.03
1127,常规地,normaalisti,adverbs,3.75
1128,保龄,keilaaja,nouns,1.45
1129,派对,naamio,nouns,0.24
1130,自然地,epäluonnollisesti,adverbs,0.38
1131,解决,suorittaa loppuun,verbs,2.32
1132,子程序,laatija,nouns,0.46
1133,章节,yö,nouns,0.0
1134,洞察力,älykkyys,nouns,2.88
1135,魔鬼,jumala,nouns,0.7
1136,分子,atomi,nouns,2.42
1137,检查,tutkia,verbs,2.46
1138,紫罗兰,kukka,nouns,3.13
1139,王子,kuningas,nouns,2.0
1140,形象,idea,nouns,0.5
1141,锤,hampaat,nouns,0.0
1142,客串角色,esitys,nouns,0.55
1143,沙发,pesäpallo,nouns,0.25
1144,新,hiljattainen,adjectives,3.06
1145,妻子,pilli,nouns,0.09
1146,弯曲,kulma,nouns,1.1
1147,手臂,niska,nouns,0.64
1148,红酒,väkijuoma,nouns,3.3
1149,包装纸,satama,nouns,0.0
1150,爆玉米花,elokuvateatteri,nouns,0.43
1151,得到,ostaa,verbs,0.96
1152,眼泪,silmä,nouns,0.68
1153,离开,vetäytyä,verbs,3.28
1154,父亲,vanhempi,nouns,3.83
1155,打,kehys,nouns,0.04
1156,晚上,aamunkoitto,nouns,0.65
1157,副驾驶,kyttä,nouns,0.49
1158,获得,liittyä,verbs,0.1
1159,大概,ehkäpä,adverbs,3.07
1160,旅程,retki,nouns,4.29
1161,尝试,saavuttaa,verbs,0.96
1162,主意,kuva,nouns,0.5
1163,男人,menestyjä,nouns,0.33
1164,踝,luu,nouns,1.03
1165,肺,maksa,nouns,1.12
1166,卖,muistuttaa,verbs,0.0
1167,牛奶,mehu,nouns,1.02
1168,监护人,äiti,nouns,2.85
1169,小说,kirjailija,nouns,0.39
1170,平庸,kunnossa oleva,adjectives,0.48
1171,香槟,viski,nouns,2.03
1172,突变体,sosiobiologia,nouns,0.23
1173,撤离,määrittää,verbs,0.05
1174,流言蜚语,uutiset,nouns,1.59
1175,糟糕,paha,adjectives,3.97
1176,法律,koulu,nouns,0.28
1177,书,kirjallisuus,nouns,2.2
1178,谈判,diplomatia,nouns,2.06
1179,大多,pääasiassa,adverbs,4.6
1180,联合,sokeriruoko,nouns,0.1
1181,脆弱,helppo,adjectives,0.14
1182,合唱,laulaja,nouns,1.77
1183,发展,varainkeruu ,nouns,0.04
1184,匆忙,rynnätä,verbs,3.4
1185,雪,myrsky,nouns,0.91
1186,碗,lautanen,nouns,2.11
1187,出现,jättää,verbs,0.0
1188,流体,suutin,nouns,0.05
1189,除,lisätä,verbs,0.68
1190,饮食,omena,nouns,0.71
1191,发现,tajuta,verbs,3.71
1192,税,tulo,nouns,0.67
1193,奖学金,lukukausimaksu,nouns,0.61
1194,稻草,vaimo,nouns,0.09
1195,恢复,korjata,verbs,1.44
1196,货币,vaihto,nouns,0.6
1197,汽车,automobiili,nouns,5.91
1198,正式地,merkittävästi,adverbs,0.8
1199,拒绝,välttää,verbs,0.73
1200,学习,imeä itseensä,verbs,2.5
1201,叔叔,serkku,nouns,1.03
1202,大致,kärsimättömästi,adverbs,0.35
1203,纸,juliste,nouns,2.21
1204,厨房,kylpyhuone,nouns,0.74
1205,伤心,hauska,adjectives,0.24
1206,球,tykki,nouns,0.0
1207,顶,kylki,nouns,0.39
1208,艺术品,taiteilija,nouns,0.86
1209,保留,unohtaa,verbs,0.14
1210,婴儿,aikuinen,nouns,0.68
1211,酒,viini,nouns,3.21
1212,马,tamma,nouns,3.58
1213,圣歌,pilli,nouns,0.1
1214,滑雪板,hiihtäminen,nouns,1.13
1215,女王,mehiläinen,nouns,0.4
1216,内疚,paha,adjectives,0.55
1217,简单,helppo,adjectives,4.38
1218,呛,hengittää,verbs,0.57
1219,身体,käsivarsi,nouns,0.88
1220,操纵杆,tutka,nouns,0.24
1221,儿子,poika,nouns,3.55
1222,地区,nurkka,nouns,0.72
1223,新鲜,leveä,adjectives,0.0
1224,银行,istuin,nouns,0.09
1225,资料,sanomalehti,nouns,1.42
1226,颚,luu,nouns,1.52
1227,雨,usva,nouns,1.31
1228,家长,aikuinen,nouns,3.19
1229,经济,ekosysteemi,nouns,0.4
1230,器官,maksa,nouns,2.47
1231,应用,galaksi,nouns,0.0
1232,肝脏,elin,nouns,2.47
1233,服从,käyttäytyä,verbs,3.3
1234,意外,katastrofi,nouns,3.65
1235,消失,löytää,verbs,0.15
1236,电影,teatteri,nouns,1.35
1237,浮动,laulaa,verbs,0.0
1238,幻灯片,osoitin,nouns,0.09
1239,代数,operaatio,nouns,0.05
1240,再热,esilämmitys,nouns,0.87
1241,诗人,toimittaja,nouns,0.45
1242,男人,setä,nouns,2.63
1243,诚实地,vilpittömästi,adverbs,4.5
1244,手臂,jalka,nouns,0.92
1245,人,ilmapallo,nouns,0.0
1246,大薄片,lentokone,nouns,0.14
1247,手,ranne,nouns,2.15
1248,保持,vaalia,verbs,1.18
1249,完成,ratkaista,verbs,2.32
1250,草莓,kirsikka,nouns,1.48
1251,慷慨地,ei koskaan,adverbs,0.05
1252,沟通,rukoilla,verbs,0.52
1253,工人,mekaanikko,nouns,2.48
1254,犯罪者,rikollinen,nouns,5.11
1255,懒,kallisarvoinen,adjectives,0.04
1256,牛肉,liha,nouns,3.52
1257,路,moottoritie,nouns,3.96
1258,哥哥,isä,nouns,0.94
1259,爸爸,äiti,nouns,1.08
1260,沙发,sänky,nouns,0.41
1261,人,hahmo,nouns,3.98
1262,文化,yhteiskunta,nouns,1.69
1263,批评,vihata,verbs,0.72
1264,力量,mahti,nouns,3.19
1265,雨,raekuuro,nouns,2.13
1266,笔记本,ase,nouns,0.0
1267,收到,saavuttaa,verbs,0.35
1268,容易,kova,adjectives,0.29
1269,收集,organisoida,verbs,1.0
1270,读,purra,verbs,0.0
1271,扼杀,halata,verbs,0.25
1272,瘦,solakka,adjectives,4.97
1273,不同意,taistella,verbs,0.55
1274,激进,väkivaltainen,adjectives,2.02
1275,懊恼,viha,nouns,2.33
1276,火车,raitiovaunu,nouns,2.06
1277,灯泡,kukka,nouns,0.0
1278,慷慨地,kiltisti,adverbs,1.97
1279,演员,näyttelijätär,nouns,4.03
1280,货币,samanaikaisuus,nouns,0.04
1281,毛,ase,nouns,0.0
1282,秘书,nainen,nouns,0.77
1283,暴风雨,hurrikaani,nouns,3.07
1284,故事,laulu,nouns,0.47
1285,审查,esteettömyys,nouns,0.1
1286,避难所,maja,nouns,1.27
1287,紧紧地,uskomattomasti,adverbs,0.1
1288,机械师,työläinen,nouns,2.48
1289,基督教,protestantti,nouns,3.31
1290,毛,nainen,nouns,0.0
1291,部长,rabbi,nouns,0.24
1292,频繁,oppimaton,adjectives,0.04
1293,声明放弃,tukahduttaa,verbs,0.3
1294,柄,valkuaisaine,nouns,0.0
1295,离开,tulla sisään,verbs,0.18
1296,愉快,ihmeellinen,adjectives,2.17
1297,猫,koira,nouns,0.92
1298,心理学,tiede,nouns,2.5
1299,新,tuore,adjectives,4.3
1300,羊,karitsa,nouns,4.33
1301,雨,lumimyrsky,nouns,1.47
1302,自由,keidas,nouns,0.04
1303,募捐活动,tapahtuma,nouns,1.83
1304,撞,murskata,verbs,1.13
1305,煮,sekoittaa,verbs,0.34
1306,乐趣,peli,nouns,0.63
1307,迅速,vikkelä,adjectives,4.65
1308,保护,säästää,verbs,2.03
1309,沐浴,ilmapallo,nouns,0.05
1310,踢,sattua,verbs,0.81
1311,电池,energia,nouns,1.56
1312,公开地,massiivisesti,adverbs,0.55
1313,木,kivi,nouns,0.39
1314,早餐,pekoni,nouns,0.78
1315,大气层,saastuminen,nouns,0.09
1316,使心烦,sattua,verbs,0.45
1317,保持,menettää,verbs,0.19
1318,教堂,kaapeli,nouns,0.0
1319,搜索,metsästää,verbs,1.36
1320,每当,joskus,adverbs,0.83
1321,谷物,vehnä,nouns,3.24
1322,显微镜,biologi,nouns,0.29
1323,枪,temppu,nouns,0.04
1324,骑,siirrellä,verbs,0.45
1325,中性,ratkaisematon,adjectives,0.57
1326,木,paperi,nouns,0.97
1327,云,ikkuna,nouns,0.0
1328,重新安葬,hauta,nouns,0.92
1329,骨头,käsivarsi,nouns,0.92
1330,追逐,saada kiinni,verbs,1.74
1331,相机,jatko-osa,nouns,0.04
1332,身体,vatsa,nouns,1.86
1333,安全地,onnellisesti,adverbs,0.73
1334,无实体,hengellinen,adjectives,2.57
1335,河,laakso,nouns,1.21
1336,猎物,jumala,nouns,0.0
1337,诚实地,ei koskaan,adverbs,0.0
1338,香烟,tupakka,nouns,5.06
1339,硬币,korvaus,nouns,0.84
1340,正直地,kypsästi,adverbs,0.75
1341,大灾难,onnettomuus,nouns,3.65
1342,感情上,surullisesti,adverbs,1.51
1343,限制,supistaa,verbs,2.98
1344,帽子,takki,nouns,1.39
1345,猎狗,kettu,nouns,1.11
1346,旧,uusi,adjectives,0.34
1347,元,miljonääri,nouns,0.3
1348,杯子,purkki,nouns,2.45
1349,警察,poliitikko,nouns,0.39
1350,精彩,suurenmoinen,adjectives,3.31
1351,肚子,kurssi,nouns,0.0
1352,代码,symboli,nouns,2.75
1353,奇怪,outo,adjectives,4.98
1354,等待,pysyä,verbs,1.54
1355,打算,koettaa,verbs,2.01
1356,挑选,valikoida,verbs,3.58
1357,汽车,silta,nouns,0.24
1358,映像,kuva,nouns,2.44
1359,眼睛,kyynel,nouns,0.68
1360,自豪,uskalias,adjectives,0.61
1361,疼痛,haitta,nouns,1.21
1362,八月,kuukausi,nouns,2.6
1363,粗糙,ruma,adjectives,0.47
1364,生气,onnellinen,adjectives,0.2
1365,坏,mahtava,adjectives,0.05
1366,柠檬,omena,nouns,0.89
1367,总统,pormestari,nouns,1.9
1368,香槟酒,olut,nouns,1.83
1369,父亲,poika,nouns,0.92
1370,警察,sheriffi,nouns,3.66
1371,出租车,linja-auto,nouns,1.9
1372,神经,suoli,nouns,0.54
1373,姊妹,veli,nouns,1.99
1374,撤退,jättää,verbs,3.28
1375,治疗,behaviorismi,nouns,0.35
1376,可靠,vastuullisesti,adverbs,3.52
1377,唱,nauraa,verbs,0.25
1378,分子,matriisi,nouns,0.41
1379,其他,vastapäinen,adjectives,0.29
1380,培根,papu,nouns,0.2
1381,高兴,mieletön,adjectives,0.33
1382,知道,uskoa,verbs,1.3
1383,凯旋,voitto,nouns,3.92
1384,容易,yksinkertainen,adjectives,4.38
1385,戒除,aloittaa,verbs,0.2
1386,保持,omistaa,verbs,0.97
1387,赛跑运动员,urheilija,nouns,3.08
1388,成功,voittaa,verbs,3.51
1389,臀部,huuli,nouns,0.65
1390,遇见,uida,verbs,0.0
1391,追求,suostutella,verbs,0.44
1392,剑,ympäristö,nouns,0.18
1393,弯曲,suora,adjectives,0.34
1394,肚子,laskimo,nouns,0.64
1395,表,auringonlasku,nouns,0.0
1396,米饭,kana,nouns,0.3
1397,疾病,kuume,nouns,2.44
1398,酒,cocktail,nouns,2.88
1399,实际地,ihanteellisesti,adverbs,0.29
1400,军队,partio,nouns,0.67
1401,古老,moderni,adjectives,0.2
1402,滑雪,lumilauta,nouns,1.13
1403,世俗主义,uskonto,nouns,0.25
1404,衣服,jakku,nouns,2.54
1405,数学家,näytös,nouns,0.0
1406,预热,uudelleenlämmitys,nouns,0.87
1407,恐龙,elefantti,nouns,0.84
1408,拒绝,paheksua,verbs,0.74
1409,日落,auringonnousu,nouns,0.88
1410,戒指,sitoumus,nouns,1.14
1411,退出,torjua,verbs,1.06
1412,作者,lukija,nouns,0.73
1413,角度,etäisyys,nouns,0.18
1414,杀,puolustaa,verbs,0.38
1415,警长,kyttä,nouns,3.66
1416,刀,ase,nouns,2.5
1417,鼓,kitara,nouns,1.03
1418,安然,rauhallisesti,adverbs,3.46
1419,老鼠,säilytysastia,nouns,0.0
1420,小,valtava,adjectives,0.29
1421,才能,valmiudet,nouns,4.7
1422,不合理,epäreilusti,adverbs,2.8
1423,舌头,poski,nouns,0.75
1424,死亡,hautaaminen,nouns,0.82
1425,朋友,opettaja,nouns,0.71
1426,被动,väkivaltainen,adjectives,0.1
1427,大,kansallinen,adjectives,0.1
1428,候选人,voittaja,nouns,1.64
1429,议会,kongressi,nouns,3.31
1430,允许,päästää,verbs,3.23
1431,点菜,ruokalista,nouns,0.78
1432,害怕,epävarma,adjectives,0.86
1433,拿,jättää,verbs,0.4
1434,打扰,pahentaa,verbs,0.2
1435,雕塑,patsas,nouns,5.38
1436,给予,kiistää,verbs,0.0
1437,十字架,munkki,nouns,0.29
1438,攻击,rikos,nouns,0.56
1439,鸟,naaraslintu,nouns,2.37
1440,自由,viaton,adjectives,0.34
