ID,ENG,EST,PoS,score
767,reduce,leotama,verbs,0.25
768,win,domineerima,verbs,1.91
769,argue,tõestama,verbs,1.98
770,north,lääs,nouns,1.0
771,currency,vahetus,nouns,1.34
772,capture,imiteerima,verbs,0.57
773,travel,minema,verbs,2.17
774,maid,tüdruk,nouns,1.17
775,foot,liiv,nouns,0.05
776,temper,arst,nouns,0.1
777,illusion,reaalsus,nouns,0.61
778,camera,president,nouns,0.2
779,constitution,senat,nouns,0.61
780,snow,jää,nouns,2.86
781,engine,masin,nouns,2.24
782,evening,päikeseloojang,nouns,1.96
783,telephone,mobiiltelefon,nouns,3.82
784,desire,soovima,verbs,5.11
785,suds,mull,nouns,2.74
786,day,hommik,nouns,1.85
787,gullible,rumal,adjectives,2.83
788,cautiously,tähelepanelikult,adverbs,4.48
789,bargain,penn,nouns,0.17
790,agony,lein,nouns,2.38
791,poverty,jõukus,nouns,0.52
792,task,töö,nouns,3.79
793,get,omandama,verbs,4.34
794,incredibly,tihedalt,adverbs,0.2
795,dinner,hommikusöök,nouns,1.26
796,lend,andma,verbs,2.59
797,pride,rõõm,nouns,1.51
798,loudly,õrnalt,adverbs,0.04
799,popular,tuntud,adjectives,3.25
800,clearly,kindlalt,adverbs,3.5
801,officer,asetäitja,nouns,1.15
802,blue,punane,adjectives,0.56
803,precious,laisk,adjectives,0.15
804,monoculture,põllumajandus,nouns,1.39
805,drought,vesi,nouns,0.34
806,germ,haigusetekitaja,nouns,4.08
807,choose,tahtma,verbs,0.96
808,homeless,miljardär,nouns,0.67
809,tough,kaval,adjectives,0.3
810,melody,rütm,nouns,1.98
811,meat,leib,nouns,0.39
812,therapy,biheiviorism,nouns,0.93
813,building,tuba,nouns,1.16
814,absence,kohalolek,nouns,0.57
815,minor,oluline,adjectives,0.34
816,show,matemaatik,nouns,0.05
817,happy,rahul,adjectives,4.47
818,clothes,kapp,nouns,0.76
819,teeth,luu,nouns,2.09
820,surgery,süda,nouns,0.38
821,scientist,õde,nouns,0.22
822,sadly,emotsionaalselt,adverbs,1.77
823,suspect,arreteerima,verbs,0.72
824,hike,ronima,verbs,2.29
825,lawful,ebaseaduslik,adjectives,0.39
826,nicely,lahkelt,adverbs,4.22
827,decade,sajand,nouns,1.09
828,administration,juhtkond,nouns,3.67
829,irritate,arvama,verbs,0.2
830,offender,kurjategija,nouns,4.39
831,create,ette kujutama,verbs,1.54
832,jeans,naine,nouns,0.15
833,narrow,ulatuslik,adjectives,0.19
834,heavy,suur,adjectives,2.17
835,create,sukelduma,verbs,0.15
836,bean,riis,nouns,0.98
837,university,ülikoolilinnak,nouns,1.95
838,bother,segama,verbs,3.67
839,never,ausalt,adverbs,0.0
840,credit,laenaja,nouns,1.0
841,combine,suhkruroog,nouns,0.45
842,hospital,voodi,nouns,0.6
843,ankle,küünarnukk,nouns,0.79
844,chief,linnapea,nouns,1.99
845,mode,mood,nouns,1.43
846,tired,igav,adjectives,0.91
847,oil,naarits,nouns,0.2
848,send,käivitama,verbs,1.25
849,uncovered,kaetud,adjectives,0.29
850,responsibly,usaldusväärselt,adverbs,3.41
851,plane,leht,nouns,0.15
852,fail,kaotama,verbs,2.24
853,sober,purjus,adjectives,0.34
854,dense,kõva,adjectives,2.42
855,capability,tugevus,nouns,2.66
856,victor,mees,nouns,0.56
857,bottom,ülaosa,nouns,0.6
858,drizzle,vihm,nouns,3.62
859,snake,sisalik,nouns,1.69
860,get,panema,verbs,0.14
861,straw,hümn,nouns,0.0
862,walk,seisma,verbs,0.44
863,beer,alkohol,nouns,2.2
864,job,juhtkond,nouns,1.18
865,bad,ebamoraalne,adjectives,3.51
866,dominate,võitma,verbs,1.91
867,opera,kino,nouns,0.93
868,orderly,sassis,adjectives,0.29
869,book,käsikiri,nouns,2.86
870,lose,nurjuma,verbs,2.24
871,wrathful,kahtlev,adjectives,0.25
872,nail,pea,nouns,0.25
873,hose,auto,nouns,0.2
874,dangerously,ettevaatlikult,adverbs,0.2
875,demolish,purustama,verbs,3.69
876,men,korporatsioon,nouns,0.9
877,infinity,null,nouns,0.76
878,hail,vihm,nouns,2.13
879,win,lööma,verbs,2.34
880,kitchen,uks,nouns,0.29
881,restore,tooma,verbs,0.17
882,viscosity,plärtsatus,nouns,0.26
883,wide,kitsas,adjectives,0.29
884,unmentionable,abieluväline,adjectives,0.63
885,foreclose,püüdma,verbs,0.0
886,cheese,leib,nouns,0.72
887,caution,hool,nouns,3.89
888,spoon,mahl,nouns,0.3
889,winner,tšempion,nouns,4.97
890,exciting,nüri,adjectives,0.09
891,sell,minema,verbs,0.15
892,friend,külaline,nouns,1.96
893,stupid,loll,adjectives,5.19
894,try,mõtlema,verbs,0.45
895,butterfly,roos,nouns,0.2
896,compare,analüüsima,verbs,2.92
897,storm,orkaan,nouns,3.5
898,head,jalg,nouns,0.49
899,neck,selgroog,nouns,1.57
900,reject,hukka mõistma,verbs,1.29
901,nature,floora,nouns,2.62
902,boil,praadima,verbs,1.22
903,push,süüdistama,verbs,0.25
904,disease,nakkus,nouns,3.06
905,side,põhi,nouns,0.69
906,divide,korrutama,verbs,0.51
907,neuropsychology,parapsühholoogia,nouns,1.61
908,receive,saatma,verbs,0.34
909,helpless,haavatav,adjectives,3.95
910,baseball,korvpall,nouns,0.97
911,flexible,kerge,adjectives,1.52
912,easy,suur,adjectives,0.1
913,fraternity,uks,nouns,0.15
914,philosopher,võidusõit,nouns,0.0
915,sharp,sile,adjectives,0.4
916,unformed,ühtne,adjectives,0.3
917,matrix,molekul,nouns,0.39
918,blanket,puit,nouns,0.05
919,appear,osalema,verbs,0.87
920,weave,liikuma,verbs,0.39
921,drawing,mäss,nouns,0.05
922,top,viies,adjectives,0.35
923,disturb,tüütama,verbs,3.67
924,book,teema,nouns,0.48
925,add,jagama,verbs,0.3
926,hard,kerge,adjectives,0.29
927,prophet,preester,nouns,1.41
928,doctor,arst,nouns,4.85
929,motor,paat,nouns,0.61
930,helium,õhk,nouns,1.41
931,inquire,vajama,verbs,0.4
932,paper,puit,nouns,1.21
933,sing,hõljuma,verbs,0.0
934,age,ilu,nouns,0.48
935,unite,jagama,verbs,0.59
936,task,kõrs,nouns,0.1
937,angry,õnnelik,adjectives,0.19
938,sincerely,tõsiselt,adverbs,1.93
939,universe,taevas,nouns,1.25
940,street,põiktänav,nouns,3.33
941,advance,propageerima,verbs,2.69
942,angle,kurv,nouns,1.14
943,intention,tahe,nouns,3.54
944,nail,pöial,nouns,0.94
945,book,artikkel,nouns,0.9
946,free,süütu,adjectives,1.36
947,coin,makse,nouns,1.31
948,assist,abistama,verbs,4.9
949,shoulder,keha,nouns,0.69
950,gin,alkohol,nouns,2.06
951,fail,edu saavutama,verbs,0.34
952,bone,põlv,nouns,0.74
953,rose,liblikas,nouns,0.2
954,competence,võimekus,nouns,4.42
955,band,vastupidavus,nouns,0.15
956,demand,vaidlema,verbs,0.94
957,bishop,peapiiskop,nouns,3.83
958,rain,lumetorm,nouns,0.94
959,determine,evakueerima,verbs,0.05
960,leave,sisenema,verbs,0.29
961,covered,katteta,adjectives,0.29
962,word,kirjandus,nouns,1.61
963,sunset,keel,nouns,0.05
964,choose,hääletama,verbs,4.04
965,elect,määrama,verbs,2.87
966,mansion,skulptor,nouns,0.1
967,potato,või,nouns,0.61
968,employer,töötaja,nouns,0.85
969,sunset,laud,nouns,0.05
970,dirty,kitsas,adjectives,0.25
971,make,looma,verbs,4.1
972,dad,ema,nouns,1.05
973,screen,fonoloogia,nouns,0.1
974,metal,tina,nouns,2.16
975,bat,vampiir,nouns,0.77
976,bone,lihas,nouns,0.82
977,screen,monitor,nouns,4.38
978,wallpaper,taust,nouns,2.94
979,asteroid,täht,nouns,1.87
980,liver,organ,nouns,1.99
981,car,sild,nouns,0.3
982,kidney,organ,nouns,2.05
983,wrong,täpne,adjectives,0.25
984,bad,valelik,adjectives,1.77
985,swim,kohtuma,verbs,0.27
986,planet,täht,nouns,1.96
987,listen,mõistma,verbs,1.19
988,wife,ema,nouns,2.04
989,desert,luide,nouns,1.51
990,sun,taevas,nouns,1.06
991,completely,puhtalt,adverbs,2.16
992,illegal,seaduslik,adjectives,0.39
993,wait,lahkuma,verbs,0.1
994,simulation,robootika,nouns,1.2
995,party,mask,nouns,0.45
996,legal,ohutu,adjectives,1.44
997,quit,tegema,verbs,0.69
998,body,selgroog,nouns,0.99
999,stop,vilistama,verbs,0.15
1000,join,koostööd tegema,verbs,1.83
1001,saint,patune,nouns,0.48
1002,pretend,valetama,verbs,2.81
1003,actively,õnnelikult,adverbs,0.96
1004,magnitude,sügavus,nouns,2.51
1005,opposite,ainulaadne,adjectives,0.94
1006,popcorn,kino,nouns,0.67
1007,carefully,ohtlikult,adverbs,0.2
1008,sword,keskkond,nouns,0.0
1009,strange,kaval,adjectives,0.57
1010,word,lehekülg,nouns,0.62
1011,wrapper,sadam,nouns,0.0
1012,cat,lemmikloom,nouns,2.42
1013,worker,tööandja,nouns,1.74
1014,sober,ratsionaalne,adjectives,2.91
1015,hurt,ärritama,verbs,2.49
1016,smooth,terav,adjectives,0.4
1017,go,algama,verbs,1.07
1018,fluid,tila,nouns,0.64
1019,deny,aktsepeerima,verbs,0.19
1020,undisclosed,avalik,adjectives,0.62
1021,join,lisama,verbs,2.15
1022,television,stsenarist,nouns,0.87
1023,hear,kuulama,verbs,3.57
1024,sadness,rõõm,nouns,0.54
1025,speed,post,nouns,0.15
1026,boat,mootor,nouns,0.61
1027,doorway,väljapääs,nouns,2.8
1028,flexible,elastne,adjectives,4.08
1029,teach,harima,verbs,5.17
1030,brother,isa,nouns,0.89
1031,obvious,märgatav,adjectives,3.99
1032,god,kurat,nouns,0.87
1033,celebration,tseremoonia,nouns,3.29
1034,save,hävitama,verbs,0.15
1035,away,kodus,adverbs,0.51
1036,deck,põrand,nouns,1.59
1037,barn,maja,nouns,1.13
1038,dirty,kleepuv,adjectives,1.5
1039,ask,anuma,verbs,2.75
1040,performer,laul,nouns,0.74
1041,arm,keha,nouns,0.66
1042,parapsychology,neuropsühholoogia,nouns,1.61
1043,floor,uks,nouns,0.64
1044,antecedent,minevik,nouns,1.91
1045,child,mees,nouns,0.67
1046,glass,märk,nouns,0.19
1047,attend,saatma,verbs,0.35
1048,despise,laadima,verbs,0.0
1049,bedroom,voodi,nouns,1.17
1050,public,privaatne,adjectives,0.64
1051,medium,uudised,nouns,0.7
1052,parsley,muffin,nouns,0.2
1053,literature,sõna,nouns,1.61
1054,known,populaarne,adjectives,3.25
1055,strongly,ametlikult,adverbs,0.66
1056,remind,unustama,verbs,0.39
1057,honestly,siiralt,adverbs,5.0
1058,course,kõht,nouns,0.05
1059,yard,meeter,nouns,1.81
1060,lock,võti,nouns,0.94
1061,apple,mahl,nouns,1.23
1062,journey,reis,nouns,5.02
1063,electric,mehaaniline,adjectives,0.62
1064,illness,palavik,nouns,2.37
1065,madly,valjult,adverbs,1.39
1066,enter,minema,verbs,1.5
1067,cinnamon,komm,nouns,0.52
1068,table,päikeseloojang,nouns,0.05
1069,often,harva,adverbs,0.41
1070,liquor,sajand,nouns,0.0
1071,old,uus,adjectives,0.39
1072,dishonest,halb,adjectives,1.77
1073,strange,pentsik,adjectives,5.32
1074,vein,valik,nouns,0.05
1075,emotion,meeleolu,nouns,3.55
1076,want,ihaldama,verbs,5.11
1077,retreat,lahkuma,verbs,2.61
1078,kill,pooma,verbs,1.57
1079,fact,tõend,nouns,2.67
1080,caterpillar,siidiuss,nouns,2.19
1081,salt,vesi,nouns,0.42
1082,dumb,rumal,adjectives,4.46
1083,madly,kurvalt,adverbs,0.34
1084,flower,uskumus,nouns,0.17
1085,play,kaklema,verbs,0.35
1086,toy,kuup,nouns,0.35
1087,monitor,ekraan,nouns,4.38
1088,censorship,vabadus,nouns,0.32
1089,outlander,tulnukas,nouns,2.17
1090,information,entroopia,nouns,1.14
1091,detach,poolitama,verbs,2.94
1092,satire,müüt,nouns,0.57
1093,polyester,puuvill,nouns,0.93
1094,dull,tüdinud,adjectives,1.99
1095,sadly,pööraselt,adverbs,0.34
1096,book,tekst,nouns,2.21
1097,goal,võitja,nouns,0.56
1098,phone,ohver,nouns,0.15
1099,win,edu saavutama,verbs,3.64
1100,rice,uba,nouns,0.98
1101,leaf,puu,nouns,0.91
1102,destroy,looma,verbs,0.34
1103,champagne,viski,nouns,1.06
1104,never,harva,adverbs,1.48
1105,liberty,tsensuur,nouns,0.32
1106,twice,alati,adverbs,0.07
1107,reef,rand,nouns,0.79
1108,stay,ootama,verbs,1.67
1109,calf,pull,nouns,1.56
1110,action,suund,nouns,1.5
1111,surprise,tähistama,verbs,0.54
1112,key,lukk,nouns,0.94
1113,similar,samasugune,adjectives,4.97
1114,remind,ütlema,verbs,1.76
1115,keep,andma,verbs,0.25
1116,battle,vallutus,nouns,2.12
1117,ordinary,külm,adjectives,0.2
1118,coast,kahuripaat,nouns,0.39
1119,obey,kuulama,verbs,1.06
1120,drink,neelama,verbs,1.99
1121,sociobiology,mutant,nouns,0.35
1122,bronchitis,paratsetamol,nouns,0.54
1123,canyon,org,nouns,3.78
1124,tail,kauss,nouns,0.0
1125,confession,eitamine,nouns,0.77
1126,bunch,rahvahulk,nouns,2.87
1127,steeple,kabel,nouns,1.52
1128,furniture,voodi,nouns,1.69
1129,aim,tabama,verbs,1.31
1130,concept,uskumus,nouns,1.72
1131,wrist,käsivars,nouns,1.72
1132,gather,osalema,verbs,1.07
1133,needy,abitu,adjectives,2.92
1134,dignity,tunnus,nouns,0.24
1135,catch,kinni püüdma,verbs,4.15
1136,never,hiljem,adverbs,0.32
1137,chair,pink,nouns,3.26
1138,keep,omama,verbs,2.54
1139,behave,alluma,verbs,1.52
1140,modest,rikkumata,adjectives,0.82
1141,citrus,apelsin,nouns,3.04
1142,condition,pakt,nouns,0.44
1143,split,eraldama,verbs,2.94
1144,narrow,lai,adjectives,0.29
1145,reject,tagasi võtma,verbs,1.4
1146,unfairly,ausalt,adverbs,0.29
1147,president,reostus,nouns,0.17
1148,reduce,langetama,verbs,3.48
1149,water,põud,nouns,0.34
1150,gossip,uudised,nouns,2.17
1151,forget,ignoreerima,verbs,1.19
1152,needy,ebakindel,adjectives,1.54
1153,growth,väetis,nouns,0.89
1154,argue,karjuma,verbs,1.39
1155,brightness,täht,nouns,1.01
1156,cable,kabel,nouns,0.0
1157,repair,taastama,verbs,4.16
1158,statistics,tennis,nouns,0.2
1159,know,aru saama,verbs,3.0
1160,acetaminophen,bronhiit,nouns,0.54
1161,save,uppuma,verbs,0.4
1162,atmosphere,osoon,nouns,2.29
1163,prestige,jõukus,nouns,1.51
1164,ideally,realistlikult,adverbs,0.72
1165,vein,käsi,nouns,0.44
1166,shirt,kampsun,nouns,1.16
1167,think,otsustama,verbs,1.97
1168,week,nädalavahetus,nouns,1.01
1169,root,muru,nouns,0.86
1170,confidence,ise,nouns,1.06
1171,buy,saama,verbs,1.89
1172,remind,müüma,verbs,0.0
1173,mainboard,emaplaat,nouns,3.09
1174,day,koidik,nouns,1.96
1175,caliber,vihmavari,nouns,0.05
1176,athlete,jooksja,nouns,2.46
1177,adversary,oponent,nouns,5.44
1178,choice,peatükk,nouns,0.4
1179,island,rand,nouns,1.05
1180,goat,lehm,nouns,0.98
1181,journal,artikkel,nouns,1.8
1182,prosecutor,advokaat,nouns,2.35
1183,drink,tõstma,verbs,0.4
1184,importantly,tõsiselt,adverbs,2.01
1185,proof,fakt,nouns,2.67
1186,attend,vaidlema,verbs,0.1
1187,erode,lubama,verbs,0.1
1188,limp,kõndima,verbs,1.8
1189,explore,avastama,verbs,2.6
1190,funny,kurb,adjectives,0.46
1191,ball,reket,nouns,0.9
1192,people,sent,nouns,0.05
1193,penny,tehing,nouns,0.17
1194,wagon,konteiner,nouns,1.05
1195,wisdom,intelligentsus,nouns,4.28
1196,night,peatükk,nouns,0.05
1197,grade,kool,nouns,0.96
1198,beauty,sonett,nouns,0.46
1199,silently,passivselt,adverbs,1.37
1200,sand,jalg,nouns,0.05
1201,information,raamat,nouns,1.01
1202,instructor,õpetaja,nouns,4.12
1203,softly,valjusti,adverbs,0.14
1204,imitate,portreteerima,verbs,2.66
1205,sculptor,mõis,nouns,0.1
1206,mine,kalju,nouns,0.27
1207,artist,kunstiteos,nouns,1.14
1208,radical,vägivaldne,adjectives,1.16
1209,boy,sõdur,nouns,0.44
1210,wife,kõrs,nouns,0.0
1211,baseball,diivan,nouns,0.1
1212,curved,agressiivne,adjectives,0.25
1213,pesticide,putukas,nouns,0.86
1214,buy,varastama,verbs,0.41
1215,compete,lõpetama,verbs,0.89
1216,new,kasutamata,adjectives,4.42
1217,breathe,lämbuma,verbs,0.35
1218,management,amet,nouns,1.18
1219,room,voodi,nouns,0.54
1220,fragile,jäik,adjectives,0.25
1221,alloy,teras,nouns,2.81
1222,neutral,otsustamata,adjectives,1.97
1223,cigarette,tubakas,nouns,2.52
1224,flower,mugul,nouns,0.73
1225,ozone,atmosfäär,nouns,2.29
1226,grow,kahanema,verbs,0.34
1227,ride,segama,verbs,0.1
1228,helpless,hädaline,adjectives,2.92
1229,heater,vihmavari,nouns,0.05
1230,plane,lennujaam,nouns,0.89
1231,slender,peenike,adjectives,5.24
1232,symbol,krüptogramm,nouns,2.24
1233,boy,poeg,nouns,2.09
1234,vector,maatriks,nouns,1.65
1235,princess,pruut,nouns,0.79
1236,church,katedraal,nouns,3.95
1237,juice,piim,nouns,0.81
1238,roughly,marginaalselt,adverbs,0.91
1239,loudly,pööraselt,adverbs,1.39
1240,tooth,suu,nouns,0.98
1241,christian,protestant,nouns,3.03
1242,move,lõimima,verbs,0.39
1243,corner,ala,nouns,0.56
1244,yell,kiljuma,verbs,3.5
1245,hard,keeruline,adjectives,5.17
1246,eye,kulm,nouns,1.32
1247,brain,närv,nouns,1.17
1248,underwear,keha,nouns,0.56
1249,sultan,ministeerium,nouns,0.26
1250,princess,kuningas,nouns,1.08
1251,cheap,taskukohane,adjectives,3.93
1252,parade,rahvahulk,nouns,1.83
1253,king,pritsess,nouns,1.08
1254,hungry,janune,adjectives,1.43
1255,help,küsima,verbs,0.6
1256,give,varastama,verbs,0.19
1257,screenwriter,televisioon,nouns,0.87
1258,permit,heaks kiitma,verbs,4.23
1259,calmly,rahumeelselt,adverbs,4.55
1260,course,tegu,nouns,1.5
1261,session,patsient,nouns,0.48
1262,affordable,odav,adjectives,3.93
1263,man,sõjamees,nouns,1.17
1264,topology,struktuur,nouns,1.71
1265,immoral,illegaalne,adjectives,2.11
1266,tea,sidrun,nouns,0.34
1267,weak,võimas,adjectives,0.14
1268,determine,prognoosima,verbs,1.99
1269,shelter,hütt,nouns,1.66
1270,make,koostama,verbs,3.4
1271,beauty,iga,nouns,0.48
1272,kick,haiget tegema,verbs,1.41
1273,grade,hindama,verbs,4.89
1274,timber,palk,nouns,2.91
1275,nurse,teadlane,nouns,0.22
1276,minister,rabi,nouns,3.69
1277,accept,uskuma,verbs,1.54
1278,presence,uks,nouns,0.2
1279,hole,abikaasa (naine),nouns,0.05
1280,watch,seelik,nouns,0.1
1281,ancient,uus,adjectives,0.24
1282,recommend,vastu võtma,verbs,0.25
1283,arm,põlv,nouns,0.54
1284,fur,naine,nouns,0.2
1285,essay,kodutöö,nouns,2.26
1286,rude,kriitiline,adjectives,1.02
1287,house,küün,nouns,1.13
1288,kill,hävitama,verbs,2.59
1289,reprimand,nõudma,verbs,0.34
1290,fame,jõukus,nouns,1.17
1291,rail,aed,nouns,0.64
1292,cash,raha,nouns,4.71
1293,box,lift,nouns,0.19
1294,relaxed,rahulik,adjectives,4.58
1295,disappear,kahanema,verbs,1.39
1296,door,aken,nouns,0.79
1297,rock,miin,nouns,0.27
1298,accept,ära ütlema,verbs,0.34
1299,peninsula,saar,nouns,2.07
1300,get,ostma,verbs,1.89
1301,alcohol,viski,nouns,2.01
1302,mud,muld,nouns,3.04
1303,listen,õppima,verbs,1.29
1304,hand,ranne,nouns,1.6
1305,camera,järg,nouns,0.05
1306,imagine,teesklema,verbs,2.13
1307,monk,preester,nouns,2.66
1308,palace,pilvelõhkuja,nouns,0.71
1309,town,suurlinn,nouns,2.48
1310,snowboard,suusatamine,nouns,1.67
1311,flee,põgenema,verbs,5.04
1312,burn,lämmatama,verbs,0.2
1313,newspaper,informatsioon,nouns,1.21
1314,proud,ülbe,adjectives,3.4
1315,apocalypse,tuli,nouns,0.59
1316,page,sõna,nouns,0.62
1317,beautifully,elegantselt,adverbs,3.37
1318,worker,kaamera,nouns,0.05
1319,usually,ebaregulaarselt,adverbs,0.32
1320,decide,valima,verbs,3.83
1321,liberty,priius,nouns,5.42
1322,bath,tuba,nouns,0.42
1323,plenty,küllus,nouns,4.7
1324,alien,võõramaalane,nouns,2.17
1325,rhythm,meloodia,nouns,1.98
1326,size,ulatus,nouns,4.06
1327,yarn,niit,nouns,2.66
1328,try,veenma,verbs,0.81
1329,hysteria,segadus,nouns,2.21
1330,please,meelt lahutama,verbs,2.08
1331,clean,plekitu,adjectives,4.84
1332,fertilizer,kasv,nouns,0.89
1333,foreskin,ümberlõikus,nouns,1.04
1334,catastrophe,õnnetus,nouns,3.78
1335,give,hoidma,verbs,0.25
1336,approve,lubama,verbs,4.23
1337,compass,elevant,nouns,0.55
1338,grass,sammal,nouns,1.66
1339,number,number,nouns,4.88
1340,ordinary,uskumatu,adjectives,0.34
1341,word,väljend,nouns,1.86
1342,destroy,tapma,verbs,2.59
1343,complain,tooma,verbs,0.05
1344,cameo,etteaste,nouns,1.09
1345,demon,ingel,nouns,0.81
1346,bored,nüri,adjectives,1.99
1347,never,heldelt,adverbs,0.1
1348,airport,lennuk,nouns,0.89
1349,discussion,vaidlus,nouns,2.54
1350,employee,tööandja,nouns,0.85
1351,game,lõbu,nouns,1.86
1352,sell,laenama,verbs,0.34
1353,whiskey,šampus,nouns,1.06
1354,apartment,maja,nouns,2.38
1355,whenever,vahepeal,adverbs,0.97
1356,search,pärima,verbs,1.96
1357,essential,vajalik,adjectives,4.39
1358,awful,suurepärane,adjectives,0.29
1359,go,lubama,verbs,0.29
1360,speak,tunnistama,verbs,1.02
1361,mouse,juhtkond,nouns,0.0
1362,death,matmine,nouns,1.42
1363,smart,loll,adjectives,0.39
1364,coffee,uba,nouns,1.04
1365,portray,imiteerima,verbs,2.66
1366,candidate,võitja,nouns,0.98
1367,unusual,haruldane,adjectives,4.54
1368,judge,otsustama,verbs,2.94
1369,chorus,laulja,nouns,1.39
1370,overcast,prognoos,nouns,0.66
1371,skill,intelligentsus,nouns,1.77
1372,mediocre,igav,adjectives,2.28
1373,book,piibel,nouns,1.52
1374,assault,välja vihastama,verbs,1.07
1375,brick,sein,nouns,0.91
1376,agreement,pakt,nouns,4.9
1377,brother,õde,nouns,1.44
1378,deeply,enamasti,adverbs,0.51
1379,dairy,mesi,nouns,0.3
1380,nerve,soolikas,nouns,0.79
1381,student,professor,nouns,0.67
1382,hammer,hambad,nouns,0.1
1383,mother,issi,nouns,1.05
1384,legion,armee,nouns,3.22
1385,archaeology,antropoloogia,nouns,1.13
1386,burial,surm,nouns,1.42
1387,apple,päikesepaiste,nouns,0.2
1388,tail,kalju,nouns,0.0
1389,great,hiilgav,adjectives,4.3
1390,leg,käsivars,nouns,1.11
1391,keyboard,valgus,nouns,0.1
1392,fantastically,hämmastavalt,adverbs,4.74
1393,float,allkirjastama,verbs,0.0
1394,cathedral,lagi,nouns,0.5
1395,fight,mängima,verbs,0.35
1396,house,korter,nouns,2.38
1397,race,nädalavahetus,nouns,0.0
1398,movable,paindlik,adjectives,2.5
1399,cytoplasm,number,nouns,0.05
1400,apple,dieet,nouns,0.49
1401,investigate,kontrollima,verbs,3.5
1402,honest,süüdi,adjectives,0.4
1403,strike,mööda lööma,verbs,0.4
1404,deteriorate,pühkima,verbs,0.05
1405,style,mood,nouns,4.21
1406,brother,poeg,nouns,0.89
1407,release,püüdma,verbs,0.44
1408,beg,laenama,verbs,1.48
1409,once,otsekohe,adverbs,0.43
1410,take,haarama,verbs,3.59
1411,nozzle,vedelik,nouns,0.64
1412,source,kast,nouns,0.0
1413,bed,magamistuba,nouns,1.17
1414,strangely,ebatavaliselt,adverbs,4.93
1415,seat,pank,nouns,0.2
1416,bath,trikk,nouns,0.0
1417,clean,sassis,adjectives,0.29
1418,begin,alustama,verbs,4.64
1419,chicken,steik,nouns,0.71
1420,south,põhi,nouns,0.91
1421,bean,peekon,nouns,0.29
1422,sugarcane,kombain,nouns,0.45
1423,cricket,toetaja,nouns,0.0
1424,powerful,vägev,adjectives,5.0
1425,whistle,peatuma,verbs,0.15
1426,strange,imelik,adjectives,5.49
1427,truly,perfektselt,adverbs,0.8
1428,withdraw,imenduma,verbs,0.05
1429,strong,uhke,adjectives,0.71
1430,recent,uus,adjectives,4.12
1431,candy,kaneel,nouns,0.52
1432,roughly,usaldusväärselt,adverbs,0.15
1433,create,tegema,verbs,4.1
1434,satisfy,heameelt tegema,verbs,3.21
1435,city,väikelinn,nouns,2.48
1436,cliff,küngas,nouns,1.43
1437,tobacco,sigaret,nouns,2.52
1438,narrow,pikk,adjectives,0.6
1439,vacate,välja tõstma,verbs,1.39
1440,car,tõld,nouns,2.02
1441,ledge,mägi,nouns,0.82
1442,rattle,lärm,nouns,2.07
1443,depth,ulatus,nouns,2.51
1444,actively,täpselt,adverbs,0.29
1445,say,osalema,verbs,0.51
1446,company,äri,nouns,4.21
1447,shame,kurbus,nouns,1.14
1448,wife,vann,nouns,0.0
1449,gallery,advokaat,nouns,0.0
1450,easy,raske,adjectives,0.29
1451,modern,iidne,adjectives,0.34
1452,strength,vägi,nouns,4.18
1453,curve,nurk,nouns,1.14
1454,ostrich,puuvijaaed,nouns,0.0
1455,hold,kallistama,verbs,2.15
1456,map,ruut,nouns,0.25
1457,infection,tõbi,nouns,3.06
1458,television,kino,nouns,1.79
1459,court,kohtunik,nouns,1.3
1460,unusually,kummaliselt,adverbs,4.93
1461,foolish,lapsik,adjectives,1.84
1462,purse,kott,nouns,3.42
1463,soul,vend,nouns,0.3
1464,class,kolledž,nouns,0.96
1465,teeth,haamer,nouns,0.1
1466,happiness,rahu,nouns,2.37
1467,engage,abielluma,verbs,1.32
1468,warn,peatuma,verbs,0.54
1469,pollution,president,nouns,0.17
1470,sunset,päikesetõus,nouns,0.82
1471,terminally,erinevalt,adverbs,0.14
1472,decide,mõtlema,verbs,1.97
1473,physician,doktor,nouns,4.85
1474,target,nool,nouns,0.59
1475,society,kultuur,nouns,2.8
1476,covered,riietatud,adjectives,3.42
1477,here,nüüd,adverbs,1.71
1478,advise,soovitama,verbs,4.62
1479,tell,meelde tuletama,verbs,1.76
1480,girl,laps,nouns,1.73
1481,hard,tihe,adjectives,2.42
1482,construction,purustamine,nouns,0.53
1483,sensor,radiaator,nouns,0.22
1484,please,rahuldama,verbs,3.21
1485,glare,kissitama,verbs,1.19
1486,term,semester,nouns,4.2
1487,carry,tooma,verbs,2.05
1488,fraud,korruptsioon,nouns,3.08
1489,organ,maks,nouns,1.99
1490,cryptogram,sümbol,nouns,2.24
1491,investigate,järgima,verbs,1.94
1492,cube,täring,nouns,2.04
1493,payment,münt,nouns,1.31
1494,stone,puit,nouns,0.59
1495,truly,oluliselt,adverbs,0.77
1496,leave,saabuma,verbs,0.44
1497,bank,iste,nouns,0.2
1498,jacket,sviiter,nouns,2.12
1499,repress,loobuma,verbs,0.34
1500,independently,vastutustundlikult,adverbs,1.15
1501,gathering,kokkukutsumine,nouns,3.63
1502,log,puit,nouns,2.44
1503,great,kohutav,adjectives,0.29
1504,convince,proovima,verbs,0.81
1505,spicy,nõrk,adjectives,0.0
1506,coat,riided,nouns,1.77
1507,stomach,magamistuba,nouns,0.1
1508,come,tooma,verbs,0.54
