ID,CYM,ENG,PoS,score
753,wedi gorffen,complete,adjectives,5.63
754,senedd,congress,nouns,2.66
755,egluro,discuss,verbs,1.65
756,syml,hard,adjectives,0.04
757,braich,bone,nouns,0.92
758,plesio,agree,verbs,0.69
759,car,factory,nouns,0.05
760,ffêr,window,nouns,0.0
761,yn hapus,safely,adverbs,0.13
762,coeden,leaf,nouns,1.01
763,prawf,verdict,nouns,1.66
764,ffôn,booth,nouns,0.27
765,llyfr,theme,nouns,0.14
766,llwyddo,try,verbs,0.83
767,amlen,decoration,nouns,0.0
768,cwch,deck,nouns,0.79
769,rabi,minister,nouns,3.04
770,dec,floor,nouns,2.04
771,afal,diet,nouns,0.54
772,cyfathrebu,conversation,nouns,3.86
773,yn wreiddiol,creatively,adverbs,1.81
774,cwningen,cat,nouns,0.81
775,canrif,liquor,nouns,0.0
776,fel mater o drefn,normally,adverbs,4.58
777,roboteg,simulation,nouns,0.65
778,cwpwrdd,clothes,nouns,0.71
779,arferol,weird,adjectives,0.04
780,rhifyddeg,logic,nouns,1.33
781,ci,horse,nouns,0.53
782,brwydro,disagree,verbs,1.33
783,awyren,helicopter,nouns,2.36
784,drysu,learn,verbs,0.0
785,oedolyn,guardian,nouns,1.47
786,pur,modest,adjectives,0.92
787,lemwn,tea,nouns,0.39
788,gwn,people,nouns,0.05
789,crebachu,grow,verbs,0.09
790,cyw iâr,steak,nouns,0.76
791,meddwl,contemplate,verbs,4.45
792,caban,camp,nouns,0.79
793,cyfyngu,reduce,verbs,2.74
794,arwyddluniau,dignity,nouns,0.19
795,personol,private,adjectives,3.86
796,steil,elegance,nouns,2.85
797,glaw,mist,nouns,1.79
798,camera,lens,nouns,1.4
799,penderfynu,think,verbs,1.72
800,perygl,threat,nouns,4.23
801,amnewidyn,exchange,nouns,2.95
802,goroesi,live,verbs,3.24
803,crisial,glass,nouns,2.04
804,ynad,judge,nouns,4.34
805,ystadegau,tennis,nouns,0.0
806,ail,minute,nouns,0.54
807,gwybodaeth,entropy,nouns,0.48
808,angen,arrange,verbs,0.0
809,deallusrwydd,logic,nouns,2.34
810,bar,jail,nouns,0.24
811,swcros,carbohydrate,nouns,1.52
812,dod yn,organize,verbs,0.0
813,cromlin,angle,nouns,1.04
814,anghytuno,fight,verbs,1.33
815,gwyddbwyll,check,nouns,0.07
816,gweithiwr,camera,nouns,0.0
817,synhwyrydd,radiator,nouns,0.22
818,gwisgo,tear,verbs,0.31
819,sant,sinner,nouns,0.42
820,hir,short,adjectives,0.09
821,ffens,rail,nouns,0.59
822,siwmper,cotton,nouns,0.3
823,ystafell wely,stomach,nouns,0.0
824,ysglyfaeth,god,nouns,0.0
825,poen,grief,nouns,2.63
826,modd,way,nouns,3.56
827,cadw,retain,verbs,4.72
828,yn agos,locally,adverbs,3.71
829,tywynnu,squint,verbs,0.54
830,angenrheidiol,essential,adjectives,4.94
831,jet,plane,nouns,4.64
832,cyhyrau,tongue,nouns,1.71
833,diymhongar,flexible,adjectives,0.2
834,rhythm,poem,nouns,0.71
835,gwisg unffurf,crochet,nouns,0.0
836,llwyddo,fail,verbs,0.09
837,plentyn,girl,nouns,1.58
838,amherchnogi,give,verbs,0.54
839,cig,bacon,nouns,2.2
840,digwyddiad codi arian,event,nouns,2.04
841,log,bath,nouns,0.0
842,corff,chest,nouns,0.93
843,cyfnod,decade,nouns,1.58
844,gofyn,plead,verbs,2.4
845,anniben,ugly,adjectives,1.02
846,yn hysbys,national,adjectives,0.0
847,gwresogydd,umbrella,nouns,0.0
848,ysgytlaeth,juice,nouns,0.9
849,oeraidd,rough,adjectives,0.35
850,yn gyfrinachol,confidently,adverbs,0.42
851,yn dawel,loudly,adverbs,0.04
852,ymgeisio,intend,verbs,0.82
853,dal gafael,keep,verbs,4.72
854,hyblyg,modest,adjectives,0.2
855,beio,accuse,verbs,4.63
856,gair,dictionary,nouns,1.19
857,popcorn,cinema,nouns,0.46
858,cartref,state,nouns,0.27
859,steil,fashion,nouns,4.65
860,heno,today,adverbs,1.52
861,doethineb,intelligence,nouns,3.63
862,anghefnogi,frustrate,verbs,1.59
863,anghorfforol,spiritual,adjectives,0.69
864,yfory,tonight,adverbs,0.32
865,tribiwnlys,justice,nouns,1.4
866,troi allan,leave,verbs,0.47
867,car,tank,nouns,0.71
868,dysgu,punish,verbs,0.05
869,gwirod,century,nouns,0.0
870,crensian,snap,verbs,1.35
871,gwin,alcohol,nouns,1.89
872,twp,dumb,adjectives,5.34
873,fflat,hotel,nouns,0.53
874,twymyn,illness,nouns,3.02
875,crebachu,disappear,verbs,1.59
876,poenydio,irritate,verbs,3.51
877,gwartheg,cow,nouns,4.52
878,staff,vocalist,nouns,0.0
879,athro,student,nouns,0.57
880,neigaredd,king,nouns,0.3
881,tywydd,snow,nouns,1.01
882,tymestl,blanket,nouns,0.0
883,miniog,dull,adjectives,0.14
884,dyfarniad,trial,nouns,1.66
885,ogleuo,stink,verbs,3.81
886,nod,club,nouns,0.0
887,drewi,smell,verbs,3.81
888,wedi blino,boring,adjectives,0.51
889,dryswch,hysteria,nouns,1.76
890,arwydd,symbol,nouns,4.58
891,cyfiawnder,tribunal,nouns,1.4
892,pwnc,story,nouns,1.0
893,styden,guy,nouns,0.99
894,ewin,head,nouns,0.05
895,metr,yard,nouns,1.51
896,bacwn,bean,nouns,0.14
897,yn gynnil,calmly,adverbs,0.84
898,matrics,vector,nouns,1.65
899,galaeth,astronomer,nouns,0.42
900,maddau,forget,verbs,0.67
901,gadael,begin,verbs,0.04
902,hen,fresh,adjectives,0.04
903,yn drist,emotionally,adverbs,1.98
904,allwedd,house,nouns,0.27
905,yn agored i niwed,easy,adjectives,0.39
906,go iawn,fake,adjectives,0.09
907,buwch,goat,nouns,1.02
908,awyr,sun,nouns,0.66
909,anghenus,insecure,adjectives,1.09
910,ardderchog,great,adjectives,4.64
911,weithiau,surely,adverbs,0.04
912,tric,size,nouns,0.0
913,ap,galaxy,nouns,0.0
914,ysgwydd,arm,nouns,1.33
915,atgoffa,forget,verbs,0.09
916,ffonoleg,screen,nouns,0.0
917,bws,vehicle,nouns,2.46
918,soffa,chair,nouns,2.65
919,gwerthfawr,lazy,adjectives,0.0
920,anaml,usually,adverbs,0.17
921,yn wahanol,oddly,adverbs,1.99
922,pennod,choice,nouns,0.0
923,bagiau,circumnavigation,nouns,0.07
924,ymlid,follow,verbs,2.27
925,symbol,cryptogram,nouns,2.39
926,ffa,bacon,nouns,0.14
927,chwilio,find,verbs,1.51
928,seciwlarydd,religion,nouns,0.76
929,banereg,flag,nouns,0.92
930,cyfarfod,leave,verbs,0.05
931,oedran,beauty,nouns,0.28
932,gwely,couch,nouns,0.96
933,cynhwysor,diode,nouns,0.77
934,basged,ball,nouns,0.05
935,gwerthu,go,verbs,0.0
936,mwtant,sociobiology,nouns,0.1
937,gwydr,badge,nouns,0.04
938,nofel,writer,nouns,0.81
939,benthyg,keep,verbs,0.22
940,ffordd,manner,nouns,3.56
941,rasio,philosopher,nouns,0.0
942,braf,generous,adjectives,1.22
943,gamblo,bet,verbs,5.52
944,yn fawr,brightly,adverbs,0.32
945,mintys poethion,gum,nouns,0.54
946,pwrs,bag,nouns,2.52
947,brenin,princess,nouns,0.83
948,ymadael,wait,verbs,0.0
949,llawenydd,pride,nouns,1.66
950,poblogaidd,known,adjectives,2.29
951,colli,fail,verbs,3.04
952,mosäig,basilica,nouns,0.54
953,noswaith,dusk,nouns,3.94
954,yn hawdd,roughly,adverbs,0.05
955,cyfrwng,news,nouns,0.15
956,cotwm,polyester,nouns,1.18
957,ffroenell,fluid,nouns,0.04
958,polyester,cotton,nouns,1.18
959,braich,leg,nouns,0.66
960,yr wyddor,pen,nouns,0.04
961,cwrw,alcohol,nouns,2.25
962,prysur,lazy,adjectives,0.0
963,ufuddhau,listen,verbs,1.46
964,ystafell,bed,nouns,0.34
965,cyfreithiwr,attorney,nouns,4.79
966,drws,window,nouns,0.59
967,dyffryn,depression,nouns,0.8
968,pêl-fas,couch,nouns,0.0
969,natur,flora,nouns,2.27
970,tenau,slender,adjectives,4.64
971,erthygl,manuscript,nouns,1.22
972,hercio,walk,verbs,0.66
973,ffrind,guest,nouns,1.26
974,cyntedd,classroom,nouns,0.19
975,braich,vein,nouns,0.24
976,euog,bad,adjectives,1.29
977,purdan,afterworld,nouns,2.36
978,caledwedd,case,nouns,0.15
979,sychu,deteriorate,verbs,0.3
980,injan,motor,nouns,3.6
981,ymddengys,become,verbs,0.77
982,topoleg,structure,nouns,1.71
983,mêr,blood,nouns,0.61
984,marw,bury,verbs,0.94
985,swm,union,nouns,0.24
986,hwyliau,anger,nouns,1.09
987,derbyn,acknowledge,verbs,2.71
988,dibynnu,fail,verbs,0.15
989,acwsteg,sound,nouns,2.95
990,rhesymeg,arithmetic,nouns,1.33
991,seren,brightness,nouns,0.86
992,diflannu,disappear,verbs,5.27
993,gwaelod,side,nouns,0.69
994,tramorwr,translator,nouns,0.3
995,glas,red,adjectives,0.66
996,caled,simple,adjectives,0.04
997,iris,acetylcholine,nouns,0.05
998,malware,worm,nouns,0.07
999,ymddwyn,obey,verbs,2.02
1000,symud,weave,verbs,0.19
1001,syth,curved,adjectives,0.13
1002,corwynt,storm,nouns,3.25
1003,priffordd,car,nouns,0.56
1004,iard,meter,nouns,1.51
1005,troed,head,nouns,0.24
1006,erfyn,plead,verbs,4.38
1007,mefus,cherry,nouns,0.94
1008,anghywir,precise,adjectives,0.05
1009,creulon,unfair,adjectives,1.79
1010,gweithiwr,office,nouns,0.46
1011,derwen,maple,nouns,1.42
1012,dod yn,appear,verbs,0.69
1013,gêm,trick,nouns,0.84
1014,gwas,slave,nouns,2.64
1015,afu,organ,nouns,1.69
1016,diflas,dreary,adjectives,3.52
1017,pobl,dollar,nouns,0.0
1018,dodrefn,apartment,nouns,0.45
1019,bys,toe,nouns,0.51
1020,gwahanu,attach,verbs,0.09
1021,saethydd,pathfinder,nouns,0.21
1022,penderfynu,portray,verbs,0.0
1023,dyn,friend,nouns,0.86
1024,rhodio,wander,verbs,4.38
1025,sylweddoli,discover,verbs,3.54
1026,cludo,lift,verbs,2.0
1027,lleihau,drench,verbs,0.0
1028,stumog,bedroom,nouns,0.0
1029,gorffennol,antecedent,nouns,1.6
1030,stêc,chicken,nouns,0.76
1031,rabi,teacher,nouns,2.41
1032,fisa,globalism,nouns,0.29
1033,awyr,dream,nouns,0.17
1034,stryd,alley,nouns,2.83
1035,priodi,unite,verbs,3.62
1036,yn ofalus,currently,adverbs,0.0
1037,chwedl,satire,nouns,0.22
1038,gadael,arrive,verbs,0.09
1039,deuod,capacitor,nouns,0.77
1040,blwyddyn,birthday,nouns,0.77
1041,potel,jar,nouns,3.05
1042,yn fras,impatiently,adverbs,0.74
1043,yn llawn,basically,adverbs,0.04
1044,gwych,terrific,adjectives,5.5
1045,casglwr,subroutine,nouns,0.31
1046,datgan,announce,verbs,4.57
1047,cig,sandwich,nouns,0.27
1048,amddiffyn,protect,verbs,4.15
1049,gwallgof,unhappy,adjectives,1.12
1050,gwadu,confession,nouns,0.42
1051,gwlyb,sticky,adjectives,0.42
1052,tenis,statistics,nouns,0.0
1053,wisgi,champagne,nouns,1.06
1054,dillad,drawer,nouns,0.45
1055,gwddf,nose,nouns,0.39
1056,smart,dumb,adjectives,0.04
1057,cotwm,sweater,nouns,0.3
1058,busnes,company,nouns,4.21
1059,ffwr,mink,nouns,2.35
1060,swper,meal,nouns,2.75
1061,fflora,nature,nouns,2.27
1062,dimai,wife,nouns,0.05
1063,ystafell ddosbarth,hallway,nouns,0.19
1064,gwely,chair,nouns,0.57
1065,diafol,god,nouns,0.67
1066,yn ddwfn,mostly,adverbs,0.3
1067,eliffant,compass,nouns,0.0
1068,dimai,size,nouns,0.0
1069,bach,huge,adjectives,0.13
1070,anhygoel,dirty,adjectives,0.0
1071,ceryddu,demand,verbs,0.19
1072,doniol,serious,adjectives,0.0
1073,sudd,milkshake,nouns,0.9
1074,offeiriad,monk,nouns,2.66
1075,brenin,prince,nouns,1.51
1076,log,formula,nouns,0.48
1077,morthwyl,teeth,nouns,0.0
1078,derbyn,send,verbs,0.09
1079,clo,key,nouns,0.74
1080,yn ddiffuant,honestly,adverbs,4.75
1081,amau,arrest,verbs,0.13
1082,hunan,confidence,nouns,0.51
1083,dysgu,absorb,verbs,1.27
1084,patholeg,hematology,nouns,1.66
1085,gweddïo,communicate,verbs,0.74
1086,meddyg,physician,nouns,4.64
1087,morgrugyn,fly,nouns,0.31
1088,cyfrifiadur,machine,nouns,1.96
1089,malu,bump,verbs,1.23
1090,tun,aluminium,nouns,1.9
1091,wythnos,weekend,nouns,1.11
1092,treisgar,angry,adjectives,1.39
1093,cadach,clothes,nouns,1.29
1094,minc,oil,nouns,0.0
1095,ffin,boundary,nouns,4.47
1096,prin,unusual,adjectives,4.5
1097,sobr,rational,adjectives,2.11
1098,glaw mân,rain,nouns,3.51
1099,gorlethu,smother,verbs,3.21
1100,llong ryfel,dreadnought,nouns,3.22
1101,fformiwla,log,nouns,0.48
1102,dillad,closet,nouns,0.71
1103,gwlychu,reduce,verbs,0.0
1104,datgymalu,die,verbs,0.21
1105,cyflwr,pact,nouns,0.34
1106,mynychu,come,verbs,3.08
1107,bws,cab,nouns,0.94
1108,dod â,carry,verbs,1.95
1109,plesio,entertain,verbs,1.89
1110,silff,mountain,nouns,0.27
1111,gwn,knife,nouns,0.81
1112,siocled,pie,nouns,0.42
1113,weithiau,whenever,adverbs,0.42
1114,matrics,molecule,nouns,0.19
1115,pryf sidan,caterpillar,nouns,1.94
1116,ffynhonnell,box,nouns,0.0
1117,bawd,hand,nouns,1.13
1118,dathlu,surprise,verbs,0.19
1119,corff,blood,nouns,0.66
1120,atgoffa,sell,verbs,0.0
1121,reidio,shuffle,verbs,0.0
1122,ceg,lip,nouns,2.07
1123,cerdded,stand,verbs,0.64
1124,balŵn,people,nouns,0.0
1125,mygu,overwhelm,verbs,3.21
1126,proffesiwn,college,nouns,0.34
1127,drwg,great,adjectives,0.04
1128,cyfraith,school,nouns,0.22
1129,gwersyll,cabin,nouns,0.79
1130,person dan amheuaeth,man,nouns,0.42
1131,sarsiant,gun,nouns,0.47
1132,sawl,twice,adverbs,0.81
1133,golchi,rinse,verbs,3.38
1134,dynion,fraternity,nouns,0.9
1135,iard,inch,nouns,0.93
1136,gwin,liquor,nouns,1.46
1137,balchder,bold,adjectives,1.48
1138,cymeriad,person,nouns,2.82
1139,pen-glin,bone,nouns,1.04
1140,ffon reoli,radar,nouns,0.17
1141,anhapus,mad,adjectives,1.12
1142,agwedd,confidence,nouns,1.56
1143,biliwnydd,homeless,nouns,0.32
1144,ystafell wely,bathroom,nouns,1.41
1145,dod,attend,verbs,3.08
1146,llyfr nodiadau,laptop,nouns,0.96
1147,cryfder,might,nouns,4.58
1148,lwcus,ashamed,adjectives,0.0
1149,osgoi,reject,verbs,1.07
1150,digonedd,plenty,nouns,4.65
1151,semester,term,nouns,4.79
1152,yn greadigol,originally,adverbs,1.81
1153,nerth,capability,nouns,2.06
1154,ewythr,aunt,nouns,1.79
1155,ystafell wely,bed,nouns,1.61
1156,sillaf,lemma,nouns,0.12
1157,balŵn,bath,nouns,0.0
1158,harddwch,sonnet,nouns,0.27
1159,gweithiwr,employer,nouns,0.51
1160,cyrchwr,chips,nouns,0.0
1161,cynorthwyo,protect,verbs,1.44
1162,sgwâr,map,nouns,0.05
1163,yn bennaf,mostly,adverbs,3.59
1164,haearn,vitamin,nouns,1.02
1165,cnawd,blood,nouns,1.07
1166,caethwas,servant,nouns,2.64
1167,serameg,pottery,nouns,3.6
1168,byth,negative,adjectives,0.35
1169,madfall,snake,nouns,1.39
1170,modur,engine,nouns,3.6
1171,peiriant,computer,nouns,1.96
1172,ffrind,mother,nouns,1.21
1173,trafod,explain,verbs,1.65
1174,eirlithriad,snow,nouns,1.42
1175,breuddwyd,sky,nouns,0.17
1176,sgrechian,yell,verbs,3.79
1177,siwmper,jacket,nouns,2.17
1178,menyw,fur,nouns,0.05
1179,pryd bwyd,supper,nouns,2.75
1180,dec,mouse,nouns,0.0
1181,terfysg,drawing,nouns,0.0
1182,gwirod,band,nouns,0.0
1183,theori,hypothesis,nouns,4.81
1184,gwefus,mouth,nouns,2.07
1185,diogelu,defend,verbs,4.15
1186,trychineb,death,nouns,1.25
1187,stori,song,nouns,0.6
1188,cegin,door,nouns,0.14
1189,prifysgol,campus,nouns,1.65
1190,casáu,enjoy,verbs,0.0
1191,anialwch,dune,nouns,1.21
1192,erthygl,journal,nouns,2.4
1193,euog,honest,adjectives,0.05
1194,anwybyddu,explore,verbs,0.05
1195,arwr,heroine,nouns,3.51
1196,danfon,bring,verbs,0.64
1197,egluro,prove,verbs,1.81
1198,disg,computer,nouns,0.74
1199,cwyno,argue,verbs,1.4
1200,cefnfor,sea,nouns,4.58
1201,cwpan,cone,nouns,0.44
1202,gwrthod,admit,verbs,0.04
1203,neidr,lizard,nouns,1.39
1204,merch,kid,nouns,1.1
1205,anghefnogi,encourage,verbs,0.04
1206,synnwyr,intuition,nouns,4.25
1207,cebl,chapel,nouns,0.0
1208,gwerthuso,learn,verbs,0.57
1209,brwnt,sticky,adjectives,0.8
1210,yfed,mix,verbs,0.15
1211,ffotoffon,homophone,nouns,0.19
1212,llesteirio,discourage,verbs,1.59
1213,penwythnos,week,nouns,1.11
1214,cosbi,teach,verbs,0.05
1215,yn sylfaenol,fully,adverbs,0.04
1216,cul,white,adjectives,0.0
1217,diymhongar,pure,adjectives,0.92
1218,gweddill,difference,nouns,3.47
1219,awyren,jet,nouns,4.64
1220,dwyn,kidnap,verbs,2.42
1221,disgyn,decrease,verbs,0.69
1222,yfed,sip,verbs,2.32
1223,rhyddid,censorship,nouns,0.17
1224,firws,blood,nouns,0.61
1225,golau,keyboard,nouns,0.0
1226,anfoesol,bad,adjectives,3.46
1227,seremoni,celebration,nouns,2.59
1228,mynychu,appear,verbs,0.62
1229,parti,mask,nouns,0.15
1230,ymuno,participate,verbs,3.51
1231,darllen,comprehend,verbs,1.23
1232,clogwyn,tail,nouns,0.0
1233,cofio,think,verbs,0.82
1234,flwyddyn,century,nouns,0.87
1235,hebog,eagle,nouns,2.39
1236,dugiaeth,princedom,nouns,1.88
1237,ysbyty,bed,nouns,0.35
1238,yn ddiogel,happily,adverbs,0.13
1239,band,endurance,nouns,0.0
1240,yn wallgof,sadly,adverbs,0.14
1241,gwirod,wine,nouns,1.46
1242,ymdrechu,foreclose,verbs,0.15
1243,anarferol,rare,adjectives,4.5
1244,lifft,box,nouns,0.04
1245,anarferol,weird,adjectives,4.57
1246,yn aeddfed,smartly,adverbs,1.48
1247,tristwch,shame,nouns,1.19
1248,asid,base,nouns,0.27
1249,cythruddo,antagonize,verbs,3.51
1250,trefnu,arrange,verbs,5.49
1251,perfformio,salute,verbs,0.0
1252,newyddion,gossip,nouns,2.47
1253,hapus,young,adjectives,0.19
1254,atwrnai,lawyer,nouns,4.79
1255,dioddefwr,phone,nouns,0.0
1256,yn ofalus,securely,adverbs,1.93
1257,arian,salary,nouns,2.83
1258,meddwl,inquire,verbs,1.05
1259,twr,bell,nouns,0.22
1260,cath,mouse,nouns,0.45
1261,llenyddiaeth,word,nouns,1.46
1262,yn gyfrinachgar,obviously,adverbs,0.04
1263,afal,candy,nouns,0.19
1264,ofnus,nervous,adjectives,3.15
1265,erfyn,borrow,verbs,0.92
1266,gwraig,cent,nouns,0.05
1267,salad,diet,nouns,0.82
1268,gwraig,mother,nouns,1.79
1269,machlud haul,evening,nouns,2.21
1270,tramgwyddo,discourage,verbs,0.59
1271,awyrgylch,pollution,nouns,0.76
1272,heicio,climb,verbs,2.83
1273,diferu,pour,verbs,1.69
1274,barnu,accuse,verbs,2.04
1275,diddanu,please,verbs,1.89
1276,glaw,blizzard,nouns,0.79
1277,geiriadur,word,nouns,1.19
1278,oren,citrus,nouns,2.99
1279,buwch,cattle,nouns,4.52
1280,awyren,sheet,nouns,0.0
1281,llwyddo,achieve,verbs,3.96
1282,hyblyg,elastic,adjectives,3.13
1283,yn sicr,definitely,adverbs,5.29
1284,yn amlwg,surely,adverbs,3.25
1285,yn rhyfeddol,fantastically,adverbs,4.59
1286,ymerawdwr,governor,nouns,2.33
1287,newydd,recent,adjectives,3.57
1288,mamfwrdd,mainboard,nouns,2.65
1289,canwr,staff,nouns,0.0
1290,arweinydd,manager,nouns,3.35
1291,unffurf,unformed,adjectives,0.0
1292,llywodraethwr,emperor,nouns,2.33
1293,benthyg,want,verbs,0.1
1294,tarddu,discover,verbs,0.63
1295,cywilydd,lucky,adjectives,0.0
1296,yn bwysig,truly,adverbs,0.62
1297,gwyddonydd,nurse,nouns,0.32
1298,arall,opposite,adjectives,0.77
1299,camera,sequel,nouns,0.0
1300,bys,palm,nouns,0.34
1301,codi arian,development,nouns,0.24
1302,yn fras,easily,adverbs,0.05
1303,yn afreolaidd,usually,adverbs,0.17
1304,chwydu,shut,verbs,0.0
1305,yn ddelfrydol,realistically,adverbs,0.72
1306,hawdd,vulnerable,adjectives,0.39
1307,ffens,jumping,nouns,0.0
1308,ffatri,car,nouns,0.05
1309,oedolyn,baby,nouns,0.26
1310,gair,literature,nouns,1.46
1311,maer,president,nouns,1.59
1312,graff,chart,nouns,3.89
1313,beirniadaeth,argument,nouns,1.73
1314,main,narrow,adjectives,3.96
1315,tywysog,king,nouns,1.51
1316,byth,honestly,adverbs,0.0
1317,ysgrifennu,scribble,verbs,2.71
1318,stumog,body,nouns,0.94
1319,crosio,uniform,nouns,0.0
1320,crwydro,search,verbs,1.29
1321,llonydd,neutral,adjectives,1.31
1322,algebra,operation,nouns,0.51
1323,dinistrio,make,verbs,0.09
1324,dianc,find,verbs,0.05
1325,gofal,caution,nouns,3.59
1326,rhannu,unite,verbs,0.09
1327,niwl,cloud,nouns,2.99
1328,diweddar,new,adjectives,3.57
1329,arian parod,money,nouns,4.41
1330,blaengau,strive,verbs,0.15
1331,ochr,bottom,nouns,0.69
1332,ar hyn o bryd,recently,adverbs,1.61
1333,mwynhau,entertain,verbs,0.9
1334,asgwrn,ankle,nouns,0.96
1335,calibr,umbrella,nouns,0.0
1336,cytundeb,pact,nouns,5.15
1337,creu,imagine,verbs,1.09
1338,sbeislyd,good,adjectives,0.0
1339,llac,flexible,adjectives,1.4
1340,opera,cinema,nouns,0.77
1341,cab,car,nouns,3.47
1342,ffug,real,adjectives,0.09
1343,dweud,participate,verbs,0.15
1344,adfer,repair,verbs,4.21
1345,aer,molecule,nouns,0.47
1346,rheilffordd,fence,nouns,0.59
1347,cadno,hound,nouns,0.79
1348,mam,friend,nouns,1.21
1349,heb siâp,amorphous,adjectives,5.2
1350,dadlau,persuade,verbs,1.92
1351,alcohol,beer,nouns,2.25
1352,yn lleol,closely,adverbs,3.71
1353,beic,car,nouns,0.9
1354,sedd,bank,nouns,0.05
1355,eginblanhigyn,leaf,nouns,0.94
1356,tad,parent,nouns,3.02
1357,cornel,area,nouns,0.76
1358,cyfeillgar,generous,adjectives,1.46
1359,siarad,whisper,verbs,1.87
1360,anifail,person,nouns,0.41
1361,mynegi,say,verbs,3.51
1362,yn sicr,clearly,adverbs,3.25
1363,cracio,break,verbs,2.73
1364,trwyn,throat,nouns,0.39
1365,cymryd,carry,verbs,0.81
1366,niweidio,tease,verbs,0.71
1367,darganfod,acquire,verbs,2.07
1368,cytundeb,argument,nouns,0.09
1369,gwleidydd,policeman,nouns,0.17
1370,brawdgarwch,door,nouns,0.0
1371,allanfa,suffrage,nouns,0.05
1372,disgleirdeb,star,nouns,0.86
1373,pylu,erode,verbs,2.47
1374,gwrthod,condemn,verbs,0.94
1375,brwydro,play,verbs,0.1
1376,clywed,perceive,verbs,0.84
1377,trychineb,accident,nouns,3.22
1378,lluosi,divide,verbs,0.45
1379,actor,polyhedron,nouns,0.04
1380,da,spicy,adjectives,0.0
1381,gweddïo,ask,verbs,1.24
1382,car,gauge,nouns,0.05
1383,cerdded,limp,verbs,0.66
1384,anrhagweledig,unanticipated,adjectives,4.91
1385,traddodiad,handicraft,nouns,0.21
1386,corff,spine,nouns,0.49
1387,yn hysbys,well,adjectives,0.27
1388,mis,august,nouns,2.1
1389,modur,boat,nouns,0.71
1390,llyfr,text,nouns,1.66
1391,anghefnogi,fail,verbs,0.27
1392,amddiffyn,cover,verbs,1.39
1393,cyferbyn,unique,adjectives,0.39
1394,oer,ordinary,adjectives,0.0
1395,esgob,muslim,nouns,0.3
1396,cario ,bring,verbs,1.95
1397,dysgu,evaluate,verbs,0.57
1398,ardderchog,wonderful,adjectives,5.5
1399,ymosodol,curved,adjectives,0.0
1400,barnwr,court,nouns,0.95
1401,erthygl,book,nouns,0.74
1402,allanfa,doorway,nouns,2.16
1403,gweinyddiaeth,management,nouns,2.72
1404,gludedd,splash,nouns,0.15
1405,brithyll,guitar,nouns,0.0
1406,cadw,protect,verbs,1.1
1407,gofyn,beg,verbs,2.51
1408,da,fifth,adjectives,0.0
1409,gofyn,help,verbs,0.3
1410,awyr,universe,nouns,0.79
1411,gêm,fun,nouns,1.41
1412,erydu,wear,verbs,3.28
1413,niwl,rain,nouns,1.79
1414,bore,day,nouns,1.55
1415,egni,battery,nouns,2.17
1416,clyfar,dumb,adjectives,0.04
1417,cafflo,deceive,verbs,3.66
1418,arfordir,beach,nouns,2.29
1419,llygoden,cat,nouns,0.45
1420,dyddiad,calendar,nouns,1.56
1421,modern,ancient,adjectives,0.04
1422,symbol,sign,nouns,4.58
1423,gwallgof,crazy,adjectives,4.87
1424,cyflymder,post,nouns,0.0
1425,rhoi,deny,verbs,0.0
1426,mwnci,campaign,nouns,0.0
1427,melin,seed,nouns,0.22
1428,cyfnewid,replacement,nouns,2.95
1429,canol,meal,nouns,0.0
1430,taclus,clean,adjectives,2.71
1431,niwtral,undecided,adjectives,3.17
1432,asgwrn,jaw,nouns,0.77
1433,cas,hardware,nouns,0.15
1434,afon,valley,nouns,0.88
1435,deall,listen,verbs,1.09
1436,goresgyn,dominate,verbs,3.0
1437,drws,floor,nouns,0.09
1438,petrusgar,wrathful,adjectives,0.05
1439,clecian,crunch,verbs,1.35
1440,sgôr,level,nouns,1.66
1441,gwael,lonely,adjectives,0.14
1442,anghofio,ignore,verbs,0.89
1443,dosbarthu,take,verbs,0.46
1444,pibell,cigar,nouns,1.04
1445,drws,fraternity,nouns,0.0
1446,hanesydd,historiographer,nouns,3.22
1447,asgwrn,neck,nouns,0.27
1448,portreadu,notify,verbs,0.15
1449,methu,succeed,verbs,0.09
1450,mawr,huge,adjectives,4.36
1451,iogwrt,cattle,nouns,0.32
1452,clariffeio,explain,verbs,4.43
1453,rhesymol,sober,adjectives,2.11
1454,gwythïen,stomach,nouns,0.15
1455,pwyntydd,slide,nouns,0.0
1456,awdur,composer,nouns,3.14
1457,taith,conquest,nouns,0.77
1458,greddf,sense,nouns,4.25
1459,amaethyddiaeth,plant,nouns,1.0
1460,bwriad,will,nouns,2.79
1461,amgylchedd,sword,nouns,0.0
1462,hawdd,flexible,adjectives,1.52
1463,ymchwilio,examine,verbs,3.8
1464,cyhoeddi,inform,verbs,4.45
1465,calon,surgery,nouns,0.17
1466,cleddyf,throne,nouns,0.42
1467,gwely,furniture,nouns,1.59
1468,gitâr,drum,nouns,0.81
1469,person,character,nouns,2.82
1470,gwyn,narrow,adjectives,0.0
1471,trefnu,collect,verbs,0.95
1472,sy'n dod i mewn,outgoing,adjectives,0.04
1473,torf,parade,nouns,1.83
1474,pobl,balloon,nouns,0.0
1475,anwybyddu,ask,verbs,0.0
1476,awdur,reader,nouns,0.51
1477,ceiniog,bargain,nouns,0.57
1478,cymryd,possess,verbs,1.31
1479,heddwch,happiness,nouns,1.67
