ID,EST,HEB,PoS,score
701,otsima,לצוד,verbs,2.1
702,palee,גורד שחקים,nouns,1.45
703,alamprogramm,מהדר,nouns,1.35
704,sõrm,יד,nouns,1.25
705,nautima,לבדר,verbs,2.1
706,küünarnukk,עצם,nouns,1.6
707,käsi,רגל,nouns,1.4
708,kahtlemata,בוודאי,adverbs,4.95
709,rõõm,גאווה,nouns,1.7
710,püüdma,לקבל,verbs,1.35
711,näitleja,טלויזיה,nouns,1.25
712,aatom,מולקולה,nouns,2.05
713,nüri,מלהיב,adjectives,0.5
714,jagama,לכפול,verbs,1.15
715,sõna,רמז,nouns,0.7
716,selgitama,להגדיר,verbs,3.2
717,muffin,פטרוזיליה,nouns,0.6
718,veok,חבילה,nouns,1.0
719,vihkama,להינות,verbs,0.25
720,naine,משימה,nouns,0.05
721,raamat,טקסט,nouns,2.35
722,agressivne,חצוף,adjectives,1.85
723,kõht,חדר שינה,nouns,0.15
724,hümn,כבוש,nouns,0.4
725,aktsia,נכס,nouns,2.95
726,närv,גוף,nouns,0.85
727,õigustama,לטעון,verbs,2.05
728,floora,טבע,nouns,2.5
729,mask,מסיבה,nouns,0.9
730,osa,תקופה,nouns,3.85
731,raske,פשוט,adjectives,0.65
732,värav,מנצח,nouns,0.9
733,puhas,ללא רבב,adjectives,4.25
734,patsient,פגישה,nouns,0.95
735,haige,משוגע,adjectives,1.25
736,säilitama,להישאר,verbs,1.15
737,dollar,מיליונר,nouns,1.05
738,kurbus,שמחה,nouns,1.05
739,teadma,להבין,verbs,2.7
740,sõdur,ילד,nouns,0.85
741,mahl,מילקשייק,nouns,1.7
742,ümbermaailmareis,מטען,nouns,0.55
743,vaikselt,בטבעיות,adverbs,0.65
744,ettevaatlikult,בבטחה,adverbs,2.85
745,optimistlikult,ייתכן,adverbs,1.15
746,sõnaraamat,הגדרה,nouns,1.75
747,liha,לחם,nouns,0.8
748,andestama,לשכוח,verbs,1.25
749,imlselgelt,בערך,adverbs,0.5
750,pudel,קנקן,nouns,2.65
751,ära tõukama,לתת,verbs,0.6
752,osalema,לשתף,verbs,2.2
753,ahv,קמפיין,nouns,0.05
754,kaos,שיעור,nouns,0.25
755,puuvijaaed,יען,nouns,0.1
756,soovitama,לקבל,verbs,0.8
757,psühholoogia,מדע,nouns,1.95
758,õpilane,נשיא,nouns,0.4
759,tõld,מכונית,nouns,1.75
760,uks,קומה,nouns,1.1
761,ball,תחפושת,nouns,0.9
762,jumal,אב,nouns,0.35
763,haruldane,אקזוטי,adjectives,4.5
764,vihm,ברד,nouns,2.6
765,kits,פרה,nouns,1.4
766,rebima,ללבוש,verbs,0.2
767,tihedalt,בנחישות,adverbs,2.3
768,taburet,כיסא,nouns,3.65
769,otsing,מטרה,nouns,1.35
770,tõstma,לגרור,verbs,1.25
771,kaasamine,פגישה,nouns,0.75
772,halb,מושחת,adjectives,2.8
773,asjaolu,מצב,nouns,3.85
774,vahekäik,פרוזדור,nouns,4.15
775,lai,צר,adjectives,0.75
776,kaitsma,לעזור,verbs,1.6
777,riided,כפתור,nouns,1.05
778,brändi,אלכוהול,nouns,2.45
779,võti,מנעול,nouns,1.5
780,abielluma,להצטרף,verbs,1.2
781,sassis,נקי,adjectives,0.7
782,veen,בחירה,nouns,0.05
783,aritmeetika,קצב,nouns,0.75
784,rand,שונית,nouns,1.45
785,tagasihoidlik,גמיש,adjectives,0.45
786,usaldusväärselt,בערך,adverbs,0.35
787,toores,חצוף,adjectives,3.0
788,rändama,לשוטט,verbs,4.0
789,vili,תירס,nouns,1.7
790,tähelepanuta jätma,לנשל,verbs,1.35
791,paber,עץ,nouns,1.45
792,udu,ענן,nouns,2.48
793,kass,אריה,nouns,1.95
794,häbenev,עצוב,adjectives,0.65
795,vaba,תמים,adjectives,0.65
796,kuulsus,עושר,nouns,1.4
797,president,תלמיד,nouns,0.4
798,põrand,תקרה,nouns,1.2
799,pidu,מסיכה,nouns,0.9
800,julgustama,לדכא,verbs,0.55
801,ärritama,לפגוע,verbs,1.55
802,õnnetus,אסון,nouns,4.3
803,kohalolek,מנצח,nouns,0.35
804,hävitama,ליצור,verbs,0.9
805,intelligentsus,מיומנות,nouns,1.6
806,kaklema,להרוג,verbs,1.0
807,kontor,עובד,nouns,0.95
808,üksildane,מסכן,adjectives,1.1
809,suvi,חורף,nouns,1.25
810,koidik,יום,nouns,1.85
811,ebaviisakas,תוקפני,adjectives,1.85
812,vähenema,לרדת,verbs,1.25
813,nutma,להתייפח,verbs,4.35
814,kena,נקי,adjectives,2.55
815,lift,תיבה,nouns,0.45
816,pilv,תחזית,nouns,1.35
817,hobune,סוסון,nouns,2.75
818,pöörane,חולה,adjectives,1.25
819,aktiivselt,במדוייק,adverbs,0.9
820,kirss,תות,nouns,1.55
821,kurvalt,נורא,adverbs,0.8
822,hoidma,לתת,verbs,0.55
823,hoovus,נהר,nouns,1.35
824,räpane,זול,adjectives,1.05
825,halvenema,לנגב,verbs,0.05
826,taotleja,מועמדות,nouns,1.9
827,pärl,כסף,nouns,0.7
828,häbenev,אשם,adjectives,1.4
829,põhiliselt,לרוב,adverbs,4.15
830,aed,צינור,nouns,1.05
831,hävitama,להרוג,verbs,2.3
832,hommikusöök,ארוחת ערב,nouns,1.8
833,otsustama,לחשוב,verbs,1.65
834,sammal,דשא,nouns,1.75
835,äsja,באופן מציאותי,adverbs,0.25
836,mägi,אדן,nouns,0.75
837,häbenev,צנוע,adjectives,2.5
838,ebaküps,חסר אחריות,adjectives,2.45
839,luu,מרפק,nouns,1.6
840,jard,אינץ',nouns,1.65
841,uskumus,רושם,nouns,1.15
842,viiul,כלי,nouns,1.9
843,laenama,לחוב,verbs,1.35
844,hindama,לנתח,verbs,2.6
845,riided,מגירה,nouns,1.05
846,teooria,כימיה,nouns,0.5
847,täkk,בחור,nouns,1.55
848,merevägi,צבא,nouns,3.0
849,klassiruum,פרוזדור,nouns,0.85
850,otsima,לתשאל,verbs,1.65
851,raskus,מאמץ,nouns,2.55
852,lend,תעופה,nouns,2.35
853,päev,בוקר,nouns,1.85
854,negatiivne,לעולם לא,adjectives,1.35
855,tavaliselt,לעיתים נדירות,adverbs,1.15
856,sahtel,בגדים,nouns,1.05
857,lagi,קתדרלה,nouns,0.9
858,kannatamatult,בערך,adverbs,0.3
859,erinev,נורמלי,adjectives,0.85
860,kahtlusalune,איש,nouns,0.85
861,kohv,פול,nouns,1.4
862,punane,כחול,adjectives,1.0
863,müüma,להזכיר,verbs,0.0
864,kolledž,כיתה,nouns,1.35
865,kokkulepe,חור,nouns,0.05
866,massiivselt,בפתיחות,adverbs,0.45
867,tass,כף,nouns,1.35
868,naljakas,עצוב,adjectives,0.85
869,nutma,לייבב,verbs,4.1
870,vormimata,מדים,adjectives,0.4
871,brändi,יין,nouns,2.0
872,trikk,גודל,nouns,0.05
873,liha,סטייק,nouns,3.85
874,vann,חדר,nouns,1.0
875,keskpärane,רע,adjectives,1.2
876,uskuma,לדעת,verbs,1.4
877,peen,בוגר,adjectives,1.15
878,ütlema,להזכיר,verbs,1.8
879,pakt,תנאי,nouns,0.8
880,normaalselt,יומיומי,adverbs,3.75
881,helde,נחמד,adjectives,1.8
882,pisik,פתוגן,nouns,3.7
883,näts,מנטה,nouns,1.0
884,panema,לתת,verbs,0.7
885,etendus,מתמטיקאי,nouns,0.1
886,kaval,פיקח,adjectives,3.5
887,keel,שקיעה,nouns,0.05
888,leidma,לחפש,verbs,1.35
889,segama,לרכב,verbs,0.5
890,moslem,בישוף,nouns,1.1
891,bioloogia,ביוטופ,nouns,1.45
892,tapma,להגן,verbs,0.7
893,jõud,עוצמה,nouns,4.15
894,jälitama,לתפוס,verbs,1.95
895,riided,ארון,nouns,1.0
896,pöörane,שמח,adjectives,0.8
897,hambaarst,דוקטור,nouns,5.1
898,suurepärane,נורא,adjectives,0.65
899,vihm,טפטוף,nouns,3.55
900,jakk,סוודר,nouns,1.9
901,dekoratsioon,קיר,nouns,0.85
902,mugavalt,בקלות,adverbs,1.55
903,kriitika,טיעון,nouns,1.4
904,tähelepanu,עניין,nouns,2.6
905,robootika,סימולציה,nouns,1.3
906,mulje,אמונה,nouns,1.15
907,ausalt,באופן לא הוגן,adverbs,0.75
908,kasvatama,להתרחב,verbs,3.85
909,kass,ארנב,nouns,1.15
910,veski,זרע,nouns,1.0
911,heledus,כוכב,nouns,1.4
912,krokodill,לטאה,nouns,2.7
913,trikk,משחק,nouns,1.6
914,terav,מתון,adjectives,0.6
915,maksma,לקנות,verbs,2.45
916,mäletama,לחשוב,verbs,1.8
917,suund,בטן,nouns,0.05
918,õlg,גוף,nouns,1.3
919,kauss,צלחת,nouns,2.6
920,sipelgas,דבורה,nouns,1.35
921,jalg,בסיס,nouns,0.8
922,kood,סמל,nouns,2.1
923,vaidlema,להצדיק,verbs,2.05
924,kuju,פסל,nouns,4.4
925,kana,אורז,nouns,0.95
926,muru,שורש,nouns,1.2
927,otseloomulikult,בחשאי,adverbs,0.35
928,ette kujutama,להתחזות,verbs,1.25
929,keha,לבנים,nouns,0.6
930,koheselt,בקרוב,adverbs,2.05
931,võib-olla,כנראה,adverbs,3.65
932,raamat,מידע,nouns,1.25
933,jõgi,זרם,nouns,1.35
934,saar,חצי אי,nouns,2.55
935,ära ütlema,לסרב,verbs,4.9
936,mehed,אחוה,nouns,1.05
937,lämmatama,לחבק,verbs,0.7
938,püüdma,לרדוף,verbs,1.95
939,väetis,צמיחה,nouns,1.35
940,slaid,מצביע,nouns,0.25
941,õhtu,שקיעה,nouns,1.95
942,ebaausalt,ללא הגיון,adverbs,1.9
943,kael,עצם,nouns,0.95
944,tõsiselt,בחשיבות,adverbs,2.45
945,sajand,עשור,nouns,1.55
946,hulktahukas,שחקן,nouns,0.75
947,huul,פה,nouns,1.85
948,sale,רזה,adjectives,4.9
949,valima,לקטוף,verbs,1.55
950,õnnelik,כועס,adjectives,0.65
951,raamat,תורה,nouns,1.55
952,sõjamees,גבר,nouns,1.8
953,mull,קצף,nouns,2.25
954,tähistama,להפתיע,verbs,1.0
955,lõdvestunud,רגוע,adjectives,4.3
956,nõustuma,לחלוק,verbs,0.75
957,pettus,פשע,nouns,2.85
958,suur,לאומי,adjectives,0.8
959,karjuma,להתווכח,verbs,1.5
960,trumm,גיטרה,nouns,1.65
961,küsima,לעזור,verbs,1.35
962,katma,להסוות,verbs,2.75
963,oaas,חופש,nouns,0.6
964,solvama,להטריד,verbs,1.3
965,lahutama,להפסיד,verbs,1.6
966,kummaliselt,באופן חריג,adverbs,4.7
967,reisima,ללכת,verbs,2.25
968,ketas,מטען,nouns,0.3
969,innovatiivne,יצירתי,adjectives,3.45
970,paindlik,נייד,adjectives,1.45
971,ebanormaalselt,בדרך כלל,adverbs,0.75
972,sviiter,כותנה,nouns,1.2
973,vilistama,לעצור,verbs,0.25
974,kirjanik,רומן,nouns,1.4
975,üle saama,לשלוט,verbs,0.7
976,lennuk,מסוק,nouns,2.4
977,kirikutorn,קפלה,nouns,1.75
978,peenike,צנום,adjectives,4.9
979,kallistama,להתרכבל,verbs,4.0
980,tööandja,עובד,nouns,1.45
981,galaktika,אסטרונום,nouns,1.35
982,antropoloogia,ארכיאולוגיה,nouns,1.65
983,pärinema,לגלות,verbs,0.55
984,preester,נביא,nouns,1.65
985,pärinema,להתחיל,verbs,1.7
986,suhtumine,אמון,nouns,0.75
987,apelsin,פרי הדר,nouns,3.2
988,keel,תקשורת,nouns,1.85
989,saba,קערה,nouns,0.0
990,jalg,ראש,nouns,1.0
991,auk,הסכם,nouns,0.05
992,ksenofoobia,גזענות,nouns,3.0
993,kaklema,לנשוך,verbs,1.15
994,sosistama,לדבר,verbs,2.2
995,kitsas,ארוך,adjectives,1.35
996,terav,חלק,adjectives,0.85
997,jahtima,לחפש,verbs,2.1
998,vahetama,להשתנות,verbs,2.75
999,naerma,לשיר,verbs,0.55
1000,korporatsioon,גברים,nouns,1.05
1001,aktsepteerima,להאמין,verbs,1.4
1002,kaitsma,להציל,verbs,2.3
1003,aktiivselt,באופן פסיבי,adverbs,0.45
1004,saama,לארגן,verbs,0.9
1005,kerge,מורכב,adjectives,0.75
1006,õlu,משקה,nouns,1.85
1007,seeme,חרדל,nouns,1.25
1008,kerge,קשה,adjectives,0.55
1009,leegion,צבא,nouns,3.1
1010,vöö,לולאה,nouns,1.15
1011,tennis,סטטיסטיקה,nouns,0.3
1012,kuritegu,גניבה,nouns,2.7
1013,imiteerima,לגלם,verbs,3.45
1014,au andma,להופיע,verbs,0.45
1015,koor,כנסייה,nouns,1.55
1016,tool,מיטה,nouns,1.05
1017,vähendama,לספוג,verbs,0.5
1018,lugema,לנשוך,verbs,0.1
1019,poster,נייר,nouns,2.0
1020,priius,חופש,nouns,5.6
1021,lonkama,ללכת,verbs,1.9
1022,vannituba,מטבח,nouns,1.4
1023,paat,עוגן,nouns,1.3
1024,jagama,לאחד,verbs,1.05
1025,kuul,תותח,nouns,1.2
1026,portreteerima,להחליט,verbs,0.4
1027,suhtlus,שפה,nouns,1.85
1028,vältima,להכחיש,verbs,1.85
1029,turvaliselt,בזהירות,adverbs,2.85
1030,kohutav,מעולה,adjectives,0.65
1031,riided,בד,nouns,2.25
1032,meierei,דבש,nouns,0.4
1033,pea,ציפורן,nouns,0.6
1034,ajakirjanik,משורר,nouns,1.5
1035,armee,צי,nouns,3.0
1036,lärm,רעשן,nouns,1.9
1037,karm,קל,adjectives,0.55
1038,nüri,מצחיק,adjectives,0.55
1039,varras,וילון,nouns,0.85
1040,loobuma,לנשל,verbs,2.15
1041,film,תיאטרון,nouns,1.45
1042,kurv,זווית,nouns,2.1
1043,arst,אורתודונט,nouns,2.9
1044,jalg,גף,nouns,2.8
1045,kallistama,למחוץ,verbs,1.2
1046,matma,למות,verbs,1.05
1047,sile,חד,adjectives,0.85
1048,atsetüülkoliin,איריס,nouns,0.65
1049,rannik,גדה,nouns,3.3
1050,koidik,לילה,nouns,1.6
1051,laine,מזג אוויר,nouns,0.5
1052,kukkuma,להיפצע,verbs,1.5
1053,õrnalt,בבהירות,adverbs,0.7
1054,reostus,אטמוספירה,nouns,0.7
1055,valu,נזק,nouns,1.9
1056,raha,הון,nouns,4.0
1057,andma,להניח,verbs,0.7
1058,tolm,מטאטא,nouns,1.2
1059,võimlemine,סיוף,nouns,1.45
1060,kino,פופקורן,nouns,1.05
1061,taldrik,קערה,nouns,2.6
1062,voodi,מרפאה,nouns,1.1
1063,ülesanne,כביש,nouns,0.1
1064,nurjuma,לדכא,verbs,0.9
1065,mais, דגן,nouns,1.7
1066,pudel,פחית,nouns,1.6
1067,hauakamber,קבורה מחדש,nouns,1.25
1068,kätte toimetama,לקבל,verbs,0.8
1069,oluline,מכריע,adjectives,3.55
1070,osalema,להגיד,verbs,0.65
1071,uhkelt,בשלווה,adverbs,0.45
1072,uhke,נועז,adjectives,1.15
1073,saama,לשים,verbs,0.5
1074,valitseja,מלך,nouns,4.4
1075,aitama,לבקש,verbs,1.35
1076,enamasti,בעיקר,adverbs,4.15
1077,täpselt,נמרצות,adverbs,0.9
1078,otsustama,לשפוט,verbs,2.2
1079,kõrs,רעיה,nouns,0.1
1080,ratsionaliseerima,לחשוב,verbs,1.8
1081,vajalik,מיותר,adjectives,0.8
1082,ära tõukama,להתכחש,verbs,2.15
1083,mitte kunagi,בכנות,adverbs,0.0
1084,uks,מטבח,nouns,0.7
1085,uskumatult,בחוזקה,adverbs,1.0
1086,põikpäine,טיפש,adjectives,1.55
1087,kummaline,רגיל,adjectives,0.85
1088,normaalne,משונה,adjectives,0.8
1089,kitsas,דק,adjectives,2.95
1090,alati,פעמיים,adverbs,0.45
1091,piparmünt,מוזיאון,nouns,0.2
1092,valk,ידית,nouns,0.0
1093,välja tõstma,להשאיר,verbs,1.0
1094,tulema,להגיע,verbs,4.55
1095,sekund,דקה,nouns,2.0
1096,intelligentsus,בורות,nouns,0.75
1097,jumaldama,להתפעל,verbs,4.2
1098,arreteerima,לחשוד,verbs,1.05
1099,külm,רגיל,adjectives,0.4
1100,maja,מפתח,nouns,1.15
1101,eeldama,לחזות,verbs,3.0
1102,komm,תפוח,nouns,0.95
1103,tunnistama,להסכים,verbs,3.7
1104,veenma,לרדוף,verbs,0.4
1105,negatiivselt,באופן לא טבעי,adverbs,1.0
1106,steik,בשר,nouns,3.85
1107,unustama,לדעת,verbs,0.7
1108,jalgratas,חדר שינה,nouns,0.2
1109,petersell,מאפין,nouns,0.6
1110,organiseerima,להפוך,verbs,0.9
1111,ankur,סירה,nouns,1.3
1112,skulptuur,אנדרטה,nouns,4.4
1113,naerma,לבכות,verbs,1.0
1114,osoon,אטמוספירה,nouns,2.8
1115,ball,כפפה,nouns,0.7
1116,kaotama,להחסיר,verbs,1.6
1117,atmosfäär,אוזון,nouns,2.8
1118,võtma,לשאת,verbs,1.5
1119,ilm,ענן,nouns,1.35
1120,saar,נסיכה,nouns,0.3
1121,vesi,מלח,nouns,0.9
1122,jõukus,יוקרה,nouns,1.95
1123,ebaviisakas,ביקורתי,adjectives,1.1
1124,väljuv,נכנס,adjectives,0.9
1125,vildakas,מעוקל,adjectives,4.5
1126,analüüsima,להשוות,verbs,2.65
1127,unustama,לשמור,verbs,0.75
1128,magamistuba,אמבטיה,nouns,1.25
1129,raamat,נושא,nouns,0.85
1130,lisama,לבנות,verbs,1.6
1131,lumelaud,סקי,nouns,2.45
1132,õpetaja,תלמיד,nouns,1.4
1133,vaidlus,דיון,nouns,2.6
1134,arendus,גיוס כספים,nouns,0.65
1135,lihas,לשון,nouns,1.1
1136,ukseava,דלת,nouns,2.9
1137,relv,אנשים,nouns,0.35
1138,koidik,אקדח,nouns,0.05
1139,uskumus,ערך,nouns,2.1
1140,vallutus,קרב,nouns,1.95
1141,tegu,דרך,nouns,1.65
1142,kampaania,קוף,nouns,0.05
1143,lihtne,מורכב,adjectives,1.25
1144,tõend,עובדה,nouns,2.35
1145,pooma,להרוג,verbs,1.95
1146,pädevus,יכולת,nouns,4.0
1147,laulja,שחקן,nouns,1.9
1148,rahvas,אקדח,nouns,0.35
1149,tava,חוק,nouns,3.15
1150,teekond,טיול,nouns,4.5
1151,suhkruroog,קומביין,nouns,0.7
1152,võlgnema,להלוות,verbs,1.35
1153,käsi,כתף,nouns,1.65
1154,aritmeetika,היגיון,nouns,1.45
1155,mitte kunagi,שלילי,adjectives,1.35
1156,tehing,אגורה,nouns,0.3
1157,maailm,גלובוס,nouns,3.65
1158,rahe,גשם,nouns,2.6
1159,kurjategija,עבריין,nouns,5.15
1160,tabama,לפספס,verbs,0.9
1161,saama,לתפוס,verbs,1.35
1162,iganädalane,חודשי,adjectives,1.4
1163,kuulama,ללמוד,verbs,1.7
1164,kanjon,עמק,nouns,3.85
1165,hoiatama,לעצור,verbs,0.6
1166,anuma,להתחנן,verbs,4.4
1167,lahkuma,להמתין,verbs,0.3
1168,sisehõõrdumine,התזה,nouns,0.35
1169,haigus,זיהום,nouns,2.35
1170,võistlema,לסיים,verbs,0.3
1171,vihkama,לתעב,verbs,4.65
1172,kaks korda,פעם אחת,adverbs,1.25
1173,keel,לחי,nouns,1.15
1174,tekk,סערה,nouns,0.65
1175,kodutu,מיליונר,nouns,0.85
1176,järg,מצלמה,nouns,0.05
1177,meloodia,קצב,nouns,2.75
1178,raud,ויטמין,nouns,1.25
1179,üdi,דם,nouns,1.3
1180,lihtne,קל,adjectives,3.8
1181,ratas,עור,nouns,0.2
1182,ohver,טלפון,nouns,0.3
1183,õnnelikult,בבטחה,adverbs,1.0
1184,odav,מלוכלך,adjectives,1.05
1185,tükk,שדה תעופה,nouns,0.1
1186,tüütama,להחמיר,verbs,0.9
1187,astronoom,גלקסיה,nouns,1.35
1188,fantaasia,מציאות,nouns,1.1
1189,teispoolsus,גיהנום,nouns,1.65
1190,noor,עצבני,adjectives,0.75
1191,abikaasa (naine),אמבטיה,nouns,0.05
1192,harima,ללמוד,verbs,2.35
1193,äkkrünnak,מתקפה,nouns,3.65
1194,delta,ים,nouns,1.3
1195,pottsepatöö,קרמיקה,nouns,3.7
1196,tööandja,מועסק,nouns,1.5
1197,kinnas,כדור,nouns,0.7
1198,pühkima,להתדרדר,verbs,0.05
1199,eitama,להימנע,verbs,1.85
1200,harilik,מוזר,adjectives,0.85
1201,vend,בן,nouns,1.7
1202,teadma,להבין,verbs,2.6
1203,omama,לספוג,verbs,0.55
1204,paberraha,תשלום,nouns,0.65
1205,pilv,סערה,nouns,1.75
1206,mäng,טריק,nouns,1.6
1207,raha,מזומן,nouns,3.75
1208,meri,נהר,nouns,1.9
1209,kindlustunne,עצמי,nouns,0.95
1210,kohut mõistma,להעיד,verbs,1.05
1211,taevas,יקום,nouns,1.85
1212,muuseum,מינט,nouns,0.2
1213,saatma,לקבל,verbs,0.75
1214,kiiver,נשק,nouns,1.05
1215,meedium,חדשות,nouns,2.15
1216,pilv,ערפל,nouns,2.48
1217,mära,סוס,nouns,3.1
1218,püüdma,ללכוד,verbs,4.8
1219,lahkuma,להגיע,verbs,0.85
1220,palk,כסף,nouns,3.5
1221,basiilika,פסיפס,nouns,1.4
1222,võõrsil,בבית,adverbs,0.9
1223,spetsiaalselt,באופן משמעותי,adverbs,2.0
1224,sõber,מורה,nouns,1.05
1225,raske,גדול,adjectives,1.8
1226,vinge,רע,adjectives,0.35
1227,tulema,להביא,verbs,0.75
1228,stiil,אלגנטיות,nouns,2.6
1229,passiivselt,באופן אמין,adverbs,0.7
1230,omama,לשמור,verbs,2.4
1231,jõgi,עמק,nouns,1.25
1232,entroopia,מידע,nouns,1.55
1233,lennujaam,מטוס,nouns,1.4
1234,gravitatsioon,מטאור,nouns,0.9
1235,andma,לקבל,verbs,1.3
1236,doktor,רופא,nouns,5.1
1237,piloot,נהג,nouns,2.2
1238,sild,קלף,nouns,0.85
1239,umbes,בוודאי,adverbs,0.5
1240,kallas,גדה,nouns,3.35
1241,surmavalt,אחרת,adverbs,0.2
1242,loll,נדיר,adjectives,0.1
1243,poeg,ילד,nouns,3.2
1244,elekter,תיבה,nouns,0.4
1245,uus,עתיק,adjectives,0.7
1246,maks,הכנסה,nouns,1.0
1247,tapma,להילחם,verbs,1.0
1248,unustama,להתעלם,verbs,1.5
1249,taasmatmine,קבר,nouns,1.25
1250,lööma,למשוך,verbs,0.75
1251,programm,אוכל,nouns,0.4
1252,saama,לעשות,verbs,1.1
1253,vedelik,זרבובית,nouns,1.05
1254,kuningas,נפוטיזם,nouns,1.25
1255,passiivne,אלים,adjectives,0.55
1256,omama,לקחת,verbs,1.9
1257,ronima,לטייל,verbs,1.75
1258,ministeerium,סולטן,nouns,0.65
1259,puur,סירה,nouns,0.55
1260,kindlalt,בהחלט,adverbs,4.95
1261,tegema,לקרות,verbs,1.1
1262,haiget tegema,להעציב,verbs,1.55
1263,lill,סיגלית,nouns,2.25
1264,anarhia,כאוס,nouns,3.75
1265,mitte kunagi,לעיתים רחוקות,adverbs,1.45
1266,vaatama,לחפש,verbs,1.75
1267,laul,מבצע,nouns,0.95
1268,lusikas,כוס,nouns,1.35
1269,mast,דגל,nouns,1.5
1270,ise,ביטחון,nouns,0.95
1271,kuup,צעצוע,nouns,1.1
1272,sõber,אורח,nouns,2.05
1273,ülevõim,אומניפוטנטיות,nouns,2.65
1274,luu,שיניים,nouns,1.85
1275,bioloogia,אנטומיה,nouns,2.5
1276,tahe,כוונה,nouns,4.15
1277,kõver,עקום,adjectives,4.5
1278,sein,קישוט,nouns,0.85
1279,saatma,להגיע,verbs,0.8
1280,anuma,לבקש,verbs,3.55
1281,päikeseloojang,שולחן,nouns,0.05
1282,liikuma,להתפתל,verbs,1.05
1283,hing,אל,nouns,0.95
1284,jalg,יד,nouns,1.4
1285,ainulaadne,הפוך,adjectives,0.7
1286,jäätisekokteil,מיץ,nouns,1.7
1287,harima,ללמד,verbs,4.45
1288,rassism,קסנופוביה,nouns,3.0
1289,tagasi lükkama,לגנות,verbs,1.5
1290,rebane,כלב,nouns,1.45
1291,kõrs,המנון,nouns,0.0
1292,vaene,בודד,adjectives,1.1
1293,tabama,לכוון,verbs,1.25
1294,voodi,שמיכה,nouns,1.3
1295,hirmus,רע,adjectives,2.55
1296,vaip,בית,nouns,0.8
1297,aasta,יום הולדת,nouns,1.2
1298,hädaline,חסר ישע,adjectives,3.3
1299,müüt,סאטירה,nouns,1.05
1300,kaaspiloot,שוטר,nouns,0.75
1301,kallama,לטפטף,verbs,1.75
1302,krõmpsutama,לפצח,verbs,0.75
1303,mööbel,דירה,nouns,1.05
1304,org,קניון,nouns,3.85
1305,ignoreerima,לחקור,verbs,0.3
1306,ekseem,דרמטיטיס,nouns,2.3
1307,voodi,ספה,nouns,2.4
1308,peatama,להמתין,verbs,1.2
1309,seletama,לשוחח,verbs,1.8
1310,ignoreerima,לשכוח,verbs,1.5
1311,ülikoolilinnak,אוניברסיטה,nouns,2.1
1312,fakt,הוכחה,nouns,2.35
1313,lahkelt,בצורה יפה,adverbs,3.85
1314,suur,גמיש,adjectives,0.3
1315,kalkun,תרנגולת,nouns,1.55
1316,rumal,פתי,adjectives,2.55
1317,skeemitaja,אסטרטג,nouns,3.25
1318,uudised,רכילות,nouns,2.2
1319,teadlikkus,עניין,nouns,2.0
1320,kummaline,ערמומי,adjectives,0.85
1321,laul,סיפור,nouns,2.5
1322,õpilane,סטודנט,nouns,4.45
1323,rütm,חשבון,nouns,0.75
1324,tõbi,זיהום,nouns,2.65
1325,maks,ריאה,nouns,1.25
1326,kiir,שמש,nouns,1.55
1327,hiir,הנהלה,nouns,0.0
1328,vihmavari,קליבר,nouns,0.35
1329,mõtisklema,לחשוב,verbs,4.5
1330,ebatäpselt,בדיוק,adverbs,0.75
1331,rivi,רשימה,nouns,2.25
1332,patune,קדוש,nouns,0.85
1333,saama,להראות,verbs,0.3
1334,raamat,מאמר,nouns,1.55
1335,kaamera,נשיא,nouns,0.25
1336,kott,ארנק,nouns,3.2
1337,tõmbama,לדחוף,verbs,0.8
1338,käsikiri,ספר,nouns,2.15
1339,vastu võtma,למסור,verbs,0.8
1340,määrama,לחזות,verbs,1.45
1341,ettevaatlikult,בקפידה,adverbs,3.95
1342,nautima,לשנוא,verbs,0.25
1343,liha,בקר,nouns,2.75
1344,peatükk,פרק,nouns,3.85
1345,seebivaht,בועה,nouns,2.25
1346,suurus,טריק,nouns,0.05
1347,puuvill,פוליאסטר,nouns,1.2
1348,lisama,להפריד,verbs,0.65
1349,aeg-ajalt,בקביעות,adverbs,1.5
1350,juhataja,מנהיג,nouns,3.75
1351,sulam,פלדה,nouns,2.95
1352,sõna,ביטוי,nouns,2.4
1353,turvaline,מעיק,adjectives,0.35
1354,eriline,בעל ערך,adjectives,3.0
1355,kohalikult,בוודאי,adverbs,0.15
1356,tseremoonia,חגיגה,nouns,3.35
1357,eksamineerima,לפקח,verbs,2.8
1358,televisioon,תקשורת,nouns,2.1
1359,fakt,תובנה,nouns,1.7
1360,sent,גודל,nouns,0.45
1361,tark,אינטליגנטי,adjectives,5.15
1362,kindlus,גישה,nouns,0.75
1363,arheoloogia,אנתרופולוגיה,nouns,1.65
1364,entsüklopeedia,מילון,nouns,2.25
1365,lõimima,לנוע,verbs,1.05
1366,jahu,לחם,nouns,1.35
1367,asendus,החלפה,nouns,3.7
1368,karistama,ללמד,verbs,0.6
1369,alustama,החל,verbs,4.8
1370,kaste,תפוח,nouns,0.55
1371,auk,רעיה,nouns,0.05
1372,plärtsatus,צמיגות,nouns,0.35
1373,jätma,להתעלם,verbs,1.3
1374,poeg,אבא,nouns,1.9
1375,kandma,למסור,verbs,1.3
1376,keha,בטן,nouns,1.8
1377,privaatne,אישי,adjectives,5.35
1378,fantastiliselt,באופן מדהים,adverbs,5.05
