ID,CYM,POL,PoS,score
692,menyw,zadanie,nouns,0.0
693,cadair,łóżko,nouns,0.45
694,trin,płacić,verbs,0.2
695,milwr,chłopiec,nouns,0.2
696,deall,satysfakcjonować,verbs,0.45
697,cwmpawd,słoń,nouns,0.0
698,mynychu,przybywać,verbs,1.5
699,atwrnai,prawnik,nouns,4.35
700,hapus,obłąkany,adjectives,0.0
701,cynffon,klif,nouns,0.0
702,hedyn,musztarda,nouns,0.15
703,teithio,iść,verbs,2.5
704,yn ddibynadwy,pobieżnie,adverbs,0.1
705,blwch,źródło,nouns,0.0
706,yn oddefol,niezawodnie,adverbs,0.2
707,awyrgylch,zanieczyszczenie,nouns,0.8
708,crio,szlochać,verbs,4.5
709,gwely,żłób,nouns,1.0
710,gwneud,tworzyć,verbs,4.2
711,baner,słup,nouns,0.5
712,llawdriniaeth,serce,nouns,0.25
713,batri,energia,nouns,2.4
714,gwehyddu,ruszać,verbs,0.0
715,dde,sprawiedliwość,nouns,0.7
716,brandi,wino,nouns,1.25
717,aur,cynk,nouns,0.4
718,brawd,ojciec,nouns,0.7
719,hapusrwydd,pokój,nouns,1.55
720,arholiad,sylabus,nouns,0.3
721,poenus,zawstydzony,adjectives,0.5
722,pêl-droed,zabawa,nouns,0.75
723,asteroid,gwiazda,nouns,1.7
724,cyfoeth,bieda,nouns,0.3
725,bachgen,partner,nouns,0.6
726,wedi blino,głodny,adjectives,0.25
727,telesgop,krzesło,nouns,0.0
728,fflat,hotel,nouns,0.7
729,bar,więzienie,nouns,0.35
730,yn weithredol,pasywnie,adverbs,0.05
731,ffidil,gitara,nouns,1.25
732,trydanol,słodki,adjectives,0.0
733,dewis,opinia,nouns,0.9
734,gwaed,szpik,nouns,0.65
735,plisman,szeryf,nouns,3.0
736,brwydro,nie zgadzać się,verbs,1.45
737,ofnadwy,świetny,adjectives,0.0
738,tun,metal,nouns,3.1
739,chwalu,rozwalić,verbs,4.3
740,dwyn,brać,verbs,1.8
741,cyrchwr,frytki,nouns,0.0
742,erthygl,manuskrypt,nouns,1.0
743,teledu,scenarzysta,nouns,0.2
744,gradd,szkoła,nouns,0.75
745,mob,tłum,nouns,4.2
746,aren,organ,nouns,3.05
747,cig eidion,bydło,nouns,3.25
748,stori,ołówek,nouns,0.2
749,tasg,zlecenie,nouns,4.8
750,arestio,podejrzewać,verbs,0.65
751,corn,bęben,nouns,0.4
752,eglwys gadeiriol,sufit,nouns,0.3
753,caniatáu,aprobować,verbs,3.3
754,yn union,niedokładnie,adverbs,0.0
755,capel,iglica,nouns,0.3
756,canser,choroba,nouns,3.55
757,coes,ramię,nouns,0.7
758,drysu,uczyć się,verbs,0.0
759,llong ryfel,drednot,nouns,4.0
760,yn gyfiawn,dojrzale,adverbs,1.25
761,dwyn,nabyć,verbs,0.9
762,chwerthin,chichotać,verbs,5.05
763,dymuno,chcieć,verbs,4.95
764,anwybodus,regularny,adjectives,0.0
765,gafael,przytulić,verbs,1.5
766,malu,rozbić,verbs,4.25
767,croen,rower,nouns,0.0
768,hiliaeth,ksenofobia,nouns,3.0
769,gwely,meble,nouns,2.35
770,wedi tyfu,niedojrzały,adjectives,0.05
771,arwr,bohaterka,nouns,4.3
772,cyfreithiwr,bankier,nouns,0.6
773,palmwydd,palec,nouns,0.7
774,swcros,węglowodan,nouns,1.75
775,esgob,muzułmanin,nouns,0.2
776,blin,gwałtowny,adjectives,1.75
777,crogi,zabić,verbs,2.1
778,nenfwd,katedra,nouns,0.3
779,troed,piasek,nouns,0.05
780,planed,księżyc,nouns,1.8
781,ennill,dominować,verbs,2.65
782,nendwr,pałac,nouns,0.6
783,yn agored i niwed,bezradny,adjectives,1.3
784,cwyno,kłócić się,verbs,1.3
785,lladd,niszczyć,verbs,2.45
786,aloi,stal,nouns,2.15
787,clymu,tkać,verbs,1.35
788,meddu ar,absorbować,verbs,0.8
789,siriol,szczęśliwy,adjectives,4.9
790,plesio,zgadzać się,verbs,0.75
791,tsunami,morze,nouns,1.15
792,gwan,silny,adjectives,0.0
793,ymosod,ranić,verbs,2.7
794,eglwys gadeiriol,kościół,nouns,3.7
795,deall,wiedzieć,verbs,2.6
796,benthyg,błagać,verbs,0.8
797,cyfamod,porozumienie,nouns,5.05
798,gweithred,bieg,nouns,0.45
799,anghwrtais,krytyczny,adjectives,0.8
800,dyweddïad,pierścień,nouns,1.15
801,cynnyrch llaeth,miód,nouns,0.15
802,rhythm,melodia,nouns,1.9
803,gwirod,zespół,nouns,0.0
804,pêl-fas,kanapa,nouns,0.0
805,goroesi,żyć,verbs,3.25
806,gwych,niesamowity,adjectives,5.65
807,tywydd,fala,nouns,0.05
808,natur,flora,nouns,2.55
809,firws,krew,nouns,0.55
810,trefnu,stać się,verbs,0.05
811,person,zwierzę,nouns,0.1
812,pobi,smażyć,verbs,2.0
813,hynafol,współczesny,adjectives,0.0
814,yn ddiamynedd,pobieżnie,adverbs,0.8
815,pobl,cent,nouns,0.05
816,cofleidio,trzymać,verbs,1.5
817,mwsogl,trawa,nouns,1.25
818,yn swyddogol,silnie,adverbs,0.45
819,cytundeb,pakt,nouns,5.05
820,plismon,polityk,nouns,0.15
821,credyd,pożyczkobiorca,nouns,1.3
822,parêd,zespół,nouns,0.55
823,cyfnewid,zastępstwo,nouns,3.0
824,balch,smutny,adjectives,0.1
825,wal,cegła,nouns,0.95
826,ystafell,wanna,nouns,0.3
827,sgwrs,komunikacja,nouns,3.5
828,modur,samochód,nouns,5.2
829,arolygu,badać,verbs,3.2
830,cred,wrażenie,nouns,1.6
831,eirlithriad,śnieg,nouns,1.65
832,amsugno,posiąść,verbs,0.8
833,brecwast,wieczerza,nouns,0.65
834,dadlau,rządać,verbs,1.2
835,trychineb,wypadek,nouns,3.9
836,miniog,gładki,adjectives,0.3
837,brawdgarwch,baseball,nouns,0.0
838,digwyddiad codi arian,wydarzenie,nouns,1.4
839,mawr,ciężki,adjectives,1.1
840,rheiddiadur,sensor,nouns,0.15
841,yn fras,pobieżnie,adverbs,0.35
842,amsugno,wycofać,verbs,0.4
843,milwr,pokój,nouns,0.25
844,ymddangos,udawać,verbs,0.7
845,llaw,nadgarstek,nouns,1.7
846,cardbord,papier,nouns,2.9
847,ffrio,gotować,verbs,2.3
848,crisial,szkło,nouns,2.15
849,cinio,kanapka,nouns,0.75
850,cleddyf,środowisko,nouns,0.0
851,cyflog,pieniądze,nouns,3.1
852,swper,posiłek,nouns,3.85
853,arbed,wydawać,verbs,0.05
854,clyfar,tępy,adjectives,0.0
855,rhwygo,nosić,verbs,0.0
856,anelu,uderzyć,verbs,1.3
857,concwest,podróż,nouns,0.5
858,hurt,ogromny,adjectives,0.0
859,gitâr,skrzypce,nouns,1.25
860,pwyntydd,slajd,nouns,0.0
861,masarnen,drzewo,nouns,2.85
862,rhannu,dodawać,verbs,0.05
863,gwisgo,drzeć,verbs,0.0
864,codi,wznosić,verbs,3.2
865,cyfarwyddwr,kinematografia,nouns,1.0
866,diymhongar,zawstydzony,adjectives,0.65
867,dillad,kurtka,nouns,1.95
868,yn amlwg,pewnie,adverbs,2.95
869,yn dawel,pasywnie,adverbs,1.05
870,dyn,kobieta,nouns,0.2
871,anhrefn,lekcja,nouns,0.1
872,llawlyfr,przewodnik,nouns,2.3
873,gêm,trik,nouns,1.0
874,danfon,wystrzelić,verbs,0.75
875,gorllewin,północ,nouns,0.95
876,methu,uderzyć,verbs,0.1
877,rheilffordd,płot,nouns,0.35
878,addoli,podziwiać,verbs,2.65
879,rhifyddeg,logika,nouns,0.75
880,cofio,myśleć,verbs,0.7
881,sudd,mleko,nouns,0.75
882,aros,zatrzymywać,verbs,0.65
883,gwael,dumny,adjectives,0.15
884,apocalyps,ogień,nouns,0.9
885,cwmni,biznes,nouns,4.4
886,môr,rzeka,nouns,1.3
887,yn wahanol,normalny,adjectives,0.45
888,trwyn,głowa,nouns,0.9
889,nodyn,opłata,nouns,0.05
890,gwellt,hymn,nouns,0.0
891,cryptogram,symbol,nouns,2.9
892,yn ddiweddarach,nigdy,adverbs,0.4
893,dirmygus,pogardliwy,adjectives,3.8
894,cod,symbol,nouns,2.05
895,hedfaniad,lotnictwo,nouns,2.55
896,uno,wiązać,verbs,3.35
897,brenin,nepotyzm,nouns,0.5
898,barn,wybór,nouns,0.9
899,glaw,mżawka,nouns,3.7
900,undeb,suma,nouns,0.35
901,anghofio,uczyć się,verbs,0.15
902,côn,filiżanka,nouns,0.1
903,boddi,ratować,verbs,0.05
904,angel,demon,nouns,0.15
905,dianc,umknąć,verbs,5.4
906,pêl,kosz,nouns,0.35
907,cangen,ramię,nouns,0.7
908,hysbysu,polerować,verbs,0.0
909,lemwn,herbata,nouns,0.4
910,teledu,aktor,nouns,0.9
911,dal,otrzymywać,verbs,1.15
912,aderyn,indyk,nouns,2.85
913,fel arfer,nieregularnie,adverbs,0.1
914,gludiog,brudny,adjectives,1.15
915,yn heddychlon,dumnie,adverbs,0.05
916,athro,doktor,nouns,0.95
917,glob,świat,nouns,4.7
918,llygoden,pokład,nouns,0.0
919,dillad,szuflada,nouns,0.45
920,coridor,hol,nouns,4.75
921,sglodion,kursor,nouns,0.0
922,mwtant,socjobiologia,nouns,0.25
923,car,winda,nouns,0.1
924,arbennig,wartościowy,adjectives,2.25
925,polyester,bawełna,nouns,1.05
926,ffwr,pistolet,nouns,0.05
927,caniatáu,dać,verbs,1.4
928,nôl rhywbeth,kupować,verbs,0.5
929,main,szczupły,adjectives,4.6
930,cymeriad,osoba,nouns,2.35
931,marwolaeth,katastrofa,nouns,1.85
932,diogel,nużący,adjectives,0.0
933,tywysoges,król,nouns,1.05
934,canol,żołądek,nouns,0.55
935,cyfnod,dekada,nouns,1.95
936,cul,długi,adjectives,0.3
937,go fach,karłowaty,adjectives,3.0
938,teithlyfr,podręcznik,nouns,2.3
939,hyblyg,łatwy,adjectives,0.8
940,ceffyl,wół,nouns,1.2
941,osgoi,ignorować,verbs,3.1
942,cael,stracić,verbs,0.05
943,fideo,film,nouns,4.25
944,unwaith,dwukrotnie,adverbs,0.3
945,anodd,prosty,adjectives,0.05
946,mygu,przytulić,verbs,0.1
947,cadno,ogar,nouns,0.5
948,hydoddi,topić,verbs,3.2
949,mab,brat,nouns,0.95
950,mynychu,przyjść,verbs,2.9
951,nos,rozdział,nouns,0.0
952,yn ansicr,przestraszony,adjectives,2.0
953,pechadur,święty,nouns,0.35
954,deinosor,słoń,nouns,0.35
955,mêl,nabiał,nouns,0.15
956,papur newydd,słowo,nouns,0.5
957,prif air,składnia,nouns,0.35
958,sinema,opera,nouns,1.0
959,cath,królik,nouns,1.05
960,testun,książka,nouns,1.5
961,cadw,posiadać,verbs,2.45
962,eira,lód,nouns,2.5
963,cyfiawnder,trybunał,nouns,1.4
964,encilio,zstępować,verbs,1.05
965,ynys,księżniczka,nouns,0.0
966,portreadu,udawać,verbs,0.45
967,hawdd,giętki,adjectives,0.8
968,tref,miasto,nouns,3.15
969,yn gryf,oficjalnie,adverbs,0.45
970,edafedd,nić,nouns,4.0
971,llaw,kciuk,nouns,1.25
972,ymadael,czekać,verbs,0.0
973,sbeislyd,dobry,adjectives,0.25
974,sgwâr,mapa,nouns,0.05
975,enaid,brat,nouns,0.15
976,lleihau,ograniczać,verbs,3.9
977,llwy,filiżanka,nouns,0.7
978,benthyg,sprzedawać,verbs,0.15
979,ffa,bekon,nouns,0.3
980,log,wanna,nouns,0.0
981,tlodi,bogactwo,nouns,0.3
982,lifft,pudełko,nouns,0.1
983,tarw,cielę,nouns,1.9
984,ardal,region,nouns,5.2
985,aros,wstrzymać się,verbs,5.0
986,banc,siedzenie,nouns,0.2
987,pumed,czołowy,adjectives,0.0
988,pryd bwyd,wieczerza,nouns,3.85
989,mêr,krew,nouns,0.65
990,yn lleol,blisko,adverbs,3.6
991,angenrheidiol,niepotrzebny,adjectives,0.0
992,brwydr,wojowniczość,nouns,2.4
993,derbyn,wierzyć,verbs,1.4
994,brandi,alkohol,nouns,2.8
995,treisgar,rozzłoszczony,adjectives,1.75
996,wedi ei orchuddio,ubrany,adjectives,1.9
997,creigres,plaża,nouns,0.6
998,yn dawel,naturalnie,adverbs,0.1
999,handlen,białko,nouns,0.0
1000,gwn,świt,nouns,0.0
1001,meteor,grawitacja,nouns,0.45
1002,pennod,wybór,nouns,0.15
1003,cloch,wieża,nouns,0.4
1004,diwylliant,społeczeństwo,nouns,1.2
1005,cenedlaethol,duży,adjectives,0.3
1006,gwneuthurio,konstruować,verbs,3.65
1007,targed,strzała,nouns,0.45
1008,gorffen,odroczyć,verbs,0.45
1009,euog,uczciwy,adjectives,0.05
1010,amsugno,uczyć się,verbs,0.8
1011,hysbysu,uznawać,verbs,0.55
1012,braich,kość,nouns,1.25
1013,twll,porozumienie,nouns,0.0
1014,cymeradwyo,pozwalać,verbs,3.3
1015,ardderchog,świetny,adjectives,5.3
1016,gorffen,rywalizować,verbs,0.05
1017,tymestl,koc,nouns,0.0
1018,pryd bynnag,czasem,adverbs,0.8
1019,dillad,tkanina,nouns,1.4
1020,ffotoffon,homofon,nouns,0.2
1021,dweud,uczestniczyć,verbs,0.0
1022,gallu,kompetencja,nouns,3.8
1023,tân,apokalipsa,nouns,0.9
1024,ffensio,gimnastyka,nouns,0.6
1025,di-ffurf,bezkształtny,adjectives,5.65
1026,pont,karta,nouns,0.5
1027,cymryd,kraść,verbs,1.8
1028,dinistrio,zabić,verbs,2.45
1029,ysgafn,ostry,adjectives,0.05
1030,aeddfed,wyrafinowany,adjectives,1.85
1031,cinio,zupa,nouns,1.45
1032,cadernid,siła,nouns,4.45
1033,dadlau,wrzeszczeć,verbs,2.45
1034,ysgrifennydd,kobieta,nouns,1.05
1035,meddu ,zachować,verbs,2.45
1036,diflas,pewny,adjectives,0.0
1037,peilliad,pręcik,nouns,0.7
1038,benthyciwr,kredyt,nouns,1.3
1039,cell,pokój,nouns,2.1
1040,awgrymu,radzić,verbs,3.45
1041,clo,klucz,nouns,0.75
1042,ffrind,nauczyciel,nouns,0.4
1043,yn oddefol,aktywnie,adverbs,0.05
1044,paraseicoleg,neuropsychologia,nouns,1.55
1045,hyfforddwyr,medal,nouns,0.2
1046,diemwnt,pieniądze,nouns,0.75
1047,cred,kwiat,nouns,0.0
1048,beiddgar,dumny,adjectives,1.3
1049,llwyddo,wygrać,verbs,3.35
1050,dyn,triumfator,nouns,0.25
1051,llyfr,motyw,nouns,0.1
1052,nerth,zdolność,nouns,1.2
1053,cyntedd,korytarz,nouns,4.75
1054,wythnos,weekend,nouns,1.25
1055,coron,klucz,nouns,0.05
1056,mynachlog,prysznic,nouns,0.0
1057,basged,piłka,nouns,0.35
1058,rhestr,ciąg,nouns,1.25
1059,gwddf,kość,nouns,0.35
1060,mynd  ,odchodzić,verbs,1.3
1061,gwersyll,domek,nouns,0.7
1062,tystio,osądzać,verbs,0.6
1063,dyffryn,rzeka,nouns,0.75
1064,digid,liczba,nouns,5.0
1065,benthyg,chcieć,verbs,0.35
1066,coginio,wymieszać,verbs,0.65
1067,cwpan,łyżka,nouns,0.7
1068,canon,pistolet,nouns,1.85
1069,baco,papieros,nouns,2.85
1070,siart,wykres,nouns,4.5
1071,sensoriaeth,swoboda,nouns,0.05
1072,hafaliad,formuła,nouns,3.85
1073,addurn,koperta,nouns,0.1
1074,yn lleol,oczywiście,adverbs,0.0
1075,cwt,domek,nouns,4.45
1076,llifo,dryfować,verbs,3.15
1077,osgoi,odrzucić,verbs,1.65
1078,pelydr,światło słoneczne,nouns,2.65
1079,ardderchog,wspaniały,adjectives,5.65
1080,dafad,bydło,nouns,1.0
1081,ysgwydd,ciało,nouns,0.85
1082,buan,pośpieszny,adjectives,4.4
1083,maer,prezydent,nouns,1.75
1084,dyrchafu,promować,verbs,2.75
1085,caledwedd,futerał,nouns,0.25
1086,damwain,katastrofa,nouns,3.9
1087,mwynhau,zabawiać,verbs,0.7
1088,bronceitus,acetaminofen,nouns,0.4
1089,dyfarniad,rozprawa,nouns,1.9
1090,crebachu,redukować,verbs,3.2
1091,ffôn,budka,nouns,0.65
1092,gwrthod,obierać,verbs,0.2
1093,yn deg,niesprawiedliwie,adverbs,0.05
1094,ffon reoli,radar,nouns,0.05
1095,yn amlwg,pobieżnie,adverbs,0.3
1096,rhythm,kadencja,nouns,0.6
1097,llaeth,sok,nouns,0.75
1098,glofa,skała,nouns,0.45
1099,gludiog,mokry,adjectives,0.45
1100,byddin,oddział,nouns,3.25
1101,anaml,niewystarczający,adjectives,1.25
1102,hyfforddwr,nauczyciel,nouns,4.55
1103,amlen,dekoracja,nouns,0.1
1104,yn ddibynadwy,pasywnie,adverbs,0.2
1105,tad,bóg,nouns,2.3
1106,dechrau,iść,verbs,0.2
1107,proffwydo,ustalać,verbs,1.55
1108,menyw,dżinsy,nouns,0.05
1109,arae,lista,nouns,1.25
1110,canu,unosić się,verbs,0.0
1111,ar unwaith,niebawem,adverbs,1.75
1112,oedolyn,dziecko,nouns,0.4
1113,cemeg,teoria,nouns,0.55
1114,ysgrifennu,bazgrać,verbs,2.9
1115,cornel,obszar,nouns,0.7
1116,deiet,jabłko,nouns,0.4
1117,tegan,sześcian,nouns,0.1
1118,darlun,pęcherz,nouns,0.0
1119,nod,poszukiwanie,nouns,1.75
1120,cynghori,sugerować,verbs,3.45
1121,gwely,szpital,nouns,0.5
1122,fisa,globalizm,nouns,0.1
1123,glas,czerwony,adjectives,0.35
1124,ystafell wely,żołądek,nouns,0.0
1125,seren,planeta,nouns,2.15
1126,efelychiad,robotyka,nouns,0.6
1127,dinas,miasteczko,nouns,3.15
1128,chwarae,kłócić się,verbs,0.1
1129,gwael,samotny,adjectives,0.55
1130,cadw,pozostać,verbs,0.65
1131,porth,drzwi,nouns,4.25
1132,gweriniaeth,książę,nouns,0.05
1133,microsgop,biolog,nouns,0.75
1134,traethawd,książka,nouns,0.75
1135,lladd,dusić,verbs,1.7
1136,llyfr,informacja,nouns,0.85
1137,ar ôl,przed,adverbs,0.25
1138,gofal,ostrożność,nouns,2.85
1139,syth,wygięty,adjectives,0.05
1140,rhoi,pożyczyć,verbs,1.35
1141,ffurfdroad,infekcja,nouns,0.05
1142,lamp,dżin,nouns,0.3
1143,log,drewno,nouns,3.5
1144,aer,cząsteczka,nouns,0.65
1145,disgybl,prezydent,nouns,0.05
1146,harbwr,opakowanie,nouns,0.05
1147,cracio,złamać się,verbs,2.9
1148,anodd ei gael,rzadki,adjectives,1.25
1149,gwisg,bal,nouns,0.25
1150,osôn,atmosfera,nouns,1.95
1151,dweud celwydd,oskarżać,verbs,0.3
1152,dannedd,młotek,nouns,0.0
1153,yn hapus,śmiertelnie,adverbs,0.0
1154,cymryd,uzyskać,verbs,1.15
1155,deuod,kondensator,nouns,0.4
1156,chwedl,satyra,nouns,1.05
1157,brechdan,obiad,nouns,0.75
1158,cyw iâr,kolacja,nouns,0.6
1159,canfod,słyszeć,verbs,0.3
1160,yn unffurf,czasem,adverbs,0.0
1161,braich,kolano,nouns,0.65
1162,crio,łkać,verbs,5.0
1163,trochion,bańka,nouns,0.95
1164,cyfaill,przyjaciel,nouns,5.25
1165,cyfathrebu,telewizja,nouns,1.05
1166,bara,ser,nouns,0.35
1167,fel arfer,rutynowo,adverbs,3.85
1168,wedi gorffen,zakończony,adjectives,5.1
1169,cwrw,szampan,nouns,1.35
1170,anifail anwes,kot,nouns,2.95
1171,gwybodaeth,książka,nouns,0.85
1172,yn hael,nigdy,adverbs,0.0
1173,ffasiwn,tryb,nouns,0.1
1174,casglu,gromadzić,verbs,4.95
1175,noswaith,zachód słońca,nouns,2.8
1176,cydymaith,kumpel,nouns,4.4
1177,gwaethygu,napadać,verbs,0.55
1178,gên,kość,nouns,1.1
1179,theatr,film,nouns,0.95
1180,eilradd,istotny,adjectives,0.0
1181,angen,dowiadywać się,verbs,0.2
1182,yn gwrtais,dyskretnie,adverbs,0.6
1183,yn uchel,cicho,adverbs,0.0
1184,ystafell ymolchi,kuchnia,nouns,0.75
1185,ci hela,lis,nouns,0.5
1186,carchar,wybór,nouns,0.05
1187,yn hanfodol,krytycznie,adverbs,0.5
1188,llygoden,pojemnik,nouns,0.05
1189,gwraig,dziura,nouns,0.0
1190,methu,zniechęcać,verbs,0.15
1191,ffoi,uciec,verbs,5.4
1192,dadelfennu,faktoryzacja,nouns,1.2
1193,peiriant,silnik,nouns,4.0
1194,cael,kłaść,verbs,0.15
1195,coflaid,tulić,verbs,4.55
1196,ystafell,budynek,nouns,1.0
1197,planed,gwiazda,nouns,2.15
1198,amhosib,wykonalny,adjectives,0.35
1199,gwresogydd,parasol,nouns,0.0
1200,cwpan,słoik,nouns,1.3
1201,codi arian,rozwój,nouns,0.25
1202,hapus,młody,adjectives,0.3
1203,jin,whisky,nouns,1.6
1204,derbyn,złapać,verbs,1.15
1205,calibr,parasol,nouns,0.0
1206,uno,dzielić,verbs,0.05
1207,anhygoel,brudny,adjectives,0.0
1208,darganfod,zdać sobie sprawę,verbs,3.9
1209,cymdeithas,kultura,nouns,1.2
1210,ecsema,wysypka,nouns,3.35
1211,yn ddiffuant,uczciwie,adverbs,4.7
1212,ar hyn o bryd,delikatnie,adverbs,0.0
1213,ysgytlaeth,sok,nouns,0.9
1214,pennu,ewakuować,verbs,0.0
1215,llawr,pokład,nouns,2.2
1216,gwybod,dać,verbs,0.1
1217,stopio,kontrolować,verbs,0.4
1218,anarferol,cudaczny,adjectives,3.95
1219,ceiniog,okazja,nouns,0.5
1220,minc,futro,nouns,1.7
1221,rhyddhau,naciskać,verbs,0.05
1222,dwyn,kupować,verbs,0.05
1223,nyrs,naukowiec,nouns,0.2
1224,raced,hałas,nouns,0.1
1225,poen,krzywda,nouns,2.45
1226,galaeth,aplikacja,nouns,0.0
1227,meddwl,próbować,verbs,0.4
1228,dewis,wybierać,verbs,4.85
1229,yn wir,znacząco,adverbs,1.15
1230,dweud ar goedd,ogłaszać,verbs,4.95
1231,taliad,moneta,nouns,1.2
1232,blawd,chleb,nouns,0.8
1233,pibell,cygaro,nouns,0.45
1234,brawd,dusza,nouns,0.15
1235,cyffes,wyparcie,nouns,0.3
1236,rhaniad,mnożenie,nouns,0.5
1237,poenydio,irytować,verbs,2.55
1238,anrhydedd,poważanie,nouns,2.2
1239,angenrheidiol,ważny,adjectives,3.7
1240,anghytuno,walczyć,verbs,1.45
1241,brawdgarwch,mężczyźni,nouns,1.1
1242,hysbysu,ukazywać,verbs,0.8
1243,myfyrio,myśleć,verbs,3.45
1244,canlyn,przekonywać,verbs,1.15
1245,reis,kurczak,nouns,0.15
1246,gwn,trik,nouns,0.05
1247,swltan,ministerstwo,nouns,0.3
1248,nofel,pisarz,nouns,0.95
1249,camera,soczewka,nouns,1.2
1250,rhesel,kołyska,nouns,1.7
1251,tun,aluminium,nouns,2.4
1252,cromlin,kąt,nouns,1.0
1253,eglur,oczywisty,adjectives,3.0
1254,sigâr,rura,nouns,0.45
1255,bod mewn dyled,pożyczyć,verbs,2.2
1256,newyddion,plotka,nouns,2.25
1257,golchi,płukać,verbs,3.25
1258,beibl,hymn,nouns,0.65
1259,bydysawd,niebo,nouns,1.25
1260,hyfforddi,uczyć się,verbs,4.35
1261,cul,szczupły,adjectives,3.3
1262,caniatáu,obalać,verbs,0.0
1263,bacwn,śniadanie,nouns,0.9
1264,cyfraniad,ofiara,nouns,1.7
1265,gwraig,matka,nouns,1.45
1266,plesio,prosić,verbs,0.0
1267,neigaredd,król,nouns,0.5
1268,yn rhyfeddol,fantastycznie,adverbs,4.6
1269,gofyn,modlić się,verbs,0.75
1270,diwydiant,biznes,nouns,2.1
1271,mynd  ,zaczynać,verbs,0.2
1272,cymryd,otrzymywać,verbs,2.2
1273,torri,pękać,verbs,2.9
1274,deall,słuchać,verbs,1.1
1275,colli,dostać,verbs,0.05
1276,gwin,brandy,nouns,1.25
1277,dadl,krytyka,nouns,1.3
1278,dod yn,pojawić się,verbs,1.4
1279,sbeislyd,słaby,adjectives,0.0
1280,heno,jutro,adverbs,0.2
1281,cyfathrebu,język,nouns,2.25
1282,ymgeisydd,zwycięzca,nouns,0.75
1283,cadair,ławka,nouns,2.3
1284,rhadlon,miły,adjectives,2.7
1285,calendr,data,nouns,1.8
1286,drws,obecność,nouns,0.0
1287,dillad,sukno,nouns,0.95
1288,brawd,chłopiec,nouns,1.35
1289,cas,narzędzia,nouns,0.25
1290,fel arfer,szczerze,adverbs,0.5
1291,stopio,gwizdać,verbs,0.1
1292,pwffian chwerthin,śmiać się,verbs,5.05
1293,amddiffyn,pomagać,verbs,1.9
1294,meddwl,dowiadywać się,verbs,0.75
1295,cynhwysor,dioda,nouns,0.4
1296,adeiladu,niszczyć,verbs,0.05
1297,anaeddfed,dorosły,adjectives,0.05
1298,harddwch,sonet,nouns,0.25
1299,pren,polano,nouns,3.5
1300,liberti,wolność,nouns,5.3
1301,gorsedd,miecz,nouns,0.4
1302,cadw,hołubić,verbs,0.65
1303,clun,warga,nouns,0.2
1304,gwybod,zapominać,verbs,0.05
1305,brenin,księżniczka,nouns,1.05
1306,cadair,teleskop,nouns,0.0
1307,lleihau,spadać,verbs,1.15
1308,menyn,ziemniak,nouns,0.3
1309,gweinidogaeth,sułtan,nouns,0.3
1310,gwario,oszczędzać,verbs,0.05
1311,iâ,woda,nouns,1.45
1312,crebachu,rosnąć,verbs,0.05
1313,ymuno,odchodzić,verbs,0.05
1314,yn ddiffuant,zwykle,adverbs,0.5
1315,brwydro,zabić,verbs,0.95
1316,bwydlen,zamówienie,nouns,0.7
1317,mwgwd,impreza,nouns,0.4
1318,dynwared,pojmać,verbs,0.0
1319,prif fwrdd,płyta matka,nouns,3.0
1320,lleng,armia,nouns,3.25
1321,cadlong,pancernik,nouns,4.0
1322,nerf,trzewia,nouns,0.4
1323,carchar,pręt,nouns,0.35
1324,lindys,jedwabnik,nouns,2.5
1325,ffug,sztuczny,adjectives,4.9
1326,gogwyddo,skłaniać,verbs,3.45
1327,cyfarch,spotykać,verbs,0.95
1328,blwch,winda,nouns,0.1
1329,salad,ocet,nouns,0.35
1330,llwyn,kwiat,nouns,1.1
1331,gwahaniaethu,zgadzać się,verbs,0.0
1332,cyfeiliornus,niewiarygodny,adjectives,1.6
1333,ymosod,drażnić,verbs,0.55
1334,cysylltu,oddzielać,verbs,0.05
1335,yn gyfrinachol,śmiało,adverbs,0.15
1336,ergyd,rama,nouns,0.0
1337,dinistrio,rozpadać się,verbs,1.45
1338,hapus,wesoły,adjectives,4.9
1339,yn hael,życzliwie,adverbs,2.55
1340,afal,dieta,nouns,0.4
1341,rhifyddeg,rytm,nouns,0.0
1342,argyhoeddi,próbować,verbs,0.65
1343,cwch,samochód,nouns,0.7
1344,fforddiadwy,tani,adjectives,4.5
1345,cyfrwng,wiadomości,nouns,0.75
1346,dawnsio,sukienka,nouns,0.15
1347,cysuro,poniżać,verbs,0.0
1348,babi,dorosły,nouns,0.1
1349,ceisio,myśleć,verbs,0.4
1350,byr,długi,adjectives,0.05
1351,cwmwl,jezioro,nouns,0.35
1352,braf,towarzyski,adjectives,2.7
1353,newynog,spragniony,adjectives,1.3
1354,dyffryn,depresja,nouns,1.0
1355,gwartheg,krowa,nouns,4.85
1356,aros,odchodzić,verbs,0.05
1357,ceffyl,klacz,nouns,3.85
1358,ehangu,rosnąć,verbs,3.95
1359,yn gain,pięknie,adverbs,2.9
1360,enillydd,mistrz,nouns,5.05
1361,eang,świeży,adjectives,0.1
1362,beic,sypialnia,nouns,0.0
1363,cawod,klasztor,nouns,0.0
1364,arllwys,kapać,verbs,1.85
1365,hylif,dysza,nouns,0.0
1366,cylchfordaith,bagaż,nouns,0.0
1367,modrwy,zaręczyny,nouns,1.15
1368,garddwrn,ręka,nouns,1.7
