ID,CMN,CYM,PoS,score
738,句法,prif air,nouns,0.38
739,锁,allwedd,nouns,0.96
740,大炮,pêl,nouns,0.3
741,理想地,yn fecanyddol,adverbs,0.09
742,父亲,brawd,nouns,0.64
743,翻译者,tramorwr,nouns,0.33
744,港口,papur lapio,nouns,0.0
745,星星,planed,nouns,2.79
746,偷,caffael,verbs,1.14
747,容器,wagen,nouns,0.09
748,鸟,twrci,nouns,2.08
749,可靠地,yn fras,adverbs,0.09
750,强大,nerthol,adjectives,4.53
751,发展,codi arian,nouns,0.24
752,好心地,yn hael,adverbs,2.77
753,圣歌,gwellt,nouns,0.0
754,公主,brenin,nouns,0.45
755,地区,cornel,nouns,0.68
756,门,seler,nouns,0.28
757,不诚实,onest,adjectives,0.1
758,剑,gorsedd,nouns,0.57
759,货车,car,nouns,2.21
760,裁判官,barnwr,nouns,3.92
761,冰,eira,nouns,2.77
762,通常,anaml,adverbs,0.23
763,现金,arian,nouns,4.0
764,电池,egni,nouns,2.26
765,似乎,esgus,verbs,0.29
766,享受,diddanu,verbs,1.05
767,做,gadael,verbs,0.0
768,酒吧,carchar,nouns,0.38
769,晚上,dydd ,nouns,0.1
770,羞耻,poenus,adjectives,0.29
771,农业,ungnwd,nouns,0.79
772,雪茄,pibell,nouns,1.26
773,慷慨地,byth,adverbs,0.0
774,自由,liberti,nouns,4.84
775,片,maes awyr,nouns,0.0
776,剑,amgylchedd,nouns,0.18
777,杜松子酒,wisgi,nouns,1.82
778,码,metr,nouns,1.69
779,心情,emosiwn,nouns,2.79
780,钱,cyflog,nouns,3.58
781,参议院,cyfansoddiad,nouns,0.81
782,长凳,cadair,nouns,3.37
783,按下,rhyddhau,verbs,0.05
784,薪水,arian,nouns,3.58
785,确定,siwr,adjectives,5.54
786,否认,dweud celwydd,verbs,0.42
787,走,dechrau,verbs,0.29
788,非自然,yn negyddol,adverbs,0.39
789,意外,trychineb,nouns,3.15
790,叶,eginblanhigyn,nouns,1.01
791,离开,anwybyddu,verbs,0.68
792,国王,tywysoges,nouns,0.45
793,降低,lleihau,verbs,4.36
794,金属,alwminiwm,nouns,2.95
795,人,poblogaeth,nouns,2.33
796,扭曲,crwm,adjectives,2.73
797,离开,cymryd,verbs,0.05
798,完成,llwyddo,verbs,3.08
799,有意义,yn ddwfn,adverbs,1.82
800,大致,yn ddiamynedd,adverbs,0.2
801,地板,drws,nouns,0.05
802,撕开,gwisgo,verbs,0.09
803,教学大纲,arholiad,nouns,0.48
804,主题,stori,nouns,0.82
805,跟随,ymlid,verbs,2.26
806,戏法,bàth,nouns,0.0
807,很少地,fel arfer,adverbs,0.23
808,老师,myfyriwr,nouns,0.57
809,惩罚,bwrw,verbs,0.45
810,怪诞,anarferol,adjectives,4.02
811,目前,yn ofalus,adverbs,0.0
812,肚子,corff,nouns,1.42
813,人,dimai,nouns,0.0
814,代替,adfer,verbs,0.05
815,有趣,pêl-droed,nouns,0.2
816,厨房,ystafell ymolchi,nouns,0.54
817,小心地,yn beryglus,adverbs,0.23
818,乏味,diogel,adjectives,0.0
819,旧,cymysg,adjectives,0.1
820,大风,blanced,nouns,0.0
821,帮手,morwyn,nouns,2.22
822,疯狂,hapus,adjectives,0.46
823,法庭,barnwr,nouns,0.86
824,美,soned,nouns,0.2
825,使心烦,anghefnogi,verbs,1.54
826,导演,sinematograffeg,nouns,1.04
827,香槟,wisgi,nouns,1.83
828,犯罪,twyll,nouns,2.71
829,警察,gwleidydd,nouns,0.15
830,恶化,sychu,verbs,0.3
831,猫,cwningen,nouns,0.78
832,承认,siarad,verbs,0.38
833,静脉,stumog,nouns,0.29
834,有趣,trist,adjectives,0.04
835,成长,crebachu,verbs,0.14
836,重要,angenrheidiol,adjectives,3.51
837,老鼠,cynhwysydd,nouns,0.0
838,毕业,gorffen,verbs,1.78
839,乐队,cerddorfa,nouns,3.5
840,区域,ardal,nouns,5.24
841,十字架,mynach,nouns,0.39
842,炒,berwi,verbs,0.92
843,明亮地,yn fawr,adverbs,0.05
844,轻松,llonydd,adjectives,1.0
845,大致,yn fras,adverbs,0.6
846,亲王国,dugiaeth,nouns,1.67
847,主力舰,cadlong,nouns,3.17
848,提醒,anghofio,verbs,0.23
849,喜爱,casáu,verbs,0.09
850,拿,meddu ar,verbs,0.68
851,原谅,deall,verbs,0.67
852,河,dyffryn,nouns,1.31
853,和平,milwr,nouns,0.15
854,枪,canon,nouns,2.01
855,脖子,braich,nouns,0.24
856,无助,anghenus,adjectives,0.83
857,乱,glân,adjectives,0.04
858,自信,hunan,nouns,0.33
859,离开,ymuno,verbs,0.23
860,沙发,gwely,nouns,0.76
861,柄,protein,nouns,0.0
862,认识到,darganfod,verbs,3.76
863,一分钱,pobl,nouns,0.0
864,短,hir,adjectives,0.14
865,牙,morthwyl,nouns,0.0
866,门,cloch,nouns,0.2
867,衣服,botwm,nouns,0.33
868,当然,yn amlwg,adverbs,2.61
869,大致地,yn hawdd,adverbs,0.05
870,加入,atodi,verbs,1.01
871,接受,gwrthod,verbs,0.25
872,两次,wastad,adverbs,0.2
873,小麦粉,bara,nouns,1.36
874,望远镜,cadair,nouns,0.0
875,忘记,maddau,verbs,0.88
876,内疚,drwg,adjectives,0.65
877,肚子,cwrs,nouns,0.0
878,溶解,toddi,verbs,3.51
879,乐队,dygnwch,nouns,0.0
880,和声,piano,nouns,0.78
881,带来,cwyno,verbs,0.09
882,角度,pellter,nouns,0.18
883,理解,darllen,verbs,0.67
884,胜利者,dyn,nouns,0.28
885,酱,afal,nouns,0.29
886,女人,ysgrifennydd,nouns,0.52
887,船,dec,nouns,0.96
888,果汁,llaeth,nouns,0.77
889,追逐,dal,verbs,1.74
890,发展,gwrtaith,nouns,0.68
891,两次,sawl,adverbs,0.29
892,脆弱,diymadferth,adjectives,1.75
893,高速公路,ffordd,nouns,3.92
894,钟,drws,nouns,0.2
895,种族,penwythnos,nouns,0.0
896,刺激,diflas,adjectives,0.14
897,马,ebol,nouns,3.63
898,轨,ffens,nouns,0.05
899,花朵,dygnwch,nouns,0.33
900,手臂,cangen,nouns,0.65
901,沐浴,gwraig,nouns,0.0
902,病毒,gwaed,nouns,0.39
903,未成熟的,anghyfrifol,adjectives,1.86
904,准许,cymeradwyo,verbs,3.21
905,火,apocalyps,nouns,0.76
906,旧,newydd,adjectives,0.14
907,原木,pren,nouns,3.94
908,帽子,cot,nouns,1.08
909,踝,ffenestr,nouns,0.0
910,根,glaswellt,nouns,0.38
911,需求,ceryddu,verbs,0.24
912,关键地,yn hanfodol,adverbs,0.28
913,画画,terfysg,nouns,0.04
914,听,deall,verbs,1.23
915,能力,cymhwysedd,nouns,4.59
916,遇见,gadael,verbs,0.23
917,雇主,gweithiwr,nouns,0.43
918,确定,proffwydo,verbs,0.49
919,自然地,yn annaturiol,adverbs,0.23
920,心理学,gwyddoniaeth,nouns,2.41
921,毛,gwn,nouns,0.05
922,实质上,yn feirniadol,adverbs,0.28
923,草,mwsogl,nouns,1.52
924,公国,tywysogaeth,nouns,1.67
925,竞争,gorffen,verbs,0.0
926,信封,addurn,nouns,0.32
927,体操,ffensio,nouns,0.66
928,迅速,cyflym,adjectives,5.2
929,酒,wisgi,nouns,2.97
930,幸福,heddwch,nouns,1.69
931,忽略,gofyn,verbs,0.09
932,想要,dymuno,verbs,4.39
933,肠子,nerf,nouns,0.24
934,流星,disgyrchiant,nouns,0.3
935,说服,ceisio,verbs,0.32
936,失败,llwyddo,verbs,0.23
937,细胞质,digid,nouns,0.0
938,静脉,braich,nouns,0.24
939,获得,dwyn,verbs,1.14
940,说,gwirio,verbs,0.15
941,表哥,ewythr,nouns,0.48
942,女孩,morwyn,nouns,2.4
943,大多,yn ddwfn,adverbs,0.33
944,困难,hawdd,adjectives,0.07
945,救,amddiffyn,verbs,2.53
946,非常,yn llachar,adverbs,0.05
947,稻草,emyn,nouns,0.0
948,决定,meddwl,verbs,1.18
949,进入,gadael,verbs,0.28
950,哭,wylo,verbs,5.5
951,羊,oen,nouns,3.83
952,脑,nerf,nouns,1.36
953,米,iard,nouns,1.69
954,哲学家,rasio,nouns,0.0
955,诚实,euog,adjectives,0.1
956,带来,danfon,verbs,0.65
957,篮球,pêl-fas,nouns,1.37
958,稻草,gwraig,nouns,0.09
959,鸡,reis,nouns,0.1
960,阻碍,ymdrechu,verbs,0.15
961,听,canfod,verbs,0.79
962,作家,cyfansoddwr,nouns,2.88
963,窗台,mynydd,nouns,0.0
964,肉,gwaed,nouns,0.68
965,教授,meddyg,nouns,0.76
966,频繁,cyfartaledd,adjectives,0.63
967,面具,parti,nouns,0.24
968,检查,ymchwilio,verbs,3.21
969,聪慧,hurt,adjectives,0.09
970,符号,cod,nouns,2.5
971,牛,ceffyl,nouns,0.63
972,大,hawdd,adjectives,0.0
973,朋友,athro,nouns,0.71
974,磁盘,cyfrifiadur,nouns,0.68
975,长,byr,adjectives,0.14
976,医生,ffisigwr,nouns,4.71
977,罐子,cwpan,nouns,1.6
978,下面,ochr,nouns,0.59
979,州,cartref,nouns,0.0
980,购买,dwyn,verbs,0.33
981,狡猾,rhyfedd,adjectives,0.32
982,锁起来,cell,nouns,1.54
983,手腕,llaw,nouns,1.8
984,使气馁,tramgwyddo,verbs,1.54
985,道德,chwedl,nouns,0.2
986,棒球,pêl-fasged,nouns,1.37
987,唇,ceg,nouns,2.53
988,同音词,ffotoffon,nouns,0.15
989,收缩,lleihau,verbs,3.13
990,屏蔽,bwcler,nouns,0.89
991,出席,dadlau,verbs,0.09
992,大方,braf,adjectives,1.45
993,训斥,mynnu,verbs,0.24
994,无聊,wedi blino,adjectives,0.44
995,保持,benthyg,verbs,0.1
996,累,diflas,adjectives,0.44
997,电梯,cludo,verbs,1.38
998,平庸,drwg,adjectives,0.15
999,观察,gwylio,verbs,3.68
1000,抽屉,dillad,nouns,0.34
1001,退休,tynnu'n ôl,verbs,1.11
1002,刺激,dyfalu,verbs,0.04
1003,烟斗,sigâr,nouns,1.26
1004,段,llythyr,nouns,0.54
1005,僵硬,hawdd,adjectives,0.09
1006,确定,gwacáu,verbs,0.0
1007,珍珠,arian,nouns,0.15
1008,餐,cinio,nouns,3.0
1009,私人,personol,adjectives,4.04
1010,大声地,yn gynnil,adverbs,0.0
1011,窗口,ffêr,nouns,0.0
1012,角,ardal,nouns,0.68
1013,参与,dweud,verbs,0.0
1014,衬衣,cardigan,nouns,1.13
1015,狗,cath,nouns,0.78
1016,轻信,twp,adjectives,0.68
1017,字母,pen,nouns,0.0
1018,谷仓,tŷ,nouns,0.48
1019,猫,anifail anwes,nouns,3.03
1020,潜水,creu,verbs,0.0
1021,糖果,sinamon,nouns,0.49
1022,球,canon,nouns,0.3
1023,派对,mwgwd,nouns,0.24
1024,合作,cymryd rhan,verbs,1.27
1025,花园,pibell,nouns,0.0
1026,创建,dinistrio,verbs,0.23
1027,饥饿,wedi blino,adjectives,0.33
1028,大灾变,tân,nouns,0.76
1029,蚕,lindys,nouns,2.05
1030,蜜糖,siwgr,nouns,2.17
1031,监护人,oedolyn,nouns,2.02
1032,电梯,blwch,nouns,0.0
1033,大笑,crio,verbs,0.28
1034,愉快,gwych,adjectives,2.67
1035,不昂贵,rhad,adjectives,4.05
1036,暴风雪,glaw,nouns,0.81
1037,电视,sgriptiwr,nouns,0.43
1038,字,geiriadur,nouns,1.07
1039,私人的,cyhoeddus,adjectives,0.14
1040,杀,crogi,verbs,2.6
1041,男人,gŵr,nouns,3.55
1042,尝试,argyhoeddi,verbs,0.32
1043,耐力,band,nouns,0.0
1044,晚餐,brecwast,nouns,0.86
1045,通知,hysbysu,verbs,3.83
1046,休会,gorffen,verbs,0.44
1047,使满意,cytuno,verbs,1.35
1048,柔韧,mawr,adjectives,0.24
1049,肘,ffêr,nouns,0.68
1050,伤心,balch,adjectives,0.24
1051,暴风雨,corwynt,nouns,2.92
1052,猎狗,cadno,nouns,0.77
1053,讨论,egluro,verbs,1.8
1054,混合,troelli,verbs,3.27
1055,失去,cadw,verbs,0.29
1056,毁灭,adeiladwaith,nouns,0.18
1057,最佳,pumed,adjectives,0.04
1058,困扰,dychryn,verbs,1.08
1059,了解,gwrando,verbs,1.23
1060,吸收,meddu ar,verbs,0.38
1061,身体,braich,nouns,0.68
1062,宪法,senedd,nouns,0.81
1063,电影,teledu,nouns,1.78
1064,说,mynegi,verbs,3.54
1065,警察,cyd-beilot,nouns,0.1
1066,长大,anaeddfed,adjectives,0.23
1067,棚屋,lloches,nouns,1.27
1068,人,balŵn,nouns,0.0
1069,追逐,dilyn,verbs,2.26
1070,杂,hen,adjectives,0.1
1071,悲剧,angau,nouns,1.73
1072,心烦,cywilydd,adjectives,0.29
1073,起源,dechrau,verbs,3.81
1074,活动,hyblyg,adjectives,1.07
1075,软管,gardd,nouns,0.0
1076,奇怪,cyffredin,adjectives,0.04
1077,走道,neuadd,nouns,0.14
1078,实际地,yn ddelfrydol,adverbs,0.54
1079,兄弟会,drws,nouns,0.0
1080,巧妙,yn aeddfed,adverbs,0.63
1081,粗糙,hyll,adjectives,0.28
1082,星期,penwythnos,nouns,1.94
1083,离开,aros,verbs,0.14
1084,管理,gweinyddiaeth,nouns,3.01
1085,现代,hynafol,adjectives,0.0
1086,用拳猛击,pinsio,verbs,0.73
1087,雇主,gweithiwr,nouns,0.35
1088,死,datgymalu,verbs,0.18
1089,头,trwyn,nouns,0.54
1090,停,rhybuddio,verbs,0.7
1091,谷物,gwenith,nouns,2.63
1092,判断,tystio,verbs,0.49
1093,车,medrydd,nouns,0.18
1094,无助,yn agored i niwed,adjectives,1.75
1095,通常,yn ddiffuant,adverbs,0.2
1096,男人,menyw,nouns,0.28
1097,舱,gwersyll,nouns,0.54
1098,说谎,cyhuddo,verbs,0.43
1099,萤幕,monitor,nouns,0.67
1100,皇帝,cyfansoddiad,nouns,0.1
1101,鹰,aderyn,nouns,2.09
1102,蠢,hurt,adjectives,5.56
1103,电话,stondin,nouns,0.0
1104,母亲,ffrind,nouns,0.73
1105,留,gadael,verbs,0.14
1106,拒绝,etholi,verbs,0.0
1107,异族,alltud,nouns,3.62
1108,重要地,yn wir,adverbs,0.35
1109,购买,nôl rhywbeth,verbs,0.81
1110,付款,ceiniog,nouns,0.9
1111,洞察力,ffaith,nouns,0.49
1112,小提琴,offeryn,nouns,2.92
1113,鼓,gitâr,nouns,0.68
1114,貂,olew,nouns,0.0
1115,赌,betio,verbs,5.13
1116,轻松,dan straen,adjectives,0.0
1117,薄荷,amgueddfa,nouns,0.0
1118,收集,trefnu,verbs,1.0
1119,大规模,yn agored,adverbs,0.8
1120,逃走,ffoi,verbs,5.37
1121,牛,gafr,nouns,0.82
1122,遇见,cyfarch,verbs,0.83
1123,主要地,yn derfynol,adverbs,0.4
1124,强烈地,yn swyddogol,adverbs,0.42
1125,滑雪,eirfwrdd,nouns,1.63
1126,日志,fformiwla,nouns,0.4
1127,房屋,allwedd,nouns,0.15
1128,绝望,trallod,nouns,2.78
1129,男孩,partner,nouns,0.28
1130,运送,derbyn,verbs,0.05
1131,喝醉,sobr,adjectives,0.14
1132,探索,darganfod,verbs,2.46
1133,马,caseg,nouns,4.07
1134,不需要,angenrheidiol,adjectives,0.09
1135,嘴巴,gwefus,nouns,2.53
1136,脊柱,corff,nouns,0.98
1137,力量,gallu,nouns,2.35
1138,拒绝,osgoi,verbs,1.43
1139,麻布,ffabrig,nouns,2.5
1140,沙子,troed,nouns,0.1
1141,网球,ystadegau,nouns,0.0
1142,艺术品,artist,nouns,1.06
1143,鸢尾花,asetylocolin,nouns,0.05
1144,慷慨地,yn garedig,adverbs,2.77
1145,鼻子,gwddf,nouns,0.29
1146,暖炉,ymbarél,nouns,0.04
1147,成年人,plentyn,nouns,0.68
1148,怪异,anarferol,adjectives,4.13
1149,实现,ceisio,verbs,0.86
1150,幻灯片,pwyntydd,nouns,0.09
1151,天花板,eglwys gadeiriol,nouns,0.1
1152,风暴,cwmwl,nouns,0.86
1153,社会,diwylliant,nouns,1.14
1154,舒服地,yn hawdd,adverbs,1.33
1155,船,modur,nouns,0.54
1156,好斗,crwm,adjectives,0.09
1157,贫困,cyfoeth,nouns,0.2
1158,洞,cytundeb,nouns,0.0
1159,咖啡,ffa,nouns,0.58
1160,擦,dirywio,verbs,0.3
1161,牛仔裤,menyw,nouns,0.1
1162,特别,gwerthfawr,adjectives,1.27
1163,疯狂,gwallgof,adjectives,4.69
1164,同意,gwahaniaethu,verbs,0.0
1165,许多,digonedd,nouns,4.24
1166,果园,estrys,nouns,0.0
1167,牛奶,sudd,nouns,0.77
1168,清醒,meddw,adjectives,0.14
1169,想要,benthyg,verbs,0.24
1170,北,de,nouns,0.49
1171,发现,tarddu,verbs,0.34
1172,态度,hyder,nouns,1.23
1173,人,gwn,nouns,0.05
1174,人物,person,nouns,3.68
1175,新,heb ei ddefnyddio,adjectives,3.97
1176,屏幕,ffonoleg,nouns,0.0
1177,眼睛,ael,nouns,0.78
1178,起泡,darlun,nouns,0.0
1179,推,beio,verbs,0.23
1180,星系,ap,nouns,0.0
1181,枫木,derwen,nouns,2.03
1182,树,cwch,nouns,0.0
1183,喜悦,balchder,nouns,1.76
1184,乘,rhannu,verbs,0.57
1185,诗,rhythm,nouns,0.78
1186,原木,bàth,nouns,0.0
1187,装作,portreadu,verbs,0.35
1188,肚子,ystafell wely,nouns,0.0
1189,头,ewin,nouns,0.05
1190,闪电攻击,ymosodiad,nouns,3.38
1191,声望,cyfoeth,nouns,0.37
1192,巧克力,pastai,nouns,0.38
1193,多面体,actor,nouns,0.0
1194,交付,cymryd,verbs,0.24
1195,房间,adeilad,nouns,0.64
1196,牛,dafad,nouns,1.03
1197,难以置信地,yn dynn,adverbs,0.0
1198,手臂,gwddf,nouns,0.24
1199,弯曲,ymosodol,adjectives,0.09
1200,嘴巴,trwyn,nouns,0.34
1201,象征,arwydd,nouns,4.7
1202,使气馁,annog,verbs,0.18
1203,整齐,glân,adjectives,2.55
1204,脖子,asgwrn cefn,nouns,0.68
1205,说服,canlyn,verbs,0.29
1206,神经,ymennydd,nouns,1.36
1207,得到,caffael,verbs,4.27
1208,兔子,cath,nouns,0.78
1209,积极地,yn gywir,adverbs,0.72
1210,早餐,swper,nouns,0.92
1211,争论,dadlau,verbs,3.19
1212,自豪,trist,adjectives,0.24
1213,海报,papur,nouns,1.55
1214,泥,baw,nouns,4.95
1215,疯,sâl,adjectives,0.6
1216,喷嘴,hylif,nouns,0.0
1217,阿姨,ewythr,nouns,1.27
1218,读,deall,verbs,0.67
1219,允许,gwrthbrofi,verbs,0.0
1220,正常,yn wahanol,adjectives,0.35
1221,连接,ymuno,verbs,1.01
1222,爆玉米花,sinema,nouns,0.57
1223,纸,poster,nouns,1.55
1224,任务,priffordd,nouns,0.0
1225,军士,gwn,nouns,0.29
1226,无家可归,biliwnydd,nouns,0.05
1227,靠不住的,cyfeiliornus,adjectives,1.69
1228,建议,argymell,verbs,3.91
1229,脚,llaw,nouns,0.43
1230,订婚,modrwy,nouns,1.39
1231,霸权,hollalluogrwydd,nouns,1.32
1232,难以置信,cyffredin,adjectives,0.0
1233,公开,heb ei ddatgelu,adjectives,0.09
1234,硬币,taliad,nouns,0.9
1235,蚂蚁,hedfan,nouns,0.32
1236,山羊,buwch,nouns,0.82
1237,不同意,cytuno,verbs,0.23
1238,容器,llygoden,nouns,0.0
1239,海军,ynys,nouns,0.15
1240,进入,mynd,verbs,1.5
1241,雾气,cwmwl,nouns,2.35
1242,提醒,gwerthu,verbs,0.0
1243,射线,heulwen,nouns,1.78
1244,注意,ymwybyddiaeth,nouns,2.51
1245,王子,brenin,nouns,1.55
1246,云,ffenestr,nouns,0.0
1247,威士忌酒,jin,nouns,1.82
1248,骗局,llygredd,nouns,1.18
1249,气球,bàth,nouns,0.0
1250,纸,cardbord,nouns,2.65
1251,逻辑,rhifyddeg,nouns,1.44
1252,懒,gwerthfawr,adjectives,0.04
1253,女王,gwenynen,nouns,0.05
1254,器官,afu,nouns,2.12
1255,逻辑,deallusrwydd,nouns,2.54
1256,教堂,seren,nouns,0.41
1257,醋,salad,nouns,0.29
1258,接受,gwadu,verbs,0.1
1259,乞求,benthyg,verbs,0.9
1260,混乱,yn heddychlon,adverbs,0.0
1261,电容器,deuod,nouns,0.33
1262,赢,curo,verbs,4.33
1263,赢得,cyflawni,verbs,2.15
1264,汽车,tanc,nouns,0.72
1265,标识,clwb,nouns,0.0
1266,借,erfyn,verbs,0.9
1267,交流,sgwrs,nouns,4.46
1268,蔑视,casáu,verbs,2.3
1269,壁橱,dillad,nouns,0.68
1270,年轻,aflonydd,adjectives,0.15
1271,预测,cymylog,nouns,0.04
1272,男孩,plentyn,nouns,2.63
1273,骑,rhedeg,verbs,0.23
1274,收到,danfon,verbs,0.37
1275,雕塑家,plasty,nouns,0.15
1276,同意,dadlau,verbs,0.23
1277,线,machlud haul,nouns,0.0
1278,人口,pobl,nouns,2.33
1279,正义,tribiwnlys,nouns,0.85
1280,暴力,meddal,adjectives,0.0
1281,地心引力,meteor,nouns,0.3
1282,放,hongian,verbs,0.56
1283,不道德,drwg,adjectives,3.06
1284,正义,dde,nouns,0.33
1285,普通,rhyfedd,adjectives,0.04
1286,街,car,nouns,0.48
1287,珍贵,sanctaidd,adjectives,1.52
1288,拥抱,cwtsh,verbs,4.49
1289,头,ysgwydd,nouns,0.54
1290,基质,moleciwl,nouns,0.56
1291,听,ufuddhau,verbs,2.31
1292,做,digwydd,verbs,0.35
1293,裂开,torri,verbs,2.3
1294,离开,crwydro,verbs,0.49
1295,混乱,hysteria,nouns,2.27
1296,画,creu,verbs,0.09
1297,从不,yn ddiweddarach,adverbs,0.19
1298,描绘,penderfynu,verbs,0.0
1299,军队,llynges,nouns,3.81
1300,判决书,prawf,nouns,1.86
1301,男人,rhyfelwr,nouns,0.43
1302,名誉,cyfoeth,nouns,0.85
1303,蚂蚁,gwenynen,nouns,0.68
1304,灵活,llac,adjectives,1.31
1305,危害,poen,nouns,1.31
1306,决定,barnu,verbs,2.9
1307,脚趾,bys,nouns,0.18
1308,征服,taith,nouns,0.43
1309,向外,sy'n dod i mewn,adjectives,0.04
1310,可怕,gwael,adjectives,0.77
1311,狡诈,annibynadwy,adjectives,1.69
1312,饼干,tywysoges,nouns,0.0
1313,祈祷,cyfathrebu,verbs,0.72
1314,仪式,dathliad,nouns,2.19
1315,电影,theatr,nouns,1.46
1316,白兰地酒,alcohol,nouns,2.97
1317,中性,llonydd,adjectives,0.59
1318,香槟酒,cwrw,nouns,1.88
1319,给,gosod,verbs,0.79
1320,毛毛虫,pryf sidan,nouns,2.05
1321,任务,menyw,nouns,0.0
1322,打,denu,verbs,0.0
1323,校验,dweud,verbs,0.15
1324,责怪,gwthio,verbs,0.23
1325,信念,argraff,nouns,0.79
1326,不同,yn derfynol,adverbs,0.0
1327,减少,gostwng,verbs,4.36
1328,签证,bydiaeth,nouns,0.46
1329,辣,da,adjectives,0.0
1330,泥土,mwd,nouns,4.95
1331,公平,yn annheg,adverbs,0.23
1332,竿,llen,nouns,0.14
1333,电话,dioddefwr,nouns,0.0
1334,叔叔,modryb,nouns,1.27
1335,上衣,het,nouns,1.08
1336,谴责,gwrthod,verbs,0.19
1337,王座,cleddyf,nouns,0.57
1338,击中,cosbi,verbs,0.45
1339,带来,cario ,verbs,2.45
1340,压抑,ymwrthod,verbs,0.1
1341,赚,creu,verbs,0.18
1342,拇指,llaw,nouns,0.73
1343,流,drifftio,verbs,2.55
1344,病菌,pathogen,nouns,3.83
1345,手,bawd,nouns,0.73
1346,坏,gwych,adjectives,0.0
1347,检查,gwyddbwyll,nouns,0.09
1348,出席,casglu,verbs,0.38
1349,电动机,injan,nouns,3.17
1350,极好,drwg  ,adjectives,0.09
1351,信息,entropi,nouns,0.38
1352,脏,anhygoel,adjectives,0.0
1353,联合,cyfuniad,nouns,2.38
1354,电梯,car,nouns,0.1
1355,散热器,synhwyrydd,nouns,0.28
1356,粗鲁,ymosodol,adjectives,1.19
1357,不同,dadlau,verbs,0.48
1358,旅行,taith,nouns,3.59
1359,断绝亲子关系 or...,rhoi,verbs,0.5
1360,邮包,lori,nouns,0.39
1361,鼓,corn,nouns,0.2
1362,创造者,awdur,nouns,3.55
1363,推荐,cynghori,verbs,3.91
1364,电缆,capel,nouns,0.0
1365,植物,amaethyddiaeth,nouns,0.94
1366,裙子,dawnsio,nouns,0.24
1367,想像,creu,verbs,0.77
1368,亿万富翁,digartref,nouns,0.05
1369,字,papur newydd,nouns,1.12
1370,营地,caban,nouns,0.54
1371,盒子,stondin,nouns,0.05
1372,公开地,yn enfawr,adverbs,0.8
1373,身体,stumog,nouns,1.42
1374,必须,pwysig,adjectives,3.51
1375,偶然,yn rheolaidd,adverbs,0.62
1376,床,soffa,nouns,0.76
1377,作业,nodyn,nouns,0.53
1378,没用过,newydd,adjectives,3.97
1379,军团,byddin,nouns,3.98
1380,苔藓,glaswellt,nouns,1.52
1381,星系,seryddwr,nouns,0.24
1382,游标,sglodion,nouns,0.04
1383,重大,eilradd,adjectives,0.09
1384,管弦乐队,band,nouns,3.5
1385,政府,madfall,nouns,0.0
1386,班级,coleg,nouns,0.69
1387,合唱,canwr,nouns,1.32
1388,副驾驶,talwrn,nouns,0.32
1389,代数,gweithredu,nouns,0.2
1390,锁匙,coron,nouns,0.0
1391,下面,top,nouns,0.2
1392,病理学,haematoleg,nouns,1.94
1393,谦虚,cywilydd,adjectives,0.18
1394,男孩,brawd,nouns,1.89
1395,自由,diniwed,adjectives,0.04
1396,进入,bod yn ddyledus,verbs,0.1
1397,察觉,clywed,verbs,0.79
1398,优胜者,pencampwr,nouns,5.42
1399,日落,codiad haul,nouns,0.83
1400,游泳,cyfarfod,verbs,0.0
1401,移动,gwehyddu,verbs,0.0
1402,清醒,chwyrnu,verbs,0.23
1403,经常,yn anaml,adverbs,0.23
1404,贫穷,balchder,adjectives,0.1
1405,简直,mae'n debyg,adverbs,0.7
1406,鸟,gwalch,nouns,2.09
1407,笔记本,gwn,nouns,0.0
1408,徽章,urddas,nouns,0.0
1409,女人,jîns,nouns,0.1
1410,出口,pleidlais,nouns,0.23
1411,哭泣,crio,verbs,5.5
1412,词缀,ôl-ddodiad,nouns,3.03
1413,判断,penderfynu,verbs,2.9
1414,使心烦,brifo,verbs,0.04
1415,收到,cyflawni,verbs,0.1
1416,踝,penelin,nouns,0.68
1417,门,presenoldeb,nouns,0.0
1418,和平,hapusrwydd,nouns,1.69
1419,给,caniatáu,verbs,1.05
1420,被动,treisgar,adjectives,0.0
1421,做,llunio,verbs,3.13
1422,智力,sgil,nouns,2.13
1423,飞机,hofrennydd,nouns,2.83
1424,电影,popcorn,nouns,0.57
1425,给,gwybod,verbs,0.0
1426,天使,cythraul,nouns,0.18
1427,壁,castell,nouns,0.57
1428,汽车,beic,nouns,0.78
1429,参与,cydweithredu,verbs,1.27
1430,作家,anrheg,nouns,0.0
1431,故事,pwnc,nouns,0.82
1432,舌头,boch,nouns,0.35
1433,小牛,tarw,nouns,2.49
1434,世纪,gwirod,nouns,0.0
1435,记者,bardd,nouns,0.2
1436,高高兴兴,yn weithredol,adverbs,0.32
1437,打鼾,deffro,verbs,0.23
1438,尖,ysgafn,adjectives,0.05
1439,批评,dadl,nouns,1.35
1440,大麻,perlysieuyn,nouns,2.27
1441,军官,dirprwy,nouns,1.13
1442,准确地,yn weithredol,adverbs,0.72
1443,失败,dibynnu,verbs,0.24
1444,混合,coginio,verbs,0.58
1445,出租车,tacsi,nouns,5.8
1446,通知,cydnabod,verbs,0.35
1447,尖,diflas,adjectives,0.19
1448,选择,gwythïen,nouns,0.04
1449,病原,germ,nouns,3.83
1450,奇怪,rhyfeddol,adjectives,4.02
1451,旗,polyn,nouns,0.98
