ID,FIN,POL,PoS,score
690,sokeri,miód,nouns,1.2
691,uusi,nieużywany,adjectives,5.0
692,esiintyjä,piosenka,nouns,0.85
693,matkatavarat,opłynięcie,nouns,0.15
694,vapaa,niewinny,adjectives,0.85
695,säästäjä,oszczędność,nouns,1.25
696,vene,kotwica,nouns,0.85
697,veri,mięso,nouns,0.75
698,niska,kość,nouns,0.9
699,lentokone,odrzutowiec,nouns,4.1
700,muotoutumaton,jednolity,adjectives,0.3
701,puolustaa,zabić,verbs,0.35
702,kadottaa,odejmować,verbs,1.1
703,yhtye,parada,nouns,0.25
704,jakku,ubrania,nouns,2.0
705,unelma,niebo,nouns,0.05
706,tuomita,oskarżać,verbs,3.8
707,yksityinen,osobisty,adjectives,4.8
708,neule,kurtka,nouns,1.45
709,vamppyyri,nietoperz,nouns,1.15
710,kiertäminen,bagaż,nouns,0.15
711,sentti,ludzie,nouns,0.1
712,yksinkertainen,łatwy,adjectives,5.0
713,pallo,kula,nouns,2.05
714,ovi,obecność,nouns,0.0
715,kalkkuna,kura,nouns,2.6
716,ankkuri,łódź,nouns,0.85
717,kastike,jabłko,nouns,0.4
718,laillinen,dozwolony,adjectives,4.35
719,sfääri,piłka,nouns,2.05
720,koodi,symbol,nouns,2.3
721,aviomies,mężczyzna,nouns,2.85
722,musertaa,udusić,verbs,1.65
723,ylpeästi,pokornie,adverbs,0.3
724,hattu,pudełko,nouns,0.15
725,tieteilijä,pielęgniarka,nouns,0.2
726,puu,liść,nouns,1.05
727,valopuhelin,homofon,nouns,0.05
728,ase,trik,nouns,0.05
729,innostunut,wystraszony,adjectives,0.3
730,eri tavalla,dziwacznie,adverbs,2.0
731,ilmailu,lot,nouns,2.3
732,kurssi,akcja,nouns,0.55
733,kasvaa,wzrosnąć,verbs,1.95
734,fonologia,ekran,nouns,0.1
735,suurkaupunki,miasteczko,nouns,3.8
736,optimistisesti,możliwie,adverbs,1.1
737,illallinen,posiłek,nouns,4.0
738,surullinen,śmieszny,adjectives,0.2
739,vatsa,kurs,nouns,0.0
740,tarkalleen,precyzyjnie,adverbs,5.65
741,poika,dziecko,nouns,3.1
742,laulaja,aktor,nouns,0.8
743,yksinkertainen,skomplikowany,adjectives,0.0
744,nihilismi,film,nouns,0.0
745,kirkko,chór,nouns,0.8
746,juhlia,zaskoczyć,verbs,0.2
747,biologia,anatomia,nouns,2.3
748,heppu,dziewczyna,nouns,0.5
749,joskus,często,adverbs,0.75
750,leijona,kot,nouns,2.5
751,voi,ziemniak,nouns,0.6
752,luotettavasti,pasywnie,adverbs,0.15
753,peittämätön,zakryty,adjectives,0.25
754,päiväkirja,miód,nouns,0.05
755,uhka,niebezpieczeństwo,nouns,5.6
756,auringonnousu,zachód słońca,nouns,0.75
757,logiikka,arytmetyka,nouns,1.05
758,pysähtyä,kontrolować,verbs,0.4
759,ylimielinen,dumny,adjectives,2.25
760,muksu,chłopiec,nouns,3.1
761,elokuva,nihilizm,nouns,0.0
762,ehdottaa,radzić,verbs,3.35
763,kaoottisesti,pokojowo,adverbs,0.2
764,hauskanpito,piłka nożna,nouns,0.75
765,ihmiset,pistolet,nouns,0.0
766,maksa,płuco,nouns,1.25
767,kikattaa,śmiać się,verbs,5.15
768,lohduttaa,poniżać,verbs,0.0
769,epärehellinen,prawdomówny,adjectives,0.2
770,kappale,epizod,nouns,3.35
771,sauva,zasłona,nouns,0.0
772,olla erilainen,zgadzać się,verbs,0.0
773,nurkka,obszar,nouns,0.75
774,tennis,statystyka,nouns,0.05
775,yhdistetty,mieszany,adjectives,2.1
776,ylpeä,silny,adjectives,0.7
777,kova,hardy,adjectives,2.95
778,ilmailu,awionika,nouns,1.95
779,liittyä,nabyć,verbs,0.15
780,auto,winda,nouns,0.05
781,lenkkikengät,medal,nouns,0.1
782,opettaa,edukować,verbs,4.75
783,kukka,przekonanie,nouns,0.0
784,täysin,zasadniczo,adverbs,1.3
785,syvyys,wielkość,nouns,1.5
786,edellyttää,ustalać,verbs,0.25
787,tietää,zapominać,verbs,0.15
788,silmukka,pas,nouns,0.45
789,epäreilusti,nierozsądnie,adverbs,2.05
790,sanakirja,encyklopedia,nouns,2.6
791,johtokunta,praca,nouns,0.8
792,olla velkaa,pożyczyć,verbs,2.35
793,halpa,przystępny,adjectives,4.75
794,puhua,uznawać,verbs,0.95
795,ruoka,program,nouns,0.0
796,asianmukainen,formalny,adjectives,3.05
797,hoikka,smukły,adjectives,5.4
798,ilmapallo,ludzie,nouns,0.05
799,lelu,sześcian,nouns,0.2
800,vuosikymmen,era,nouns,2.35
801,ilma,cząsteczka,nouns,0.75
802,jahdata,śledzić,verbs,3.4
803,väsynyt,głodny,adjectives,0.3
804,biohajoaminen,faktoryzacja,nouns,0.65
805,kyynärpää,kostka,nouns,1.1
806,löysä,giętki,adjectives,1.15
807,huippu,bok,nouns,0.4
808,sairaus,infekcja,nouns,2.95
809,diplomatia,negocjacja,nouns,2.4
810,olennaisesti,krytycznie,adverbs,1.15
811,astronomi,galaktyka,nouns,0.9
812,puumateriaali,kamień,nouns,0.45
813,käsityö,tradycja,nouns,0.2
814,lasi,kryształ,nouns,2.45
815,moottoritie,droga,nouns,4.8
816,voittaja,mistrz,nouns,4.1
817,vetää,pchać,verbs,0.5
818,tahmea,brudny,adjectives,2.25
819,huuhdella,myć,verbs,3.15
820,kutistua,redukować,verbs,3.25
821,luova,nowatorski,adjectives,4.7
822,huonekalut,mieszkanie,nouns,0.6
823,rouskua,trzasnąć,verbs,1.05
824,oppia,ewaluować,verbs,1.3
825,onnellisesti,śmiertelnie,adverbs,0.0
826,sanoa,weryfikować,verbs,0.75
827,ajatella,pamiętać,verbs,0.8
828,liittyä,współpracować,verbs,1.15
829,mausteinen,słaby,adjectives,0.0
830,myrsky,huragan,nouns,2.95
831,lintu,kura,nouns,3.1
832,kukka,wytrzymałość,nouns,0.0
833,mehiläinen,insekt,nouns,2.85
834,käsi,kciuk,nouns,1.7
835,teleskooppi,krzesło,nouns,0.0
836,johtaja,menadżer,nouns,3.75
837,pitkäveteinen,zmęczony,adjectives,0.6
838,älykäs,tępy,adjectives,0.2
839,osallistua,gromadzić się,verbs,1.95
840,tytär,niemowlę,nouns,2.35
841,nauraa,chichotać,verbs,5.15
842,antaa,zachować,verbs,0.3
843,olosuhde,sytuacja,nouns,4.7
844,kivi,drewno,nouns,0.45
845,pelata uhkapeliä,zakładać się,verbs,2.85
846,liittyä,odchodzić,verbs,0.05
847,muistikirja,pistolet,nouns,0.0
848,napsahtaa,chrzęścić,verbs,1.05
849,otaksua,udawać,verbs,0.45
850,tilanne,okoliczność,nouns,4.7
851,lehmä,koza,nouns,1.3
852,runsaus,obfitość,nouns,4.85
853,huone,cela,nouns,1.75
854,puhtaasti,kompletnie,adverbs,2.6
855,ponnistus,trudność,nouns,2.75
856,asenne,pewność siebie,nouns,2.15
857,ruokavalio,sałatka,nouns,0.75
858,anteliaasti,życzliwie,adverbs,1.75
859,tulla,iść,verbs,1.4
860,päälevy,płyta matka,nouns,3.7
861,lukko,klucz,nouns,0.65
862,nauraa,śpiewać,verbs,0.35
863,patikoida,wspinać się,verbs,1.3
864,käsivarsi,nadgarstek,nouns,1.6
865,kipu,krzywda,nouns,2.35
866,asu,bal,nouns,0.2
867,vaatia,argumentować,verbs,0.6
868,vanha,nowy,adjectives,0.2
869,pyörä,skóra,nouns,0.0
870,galleria,prawnik,nouns,0.0
871,selviytyä,żyć,verbs,2.75
872,vannoa,obiecywać,verbs,4.65
873,tietoisuus,uwaga,nouns,2.35
874,virsi,biblia,nouns,0.8
875,tammi,klon,nouns,1.85
876,saavuttaa,próbować,verbs,0.75
877,ovela,hardy,adjectives,0.65
878,demoni,anioł,nouns,0.5
879,kapea,szeroki,adjectives,0.2
880,antaa anteeksi,zapominać,verbs,1.45
881,kirkkaasti,wielce,adverbs,0.65
882,pysähtyä,gwizdać,verbs,0.1
883,prinsessa,wyspa,nouns,0.0
884,onnistua,osiągnąć,verbs,3.5
885,hävitä,znikać,verbs,4.9
886,saapua,przyjść,verbs,4.8
887,veli,chłopiec,nouns,1.75
888,temppu,wanna,nouns,0.0
889,munkki,ksiądz,nouns,1.95
890,ilta,zmierzch,nouns,4.1
891,rakentaa,tworzyć,verbs,3.9
892,paha,okropny,adjectives,4.25
893,unohtaa,wybaczać,verbs,1.45
894,kappale,noc,nouns,0.0
895,puu,łódź,nouns,0.35
896,poissa,w domu,adverbs,0.25
897,hankkia,ukraść,verbs,1.1
898,uskomus,opinia,nouns,3.2
899,saapua,uczęszczać,verbs,1.35
900,jäytää,nosić,verbs,0.0
901,siemen,musztarda,nouns,0.55
902,kulho,zaułek,nouns,0.0
903,päällikkö,burmistrz,nouns,1.6
904,tekijöihinjako,rozszczepienie,nouns,0.65
905,rukoilla,pytać,verbs,0.55
906,suorittaa loppuun,rozwiązać,verbs,3.5
907,vedota,zadowalać,verbs,0.25
908,katto,okno,nouns,0.6
909,mukava,hojny,adjectives,0.7
910,osoitin,slajd,nouns,0.0
911,juoda,wymieszać,verbs,0.05
912,kana,stek,nouns,0.8
913,hätätilanne,wypadek,nouns,3.25
914,tuskin koskaan,często,adverbs,0.2
915,kadota,zniknąć,verbs,4.9
916,antaa,pożyczyć,verbs,1.6
917,selittää,udowodnić,verbs,1.9
918,kirje,akapit,nouns,0.2
919,tehdä,zdarzyć się,verbs,0.95
920,määrittää,wyjaśniać,verbs,3.65
921,aloittaa,rezygnować,verbs,0.2
922,ilmiselvä,zauważalny,adjectives,2.75
923,joustava,łatwy,adjectives,0.7
924,kylpyhuone,kuchnia,nouns,0.95
925,piispa,muzułmanin,nouns,0.2
926,vahvuus,zdolność,nouns,1.35
927,ruoho,korzeń,nouns,0.7
928,tarjous,pens,nouns,0.15
929,kunniamerkki,szklanka,nouns,0.05
930,rakastaja,towarzysz,nouns,2.1
931,vilpittömästi,zwykle,adverbs,0.3
932,filosofi,wyścigi,nouns,0.0
933,tulla,wydawać się,verbs,0.45
934,kana,ryż,nouns,0.35
935,hiekka,stopa,nouns,0.0
936,sonni,cielę,nouns,2.15
937,joustava,ruchomy,adjectives,1.1
938,auto,automobil,nouns,5.7
939,pysähtyä,jechać,verbs,0.1
940,epäonnistua,powieść się,verbs,0.2
941,painava,objuczony,adjectives,1.25
942,pullo,słoik,nouns,1.65
943,itseluottamus,postawa,nouns,2.15
944,likainen,klejący,adjectives,2.25
945,hevonen,klacz,nouns,3.35
946,pilvi,pogoda,nouns,0.95
947,lujasti,miękko,adverbs,0.2
948,raamattu,książka,nouns,2.85
949,muuttaa,zmienić,verbs,3.35
950,merkki,symbol,nouns,5.55
951,olla tunnustamatta,dać,verbs,0.05
952,matkapuhelin,telefon,nouns,5.0
953,lastattu,ciężki,adjectives,1.25
954,onnekas,zawstydzony,adjectives,0.1
955,fantasia,rzeczywistość,nouns,0.2
956,jäädä,zatrzymywać,verbs,1.0
957,hiljattainen,nowy,adjectives,3.5
958,terävä,łagodny,adjectives,0.0
959,suoli,nerw,nouns,0.7
960,harvinainen,tępy,adjectives,0.0
961,tuulenpuuska,wiatr,nouns,3.75
962,aktiivisesti,pasywnie,adverbs,0.25
963,kapea,szczupły,adjectives,3.05
964,etsiä,wędrować,verbs,1.0
965,tappaa,bronić,verbs,0.35
966,teeskennellä,kłamać,verbs,2.95
967,tiede,psychologia,nouns,2.05
968,huolenpito,ostrożność,nouns,2.1
969,juosta,jeździć,verbs,0.55
970,tarina,temat ,nouns,0.9
971,epäonnistua,zniechęcać,verbs,0.5
972,edistää,awansować,verbs,2.8
973,pallo,kosz,nouns,0.45
974,shamppanja,whisky,nouns,1.35
975,pekoni,śniadanie,nouns,1.1
976,kävellä,utykać,verbs,1.5
977,vahva,dumny,adjectives,0.7
978,polku,tunel,nouns,0.4
979,ajaa,tasować,verbs,0.45
980,vene,motor,nouns,0.65
981,valmistaja,twórca,nouns,3.45
982,merkittävästi,prawdziwie,adverbs,2.05
983,leidi,dżentelmen,nouns,1.1
984,myöntyä,różnić się,verbs,0.0
985,jakaa,mnożyć,verbs,0.7
986,talvi,lato,nouns,0.9
987,rakennus,pokój,nouns,1.1
988,puumateriaali,koc,nouns,0.0
989,vihata,lubić,verbs,0.15
990,idea,wizerunek,nouns,0.5
991,hyväksyä,zgądzać się,verbs,4.35
992,tuomio,rozprawa,nouns,1.55
993,kylki,wierzch,nouns,0.4
994,kirja,esej,nouns,1.35
995,antaa anteeksi,ułaskawić,verbs,4.2
996,menettää,gotować,verbs,0.0
997,minkki,futro,nouns,1.4
998,varastaa,dać,verbs,0.15
999,rajaviiva,granica,nouns,3.2
1000,fiktio,biografia,nouns,0.65
1001,vaara,zagrożenie,nouns,5.6
1002,huijata,zwieść,verbs,4.6
1003,hyväksyä,zaprzeczać,verbs,0.2
1004,tukehtua,oddychać,verbs,0.25
1005,surullinen,dumny,adjectives,0.0
1006,poliitikko,prezydent,nouns,3.5
1007,järjestys,menu,nouns,0.55
1008,helppo,trudny,adjectives,0.2
1009,sirut,kursor,nouns,0.0
1010,tilastotiede,tenis,nouns,0.05
1011,sitoumus,pierścień,nouns,0.9
1012,legenda,morał,nouns,0.4
1013,kanjoni,dolina,nouns,3.7
1014,tykki,bal,nouns,0.05
1015,hanska,piłka,nouns,0.2
1016,fakta,wgląd,nouns,1.2
1017,mielettömästi,smutno,adverbs,0.15
1018,vaikeus,wysiłek,nouns,2.75
1019,hallinto,kierownictwo,nouns,3.5
1020,pihvi,kurczak,nouns,0.8
1021,tavoitella,zbadać,verbs,0.55
1022,kieli,gardło,nouns,1.25
1023,edellyttää,dowiadywać się,verbs,0.5
1024,taiteilija,dzieło sztuki,nouns,0.95
1025,vartalo,klatka piersiowa,nouns,2.05
1026,keksi,księżniczka,nouns,0.0
1027,kielenkäyttö,komunikacja,nouns,2.3
1028,maatalous,roślina,nouns,0.65
1029,tänä iltana,jutro,adverbs,0.35
1030,hiljaisesti,naturalnie,adverbs,0.15
1031,halailla,przytulić,verbs,5.0
1032,ruoho,mech,nouns,1.25
1033,jäytää,zezwalać,verbs,0.0
1034,temppu,gra,nouns,0.95
1035,kantaa,brać,verbs,0.25
1036,naamio,impreza,nouns,0.4
1037,hyppy,płot,nouns,0.2
1038,etsiä,znaleźć,verbs,1.3
1039,tuhota,zabić,verbs,2.5
1040,kesä,zima,nouns,0.9
1041,kirja,manuskrypt,nouns,2.3
1042,kiirastuli,zaświaty,nouns,2.05
1043,sitoumus,mianowanie,nouns,0.7
1044,risti,mnich,nouns,0.4
1045,ihana,wspaniały,adjectives,2.4
1046,selventää,tłumaczyć,verbs,5.0
1047,vaara,dolegliwość,nouns,0.3
1048,tulla,robić,verbs,0.1
1049,tuoda,narzekać,verbs,0.0
1050,vilpittömästi,uczciwie,adverbs,4.9
1051,peto,zwierzę,nouns,2.6
1052,synnintekijä,święty,nouns,0.2
1053,väkijuoma,wino,nouns,3.1
1054,tanko,flaga,nouns,0.5
1055,poika,żołnierz,nouns,0.6
1056,puolustaa,chronić,verbs,4.7
1057,tunnelma,zanieczyszczenie,nouns,0.2
1058,vene,drzewo,nouns,0.35
1059,alkoholi,koktajl,nouns,2.4
1060,lentoperämies,glina,nouns,0.45
1061,naru,zachód słońca,nouns,0.0
1062,outo,osobliwy,adjectives,4.75
1063,likainen,tani,adjectives,0.15
1064,kampanja,małpa,nouns,0.0
1065,surullisesti,szalenie,adverbs,0.15
1066,mies,mąż,nouns,2.85
1067,kitara,skrzypce,nouns,1.7
1068,yleensä,szczerze,adverbs,0.3
1069,päivä ,świt,nouns,2.05
1070,suuri,ogromny,adjectives,5.45
1071,tutka,dżojstik,nouns,0.2
1072,eläin,osoba,nouns,0.2
1073,televisio,kino,nouns,0.85
1074,ystävällisesti,nieprawdopodobny,adverbs,0.05
1075,hitti,rama,nouns,0.0
1076,sateenvarjo,grzejnik,nouns,0.05
1077,hiihtäminen,snowboard,nouns,1.3
1078,kaapata,naśladować,verbs,0.1
1079,uusi,starożytny,adjectives,0.2
1080,totella,karać,verbs,0.6
1081,pirtelö,sok,nouns,1.05
1082,herra,dama,nouns,1.1
1083,joskus,jednorodnie,adverbs,0.05
1084,kirjallinen muotokuva,występ,nouns,0.65
1085,harvoin,zwykle,adverbs,0.25
1086,kappale,wybór,nouns,0.25
1087,leipoa,smażyć,verbs,2.85
1088,epäreilusti,sprawiedliwie,adverbs,0.2
1089,sisäistää,rozumieć,verbs,4.95
1090,käsikirjoitus,książka,nouns,2.3
1091,nyyhkyttää,płakać,verbs,4.9
1092,jousiampuja,zwiadowca,nouns,0.85
1093,päivämäärä,urodziny,nouns,2.0
1094,tuntea,wierzyć,verbs,1.35
1095,töykeä,krytyczny,adjectives,0.65
1096,ympäristö,miecz,nouns,0.0
1097,lepakko,wampir,nouns,1.15
1098,mielettömästi,głośno,adverbs,0.65
1099,häkki,pręt,nouns,0.25
1100,tölkki,butelka,nouns,1.35
1101,sosiobiologia,mutant,nouns,0.15
1102,sokeriruoko,konsorcjum,nouns,0.15
1103,hirveä,świetny,adjectives,0.2
1104,hakusana,składnia,nouns,0.75
1105,ajokoira,lis,nouns,0.85
1106,erilainen,normalny,adjectives,0.3
1107,tylsä,znudzony,adjectives,2.0
1108,teoria,hipoteza,nouns,4.3
1109,metalliseos,stal,nouns,2.75
1110,kupla,mydliny,nouns,1.95
1111,paperi,plakat,nouns,2.0
1112,käsi ,stopa,nouns,1.05
1113,muu,przeciwny,adjectives,0.95
1114,onnellisuus,smutek,nouns,0.2
1115,sopimus,pakt,nouns,4.8
1116,viha,nastrój,nouns,0.95
1117,suutin,płyn,nouns,0.05
1118,pysähtyä,ostrzegać,verbs,0.3
1119,jäähdytin,sensor,nouns,0.1
1120,puutteenalainen,niepewny,adjectives,0.4
1121,sekava,zorganizowany,verbs,0.2
1122,peittää,zakopać,verbs,3.25
1123,jalkaterä,ręka,nouns,1.05
1124,hankkia,dostać,verbs,2.45
1125,fiksusti,dojrzale,adverbs,2.75
1126,jättää,przyłączyć się,verbs,0.05
1127,myrsky,chmura,nouns,0.85
1128,taksi,autobus,nouns,1.5
1129,vaatteet,tkanina,nouns,1.7
1130,artikkeli,czasopismo,nouns,1.35
1131,termi,semestr,nouns,1.05
1132,päivällinen,zupa,nouns,1.65
1133,itkeä,śmiać się,verbs,0.25
1134,lääkäri,doktor,nouns,5.25
1135,matkustaa,iść,verbs,3.05
1136,kova,łatwy,adjectives,0.2
1137,aihe,hasztag,nouns,1.25
1138,muksu,córka,nouns,2.25
1139,niitty,pastwisko,nouns,3.85
1140,lemma,sylaba,nouns,0.55
1141,ymmärtää,wiedzieć,verbs,2.8
1142,kaatua,potknąć się,verbs,2.65
1143,välikäytävä,przedpokój,nouns,1.5
1144,kummallinen,zwykły,adjectives,0.2
1145,sotkuinen,brzydki,adjectives,0.95
1146,moraali,legenda,nouns,0.4
1147,kasvaa,rozprzestrzeniać się,verbs,3.55
1148,säilytysastia,butelka,nouns,2.55
1149,ajelehtia,płynąć,verbs,3.2
1150,pitää,pożyczać,verbs,0.2
1151,helposti,swobodnie,adverbs,1.9
1152,onnellinen,wesoły,adjectives,4.1
1153,kuutio,zabawka,nouns,0.2
1154,koira,kot,nouns,0.75
1155,yhtye,wytrzymałość,nouns,0.0
1156,arvata,irytować,verbs,0.15
1157,tulla sisään,wychodzić,verbs,0.25
1158,laatikko,budka,nouns,0.2
1159,houkkamainen,dziecinny,adjectives,1.5
1160,suorittaa loppuun,odroczyć,verbs,0.3
1161,löytää,zlokalizować,verbs,4.25
1162,kirja,tekst,nouns,2.35
1163,mies,dziecko,nouns,0.6
1164,aamiainen,kolacja,nouns,1.0
1165,menestyjä,mężczyzna,nouns,0.3
1166,vaatteet,kurtka,nouns,2.0
1167,hyvin,znany,adjectives,0.05
1168,edetä,promować,verbs,2.8
1169,hienovaraisesti,oczywiście,adverbs,0.1
1170,koulu,ocena,nouns,0.75
1171,työntää,ciągnąć,verbs,0.5
1172,valmentaja,gracz,nouns,0.85
1173,lihas,ramię,nouns,1.25
1174,epäröivä,gniewny,adjectives,0.45
1175,hermo,ciało,nouns,0.7
1176,epäillä,aresztować,verbs,0.85
1177,sivu,akapit,nouns,0.45
1178,vesi,sól,nouns,0.4
1179,kulma,krzywa,nouns,0.95
1180,rauta,witamina,nouns,1.0
1181,laskeutua,wycofywać się,verbs,1.25
1182,heppu,przyjaciel,nouns,1.05
1183,paha,winny,adjectives,1.5
1184,partneri,chłopiec,nouns,1.0
1185,siemailla,przełykać,verbs,1.45
1186,hauska,nudny,adjectives,0.2
1187,keilaaja,kręglarstwo,nouns,1.85
1188,kohtuuttomasti,niesprawiedliwie,adverbs,2.05
1189,kypsästi,bystrze,adverbs,2.75
1190,teeskennellä,zakładać,verbs,0.45
1191,äänekkäästi,szalenie,adverbs,0.65
1192,lamppu,dżin,nouns,0.4
1193,luu,ramię,nouns,1.15
1194,moottori ,łódź,nouns,0.65
1195,arvo,przekonanie,nouns,1.6
1196,tyhmä,inteligentny,adjectives,0.2
1197,lopettaa,zaczynać,verbs,0.2
1198,esitys,kamea,nouns,0.65
1199,tapaus,narzędzia,nouns,0.25
1200,henkilökohtainen,prywatny,adjectives,4.8
1201,homofoni,fotofon,nouns,0.05
1202,veli,siostra,nouns,1.3
1203,paistaa,piec,verbs,2.85
1204,siisti,czysty,adjectives,4.9
1205,kohta,list,nouns,0.2
1206,kissa,mysz,nouns,0.85
1207,lakimies,galeria,nouns,0.0
1208,unohtaa,uczyć się,verbs,0.2
1209,tehdä yhteistyötä,uczestniczyć,verbs,2.95
1210,antaa,wyrzec się,verbs,0.05
1211,vasara,zęby,nouns,0.0
1212,onnellisesti,bezpiecznie,adverbs,1.5
1213,muinainen,współczesny,adjectives,0.2
1214,kruunu,klucz,nouns,0.05
1215,entropia,informacja,nouns,0.2
1216,lainaaja,kredyt,nouns,1.05
1217,ohjelma,jedzenie,nouns,0.0
1218,sekoitettu,stary,adjectives,0.05
1219,aamu,dzień,nouns,2.1
1220,testi,rozprawa,nouns,0.3
1221,rauhallisesti,chaotycznie,adverbs,0.2
1222,ottaa osaa,przyłączyć się,verbs,2.35
1223,nuori,szczęśliwy,adjectives,0.2
1224,tavallinen,dziwny,adjectives,0.2
1225,teeskennellä,wyobrażać sobie,verbs,1.6
1226,huonekalut,łóżko,nouns,2.45
1227,fantastisesti,niesamowicie,adverbs,5.2
1228,katsoa,szukać,verbs,0.9
1229,moottoritie,samochód,nouns,0.45
1230,kiistellä,rządać,verbs,0.6
1231,kyky,kompetencja,nouns,4.25
1232,kunto,sytuacja,nouns,0.8
1233,eteishalli,przejście,nouns,2.55
1234,aita,poręcz,nouns,0.4
1235,taistelu,wojowniczość,nouns,2.3
1236,toimisto,robotnik,nouns,0.5
1237,nöyrä,skromny,adjectives,4.2
1238,sattua,upaść,verbs,0.5
1239,uskomus,pojęcie,nouns,1.35
1240,rotu,weekend,nouns,0.0
1241,verho,pręt,nouns,0.0
1242,kuorsata,budzić się,verbs,0.2
1243,yltäkylläisyys,mnóstwo,nouns,4.85
1244,paha,nieuczciwy,adjectives,2.05
1245,ovi,otwór drzwiowy,nouns,3.9
1246,polvi,ramię,nouns,0.95
1247,mennä,wysyłać,verbs,0.1
1248,helppo,duży,adjectives,0.0
1249,rehellisesti,lojalnie,adverbs,2.05
1250,teeskennellä,wydawać się,verbs,0.95
1251,olettaa,przewidywać,verbs,3.0
1252,valmiudet,kompetencja,nouns,3.9
1253,saada,pozostać,verbs,0.05
1254,munuainen,organ,nouns,3.0
1255,pitää,zatrzymywać,verbs,3.75
1256,neuvoa,sugerować,verbs,3.35
1257,kriketti,kibic,nouns,0.2
1258,suorittaa loppuun,rywalizować,verbs,0.25
1259,tarkasti,lokalnie,adverbs,2.4
1260,ovi,korytarz,nouns,0.4
1261,iiris,acetylocholina,nouns,0.45
1262,makuuhuone,żołądek,nouns,0.0
1263,järjestelmä,wada,nouns,0.15
1264,sattua,zmartwić,verbs,1.3
1265,itkeä,szlochać,verbs,4.9
1266,pyyhkiä,pogorszyć się,verbs,0.25
1267,lujasti,spokojnie,adverbs,0.4
1268,paikallisesti,oczywiście,adverbs,0.0
1269,uusi,świeży,adjectives,4.55
1270,nälkäinen,spragniony,adjectives,1.05
1271,veksillologia,flaga,nouns,1.4
1272,jää,śnieg,nouns,2.5
1273,mikroskooppi,biolog,nouns,0.55
1274,julkistamaton,jawny,adjectives,0.1
1275,kaava,równanie,nouns,3.45
1276,paketti,ciężarówka,nouns,0.55
1277,lyödä,wygrać,verbs,2.25
1278,jättää,czekać,verbs,0.15
1279,fiksu,inteligentny,adjectives,5.35
1280,epäselvä,mętny,adjectives,4.4
1281,jaardi,metr,nouns,2.65
1282,odottaa,odchodzić,verbs,0.15
1283,hiljattain,realistycznie,adverbs,0.0
1284,tukki,drewno,nouns,4.05
1285,meri,delta,nouns,1.1
1286,vakuuttaa ,próbować,verbs,0.8
1287,numero,cyfra,nouns,4.85
1288,sekoitettu,połączony,adjectives,2.1
1289,lyödä,smagać,verbs,3.45
1290,teollisuus,biznes,nouns,2.1
1291,satiiri,mit,nouns,1.15
1292,ilmestyä,uczęszczać,verbs,0.8
1293,vero,dochód,nouns,0.55
1294,ampua ohi,uderzyć,verbs,0.25
1295,nälkäinen,zmęczony,adjectives,0.3
1296,valloitus,bitwa,nouns,2.3
1297,huokea,tani,adjectives,5.35
1298,sheriffi,gliniarz,nouns,3.55
1299,ovi,brama,nouns,3.65
1300,alieni,cudzoziemiec,nouns,4.5
1301,köyhä,samotny,adjectives,0.65
1302,keskustelu,argument,nouns,1.5
1303,kaapeli,kaplica,nouns,0.05
1304,kerran,natychmiast,adverbs,0.2
1305,vihata,krytykować,verbs,1.3
1306,ihanteellisesti,mechanicznie,adverbs,0.3
1307,teleskooppi,burza mózgów,nouns,0.0
1308,omena,dieta,nouns,0.4
1309,putki,cygaro,nouns,0.25
1310,kemia,teoria,nouns,0.55
1311,epäreilu,okrutny,adjectives,1.7
1312,lämmitin,parasol,nouns,0.05
1313,auringonpaiste,promień,nouns,2.5
1314,kapea,biały,adjectives,0.0
1315,hienovaraisesti,głośno,adverbs,0.05
1316,valita,obierać,verbs,1.1
1317,läsnäolo,drzwi,nouns,0.0
1318,kapteeni,żeglarz,nouns,2.8
1319,olla tunnustamatta,zaniedbać,verbs,0.9
1320,mieto,średni,adjectives,0.6
1321,yleensä,rzadko,adverbs,0.25
1322,solvata,urazić,verbs,5.1
1323,aivot,nerw,nouns,1.3
1324,neliö,mapa,nouns,0.0
1325,kirja,artykuł,nouns,1.3
1326,pitkä,krótki,adjectives,0.2
1327,muistuttaa,sprzedawać,verbs,0.0
1328,laulusolisti,personel,nouns,0.05
1329,kylpy,pokój,nouns,0.15
1330,raivostunut,niepewny,adjectives,0.45
1331,anteliaasti,nigdy,adverbs,0.05
1332,tuuma,metr,nouns,1.45
1333,tuhlata,martwić,verbs,0.05
1334,säilyttää,pozostać,verbs,1.0
1335,väärä,precyzyjny,adjectives,0.05
1336,voittaja,cel,nouns,0.55
1337,kuppi,łyżka,nouns,0.8
1338,saari,marynarka,nouns,0.1
1339,rankka,łatwy,adjectives,0.2
1340,meri,tsunami,nouns,0.9
1341,supistaa,przemoczyć,verbs,0.0
1342,ottaa,otrzymywać,verbs,2.65
1343,ajatella,próbować,verbs,0.4
1344,tunnustaa,powiadamiać,verbs,1.0
1345,suihkukone,samolot,nouns,4.1
1346,kysyä,prosić,verbs,1.05
1347,paraati,zespół,nouns,0.25
1348,lainata,chcieć,verbs,0.65
1349,elokuvaus,reżyser,nouns,0.95
1350,onnellinen,zadowolony,adjectives,4.3
1351,väkivaltainen,miękki,adjectives,0.1
1352,sotilas,pokój,nouns,0.25
1353,itsenäisesti,odpowiedzialnie,adverbs,1.15
