ID,EST,FRA,PoS,score
739,tsunaami,mer,nouns,1.7
740,väljuv,entrant,adjectives,0.55
741,kirjandus,mot,nouns,1.95
742,haiget tegema,taquiner,verbs,2.4
743,sale,svelte,adjectives,5.35
744,koheselt,bientôt,adverbs,2.85
745,salat,vinaigre,nouns,1.15
746,õppekava,examen,nouns,1.5
747,päikesepaiste,pomme,nouns,0.5
748,mootor,machine,nouns,2.95
749,torm,vent,nouns,3.5
750,spirituaalne,désincarné,adjectives,3.9
751,tuginema,échouer,verbs,0.2
752,säästja,épargne,nouns,2.35
753,palk,bain,nouns,0.0
754,uskumus,impression,nouns,2.05
755,õpilane,enseignant,nouns,1.95
756,valik,chapitre,nouns,0.8
757,abikaasa (naine),baignoire,nouns,0.05
758,keeruline,simple,adjectives,1.25
759,teema,hashtag,nouns,3.0
760,kaabel,sorcier,nouns,0.0
761,selgroog,cou,nouns,2.15
762,modernne,ancien,adjectives,1.2
763,ilusti,élégamment,adverbs,3.7
764,film,nihilisme,nouns,0.35
765,tööstus,affaire,nouns,2.5
766,ühtne,informe,adjectives,0.8
767,ülesanne,autoroute,nouns,0.15
768,sümbol,signe,nouns,5.1
769,laenama,devoir,verbs,1.0
770,president,appareil photo,nouns,0.25
771,ootama,laisser,verbs,0.75
772,saama,acheter,verbs,1.85
773,nüüd,ici,adverbs,1.85
774,bioloogia,biotope,nouns,1.7
775,vaidlema,différer,verbs,1.4
776,kuulsus,richesse,nouns,1.8
777,hindama,évaluer,verbs,5.3
778,tagasi võtma,prendre sa retraite,verbs,0.65
779,rada,tunnel,nouns,1.5
780,relv,portable,nouns,0.1
781,kitsas,blanc,adjectives,0.15
782,vara,action,nouns,3.45
783,kuupäev,date,nouns,2.45
784,sügavalt,significativement,adverbs,3.45
785,mõtlema,essayer,verbs,0.6
786,printima,ignorer,verbs,0.1
787,õhtu,coucher de soleil,nouns,2.95
788,põhiliselt,sévèrement,adverbs,0.4
789,lõik,page,nouns,2.15
790,mees,vainqueur,nouns,0.9
791,doktor,médecin,nouns,5.4
792,leib,farine,nouns,1.9
793,sotsiobioloogia,mutant,nouns,0.6
794,tava,règle,nouns,4.05
795,haru,bras,nouns,1.15
796,kena,extraverti,adjectives,1.75
797,karusnahk,pistolet,nouns,0.35
798,trell,prison,nouns,2.15
799,põrand,porte,nouns,0.95
800,valima,élire,verbs,4.1
801,tabamus,cadre,nouns,0.35
802,pöörane,content,adjectives,0.95
803,ebaausalt,équitablement,adverbs,1.05
804,teleskoop,cogitation,nouns,0.05
805,piiskop,archevêque,nouns,4.3
806,mõtlema,décider,verbs,2.55
807,peatuma,conduire,verbs,1.05
808,udu,nuage,nouns,2.88
809,käsi,épaule,nouns,2.15
810,mitte nõustuma,être d'accord,verbs,1.1
811,lihas,bras,nouns,2.0
812,uhke,fort,adjectives,1.3
813,muutmine,altitude,nouns,0.3
814,köök,porte,nouns,0.7
815,tüssama,tricher,verbs,4.45
816,tuntud,bon,adjectives,0.95
817,kohtuma,saluer,verbs,2.1
818,suhtumine,confiance,nouns,1.55
819,võitlus,conquête,nouns,2.75
820,valima,rejeter,verbs,1.0
821,selgitama,expliquer,verbs,5.05
822,rand,rivage,nouns,4.25
823,sool,eau,nouns,1.0
824,hammustama,combattre,verbs,1.45
825,normaalselt,systématiquement,adverbs,2.8
826,heldelt,jamais,adverbs,0.15
827,vaidlema,persuader,verbs,1.45
828,kuld,zinc,nouns,1.9
829,lammas,agneau,nouns,4.4
830,küüs,tête,nouns,0.85
831,number,cytoplasme,nouns,0.05
832,torn,cloche,nouns,1.45
833,nihilism,film,nouns,0.35
834,depressioon,vallée,nouns,0.9
835,kahur,pistolet,nouns,2.75
836,portreteerima,notifier,verbs,0.8
837,kasvama,rétrécir,verbs,1.1
838,neuropsühholoogia,parapsychologie,nouns,1.95
839,paat,pont,nouns,1.15
840,ebaloomulikult,naturellement,adverbs,1.0
841,peatükk,nuit,nouns,0.15
842,vahepeal,n'importe quand,adverbs,0.95
843,jalgpall,plaisir,nouns,0.75
844,põud,eau,nouns,1.3
845,vähendama,restreindre,verbs,4.4
846,tool,télescope,nouns,0.2
847,magma,volcan,nouns,2.15
848,pagas,circumnavigation,nouns,0.95
849,pahkluu,os,nouns,2.55
850,nööp,habit,nouns,1.5
851,viha,frustration,nouns,2.95
852,hõivatud,paresseux,adjectives,0.6
853,jõukus,prestige,nouns,2.05
854,valik,élection,nouns,3.45
855,skulptuur,statue,nouns,4.95
856,ilmselge,apparent,adjectives,4.7
857,hõljuma,chanter,verbs,0.1
858,eine,dîner,nouns,3.65
859,valgus,clavier,nouns,0.2
860,ebamoraalne,illégal,adjectives,2.75
861,rõõm,tristesse,nouns,1.45
862,ekraan,phonologie,nouns,0.15
863,värske,large,adjectives,0.15
864,hävitama,sauver,verbs,0.75
865,ema,ami,nouns,1.8
866,trikk,bain,nouns,0.0
867,maks,revenu,nouns,1.45
868,summa,union,nouns,2.75
869,lihas,os,nouns,1.9
870,kissitama,éblouir,verbs,0.8
871,parim,cinquième,adjectives,0.5
872,kallutama,influencer,verbs,3.55
873,ananass,smartphone,nouns,0.05
874,sõber,invité,nouns,2.45
875,agressioon,hostilité,nouns,3.8
876,rääkima,entendre,verbs,1.3
877,katse,test,nouns,5.05
878,arst,docteur,nouns,5.4
879,kompilaator,fonction,nouns,1.45
880,kirjanik,don,nouns,0.55
881,karvapealt,exactement,adverbs,5.5
882,fakt,perspicacité,nouns,1.1
883,pall,sphère,nouns,2.25
884,kartul,beurre,nouns,1.35
885,naine,secrétaire,nouns,1.45
886,kohalolek,gagnant,nouns,0.6
887,teenijanna,auxiliaire,nouns,2.55
888,tee,voie-rapide,nouns,4.0
889,proovima,convaincre,verbs,1.2
890,vann,femme,nouns,0.05
891,magamistuba,vélo,nouns,0.1
892,värske,vieux,adjectives,0.25
893,aken,cheville,nouns,0.0
894,mõis,sculpteur,nouns,0.4
895,alamprogramm,compilateur,nouns,1.45
896,andma,permettre,verbs,1.9
897,kalender,date,nouns,2.55
898,moslem,évêque,nouns,1.25
899,jahikoer,renard,nouns,1.65
900,laisk,précieux,adjectives,0.25
901,hobune,chien,nouns,1.5
902,teadma,comprendre,verbs,3.2
903,nädalavahetus,course,nouns,0.25
904,lamp,génie,nouns,1.35
905,heidutama,frustrer,verbs,3.1
906,kohv,haricot,nouns,1.05
907,linnapea,chef,nouns,2.65
908,rüüpama,boire,verbs,4.8
909,tark,stupide,adjectives,1.2
910,küün,maison,nouns,1.95
911,aed,tuyau,nouns,1.0
912,ketas,chargeur,nouns,0.75
913,kõri,nez,nouns,1.95
914,palk,bois,nouns,3.5
915,kell,tour,nouns,1.45
916,jalg,sable,nouns,0.35
917,klaviatuur,lumière,nouns,0.2
918,torm,ouragan,nouns,3.65
919,juhtkond,souris,nouns,0.0
920,tõstma,transporter,verbs,1.7
921,sõjalaev,cuirassé,nouns,5.1
922,ebaküps,adulte,adjectives,0.9
923,sajand,liqueur,nouns,0.05
924,eitama,mentir,verbs,1.85
925,telefon,victime,nouns,0.25
926,omandama,trouver,verbs,2.2
927,raamat,accident,nouns,0.35
928,mõistma,pardonner,verbs,2.55
929,võlts,artificiel,adjectives,4.35
930,neutraalne,indécis,adjectives,2.1
931,riie,lin,nouns,2.95
932,peatükk,épisode,nouns,4.0
933,mõnikord,uniformément,adverbs,0.65
934,kallistama,câliner,verbs,4.9
935,eksootiline,rare,adjectives,4.45
936,keha,colonne vertébrale,nouns,1.9
937,ühinema,coopérer,verbs,2.3
938,ilmuma,devenir,verbs,1.05
939,oksendama,fermer,verbs,0.05
940,diivan,lit,nouns,2.95
941,osalema,arriver,verbs,0.5
942,kitsas,long,adjectives,1.3
943,surmavalt,différemment,adverbs,0.1
944,passivselt,silencieusement,adverbs,1.6
945,liha,lard,nouns,3.15
946,edu saavutama,essayer,verbs,1.85
947,teadma,donner,verbs,0.3
948,ujuma,rencontrer,verbs,0.3
949,tööline,employeur,nouns,1.75
950,imeline,génial,adjectives,4.7
951,värske,nouveau,adjectives,4.0
952,võtma,porter,verbs,1.5
953,kondensaator,diode,nouns,1.8
954,katkestama,terminer,verbs,3.05
955,maantee,voiture,nouns,1.7
956,peekon,haricot,nouns,0.9
957,sahtel,habit,nouns,1.2
958,ostma,recevoir,verbs,1.85
959,süütu,libre,adjectives,1.4
960,harva,souvent,adverbs,1.15
961,sõbralik,improbable,adverbs,0.0
962,vastupidavus,fleur,nouns,0.35
963,kihlus,bague,nouns,1.8
964,auto,rue,nouns,1.05
965,tõlge,étranger,nouns,1.3
966,katastroof,accident,nouns,4.6
967,pilvelõhkuja,palais,nouns,1.6
968,väiksevõitu,nain,adjectives,4.2
969,üdi,sang,nouns,1.85
970,siiralt,généralement,adverbs,0.7
971,süüdi,honteux,adjectives,2.5
972,räpane,bon marché,adjectives,0.8
973,räpane,étroit,adjectives,0.35
974,proovima,penser,verbs,0.6
975,pall,raquette,nouns,1.7
976,tütar,bébé,nouns,2.05
977,vallutus,bataille,nouns,2.75
978,turvaline,fastidieux,adjectives,0.45
979,arutama,expliquer,verbs,2.6
980,eraldama,attacher,verbs,0.9
981,keeruline,difficile,adjectives,5.25
982,ootamatu,fortuit,adjectives,5.55
983,roos,papillon,nouns,0.55
984,olukord,condition,nouns,4.25
985,õnnelikult,sûrement,adverbs,1.8
986,teavitama,informer,verbs,5.6
987,jahu,pain,nouns,1.9
988,lagi,toit,nouns,3.9
989,õppima,évaluer,verbs,1.1
990,muru,lame,nouns,0.35
991,loll,intelligent,adjectives,1.1
992,käekell,jupe,nouns,0.45
993,pärl,argent,nouns,1.05
994,kass,lapin,nouns,1.45
995,jätma,rencontrer,verbs,0.35
996,tagasi lükkama,élire,verbs,1.0
997,abikaasa (naine),trou,nouns,0.15
998,palk,argent,nouns,3.95
999,aktiivselt,exactement,adverbs,0.5
1000,kandma,ronger,verbs,0.75
1001,aken,porte,nouns,1.9
1002,rahvas,dollar,nouns,0.1
1003,suurus,centime,nouns,0.4
1004,raha,capital,nouns,4.05
1005,valitseja,roi,nouns,4.7
1006,vägivaldne,passif,adjectives,0.6
1007,raskus,effort,nouns,2.95
1008,pilvkate,prévision,nouns,1.0
1009,ulatus,profondeur,nouns,2.3
1010,abikaasa (naine),mari,nouns,3.55
1011,taipama,découvrir,verbs,3.15
1012,naps,siècle,nouns,0.05
1013,erinevalt,en phase terminale,adverbs,0.1
1014,saak,dieu,nouns,0.15
1015,meeter,pouce,nouns,2.35
1016,maamaja,hutte,nouns,3.35
1017,peatama,attendre,verbs,2.15
1018,kõver,agressif,adjectives,0.25
1019,klassiruum,couloir,nouns,1.05
1020,vastu võtma,recevoir,verbs,3.05
1021,puu,feuille,nouns,1.8
1022,kampaania,singe,nouns,0.1
1023,laskuma,battre en retraite,verbs,0.85
1024,varsti,immédiatement,adverbs,2.85
1025,osalema,débattre,verbs,0.65
1026,hoidma,perdre,verbs,0.95
1027,keha,sous-vêtement,nouns,1.25
1028,kirjanik,roman,nouns,1.75
1029,päike,ciel,nouns,1.95
1030,avalik,confidentiel,adjectives,0.75
1031,neuroos,esprit,nouns,1.45
1032,loobuma,renier,verbs,2.7
1033,liide,affixe,nouns,3.7
1034,võti,couronne,nouns,0.5
1035,suruma,libérer,verbs,0.4
1036,võlur,câble,nouns,0.0
1037,äsja,actuellement,adverbs,3.8
1038,sviiter,coton,nouns,1.45
1039,aken,toit,nouns,1.45
1040,peekon,viande,nouns,3.15
1041,lina,tissu,nouns,2.95
1042,planeet,lune,nouns,2.2
1043,uks,cuisine,nouns,0.7
1044,kümnend,ère,nouns,2.65
1045,kommunikatsioon,télévision,nouns,2.4
1046,arendus,collecte de fonds,nouns,1.2
1047,sirge,incurvé,adjectives,1.1
1048,vabariik,duc,nouns,0.65
1049,ema,gardien,nouns,1.45
1050,rahe,pluie,nouns,3.0
1051,vale,précis,adjectives,0.5
1052,lusikas,jus,nouns,0.8
1053,uus,frais,adjectives,4.0
1054,regioon,espace,nouns,3.1
1055,väsinud,ennuyeux,adjectives,1.55
1056,tuul,bourrasque,nouns,3.5
1057,ilmselge,perceptible,adjectives,3.5
1058,tähelepanelikult,prudemment,adverbs,3.75
1059,peatuma,prévenir,verbs,0.85
1060,järg,appareil photo,nouns,0.2
1061,tuginema,dépendre,verbs,3.35
1062,kodu,état,nouns,0.35
1063,troon,épée,nouns,0.8
1064,poiss,riz,nouns,0.1
1065,vend,père,nouns,1.95
1066,võitma,dominer,verbs,2.8
1067,suur,facile,adjectives,0.3
1068,kaotama,obtenir,verbs,0.8
1069,takso,autobus,nouns,2.35
1070,liblikas,rose,nouns,0.55
1071,konteiner,wagon,nouns,1.1
1072,ülesanne,femme,nouns,0.1
1073,tunnistama,nier,verbs,1.15
1074,kass,chien,nouns,1.95
1075,saavutama,réussir,verbs,4.2
1076,minema,envoyer,verbs,0.8
1077,lennuk,hélicoptère,nouns,2.65
1078,kaneel,bonbon,nouns,1.15
1079,buss,taxi,nouns,2.35
1080,kindlus,attitude,nouns,1.55
1081,abiline,enseignant,nouns,2.15
1082,sipelgas,abeille,nouns,1.7
1083,värav,gagnant,nouns,1.05
1084,märk,verre,nouns,0.4
1085,nõustuma,satisfaire,verbs,1.6
1086,käsi,os,nouns,1.75
1087,triumf,victoire,nouns,5.2
1088,võõrsil,à domicile,adverbs,1.25
1089,köök,salle de bain,nouns,1.9
1090,segadusse ajama,apprendre,verbs,0.8
1091,avastama,provenir,verbs,0.4
1092,advokaat,avocat,nouns,4.2
1093,pingutus,difficulté,nouns,2.95
1094,karp,cigare,nouns,0.95
1095,hankima,prendre,verbs,2.7
1096,eraldama,diviser,verbs,2.35
1097,hambad,os,nouns,2.5
1098,õlg,corps,nouns,1.6
1099,tüdruk,mec,nouns,1.55
1100,torm,nuage,nouns,1.7
1101,rivi,liste,nouns,2.35
1102,varastama,donner,verbs,0.85
1103,järgima,persuader,verbs,0.5
1104,naljakas,sérieux,adjectives,1.3
1105,heidutama,contrarier,verbs,2.0
1106,nina,bouche,nouns,1.95
1107,kalju,queue,nouns,0.05
1108,alumiinium,étain,nouns,2.0
1109,lugu,chanson,nouns,2.4
1110,purustamine,construction,nouns,1.5
1111,tragöödia,mort,nouns,2.6
1112,iste,banque,nouns,1.15
1113,seletama,clarifier,verbs,5.05
1114,sisalik,gouvernement,nouns,0.0
1115,säär,bras,nouns,2.25
1116,klooster,douche,nouns,0.2
1117,panema,obtenir,verbs,0.35
1118,sõber,copain,nouns,5.2
1119,harima,enseigner,verbs,4.85
1120,ümbris,port,nouns,0.45
1121,mahl,cuillère,nouns,0.8
1122,töötaja,employeur,nouns,2.15
1123,keskmine,ordinaire,adjectives,3.05
1124,usaldusväärselt,passivement,adverbs,0.55
1125,mees,guerrier,nouns,2.05
1126,reaalsus,fantastique,nouns,1.4
1127,kael,bras,nouns,1.5
1128,ära tõukama,renoncer,verbs,2.7
1129,kaval,dur,adjectives,0.65
1130,nõustuma,être en désaccord,verbs,1.1
1131,lahkuma,arriver,verbs,0.6
1132,sent,taille,nouns,0.4
1133,ülbe,fier,adjectives,3.85
1134,häbenev,coupable,adjectives,2.5
1135,määrama,évacuer,verbs,0.25
1136,imelik,étrange,adjectives,5.8
1137,sõrmus,fiançailles,nouns,1.8
1138,mõtlema,se renseigner,verbs,1.0
1139,kast,cabine,nouns,1.55
1140,puus,lèvre,nouns,0.85
1141,hiir,réceptacle,nouns,0.25
1142,pärast,avant,adverbs,1.25
1143,magus,électrique,adjectives,0.3
1144,palk,bois,nouns,3.1
1145,mehed,fraternité,nouns,1.45
1146,saama,donner,verbs,1.15
1147,iidne,moderne,adjectives,1.2
1148,periood,semestre,nouns,3.85
1149,sularaha,argent,nouns,4.2
1150,kaduma,trouver,verbs,0.55
1151,allikas,geyser,nouns,3.75
1152,elevant,boussole,nouns,0.55
1153,märkima,critiquer,verbs,1.9
1154,kana,riz,nouns,1.1
1155,korporatsioon,base-ball,nouns,0.3
1156,anarhia,chaos,nouns,3.7
1157,veider,ordinaire,adjectives,1.2
1158,uhke,triste,adjectives,0.65
1159,hüppamine,barres,nouns,1.5
1160,magamistuba,salle de bain,nouns,2.0
1161,lõimima,bouger,verbs,0.35
1162,põhi,côté,nouns,1.7
1163,umbes,évidemment,adverbs,0.55
1164,viha,fureur,nouns,5.1
1165,telefon,cabine,nouns,1.35
1166,vagun,récipient,nouns,1.1
1167,tank,voiture,nouns,1.2
1168,andma,mettre,verbs,1.2
1169,ajastu,décennie,nouns,2.65
1170,oluline,nécessaire,adjectives,4.8
1171,vihm,bruine,nouns,4.35
1172,teadma,oublier,verbs,1.0
1173,ründama,blesser,verbs,2.5
1174,rahutu,apeuré,adjectives,2.95
1175,vaidlema,assister,verbs,0.65
1176,kaart,carré,nouns,0.65
1177,pilv,lac,nouns,0.6
1178,ebaselge,vague,adjectives,4.9
1179,värav,porte,nouns,4.05
1180,lagunema,mourir,verbs,2.65
1181,jumal,proie,nouns,0.15
1182,raamat,dissertation,nouns,1.4
1183,laenama,donner,verbs,2.8
1184,keel,soleil couchant,nouns,0.05
1185,trikk,jeu,nouns,2.05
1186,pisar,œil,nouns,1.6
1187,naps,vin,nouns,2.45
1188,mahl,pomme,nouns,2.0
1189,lahingulaev,croiseur,nouns,5.1
1190,paberraha,paiement,nouns,2.05
1191,puit,couverture,nouns,0.2
1192,koostööd tegema,participer,verbs,3.35
1193,eestkostja,adulte,nouns,2.6
1194,saavutama,essayer,verbs,1.25
1195,uks,présence,nouns,0.35
1196,võitja,homme,nouns,0.9
1197,keel,gorge,nouns,1.8
1198,imetlema,adorer,verbs,4.45
1199,võmm,copilote,nouns,0.55
1200,pilv,météo,nouns,2.0
1201,tõstma,boire,verbs,0.45
1202,tekk,souris,nouns,0.2
1203,kallis,timide,adjectives,0.15
1204,naerma,pouffer,verbs,4.55
1205,ökosüsteem,économie,nouns,1.35
1206,teadlane,infirmier,nouns,0.8
1207,näljane,fatigué,adjectives,1.5
1208,lõpetama,ajourner,verbs,3.05
1209,andestama,comprendre,verbs,2.55
1210,koostama,faire,verbs,3.55
1211,mõjutama,incliner,verbs,3.55
1212,koor,église,nouns,2.15
1213,maks,organe,nouns,2.75
1214,ütlema,vérifier,verbs,1.5
1215,bioloog,microscope,nouns,1.65
1216,üle kuhjama,étouffer,verbs,2.4
1217,tekk,bois,nouns,0.2
1218,seltskondlik,agréable,adjectives,1.75
1219,kauss,ruelle,nouns,0.0
1220,kurbus,honte,nouns,1.8
1221,paindlik,modeste,adjectives,0.55
1222,ära ütlema,refuser,verbs,5.35
1223,pealik,maire,nouns,2.65
1224,täpne,faux,adjectives,0.5
1225,uskuma,savoir,verbs,2.5
1226,kartmatu,fier,adjectives,2.15
1227,veiseliha,viande,nouns,3.3
1228,seersant,pistolet,nouns,1.0
1229,näitleja,polyèdre,nouns,0.15
1230,kana,oiseau,nouns,2.5
1231,ulatus,taille,nouns,3.75
1232,õnnetus,catastrophe,nouns,4.6
1233,lehm,chèvre,nouns,1.85
1234,pühak,pécheur,nouns,1.25
1235,praegu,délicatement,adverbs,0.35
1236,kerge,gros,adjectives,0.3
1237,heameelt tegema,être d'accord,verbs,1.6
1238,sein,décoration,nouns,1.45
1239,lahkuma,entrer,verbs,0.45
1240,puhas,impeccable,adjectives,4.85
1241,tekk,lit,nouns,1.8
1242,tänav,ruelle,nouns,4.35
1243,õli,vison,nouns,0.3
1244,kuninganna,abeille,nouns,1.45
1245,surema,se désintégrer,verbs,2.65
1246,teksad,femme,nouns,0.2
1247,raha,perle,nouns,1.05
1248,niit,pâturage,nouns,4.55
1249,pööraselt,tristement,adverbs,0.65
1250,tõenäoliselt,positivement,adverbs,1.15
1251,surm,tragédie,nouns,2.6
1252,operatsioon,coeur,nouns,1.2
1253,korter,hôtel,nouns,1.85
1254,otsustama,représenter,verbs,0.95
1255,korraldama,nécessiter,verbs,0.55
1256,lihtne,facile,adjectives,4.95
1257,lõvi,chat,nouns,2.35
1258,lennundus,vol,nouns,2.3
1259,seisund,garçon,nouns,0.1
1260,pärinema,découvrir,verbs,0.4
1261,negatiivne,jamais,adjectives,1.25
1262,oluliselt,sérieusement,adverbs,2.1
1263,karusnahk,femme,nouns,0.45
1264,otsekohe,autrefois,adverbs,0.7
1265,kahtlusalune,homme,nouns,1.2
1266,rannik,rive,nouns,4.2
1267,arvamus,préjugé,nouns,3.35
1268,lugu,crayon,nouns,0.45
1269,vana,mixte,adjectives,0.15
1270,mees,enfant,nouns,1.85
1271,täht,intensité,nouns,1.35
1272,hirmus,mal,adjectives,2.55
1273,päev,nuit,nouns,1.75
1274,kukkuma,blesser,verbs,1.55
1275,leib,fromage,nouns,1.75
1276,lämmatama,brûler,verbs,0.55
1277,viisakalt,discrètement,adverbs,2.9
1278,biotoop,biologie,nouns,1.7
1279,keemia,théorie,nouns,1.3
1280,pilv,brume,nouns,3.05
1281,jalgratas,voiture,nouns,1.65
1282,leht,arbre,nouns,1.8
1283,hiir,pont,nouns,0.2
1284,delta,mer,nouns,1.7
1285,biheiviorism,thérapie,nouns,1.65
1286,muru,racine,nouns,1.85
1287,pahkluu,fenêtre,nouns,0.0
1288,piin,chagrin,nouns,2.2
1289,autopasun,voiture,nouns,1.45
1290,lahkuma,errer,verbs,0.65
1291,veendunud,sûr,adjectives,5.45
1292,edendama,promouvoir,verbs,2.8
1293,režissöör,cinématographie,nouns,1.9
1294,amet,lycée,nouns,0.95
1295,veenma,débattre,verbs,2.8
1296,tulemus,niveau,nouns,2.25
1297,pidu,gens,nouns,1.05
1298,laager,chalet,nouns,1.25
1299,korratu,organisé,verbs,1.2
1300,alumiinium,métal,nouns,3.0
1301,mutant,sociobiologie,nouns,0.6
1302,kannatused,désespoir,nouns,3.1
1303,tööandja,employé,nouns,2.15
1304,galaktika,astronome,nouns,1.55
1305,vastu võtma,décliner,verbs,1.25
1306,kriket,supporter,nouns,0.35
1307,mägi,corniche,nouns,1.55
1308,pink,chaise,nouns,3.75
1309,kehatu,spirituel,adjectives,3.9
1310,kohane,formel,adjectives,1.1
1311,voodi,pièce,nouns,0.9
1312,hämmastav,sale,adjectives,0.6
1313,vihkama,apprécier,verbs,0.85
1314,tegu,cours,nouns,1.95
1315,toetaja,criquet,nouns,0.35
1316,liikumine,activité,nouns,3.2
1317,vihmavari,calibre,nouns,0.1
1318,puhkus,calendrier,nouns,1.7
1319,teater,film,nouns,1.8
1320,komm,pomme,nouns,1.25
1321,päästma,noyer,verbs,1.15
1322,või,pomme de terre,nouns,1.35
1323,imepisike,énorme,adjectives,1.1
1324,lämmatama,submerger,verbs,2.4
1325,siiralt,honnêtement,adverbs,5.5
1326,kaisutama,étreindre,verbs,4.9
1327,suur,énorme,adjectives,4.15
1328,küsima,mendier,verbs,3.45
1329,sultan,ministère,nouns,0.6
1330,rahulikult,subtilement,adverbs,1.8
1331,toll,mètre,nouns,2.35
1332,rändama,errer,verbs,3.05
1333,hoidma,emprunter,verbs,1.2
1334,tagasihoidlik,pur,adjectives,1.35
1335,voolik,voiture,nouns,0.3
1336,õnnetus,registre,nouns,0.35
1337,meenutama,vendre,verbs,0.2
1338,etendus,mathématicien,nouns,0.15
1339,sidrun,pomme,nouns,1.8
1340,partner,garçon,nouns,1.95
1341,eitama,éviter,verbs,1.8
1342,meeleheide,misère,nouns,3.1
1343,joonistus,émeute,nouns,0.2
1344,õnneseen,honteux,adjectives,0.45
1345,vormimata,uniforme,adjectives,0.8
1346,küngas,falaise,nouns,2.45
1347,purjus,sobre,adjectives,1.2
1348,tekk,tempête,nouns,0.3
1349,äri,entreprise,nouns,3.95
1350,noor,heureux,adjectives,0.75
1351,piparmünt,gomme,nouns,0.9
1352,lai,étroit,adjectives,1.15
1353,org,canyon,nouns,3.95
1354,doktor,professeur,nouns,2.85
1355,suurus,magnitude,nouns,3.75
1356,lõpmatus,zéro,nouns,1.55
1357,mahl,lait,nouns,1.65
1358,ettenägematu,imprévu,adjectives,5.55
1359,assisteerima,aider,verbs,5.05
1360,iga,beauté,nouns,1.0
1361,domineerima,gagner,verbs,2.8
1362,närviline,effrayé,adjectives,1.9
1363,juust,pain,nouns,1.75
1364,õhtusöök,repas,nouns,3.65
1365,ilmuma,assister,verbs,1.35
1366,petersell,muffin,nouns,0.5
1367,mood,style,nouns,4.3
1368,kulm,œil,nouns,2.0
1369,pisik,pathogène,nouns,3.85
1370,vaenulikkus,agression,nouns,3.8
1371,diood,condensateur,nouns,1.8
1372,tagasi lükkama,éviter,verbs,2.15
1373,karp,électricité,nouns,0.85
1374,edu saavutama,atteindre,verbs,4.2
1375,unustama,rappeler,verbs,1.1
1376,märgatav,évident,adjectives,3.5
1377,karjuma,débattre,verbs,1.55
1378,austus,honneur,nouns,3.2
1379,põsk,langue,nouns,1.5
1380,hirmutama,hanter,verbs,3.1
1381,nüri,ennuyé,adjectives,1.65
1382,sihtima,frapper,verbs,2.4
1383,esik,corridor,nouns,4.8
1384,ilmselgelt,localement,adverbs,0.2
1385,ukseava,porte,nouns,3.05
1386,naine,épouse,nouns,4.15
1387,aru saama,savoir,verbs,3.2
1388,maja,clé,nouns,1.25
1389,pilv,tempête,nouns,1.7
1390,tool,lit,nouns,1.5
1391,merevägi,armée,nouns,3.25
1392,surmavalt,principalement,adverbs,0.0
1393,kast,source,nouns,0.0
1394,ühiskond,culture,nouns,2.9
1395,mööbel,appartement,nouns,1.55
1396,peenike,étroit,adjectives,2.7
1397,ootama,s'arrêter,verbs,2.15
1398,passiivselt,sérieusement,adverbs,0.55
1399,õpetaja,étudiant,nouns,1.95
1400,tõestama,débattre,verbs,2.35
1401,gravitatsioon,météore,nouns,1.1
1402,harva,d'habitude,adverbs,1.15
1403,pagema,s'échapper,verbs,5.6
1404,ameerika jalgpall,football américain,nouns,3.55
1405,plekitu,propre,adjectives,4.85
1406,põiktänav,rue,nouns,4.35
1407,ilus,merveilleux,adjectives,3.95
1408,rahumeelselt,fièrement,adverbs,0.8
1409,klaver,harmonie,nouns,1.6
1410,kerge,rigide,adjectives,0.25
1411,tüütu,sûr,adjectives,0.45
1412,pehmelt,fermement,adverbs,1.0
1413,kannatamatu,inquiet,adjectives,3.05
1414,sassis,laid,adjectives,1.05
1415,puit,papier,nouns,2.05
1416,vaikselt,passivement,adverbs,1.6
1417,šerif,flic,nouns,3.75
1418,menüü,commande,nouns,1.75
1419,paat,moteur,nouns,1.2
1420,andma,savoir,verbs,0.3
1421,tõend,fait,nouns,3.55
1422,organiseerima,devenir,verbs,0.5
1423,võtma,livrer,verbs,0.8
1424,varastama,acheter,verbs,1.1
1425,igapäevaselt,normalement,adverbs,2.95
1426,andma,voler,verbs,0.85
1427,statistika,tennis,nouns,0.45
1428,soovitama,accepter,verbs,0.75
1429,tuli,apocalypse,nouns,1.25
1430,korv,ballon,nouns,1.05
1431,uks,fraternité,nouns,0.15
1432,koidik,pistolet,nouns,0.1
1433,veresoon,veine,nouns,4.3
1434,suhkruroog,moissonneuse-batteuse,nouns,0.75
1435,erinevalt,curieusement,adverbs,1.9
1436,õpetama,éduquer,verbs,4.85
1437,närv,corps,nouns,1.15
1438,suund,estomac,nouns,0.15
1439,kiusama,blesser,verbs,2.4
1440,parapsühholoogia,neuropsychologie,nouns,1.95
1441,sportlane,coureur,nouns,3.25
1442,saama,prendre,verbs,2.2
1443,tass,cuillère,nouns,1.55
1444,anatoomia,biologie,nouns,2.7
1445,kelder,porte,nouns,1.1
1446,vein,alcool,nouns,3.0
1447,rakendus,galaxie,nouns,0.2
1448,targalt,mûrement,adverbs,3.7
1449,oht,maladie,nouns,1.05
1450,tihedalt,incroyablement,adverbs,0.4
1451,uks,ouverture,nouns,3.05
1452,tütar,gamin,nouns,1.55
1453,sõnaraamat,définition,nouns,2.45
1454,minema,vendre,verbs,0.35
