ID,RUS,YUE,PoS,score
765,ненужный,必須,adjectives,0.1
766,лифт,盒子,nouns,0.39
767,мирно,自豪地,adverbs,0.28
768,ум,無知,nouns,0.29
769,рассвет,日落,nouns,0.62
770,критиковать,討厭,verbs,0.68
771,возможный,不可能,adjectives,0.24
772,получать,收割,verbs,1.83
773,гармония,鋼琴,nouns,0.57
774,счастливо,死氣沈沈的,adverbs,0.15
775,безумно,大聲地,adverbs,1.11
776,забирать,離開,verbs,0.1
777,сказать,表達,verbs,2.53
778,смиренно,自豪的,adverbs,0.24
779,министерство,蘇丹,nouns,0.04
780,роза,蝴蝶,nouns,0.34
781,решать,描繪,verbs,0.5
782,сладость,蘋果,nouns,0.49
783,воровать,購買,verbs,0.0
784,апокалипсис,火,nouns,0.69
785,метла,灰塵,nouns,1.1
786,сделать ставку,賭,verbs,3.25
787,забывать,提醒,verbs,0.04
788,нюхать,溺愛,verbs,0.0
789,гибкий,鬆動,adjectives,0.95
790,невинный,幼稚,adjectives,0.39
791,вертолет,飛機,nouns,1.89
792,свободный,無辜,adjectives,0.0
793,лист,樹,nouns,0.86
794,бесформенный,不定形,adjectives,3.54
795,пруток,監獄,nouns,0.04
796,парапсихология,神經心理學,nouns,0.8
797,хвост,碗,nouns,0.0
798,петь,大笑,verbs,0.28
799,восхищаться,崇拜,verbs,4.22
800,отрекаться,給,verbs,0.04
801,словарь,定義,nouns,1.75
802,значительно,特別,adverbs,0.6
803,механик,工人,nouns,1.85
804,продавать,借,verbs,0.1
805,налог,收入,nouns,0.53
806,обычно,很少地,adverbs,0.04
807,игнорировать,探索,verbs,0.0
808,поиск,目標,nouns,0.58
809,отмечать,評分,verbs,2.83
810,комбинация,結合,nouns,2.94
811,студент,教授,nouns,0.48
812,ребенок,男孩,nouns,2.29
813,желудок,身體,nouns,1.93
814,создатель,製作者,nouns,4.09
815,тяжелый,簡單,adjectives,0.14
816,кофе,豆,nouns,0.68
817,дочь,嬰兒,nouns,1.65
818,лошадь,母馬,nouns,3.98
819,творчески,本來,adverbs,0.09
820,уродливый,粗糙,adjectives,1.06
821,почка,器官,nouns,2.83
822,преобразование,高度,nouns,0.04
823,неуверенный,黏人,adjectives,0.23
824,монах,神職人員,nouns,3.29
825,кость,肘,nouns,0.64
826,пинать,傷害,verbs,2.42
827,угадывать,刺激,verbs,0.18
828,свобода,審查,nouns,0.39
829,противоречить,同意,verbs,0.14
830,счастливый,嬲,adjectives,0.14
831,дипломатия,談判,nouns,2.08
832,падать,傷害,verbs,0.63
833,молодой,開心,adjectives,0.15
834,щуриться,怒視,verbs,0.39
835,раздражать,對抗,verbs,0.18
836,подтверждать,說,verbs,0.3
837,собор,天花板,nouns,0.2
838,естественно,悄悄地,adverbs,0.33
839,карта,廣場,nouns,0.53
840,микшировать,煮,verbs,0.33
841,колледж,職業,nouns,0.39
842,ломать,裂開,verbs,1.2
843,тонуть,救,verbs,0.1
844,биография,小說,nouns,1.32
845,говорить,聽見,verbs,0.24
846,яблоко,陽光,nouns,0.0
847,переводчик,外國人,nouns,0.48
848,безумный,瘋狂,adjectives,5.38
849,запястье,手臂,nouns,1.02
850,входить,欠,verbs,0.0
851,сумасшедший,瘋,adjectives,5.38
852,виза,全球化,nouns,0.38
853,девочка,小孩,nouns,2.03
854,говорить,校驗,verbs,0.3
855,лето,冬天,nouns,0.34
856,износоустойчивость,樂隊,nouns,0.0
857,безумно,可悲的是,adverbs,0.2
858,приложение,星系,nouns,0.3
859,сжиматься,減少,verbs,3.05
860,запад,北,nouns,0.2
861,волшебник,電纜,nouns,0.0
862,трюк,尺寸,nouns,0.05
863,психология,科學,nouns,1.4
864,хлеб,芝士,nouns,0.48
865,мужчина,武士,nouns,1.2
866,захватывающий,平淡,adjectives,0.23
867,наказать,擊中,verbs,0.45
868,планета,星星,nouns,2.25
869,коронация,水,nouns,0.0
870,философ,賽跑,nouns,0.09
871,странный,古怪,adjectives,4.73
872,женщина,牛仔褲,nouns,0.24
873,кабель,教堂,nouns,0.0
874,обожать,敬佩,verbs,4.22
875,лучник,探路者,nouns,0.34
876,счастливо,安全地,adverbs,0.46
877,невеста,公主,nouns,0.53
878,беспокоиться,浪費,verbs,0.0
879,пытаться,想,verbs,0.52
880,честно говоря,從未,adverbs,0.0
881,длинный,狹窄,adjectives,0.47
882,телевидение,編劇,nouns,0.91
883,дом,地毯,nouns,0.63
884,начинать,戒除,verbs,0.1
885,пирог,巧克力,nouns,0.54
886,великодушный,友善,adjectives,2.58
887,особняк,雕塑家,nouns,0.25
888,телескоп,頭腦風暴,nouns,0.04
889,трава,根,nouns,0.57
890,ловкий,堅固,adjectives,0.65
891,задача,稻草,nouns,0.05
892,век,年,nouns,0.81
893,работодатель,員工,nouns,0.63
894,муравей,蜜蜂,nouns,1.02
895,биология,群落生境,nouns,0.43
896,казаться,變成,verbs,0.96
897,пистолет,軍士,nouns,0.63
898,дверь,兄弟會,nouns,0.0
899,обмен,替換,nouns,4.39
900,белый,狹窄,adjectives,0.0
901,робототехника,模擬,nouns,0.68
902,ловить,放走,verbs,0.28
903,открыто,大規模,adverbs,0.38
904,мягкий,尖,adjectives,0.0
905,угол,彎曲,nouns,2.31
906,укусить,搏鬥,verbs,0.57
907,тетя,侄子,nouns,0.99
908,фехтование,體操,nouns,0.48
909,конь,小馬,nouns,2.98
910,верить,感覺到,verbs,0.58
911,тайфун,氣旋,nouns,3.29
912,червяк,惡意軟件,nouns,0.59
913,иногда,每當,adverbs,0.28
914,капитан,水手,nouns,1.03
915,дорожка,隧道,nouns,0.86
916,провалиться,依靠,verbs,0.04
917,тесно,本地,adverbs,0.1
918,поглощать,擁有,verbs,0.34
919,подозреваемый,男人,nouns,0.28
920,мужчина,父親,nouns,2.02
921,завование,旅程,nouns,0.09
922,метеор,地心吸力,nouns,0.38
923,принимать,謝絕,verbs,0.0
924,писатель,禮物,nouns,0.45
925,соглашаться,拒絕,verbs,0.05
926,вредитель,農藥,nouns,0.81
927,покидать,進入,verbs,0.04
928,челюсть,骨頭,nouns,1.5
929,ум,智慧,nouns,3.8
930,срыгивать,關閉,verbs,0.0
931,никогда,否定,adjectives,1.46
932,ружье,大炮,nouns,2.04
933,форма,時裝,nouns,0.35
934,вселенная,天空,nouns,1.69
935,удивительно,奇特地,adverbs,2.92
936,преуспевать,嘗試,verbs,0.24
937,наверное,積極地,adverbs,0.41
938,обвинять,說謊,verbs,0.19
939,лен,布,nouns,2.66
940,невозможный,可行,adjectives,0.24
941,прикреплять,分離,verbs,0.0
942,спор,討論,nouns,3.76
943,грубо,不耐煩地,adverbs,0.63
944,ткань,麻布,nouns,2.66
945,обертка,港口,nouns,0.15
946,флот,軍隊,nouns,2.88
947,сгибание,感染,nouns,0.09
948,зонтик,品質,nouns,0.0
949,узкий,長,adjectives,0.47
950,исполнитель,歌曲,nouns,0.55
951,сопло,流體,nouns,0.14
952,ритм,旋律,nouns,3.08
953,вред,疼痛,nouns,0.73
954,легко,大致地,adverbs,0.32
955,собрание,聚會,nouns,3.75
956,ездить,拖著腳走,verbs,0.1
957,пассивный,暴力,adjectives,0.1
958,петрушка,瑪芬,nouns,0.15
959,напоминать,告訴,verbs,1.68
960,судно,車,nouns,0.53
961,фальшивый,真實,adjectives,0.29
962,шелкопряд,毛毛蟲,nouns,2.67
963,продвигать,前進,verbs,1.1
964,атом,分子,nouns,1.64
965,ненавидеть,喜愛,verbs,0.09
966,платформа,容器,nouns,0.1
967,самолет,直升機,nouns,1.89
968,агрессивный,彎曲,adjectives,0.0
969,слово,文學,nouns,1.82
970,ранимый,簡單,adjectives,0.18
971,жестокий,不公平,adjectives,1.22
972,грязь,泥,nouns,5.27
973,мясо,牛肉,nouns,2.94
974,избирать,拒絕,verbs,0.1
975,отсутствие,在场,nouns,0.34
976,развлечение,足球,nouns,0.73
977,покладистый,靈活,adjectives,2.09
978,победитель,存在,nouns,0.1
979,песок,腳,nouns,0.04
980,понять,掌握,verbs,1.98
981,стоять,步行,verbs,0.28
982,безопасный,合法,adjectives,1.01
983,получать,失去,verbs,0.04
984,орган,肝臟,nouns,2.27
985,шляпка,指甲,nouns,0.65
986,сценарист,電視,nouns,0.91
987,пожинать,獲得,verbs,1.83
988,сила,威力,nouns,3.93
989,мост,汽車,nouns,0.34
990,суд,法官,nouns,1.26
991,заканчивать,畢業,verbs,1.51
992,кость,頸,nouns,0.43
993,дельта,海,nouns,0.42
994,сохранять,保護,verbs,0.83
995,лазить,遠足,verbs,0.76
996,заболевание,傳染病,nouns,3.04
997,список,陣列,nouns,1.08
998,пшеница,穀物,nouns,3.04
999,вполне,基本上,adverbs,0.67
1000,размер,量,nouns,4.13
1001,соглашение,爭論,nouns,0.34
1002,твердый,密度大,adjectives,2.91
1003,град,雨,nouns,1.01
1004,работник,相機,nouns,0.43
1005,лагерь,艙,nouns,0.78
1006,пушка,球,nouns,0.69
1007,товарищ,傢伙,nouns,2.17
1008,дерево,石,nouns,0.42
1009,способность,才能,nouns,3.4
1010,цифра,數,nouns,4.3
1011,сбор пожертвований,事件,nouns,0.53
1012,душить,擁抱,verbs,0.34
1013,стекло,徽章,nouns,0.09
1014,мальчик,狀態,nouns,0.04
1015,меню,點菜,nouns,0.91
1016,тканевый,冚住,adjectives,0.68
1017,гробница,重新安葬,nouns,1.25
1018,нос,頭,nouns,0.49
1019,человек,動物,nouns,0.58
1020,судить,作證,verbs,0.05
1021,глиняная посуда,陶瓷,nouns,3.59
1022,спальня,單車,nouns,0.0
1023,больной,瘋,adjectives,0.8
1024,муж,老婆,nouns,1.44
1025,легальный,允許,adjectives,3.23
1026,один раз,馬上,adverbs,0.14
1027,история,話題,nouns,0.8
1028,формула,日誌,nouns,0.2
1029,жесткий,簡單,adjectives,0.0
1030,родитель,父親,nouns,3.35
1031,священник,天神,nouns,0.87
1032,гибкий,有彈性,adjectives,4.19
1033,кинолента,電影,nouns,4.42
1034,петь,浮動,verbs,0.05
1035,глава,市長,nouns,2.91
1036,хранить,擁有,verbs,1.38
1037,тоскливый,枯燥,adjectives,4.21
1038,необычный,正常,adjectives,0.1
1039,создавать,毀滅,verbs,0.1
1040,простой,困難,adjectives,0.09
1041,слышать,察覺,verbs,1.35
1042,изогнутый,好鬥,adjectives,0.0
1043,любезно,慷慨地,adverbs,2.83
1044,хор,歌手,nouns,1.11
1045,ужин,湯,nouns,1.09
1046,злость,心情,nouns,0.97
1047,биотоп,生物學,nouns,0.43
1048,загрязнение,大氣層,nouns,0.72
1049,ложка,果汁,nouns,0.33
1050,салат,減肥,nouns,0.63
1051,кругосветное плавание,行李,nouns,0.72
1052,минимально,大致,adverbs,0.5
1053,отец,女兒,nouns,0.77
1054,клавиатура,光,nouns,0.09
1055,липкий,脏,adjectives,1.18
1056,дочь,孩子,nouns,1.6
1057,громко,輕輕的,adverbs,0.14
1058,решать,想,verbs,1.22
1059,тянуть,推,verbs,0.43
1060,отрицательно,非自然,adverbs,0.52
1061,рисковать,打賭,verbs,3.25
1062,отрекаться,壓抑,verbs,0.18
1063,дом,鎖匙,nouns,0.58
1064,ситуация,狀況,nouns,4.72
1065,массивный,天文,adjectives,0.58
1066,трезвый,醉酒,adjectives,0.14
1067,подруга,母親,nouns,0.63
1068,продвигаться,促進,verbs,1.1
1069,критиковать,評論說,verbs,2.16
1070,представлять,創建,verbs,0.34
1071,теория,假設,nouns,3.13
1072,безопасно,高高興興地,adverbs,0.46
1073,урок,混亂,nouns,0.1
1074,разрешать,侵蝕,verbs,0.0
1075,голодный,渴,adjectives,1.59
1076,планета,月亮,nouns,2.57
1077,отрекаться,疏忽,verbs,0.04
1078,год,世紀,nouns,0.81
1079,парень,朋友,nouns,1.26
1080,псалом,征服,nouns,0.0
1081,дом,穀倉,nouns,0.86
1082,безрассудный,孩子氣,adjectives,2.13
1083,архиепископ,主教,nouns,3.4
1084,доллар,百萬富翁,nouns,0.78
1085,корпорация,企業,nouns,3.76
1086,плохой,偉大,adjectives,0.04
1087,велосипед,皮膚,nouns,0.04
1088,инновационный,有創意,adjectives,3.97
1089,юг,北,nouns,0.83
1090,мутант,社會生物學,nouns,0.39
1091,отекать,倒,verbs,0.46
1092,счастливо,積極地,adverbs,0.51
1093,ужин,餐,nouns,2.96
1094,пророк,牧師,nouns,0.88
1095,необходимый,不需要,adjectives,0.1
1096,умолять,懇求,verbs,3.72
1097,массивно,公開地,adverbs,0.38
1098,остров,海軍,nouns,0.35
1099,обнимать,擠壓,verbs,0.04
1100,искренне,平時,adverbs,0.28
1101,трудный,簡單,adjectives,0.04
1102,воздух,分子,nouns,0.77
1103,губернатор,皇帝,nouns,0.96
1104,фильм,虛無主義,nouns,0.09
1105,охранник,男人,nouns,1.05
1106,спиртное,紅酒,nouns,2.84
1107,лошадь,狗,nouns,0.88
1108,помнить,忘記,verbs,0.1
1109,ключ,王冠,nouns,0.04
1110,иностранец,翻譯者,nouns,0.48
1111,толкование,字典,nouns,1.75
1112,спорить,出席,verbs,0.04
1113,сестра,兄弟,nouns,1.42
1114,мелодия,音樂,nouns,3.46
1115,узкий,髒,adjectives,0.0
1116,ванна,原木,nouns,0.0
1117,обнимать,保持,verbs,0.2
1118,искать,徘徊,verbs,0.88
1119,короткий,長,adjectives,0.18
1120,берег,小炮艦,nouns,0.15
1121,цитоплазма,數字,nouns,0.0
1122,ветка,手臂,nouns,0.15
1123,избирать,任命,verbs,0.45
1124,автомобиль,汽車,nouns,5.85
1125,давать,允許,verbs,2.07
1126,театр,電影,nouns,1.44
1127,идти,進入,verbs,0.86
1128,цент,人,nouns,0.14
1129,площадь,地圖,nouns,0.53
1130,мозг,血液,nouns,0.62
1131,очевидно,本地,adverbs,0.09
1132,кисть,拇指,nouns,1.32
1133,открытый,未公開,adjectives,0.24
1134,маска,派對,nouns,0.48
1135,знак,象徵,nouns,4.16
1136,обескураживать,失敗,verbs,0.38
1137,отказывать,接受,verbs,0.0
1138,сын,哥哥,nouns,0.81
1139,солнце,天空,nouns,0.96
1140,орган,腎,nouns,2.83
1141,наблюдать,觀看,verbs,3.88
1142,немедленно,不久,adverbs,1.32
1143,перчатка,球,nouns,0.14
1144,питание,程序,nouns,0.25
1145,принимать,拒絕,verbs,0.39
1146,покрывать,埋葬,verbs,1.73
1147,щека,舌頭,nouns,0.68
1148,жидкость,噴嘴,nouns,0.14
1149,гитара,鼓,nouns,0.81
1150,спрашивать,想,verbs,0.44
1151,дверь,廚房,nouns,0.58
1152,изысканный,成熟,adjectives,0.48
1153,убеждать,拗撬,verbs,1.08
1154,анализировать,比較,verbs,3.28
1155,понимать,滿足,verbs,0.2
1156,лист,幼苗,nouns,1.0
1157,алфавит,鋼筆,nouns,0.25
1158,искать,看,verbs,0.96
1159,парад,樂隊,nouns,0.72
1160,уменьшаться,降落,verbs,0.2
1161,шар,沖涼,nouns,0.0
1162,скорость,郵件,nouns,0.0
1163,инструмент,工作,nouns,0.54
1164,озеро,雲,nouns,0.33
1165,экономика,生態系統,nouns,0.48
1166,длинный,短,adjectives,0.18
1167,увядать,侵蝕,verbs,0.69
1168,дорога,高速公路,nouns,3.93
1169,работодатель,工作者,nouns,0.78
1170,рука,骨頭,nouns,0.63
1171,уксус,沙拉,nouns,0.53
1172,пить,啜,verbs,1.51
1173,нос,嘴巴,nouns,0.54
1174,пляж,暗礁,nouns,0.58
1175,лёд,雪,nouns,2.97
1176,мышь,容器,nouns,0.0
1177,обед,三文治,nouns,1.01
1178,грудь,身體,nouns,1.56
1179,одежда,布,nouns,1.89
1180,примечание,付款,nouns,0.28
1181,заменять,恢復,verbs,1.06
1182,городок,城市,nouns,3.38
1183,избегать,拒絕,verbs,0.79
1184,неестественно,負面地,adverbs,0.52
1185,картофель,牛油,nouns,0.34
1186,сравнивать,分析,verbs,3.28
1187,один раз,兩次,adverbs,0.14
1188,тело,脊柱,nouns,0.93
1189,очевидно,不顯眼地,adverbs,0.29
1190,политик,警察,nouns,0.15
1191,отходить,降落,verbs,0.24
1192,куб,玩具,nouns,0.44
1193,спальня,肚,nouns,0.04
1194,становиться,組織,verbs,0.24
1195,предупреждать,停,verbs,0.24
1196,угождать,求情,verbs,0.72
1197,посещать,聚集,verbs,0.38
1198,курсор,微晶片,nouns,0.15
1199,очевидно,大致,adverbs,0.55
1200,почтение,榮譽,nouns,3.26
1201,пассивно,積極地,adverbs,0.1
1202,вода,鹽,nouns,0.2
1203,свет,鍵盤,nouns,0.09
1204,пляж,島,nouns,0.76
1205,обычный,無知,adjectives,0.1
1206,грипп,發熱,nouns,1.05
1207,колено,骨頭,nouns,1.05
1208,полировать,通知,verbs,0.0
1209,мягко,堅固地,adverbs,0.1
1210,вечеринка,面具,nouns,0.48
1211,рука,身體,nouns,0.96
1212,библия,書,nouns,1.21
1213,линкор,无畏舰,nouns,2.42
1214,строить,加,verbs,0.57
1215,месяц,八月,nouns,2.53
1216,горчица,種子,nouns,1.25
1217,низ,側面,nouns,0.38
1218,бренди,酒,nouns,2.92
1219,ценный,特別,adjectives,1.42
1220,отец,哥哥,nouns,1.18
1221,печальный,自豪,adjectives,0.05
1222,достигать,嘗試,verbs,1.08
1223,дерзкий,自豪,adjectives,1.43
1224,диск,電腦,nouns,1.33
1225,необычный,奇怪,adjectives,4.73
1226,колено,手臂,nouns,0.53
1227,безопасность,安慰,nouns,0.3
1228,подождать,離開,verbs,0.1
1229,получать,放,verbs,0.15
1230,первоначально,創造性地,adverbs,0.09
1231,окно,雲,nouns,0.2
1232,флаг,杆,nouns,0.71
1233,штурман,警察,nouns,0.04
1234,актриса,演員,nouns,3.08
1235,обычный,普通,adjectives,5.5
1236,вязкость,濺,nouns,0.2
1237,цветок,燈泡,nouns,0.3
1238,собака,馬,nouns,0.88
1239,величина,深度,nouns,0.73
1240,солнце,射線,nouns,1.02
1241,сильно,正式,adverbs,0.52
1242,компетенция,能力,nouns,3.4
1243,кобыла,馬,nouns,3.98
1244,обещать,發誓,verbs,3.32
1245,носить,侵蝕,verbs,0.14
1246,авария,書,nouns,0.0
1247,нерв,腦,nouns,1.04
1248,иногда,肯定地,adverbs,0.15
1249,расти,收縮,verbs,0.0
1250,жена,一分錢,nouns,0.0
1251,потом,從未,adverbs,0.0
1252,нападать,加劇,verbs,0.04
1253,мода,模式,nouns,0.35
1254,оценивать,分數,verbs,2.83
1255,лодка,錨,nouns,0.77
1256,кошка,老鼠,nouns,0.43
1257,дядя,男人,nouns,2.19
1258,душить,制服,verbs,0.57
1259,пакт,條件,nouns,1.77
1260,утешать,羞辱,verbs,0.05
1261,течь,漂移,verbs,1.23
1262,объяснять,證明,verbs,2.95
1263,остров,公主,nouns,0.0
1264,роман,傳記,nouns,1.32
1265,настрой,自信,nouns,1.21
1266,развитие,募捐,nouns,0.09
1267,принцесса,新娘,nouns,0.53
1268,эластичный,靈活的,adjectives,4.19
1269,презирать,討厭,verbs,2.87
1270,сладкий,電動,adjectives,0.0
1271,народ,槍,nouns,0.33
1272,атом,碳,nouns,1.44
1273,присутствие,門,nouns,0.1
1274,определять,預測,verbs,0.6
1275,алюминий,金屬,nouns,1.99
1276,размер,一分錢,nouns,0.34
1277,слог,詞元,nouns,0.71
1278,строка,日落,nouns,0.0
1279,различаться,同意,verbs,0.04
1280,шар,小巷,nouns,0.0
1281,критичный,無禮貌,adjectives,0.57
1282,непокрытый,冚住,adjectives,0.1
1283,мотор,引擎,nouns,4.72
1284,ненормально,一般,adverbs,0.0
1285,профессор,醫生,nouns,1.02
1286,громкий,無禮貌,adjectives,0.93
1287,разум,神經官能症,nouns,0.33
1288,перезахоронения,墳墓,nouns,1.25
1289,дождь,毛毛雨,nouns,4.29
1290,бык,家牛,nouns,2.54
1291,желудок,睡房,nouns,0.04
1292,пропитывать,减少,verbs,0.04
1293,оазис,自由,nouns,0.1
1294,красный,藍色,adjectives,0.14
1295,река,溪流,nouns,2.54
1296,ярко,非常,adverbs,1.1
1297,игнорировать,離開,verbs,0.39
1298,чувство,直覺,nouns,3.94
1299,признавать,接受,verbs,2.9
1300,разъедать,穿,verbs,0.14
1301,музыка,旋律,nouns,3.46
1302,прогноз,灰濛蒙,nouns,0.69
1303,одеяло,床,nouns,0.69
1304,разъедать,褪色,verbs,0.69
1305,большой,容易,adjectives,0.0
1306,одежда,鈕扣,nouns,1.06
1307,пристыженный,謙虛,adjectives,0.43
1308,молодой,焦躁不安,adjectives,0.49
1309,бунт,畫畫,nouns,0.04
1310,кость,踝,nouns,0.82
1311,посылать,接收,verbs,0.1
1312,холодный,普通,adjectives,0.0
1313,символ,標誌,nouns,4.16
1314,священник,僧侶,nouns,3.29
1315,дрожать,凍結,verbs,0.7
1316,лелеять,保持,verbs,0.8
1317,прибывать,離開,verbs,0.0
1318,свежий,舊,adjectives,0.05
1319,конечно,明顯地,adverbs,3.4
1320,любезно,好心地,adverbs,4.38
1321,трудность,努力,nouns,0.74
1322,соединение,組合,nouns,2.94
1323,животное,人,nouns,0.58
1324,грубый,批評,adjectives,0.57
1325,ночь,黎明,nouns,0.57
1326,нерв,身體,nouns,0.57
1327,университет,校園,nouns,1.93
1328,жарить,煮沸,verbs,0.57
1329,секулярист,宗教,nouns,0.29
1330,девушка,男人,nouns,0.37
1331,видимо,簡直,adverbs,1.02
1332,лемма,音節,nouns,0.71
1333,остров,任務,nouns,0.0
1334,луна,行星,nouns,2.57
1335,закапывать,冚住,verbs,1.73
1336,женщина,毛,nouns,0.2
1337,спальня,床,nouns,1.48
1338,сплетня,新聞,nouns,1.66
1339,проницательность,智力,nouns,2.22
1340,странствовать,離開,verbs,0.29
1341,крошечный,巨大,adjectives,0.04
1342,вешать,放,verbs,0.66
1343,обычно,不定期地,adverbs,0.23
1344,критично,實質上,adverbs,0.53
1345,солома,聖歌,nouns,0.18
1346,порядоченный,亂七八糟,adjectives,0.24
1347,тревожно,緊張地,adverbs,3.19
1348,уверенно,偷偷,adverbs,0.0
1349,редкий,非一般,adjectives,3.62
1350,логика,智力,nouns,2.61
1351,важный,必須,adjectives,3.34
1352,отец,母親,nouns,1.42
1353,прошлое,前情,nouns,3.45
1354,разница,剩餘,nouns,2.27
1355,глупый,輕信,adjectives,0.75
1356,отказывать,給予,verbs,0.05
1357,экран,音系學,nouns,0.0
1358,алкоголь,白蘭地酒,nouns,2.92
1359,сейчас,這裡,adverbs,0.73
1360,богатство,貧困,nouns,0.24
1361,ружье,戲法,nouns,0.05
1362,отказаться,謝絕,verbs,3.25
1363,строить,創建,verbs,3.56
1364,потрясающий,普通,adjectives,0.1
1365,шлем,武器,nouns,1.37
1366,униформа,未成形,adjectives,0.0
1367,коробка,資源,nouns,0.04
1368,иногда,一致地,adverbs,0.1
1369,хлебать,喝,verbs,1.51
1370,ручка,字母,nouns,0.25
1371,мягкий,暴力,adjectives,0.0
1372,яблоко,糖果,nouns,0.49
1373,делать,建造,verbs,3.09
1374,хихикать,大笑,verbs,3.88
1375,литература,詞,nouns,1.82
1376,управление,管理,nouns,3.93
1377,душ,修道院,nouns,0.0
1378,частный,個人,adjectives,3.96
1379,понимать,讀,verbs,0.77
1380,настоящий,假,adjectives,0.29
1381,мыть,沖洗,verbs,3.3
1382,пол,甲板,nouns,0.83
1383,скучный,沈悶,adjectives,4.21
1384,работник,機器匠,nouns,1.85
1385,совершенный,完成,adjectives,3.83
1386,остров,半島,nouns,1.74
1387,статья,雜誌,nouns,1.88
1388,замечать,批評,verbs,2.16
1389,избирательное право,出口,nouns,0.04
1390,множественный,兩次,adverbs,0.29
1391,смартфон,菠蘿,nouns,0.0
1392,достоинство,徽章,nouns,0.43
1393,побережье,沙灘,nouns,2.62
1394,бог,牧師,nouns,0.87
1395,плакать,哭泣,verbs,4.88
1396,различаться,拗撬,verbs,0.24
1397,отрицать,承認,verbs,0.1
1398,повторять,練習,verbs,2.35
1399,класть,掛,verbs,0.66
1400,матрица,名單,nouns,1.08
1401,фантастически,令人驚訝,adverbs,2.92
1402,узнавать,聽,verbs,0.53
1403,язык,溝通,nouns,1.28
1404,мужчина,兒童,nouns,1.26
1405,смиренно,糟糕,adverbs,0.14
1406,одалживать,欠,verbs,0.88
1407,никогда,誠實地,adverbs,0.0
1408,красота,年齡,nouns,0.34
1409,печальный,可怕,adjectives,0.39
1410,молекула,空氣,nouns,0.77
1411,настроение,憤怒,nouns,0.97
1412,отец,家長,nouns,3.35
1413,глупый,頑固,adjectives,0.57
1414,учить,教育,verbs,2.85
1415,занимать,保持,verbs,0.1
1416,цель,尋求,nouns,0.58
1417,столб,旗,nouns,0.71
1418,актер,電視,nouns,0.96
1419,размешать,抖動,verbs,0.88
1420,тяжелый,容易,adjectives,0.1
1421,карандаш,故事,nouns,0.0
1422,нерешительный,中性,adjectives,0.77
1423,встряхивать,攪拌,verbs,0.88
1424,полоскать,洗,verbs,3.3
1425,слабый,強大,adjectives,0.1
1426,уровень,得分,nouns,0.32
1427,грустно,感情上,adverbs,0.72
1428,лодка,樹,nouns,0.34
1429,президент,污染,nouns,0.0
1430,машина,車,nouns,5.85
1431,багаж,環球航行,nouns,0.72
1432,давать показания,判斷,verbs,0.05
1433,кухня,洗手間,nouns,0.53
1434,погода,波浪,nouns,0.29
1435,игнорировать,問,verbs,0.0
1436,дружелюбно,不會,adverbs,0.0
1437,гордый,傷心,adjectives,0.05
1438,помолвка,戒指,nouns,1.29
1439,независимо,負責可靠地,adverbs,0.64
1440,рыдать,哭,verbs,4.88
1441,зона,地區,nouns,3.8
1442,интеллектуальный,聰明,adjectives,3.68
1443,дрейфовать,流,verbs,1.23
1444,буря,颶風,nouns,3.83
1445,покидать,到達,verbs,0.0
1446,яблоко,醬,nouns,0.68
1447,обычно,日常,adverbs,2.44
1448,покрытый,沒有冚住的,adjectives,0.1
1449,ружье,刀,nouns,1.5
1450,класс,大學,nouns,0.49
1451,героиня,英雄,nouns,3.3
1452,беспокоить,得罪,verbs,0.25
1453,серьезный,有趣,adjectives,0.14
1454,нагреватель,遮,nouns,0.04
1455,оставлять,攞,verbs,0.1
1456,символ,密碼,nouns,1.01
1457,рекомендовать,接受,verbs,0.25
1458,виноватый,誠實,adjectives,0.14
1459,стекло,水晶,nouns,2.67
1460,говядина,肉,nouns,2.94
1461,старый,雜,adjectives,0.14
1462,зрелый,複雜,adjectives,0.48
1463,идти,開始,verbs,0.15
1464,подогрев,預熱,nouns,2.98
1465,завтра,今晚,adverbs,0.34
1466,авария,大災難,nouns,3.31
1467,когда,有時,adverbs,0.28
1468,фонарь,精靈,nouns,0.19
1469,двигатель,機器,nouns,2.24
1470,автомобиль,軟管,nouns,0.49
1471,юбка,手錶,nouns,0.19
1472,ругаться,抱怨,verbs,0.44
1473,автомобиль,貨車,nouns,2.43
1474,страус,果園,nouns,0.0
1475,формула,等式,nouns,3.22
1476,прочный,堅硬,adjectives,3.52
1477,редко,經常,adverbs,0.1
1478,глубина,大小,nouns,0.73
1479,рукопись,文章,nouns,2.88
1480,практиковаться,重複,verbs,2.35
1481,посылка,貨車,nouns,0.24
1482,идеально,機械地,adverbs,0.23
1483,вампир,蝙蝠,nouns,0.6
1484,скучный,累,adjectives,0.29
1485,штурман,座艙,nouns,0.34
1486,спутник,夥伴,nouns,2.54
1487,обручаться,結婚,verbs,2.35
1488,переулок,街,nouns,2.85
1489,шоссе,路,nouns,3.93
1490,сообщить,擦亮,verbs,0.0
1491,покидать,留,verbs,0.04
1492,удобрение,發展,nouns,0.42
1493,осуждать,指控,verbs,3.56
1494,смешивать,聯合,verbs,3.71
1495,скоростной,快,adjectives,4.93
1496,посещать,拗撬,verbs,0.04
1497,состояние,情況,nouns,2.97
1498,игрушка,立方體,nouns,0.44
1499,меч,王座,nouns,0.1
1500,зима,夏天,nouns,0.34
1501,волна,天氣,nouns,0.29
1502,сноуборд,滑雪,nouns,1.46
