ID,CMN,EST,PoS,score
752,文明,elustiil,nouns,1.42
753,运送,kandma,verbs,1.98
754,狮子,kass,nouns,1.35
755,证明,vaidlema,verbs,1.92
756,假设,ennustama,verbs,3.92
757,发送,osalema,verbs,0.35
758,容易,keeruline,adjectives,0.39
759,心脏,operatsioon,nouns,0.39
760,肩膀,käsi,nouns,0.83
761,测试,katse,nouns,4.24
762,门,kelder,nouns,0.68
763,锁匙,kroon,nouns,0.45
764,酒店,korter,nouns,0.92
765,车,auto,nouns,5.41
766,到达,tulema,verbs,3.41
767,煤,puusüsi,nouns,2.34
768,走廊,esik,nouns,4.23
769,充分,põhimõtteliselt,adverbs,1.13
770,地区,nurk,nouns,0.47
771,有趣,jalgpall,nouns,0.45
772,预测,pilvkate,nouns,0.55
773,塔,kell,nouns,0.97
774,犯罪,vargus,nouns,3.28
775,男孩,riis,nouns,0.05
776,水,kroonimine,nouns,0.15
777,一般,ebanormaalselt,adverbs,0.3
778,收到,andma,verbs,0.4
779,偷,võtma,verbs,1.5
780,派,šokolaad,nouns,0.63
781,杀,hävitama,verbs,3.04
782,柠檬,tee,nouns,0.34
783,易损坏,jäik,adjectives,0.25
784,性能,episood,nouns,0.45
785,地板,lagi,nouns,0.65
786,坚固地,tihedalt,adverbs,2.83
787,想要,ihaldama,verbs,4.39
788,光线电话机,homofoon,nouns,0.1
789,雪,ilm,nouns,1.56
790,骑,jooksma,verbs,0.58
791,碟,kauss,nouns,2.11
792,剑,troon,nouns,0.53
793,生态系统,majandus,nouns,0.6
794,枪,kahur,nouns,2.06
795,卖,minema,verbs,0.15
796,创建,ehitama,verbs,4.07
797,沙丘,kõrb,nouns,2.11
798,谷仓,maja,nouns,0.97
799,惯例,reegel,nouns,2.97
800,选择,otsustama,verbs,3.66
801,大规模,suur,adjectives,4.01
802,牛排,liha,nouns,4.14
803,父亲,mees,nouns,2.28
804,尺寸,sent,nouns,0.35
805,帮手,õpetaja,nouns,1.31
806,肚皮,alakeha,nouns,2.5
807,一尘不染,puhas,adjectives,4.61
808,开心,vihane,adjectives,0.15
809,积极地,tõenäoliselt,adverbs,0.45
810,种子,veski,nouns,0.64
811,接受,eitama,verbs,0.15
812,合唱,laulja,nouns,1.52
813,人,sent,nouns,0.05
814,邮件,kiirus,nouns,0.15
815,宣告,kuulutama,verbs,4.09
816,腿,jäse,nouns,2.35
817,平滑,terav,adjectives,0.49
818,立方体,täring,nouns,2.42
819,手套,ball,nouns,0.29
820,棒球,diivan,nouns,0.1
821,力量,vägi,nouns,3.39
822,剧院,patarei,nouns,0.2
823,看,otsima,verbs,1.4
824,避难所,hütt,nouns,1.06
825,骨头,põlv,nouns,1.23
826,礼物,kirjanik,nouns,0.3
827,男孩子,poeg,nouns,2.9
828,事实,vihje,nouns,0.69
829,小提琴,instrument,nouns,2.92
830,金属,alumiinium,nouns,2.85
831,似乎,saama,verbs,0.39
832,检查,uurima,verbs,2.91
833,减少,leotama,verbs,0.25
834,正式地,tähtsalt,adverbs,1.75
835,原子,molekul,nouns,1.98
836,粗糙地,umbes,adverbs,1.51
837,令人惊讶,fantastiliselt,adverbs,3.79
838,匆匆地写,kirjutama,verbs,2.93
839,严酷,julm,adjectives,3.78
840,公主,pruut,nouns,0.84
841,武士,mees,nouns,1.18
842,控制,peatuma,verbs,0.48
843,牛,hobune,nouns,0.88
844,新郎,pruut,nouns,0.78
845,准确地,karvapealt,adverbs,5.33
846,伙伴,kutt,nouns,2.08
847,椅子,voodi,nouns,0.63
848,交流,vestlus,nouns,4.26
849,叶,puu,nouns,0.73
850,谦虚,rikkumata,adjectives,1.01
851,电话,ohver,nouns,0.15
852,妻子,naine,nouns,3.4
853,昆虫,mesilane,nouns,2.9
854,作业,märge,nouns,0.47
855,储蓄者,kokkuhoid,nouns,1.08
856,打,külge tõmbama,verbs,0.3
857,服从,karistama,verbs,0.39
858,埋葬,katma,verbs,1.83
859,任务,naine,nouns,0.05
860,欠,laenama,verbs,0.68
861,数字,arv,nouns,4.57
862,公主,küpsis,nouns,0.05
863,尾巴,kalju,nouns,0.0
864,三明治,liha,nouns,0.68
865,困难,raske,adjectives,4.47
866,小,hiiglasuur,adjectives,0.34
867,私人,isiklik,adjectives,4.93
868,创建,joonistama,verbs,0.74
869,页,sõna,nouns,0.35
870,叔叔,mees,nouns,2.19
871,八月,kuu,nouns,2.15
872,驾驶,peatuma,verbs,0.34
873,自豪,kartmatu,adjectives,1.21
874,适中,mõõdukas,adjectives,3.95
875,线,lõng,nouns,1.92
876,开朗,kena,adjectives,1.44
877,食物,programm,nouns,0.15
878,电梯,kast,nouns,0.15
879,偷,ostma,verbs,0.57
880,大炮,kuul,nouns,0.7
881,脚趾,sõrm,nouns,0.79
882,宽,värske,adjectives,0.05
883,头,nina,nouns,0.49
884,打鼾,ärkama,verbs,0.68
885,菠萝,nutitelefon,nouns,0.05
886,聚会,kokkukutsumine,nouns,3.06
887,地震,vappumine,nouns,3.34
888,诚实地,siiralt,adverbs,4.54
889,自豪的,tagasihoidlikult,adverbs,0.53
890,手指,varvas,nouns,0.79
891,棒,hiilgav,adjectives,5.07
892,盐,vesi,nouns,0.53
893,珍贵,laisk,adjectives,0.2
894,杂,vana,adjectives,0.1
895,坦白,eitamine,nouns,0.5
896,资料,raamat,nouns,1.55
897,小孩,tüdruk,nouns,2.25
898,失去,süüa tegema,verbs,0.0
899,拥抱,pigistama,verbs,0.92
900,公国,printskond,nouns,2.08
901,离开,uitama,verbs,0.45
902,暴力,vihane,adjectives,2.1
903,教育,õpetama,verbs,4.49
904,运送,vastu võtma,verbs,0.3
905,真诚地,tavaliselt,adverbs,0.5
906,锌,kuld,nouns,1.01
907,辩解,kinnitama,verbs,0.93
908,说服,vaidlema,verbs,2.33
909,参议院,põhiseadus,nouns,0.86
910,暗礁,rand,nouns,0.54
911,聚酯纤维,puuvill,nouns,1.0
912,滴,kallama,verbs,0.92
913,骑,segama,verbs,0.1
914,有创造力,innovatiivne,adjectives,4.35
915,沐浴,trikk,nouns,0.0
916,退出,tagasi lükkama,verbs,1.27
917,呼吸,lämbuma,verbs,0.67
918,敬礼,esinema,verbs,0.15
919,传统,käsitöö,nouns,1.79
920,花费,kokku hoidma,verbs,0.72
921,讨厌,nautima,verbs,0.14
922,重要地,tõesti,adverbs,0.5
923,满足,hoomama,verbs,0.33
924,身体,närv,nouns,1.26
925,松饼,petersell,nouns,0.2
926,羞耻,õnneseen,adjectives,0.1
927,老师,sõber,nouns,1.01
928,女王,mesilane,nouns,0.4
929,红色,sinine,adjectives,0.34
930,笔记本,relv,nouns,0.0
931,走廊,vahekäik,nouns,4.54
932,单身牢房,ruum,nouns,2.04
933,醋,salat,nouns,0.34
934,茶,sidrun,nouns,0.34
935,旧,segatud,adjectives,0.1
936,军队,patrull,nouns,0.92
937,仆人,ori,nouns,2.68
938,聪明,intelligentne,adjectives,5.09
939,毁灭,koostama,verbs,0.23
940,收集,raputama,verbs,0.1
941,善良,helde,adjectives,2.1
942,编译器,alamprogramm,nouns,0.81
943,咖啡,uba,nouns,0.88
944,收集,korraldama,verbs,0.7
945,页,lõik,nouns,1.35
946,工具,töö,nouns,0.83
947,日出,päikeseloojang,nouns,0.83
948,喇叭,trumm,nouns,0.65
949,允许,minema,verbs,0.25
950,连接,eraldama,verbs,0.33
951,低语,rääkima,verbs,2.6
952,叔叔,tädi,nouns,1.02
953,神经心理学,parapsühholoogia,nouns,0.97
954,扰乱,tüütama,verbs,3.66
955,毛,relv,nouns,0.3
956,狂怒,viha,nouns,4.4
957,杯子,lusikas,nouns,0.65
958,小木屋,maamaja,nouns,3.06
959,夺取,võtma,verbs,2.92
960,演员,televisioon,nouns,0.92
961,尾巴,kauss,nouns,0.0
962,帮忙,küsima,verbs,0.54
963,词缀,liide,nouns,2.92
964,防守,tapma,verbs,0.48
965,选择,veen,nouns,0.1
966,木,paber,nouns,0.97
967,蜜糖,suhkur,nouns,2.27
968,亿万富翁,kodutu,nouns,0.4
969,飞行员,autojuht,nouns,1.73
970,高高兴兴,aktiivselt,adverbs,1.12
971,来,osalema,verbs,2.49
972,给,varastama,verbs,0.33
973,游行,orkester,nouns,0.63
974,苹果,kaste,nouns,0.29
975,安排,vajama,verbs,0.35
976,火车,tramm,nouns,1.91
977,嫌疑人,mees,nouns,0.73
978,轻轻的,valjusti,adverbs,0.1
979,失去,lahutama,verbs,1.51
980,拉,lükkama,verbs,0.53
981,仁慈地,õrnalt,adverbs,2.88
982,行星,kuu,nouns,2.31
983,父亲,tütar,nouns,0.64
984,国王,onupojapoliitika,nouns,0.83
985,小心地,turvaliselt,adverbs,3.08
986,徽章,eneseväärikus,nouns,0.05
987,走道,saal,nouns,0.64
988,搜索,jahtima,verbs,1.47
989,咬,kaklema,verbs,1.42
990,船,ankur,nouns,0.88
991,老师,juhendaja,nouns,2.99
992,学校,õigus,nouns,0.38
993,停,sõitma,verbs,0.34
994,智力,tarkus,nouns,4.3
995,糖,mesi,nouns,2.27
996,犯罪,rikkumine,nouns,3.58
997,魔鬼,jumal,nouns,0.65
998,目前,delikaatselt,adverbs,0.2
999,静脉,käsi,nouns,0.45
1000,环球航行,pagas,nouns,0.45
1001,监狱,trell,nouns,0.88
1002,歌曲,ballaad,nouns,3.15
1003,怪兽,deemon,nouns,3.21
1004,北方,lääs,nouns,0.59
1005,恶魔,ingel,nouns,0.83
1006,谈判,diplomaatia,nouns,2.56
1007,饮食,õun,nouns,0.67
1008,门,põrand,nouns,0.6
1009,血液学,patoloogia,nouns,1.74
1010,撞,purustama,verbs,1.53
1011,使气馁,ärritama,verbs,1.98
1012,电视,kino,nouns,2.33
1013,海啸,meri,nouns,1.33
1014,舌头,kõri,nouns,1.01
1015,加,ehitama,verbs,0.95
1016,球,võrkpall,nouns,2.97
1017,军官,asetäitja,nouns,0.98
1018,苹果,komm,nouns,0.39
1019,优雅,stiil,nouns,2.51
1020,听,õppima,verbs,1.18
1021,协议,auk,nouns,0.05
1022,矬小,väiksevõitu,adjectives,3.27
1023,远足,ronima,verbs,1.18
1024,电车,rong,nouns,1.91
1025,手机,ananass,nouns,0.05
1026,飑,tuul,nouns,2.81
1027,之前,pärast,adverbs,0.48
1028,数学家,etendus,nouns,0.05
1029,米饭,uba,nouns,0.82
1030,满足,heameelt tegema,verbs,3.78
1031,赢得,teostama,verbs,1.74
1032,可行,võimatu,adjectives,0.43
1033,帅哥,kutt,nouns,1.16
1034,女孩,laps,nouns,2.25
1035,教,harima,verbs,4.49
1036,危险,ähvardus,nouns,3.21
1037,恢复,vahetama,verbs,0.3
1038,发送,saama,verbs,0.62
1039,电动机,vedur,nouns,1.78
1040,容易,lihtne,adjectives,4.23
1041,男孩,seisund,nouns,0.18
1042,接受,andestama,verbs,2.52
1043,欲望,soovima,verbs,4.39
1044,杯子,klaaspurk,nouns,1.55
1045,气球,rahvas,nouns,0.1
1046,爸爸,ema,nouns,0.83
1047,离开,ühinema,verbs,0.33
1048,合理的解释,vaidlema,verbs,1.69
1049,借款人,krediit,nouns,1.26
1050,结婚,kihluma,verbs,1.93
1051,推荐,nõu andma,verbs,4.3
1052,歌手,refrään,nouns,1.52
1053,救,kaitsma,verbs,2.28
1054,主意,skeem,nouns,2.25
1055,自豪,kurb,adjectives,0.14
1056,肯定,veendunud,adjectives,5.04
1057,女儿,isa,nouns,0.64
1058,碳,aatom,nouns,0.88
1059,容易,paindlik,adjectives,0.82
1060,蜥蜴,madu,nouns,1.46
1061,一致地,mõnikord,adverbs,0.3
1062,小提琴,kitarr,nouns,0.97
1063,终末,erinevalt,adverbs,0.1
1064,肚子,veen,nouns,0.29
1065,耐力,bänd,nouns,0.15
1066,小学生,president,nouns,0.2
1067,钝,terav,adjectives,0.44
1068,灰濛蒙,prognoos,nouns,0.55
1069,完成,saama,verbs,0.86
1070,加冕礼,vesi,nouns,0.15
1071,地心引力,meteoor,nouns,0.4
1072,次要,oluline,adjectives,0.39
1073,枪,rahvas,nouns,0.05
1074,蕊,tolmendamine,nouns,1.31
1075,海,rand,nouns,2.22
1076,手机,telefon,nouns,4.32
1077,喷嘴,vedelik,nouns,0.6
1078,污染,atmosfäär,nouns,0.49
1079,蟋蟀,toetaja,nouns,0.0
1080,男人,valvur,nouns,1.65
1081,车,näidik,nouns,0.73
1082,乞求,anuma,verbs,4.1
1083,死亡,matmine,nouns,1.07
1084,正直地,küpselt,adverbs,0.95
1085,问,ignoreerima,verbs,0.19
1086,非法,ebamoraalne,adjectives,2.24
1087,离开,saabuma,verbs,0.54
1088,酱,õun,nouns,0.29
1089,阵列,list,nouns,1.08
1090,地板,tekk,nouns,1.73
1091,朋友,semu,nouns,4.4
1092,汤,õhtusöök,nouns,0.97
1093,白色,kitsas,adjectives,0.28
1094,和平,sõdur,nouns,0.24
1095,模糊,ebaselge,adjectives,4.39
1096,球,kahur,nouns,0.7
1097,承诺,vanduma,verbs,3.6
1098,争论,osalema,verbs,0.19
1099,总统,reostus,nouns,0.05
1100,旗帜学,lipp,nouns,1.02
1101,犯罪者,kurjategija,nouns,4.76
1102,喜悦,uhkus,nouns,1.61
1103,肠子,närv,nouns,0.34
1104,诚实地,mitte kunagi,adverbs,0.0
1105,进来,väljuv,adjectives,0.39
1106,算术,loogika,nouns,1.84
1107,米饭,poiss,nouns,0.05
1108,雪,torm,nouns,1.21
1109,角度,vahemaa,nouns,0.48
1110,旧,uus,adjectives,0.48
1111,覆盖着的,katteta,adjectives,0.34
1112,蜜糖,meierei,nouns,0.33
1113,穿着衣服的,kaetud,adjectives,2.98
1114,长大,ebaküps,adjectives,0.38
1115,悄悄地,loomulikult,adverbs,0.73
1116,风格,elegants,nouns,2.51
1117,开心,pöörane,adjectives,1.3
1118,种族主义,ksenofoobia,nouns,3.39
1119,想,mõtisklema,verbs,3.87
1120,情感,meeleolu,nouns,3.49
1121,谷物,nisu,nouns,3.19
1122,箭头,sihtmärk,nouns,0.77
1123,许多,küllus,nouns,4.29
1124,活塞,mootor,nouns,1.44
1125,踢,haiget tegema,verbs,1.36
1126,情况,seisund,nouns,3.76
1127,付款,münt,nouns,1.25
1128,充电器,ketas,nouns,0.2
1129,拓扑,struktuur,nouns,0.75
1130,不公平地,põhjendamatult,adverbs,2.65
1131,字,sõnaraamat,nouns,1.07
1132,军队,merevägi,nouns,3.21
1133,岛,rand,nouns,1.19
1134,傻笑,naerma,verbs,3.44
1135,不耐烦,rahutu,adjectives,3.72
1136,报纸,sõna,nouns,1.37
1137,字,ajaleht,nouns,1.37
1138,带来,kandma,verbs,2.55
1139,喇叭,auto,nouns,0.59
1140,疯狂,hull,adjectives,4.99
1141,焦虑,kannatamatu,adjectives,3.72
1142,头,jalg,nouns,0.54
1143,侵蚀,hajuma,verbs,1.12
1144,天文学家,galaktika,nouns,0.69
1145,肚子,suund,nouns,0.05
1146,鸢尾花,atsetüülkoliin,nouns,0.35
1147,撤退,laskuma,verbs,0.6
1148,碰撞,müksama,verbs,3.24
1149,手臂,luu,nouns,0.88
1150,获得,hankima,verbs,3.93
1151,逻辑,aritmeetika,nouns,1.84
1152,枪,trikk,nouns,0.24
1153,电脑,ketas,nouns,0.57
1154,坏,ebamoraalne,adjectives,3.11
1155,新,kasutamata,adjectives,3.97
1156,出口,valimisõigus,nouns,0.33
1157,出现,lahkuma,verbs,0.2
1158,飞机,helikopter,nouns,2.27
1159,沈闷,nüri,adjectives,3.25
1160,轻蔑,põlastav,adjectives,4.88
1161,鸡,riis,nouns,0.4
1162,剧院,film,nouns,1.5
1163,儿童,mees,nouns,1.78
1164,跛行,kõndima,verbs,2.42
1165,帮助,kaitsma,verbs,1.4
1166,拒绝,tagasi võtma,verbs,1.27
1167,沙发,pesapall,nouns,0.1
1168,组织,saama,verbs,0.35
1169,公爵,vabariik,nouns,0.35
1170,模拟,robootika,nouns,0.97
1171,知道,uskuma,verbs,1.41
1172,伤心,naljakas,adjectives,0.39
1173,早餐,õhtusöök,nouns,1.21
1174,降落,taganema,verbs,0.6
1175,头脑,neuroos,nouns,0.69
1176,忘记,teadma,verbs,0.2
1177,完成,võitma,verbs,1.74
1178,湖,soo,nouns,0.68
1179,传记,ilukirjandus,nouns,2.07
1180,数,number,nouns,4.57
1181,完成,saavutama,verbs,3.38
1182,乱,kole,adjectives,1.12
1183,乐队,paraad,nouns,0.63
1184,侵蚀,lubama,verbs,0.1
1185,面包,juust,nouns,0.79
1186,遇见,tervitama,verbs,1.13
1187,街,põiktänav,nouns,3.54
1188,柠檬,õun,nouns,0.64
1189,树枝,käsi,nouns,0.34
1190,拉比,õpetaja,nouns,0.36
1191,文章,ajakiri,nouns,1.84
1192,谢绝,keelduma,verbs,4.58
1193,手腕,käelaba,nouns,1.95
1194,承认,rääkima,verbs,1.02
1195,打扰,segama,verbs,3.66
1196,换算,kõrgus,nouns,0.15
1197,雨,lumetorm,nouns,0.96
1198,生病,pöörane,adjectives,1.1
1199,谦虚,paindlik,adjectives,0.67
1200,选择,vangla,nouns,0.24
1201,个人,privaatne,adjectives,4.93
1202,创建,ette kujutama,verbs,1.21
1203,想像,looma,verbs,1.21
1204,偶然,regulaarselt,adverbs,1.07
1205,杀,kaklema,verbs,1.14
1206,功课,essee,nouns,1.41
1207,快,tormakas,adjectives,4.35
1208,撤退,lahkuma,verbs,2.88
1209,神经,soolikas,nouns,0.34
1210,统治,üle saama,verbs,0.39
1211,洗手间,magamistuba,nouns,0.88
1212,胜利者,mees,nouns,0.43
1213,外交,läbirääkimine,nouns,2.56
1214,床,tool,nouns,0.63
1215,忘记,andestama,verbs,0.63
1216,信念,mulje,nouns,0.79
1217,政府,sisalik,nouns,0.0
1218,酒,viski,nouns,3.02
1219,沉闷,nüri,adjectives,2.04
1220,生物学,biotoop,nouns,1.24
1221,做,saama,verbs,1.89
1222,不同,nõustuma,verbs,0.2
1223,悲剧,surm,nouns,2.08
1224,蝴蝶,roos,nouns,0.48
1225,付款,auhind,nouns,0.39
1226,笨,hiiglasuur,adjectives,0.15
1227,家伙,sõber,nouns,1.44
1228,否认,valetama,verbs,0.92
1229,精确地,täpselt,adverbs,5.33
1230,制服,heegeldus,nouns,0.43
1231,营地,metsamajake,nouns,0.69
1232,吞,jooma,verbs,1.65
1233,大灾难,õnnetus,nouns,3.7
1234,起源,avastama,verbs,0.34
1235,搅拌,raputama,verbs,2.06
1236,割礼,eesnahk,nouns,1.02
1237,肯定,enesekindel,adjectives,3.15
1238,尺寸,trikk,nouns,0.05
1239,作家,romaan,nouns,0.7
1240,大致,usaldusväärselt,adverbs,0.24
1241,花,uskumus,nouns,0.14
1242,白兰地,vein,nouns,2.21
1243,乘,lisama,verbs,0.82
1244,明显,märgatav,adjectives,3.89
1245,大学,ülikoolilinnak,nouns,2.36
1246,赶,kiirustama,verbs,4.2
1247,蚂蚁,kärbes,nouns,1.07
1248,乱,puhas,adjectives,0.29
1249,朋友,õpetaja,nouns,1.01
1250,泉,geiser,nouns,3.71
1251,大象,dinosaurus,nouns,0.49
1252,闻名,populaarne,adjectives,3.72
1253,鼓励,heidutama,verbs,0.23
1254,杯子,torbik,nouns,0.66
1255,减去,kaotama,verbs,1.51
1256,井井有条,korratu,verbs,0.53
1257,字,väljend,nouns,1.42
1258,完成,võistlema,verbs,0.2
1259,更改,muutma,verbs,3.41
1260,广场,kaart,nouns,0.39
1261,意外,raamat,nouns,0.05
1262,大,kerge,adjectives,0.1
1263,海岸,kallas,nouns,3.16
1264,显然,ilmselt,adverbs,1.96
1265,虚无主义,film,nouns,0.48
1266,分析,hindama,verbs,3.78
1267,抓住,jälitama,verbs,2.14
1268,细胞质,number,nouns,0.05
1269,艺术品,kunstnik,nouns,1.16
1270,选择,hääletama,verbs,3.06
1271,字典,sõna,nouns,1.07
1272,相机,president,nouns,0.2
1273,罪犯,seaduserikkuja,nouns,4.76
1274,河谷,jõgi,nouns,1.52
1275,走,algama,verbs,0.39
1276,货币,kokkulangevus,nouns,0.1
1277,友好,ebatõenäoline,adverbs,0.09
1278,三角洲,meri,nouns,0.69
1279,坚硬,sitke,adjectives,3.14
1280,案件,elekter,nouns,0.24
1281,留,ootama,verbs,1.14
1282,收缩,kasvama,verbs,0.39
1283,肝脏,organ,nouns,2.42
1284,工作,ülesanne,nouns,3.28
1285,现在,siin,adverbs,1.9
1286,原谅,unustama,verbs,0.63
1287,钻石,raha,nouns,1.15
1288,自豪地,rahumeelselt,adverbs,0.44
1289,意见,mõte,nouns,3.17
1290,戒指,kihlus,nouns,1.19
1291,恳求,paluma,verbs,4.1
1292,水,põud,nouns,0.34
1293,啤酒,šampus,nouns,1.88
1294,锤,hambad,nouns,0.1
1295,钱,palk,nouns,3.83
1296,牛肉,liha,nouns,3.32
1297,股票,vara,nouns,2.72
1298,手册,teejuht,nouns,3.06
1299,母鸡,kalkun,nouns,1.89
1300,违反,kuritegu,nouns,3.58
1301,钱,pärl,nouns,0.25
1302,插图,vill,nouns,0.05
1303,晚上,päev,nouns,0.55
1304,新鲜,uus,adjectives,4.0
1305,疯,haige,adjectives,1.1
1306,毕业,lõppema,verbs,2.08
1307,阿姨,onu,nouns,1.02
1308,星,heledus,nouns,0.83
1309,作家,helilooja,nouns,1.92
1310,高速公路,tee,nouns,3.96
1311,书,tekst,nouns,2.33
1312,来源,kast,nouns,0.0
1313,汽车旅馆,võõrastemaja,nouns,3.73
1314,显然,diskreetselt,adverbs,0.43
1315,武器,kiiver,nouns,0.43
1316,雨,rahe,nouns,1.92
1317,屋顶,lagi,nouns,3.29
1318,颚,luu,nouns,1.32
1319,狡猾,karm,adjectives,0.34
1320,冠军,võitja,nouns,5.32
1321,零,lõpmatus,nouns,0.45
1322,歌手,näitleja,nouns,2.23
1323,有趣,kurb,adjectives,0.39
1324,码,toll,nouns,1.88
1325,演员,näitlejanna,nouns,3.98
1326,唱,naerma,verbs,0.2
1327,创造者,valmistaja,nouns,3.63
1328,意料之外,ettenägematu,adjectives,5.14
1329,不可說出口的,abieluväline,adjectives,1.42
1330,争论,kriitika,nouns,1.15
1331,在家里,võõrsil,adverbs,0.53
1332,狩猎,otsima,verbs,1.47
1333,凯旋,võit,nouns,4.67
1334,病菌,haigusetekitaja,nouns,3.68
1335,滑雪板,suusatamine,nouns,1.77
1336,伙伴,sõber,nouns,4.4
1337,电影,ooper,nouns,0.96
1338,周末,nädal,nouns,1.83
1339,可靠地,umbes,adverbs,0.24
1340,州,kodu,nouns,0.3
1341,音系学,ekraan,nouns,0.1
1342,积极地,täpselt,adverbs,0.57
1343,气球,vann,nouns,0.1
1344,未预见到,ootamatu,adjectives,5.14
1345,搜索,vaatama,verbs,1.4
1346,财富,vaesus,nouns,0.4
1347,高速公路,ülesanne,nouns,0.1
1348,愤怒,vägivaldne,adjectives,2.1
1349,门,korporatsioon,nouns,0.15
1350,紧急情况,õnnetus,nouns,3.9
1351,给,lubama,verbs,1.7
1352,清洁,kena,adjectives,2.45
1353,对手,oponent,nouns,5.25
1354,奴隶,teenija,nouns,2.68
1355,读者,autor,nouns,0.68
1356,羊,kari,nouns,1.58
1357,唇,puus,nouns,0.3
1358,脏,kitsas,adjectives,0.25
1359,现金,raha,nouns,4.29
1360,获得,leidma,verbs,1.89
1361,裙子,tants,nouns,0.54
1362,地带,ala,nouns,4.62
1363,创建,sukelduma,verbs,0.15
1364,半学年,periood,nouns,3.63
1365,放,saama,verbs,0.1
1366,愚笨,loll,adjectives,5.32
1367,路,maantee,nouns,3.96
1368,晚上,peatükk,nouns,0.05
1369,成为,organiseerima,verbs,0.35
1370,女佣,tüdruk,nouns,1.9
1371,铝,tina,nouns,1.06
1372,戒除,tegema,verbs,0.65
1373,支持者,kriket,nouns,0.0
1374,提醒,ütlema,verbs,2.41
1375,携带,kätte toimetama,verbs,1.98
1376,狐狸,jahikoer,nouns,0.86
1377,港口,ümbris,nouns,0.0
1378,奇怪地,ebatavaliselt,adverbs,4.21
1379,毁灭,päästma,verbs,0.24
1380,电,karp,nouns,0.24
1381,扩大,kasvatama,verbs,2.65
1382,冷静地,õrnalt,adverbs,1.27
1383,乙酰胆碱,iiris,nouns,0.35
1384,婴儿,täiskasvanu,nouns,0.73
1385,拖着脚走,sõitma,verbs,0.1
1386,老师,abiline,nouns,1.31
1387,雇主,töötaja,nouns,0.7
1388,詞,lehekülg,nouns,0.35
1389,批评,vihkama,verbs,0.82
1390,女孩,teenijanna,nouns,1.9
1391,责怪,ründama,verbs,3.23
1392,十字架,munk,nouns,0.59
1393,徘徊,lahkuma,verbs,0.45
1394,身体,kõht,nouns,1.71
1395,难看,sassis,adjectives,1.12
1396,推,tõmbama,verbs,0.53
1397,上校,hambaarst,nouns,0.14
1398,被动地,aktiivselt,adverbs,0.38
1399,意见,valik,nouns,1.1
1400,威胁,oht,nouns,3.21
1401,行李,ümbermaailmareis,nouns,0.45
1402,腰部,eine,nouns,0.15
1403,病毒,veri,nouns,0.64
1404,尖,sile,adjectives,0.49
1405,否定,mitte kunagi,adjectives,1.41
1406,群落生境,bioloogia,nouns,1.24
1407,公共汽车,sõiduk,nouns,2.65
1408,自然地,ebaloomulikult,adverbs,0.43
1409,奶昔,mahl,nouns,0.88
1410,晚餐,eine,nouns,3.33
1411,精确地,ebatäpselt,adverbs,0.43
1412,运动,tegevus,nouns,2.71
1413,实质上,vajalikult,adverbs,0.78
1414,神经,aju,nouns,1.81
1415,支气管炎,paratsetamol,nouns,0.59
1416,床,magamistuba,nouns,0.92
1417,水,sool,nouns,0.53
1418,监护人,ema,nouns,2.25
1419,冲洗,pesema,verbs,3.97
1420,想要,laenama,verbs,0.43
1421,贫穷,uhke,adjectives,0.34
1422,词元,silp,nouns,1.15
1423,儿童,poiss,nouns,2.5
1424,价格,väärtus,nouns,3.01
1425,合作,ühinema,verbs,1.27
1426,极其,suurepäraselt,adverbs,4.47
1427,意外,hädaolukord,nouns,3.9
1428,伪装,maskeerima,verbs,3.25
1429,弱,võimas,adjectives,0.1
1430,协议,vaidlus,nouns,0.72
1431,苔藓,muru,nouns,1.67
1432,城堡,sein,nouns,1.08
1433,不同,vaidlema,verbs,0.73
1434,椅子,pink,nouns,3.81
1435,幼儿床,häll,nouns,3.05
1436,钱,deemant,nouns,1.15
1437,今天晚上,homme,adverbs,0.29
1438,类似,samasugune,adjectives,3.7
1439,断绝亲子关系 or...,andma,verbs,0.15
1440,古怪,kummaline,adjectives,5.53
1441,震,maavärin,nouns,3.34
1442,协议,pakt,nouns,4.72
1443,培根,uba,nouns,0.25
1444,女仆,abiline,nouns,2.58
1445,描绘,teesklema,verbs,0.5
1446,公开地,massiivselt,adverbs,0.65
1447,今天晚上,täna,adverbs,2.48
1448,银行,iste,nouns,0.29
1449,足球,lõbu,nouns,0.45
1450,谨慎,hool,nouns,3.53
1451,可靠地,passiivselt,adverbs,0.2
1452,汽车,tänav,nouns,0.54
1453,天空,unistus,nouns,0.49
1454,舌头,lihas,nouns,0.87
1455,镜片,kaamera,nouns,0.97
1456,战役,vallutus,nouns,1.27
1457,状态,olukord,nouns,3.76
1458,团结,abielluma,verbs,1.02
1459,伙伴,kaaslane,nouns,3.46
1460,加,jagama,verbs,0.38
1461,判断,tunnistama,verbs,0.64
1462,覆盖着,riietatud,adjectives,2.98
1463,重大,vähetähtis,adjectives,0.39
1464,不清楚,ebamäärane,adjectives,4.39
1465,植物群,loodus,nouns,2.26
1466,事件,rahakorjamine,nouns,1.08
1467,来,saabuma,verbs,3.41
1468,珍珠,raha,nouns,0.25
1469,牙,haamer,nouns,0.1
1470,大概,positiivselt,adverbs,0.45
1471,钩针编织,ülikond,nouns,0.43
1472,手臂,õlg,nouns,0.83
1473,伤害,ründama,verbs,2.79
1474,出现,juhtuma,verbs,1.93
1475,污染,president,nouns,0.05
1476,公共汽车,takso,nouns,1.84
