ID,ENG,SWA,PoS,score
747,make,kujenga,verbs,4.35
748,take,kupeleka,verbs,0.46
749,night,mchana,nouns,0.35
750,past,zamani,nouns,1.71
751,hymn,ushindi,nouns,0.05
752,coach,kocha,nouns,0.76
753,tragedy,kifo,nouns,1.67
754,dictionary,neno,nouns,1.19
755,oak,mpera,nouns,1.07
756,boundary,ukingo,nouns,4.47
757,sculpture,sanamu,nouns,4.66
758,body,neva,nouns,0.4
759,take,kuondoka,verbs,0.04
760,serious,makini,adjectives,0.0
761,grown,umekua,adjectives,0.04
762,imagine,kuumba,verbs,0.69
763,wood,mbao,nouns,0.0
764,harm,maumivu,nouns,2.91
765,possibly,inawezekana,adverbs,0.54
766,bone,goti,nouns,0.39
767,flute,filimbi,nouns,1.0
768,breakfast,nyama ya nguruwe,nouns,0.71
769,endurance,ua,nouns,0.0
770,remain,kuondoka,verbs,0.17
771,old,mpya,adjectives,0.09
772,soldier,mvulana,nouns,0.14
773,bathroom,chumba cha kulala,nouns,0.56
774,caterpillar,kiwavi,nouns,1.23
775,shower,shower,nouns,0.0
776,cotton,pamba,nouns,0.26
777,save,kuokoa,verbs,2.43
778,listen,kuelewa,verbs,0.84
779,recommend,kushauri,verbs,4.27
780,sinner,mtakatifu,nouns,0.13
781,stomach,kiuno,nouns,1.46
782,nice,nzuri,adjectives,0.27
783,put,kupata,verbs,0.19
784,can,kopo,nouns,1.6
785,text,kitabu,nouns,2.96
786,give,kuazima,verbs,0.19
787,god,baba,nouns,1.4
788,insect,nyuki,nouns,2.08
789,pilot,dereva,nouns,2.24
790,essay,kitabu,nouns,0.75
791,encyclopedia,ensaiklopidia,nouns,2.24
792,potato,siagi,nouns,0.22
793,insight,ukweli,nouns,1.88
794,boat,gari,nouns,0.62
795,chapter,usiku,nouns,0.0
796,funny,inayochekesha,adjectives,0.0
797,path,njia,nouns,0.27
798,judge,hakimu mkuu,nouns,4.79
799,leave,kuchukua,verbs,0.04
800,completely,kwa ukamilifu,adverbs,0.92
801,wood,gogo,nouns,3.09
802,fail,kufanikiwa,verbs,0.09
803,band,pombe,nouns,0.05
804,train,treni,nouns,2.33
805,island,ufuko,nouns,0.85
806,soccer,soka,nouns,5.77
807,cup,kijiko,nouns,0.69
808,become,kufanikisha,verbs,0.34
809,long,mfupi,adjectives,0.09
810,sacred,takatifu,adjectives,2.21
811,awake,kuamka,verbs,0.09
812,ask,kuuliza,verbs,0.35
813,spend,kuokoa,verbs,0.24
814,delightful,mchangamfu,adjectives,2.04
815,deny,kukana,verbs,1.04
816,steeple,kanisa dogo,nouns,0.87
817,banker,mwanasheria,nouns,0.52
818,dumb,mjinga,adjectives,4.89
819,precise,uhakika,adjectives,0.0
820,father,mwanaume,nouns,2.31
821,hole,mke,nouns,0.0
822,cover,kufunika,verbs,1.84
823,area,mkoa,nouns,4.64
824,machine,mashine,nouns,2.41
825,diamond,hela,nouns,0.41
826,atmosphere,uchafuzi,nouns,0.26
827,girl,mfanyakazi wa nyumbani,nouns,0.62
828,ball,mpira,nouns,1.49
829,rude,jeuri,adjectives,1.33
830,tie,kufunga,verbs,0.61
831,short,mrefu,adjectives,0.09
832,wealth,umaarufu,nouns,0.71
833,ugly,mbaya,adjectives,1.02
834,cover,kufunika,verbs,2.59
835,therapy,tiba,nouns,0.57
836,make,kuumba,verbs,4.7
837,seed,mbegu,nouns,0.22
838,king,mtoto wa mfalme,nouns,2.41
839,timber,gogo,nouns,2.61
840,factorization,sababu,nouns,0.39
841,gin,wiski,nouns,2.0
842,book,biblia,nouns,2.17
843,arm,mshipa,nouns,0.29
844,tail,jabali,nouns,0.0
845,pinch,kufinya,verbs,0.42
846,action,mchezo,nouns,0.52
847,cone,kikombe,nouns,0.44
848,admit,kukubali,verbs,0.14
849,chemistry,nadharia,nouns,0.34
850,helpless,hoi,adjectives,1.81
851,cotton,plastiki,nouns,0.47
852,pupil,mwanafunzi,nouns,5.04
853,base,besi,nouns,0.52
854,forget,kujifunza,verbs,0.19
855,differently,tofauti,adverbs,1.39
856,pardon,kusamehe,verbs,4.83
857,salad,mpangilio wa chakula,nouns,0.68
858,agony,huzuni,nouns,2.78
859,gravity,mvuto,nouns,0.12
860,telescope,darubini,nouns,0.0
861,opposite,kinyume,adjectives,0.27
862,people,puto,nouns,0.0
863,approve,kukubali,verbs,4.58
864,leave,enda,verbs,0.52
865,copilot,rubani msaidizi,nouns,0.41
866,copilot,rubani msaidizi,nouns,0.04
867,officer,ofisa,nouns,1.15
868,wagon,gari la farasi,nouns,3.31
869,captain,mwanamaji,nouns,2.04
870,cancer,maradhi,nouns,3.07
871,beg,kuuliza,verbs,2.66
872,garden,mpira wa maji,nouns,0.13
873,molecule,hewa,nouns,0.47
874,bring,kurudisha,verbs,0.72
875,god,windo,nouns,0.0
876,hug,kumbatia,verbs,5.09
877,gentleman,bibi,nouns,0.51
878,cloud,wingu,nouns,0.05
879,fee,malipo,nouns,4.04
880,divide,kuzidisha,verbs,0.21
881,year,siku ya kuzaliwa,nouns,0.52
882,known,inayojulikana,adjectives,0.27
883,sky,ulimwengu,nouns,0.74
884,microscope,darubini,nouns,0.33
885,listen,kujifunza,verbs,0.48
886,ball,mzinga,nouns,0.41
887,chief,meya,nouns,1.89
888,valley,bonde,nouns,0.5
889,dissolve,kuyeyusha,verbs,0.69
890,street,gari,nouns,0.39
891,door,jiko,nouns,0.09
892,tightly,kwa ukakamavu,adverbs,0.55
893,encourage,kukanya,verbs,0.14
894,calf,fahali,nouns,1.91
895,bronchitis,ugonja wa bronchitis,nouns,0.19
896,coast,pwani,nouns,0.14
897,easy,imara,adjectives,0.09
898,mouth,jino,nouns,1.02
899,narrow,mpana,adjectives,0.09
900,ashamed,jisikia aibu,adjectives,0.39
901,secure,lindwa,adjectives,0.04
902,archer,mpiga mishale,nouns,0.15
903,beach,kisiwa,nouns,0.85
904,race,mbio,nouns,0.0
905,usually,kawaida,adverbs,0.08
906,normal,tofauti,adjectives,0.05
907,worry,kuwa na wasiwasi,verbs,0.0
908,quit,kufanya,verbs,0.09
909,apple,sosi,nouns,0.43
910,drought,ukame,nouns,0.24
911,slave,falahi,nouns,3.09
912,accept,kukubali,verbs,0.14
913,log,kuoga,nouns,0.0
914,river,bahari,nouns,1.89
915,terrific,ana hasira,adjectives,0.0
916,forget,kukumbusha,verbs,0.09
917,glass,chembechembe,nouns,1.03
918,mink,manyoya,nouns,2.46
919,anger,hali,nouns,0.74
920,theory,kemia,nouns,0.34
921,try,kutimiza,verbs,0.44
922,branch,shina,nouns,0.46
923,once,mara moja,adverbs,1.33
924,instantly,papo hapo,adverbs,1.33
925,instructor,mwalimu,nouns,4.32
926,frigid,mdhaifu,adjectives,0.1
927,duke,mjuzi,nouns,0.04
928,tower,kengele,nouns,0.22
929,sunshine,matofaa,nouns,0.05
930,analyze,kuchambua,verbs,4.36
931,ballad,wimbo,nouns,3.05
932,fairly,kwa haki,adverbs,0.09
933,rarely,nadra,adverbs,0.12
934,catch,kudaka,verbs,0.2
935,liver,kiungo,nouns,2.04
936,hen,batamzinga,nouns,1.02
937,sell,kuazima,verbs,0.04
938,patient,mgonjwa,nouns,0.07
939,rice,kuku,nouns,0.14
940,beg,kusihi,verbs,4.83
941,statistics,takwimu,nouns,0.0
942,list,orodha,nouns,1.1
943,roof,paa,nouns,0.17
944,root,nyasi,nouns,0.51
945,cell,chumba,nouns,1.07
946,softly,kwa upole,adverbs,0.04
947,loose,pwaya,adjectives,1.5
948,cold,baridi,adjectives,0.0
949,agree,kujipendekeza,verbs,0.39
950,national,kitaifa,adjectives,0.17
951,new,ya zamani,adjectives,0.09
952,firmly,kiukakamavu,adverbs,0.46
953,song,hadithi,nouns,0.56
954,go,kuingia,verbs,0.94
955,ignorance,akili,nouns,0.24
956,friend,mama,nouns,0.71
957,reliably,kwa kuaminika,adverbs,0.0
958,belief,fikra,nouns,1.22
959,ignore,kupuuza,verbs,0.0
960,modern,wa kale,adjectives,0.09
961,differ,kugombana,verbs,2.77
962,salary,hela,nouns,2.88
963,river,mkondo,nouns,3.51
964,pretend,kudhani,verbs,0.43
965,protein,protini,nouns,0.15
966,car,lifti,nouns,0.39
967,carefully,kwa umakini,adverbs,5.29
968,dollar,dola,nouns,0.86
969,winner,mgombea wa uchaguzi,nouns,0.94
970,simply,kirahisi,adverbs,0.27
971,take,kuiba,verbs,1.59
972,knee,mfupa,nouns,0.39
973,endurance,bendi,nouns,0.0
974,trick,saizi,nouns,0.0
975,depth,ukubwa,nouns,1.56
976,unmentionable,haionekani,adjectives,0.07
977,attract,kuvutia,verbs,0.0
978,assignment,mgawo,nouns,0.22
979,locally,kienyeji,adverbs,0.0
980,dirty,chafu,adjectives,0.0
981,thumb,mkono,nouns,1.32
982,disagree,kataa,verbs,0.14
983,compete,kushindana,verbs,0.79
984,image,wazo,nouns,0.94
985,letter,aya,nouns,0.36
986,arrange,kuhitaji,verbs,0.1
987,yard,mita,nouns,2.51
988,home,jimbo,nouns,0.37
989,demand,hitaji,verbs,0.19
990,creator,mtengenezaji,nouns,5.27
991,exchange,ubadilishaji,nouns,0.74
992,away,ugenini,adverbs,0.15
993,baby,mtu mzima,nouns,0.26
994,meadow,nyasi,nouns,2.09
995,arm,shingo,nouns,0.19
996,mechanically,kwa ustadi,adverbs,0.3
997,overt,bila siri,adjectives,0.42
998,go,kuruhusu,verbs,0.04
999,cat,mnyama,nouns,2.87
1000,growth,ukuaji,nouns,0.24
1001,restore,kuleta,verbs,0.72
1002,sauce,matofaa,nouns,0.43
1003,soft,laini,adjectives,0.0
1004,toe,kidole cha mkono,nouns,1.21
1005,roof,sakafu,nouns,0.21
1006,film,filamu,nouns,0.0
1007,phrase,neno,nouns,1.96
1008,supper,chakula cha asubuhi,nouns,0.39
1009,bishop,askofu,nouns,0.21
1010,hurt,kuuma,verbs,0.31
1011,happiness,bahati,nouns,0.29
1012,negotiation,jadiliano,nouns,2.06
1013,pointer,kionyeshi,nouns,0.0
1014,hat,sanduku,nouns,0.09
1015,lamb,kondoo,nouns,4.17
1016,arrange,kupanga,verbs,4.59
1017,boy,wali,nouns,0.0
1018,cardigan,fulana,nouns,1.36
1019,surely,kwa hakika,adverbs,4.6
1020,floor,dari,nouns,0.22
1021,father,mzazi,nouns,3.63
1022,difficult,rahisi,adjectives,0.04
1023,horse,farasi wa kike,nouns,3.42
1024,reality,ndoto,nouns,0.24
1025,field,uwanja,nouns,0.0
1026,walk,kutembea,verbs,1.76
1027,cheerful,mwenye furaha,adjectives,4.86
1028,today,leo,adverbs,1.42
1029,ask,kupuuza,verbs,0.05
1030,cliff,mkia,nouns,0.0
1031,strike,kuchapa,verbs,0.0
1032,box,sigara,nouns,0.07
1033,bring,kutuma,verbs,0.09
1034,court,korti,nouns,1.55
1035,snore,kung'orota,verbs,0.09
1036,zero,sufuri,nouns,0.36
1037,catastrophe,ajali,nouns,2.52
1038,hungry,kua na njaa,adjectives,0.12
1039,uncle,shangazi,nouns,0.99
1040,wizard,mchawi,nouns,0.0
1041,walk,kutembea ,verbs,0.24
1042,emotionally,kwa hisia,adverbs,1.63
1043,teeth,meno,nouns,0.0
1044,mink,mafuta,nouns,0.0
1045,typhoon,dhoruba,nouns,4.38
1046,radiator,radiator,nouns,0.41
1047,verify,kusema,verbs,0.39
1048,mixed,kumbakumba,adjectives,0.0
1049,perform,kutumbuiza,verbs,0.05
1050,cup,kopo,nouns,1.15
1051,dumb,mjanja,adjectives,0.14
1052,stone,jiwe,nouns,0.04
1053,mathematician,mwanamahesabu,nouns,0.0
1054,decide,kuamua,verbs,2.99
1055,explain,kufafanua,verbs,4.63
1056,bone,misuli,nouns,0.33
1057,limp,kuchechemea,verbs,1.76
1058,sticky,kunata,adjectives,0.65
1059,container,panya,nouns,0.0
1060,immoral,haramu,adjectives,2.26
1061,strange,ya kushangaza,adjectives,0.14
1062,car,honi,nouns,0.76
1063,motel,hoteli,nouns,3.06
1064,proof,ukweli,nouns,1.92
1065,wait,kungoja,verbs,0.0
1066,air,molekuli,nouns,0.47
1067,long,mwembamba,adjectives,0.26
1068,maple,mti,nouns,2.55
1069,target,mshale,nouns,0.54
1070,tree,mti,nouns,0.71
1071,blood,damu,nouns,0.56
1072,confuse,kuchanganya,verbs,0.0
1073,flow,kumtiririko,verbs,0.94
1074,aggressive,kwa mabavu,adjectives,1.01
1075,allow,kuruhusu,verbs,0.0
1076,bury,kuzikwa,verbs,1.33
1077,draw,kuchora,verbs,0.67
1078,shore,pwani,nouns,3.88
1079,hard,bila jasho,adjectives,0.09
1080,energy,nishati,nouns,1.17
1081,bottle,chupa,nouns,1.6
1082,forgive,kusahau,verbs,0.38
1083,square,mraba,nouns,0.0
1084,horse,mbwa,nouns,0.28
1085,tram,tramu,nouns,2.33
1086,borrow,kupa,verbs,0.19
1087,pet,paka,nouns,2.87
1088,guy,mtu mzuri,nouns,0.69
1089,exit,mahali ya kutokea,nouns,0.0
1090,parcel,furushi,nouns,0.0
1091,busy,bizi,adjectives,0.05
1092,flag,bendera,nouns,1.17
1093,church,kanisa,nouns,4.0
1094,reduce,kupunguza,verbs,0.0
1095,milk,juisi,nouns,0.61
1096,handle,mpini,nouns,0.15
1097,corridor,ushoroba,nouns,4.96
1098,tear,jicho,nouns,0.77
1099,thumb,ukucha,nouns,1.04
1100,jaw,mfupa,nouns,0.42
1101,glove,mpira,nouns,0.97
1102,doctor,profesa,nouns,1.57
1103,bath,chumba,nouns,0.13
1104,alley,mtaa,nouns,2.42
1105,sheet,gombo,nouns,0.0
1106,motor,injini,nouns,4.05
1107,flower,imani,nouns,0.17
1108,book,taarifa,nouns,0.81
1109,deliver,kuchukua,verbs,0.46
1110,cage,kizuizi,nouns,0.81
1111,proud,kujivunia,adjectives,0.0
1112,come,kuhudhuria,verbs,3.08
1113,fame,utajiri,nouns,0.71
1114,slim,mwembamba,adjectives,4.36
1115,seem,kuwa,verbs,0.32
1116,justice,haki,nouns,1.55
1117,happy,mchangamfu,adjectives,4.86
1118,confidently,kwa kujiamini,adverbs,0.32
1119,learn,kusikiliza,verbs,0.48
1120,gallery,nyumba ya sanaa,nouns,0.0
1121,game,tendo,nouns,0.52
1122,guess,kubuni,verbs,0.0
1123,morning,mchana,nouns,1.45
1124,piece,kipande,nouns,0.0
1125,archbishop,askofu,nouns,4.13
1126,stupid,mpumbavu,adjectives,0.6
1127,forget,kupuuza,verbs,1.29
1128,reject,kukataa,verbs,0.0
1129,cabin,nyumba ndogo,nouns,3.59
1130,elevator,sanduku,nouns,0.04
1131,new,mpya,adjectives,4.72
1132,broom,ufagio,nouns,0.32
1133,criminal,mhalifu,nouns,4.59
1134,dream,ndoto,nouns,0.13
1135,great,wa kutisha,adjectives,0.09
1136,charger,chaja,nouns,0.12
1137,god,roho,nouns,2.25
1138,blood,nyama,nouns,1.23
1139,body,mwili,nouns,0.23
1140,mostly,zaidi,adverbs,0.35
1141,bedroom,baisikeli,nouns,0.0
1142,bury,kuzika,verbs,2.3
1143,princess,mtoto mke wa mfalme,nouns,0.0
1144,movie,filamu,nouns,5.23
1145,wife,mume,nouns,0.97
1146,steal,iba,verbs,0.79
1147,come,kuleta,verbs,0.39
1148,dog,paka,nouns,0.51
1149,combination,mjumuiko,nouns,2.21
1150,baby,mtoto wa kike,nouns,1.23
1151,dense,mpumbavu,adjectives,2.96
1152,astronomer,mtaalam wa nyota,nouns,0.27
1153,portray,kuiga,verbs,2.26
1154,modest,mnyenyekevu,adjectives,0.27
1155,bridge,gari,nouns,0.05
1156,bacon,maharagwe,nouns,0.14
1157,task,majani makavu,nouns,0.0
1158,run,kimbia,verbs,0.19
1159,keep,kulinda,verbs,0.6
1160,deadly,hatari sana,adverbs,0.0
1161,teacher,mwalimu,nouns,0.71
1162,pain,madhara,nouns,2.91
1163,planet,mwezi,nouns,0.91
1164,cow,mifugo,nouns,3.52
1165,bread,chizi,nouns,0.17
1166,certain,uhakika,adjectives,0.0
1167,director,mkurugenzi,nouns,2.06
1168,tongue,koo,nouns,0.98
1169,wrist,mkono,nouns,0.96
1170,sound,sauti,nouns,3.0
1171,badge,baji,nouns,0.04
1172,fresh,mzee,adjectives,0.09
1173,hand,kidole gumba,nouns,1.32
1174,exam,mtihani,nouns,0.61
1175,lemma,lemma,nouns,0.32
1176,escape,kutoroka,verbs,4.45
1177,involve,kumhusisha,verbs,3.29
1178,neglect,kupuuzia,verbs,1.3
1179,car,kiwanda,nouns,0.05
1180,secretly,kwa siri,adverbs,0.32
1181,sly,mjanja,adjectives,3.66
1182,window,dirisha,nouns,0.0
1183,gun,bunduki,nouns,0.67
1184,malware,programu hatarishi,nouns,0.13
1185,preheat,pasha kabla,nouns,0.67
1186,oddly,kiajabu,adverbs,1.39
1187,mask,maski,nouns,0.05
1188,fact,ushahidi,nouns,1.92
1189,negative,hasi,adjectives,0.3
1190,seriously,kwa umakini,adverbs,1.18
1191,avoid,kukataa,verbs,1.07
1192,creative,mbunifu,adjectives,4.07
1193,radical,fikra mpya,adjectives,0.31
1194,array,areyi,nouns,1.1
1195,comfortably,bila shida,adverbs,3.4
1196,reader,mtunzi,nouns,0.41
1197,flexible,rahisi kubadilika,adjectives,1.5
1198,cooked,pikwa,adjectives,3.27
1199,algebra,algebra,nouns,0.31
1200,smell,kunusa,verbs,0.04
1201,choose,kuteua,verbs,5.25
1202,trial,wamuzi,nouns,1.25
1203,carry,kupeleka,verbs,0.8
1204,grass,mzizi,nouns,0.51
1205,enjoy,kufurahia,verbs,0.0
1206,moss,nyasi,nouns,1.56
1207,band,gwaride,nouns,1.27
1208,sly,imara,adjectives,0.35
1209,join,kushiriki,verbs,3.76
1210,frame,fremu,nouns,0.0
1211,tin,tini,nouns,1.99
1212,ignore,kusahau,verbs,1.29
1213,head,mguu,nouns,0.19
1214,parsley,pasile,nouns,0.0
1215,cannon,mpira,nouns,0.41
1216,gathering,kusanyiko,nouns,4.22
1217,car,geji,nouns,0.05
1218,princess,kisiwa,nouns,0.0
1219,create,kutengeneza,verbs,1.79
1220,wander,kutangatanga,verbs,1.08
1221,broad,mkubwa,adjectives,2.91
1222,cross,msalaba,nouns,0.17
1223,foolish,mpumbavu,adjectives,4.52
1224,plane,ndege,nouns,0.0
1225,arrow,lengo,nouns,0.54
1226,top,chini,nouns,0.26
1227,election,uchaguzi,nouns,2.31
1228,keep,kushindwa,verbs,0.0
1229,chaos,mchafuko,nouns,3.88
1230,atmosphere,hali ya anga,nouns,2.59
1231,recently,hivi karibuni,adverbs,3.22
1232,corridor,mlango,nouns,0.29
1233,couch,baseball,nouns,0.0
1234,insight,akili,nouns,2.54
1235,give,kuweka,verbs,0.15
1236,rescue,okoa,verbs,4.86
1237,skiing,skiing,nouns,1.76
1238,shake,kutikisa,verbs,0.89
1239,fencing,uzio,nouns,0.39
1240,sister,dada,nouns,1.69
1241,pearl,hela,nouns,0.12
1242,boy,patna,nouns,0.13
1243,neck,uti,nouns,0.92
1244,bee,mdudu,nouns,2.08
1245,argument,mapatano,nouns,0.09
1246,secretary,mwanamke,nouns,0.34
1247,simulation,onyesho,nouns,0.5
1248,incredibly,kwa umaradufu,adverbs,2.12
1249,angel,malaika,nouns,0.27
1250,juice,maziwa,nouns,0.61
1251,sometimes,mara nyingine,adverbs,0.48
1252,possess,kufyonza,verbs,0.24
1253,book,kitabu,nouns,0.0
1254,fence,reli,nouns,0.54
1255,unfairly,si kwa haki,adverbs,0.09
1256,friendly,kirafiki,adverbs,0.0
1257,sing,kuimba,verbs,0.0
1258,engine,injini,nouns,1.63
1259,vanish,kupotea,verbs,5.37
1260,generous,wa kirafiki,adjectives,1.8
1261,inch,mita,nouns,1.44
1262,know,kuamini,verbs,1.4
1263,catch,kukamata,verbs,3.8
1264,cardboard,karatasi,nouns,2.19
1265,fog,wingu,nouns,3.33
1266,secularist,mwanaisilamu,nouns,1.0
1267,water,maji,nouns,0.12
1268,border,mpaka,nouns,4.47
1269,dull,mkali,adjectives,0.09
1270,mayor,mkuu,nouns,1.89
1271,belt,kitanzi,nouns,1.09
1272,bad,poa,adjectives,0.09
1273,society,jamii,nouns,2.25
1274,new,wa kale,adjectives,0.14
1275,box,kofia,nouns,0.09
1276,beauty,uzuri,nouns,0.12
1277,reef,ufuko,nouns,0.65
1278,harmony,umoja,nouns,0.12
1279,beef,nyama ya ng'ombe,nouns,2.75
1280,daughter,kijana,nouns,1.3
1281,bowling,bowling,nouns,1.77
1282,twice,mara mbili,adverbs,0.59
1283,protect,kuliinda,verbs,1.25
1284,sugarcane,muwa,nouns,0.0
1285,uniform,sare,nouns,0.03
1286,collect,kuchukua,verbs,0.0
1287,hand,ukucha,nouns,0.44
1288,convince,kushawishi,verbs,0.12
1289,give,kuiba,verbs,0.04
1290,song,tuni,nouns,3.05
1291,curve,pembe,nouns,1.08
1292,horn,ngoma,nouns,0.26
1293,ceiling,sakafu,nouns,0.22
1294,boy,mazingira,nouns,0.0
1295,sunrise,machweo,nouns,1.22
1296,regularly,mara kwa mara,adverbs,1.02
1297,apparent,wazi,adjectives,4.83
1298,huge,mdogo,adjectives,0.13
1299,offering,toleo,nouns,3.35
1300,dance,densi,nouns,0.0
1301,diode,diode,nouns,1.36
1302,bean,kahawa,nouns,0.54
1303,president,kamera,nouns,0.0
1304,succeed,kufeli,verbs,0.09
1305,normally,kwa kawaida,adverbs,0.04
1306,responsibly,kwa kuwajibika,adverbs,2.21
1307,bowl,kichochoro,nouns,0.09
1308,happy,ana hasira,adjectives,0.1
1309,hit,kupiga,verbs,0.0
1310,syllable,silabu,nouns,0.32
1311,child,mvulana,nouns,1.48
1312,inform,kujulisha,verbs,5.0
1313,reliably,pasipo tu,adverbs,0.0
1314,diplomacy,diplomasia,nouns,2.06
1315,beat,kupiga,verbs,1.34
1316,environment,mazingira,nouns,0.0
1317,get,kuweka,verbs,0.19
1318,student,mwanachuo,nouns,5.04
1319,door,korido,nouns,0.29
1320,precisely,kwa usahihi,adverbs,0.04
1321,truthful,enye ukweli,adjectives,0.09
1322,infection,maambukizo,nouns,0.75
1323,cigar,bomba,nouns,0.74
1324,engine,mota,nouns,4.05
1325,sculptor,sonara,nouns,0.0
1326,concurrency,mapatano,nouns,0.04
1327,poet,mshairi,nouns,0.51
1328,artwork,mchoro,nouns,0.79
1329,defend,kuua,verbs,0.21
1330,self,hakika,nouns,0.61
1331,safety,starehe,nouns,1.26
1332,clean,safi,adjectives,5.39
1333,singer,mchezaji,nouns,0.56
1334,choice,sura,nouns,0.05
1335,rhythm,tuni,nouns,1.27
1336,get,kununua,verbs,1.03
1337,rail,ua,nouns,0.54
1338,page,aya,nouns,0.34
1339,realistically,kihalisia,adverbs,0.62
1340,later,baadae,adverbs,0.27
1341,create,kuunda,verbs,3.95
1342,stumble,kujikwaa,verbs,2.56
1343,salute,kutoa heshima,verbs,0.05
1344,bush,ua,nouns,0.85
1345,incoming,inayoingia,adjectives,0.19
1346,bed,kochi,nouns,1.31
1347,carefully,kwa uangalifu,adverbs,2.17
1348,stir,kukoroga,verbs,4.31
1349,brainstorming,changamsha bongo,nouns,0.0
1350,leave,kupuuza,verbs,0.67
1351,follow,kufuata,verbs,2.48
1352,necessary,sio wa lazima,adjectives,0.09
1353,pay,kulipa,verbs,1.05
1354,collect,kukusanya,verbs,1.55
1355,purse,mfuko,nouns,3.92
1356,sandwich,chakula cha mchana,nouns,1.89
1357,child,msichana,nouns,1.23
1358,alloy,aloyi,nouns,1.52
1359,ice,barafu,nouns,3.36
1360,steal,kuchukua,verbs,1.59
1361,hammer,nyundo,nouns,0.0
1362,bed,hospitali,nouns,0.2
1363,huge,mpumbavu,adjectives,0.04
1364,lizard,mjusi,nouns,0.42
1365,biography,habari za kubuniwa,nouns,0.79
1366,deal,kuhusika,verbs,0.69
1367,worker,mwajiri,nouns,1.34
1368,strange,mwerevu,adjectives,0.07
1369,goat,ngombe,nouns,0.68
1370,book,andiko,nouns,2.96
1371,punish,kuadhibu,verbs,0.2
1372,accept,kuitikia,verbs,2.13
1373,angle,tao,nouns,1.08
1374,dictionary,namna,nouns,0.19
1375,parliament,bunge,nouns,2.76
1376,dominate,kushinda,verbs,1.5
1377,word,fasihi,nouns,1.11
1378,vexillology,elimu ya bendera,nouns,1.17
1379,recommend,kukubali,verbs,0.25
1380,unnecessary,lazima,adjectives,0.09
1381,girl,mtoto,nouns,1.23
1382,drawing,mchoro,nouns,0.0
1383,cattle,mifugo,nouns,0.32
1384,friend,mwalimu,nouns,0.35
1385,operation,uendeshaji,nouns,0.31
1386,pride,furaha,nouns,0.91
1387,snap,kuvunja,verbs,0.81
1388,digit,tarakimu,nouns,0.0
1389,accomplish,kuwa,verbs,0.34
1390,horse,ng'ombe dume,nouns,0.49
1391,investigate,kufuatilia,verbs,3.15
1392,union,umoja,nouns,0.94
1393,gymnastics,mazoezi,nouns,0.39
1394,occasionally,mara chache,adverbs,1.02
1395,portray,kujifanya,verbs,0.66
1396,sailor,kapteni,nouns,2.04
1397,mist,wingu,nouns,2.33
1398,lie,kudanganya,verbs,0.32
1399,quit,kuanza,verbs,0.09
1400,mouse,chombo,nouns,0.0
1401,oil,ngozi,nouns,0.0
1402,gift,zawadi,nouns,0.0
1403,attack,shambulio,nouns,1.34
1404,meal,chakula cha usiku,nouns,3.46
1405,acquire,kujiunga,verbs,0.21
1406,fall,kuanguka,verbs,2.56
1407,think,kutafakari,verbs,5.1
1408,discover,kufanya utafiti,verbs,2.46
1409,plead,kuomba,verbs,4.83
1410,presence,kutokuwepo,nouns,0.27
1411,adult,mtoto mchanga,nouns,0.26
1412,shield,mwepesi,nouns,0.42
1413,beach,ukingo wa bahari,nouns,4.97
1414,sea,bahari,nouns,0.79
1415,boy,kaka,nouns,2.2
1416,vitamin,chuma,nouns,0.61
1417,task,kisiwa,nouns,0.0
1418,terrific,mbaya,adjectives,0.04
1419,polish,kung'arisha,verbs,0.0
1420,tremor,kutetemeka,nouns,2.66
1421,proudly,kwa jeuri,adverbs,0.21
1422,cautiously,kwa uangalifu,adverbs,5.29
1423,computer,cd,nouns,0.59
1424,desert,jangwa,nouns,1.91
1425,read,kufahamu,verbs,1.33
1426,cinematography,sinema,nouns,0.42
1427,actress,mchezaji,nouns,3.84
1428,action,mwendo,nouns,1.04
1429,reject,kutoa,verbs,0.5
1430,borrow,kuweka,verbs,0.17
1431,job,kazi,nouns,0.77
1432,drench,kulowesha,verbs,0.0
1433,dumb,ana akili,adjectives,0.09
1434,boy,mtoto,nouns,1.48
1435,raise,kulea,verbs,0.0
1436,chips,kibanzi,nouns,0.0
1437,whiskey,jini,nouns,2.0
1438,accept,kupendekeza,verbs,0.25
1439,football,burudani,nouns,0.45
1440,throat,ulimi,nouns,0.98
1441,cricket,kriketi,nouns,0.0
1442,word,sentensi,nouns,1.96
1443,accomplish,kushinda,verbs,3.04
1444,marrow,damu,nouns,0.61
1445,couch,kitanda,nouns,1.31
1446,jar,kikombe,nouns,1.15
1447,persuade,kufuatilia,verbs,0.34
1448,comfort,usalama,nouns,1.26
1449,formula,kuzidisha,nouns,0.07
1450,agreement,tundu,nouns,0.0
1451,snowboard,ubao wa theluji,nouns,1.76
1452,discuss,kueleza,verbs,1.59
1453,statue,kinyagu,nouns,4.66
1454,fall,kuanguka,verbs,0.41
1455,passion,hisia,nouns,2.71
1456,strength,makadara,nouns,4.18
1457,illegal,wa dhambi,adjectives,2.26
1458,angry,mwenye furaha,adjectives,0.19
1459,teacher,rafiki,nouns,0.35
1460,lock-up,funga,nouns,1.58
1461,note,kumbuku,nouns,0.22
1462,sharp,kali,adjectives,0.0
1463,chase,kimbiza,verbs,2.48
1464,leg,mkono,nouns,1.11
1465,actively,kwa juhudi,adverbs,0.24
1466,friend,mvulana,nouns,0.61
