ID,ENG,FRA,PoS,score
791,build,ajouter,verbs,1.44
792,ministry,sultan,nouns,0.66
793,immoral,mal,adjectives,3.96
794,soft,violent,adjectives,0.65
795,win,accomplir,verbs,2.19
796,bowl,queue,nouns,0.05
797,ask,aider,verbs,0.76
798,doorway,sortie,nouns,2.8
799,head,ongle,nouns,0.6
800,send,aller,verbs,0.6
801,belief,valeur,nouns,2.81
802,poor,fier,adjectives,0.3
803,system,faute,nouns,0.32
804,cottage,hutte,nouns,3.34
805,heavy,chargé,adjectives,3.91
806,wait,laisser,verbs,0.65
807,theft,criminalité,nouns,2.51
808,mathematician,spectacle,nouns,0.1
809,protect,défendre,verbs,4.75
810,rabbit,chat,nouns,1.26
811,kindly,gentiment,adverbs,5.28
812,naturally,bizarrement,adverbs,0.79
813,ashamed,modeste,adjectives,0.67
814,sea,tsunami,nouns,1.55
815,communicate,prier,verbs,0.84
816,think,essayer,verbs,0.15
817,cheek,langue,nouns,1.34
818,gauge,voiture,nouns,0.35
819,ideally,mécaniquement,adverbs,0.15
820,evaluate,apprendre,verbs,0.92
821,allow,laisser,verbs,4.79
822,compare,analyser,verbs,3.02
823,declare,annoncer,verbs,5.43
824,sure,certain,adjectives,5.69
825,gather,réunir,verbs,5.38
826,wife,paille,nouns,0.0
827,obviously,discrètement,adverbs,0.59
828,give,permettre,verbs,0.85
829,arrange,arranger,verbs,4.99
830,movable,flexible,adjectives,3.45
831,accept,pardonner,verbs,1.55
832,rice,haricot,nouns,1.49
833,simple,facile,adjectives,5.16
834,ignore,éviter,verbs,3.23
835,loudly,subtilement,adverbs,0.69
836,receive,accepter,verbs,2.38
837,cow,bétail,nouns,4.17
838,catch,terminer,verbs,0.24
839,song,ballade,nouns,4.05
840,presence,gagnant,nouns,0.25
841,finish,ajourner,verbs,2.83
842,brilliant,génial,adjectives,4.55
843,great,merveilleux,adjectives,4.89
844,rice,garçon,nouns,0.05
845,artificial,faux,adjectives,4.72
846,surely,parfois,adverbs,0.69
847,confidence,soi,nouns,1.36
848,bean,riz,nouns,1.49
849,dawn,pistolet,nouns,0.05
850,flexible,lâche,adjectives,1.6
851,crazy,insensé,adjectives,5.67
852,baggage,circumnavigation,nouns,0.57
853,business,industrie,nouns,3.41
854,supporter,criquet,nouns,0.35
855,style,mode,nouns,4.4
856,hose,voiture,nouns,0.1
857,smartphone,ananas,nouns,0.0
858,achieve,réussir,verbs,3.86
859,clothes,tiroir,nouns,0.85
860,enter,laisser,verbs,0.24
861,rely,échouer,verbs,0.2
862,background,papier peint,nouns,3.24
863,skin,vélo,nouns,0.2
864,imagine,feindre,verbs,2.19
865,silently,passivement,adverbs,1.77
866,dirty,collant,adjectives,1.75
867,climb,randonner,verbs,2.69
868,passively,silencieusement,adverbs,1.77
869,shuffle,conduire,verbs,0.1
870,fall,blesser,verbs,0.96
871,chicken,riz,nouns,0.74
872,flexible,facile,adjectives,1.83
873,industry,affaire,nouns,3.41
874,lake,nuage,nouns,0.4
875,suffrage,sortie,nouns,0.3
876,afraid,anxieux,adjectives,2.87
877,job,outil,nouns,0.48
878,dumb,énorme,adjectives,0.69
879,read,saisir,verbs,1.44
880,madly,tristement,adverbs,0.39
881,steal,acheter,verbs,0.92
882,digit,nombre,nouns,5.18
883,strategist,conspirateur,nouns,3.2
884,girl,mec,nouns,1.44
885,uniformly,parfois,adverbs,0.35
886,decline,refuser,verbs,5.49
887,fever,grippe,nouns,2.56
888,door,cuisine,nouns,0.49
889,prophet,prêtre,nouns,1.91
890,immature,adulte,adjectives,0.74
891,rarely,d'habitude,adverbs,0.96
892,ask,plaider,verbs,2.7
893,pray,communiquer,verbs,0.84
894,bath,femme,nouns,0.05
895,steal,donner,verbs,0.74
896,wood,couverture,nouns,0.15
897,guilty,honnête,adjectives,0.6
898,paper,carton,nouns,3.39
899,cry,pleurer,verbs,3.43
900,sometimes,sûrement,adverbs,0.69
901,beat,gagner,verbs,3.49
902,glove,balle,nouns,0.97
903,muffin,persil,nouns,0.3
904,responsibly,sérieusement,adverbs,3.46
905,map,carré,nouns,0.4
906,kill,détruire,verbs,2.79
907,often,rarement,adverbs,0.96
908,simulation,robotique,nouns,1.25
909,sandwich,déjeuner,nouns,2.29
910,wear,déchirer,verbs,0.41
911,hysteria,désarroi,nouns,1.96
912,laugh,pouffer,verbs,4.58
913,straw,tâche,nouns,0.0
914,go,partir,verbs,4.44
915,task,femme,nouns,0.05
916,stomach,cours,nouns,0.1
917,cover,déguiser,verbs,2.59
918,electric,doux,adjectives,0.2
919,slave,serviteur,nouns,3.69
920,smother,submerger,verbs,3.16
921,theory,théorème,nouns,4.56
922,remainder,différence,nouns,3.27
923,disprove,permettre,verbs,0.25
924,easily,confortablement,adverbs,2.35
925,air,hélium,nouns,2.0
926,regularly,parfois,adverbs,1.97
927,despise,haïr,verbs,5.05
928,stool,chaise,nouns,3.49
929,descend,battre en retraite,verbs,1.07
930,gunboat,côte,nouns,0.24
931,shut,vomir,verbs,0.05
932,allowed,légal,adjectives,4.71
933,forecast,révision,nouns,0.66
934,winner,objectif,nouns,0.81
935,snore,réveiller,verbs,0.74
936,yarn,fil,nouns,3.16
937,writer,don,nouns,0.25
938,narrow,vaste,adjectives,0.59
939,manuscript,livre,nouns,3.66
940,bring,se plaindre,verbs,0.1
941,factory,voiture,nouns,0.55
942,lucky,honteux,adjectives,0.4
943,add,diviser,verbs,1.05
944,hunt,chercher,verbs,2.62
945,clean,désordonné,adjectives,0.79
946,happy,jeune,adjectives,0.39
947,lose,cuisiner,verbs,0.05
948,piston,moteur,nouns,2.53
949,evaluate,analyser,verbs,4.76
950,apparently,simplement,adverbs,1.07
951,galaxy,application,nouns,0.1
952,blanket,tempête,nouns,0.05
953,usually,sincèrement,adverbs,0.2
954,approve,permettre,verbs,4.18
955,loudly,doucement,adverbs,0.59
956,noticeable,évident,adjectives,3.89
957,camera,lentille,nouns,1.75
958,demon,monstre,nouns,4.31
959,president,appareil photo,nouns,0.05
960,inspect,examiner,verbs,5.4
961,entertain,apprécier,verbs,0.84
962,mint,musée,nouns,0.04
963,select,choisir,verbs,5.52
964,currently,délicatement,adverbs,0.15
965,hate,mépriser,verbs,5.05
966,coast,canonnière,nouns,0.24
967,hurt,contrarier,verbs,3.74
968,detach,diviser,verbs,2.19
969,mood,émotion,nouns,3.55
970,take,obtenir,verbs,3.17
971,attend,arriver,verbs,0.74
972,rose,papillon,nouns,0.35
973,negatively,anormalement,adverbs,0.77
974,marry,joindre,verbs,3.31
975,escape,fuir,verbs,5.25
976,food,programme,nouns,0.55
977,brother,garçon,nouns,2.2
978,speed,courrier,nouns,0.0
979,wait,s'arrêter,verbs,3.14
980,area,coin,nouns,0.86
981,pact,accord,nouns,5.3
982,boat,moteur,nouns,1.21
983,wrong,précis,adjectives,0.25
984,begin,aller,verbs,1.42
985,enjoy,divertir,verbs,0.84
986,speak,reconnaître,verbs,0.52
987,subtly,calmement,adverbs,1.34
988,hematology,pathologie,nouns,2.16
989,truck,paquet,nouns,0.1
990,haul,soulever,verbs,2.54
991,stomach,chambre,nouns,0.05
992,notify,informer,verbs,5.2
993,construct,faire,verbs,4.15
994,pair,couple,nouns,5.52
995,now,ici,adverbs,1.76
996,regular,ignorant,adjectives,0.53
997,rush,se dépêcher,verbs,5.0
998,elect,choisir,verbs,4.75
999,cup,bocal,nouns,2.25
1000,sticky,sale,adjectives,1.75
1001,prosecutor,avocat,nouns,3.05
1002,tool,emploi,nouns,0.48
1003,release,attraper,verbs,0.24
1004,probably,positivement,adverbs,0.89
1005,rely,dépendre,verbs,4.53
1006,bishop,archevêque,nouns,4.24
1007,dollar,personne,nouns,0.05
1008,convince,essayer,verbs,0.61
1009,buy,voler,verbs,0.92
1010,plead,demander,verbs,2.7
1011,cab,taxi,nouns,5.25
1012,woman,tâche,nouns,0.05
1013,competence,aptitude,nouns,5.27
1014,sculpture,statue,nouns,5.06
1015,phone,victime,nouns,0.1
1016,officially,fortement,adverbs,0.35
1017,cradle,couffin,nouns,5.52
1018,hat,boîte,nouns,0.69
1019,riot,dessin,nouns,0.15
1020,argue,argumenter,verbs,4.88
1021,pick,sélectionner,verbs,5.52
1022,unreasonably,injustement,adverbs,3.41
1023,surprise,fêter,verbs,0.69
1024,lawful,illégal,adjectives,0.69
1025,choice,prison,nouns,0.15
1026,attend,débattre,verbs,0.55
1027,make,devenir,verbs,0.82
1028,chaotically,pacifiquement,adverbs,0.54
1029,officially,grandement,adverbs,1.35
1030,opposite,unique,adjectives,0.64
1031,truthful,malhonnête,adjectives,0.54
1032,illustration,ampoule,nouns,0.15
1033,heroine,héros,nouns,3.96
1034,give,mettre,verbs,1.05
1035,pour,goutter,verbs,1.34
1036,calf,taureau,nouns,2.36
1037,discreetly,poliment,adverbs,2.08
1038,tedious,sûr,adjectives,0.24
1039,self,confiance,nouns,1.36
1040,national,gros,adjectives,0.27
1041,morning,journée,nouns,2.6
1042,program,alimentation,nouns,0.55
1043,victim,téléphone,nouns,0.1
1044,smart,intelligent,adjectives,5.25
1045,weep,crier,verbs,3.43
1046,seedling,feuille,nouns,1.04
1047,seem,devenir,verbs,0.92
1048,horn,voiture,nouns,1.41
1049,difference,reste,nouns,3.27
1050,combine,canne à sucre,nouns,0.3
1051,humble,modeste,adjectives,5.5
1052,confuse,apprendre,verbs,0.5
1053,date,date,nouns,2.29
1054,mild,tranchant,adjectives,0.7
1055,never,généreusement,adverbs,0.05
1056,pause,attendre,verbs,3.14
1057,make,détruire,verbs,0.74
1058,grow,augmenter,verbs,5.27
1059,flexible,élastique,adjectives,4.28
1060,swim,rencontrer,verbs,0.57
1061,argue,justifier,verbs,2.79
1062,whistle,arrêter,verbs,0.25
1063,glad,fou,adjectives,0.65
1064,apartment,maison,nouns,3.42
1065,sober,rationnel,adjectives,1.96
1066,drink,élever,verbs,0.05
1067,reject,éviter,verbs,1.57
1068,preschool,crèche,nouns,3.85
1069,fight,mordre,verbs,1.25
1070,destroy,faire,verbs,0.74
1071,chair,tabouret,nouns,3.49
1072,reduce,abaisser,verbs,4.47
1073,happy,content,adjectives,5.22
1074,perform,saluer,verbs,0.1
1075,fundraiser,événement,nouns,1.79
1076,confusion,hystérie,nouns,1.96
1077,buddy,compagnon,nouns,5.0
1078,calm,neutre,adjectives,1.81
1079,chaos,anarchie,nouns,3.78
1080,valley,canyon,nouns,4.03
1081,bubble,mousse,nouns,2.84
1082,carefully,fermement,adverbs,1.73
1083,mechanically,idéalement,adverbs,0.15
1084,chapel,clocher,nouns,2.12
1085,vein,bras,nouns,0.79
1086,rationalize,penser,verbs,3.45
1087,cloud,fenêtre,nouns,0.4
1088,follow,chasser,verbs,2.78
1089,book,manuscrit,nouns,3.66
1090,gift,écrivain,nouns,0.25
1091,modest,flexible,adjectives,0.2
1092,disguise,couvrir,verbs,2.59
1093,acquire,trouver,verbs,2.67
1094,doorway,porte,nouns,2.51
1095,screen,moniteur,nouns,4.78
1096,delightful,enjoué,adjectives,2.0
1097,beef,bétail,nouns,3.79
1098,easy,rigide,adjectives,0.2
1099,radar,manette,nouns,0.22
1100,rice,poulet,nouns,0.74
1101,intelligent,malin,adjectives,5.25
1102,size,centime,nouns,0.05
1103,keep,posséder,verbs,3.09
1104,ask,ignorer,verbs,0.55
1105,drawing,émeute,nouns,0.15
1106,crack,casser,verbs,3.38
1107,subroutine,compilateur,nouns,1.31
1108,wife,centime,nouns,0.05
1109,occur,arriver,verbs,5.67
1110,educate,enseigner,verbs,5.22
1111,messy,laid,adjectives,0.68
1112,theatre,film,nouns,2.09
1113,save,collecter,verbs,2.71
1114,absorb,apprendre,verbs,2.23
1115,dense,difficile,adjectives,2.22
1116,crowd,défilé,nouns,2.33
1117,mother,gardien,nouns,1.73
1118,absorb,posséder,verbs,0.69
1119,crowd,attroupement,nouns,5.12
1120,teacher,ami,nouns,0.85
1121,machine,moteur,nouns,2.79
1122,collect,organiser,verbs,1.35
1123,attitude,confiance,nouns,2.11
1124,gun,aube,nouns,0.05
1125,kindly,généreusement,adverbs,2.89
1126,needy,impuissant,adjectives,2.17
1127,become,sembler,verbs,0.92
1128,greet,rencontrer,verbs,2.21
1129,nervous,certain,adjectives,0.15
1130,mosaic,basilique,nouns,0.59
1131,offend,insulter,verbs,4.64
1132,give,nier,verbs,0.2
1133,booth,boîte,nouns,1.93
1134,goal,gagnant,nouns,0.81
1135,renounce,réprimer,verbs,1.34
1136,hard,dense,adjectives,2.22
1137,participate,rejoindre,verbs,3.21
1138,acknowledge,notifier,verbs,1.19
1139,require,se renseigner,verbs,0.45
1140,dangerously,soigneusement,adverbs,0.4
1141,giggle,rire,verbs,4.58
1142,doctor,médecin,nouns,5.25
1143,gap,ouverture,nouns,4.86
1144,wander,chercher,verbs,1.49
1145,orchard,autruche,nouns,0.05
1146,cat,lapin,nouns,1.26
1147,gravity,météore,nouns,0.81
1148,mad,terrifiant,adjectives,0.55
1149,theorem,théorie,nouns,4.56
1150,size,astuce,nouns,0.0
1151,effort,difficulté,nouns,3.46
1152,argue,rationaliser,verbs,2.67
1153,twice,toujours,adverbs,0.82
1154,mayor,chef,nouns,2.44
1155,repair,restaurer,verbs,5.16
1156,weekend,course,nouns,0.25
1157,obtain,prendre,verbs,3.17
1158,basically,pleinement,adverbs,0.74
1159,gut,nerf,nouns,1.29
1160,disappear,se dissiper,verbs,5.37
1161,advise,recommander,verbs,5.17
1162,mad,heureux,adjectives,0.65
1163,mostly,profondément,adverbs,0.71
1164,inquire,exiger,verbs,0.45
1165,uniform,crochet,nouns,0.05
1166,forget,rappeler,verbs,0.79
1167,choose,élire,verbs,4.75
1168,bath,ballon,nouns,0.1
1169,make,créer,verbs,4.95
1170,know,croire,verbs,2.55
1171,incoming,extraverti,adjectives,0.24
1172,session,patient,nouns,0.17
1173,agreement,trou,nouns,0.0
1174,candy,cannelle,nouns,0.86
1175,criticize,remarquer,verbs,1.76
1176,boat,arbre,nouns,0.2
1177,tail,arrière,nouns,2.96
1178,spoil,sentir,verbs,0.14
1179,legal,permis,adjectives,4.71
1180,cooperate,rejoindre,verbs,2.24
1181,cabin,chalet,nouns,3.34
1182,cup,cuillère,nouns,1.29
1183,deeply,surtout,adverbs,0.71
1184,victory,triomphe,nouns,5.46
1185,key,couronne,nouns,0.05
1186,cent,femme,nouns,0.05
1187,creator,auteur,nouns,4.39
1188,task,travail,nouns,4.54
1189,long,étroit,adjectives,1.0
1190,include,impliquer,verbs,4.25
1191,teacher,professeur,nouns,5.27
1192,wander,laisser,verbs,0.36
1193,angry,violent,adjectives,1.99
1194,drown,sauver,verbs,0.75
1195,phonology,écran,nouns,0.05
1196,idea,schéma,nouns,3.17
1197,brow,œil,nouns,1.82
1198,capital,argent,nouns,3.79
1199,accept,livrer,verbs,0.55
1200,cytoplasm,chiffre,nouns,0.0
1201,argue,assister,verbs,0.55
1202,billionaire,sans abri,nouns,1.02
1203,deny,éviter,verbs,0.74
1204,comfort,humilier,verbs,0.49
1205,ignore,explorer,verbs,0.3
1206,finish,rivaliser,verbs,0.79
1207,employer,ouvrier,nouns,2.09
1208,movie,film,nouns,5.83
1209,important,nécessaire,adjectives,4.35
1210,house,clé,nouns,0.86
1211,pretend,représenter,verbs,0.66
1212,car,jauge,nouns,0.35
1213,aggressive,incurvé,adjectives,0.0
1214,august,mois,nouns,2.65
1215,wealth,prestige,nouns,2.16
1216,profession,lycée,nouns,0.79
1217,sometimes,uniformément,adverbs,0.35
1218,possess,garder,verbs,3.09
1219,ball,gant,nouns,0.97
1220,discover,provenir,verbs,0.63
1221,attend,apparaître,verbs,1.02
1222,cloud,brouillard,nouns,3.03
1223,body,sous-vêtement,nouns,1.0
1224,chair,banc,nouns,3.11
1225,offering,donation,nouns,4.05
1226,learn,absorber,verbs,2.23
1227,book,dissertation,nouns,1.15
1228,happiness,paix,nouns,2.76
1229,drift,couler,verbs,2.04
1230,kid,fille,nouns,1.55
1231,tightly,incroyablement,adverbs,0.2
1232,normally,anormalement,adverbs,0.79
1233,surely,clairement,adverbs,3.7
1234,fantastically,incroyablement,adverbs,5.19
1235,pretend,mentir,verbs,3.46
1236,hypothesis,théorie,nouns,4.76
1237,graduate,terminer,verbs,2.63
1238,search,trouver,verbs,2.31
1239,sometimes,n'importe quand,adverbs,0.52
1240,squint,éblouir,verbs,0.69
1241,nice,extraverti,adjectives,1.17
1242,bridge,voiture,nouns,0.3
1243,topic,récit,nouns,1.5
1244,possess,prendre,verbs,2.21
1245,new,inutilisé,adjectives,4.52
1246,car,klaxon,nouns,1.41
1247,save,noyer,verbs,0.75
1248,essentially,nécessairement,adverbs,4.03
1249,drench,réduire,verbs,0.05
1250,deny,donner,verbs,0.2
1251,queen,abeille,nouns,1.4
1252,unique,contraire,adjectives,0.64
1253,deal,vendre,verbs,1.09
1254,chief,maire,nouns,2.44
1255,river,vallée,nouns,1.53
1256,meaningfully,profondément,adverbs,3.44
1257,formula,équation,nouns,4.34
1258,sheriff,flic,nouns,3.81
1259,congress,parlement,nouns,3.51
1260,adult,tuteur,nouns,2.22
1261,find,disparaître,verbs,0.2
1262,passively,sérieusement,adverbs,0.35
1263,boundary,limite,nouns,5.22
1264,environment,épée,nouns,0.05
1265,pupil,étudiant,nouns,5.7
1266,cold,ordinaire,adjectives,0.2
1267,take,posséder,verbs,2.21
1268,leave,attendre,verbs,0.65
1269,suspect,arrêter,verbs,0.88
1270,cloth,vêtement,nouns,2.04
1271,elephant,boussole,nouns,0.0
1272,arithmetic,rythme,nouns,0.1
1273,honestly,sincèrement,adverbs,5.5
1274,crude,laid,adjectives,1.06
1275,guy,fille,nouns,1.44
1276,biology,biotope,nouns,1.4
1277,liquor,groupe,nouns,0.15
1278,film,théâtre,nouns,2.09
1279,endurance,fleur,nouns,0.2
1280,snow,météo,nouns,1.51
1281,join,acquérir,verbs,0.76
1282,astronomical,massif,adjectives,3.17
1283,proper,poli,adjectives,2.69
1284,politician,président,nouns,3.25
1285,chemistry,théorie,nouns,1.09
1286,significant,mineur,adjectives,0.74
1287,allow,éroder,verbs,0.15
1288,later,jamais,adverbs,1.27
1289,obtain,acquérir,verbs,5.4
1290,crib,lit,nouns,3.55
1291,wonderful,génial,adjectives,4.89
1292,upset,honteux,adjectives,1.04
1293,convocation,rassemblement,nouns,3.58
1294,dirty,étroit,adjectives,0.1
1295,attack,blitz,nouns,2.95
1296,neutral,indécis,adjectives,2.67
1297,promise,jurer,verbs,5.13
1298,add,construire,verbs,1.44
1299,soul,frère,nouns,0.3
1300,guilty,honteux,adjectives,3.46
1301,retain,rester,verbs,1.19
1302,subtly,bruyamment,adverbs,0.69
1303,realistically,idéalement,adverbs,1.17
1304,hurt,tomber,verbs,0.96
1305,football,plaisir,nouns,0.35
1306,brother,sœur,nouns,2.4
1307,beauty,sonnet,nouns,0.52
1308,awful,mal,adjectives,4.04
1309,belief,fleur,nouns,0.12
1310,protestant,chrétien,nouns,3.28
1311,mine,pierre,nouns,1.27
1312,decide,représenter,verbs,0.75
1313,rescue,sauver,verbs,5.36
1314,kitchen,porte,nouns,0.49
1315,castle,mur,nouns,0.81
1316,mind,névrose,nouns,1.27
1317,might,force,nouns,5.18
1318,man,vainqueur,nouns,0.96
1319,sadly,follement,adverbs,0.39
1320,gallery,avocat,nouns,0.05
1321,window,cheville,nouns,0.0
1322,wall,château,nouns,0.81
1323,importantly,officiellement,adverbs,1.35
1324,bedroom,estomac,nouns,0.05
1325,compiler,fonction,nouns,1.31
1326,hostility,agression,nouns,4.09
1327,capability,compétence,nouns,5.27
1328,inflection,infection,nouns,0.15
1329,arrange,nécessiter,verbs,0.2
1330,culture,société,nouns,3.1
1331,impression,croyance,nouns,2.55
1332,collect,sauvegarder,verbs,2.71
1333,garden,tuyau,nouns,0.63
1334,undisclosed,manifeste,adjectives,0.67
1335,tightly,fermement,adverbs,4.58
1336,square,carte,nouns,0.4
1337,charger,disque,nouns,0.71
1338,special,précieux,adjectives,2.97
1339,medium,doux,adjectives,1.38
1340,roughly,évidemment,adverbs,0.49
1341,cyclone,typhon,nouns,4.58
1342,stream,rivière,nouns,4.06
1343,entertain,satisfaire,verbs,1.54
1344,dull,marrant,adjectives,0.25
1345,permit,approuver,verbs,4.18
1346,contribution,offre,nouns,4.05
1347,remind,oublier,verbs,0.79
1348,cuddle,étreindre,verbs,5.24
1349,ability,compétence,nouns,5.21
1350,volcano,magma,nouns,1.75
1351,danger,maladie,nouns,0.85
1352,doctor,professeur,nouns,2.52
1353,worry,gaspiller,verbs,0.15
1354,free,innocent,adjectives,1.66
1355,sad,terrible,adjectives,2.17
1356,telescope,cogitation,nouns,0.05
1357,proud,fort,adjectives,1.21
1358,attend,venir,verbs,3.27
1359,sorrow,honte,nouns,1.74
1360,incline,influencer,verbs,2.46
1361,cooperate,participer,verbs,3.29
1362,beast,animal,nouns,4.7
1363,accident,urgence,nouns,2.86
1364,find,acquérir,verbs,2.67
1365,locate,trouver,verbs,4.97
1366,mostly,principalement,adverbs,4.74
1367,cloud,lac,nouns,0.4
1368,highway,tâche,nouns,0.05
1369,box,cigare,nouns,0.77
1370,situation,circonstance,nouns,5.14
1371,undecided,neutre,adjectives,2.67
1372,god,proie,nouns,0.05
1373,securely,soigneusement,adverbs,1.73
1374,emotion,humeur,nouns,3.55
1375,hand,pied,nouns,1.75
1376,neuropsychology,parapsychologie,nouns,2.26
1377,easy,gros,adjectives,0.2
1378,upset,blesser,verbs,3.74
1379,criminal,délinquant,nouns,4.54
1380,friend,invité,nouns,2.41
1381,drive,arrêter,verbs,0.75
1382,polish,informer,verbs,0.1
1383,weave,bouger,verbs,0.34
1384,capture,imiter,verbs,0.36
1385,parade,foule,nouns,2.33
1386,belief,concept,nouns,2.22
1387,student,élève,nouns,5.7
1388,boat,pont,nouns,1.04
1389,magma,volcan,nouns,1.75
1390,happen,se produire,verbs,5.67
1391,roughly,fiablement,adverbs,0.45
1392,fever,maladie,nouns,3.02
1393,shore,côte,nouns,4.38
1394,gum,menthe,nouns,0.84
1395,gathering,convocation,nouns,3.58
1396,elevator,voiture,nouns,0.39
1397,aisle,entrée,nouns,1.89
1398,sharp,doux,adjectives,0.7
1399,dirt,boue,nouns,3.54
1400,unsure,effrayé,adjectives,0.98
1401,differ,être d'accord,verbs,0.74
1402,lightly,brillamment,adverbs,0.88
1403,collect,secouer,verbs,0.15
1404,society,club,nouns,4.29
1405,desire,vouloir,verbs,5.66
1406,bad,coupable,adjectives,2.04
1407,decade,ère,nouns,2.48
1408,sense,intuition,nouns,4.35
1409,task,paille,nouns,0.0
1410,chapel,câble,nouns,0.05
1411,become,apparaître,verbs,0.74
1412,proud,arrogant,adjectives,4.14
1413,tie,tresser,verbs,2.66
1414,attend,rassembler,verbs,0.62
1415,kindly,gentiment,adverbs,2.99
1416,business,entreprise,nouns,4.05
1417,meaningfully,spécialement,adverbs,2.11
1418,debate,débattre,verbs,4.88
1419,conversion,altitude,nouns,0.2
1420,narrow,long,adjectives,1.0
1421,composer,écrivain,nouns,3.44
1422,accuse,mentir,verbs,0.57
1423,foreigner,traducteur,nouns,0.96
1424,happily,mortellement,adverbs,0.3
1425,alloy,acier,nouns,2.92
1426,office,ouvrier,nouns,0.57
1427,find,localiser,verbs,4.97
1428,behave,obéir,verbs,2.87
1429,ice,neige,nouns,3.61
1430,lamp,génie,nouns,1.33
1431,lend,devoir,verbs,0.54
1432,avionics,aéronautique,nouns,3.99
1433,punish,enseigner,verbs,0.35
1434,busy,paresseux,adjectives,0.45
1435,important,crucial,adjectives,5.39
1436,ask,mendier,verbs,3.11
1437,viscosity,éclaboussure,nouns,0.45
1438,parcel,camion,nouns,0.1
1439,ideally,concrètement,adverbs,1.17
1440,wine,liqueur,nouns,2.05
1441,scarce,limité,adjectives,4.35
1442,separate,attacher,verbs,0.79
1443,incredible,ordinaire,adjectives,0.69
1444,beef,viande,nouns,2.96
1445,learn,confondre,verbs,0.5
1446,separate,partir,verbs,1.4
1447,building,pièce,nouns,1.11
1448,deadly,heureusement,adverbs,0.3
1449,box,chapeau,nouns,0.69
1450,generously,jamais,adverbs,0.05
1451,strong,fier,adjectives,1.21
1452,wrathful,hésitant,adjectives,0.4
1453,fraternity,base-ball,nouns,0.2
1454,save,secourir,verbs,5.36
1455,ostrich,verger,nouns,0.05
1456,illness,infection,nouns,4.09
1457,bag,porte-monnaie,nouns,2.92
1458,attract,frapper,verbs,0.55
1459,monster,démon,nouns,4.31
1460,room,bain,nouns,0.82
1461,beach,côte,nouns,3.25
1462,calmly,pacifiquement,adverbs,4.46
1463,seriously,grandement,adverbs,2.01
1464,proud,pauvre,adjectives,0.3
1465,wave,météo,nouns,0.45
1466,intelligence,sagesse,nouns,4.03
1467,excited,effrayé,adjectives,0.81
1468,adjourn,terminer,verbs,2.83
1469,umbrella,radiateur,nouns,0.25
1470,loud,grossier,adjectives,1.19
1471,door,sol,nouns,0.39
1472,jail,choix,nouns,0.15
1473,century,liqueur,nouns,0.05
1474,violent,doux,adjectives,0.65
1475,mutant,sociobiologie,nouns,0.25
1476,go,permettre,verbs,0.24
1477,professor,médecin,nouns,2.52
1478,animal,bête,nouns,4.7
1479,meet,laisser,verbs,0.35
1480,car,tuyau,nouns,0.1
1481,awake,ronfler,verbs,0.74
1482,exciting,terne,adjectives,0.34
1483,film,long métrage,nouns,5.83
1484,adversary,opposant,nouns,5.54
1485,usually,irrégulièrement,adverbs,0.81
1486,pottery,céramique,nouns,4.0
1487,unformed,uniforme,adjectives,0.5
1488,mainly,en phase terminale,adverbs,0.04
1489,glass,badge,nouns,0.29
1490,afterworld,purgatoire,nouns,2.86
1491,frigid,fragile,adjectives,0.2
1492,visa,globalisation,nouns,0.79
1493,stock,actif,nouns,3.77
1494,theme,livre,nouns,0.69
1495,inexpensive,abordable,adjectives,5.43
1496,investigate,poursuivre,verbs,2.29
1497,innocent,libre,adjectives,1.66
1498,defend,tuer,verbs,0.81
1499,bring,venir,verbs,0.49
1500,president,politicien,nouns,3.25
1501,dance,robe,nouns,0.45
1502,screenwriter,télévision,nouns,1.12
1503,keep,retenir,verbs,5.03
1504,deck,souris,nouns,0.05
1505,believe,savoir,verbs,2.55
1506,pursue,enquêter,verbs,2.29
1507,imitate,représenter,verbs,2.41
1508,meet,saluer,verbs,2.21
1509,elect,rejeter,verbs,0.55
1510,hurt,taquiner,verbs,1.36
1511,passion,émotion,nouns,3.21
1512,corner,surface,nouns,0.86
1513,friendly,improbable,adverbs,0.0
1514,pure,modeste,adjectives,1.07
1515,door,présence,nouns,0.15
1516,creator,fabricant,nouns,5.32
1517,blood,virus,nouns,1.36
1518,chase,attraper,verbs,1.12
1519,legion,armée,nouns,3.42
1520,hut,cabine,nouns,2.33
1521,elastic,flexible,adjectives,4.28
1522,tail,bol,nouns,0.05
1523,fault,système,nouns,0.32
1524,bowl,assiette,nouns,2.22
1525,strength,aptitude,nouns,2.85
1526,legal,sûr,adjectives,1.44
1527,entropy,information,nouns,1.29
1528,tree,bateau,nouns,0.2
1529,throne,épée,nouns,0.57
1530,deck,sol,nouns,2.34
1531,emotion,passion,nouns,3.21
1532,tin,aluminium,nouns,2.15
1533,screen,phonologie,nouns,0.05
1534,exit,porte,nouns,2.8
1535,white,étroit,adjectives,0.05
1536,event,collecte de fonds,nouns,1.79
1537,dumb,rare,adjectives,0.15
1538,lose,soustraire,verbs,2.26
1539,cannon,pistolet,nouns,2.67
1540,prejudice,chauvin,nouns,0.75
1541,grow,développer,verbs,4.75
1542,differently,curieusement,adverbs,1.89
1543,dive,créer,verbs,0.1
1544,instructor,enseignant,nouns,5.27
1545,quickly,instamment,adverbs,3.86
1546,cellar,porte,nouns,0.64
1547,christian,protestant,nouns,3.28
1548,cliff,queue,nouns,0.05
