ID,FIN,SPA,PoS,score
712,gini,whisky,nouns,1.35
713,ujo,costoso,adjectives,0.2
714,tarkalleen,exactamente,adverbs,5.2
715,syvästi,significativamente,adverbs,1.75
716,mennä,enviar,verbs,0.45
717,purkki,vaso,nouns,2.65
718,yksinkertainen,fácil,adjectives,4.55
719,janoinen,hambriento,adjectives,1.15
720,tarpeeton,necesario,adjectives,0.3
721,baari,cárcel,nouns,0.2
722,aineeton,espiritual,adjectives,2.85
723,pallo,disfraz,nouns,0.1
724,optimistisesti,posiblemente,adverbs,1.2
725,tulivuori,magma,nouns,1.6
726,maito,jugo,nouns,1.05
727,omena,sol,nouns,0.25
728,kaatua,herir,verbs,0.9
729,tarina,libro,nouns,1.3
730,yksinkertaisesti,aparentemente,adverbs,0.35
731,aritmetiikka,ritmo,nouns,0.55
732,sikari,caja,nouns,0.5
733,kieli,garganta,nouns,1.35
734,painaa,lanzar,verbs,0.1
735,puhelin,cabina,nouns,0.6
736,ennustaa,determinar,verbs,1.1
737,humalainen,sobrio,adjectives,0.3
738,miekka,ambiente,nouns,0.05
739,ajatella,tratar,verbs,0.5
740,voittaa,tener éxito,verbs,3.2
741,omituisesti,diferentemente,adverbs,1.9
742,yhdistelmä,unión,nouns,3.95
743,ilmeisesti,simplemente,adverbs,0.35
744,iloinen,enfadado,adjectives,0.15
745,siemen,molino,nouns,0.9
746,puu,arce,nouns,3.6
747,peitto,madera,nouns,0.05
748,professori,estudiante,nouns,0.75
749,luova,innovador,adjectives,4.95
750,ilmoittaa,reconocer,verbs,1.3
751,opettaa,educar,verbs,4.65
752,auringonnousu,puesta de sol,nouns,0.9
753,siepata,robar,verbs,1.95
754,sirut,cursor,nouns,0.0
755,sekoittaa,cocinar,verbs,0.7
756,välittömästi,pronto,adverbs,3.95
757,kartio,vaso,nouns,0.65
758,lukea,comprender,verbs,1.25
759,vaimo,cañita,nouns,0.15
760,ladata,despreciar,verbs,0.3
761,häiritä,molestar,verbs,3.55
762,käyrä,ángulo,nouns,1.7
763,lukukausi,término,nouns,0.85
764,kohta,carta,nouns,0.45
765,kukka,creencia,nouns,0.05
766,voimallinen,débiles,adjectives,0.35
767,olla tunnustamatta,dar,verbs,0.05
768,kimppu,multitud,nouns,0.45
769,kerätä,sacudir,verbs,0.3
770,kana,arroz,nouns,0.55
771,hauskuus,juego,nouns,0.95
772,tietty,seguro,adjectives,2.85
773,mies,padre,nouns,2.3
774,pelästynyt,inseguro,adjectives,1.45
775,mies,sospechar,nouns,0.35
776,kutistua,crecer,verbs,0.3
777,katsella,observar,verbs,3.85
778,särkyvä,frígido,adjectives,0.2
779,kirjallinen muotokuva,actuación,nouns,0.5
780,uskoa,saber,verbs,1.3
781,lujasti,suavemente,adverbs,0.35
782,kriittisesti,esencialmente,adverbs,1.1
783,anteliaasti,nunca,adverbs,0.05
784,yö,capítulo,nouns,0.35
785,ase,cuchillo,nouns,2.3
786,kallio,mía,nouns,0.2
787,valmistaa,construir,verbs,3.0
788,vihata,criticar,verbs,1.0
789,penkki,silla,nouns,3.65
790,kasvaa,encoger,verbs,0.3
791,affiksi,sufijo,nouns,2.45
792,sulaa,disolver,verbs,2.95
793,pelästynyt,nervioso,adjectives,2.05
794,lisätä,multiplicar,verbs,1.4
795,sekunti,minuto,nouns,2.35
796,liha,sangre,nouns,0.75
797,valinta,capítulo,nouns,0.35
798,teoreema,teoría,nouns,3.55
799,linssi,cámara,nouns,1.95
800,temppu,tamaño,nouns,0.0
801,rauhallisesti,firmemente,adverbs,0.45
802,katto,techo,nouns,4.35
803,tekijä,creador,nouns,4.55
804,viestintä,conversacion,nouns,3.15
805,kirja,texto,nouns,2.6
806,hattu,capa,nouns,1.15
807,onnellinen,enojado,adjectives,0.3
808,kypsästi,rectamente,adverbs,0.75
809,selittää,discutir,verbs,1.4
810,sotilas,niño,nouns,0.8
811,tihkusade,lluvia,nouns,4.25
812,ruoho,musgo,nouns,1.75
813,kuume,enfermedad,nouns,2.35
814,kampanja,mono,nouns,0.05
815,tarina,tema,nouns,0.85
816,harvinainen,raro,adjectives,4.4
817,kaoottisesti,pacíficamente,adverbs,0.25
818,kehys,golpear,nouns,0.15
819,pää,nariz,nouns,1.1
820,syntaksi,palabra principal,nouns,1.0
821,avain,corona,nouns,0.1
822,aamunkoitto,noche,nouns,0.8
823,sopimus,discusión,nouns,0.8
824,kuu,planeta,nouns,1.75
825,tukki,madera,nouns,3.5
826,kova,fácil,adjectives,0.3
827,syyttäjä,abogado,nouns,2.75
828,kuunnella,aprender,verbs,0.8
829,naudanliha,carne,nouns,3.65
830,luoda,dibujar,verbs,1.65
831,ruokalista,orden,nouns,0.55
832,vuosisata,espíritu,nouns,0.05
833,haukka,pájaro,nouns,2.75
834,jättää,deambular,verbs,0.65
835,putki,cigarro,nouns,0.3
836,hallittu,sucio,adjectives,0.25
837,neuroosi,mente,nouns,1.1
838,ennakkoluulo,chauvinista,nouns,1.2
839,galaksi,astrónomo,nouns,1.15
840,valtaistuin,espada,nouns,0.25
841,huippu,quinto,adjectives,0.1
842,vektori,matriz,nouns,1.6
843,painava,grande,adjectives,1.0
844,henki,dios,nouns,1.85
845,tuoda,quejar,verbs,0.0
846,terminaalisesti,diferentemente,adverbs,0.1
847,kuuluisuus,riqueza,nouns,1.15
848,uida,reunirse,verbs,0.0
849,äiti,amigo,nouns,0.7
850,koko,magnitud,nouns,5.4
851,nuori,inquieto,adjectives,0.2
852,muuttaa,cambiar,verbs,3.8
853,sonetti,belleza,nouns,0.35
854,ase,amanecer,nouns,0.0
855,korkeakoulu,profesión,nouns,0.7
856,tulla johtopäätökseen,decidir,verbs,3.15
857,itkeä,reír,verbs,0.3
858,tietää,comprender,verbs,3.2
859,ilmapallo,gente,nouns,0.25
860,alusvaatteet,cuerpo,nouns,0.45
861,kirja,accidente,nouns,0.1
862,kilpailla,terminar,verbs,0.3
863,puutteenalainen,impotente,adjectives,0.95
864,lannistaa,enfadar,verbs,0.6
865,käteinen,dinero,nouns,3.85
866,nainen,hombre,nouns,1.2
867,viesti,pago,nouns,0.35
868,fiksu,tonto,adjectives,0.3
869,leikkiä,lucha,verbs,0.5
870,sheriffi,policía,nouns,3.6
871,elefantti,dinosaurio,nouns,1.2
872,sankari,heroína,nouns,3.4
873,muodollinen,apropiado,adjectives,2.75
874,antaa anteeksi,olvidar,verbs,1.5
875,maali,búsqueda,nouns,0.7
876,ilmapallo,bañera,nouns,0.1
877,infektio,dolencia,nouns,2.75
878,henkilökohtainen,íntimo,adjectives,4.65
879,jalkaterä,mano,nouns,1.25
880,kadota,desaparecer,verbs,5.3
881,väitellä,discutir,verbs,3.95
882,vauva,hija,nouns,2.5
883,salaa,con confianza,adverbs,0.6
884,pensas,flor,nouns,2.15
885,kellari,puerta,nouns,0.35
886,mansikka,cereza,nouns,1.4
887,muoti,estilo,nouns,3.75
888,vedota,pedir,verbs,0.5
889,pysähtyä,conducir,verbs,0.4
890,siemailla,tragar,verbs,1.85
891,hysteria,confusión,nouns,1.65
892,mielekkäästi,profundamente,adverbs,1.75
893,suola,agua,nouns,0.3
894,hurrikaani,tormenta,nouns,3.3
895,täydellisesti,verdaderamente,adverbs,1.6
896,varoittaa,detener,verbs,0.45
897,halata,abrazar,verbs,4.65
898,päättää,retratar,verbs,0.5
899,muodoton,amorfo,adjectives,2.85
900,anoa,pedir,verbs,2.6
901,sotilas,paz,nouns,0.25
902,aikoa,intentar,verbs,2.7
903,mukavuus,seguridad,nouns,1.4
904,patsas,escultura,nouns,5.35
905,minttu,museo,nouns,0.0
906,selventää,definir,verbs,3.45
907,ase,truco,nouns,0.1
908,pohjoinen,sur,nouns,0.85
909,tiedustella,buscar,verbs,1.65
910,neste,boquilla,nouns,0.25
911,vastapäinen,otro,adjectives,0.7
912,kokoontua,asistir,verbs,1.45
913,häkki,bar,nouns,0.15
914,ikkuna,techo,nouns,0.65
915,taistella,discrepar,verbs,1.05
916,tuhota,crear,verbs,0.25
917,tohtori,ortodoncista,nouns,2.1
918,opiskelija,profesor,nouns,0.85
919,syyllinen,malo,adjectives,1.2
920,raaka,grosero,adjectives,1.2
921,kärsimättömästi,aproximadamente,adverbs,0.4
922,onnistua,tratar,verbs,0.7
923,heppu,amigo,nouns,1.35
924,kohta,página,nouns,1.05
925,loukata,molestia,verbs,1.3
926,harvinainen,exótico,adjectives,4.35
927,joustava,móvil,adjectives,1.55
928,käsittää,satisfacer,verbs,0.4
929,operaatio,álgebra,nouns,0.8
930,lihas,hueso,nouns,0.7
931,ase,cuaderno,nouns,0.05
932,tuhoeläin,pesticida,nouns,0.55
933,ilmailu,vuelo,nouns,2.4
934,lisko,cocodrilo,nouns,2.85
935,lähettää,ir,verbs,0.45
936,pyrkiä,ejecutar,verbs,0.35
937,johto,cable,nouns,3.05
938,ranta,isla,nouns,1.4
939,älykkyys,lógica,nouns,3.05
940,sensori,radiador,nouns,0.65
941,hermostuneesti,ansiosamente,adverbs,3.85
942,suorittaa loppuun,resolver,verbs,3.1
943,laulusolisti,personal,nouns,0.25
944,kysyä,mendigar,verbs,2.6
945,yleensä,raramente,adverbs,0.25
946,häpeissään oleva,culpable,adjectives,1.35
947,lento,aviación,nouns,2.4
948,pikkuruinen,enorme,adjectives,0.3
949,ennuste,nublado,nouns,1.0
950,presidentti,contaminación,nouns,0.25
951,merkittävästi,seriamente,adverbs,1.0
952,pilli,tarea,nouns,0.05
953,keksi,princesa,nouns,0.0
954,aita,saltando,nouns,0.3
955,lykätä,terminar,verbs,0.45
956,laukaista,enviar,verbs,2.3
957,kummallinen,astuto,adjectives,0.35
958,odottaa,salir,verbs,0.35
959,valmistaa,crear,verbs,4.0
960,paikantaa,encontrar,verbs,5.0
961,ovi,bodega,nouns,0.35
962,epäkypsä,crecido,adjectives,0.45
963,kristalli,vaso,nouns,2.2
964,hengittää,ahogarse,verbs,0.5
965,villapaita,algodón,nouns,0.85
966,vyötärö,comida,nouns,0.3
967,puumateriaali,papel,nouns,1.25
968,yhdistetty,mezclado,adjectives,2.35
969,antaa lainaksi,dar,verbs,2.05
970,tiedustella,pensar,verbs,0.65
971,moottori,pistón,nouns,1.95
972,lautanen,cuenco,nouns,2.4
973,mieto,agudo,adjectives,0.25
974,selventää,explicar,verbs,4.55
975,peli,divertido,nouns,0.95
976,valehdella,acusar,verbs,0.3
977,tuonpuoleinen,purgatorio,nouns,2.1
978,liueta,derretir,verbs,2.95
979,houkkamainen,tonto,adjectives,1.65
980,ottaa,recibir,verbs,2.35
981,rytmi,cadencia,nouns,2.05
982,keilaaja,bolos,nouns,1.95
983,vihata,despreciar,verbs,3.7
984,kaataa,gotear,verbs,1.3
985,häpeissään oleva,suerte,adjectives,0.05
986,sanakirja,enciclopedia,nouns,2.85
987,polvi,hueso,nouns,1.1
988,prinssikunta,ducado,nouns,2.45
989,hallita,detener,verbs,0.65
990,hermo,cerebro,nouns,1.45
991,varallisuus,fama,nouns,1.15
992,kitara,trucha,nouns,0.0
993,tavallinen,mundano,adjectives,4.2
994,luku,número,nouns,5.0
995,henkilö,personaje,nouns,3.25
996,merenranta,playa,nouns,3.0
997,antelias,bonito,adjectives,0.35
998,symboli,código,nouns,2.45
999,hitti,marco,nouns,0.15
1000,neuvoa,recomendar,verbs,3.95
1001,kissa,león,nouns,1.8
1002,torjunta-aine,parásito,nouns,0.55
1003,numero,dígito,nouns,5.0
1004,sivu,palabra,nouns,0.4
1005,huokea,barato,adjectives,5.0
1006,lukko,llave,nouns,1.65
1007,rotu,fin de semana,nouns,0.0
1008,niellä,beber,verbs,2.2
1009,konsepti,creencia,nouns,1.6
1010,kova,difícil,adjectives,2.6
1011,myöntyä,discutir,verbs,0.45
1012,veistos,estatua,nouns,5.35
1013,veri,cuerpo,nouns,0.7
1014,mukavasti,amablemente,adverbs,1.6
1015,kerätä,organizar,verbs,1.2
1016,säveltäjä,escritor,nouns,1.9
1017,silkkitoukka,oruga,nouns,3.35
1018,laaja,estrecho,adjectives,0.25
1019,epätodennäköisesti,simpático,adverbs,0.0
1020,eläin,persona,nouns,0.4
1021,ujo,asustado,adjectives,1.6
1022,makuuhuone,cama,nouns,1.05
1023,filmi,película,nouns,5.45
1024,epäröivä,colérico,adjectives,0.75
1025,kunnioitus,honor,nouns,2.25
1026,kamera,lente,nouns,1.95
1027,kuolettavasti,felizmente,adverbs,0.05
1028,sivuuttaa,evitar,verbs,3.4
1029,tuhota,construir,verbs,0.3
1030,mainitsematon,extramatrimonial,adjectives,0.15
1031,essee,tarea,nouns,2.65
1032,kortti,puente,nouns,0.0
1033,entropia,información,nouns,0.5
1034,edellyttää,preguntar,verbs,1.15
1035,tänä iltana,hoy,adverbs,2.9
1036,luuta,polvo,nouns,0.8
1037,lohduttaa,humillar,verbs,0.0
1038,infektio,enfermedad,nouns,3.1
1039,totella,castigar,verbs,0.7
1040,vitamiini,plancha,nouns,0.7
1041,köyhä,solitario,adjectives,0.35
1042,kieli,mejilla,nouns,0.95
1043,tutkia,perseguir,verbs,0.95
1044,tietokone,máquina,nouns,3.55
1045,ystävä,compañero,nouns,4.5
1046,tuomari,corte,nouns,1.1
1047,mestari,ganador,nouns,4.05
1048,salaatti,vinagre,nouns,0.75
1049,ruma,sucio,adjectives,0.7
1050,suuruus,tamaño,nouns,5.4
1051,taivas,sueño,nouns,0.3
1052,tavallinen,frío,adjectives,0.05
1053,tyyli,moda,nouns,3.75
1054,päivä,noche,nouns,1.1
1055,valita,decidir,verbs,3.4
1056,hanska,pelota,nouns,0.65
1057,pettää,hacer trampas,verbs,4.2
1058,lapsi,niña,nouns,2.95
1059,rabbi,ministro,nouns,0.8
1060,palauttaa,reemplazar,verbs,1.75
1061,anarkia,caos,nouns,3.55
1062,sivuuttaa,olvidar,verbs,2.15
1063,halata,ahogar,verbs,0.6
1064,lukija,autor,nouns,0.95
1065,totella,escuchar,verbs,0.85
1066,ooppera,cine,nouns,1.45
1067,artikkeli,manuscrito,nouns,1.9
1068,nenä,cabeza,nouns,1.1
1069,kemia,teoría,nouns,0.65
1070,tyhmä,listo,adjectives,0.3
1071,nainen,esposa,nouns,2.85
1072,hoikka,estrecho,adjectives,3.7
1073,tiili,pared,nouns,1.05
1074,farkut,mujer,nouns,0.15
1075,huoltaja,adulto,nouns,1.85
1076,säilytysastia,botella,nouns,2.3
1077,ruoka,programa,nouns,0.05
1078,saada kiinni,recibir,verbs,0.65
1079,talo,apartamento,nouns,3.8
1080,kukka,arbusto,nouns,2.15
1081,suojella,ayuda,verbs,1.65
1082,laskimo,estómago,nouns,0.7
1083,sisäkatto,tejado,nouns,4.35
1084,putka,bar,nouns,0.2
1085,ulospäinsuuntautunut,bonito,adjectives,0.6
1086,rauhanomaisesti,tranquilamente,adverbs,3.95
1087,liueta,mezclar,verbs,1.6
1088,runo,ritmo,nouns,0.8
1089,kuvata,pretender,verbs,0.65
1090,ilta,puesta de sol,nouns,1.55
1091,suffiksi,afijo,nouns,2.45
1092,dominoida,superar,verbs,2.45
1093,veli,padre,nouns,1.0
1094,tehtävä,mujer,nouns,0.1
1095,asianmukainen,cortés,adjectives,2.45
1096,oppilas,presidente,nouns,0.3
1097,vaatteet,paño,nouns,1.35
1098,rauhallinen,neutral,adjectives,1.0
1099,jättää,entrar,verbs,0.05
1100,tiukasti,increíblemente,adverbs,0.1
1101,vakuuttaa,discutir,verbs,0.95
1102,luvata,jurar,verbs,5.05
1103,lentokenttä,pieza,nouns,0.0
1104,vaatteet,cajón,nouns,0.75
1105,mahtava,brillante,adjectives,3.85
1106,lattia,techo,nouns,0.95
1107,liittyä,casarse,verbs,1.75
1108,tahto,intención,nouns,1.45
1109,kahvi,frijol,nouns,0.4
1110,alkoholi,vino,nouns,2.2
1111,hematologia,patología,nouns,1.7
1112,etelä,norte,nouns,0.85
1113,keraaminen esine,cerámica,nouns,4.3
1114,kuvata,notificar,verbs,0.45
1115,tappaa,colgar,verbs,0.25
1116,kaivos,rock,nouns,0.2
1117,kappeli,cable,nouns,0.0
1118,paikallisesti,obviamente,adverbs,0.0
1119,naudanliha,ganado,nouns,3.15
1120,näytös,matemático,nouns,0.05
1121,hautaaminen,muerte,nouns,1.35
1122,kiistellä,quejarse,verbs,2.0
1123,tunnettu,nacional,adjectives,0.45
1124,raha,efectivo,nouns,3.85
1125,keidas,libertad,nouns,0.1
1126,kaura,campo,nouns,0.7
1127,melodia,música,nouns,3.25
1128,oppia,escuchar,verbs,0.8
1129,hauska,triste,adjectives,0.25
1130,vakava,gracioso,adjectives,0.25
1131,luu,brazo,nouns,1.15
1132,pari,pareja,nouns,4.75
1133,suuresti,brillantemente,adverbs,0.55
1134,sileä,agudo,adjectives,0.4
1135,profeetta,sacerdote,nouns,1.25
1136,poliisi,político,nouns,0.55
1137,uusi,fresco,adjectives,4.3
1138,rakentaminen,destrucción,nouns,0.35
1139,täsmällinen,incorrecto,adjectives,0.1
1140,musiikki,melodía,nouns,3.25
1141,ajatella,preguntar,verbs,0.65
1142,ulospäinsuuntautunut,entrante,adjectives,0.25
1143,ikuisuus,cero,nouns,0.4
1144,imeä itseensä,retirar,verbs,0.45
1145,todennäköisesti,afirmativamente,adverbs,0.85
1146,lainata,dar,verbs,1.4
1147,mennä,viajar,verbs,3.1
1148,katto,piso,nouns,0.95
1149,ovela,inteligente,adjectives,4.45
1150,sateenvarjo,calentador,nouns,0.15
1151,kypsentää,perder,verbs,0.05
1152,sade,granizo,nouns,2.05
1153,palvelustyttö,ayudante,nouns,2.2
1154,kapea,blanco,adjectives,0.0
1155,vastaanottaa,dar,verbs,0.4
1156,sydän,cirugía,nouns,0.8
1157,mekaaninen,eléctrico,adjectives,1.15
1158,juoda,aumentar,verbs,0.0
1159,ase,piel,nouns,0.05
1160,ylpeä,triste,adjectives,0.05
1161,halata,exprimir,verbs,1.2
1162,etsiä,encontrar,verbs,1.55
1163,ase,gente,nouns,0.05
1164,isä,madre,nouns,2.0
1165,epäilty,hombre,nouns,0.35
1166,tilastotiede,tenis,nouns,0.25
1167,äiti,esposa,nouns,1.9
1168,leikkuupuimuri,caña de azúcar,nouns,0.3
1169,moittia,juzgar,verbs,3.1
1170,lämmitin,paraguas,nouns,0.15
1171,ymmärtää,saber,verbs,3.25
1172,etsiä,cazar,verbs,1.85
1173,työntekijä,empleador,nouns,1.0
1174,seinä,ladrillo,nouns,1.05
1175,kirjailija,novela,nouns,1.0
1176,järkyttää,herir,verbs,1.0
1177,senaatti,constitución,nouns,1.0
1178,kriittinen,grosero,adjectives,0.8
1179,tammi,arce,nouns,1.55
1180,kuvata,decidir,verbs,0.5
1181,tehdä tutkimusmatka,ignorar,verbs,0.1
1182,kana,filete,nouns,1.55
1183,asianajaja,licenciado en derecho,nouns,4.75
1184,diplomatia,negociación,nouns,2.4
1185,tanssi,vestir,nouns,0.25
1186,vankila,elección,nouns,0.15
1187,negatiivinen,nunca,adjectives,1.25
1188,osua,atraer,verbs,0.05
1189,usva,lluvia,nouns,1.3
1190,keittiö,baño,nouns,0.95
1191,ihmiset,centavo,nouns,0.1
1192,ihailla,adorar,verbs,4.15
1193,syyllinen,avergonzado,adjectives,1.35
1194,jäytää,vestir,verbs,0.0
1195,taivas,universo,nouns,1.0
1196,ajatella,recuerda,verbs,1.35
1197,peittelemätön,no revelado,adjectives,0.1
1198,salamahyökkäys,ataque,nouns,3.4
1199,perustuslaki,senado,nouns,1.0
1200,väsynyt,aburrido,adjectives,1.2
1201,luu,tobillo,nouns,1.35
1202,aalto,clima,nouns,0.4
1203,siirrellä,montar,verbs,0.75
1204,epäkypsä,irresponsable,adjectives,2.7
1205,tulla,traer,verbs,1.0
1206,kello,torre,nouns,1.1
1207,kritisoida,observar,verbs,1.8
1208,todiste,hecho,nouns,2.75
1209,kiistellä,asistir,verbs,0.25
1210,hävittää,aplastar,verbs,2.25
1211,voittaja,campeón,nouns,4.05
1212,antaa,negar,verbs,0.05
1213,haittaohjelma,gusano,nouns,1.6
1214,esteettömyys,libertad,nouns,1.65
1215,sekoittaa,beber,verbs,0.3
1216,kapea,largo,adjectives,0.5
1217,kulho,plato,nouns,2.4
1218,aivoriihi,telescopio,nouns,0.0
1219,auto,taxi,nouns,3.5
1220,varastaa,comprar,verbs,0.4
1221,illuusio,realidad,nouns,0.3
1222,raekuuro,lluvia,nouns,2.05
1223,päivä ,amanecer,nouns,2.35
1224,luovasti,originalmente,adverbs,1.4
1225,keskustelu,comunicación,nouns,3.15
1226,velho,cable,nouns,0.0
1227,vuosisata,década,nouns,1.05
1228,mausteinen,débiles,adjectives,0.0
1229,setä,prima,nouns,1.15
1230,tohtori,médico,nouns,5.2
1231,tukehtua,respirar,verbs,0.5
1232,letku,jardín,nouns,0.5
1233,nälkäinen,sediento,adjectives,1.15
1234,organisoida,volverse,verbs,0.1
1235,alkoholi,cóctel,nouns,2.35
1236,lyödä,mezclar,verbs,0.0
1237,säilytysastia,vagón,nouns,0.1
1238,uskonto,materialista,nouns,0.35
1239,havaintokyky,visión,nouns,3.85
1240,kevät,géiser,nouns,0.3
1241,kulho,cola,nouns,0.1
1242,pyörä,piel,nouns,0.2
1243,vaahtera,árbol,nouns,3.6
1244,kuorma-auto,paquete,nouns,0.35
1245,moottori,máquina,nouns,2.9
1246,katastrofi,accidente,nouns,3.85
1247,korvaus,nota,nouns,0.35
1248,rentoutunut,estresado,adjectives,0.3
1249,kokous,reunión,nouns,4.65
1250,kiireinen,perezoso,adjectives,0.3
1251,nilkka,hueso,nouns,1.35
1252,käsivarsi,muñeca,nouns,1.6
1253,vastaanottaa,captura,verbs,0.65
1254,sohva,silla,nouns,2.45
1255,kuja,calle,nouns,3.95
1256,vastuuton,inmaduro,adjectives,2.7
1257,sänky,mueble,nouns,1.75
1258,ylpeästi,humildemente,adverbs,0.25
1259,mutantti,sociobiología,nouns,0.2
1260,kokoontua,reunirse,verbs,3.3
1261,atomi,carbón,nouns,1.35
1262,pitää,proteger,verbs,1.25
1263,mahtava,malo,adjectives,0.1
1264,symboli,criptograma,nouns,2.25
1265,pää,pie,nouns,0.85
1266,muinainen,moderno,adjectives,0.3
1267,ympäristö,espada,nouns,0.05
1268,alkoholi,whisky,nouns,2.25
1269,keskustella,explicar,verbs,1.4
1270,kuolla,enterrar,verbs,1.05
1271,huolellisesti,cautelosamente,adverbs,4.05
1272,niukasti,completamente,adverbs,0.15
1273,osavaltio,casa,nouns,0.15
1274,lainata,desear,verbs,0.9
1275,sääntö,convención,nouns,2.25
1276,leipä,queso,nouns,0.85
1277,ihmeellinen,encantador,adjectives,2.55
1278,onnellinen,enfadado,adjectives,0.3
1279,tennis,estadística,nouns,0.25
1280,vastapäinen,único,adjectives,0.75
1281,laiton,inmoral,adjectives,1.55
1282,erottaa,salir,verbs,0.35
1283,raivo,enfado,nouns,4.35
1284,opettaja,estudiante,nouns,0.85
1285,vapauttaa,captura,verbs,0.4
1286,olennaisesti,necesariamente,adverbs,3.3
1287,eri tavalla,terminalmente,adverbs,0.1
1288,liittää,unirse,verbs,3.05
1289,käsivarsi,hombro,nouns,1.35
1290,pikainen,veloz,adjectives,5.4
1291,vahvasti,oficialmente,adverbs,0.25
1292,silta,tarjeta,nouns,0.0
1293,tukahduttaa,abrumar,verbs,1.9
1294,laatikko,fuente,nouns,0.1
1295,totella,comportarse,verbs,2.7
1296,kirja,información,nouns,1.0
1297,moraali,leyenda,nouns,0.3
1298,voittaa,dominar,verbs,1.8
1299,rehellisesti,nunca,adverbs,0.1
1300,torjua,condenar,verbs,1.75
1301,todistaa,explicar,verbs,2.25
1302,aamiainen,cena,nouns,1.45
1303,auringonpaiste,manzana,nouns,0.25
1304,kirja,artículo,nouns,1.3
1305,vastuullisesti,independientemente,adverbs,1.05
1306,tavoitella,investigar,verbs,0.95
1307,omena,jugo,nouns,0.85
1308,luoda,imaginar,verbs,1.15
1309,monokulttuuri,agricultura,nouns,0.8
1310,edistää,avanzar,verbs,2.25
1311,haalistua,erosionar,verbs,0.55
1312,ilmoittaa,retratar,verbs,0.45
1313,palmu,dedo,nouns,0.35
1314,kovakouraisesti,obviamente,adverbs,0.4
1315,ei koskaan,generosamente,adverbs,0.05
1316,kiillottaa,informar,verbs,0.0
1317,kuorsata,despierto,verbs,0.25
1318,dinosaurus,elefante,nouns,1.2
1319,turvautua,fallar,verbs,0.2
1320,iltahämärä,noche,nouns,3.1
1321,ilmiselvästi,aproximadamente,adverbs,0.4
1322,hyväksyä,entregar,verbs,0.2
1323,vastaanottaa,tomar,verbs,2.35
1324,hame,reloj,nouns,0.15
1325,tulla,parecer,verbs,0.4
1326,uskalias,orgulloso,adjectives,0.25
1327,supistaa,empapar,verbs,0.0
1328,rajoittaa,reducir,verbs,2.85
1329,viisumi,globalismo,nouns,0.65
1330,petos,delito,nouns,3.3
1331,säännöllisesti,ocasionalmente,adverbs,1.05
1332,syntymäpäivä,cita,nouns,1.75
1333,töykeä,crítico,adjectives,0.8
1334,olkapää,cabeza,nouns,1.2
1335,viehättää,golpear,verbs,0.05
1336,vastustaja,adversario,nouns,4.3
1337,puumateriaali,manta,nouns,0.05
1338,välttämätön,importante,adjectives,4.35
1339,kiistellä,justificar,verbs,0.85
1340,runsaus,abundancia,nouns,5.1
1341,ilta,oscuridad,nouns,3.1
1342,juhla,gente,nouns,0.7
1343,laatikko,ascensor,nouns,0.15
1344,saavuttaa,tener éxito,verbs,4.15
1345,korvaaminen,intercambio,nouns,3.65
1346,ovi,presencia,nouns,0.3
1347,sekoittaa,disolver,verbs,1.6
1348,ottaa osaa,decir,verbs,0.85
1349,vapaus,oasis,nouns,0.1
1350,elämäkerta,ficción,nouns,0.85
1351,päättää,juzgar,verbs,2.25
1352,väkivaltainen,suave,adjectives,0.2
1353,paraati,multitud,nouns,1.9
1354,ymmärtää,perdonar,verbs,1.05
1355,liiketoiminta,sociedad,nouns,2.2
1356,stressaantunut,relajado,adjectives,0.3
1357,uskoa,sentir,verbs,1.85
1358,noppa,cubo,nouns,3.35
1359,keskinkertainen,aburrido,adjectives,0.9
1360,omena,limón,nouns,1.05
1361,oppia,absorber,verbs,1.85
1362,vatsa,cintura,nouns,2.0
1363,kävellä,estar,verbs,0.45
1364,teoria,hipótesis,nouns,3.9
1365,pysähtyä,silbar,verbs,0.3
1366,yhteiskunta,cultura,nouns,2.05
1367,lonkka,labio,nouns,0.9
1368,tappaa,ahogarse,verbs,0.95
1369,jättää,permanecer,verbs,0.6
1370,kirkontorni,capilla,nouns,1.35
1371,osallistua,ven,verbs,1.6
1372,kylpy,globo,nouns,0.1
1373,vapauttaa,presionar,verbs,0.1
1374,taistella,matar,verbs,1.0
1375,pyhimys,pecador,nouns,0.2
1376,lakimies,fiscal,nouns,2.75
1377,homofoni,fotófono,nouns,0.4
1378,luuri,víctima,nouns,0.0
1379,tausta,papel pintado,nouns,1.6
1380,tarkkailla,mirar,verbs,3.85
1381,miellyttää,alegar,verbs,0.6
1382,lainmukainen,ilegal,adjectives,0.3
1383,pesäpallo,fraternidad,nouns,0.15
1384,presidentti,cámara,nouns,0.45
1385,sänky,habitación,nouns,1.05
1386,televisio,actor,nouns,0.6
1387,hermo,cuerpo,nouns,0.75
1388,sonni,becerro,nouns,2.3
1389,tuomioistuin,justicia,nouns,2.05
1390,kurkku,nariz,nouns,1.0
1391,vihollinen,oponente,nouns,4.3
1392,fiksu,inteligente,adjectives,5.45
1393,aukko,brecha,nouns,3.35
1394,tapahtuma,recaudación de fondos,nouns,2.45
1395,rakenne,topología,nouns,2.0
1396,lentokenttä,avión,nouns,1.2
1397,kuuluttaa,declarar,verbs,4.25
1398,hohtaa,brillar,verbs,4.55
1399,vaimo,mujer,nouns,2.85
1400,kypsentää,freír,verbs,3.3
1401,joskus,uniformemente,adverbs,0.15
