ID,ENG,YUE,PoS,score
807,remember,想,verbs,0.47
808,television,溝通,nouns,0.23
809,task,工作,nouns,3.78
810,shrink,消失,verbs,0.91
811,mist,雲,nouns,2.61
812,fee,付款,nouns,3.15
813,split,分離,verbs,2.75
814,organ,肝臟,nouns,2.21
815,monk,神職人員,nouns,3.25
816,blame,指控,verbs,3.49
817,smother,燒傷,verbs,0.23
818,worm,惡意軟件,nouns,0.16
819,jar,瓶子,nouns,3.38
820,danger,疾病,nouns,0.52
821,father,家長,nouns,3.08
822,dentist,上校,nouns,0.08
823,sure,自信,adjectives,4.5
824,scientist,護士,nouns,0.16
825,happily,死氣沈沈的,adverbs,0.04
826,threat,危險,nouns,4.52
827,sadly,感情上,adverbs,1.25
828,visa,全球化,nouns,0.37
829,rinse,洗,verbs,3.88
830,dust,掃帚,nouns,0.57
831,dance,裙,nouns,0.0
832,rude,好鬥,adjectives,0.9
833,multiply,加,verbs,0.75
834,listen,聽見,verbs,4.12
835,proud,堅強,adjectives,0.49
836,proclaim,宣告,verbs,4.75
837,hymn,稻草,nouns,0.18
838,blanket,木,nouns,0.0
839,bed,毯子,nouns,0.4
840,population,人,nouns,2.77
841,judge,法庭,nouns,0.96
842,princess,島,nouns,0.0
843,nepotism,國王,nouns,0.2
844,car,單車,nouns,1.12
845,meet,打招呼,verbs,1.37
846,flexible,活動,adjectives,2.91
847,insight,智力,nouns,2.46
848,ocean,海,nouns,5.35
849,agree,不同,verbs,0.08
850,soccer,足球,nouns,5.36
851,impossible,可行,adjectives,0.13
852,paper,木,nouns,0.69
853,paper,硬紙板,nouns,2.62
854,criticize,討厭,verbs,0.62
855,lose,減去,verbs,2.39
856,game,戲法,nouns,0.52
857,advance,促進,verbs,1.65
858,never,誠實地,adverbs,0.0
859,level,得分,nouns,0.78
860,elegantly,美麗地,adverbs,3.39
861,laugh,哭,verbs,0.08
862,anger,懊惱,nouns,4.37
863,motel,小旅館,nouns,3.22
864,singer,合唱,nouns,1.05
865,sociobiology,突變體,nouns,0.14
866,cook,失去,verbs,0.04
867,banker,律師,nouns,1.14
868,mathematician,節目,nouns,0.04
869,field,燕麥,nouns,0.41
870,confidence,自己,nouns,0.78
871,calmly,安然,adverbs,3.79
872,woman,牛仔褲,nouns,0.09
873,task,稻草,nouns,0.0
874,vampire,蝙蝠,nouns,0.77
875,plane,直升機,nouns,1.95
876,discuss,說明,verbs,1.25
877,lawful,非法,adjectives,0.13
878,dignity,徽章,nouns,0.47
879,deliver,接受,verbs,0.0
880,become,出現,verbs,0.18
881,press,放開,verbs,0.09
882,hard,强硬,adjectives,3.46
883,kid,女兒,nouns,1.46
884,judge,作證,verbs,0.34
885,alley,碗,nouns,0.04
886,mustard,種子,nouns,0.89
887,limb,腿,nouns,2.3
888,daughter,孩子,nouns,1.46
889,inquire,想,verbs,0.59
890,son,哥哥,nouns,0.79
891,communication,電視,nouns,0.23
892,goal,赢家,nouns,0.33
893,sticky,濕,adjectives,1.04
894,collect,搖動,verbs,0.0
895,surely,明顯地,adverbs,3.84
896,island,海灘,nouns,0.91
897,drink,提高,verbs,0.0
898,examine,檢查,verbs,5.13
899,book,正文,nouns,1.66
900,cab,的士,nouns,5.85
901,after,之前,adverbs,0.08
902,coin,付款,nouns,0.89
903,wide,新鮮,adjectives,0.0
904,necessary,重要,adjectives,3.59
905,mansion,雕塑家,nouns,0.0
906,book,文學,nouns,2.77
907,flower,信念,nouns,0.12
908,day,晚上,nouns,0.29
909,tool,工作,nouns,0.21
910,hat,盒子,nouns,0.04
911,proud,貧窮,adjectives,0.0
912,acknowledge,說話,verbs,0.55
913,perspective,距離,nouns,0.96
914,biologist,顯微鏡,nouns,0.44
915,sandwich,午飯,nouns,1.34
916,brother,男孩,nouns,2.3
917,drive,停,verbs,0.04
918,known,國民,adjectives,0.0
919,inform,擦亮,verbs,0.0
920,spend,保存,verbs,0.04
921,polite,合乎體統,adjectives,3.17
922,apple,果汁,nouns,0.75
923,crazy,生病,adjectives,0.2
924,actively,準確地,adverbs,0.59
925,involve,包含,verbs,4.25
926,pencil,故事,nouns,0.0
927,belligerence,戰鬥,nouns,1.28
928,beat,混合,verbs,0.15
929,cabin,茅屋,nouns,3.33
930,agreement,洞,nouns,0.0
931,word,頁,nouns,0.55
932,disease,危險,nouns,0.52
933,participate,說,verbs,0.15
934,politician,警察,nouns,0.12
935,classroom,走廊,nouns,0.08
936,omnipotence,霸權,nouns,0.93
937,listen,明白,verbs,0.63
938,want,借,verbs,0.09
939,hip,嘴唇,nouns,0.13
940,hurt,攻擊,verbs,2.77
941,brother,靈魂,nouns,0.0
942,busy,懶,adjectives,0.09
943,compass,大象,nouns,0.04
944,regularly,偶然,adverbs,0.84
945,wisdom,智力,nouns,3.92
946,people,槍,nouns,0.28
947,naturally,悄悄地,adverbs,0.32
948,ignore,問,verbs,0.0
949,author,創造者,nouns,3.67
950,preheat,再熱,nouns,1.75
951,rapid,快,adjectives,5.49
952,queen,蜜蜂,nouns,0.34
953,breakfast,晚餐,nouns,1.42
954,give,知道,verbs,0.08
955,easy,生硬,adjectives,0.0
956,can,瓶子,nouns,1.83
957,imagine,創建,verbs,0.78
958,victor,男人,nouns,0.49
959,lizard,蛇,nouns,1.1
960,bird,母雞,nouns,1.31
961,star,行星,nouns,1.81
962,remainder,差數,nouns,3.13
963,bishop,穆斯林,nouns,0.24
964,class,混亂,nouns,0.0
965,corn,玉米,nouns,5.65
966,delta,海,nouns,0.59
967,blame,推,verbs,0.23
968,cube,玩具,nouns,0.09
969,roof,窗口,nouns,0.43
970,container,瓶子,nouns,2.63
971,buy,偷,verbs,0.12
972,night,白天,nouns,0.29
973,poor,孤獨,adjectives,0.04
974,drawer,衣服,nouns,0.38
975,emotionally,傷心地,adverbs,1.25
976,normally,日常,adverbs,2.9
977,originate,開始,verbs,3.75
978,father,哥哥,nouns,0.97
979,dawn,白天,nouns,2.43
980,capability,才能,nouns,4.31
981,bone,顎,nouns,1.23
982,currency,並行性,nouns,0.04
983,actor,女演員,nouns,3.62
984,strike,未打中,verbs,0.04
985,arrow,目標,nouns,0.69
986,vein,選擇,nouns,0.04
987,sharp,溫和,adjectives,0.0
988,bathroom,廚房,nouns,0.45
989,smart,醒目,adjectives,4.98
990,state,家,nouns,0.32
991,thumb,手,nouns,1.4
992,angry,暴力,adjectives,1.21
993,intuition,感覺,nouns,4.39
994,umbrella,品質,nouns,0.0
995,dictionary,定義,nouns,0.74
996,side,下面,nouns,0.37
997,routinely,一般,adverbs,4.44
998,uniform,未成形,adjectives,0.0
999,region,地區,nouns,4.63
1000,collect,组织,verbs,1.14
1001,censorship,自由,nouns,0.16
1002,pact,條件,nouns,1.12
1003,assault,加劇,verbs,0.47
1004,flee,逃走,verbs,4.98
1005,gut,神經,nouns,0.68
1006,juice,牛奶,nouns,0.58
1007,colt,馬,nouns,3.07
1008,win,成功,verbs,3.63
1009,tear,眼睛,nouns,0.4
1010,dawn,槍,nouns,0.0
1011,manager,領導,nouns,3.0
1012,seed,磨坊,nouns,0.25
1013,recently,最近,adverbs,5.2
1014,borrower,信用,nouns,0.29
1015,splash,粘性,nouns,0.15
1016,stamen,授粉,nouns,0.8
1017,think,決定,verbs,1.09
1018,operation,代數,nouns,0.35
1019,soldier,和平,nouns,0.04
1020,illegal,不道德,adjectives,2.28
1021,incoming,向外,adjectives,0.08
1022,baggage,環球航行,nouns,0.3
1023,clean,一塵不染,adjectives,5.19
1024,create,建立,verbs,3.75
1025,ignorance,智力,nouns,0.08
1026,opposite,其他,adjectives,0.36
1027,hand,指甲,nouns,0.6
1028,car,廠,nouns,0.0
1029,narrow,寬廣,adjectives,0.18
1030,verify,說,verbs,0.34
1031,cab,車,nouns,3.51
1032,stink,發出氣味,verbs,3.08
1033,monkey,参加競選,nouns,0.09
1034,immoral,非法,adjectives,2.28
1035,nail,頭,nouns,0.04
1036,gun,黎明,nouns,0.0
1037,archer,探路者,nouns,0.2
1038,vitamin,鐵,nouns,0.75
1039,accept,原諒,verbs,0.82
1040,insignia,尊嚴,nouns,0.47
1041,theory,假設,nouns,3.95
1042,apartment,酒店,nouns,1.38
1043,learn,評估,verbs,0.32
1044,frustration,憤怒,nouns,4.37
1045,cent,妻子,nouns,0.0
1046,noise,搖鈴,nouns,2.5
1047,steal,獲得,verbs,0.91
1048,theme,書,nouns,0.27
1049,boy,兒童,nouns,2.02
1050,actively,高高興興,adverbs,0.61
1051,dog,馬,nouns,0.8
1052,replacement,交換,nouns,3.54
1053,maize,玉米,nouns,5.65
1054,honest,內疚,adjectives,0.14
1055,cloud,天氣,nouns,0.74
1056,wife,母親,nouns,2.25
1057,trip,旅程,nouns,5.07
1058,nose,嘴巴,nouns,0.48
1059,rice,豆,nouns,0.66
1060,sculpture,雕像,nouns,4.69
1061,teacher,朋友,nouns,0.61
1062,refuse,謝絕,verbs,4.5
1063,confusion,歇斯底里,nouns,1.99
1064,capital,錢,nouns,3.41
1065,ask,唔睬,verbs,0.0
1066,nervous,害怕,adjectives,2.84
1067,agree,拗撬,verbs,0.04
1068,help,保護,verbs,2.17
1069,foolish,孩子氣,adjectives,2.27
1070,constitution,皇帝,nouns,0.26
1071,chief,市長,nouns,2.29
1072,depend,依靠,verbs,4.89
1073,keep,保護,verbs,0.78
1074,determine,撤離,verbs,0.0
1075,keyboard,光,nouns,0.09
1076,fairly,不公平,adverbs,0.08
1077,matrix,向量,nouns,1.27
1078,purse,袋,nouns,2.94
1079,heater,遮,nouns,0.04
1080,beast,動物,nouns,3.73
1081,blade,草,nouns,0.34
1082,blitz,攻擊,nouns,3.04
1083,chemistry,理論,nouns,0.33
1084,nose,頭,nouns,0.28
1085,bus,的士,nouns,1.81
1086,poster,紙,nouns,2.07
1087,bizarre,奇怪,adjectives,4.79
1088,judge,指控,verbs,0.82
1089,manuscript,文章,nouns,1.95
1090,officially,重要的,adverbs,1.41
1091,age,美人,nouns,0.12
1092,steak,肉,nouns,3.78
1093,spoon,杯子,nouns,0.84
1094,bury,死,verbs,0.89
1095,salute,演出,verbs,0.0
1096,man,丈夫,nouns,1.95
1097,assume,假扮,verbs,0.66
1098,cup,錐形蛋筒,nouns,0.39
1099,task,高速公路,nouns,0.0
1100,son,父親,nouns,1.31
1101,dominate,贏,verbs,1.13
1102,blanket,大風,nouns,0.0
1103,music,旋律,nouns,2.68
1104,succeed,嘗試,verbs,0.47
1105,ashamed,謙虛,adjectives,0.29
1106,bed,睡房,nouns,1.39
1107,language,溝通,nouns,1.72
1108,rice,雞,nouns,0.27
1109,pen,字母,nouns,0.04
1110,subtly,冷靜地,adverbs,1.0
1111,car,船,nouns,0.49
1112,money,現金,nouns,5.0
1113,magma,火山,nouns,1.41
1114,tree,葉,nouns,0.68
1115,happy,嬲,adjectives,0.18
1116,simple,容易,adjectives,5.08
1117,cage,柵欄,nouns,0.54
1118,corridor,門,nouns,0.22
1119,find,獲得,verbs,2.54
1120,fast,迅速,adjectives,5.37
1121,persuade,追求,verbs,0.18
1122,give,偷,verbs,0.08
1123,head,指甲,nouns,0.04
1124,tooth,嘴巴,nouns,0.74
1125,meet,離開,verbs,0.0
1126,aggressive,無禮貌,adjectives,0.9
1127,think,查詢,verbs,0.59
1128,passively,可靠地,adverbs,0.0
1129,ball,大炮,nouns,0.4
1130,sincerely,認真地,adverbs,2.47
1131,emotion,激情,nouns,2.35
1132,people,一分錢,nouns,0.14
1133,river,大海,nouns,1.78
1134,telescope,椅子,nouns,0.04
1135,image,主意,nouns,0.43
1136,precisely,準確地,adverbs,4.98
1137,illness,發燒,nouns,2.45
1138,realistically,最近,adverbs,0.32
1139,millionaire,元,nouns,0.29
1140,prince,國王,nouns,2.14
1141,window,門,nouns,0.55
1142,boat,甲板,nouns,0.65
1143,kindly,慷慨地,adverbs,3.27
1144,trick,尺寸,nouns,0.0
1145,generous,友善,adjectives,1.79
1146,chart,圖解,nouns,3.3
1147,disembodied,心靈,adjectives,0.71
1148,racing,哲學家,nouns,0.09
1149,decade,世紀,nouns,0.89
1150,cotton,聚酯纖維,nouns,0.65
1151,cotton,冷衫,nouns,0.43
1152,equation,公式,nouns,3.96
1153,confession,否認,nouns,0.49
1154,seed,芥末,nouns,0.89
1155,retain,保持,verbs,4.38
1156,slender,瘦,adjectives,5.1
1157,deny,避免,verbs,0.33
1158,adversary,對手,nouns,5.37
1159,nurse,科學家,nouns,0.16
1160,ledge,山,nouns,0.27
1161,learn,迷惑,verbs,0.0
1162,fury,生氣,nouns,4.71
1163,ugly,粗糙,adjectives,0.87
1164,ball,服裝,nouns,0.04
1165,bowler,保齡球,nouns,1.44
1166,ball,手套,nouns,0.36
1167,fashion,風尚,nouns,3.65
1168,creative,創新,adjectives,4.54
1169,require,安排,verbs,0.09
1170,sheet,平面,nouns,0.36
1171,opposite,獨特,adjectives,0.52
1172,fifth,最佳,adjectives,0.09
1173,confident,肯定,adjectives,4.5
1174,peacefully,自豪地,adverbs,0.43
1175,peace,幸福,nouns,2.48
1176,lately,最近,adverbs,5.2
1177,cattle,羊,nouns,1.73
1178,become,似乎,verbs,0.48
1179,automobile,汽車,nouns,5.85
1180,task,島,nouns,0.0
1181,class,大學,nouns,0.35
1182,violation,犯罪,nouns,3.06
1183,root,草,nouns,0.54
1184,leave,走開,verbs,3.92
1185,frigid,易損壞,adjectives,0.0
1186,rod,窗帘,nouns,0.29
1187,hospital,床,nouns,0.14
1188,parade,人群,nouns,1.47
1189,retreat,降落,verbs,0.82
1190,island,半島,nouns,1.81
1191,nice,大方,adjectives,1.81
1192,unfairly,公平,adverbs,0.08
1193,give,拒絕,verbs,0.0
1194,log,木材,nouns,2.99
1195,fade,侵蝕,verbs,1.91
1196,note,作業,nouns,0.34
1197,people,元,nouns,0.0
1198,honestly,真誠地,adverbs,4.63
1199,test,試驗,nouns,4.29
1200,bicycle,睡房,nouns,0.0
1201,terrible,傷心,adjectives,0.86
1202,science,心理學,nouns,1.16
1203,gallery,律師,nouns,0.0
1204,happily,積極地,adverbs,0.61
1205,usually,不定期地,adverbs,0.29
1206,importantly,認真地,adverbs,2.5
1207,crime,攻擊,nouns,1.3
1208,hallway,課堂,nouns,0.08
1209,beauty,年齡,nouns,0.12
1210,bush,花,nouns,1.56
1211,take,奪取,verbs,3.45
1212,maturely,正直地,adverbs,0.52
1213,prey,神,nouns,0.0
1214,cattle,乳酪,nouns,0.45
1215,spine,頸,nouns,1.95
1216,sword,王座,nouns,0.07
1217,hurt,跌,verbs,0.33
1218,entropy,信息,nouns,0.47
1219,pottery,陶瓷,nouns,3.25
1220,before,之後,adverbs,0.08
1221,soldier,男孩,nouns,0.59
1222,throne,劍,nouns,0.07
1223,sing,浮動,verbs,0.0
1224,film,劇院,nouns,1.94
1225,planet,星星,nouns,1.81
1226,bite,讀,verbs,0.09
1227,mild,適中,adjectives,2.42
1228,attempt,打算,verbs,0.55
1229,paragraph,頁,nouns,0.57
1230,self,自信,nouns,0.78
1231,inn,汽車旅館,nouns,3.22
1232,illness,傳染病,nouns,3.28
1233,incline,偏見,verbs,2.64
1234,worry,浪費,verbs,0.0
1235,fever,疾病,nouns,2.45
1236,insane,瘋狂,adjectives,5.45
1237,island,公主,nouns,0.0
1238,hut,避難所,nouns,1.23
1239,add,乘,verbs,0.75
1240,hit,吸引,verbs,0.0
1241,coach,播放機,nouns,0.15
1242,boring,平庸,adjectives,2.38
1243,apple,檸檬,nouns,0.47
1244,monthly,每週,adjectives,1.11
1245,century,酒,nouns,0.04
1246,sweater,棉,nouns,0.43
1247,childish,傻,adjectives,2.27
1248,chest,身體,nouns,1.29
1249,borrow,想要,verbs,0.09
1250,mainly,大多,adverbs,3.5
1251,radar,操縱桿,nouns,0.21
1252,stop,哨,verbs,0.14
1253,trick,沖涼,nouns,0.04
1254,complain,帶來,verbs,0.0
1255,go,離開,verbs,3.92
1256,corporation,企業,nouns,3.91
1257,diet,蘋果,nouns,0.47
1258,arm,靜脈,nouns,0.13
1259,warn,停,verbs,0.47
1260,carefully,謹慎地,adverbs,4.75
1261,deeply,大多,adverbs,0.56
1262,accurately,積極地,adverbs,0.59
1263,eye,眼淚,nouns,0.4
1264,election,選擇,nouns,1.99
1265,criminal,犯罪者,nouns,4.81
1266,flexible,有彈性,adjectives,4.01
1267,inspect,檢查,verbs,5.13
1268,man,父親,nouns,2.28
1269,permit,贊成,verbs,4.06
1270,game,行動,nouns,0.48
1271,disguise,偽裝,verbs,2.81
1272,tie,編織,verbs,1.5
1273,apple,飲食,nouns,0.47
1274,guardian,母親,nouns,2.62
1275,die,分化,verbs,0.15
1276,father,兒子,nouns,1.31
1277,aeronautics,航空電子學,nouns,3.37
1278,professor,學生,nouns,0.25
1279,coast,海灘,nouns,3.21
1280,beg,懇求,verbs,4.16
1281,dinner,早餐,nouns,1.42
1282,comprehend,讀,verbs,1.21
1283,avoid,拒絕,verbs,0.33
1284,modest,謙遜,adjectives,5.18
1285,silkworm,毛毛蟲,nouns,2.16
1286,decide,得出結論,verbs,3.16
1287,guilty,誠實,adjectives,0.14
1288,hang,放,verbs,0.79
1289,charcoal,煤,nouns,3.02
1290,word,字典,nouns,0.71
1291,important,必須,adjectives,3.59
1292,coast,濱,nouns,3.47
1293,chapel,尖頂,nouns,1.09
1294,needy,缺乏信心,adjectives,0.91
1295,flute,音樂,nouns,1.27
1296,strange,狡猾,adjectives,0.48
1297,elephant,恐龍,nouns,0.29
1298,avalanche,雪,nouns,2.0
1299,body,脊柱,nouns,0.47
1300,loose,靈活,adjectives,1.54
1301,waist,一餐,nouns,0.0
1302,differ,同意,verbs,0.08
1303,intelligence,技巧,nouns,1.97
1304,program,食物,nouns,0.0
1305,cinema,爆谷,nouns,0.43
1306,normally,常規地,adverbs,4.44
1307,bee,女王,nouns,0.34
1308,death,葬禮,nouns,1.8
1309,ball,籃子,nouns,0.09
1310,pick,選擇,verbs,4.79
1311,business,公司,nouns,4.15
1312,bat,吸血殭屍,nouns,0.77
1313,harmony,鋼琴,nouns,0.43
1314,infinity,零,nouns,0.54
1315,win,統治,verbs,1.13
1316,get,放,verbs,0.04
1317,racism,排外主義,nouns,4.14
1318,sometimes,肯定地,adverbs,0.04
1319,environment,劍,nouns,0.0
1320,galaxy,應用程式,nouns,0.0
1321,umbrella,暖爐,nouns,0.04
1322,mare,馬,nouns,3.2
1323,chair,沙發,nouns,2.89
1324,dictionary,百科全書,nouns,2.11
1325,algebra,手術,nouns,0.35
1326,leave,留,verbs,0.16
1327,reject,選舉,verbs,0.0
1328,top,下面,nouns,0.15
1329,restrict,減少,verbs,1.41
1330,right,正義,nouns,1.12
1331,ankle,肘,nouns,0.51
1332,overcast,預測,nouns,0.24
1333,eczema,皮炎,nouns,3.41
1334,elbow,骨頭,nouns,0.64
1335,once,馬上,adverbs,0.47
1336,divide,乘,verbs,0.24
1337,booth,電話,nouns,0.27
1338,diplomacy,談判,nouns,2.45
1339,nerve,腸子,nouns,0.68
1340,accept,收到,verbs,1.21
1341,log,公式,nouns,0.07
1342,wrathful,猶豫,adjectives,0.18
1343,fault,系統,nouns,0.16
1344,fake,人造,adjectives,4.1
1345,zone,地區,nouns,4.5
1346,ordinary,奇怪,adjectives,0.08
1347,vague,不清楚,adjectives,4.92
1348,naturally,非自然,adverbs,0.08
1349,cliff,尾巴,nouns,0.04
1350,river,溪流,nouns,3.45
1351,atom,分子,nouns,2.02
1352,teacher,學生,nouns,0.61
1353,maker,創造者,nouns,4.81
1354,medal,運動鞋,nouns,0.08
1355,apartment,家具,nouns,0.33
1356,size,一分錢,nouns,0.04
1357,release,按下,verbs,0.09
1358,compiler,子程序,nouns,0.49
1359,term,半學年,nouns,4.53
1360,island,任務,nouns,0.0
1361,finish,畢業,verbs,1.48
1362,proudly,謙遜地,adverbs,0.41
1363,gap,開口,nouns,4.06
1364,idea,方案,nouns,3.86
1365,arm,肌肉,nouns,0.62
1366,nephew,阿姨,nouns,0.7
1367,sofa,椅子,nouns,2.89
1368,madly,大聲地,adverbs,1.25
1369,currently,微妙地,adverbs,0.18
1370,syllabus,考試,nouns,1.01
1371,attorney,律師,nouns,4.92
1372,nervous,某些,adjectives,0.04
1373,wind,颮,nouns,2.48
1374,remain,得到,verbs,0.55
1375,mist,雨,nouns,1.21
1376,drawing,暴動,nouns,0.04
1377,performer,歌曲,nouns,0.19
1378,allow,走,verbs,0.04
1379,death,悲劇,nouns,1.36
1380,construct,毀滅,verbs,0.27
1381,glad,開心,adjectives,5.26
1382,push,責怪,verbs,0.23
1383,intelligent,聰明,adjectives,4.98
1384,leaf,幼苗,nouns,0.89
1385,man,嫌疑人,nouns,0.26
1386,wander,搜索,verbs,0.56
1387,precise,錯誤,adjectives,0.14
1388,normal,不同,adjectives,0.04
1389,carriage,四輪貨運馬車,nouns,3.5
1390,hardware,案件,nouns,0.24
1391,bottom,上面,nouns,0.15
1392,catch,放走,verbs,0.27
1393,reader,作者,nouns,0.49
1394,credit,借款人,nouns,0.29
1395,tuition,獎學金,nouns,0.71
1396,hard,容易,adjectives,0.08
1397,disown,疏忽,verbs,0.55
1398,guy,朋友,nouns,0.92
1399,bottle,容器,nouns,2.63
1400,pretend,假設,verbs,0.66
1401,subtract,失去,verbs,2.39
1402,take,獲得,verbs,3.52
1403,demon,怪獸,nouns,3.59
1404,sunrise,日落,nouns,0.59
1405,worker,相機,nouns,0.18
1406,bath,氣球,nouns,0.0
1407,battery,能量,nouns,2.0
1408,cheap,髒,adjectives,0.32
1409,horn,鼓,nouns,0.43
1410,understand,聽,verbs,0.63
1411,dermatitis,濕疹,nouns,3.41
1412,save,毀滅,verbs,0.04
1413,absorb,學習,verbs,2.47
1414,leave,到達,verbs,0.04
1415,perceive,聽,verbs,1.15
1416,building,房間,nouns,0.45
1417,seriously,重要的,adverbs,2.5
1418,greatly,明亮地,adverbs,0.77
1419,choice,選舉,nouns,1.99
1420,chapel,電纜,nouns,0.0
1421,recently,目前,adverbs,2.89
1422,ability,才能,nouns,4.27
1423,yogurt,家牛,nouns,0.45
1424,catch,捕獲,verbs,3.73
1425,house,地毯,nouns,0.27
1426,powerful,弱,adjectives,0.08
1427,container,四輪貨運馬車,nouns,0.2
1428,allow,反駁,verbs,0.0
1429,jail,選擇,nouns,0.0
1430,investigate,檢查,verbs,4.09
1431,presence,缺席,nouns,0.21
1432,meat,牛扒,nouns,3.78
1433,descend,減少,verbs,0.34
1434,lemon,蘋果,nouns,0.47
1435,religion,世俗主義,nouns,0.24
1436,officially,強烈地,adverbs,0.47
1437,sense,直覺,nouns,4.39
1438,elevator,盒子,nouns,0.08
1439,keep,珍愛,verbs,0.7
1440,urgently,迅速地,adverbs,3.56
1441,tomorrow,今晚,adverbs,0.25
1442,tease,傷害,verbs,0.45
1443,finish,解決,verbs,2.45
1444,arithmetic,韻律,nouns,0.0
1445,cathedral,天花板,nouns,0.04
1446,survive,生活,verbs,3.36
1447,tradition,手工業,nouns,0.43
1448,narrow,長,adjectives,0.47
1449,stressed,輕鬆,adjectives,0.22
1450,sad,可怕,adjectives,0.86
1451,digit,數,nouns,4.58
1452,crowd,遊行,nouns,1.47
1453,ant,蒼蠅,nouns,0.72
1454,neutral,冷靜,adjectives,1.08
1455,apple,糖果,nouns,0.13
1456,ride,拖著腳走,verbs,0.0
1457,violent,柔軟,adjectives,0.0
1458,renounce,斷絕父子關係,verbs,3.89
1459,summer,冬天,nouns,0.28
1460,translator,外國人,nouns,0.29
1461,escape,搵到,verbs,0.0
1462,text,書,nouns,1.66
1463,car,軟管,nouns,0.09
1464,television,編劇,nouns,0.68
1465,piston,發動機,nouns,1.29
1466,laugh,唱,verbs,0.33
1467,arrange,需要,verbs,0.09
1468,cover,保護,verbs,1.25
1469,electric,甜,adjectives,0.0
1470,song,故事,nouns,0.29
1471,journal,文章,nouns,2.18
1472,bury,冚住,verbs,2.23
1473,cellphone,電話,nouns,3.95
1474,justice,法庭,nouns,2.32
1475,reliably,被動地,adverbs,0.0
1476,ancient,新,adjectives,0.13
1477,baseball,沙發,nouns,0.0
1478,bride,新郎,nouns,1.96
1479,tough,容易,adjectives,0.22
1480,bread,小麥粉,nouns,0.67
1481,assist,援助,verbs,4.74
1482,wide,窄小,adjectives,0.13
1483,beach,暗礁,nouns,0.48
1484,king,統治者,nouns,3.75
1485,fiction,傳記,nouns,1.17
1486,differently,終末,adverbs,0.08
1487,deny,說謊,verbs,0.8
1488,boy,兒子,nouns,2.05
1489,door,地窖,nouns,0.13
1490,journalist,詩人,nouns,0.35
1491,aggressive,彎曲,adjectives,0.0
1492,mechanically,理想地,adverbs,0.18
1493,usually,真誠地,adverbs,0.23
1494,house,穀倉,nouns,0.79
1495,fail,成功,verbs,0.04
1496,anarchy,混亂,nouns,3.17
1497,mask,派對,nouns,0.14
1498,borrow,保持,verbs,0.12
1499,seize,攞,verbs,3.45
1500,lawyer,銀行家,nouns,1.14
1501,twice,一次,adverbs,0.59
1502,straw,任務,nouns,0.0
1503,dumb,蠢,adjectives,5.32
1504,shelter,棚屋,nouns,1.23
1505,alloy,鋼,nouns,2.71
1506,get,獲得,verbs,4.86
1507,attach,分離,verbs,0.04
1508,aid,協助,verbs,4.74
1509,erode,褪色,verbs,1.91
1510,machine,電腦,nouns,2.33
1511,literature,詞,nouns,2.08
1512,spicy,弱,adjectives,0.04
1513,body,胸部,nouns,1.29
1514,proud,膽大,adjectives,1.66
1515,vessel,靜脈,nouns,1.07
1516,shatter,摔碎,verbs,3.88
1517,author,讀者,nouns,0.49
1518,cricket,支持者,nouns,0.04
1519,room,大厦,nouns,0.45
1520,forget,學習,verbs,0.08
1521,never,否定,adjectives,0.61
1522,bottle,廣口瓶,nouns,3.38
1523,pathfinder,射手,nouns,0.2
1524,responsibly,獨立地,adverbs,0.98
1525,combination,結合,nouns,2.79
1526,bed,醫院,nouns,0.14
1527,try,說服,verbs,0.16
1528,accept,運送,verbs,0.0
1529,tie,團結,verbs,0.46
1530,infection,詞性變化,nouns,0.09
1531,apparently,簡直,adverbs,0.64
1532,meal,晚飯,nouns,2.92
1533,flora,大自然,nouns,1.91
1534,nose,喉嚨,nouns,0.37
1535,soft,暴力,adjectives,0.0
1536,succeed,節約,verbs,0.04
1537,civilization,生活方式,nouns,0.63
1538,punish,服從,verbs,0.14
1539,fun,足球,nouns,0.18
1540,verify,辯解,verbs,0.59
1541,wander,離開,verbs,0.21
1542,hen,火雞,nouns,1.67
1543,covered,沒有冚住的,adjectives,0.08
1544,drum,喇叭,nouns,0.43
1545,uncle,姨媽,nouns,1.12
1546,pollution,大氣層,nouns,0.47
1547,select,挑選,verbs,4.79
1548,originate,發現,verbs,0.7
1549,bone,牙齒,nouns,2.04
1550,endurance,強度,nouns,2.83
1551,jumping,籬笆,nouns,0.0
1552,unsure,害怕,adjectives,0.7
1553,show,數學家,nouns,0.04
1554,grass,根,nouns,0.54
1555,dirty,黏,adjectives,0.78
1556,asset,股票,nouns,3.41
1557,presence,優勝者,nouns,0.04
1558,crash,摔碎,verbs,2.73
1559,cone,杯子,nouns,0.39
1560,destroy,保留,verbs,0.04
1561,frightened,興奮,adjectives,0.34
1562,gather,出席,verbs,0.49
1563,surprise,慶祝,verbs,0.23
1564,cuddle,擁抱,verbs,4.91
1565,accuse,判斷,verbs,0.82
1566,advise,建議,verbs,4.59
1567,roughly,不耐煩地,adverbs,0.72
1568,battery,劇院,nouns,0.09
1569,pet,貓,nouns,2.63
1570,door,窗,nouns,0.55
1571,republic,公爵,nouns,0.22
1572,good,辣,adjectives,0.04
1573,molecule,原子,nouns,2.02
1574,plane,大薄片,nouns,0.36
1575,think,沉思,verbs,4.03
1576,hear,聽,verbs,4.12
1577,fur,女人,nouns,0.0
1578,enter,走,verbs,1.21
1579,fake,真實,adjectives,0.18
