ID,FRA,YUE,PoS,score
770,fluide,噴嘴,nouns,0.98
771,anormalement,負面地,adverbs,1.06
772,estomac,課程,nouns,0.1
773,bière,香檳,nouns,3.06
774,enquêter,追求,verbs,1.5
775,lit,幼兒床,nouns,3.77
776,herbe,苔蘚,nouns,2.67
777,argent,資本,nouns,4.12
778,mer,海灘,nouns,2.98
779,exceptionnellement,奇怪地,adverbs,2.79
780,suffrage,出口,nouns,0.34
781,mature,複雜,adjectives,0.97
782,principalement,末期,adverbs,0.04
783,moteur,機器,nouns,2.88
784,boiter,步行,verbs,2.97
785,abaisser,减少,verbs,4.22
786,fermement,冷靜地,adverbs,0.91
787,réservoir,汽車,nouns,1.06
788,ronger,穿,verbs,0.29
789,humeur,情感,nouns,3.49
790,modeste,謙遜,adjectives,5.68
791,occupé,懶,adjectives,0.54
792,bon,有禮貌,adjectives,2.79
793,profondément,大多,adverbs,0.96
794,diode,電容器,nouns,2.17
795,différer,拗撬,verbs,0.89
796,arrêter,哨,verbs,0.39
797,neige,冰,nouns,3.92
798,angle,彎曲,nouns,2.25
799,alcool,啤酒,nouns,3.9
800,chapitre,晚上,nouns,0.1
801,créateur,製作者,nouns,4.59
802,duc,共和國,nouns,0.48
803,localement,明顯地,adverbs,0.24
804,entreprise,商業,nouns,3.9
805,absorber,擁有,verbs,0.64
806,arbre,楓樹,nouns,4.48
807,penser,沉思,verbs,2.63
808,agneau,羊,nouns,4.26
809,étroit,白色,adjectives,0.05
810,bois,原木,nouns,4.17
811,éclaboussure,粘性,nouns,0.3
812,attraper,追逐,verbs,1.13
813,donner,收到,verbs,0.93
814,évêque,穆斯林,nouns,0.89
815,aller,離開,verbs,3.98
816,doux,暴力,adjectives,0.65
817,saisir,讀,verbs,0.87
818,examiner,調查,verbs,3.99
819,convocation,聚會,nouns,3.19
820,facile,困難,adjectives,0.95
821,petit déjeuner,晚餐,nouns,2.65
822,télévision,編劇,nouns,1.26
823,joie,自豪,nouns,2.78
824,timide,昂貴,adjectives,0.1
825,construire,創建,verbs,4.41
826,ballon,籃子,nouns,0.74
827,ardu,艱難,adjectives,5.78
828,entendre,聽,verbs,4.35
829,carte graphique,主機板,nouns,3.67
830,personne,人物,nouns,4.48
831,fondre,溶解,verbs,5.05
832,opposant,對手,nouns,5.53
833,inspecter,檢查,verbs,5.54
834,exactement,精確地,adverbs,5.27
835,poème,韻律,nouns,1.47
836,dieu,牧師,nouns,1.37
837,recueillir,見面,verbs,0.96
838,bruyamment,微妙地,adverbs,0.7
839,probablement,也許,adverbs,4.46
840,tuyau,汽車,nouns,0.19
841,effrayé,興奮,adjectives,0.92
842,pièce,大厦,nouns,0.94
843,paix,幸福,nouns,3.01
844,survivre,生活,verbs,4.02
845,adulte,未成熟的,adjectives,0.74
846,président,政治家,nouns,3.44
847,restaurer,帶來,verbs,0.28
848,orange,柑橘,nouns,4.75
849,pied,沙漠,nouns,0.34
850,emboutir,碰撞,verbs,3.89
851,vallée,河,nouns,2.78
852,automobile,汽車,nouns,6.0
853,nouveau,沒用過,adjectives,4.47
854,désarroi,歇斯底里,nouns,2.33
855,mec,女孩,nouns,1.37
856,sujet,書,nouns,0.7
857,réduire,淋透,verbs,0.1
858,corps,肩,nouns,1.47
859,fils,父親,nouns,2.35
860,ignorer,問,verbs,0.55
861,séparer,離開,verbs,2.54
862,couloir,走道,nouns,4.13
863,ballade,歌曲,nouns,4.54
864,limité,難得,adjectives,3.77
865,presser,放開,verbs,0.29
866,certainement,清楚地,adverbs,3.79
867,secousse,地震,nouns,4.32
868,découvrir,起源,verbs,0.48
869,extraverti,進來,adjectives,0.24
870,devenir,似乎,verbs,1.17
871,femme,任務,nouns,0.1
872,vague,不清楚,adjectives,4.83
873,croissance,肥料,nouns,1.37
874,bol,尾巴,nouns,0.05
875,camion,汽車,nouns,2.83
876,dur,殘酷,adjectives,3.86
877,sultan,部,nouns,0.55
878,graphique,圖表,nouns,2.46
879,annoncer,宣布,verbs,4.93
880,permettre,贊成,verbs,3.48
881,porte,出口,nouns,3.38
882,république,公爵,nouns,0.48
883,joindre,加,verbs,3.97
884,commande,菜單,nouns,1.56
885,tante,侄子,nouns,1.84
886,perle,錢,nouns,1.03
887,chaos,無政府,nouns,3.79
888,comprendre,發現,verbs,3.13
889,organe,肝臟,nouns,2.97
890,choix,章,nouns,0.45
891,régime,沙拉,nouns,1.13
892,condition,情況,nouns,4.17
893,fille,男人,nouns,1.37
894,nerveux,某些,adjectives,0.2
895,dinde,母雞,nouns,2.79
896,rythme,旋律,nouns,3.68
897,agité,年輕,adjectives,0.65
898,soleil couchant,線,nouns,0.0
899,en phase terminale,主要,adverbs,0.04
900,éblouir,瞇,verbs,0.2
901,prétendre,描繪,verbs,0.24
902,paille,聖歌,nouns,0.28
903,écrivain,禮物,nouns,0.29
904,affaire,公司,nouns,3.21
905,pacte,條件,nouns,1.92
906,esprit,大腦,nouns,4.22
907,brume,雲,nouns,3.1
908,croyance,花,nouns,0.0
909,voiture,胎壓計,nouns,0.35
910,bateau,樹,nouns,0.24
911,brin,線,nouns,3.11
912,maire,首領,nouns,2.96
913,mort,葬禮,nouns,2.92
914,grossier,批評,adjectives,0.67
915,aube,槍,nouns,0.05
916,provenir,發現,verbs,0.48
917,échouer,依靠,verbs,0.24
918,vendre,提醒,verbs,0.2
919,motel,小旅館,nouns,3.56
920,proie,神,nouns,0.05
921,tisser,移動,verbs,0.15
922,étrange,古怪,adjectives,5.68
923,sérieusement,負責任,adverbs,3.54
924,couverture,大風,nouns,0.05
925,chiffre,數,nouns,4.6
926,incertain,模糊,adjectives,4.83
927,se renseigner,想,verbs,0.69
928,heureux,嬲,adjectives,0.83
929,souris,甲板,nouns,0.1
930,juge,裁判官,nouns,4.59
931,pathogène,病菌,nouns,3.31
932,gouvernement,蜥蜴,nouns,0.04
933,allée,走廊,nouns,4.13
934,seconde,分鐘,nouns,3.19
935,aluminium,錫,nouns,2.44
936,incroyable,普通,adjectives,0.65
937,oublier,保留,verbs,0.8
938,lit,沙發,nouns,3.06
939,carré,地圖,nouns,0.58
940,mouiller,减少,verbs,0.1
941,menu,點菜,nouns,1.56
942,radar,操縱桿,nouns,0.19
943,confidentiel,公開,adjectives,0.49
944,humble,謙虛,adjectives,5.68
945,brillant,棒,adjectives,4.59
946,emballage,港口,nouns,0.49
947,apocalypse,火,nouns,0.98
948,vite,迅速,adjectives,5.38
949,complètement,全然地,adverbs,3.69
950,autoroute,車,nouns,1.6
951,gentiment,仁慈地,adverbs,5.13
952,lit,椅子,nouns,1.96
953,fermement,難以置信地,adverbs,0.34
954,liqueur,紅酒,nouns,2.99
955,formule,等式,nouns,3.92
956,loucher,怒視,verbs,0.2
957,truite,吉他,nouns,0.05
958,construire,加,verbs,1.07
959,atteindre,嘗試,verbs,0.88
960,brique,牆,nouns,1.51
961,factorisation,分解,nouns,3.04
962,gâcher,聞,verbs,0.1
963,donner,允許,verbs,2.02
964,mineur,重大,adjectives,0.83
965,contraire,獨特,adjectives,0.39
966,bouton,衣服,nouns,1.51
967,whisky,酒,nouns,3.75
968,carte mère,主板,nouns,3.67
969,normalement,異常地,adverbs,0.75
970,prendre,交付,verbs,0.95
971,flexible,鬆動,adjectives,1.15
972,maire,總統,nouns,2.9
973,cheval,母馬,nouns,4.03
974,fortement,正式,adverbs,0.52
975,cinématographie,導演,nouns,1.83
976,confortablement,容易地,adverbs,1.3
977,manuscrit,文章,nouns,2.48
978,affaire,公司,nouns,3.9
979,chercher,狩獵,verbs,1.36
980,immoral,非法,adjectives,2.92
981,cerise,士多啤梨,nouns,2.77
982,strictement,完全地,adverbs,3.69
983,princesse,國王,nouns,2.69
984,colère,狂怒,nouns,4.79
985,débat,討論,nouns,4.46
986,souris,鼠,nouns,4.61
987,vêtement,布料,nouns,2.33
988,accord,洞,nouns,0.0
989,érable,橡木,nouns,3.25
990,difficile,密度大,adjectives,2.41
991,sociobiologie,突變體,nouns,0.39
992,cuillère,杯子,nouns,1.45
993,supporter,蟋蟀,nouns,0.39
994,tâche,稻草,nouns,0.0
995,blanc,狹窄,adjectives,0.05
996,chevaucher,跑,verbs,0.84
997,effrayé,緊張,adjectives,2.35
998,fuir,逃走,verbs,5.54
999,criminel,犯罪者,nouns,5.28
1000,gens,槍,nouns,0.48
1001,vaste,狹窄,adjectives,0.69
1002,couverture,木,nouns,0.15
1003,désavouer,給,verbs,0.15
1004,apprendre,教育,verbs,3.55
1005,actuellement,最近,adverbs,3.72
1006,neige,雪崩,nouns,2.63
1007,vomir,關閉,verbs,0.05
1008,épaule,身體,nouns,1.47
1009,tomber,絆倒,verbs,4.39
1010,chêne,楓木,nouns,3.25
1011,fièvre,疾病,nouns,2.93
1012,fourmi,蜜蜂,nouns,1.97
1013,montre,裙子,nouns,0.44
1014,mettre,得到,verbs,0.25
1015,faible,辣,adjectives,0.15
1016,blé,穀物,nouns,3.59
1017,course,週末,nouns,0.25
1018,humide,黏,adjectives,1.73
1019,apporter,來,verbs,1.63
1020,imprimer,無視,verbs,0.1
1021,usine,汽車,nouns,0.55
1022,persuader,追求,verbs,0.48
1023,mur,磚,nouns,1.51
1024,mousse,草,nouns,2.67
1025,langue,喉,nouns,1.7
1026,long métrage,戲,nouns,5.27
1027,chat,兔子,nouns,1.77
1028,disparaître,搵到,verbs,0.2
1029,stupide,傻,adjectives,5.37
1030,légion,軍隊,nouns,3.53
1031,apporter,抱怨,verbs,0.1
1032,session,病人,nouns,0.42
1033,renard,獵狗,nouns,1.78
1034,lac,雲,nouns,0.58
1035,fourrure,槍,nouns,0.1
1036,thème,書,nouns,0.88
1037,terne,刺激,adjectives,0.48
1038,multiplication,除法,nouns,2.4
1039,rapidement,紧急,adverbs,4.11
1040,mer,河流,nouns,2.49
1041,germe,病原,nouns,3.31
1042,couvrir,掩飾,verbs,3.33
1043,examen,教學大綱,nouns,1.45
1044,débattre,出席,verbs,0.6
1045,jardin,軟管,nouns,0.6
1046,route,高速公路,nouns,3.54
1047,gagner,完成,verbs,1.35
1048,connu,好,adjectives,1.15
1049,criminalité,攻擊,nouns,1.66
1050,syntaxe,首詞,nouns,0.93
1051,représenter,模仿,verbs,1.65
1052,saison,冬天,nouns,2.98
1053,frigide,易損壞,adjectives,0.2
1054,collecter,保存,verbs,3.56
1055,astuce,沖涼,nouns,0.04
1056,gros,大規模,adjectives,3.49
1057,extraterrestre,外國人,nouns,3.88
1058,énorme,大規模,adjectives,4.21
1059,chasser,抓住,verbs,1.13
1060,permettre,走,verbs,0.2
1061,créer,建立,verbs,4.41
1062,chiffre,細胞質,nouns,0.0
1063,pathologie,血液學,nouns,2.67
1064,jamais,誠實地,adverbs,0.05
1065,modeste,羞愧,adjectives,0.73
1066,acquérir,得到,verbs,5.07
1067,violon,樂器,nouns,2.65
1068,abeille,昆蟲,nouns,3.53
1069,camion,郵包,nouns,0.19
1070,armée,軍團,nouns,3.53
1071,île,公主,nouns,0.25
1072,construire,毀滅,verbs,1.18
1073,chien,馬,nouns,1.77
1074,cruel,和藹,adjectives,0.55
1075,canette,瓶子,nouns,2.88
1076,circoncision,包皮,nouns,1.97
1077,attacher,加入,verbs,1.36
1078,reconnaître,通知,verbs,0.93
1079,morne,枯燥,adjectives,5.37
1080,grand,大,adjectives,3.49
1081,polyèdre,演員,nouns,0.28
1082,exiger,訓斥,verbs,0.45
1083,boisson,啤酒,nouns,2.99
1084,chanson,歌謠,nouns,4.54
1085,œil,眼淚,nouns,1.22
1086,pleinement,基本上,adverbs,1.06
1087,battre en retraite,離開,verbs,4.45
1088,criminalité,盜竊,nouns,3.13
1089,accepter,相信,verbs,3.16
1090,impatiemment,大致,adverbs,0.58
1091,île,半島,nouns,2.79
1092,mosaïque,教堂,nouns,0.4
1093,cinéma,歌劇,nouns,3.06
1094,condensateur,二極管,nouns,2.17
1095,disque,充電器,nouns,0.6
1096,bière,飲品,nouns,2.99
1097,flexible,有彈性,adjectives,4.44
1098,facile,靈活,adjectives,1.99
1099,renier,聲明放棄,verbs,3.38
1100,aéroport,片,nouns,0.1
1101,prouver,解釋,verbs,3.7
1102,présence,優勝者,nouns,0.29
1103,notifier,描繪,verbs,0.7
1104,docteur,正牙醫生,nouns,3.44
1105,alcool,杜松子酒,nouns,3.94
1106,chèvre,牛,nouns,2.44
1107,désespoir,苦難,nouns,3.67
1108,échouage,房間,nouns,0.94
1109,soleil,蘋果,nouns,0.3
1110,généreusement,好心地,adverbs,3.08
1111,rabbin,老師,nouns,1.45
1112,jet,流體,nouns,0.98
1113,taux,價值,nouns,4.13
1114,long,狹窄,adjectives,1.17
1115,énorme,笨,adjectives,0.74
1116,criquet,支持者,nouns,0.39
1117,fenêtre,屋頂,nouns,1.22
1118,assister,來,verbs,3.11
1119,alcool,葡萄酒,nouns,3.62
1120,s'écraser,撞擊,verbs,3.89
1121,clavier,光,nouns,0.19
1122,matrice,分子,nouns,0.66
1123,rencontrer,游泳,verbs,0.34
1124,approximativement,不耐煩地,adverbs,0.58
1125,attentivement,本地,adverbs,0.15
1126,personne,一分錢,nouns,0.18
1127,courir,騎,verbs,0.84
1128,liberté,自由,nouns,4.37
1129,aluminium,金屬,nouns,2.74
1130,laisser,到達,verbs,0.2
1131,étouffer,殺,verbs,3.67
1132,partir,撤退,verbs,4.45
1133,accepter,拒絕,verbs,1.22
1134,monstre,惡魔,nouns,3.99
1135,frais,舊,adjectives,0.15
1136,faux,真實,adjectives,0.98
1137,téléphone,手提電話,nouns,5.03
1138,marque,俱樂部,nouns,0.29
1139,copain,朋友,nouns,4.93
1140,assister,聚集,verbs,0.57
1141,recevoir,實現,verbs,0.29
1142,délicieux,精彩,adjectives,3.37
1143,irriter,對抗,verbs,4.69
1144,obtenir,攞,verbs,3.46
1145,condition,男孩,nouns,0.1
1146,paix,士兵,nouns,0.74
1147,monde,地球,nouns,4.45
1148,agresser,加劇,verbs,0.7
1149,oncle,男人,nouns,2.44
1150,brûler,扼殺,verbs,0.57
1151,créer,毀滅,verbs,0.8
1152,évidemment,肯定地,adverbs,3.9
1153,nager,見面,verbs,0.34
1154,juger,決定,verbs,3.6
1155,gentiment,仁慈地,adverbs,3.71
1156,battre,贏,verbs,3.77
1157,ballon,人,nouns,0.0
1158,homme,父親,nouns,2.97
1159,métal,錫,nouns,2.94
1160,intestin,神經,nouns,0.89
1161,rare,笨,adjectives,0.29
1162,orthodontiste,牙醫,nouns,4.82
1163,justement,成熟地,adverbs,0.79
1164,bizarrement,自然地,adverbs,0.8
1165,jeune,焦躁不安,adjectives,0.65
1166,improbable,友好,adverbs,0.0
1167,céréale,小麥,nouns,3.59
1168,être d'accord,接受,verbs,4.05
1169,alcool,白蘭地酒,nouns,3.62
1170,fêter,使驚奇,verbs,0.55
1171,paille,妻子,nouns,0.0
1172,marié,新娘,nouns,3.27
1173,audacieux,自豪,adjectives,2.08
1174,échange,替換,nouns,4.75
1175,fastidieux,安全,adjectives,0.24
1176,étroit,髒,adjectives,0.1
1177,bowling,保齡球選手,nouns,1.67
1178,évident,顯然,adjectives,4.79
1179,ordinaire,冷,adjectives,0.2
1180,gagner,做,verbs,0.3
1181,bureau,工作者,nouns,0.63
1182,étouffer,燒傷,verbs,0.57
1183,maladie,危險,nouns,1.06
1184,partir,走開,verbs,3.98
1185,idiot,笨,adjectives,5.37
1186,hanche,嘴唇,nouns,0.64
1187,s'échapper,逃跑,verbs,5.54
1188,habit,抽屜,nouns,0.92
1189,humilier,安慰,verbs,0.45
1190,observer,觀看,verbs,5.03
1191,manière,方法,nouns,5.13
1192,couronne,锁匙,nouns,0.1
1193,petit déjeuner,煙肉,nouns,1.03
1194,ouragan,暴風雨,nouns,3.44
1195,honnête,內疚,adjectives,0.73
1196,estomac,睡房,nouns,0.1
1197,vendre,交易,verbs,0.85
1198,caractère,醫生,nouns,0.18
1199,plaisir,足球,nouns,0.53
1200,colonne vertébrale,頸,nouns,2.53
1201,voiture,橋,nouns,0.43
1202,notifier,通知,verbs,5.48
1203,film,虛無主義,nouns,0.24
1204,nerf,腸子,nouns,0.89
1205,chanter,浮動,verbs,0.1
1206,fermement,輕輕的,adverbs,0.74
1207,dentiste,正牙醫生,nouns,4.82
1208,baseball,沙發,nouns,0.05
1209,conquête,聖歌,nouns,0.4
1210,tapis,屋,nouns,0.88
1211,approuver,准許,verbs,3.48
1212,paracétamol,支氣管炎,nouns,0.75
1213,essayer,想,verbs,0.52
1214,briser,摔碎,verbs,4.45
1215,ministère,蘇丹,nouns,0.55
1216,application,星系,nouns,0.1
1217,organiser,需要,verbs,0.29
1218,animal de compagnie,貓,nouns,3.46
1219,faux,人造,adjectives,3.98
1220,systématiquement,一般,adverbs,3.46
1221,contrarier,刺激,verbs,4.69
1222,créateur,作者,nouns,4.37
1223,mètre,英寸,nouns,3.33
1224,lard,肉,nouns,2.97
1225,griffonner,寫,verbs,4.22
1226,frais,付款,nouns,3.21
1227,accomplir,成為,verbs,2.37
1228,pistolet,人,nouns,0.48
1229,élastique,靈活的,adjectives,4.44
1230,oublier,提醒,verbs,0.8
1231,fraternité,門,nouns,0.0
1232,blizzard,雨,nouns,2.73
1233,bonbon,肉桂,nouns,0.93
1234,concours,貨幣,nouns,0.65
1235,vinaigre,沙拉,nouns,1.13
1236,pont,船,nouns,1.3
1237,communication,新聞,nouns,3.16
1238,biographie,小說,nouns,1.97
1239,étrange,狡猾,adjectives,1.31
1240,hôpital,床,nouns,0.94
1241,base,底部,nouns,3.23
1242,alcool,雞尾酒,nouns,3.85
1243,appareil photo,工作者,nouns,0.23
1244,vol,犯罪,nouns,3.13
1245,suspecter,逮捕,verbs,0.98
1246,action,資產,nouns,3.63
1247,fiançailles,戒指,nouns,1.83
1248,moissonneuse-batteuse,甘蔗,nouns,0.3
1249,discrètement,明顯地,adverbs,0.6
1250,sauver,淹,verbs,0.8
1251,déterminer,撤離,verbs,0.2
1252,coin,地區,nouns,0.6
1253,évacuer,確定,verbs,0.2
1254,molécule,基質,nouns,0.66
1255,recevoir,攞,verbs,3.13
1256,hashtag,話題,nouns,3.52
1257,source,噴泉,nouns,3.67
1258,papa,母親,nouns,2.31
1259,oasis,自由,nouns,0.2
1260,poule,火雞,nouns,2.79
1261,poulet,晚餐,nouns,0.98
1262,souvent,有時候,adverbs,2.84
1263,résoudre,完成,verbs,3.26
1264,furieux,極好,adjectives,0.55
1265,respirer,嗆,verbs,1.36
1266,idéalement,機械地,adverbs,0.33
1267,fiablement,大致,adverbs,0.68
1268,fabricant,創造者,nouns,4.59
1269,cabine,電話,nouns,0.75
1270,portable,電話,nouns,5.03
1271,accepter,運送,verbs,0.55
1272,aider,問,verbs,0.6
1273,boîte,資源,nouns,0.04
1274,lire,咬,verbs,0.09
1275,mère,爸爸,nouns,2.31
1276,télévision,電影,nouns,3.06
1277,ordinaire,難以置信,adjectives,0.65
1278,argent,珍珠,nouns,1.03
1279,cathédrale,教堂,nouns,5.03
1280,idiot,孩子氣,adjectives,3.03
1281,rencontrer,離開,verbs,0.35
1282,dériver,流,verbs,1.92
1283,chaise,沙發,nouns,3.29
1284,altitude,換算,nouns,0.24
1285,feindre,想像,verbs,0.89
1286,sauvegarder,收藏,verbs,3.56
1287,vouloir,借,verbs,0.59
1288,garçon,狀態,nouns,0.1
1289,état,家,nouns,0.1
1290,pilote,司機,nouns,4.07
1291,objectif,赢家,nouns,0.83
1292,séparer,連接,verbs,0.75
1293,tomber,傷害,verbs,0.98
1294,insensé,瘋狂,adjectives,5.58
1295,décider,判斷,verbs,3.6
1296,femme,洞,nouns,0.1
1297,aimablement,好心地,adverbs,5.13
1298,banc,椅子,nouns,3.48
1299,pistolet,黎明,nouns,0.05
1300,attention,意識,nouns,3.16
1301,merveilleux,极好,adjectives,2.44
1302,cours,肚,nouns,0.1
1303,perdre,減去,verbs,2.42
1304,rationnel,清醒,adjectives,1.92
1305,football,英式足球,nouns,4.69
1306,machine,引擎,nouns,2.88
1307,sembler,變成,verbs,1.17
1308,facilement,舒服地,adverbs,1.3
1309,lumière,鍵盤,nouns,0.19
1310,valeur,信念,nouns,3.18
1311,café,豆,nouns,0.63
1312,se plaindre,帶來,verbs,0.1
1313,population,人,nouns,3.65
1314,chien,狐狸,nouns,1.78
1315,difficile,困難,adjectives,5.78
1316,ananas,手機,nouns,0.0
1317,main,腳,nouns,2.16
1318,garçon,哥哥,nouns,2.81
1319,conclure,決定,verbs,3.92
1320,jus,匙羹,nouns,0.68
1321,chargeur,磁盤,nouns,0.6
1322,ronfler,醒覺,verbs,0.7
1323,jeans,女人,nouns,0.14
1324,sorcier,電纜,nouns,0.0
1325,satire,神話,nouns,1.27
1326,amant,伴侶,nouns,4.38
1327,hôtel,公寓,nouns,2.25
1328,fourrure,女人,nouns,0.25
1329,tasse,錐形蛋筒,nouns,0.34
1330,livre,話題,nouns,0.7
1331,cheville,窗口,nouns,0.09
1332,mère,妻子,nouns,3.01
1333,facilement,大致地,adverbs,0.57
1334,bruyamment,輕輕的,adverbs,0.69
1335,certain,緊張,adjectives,0.2
1336,critiquer,評論說,verbs,2.51
1337,sauce,蘋果,nouns,0.93
1338,stupide,醒目,adjectives,1.07
1339,désordonné,清潔,adjectives,0.84
1340,détruire,做,verbs,0.83
1341,écrire,匆匆地寫,verbs,4.22
1342,main,手腕,nouns,3.38
1343,attacher,分離,verbs,0.75
1344,riz,雞,nouns,0.92
1345,anarchie,混亂,nouns,3.79
1346,terne,尖,adjectives,0.14
1347,château,雕塑家,nouns,0.3
1348,casque,武器,nouns,1.77
1349,fiction,傳記,nouns,1.97
1350,tempête,雲,nouns,1.87
1351,queue,章,nouns,0.04
1352,organe,腎,nouns,3.83
1353,élève,總統,nouns,0.65
1354,maison,鎖匙,nouns,0.93
1355,servante,幫手,nouns,2.34
1356,orthodontiste,醫生,nouns,3.44
1357,chambre,肚,nouns,0.1
1358,condition,協議,nouns,1.92
1359,pollinisation,蕊,nouns,1.6
1360,rejeter,接受,verbs,1.08
1361,mélodie,節奏,nouns,3.68
1362,suite,相機,nouns,0.2
1363,nuit,章節,nouns,0.1
1364,enterrement,死亡,nouns,2.92
1365,météo,波浪,nouns,0.49
1366,prairie,草原,nouns,4.38
1367,ouvertement,大規模,adverbs,0.82
1368,médecin,脾氣,nouns,0.18
1369,femme,牛仔褲,nouns,0.14
1370,gin,酒,nouns,3.94
1371,impuissant,貧困,adjectives,1.55
1372,bizarre,奇怪,adjectives,5.68
1373,marginalement,大致,adverbs,1.15
1374,vieux,雜,adjectives,0.18
1375,apprécier,討厭,verbs,0.89
1376,chrétien,新教,nouns,4.03
1377,homophone,光線電話機,nouns,0.25
1378,planète,月亮,nouns,2.57
1379,détruire,保留,verbs,0.65
1380,cigare,盒子,nouns,0.74
1381,blesser,踢,verbs,3.22
1382,bébé,女兒,nouns,2.25
1383,trouver,搜索,verbs,3.17
1384,battre en retraite,降落,verbs,0.34
1385,tuer,絞刑,verbs,3.58
1386,avalanche,雪,nouns,2.63
1387,femme,一分錢,nouns,0.05
1388,fait,洞察力,nouns,0.82
1389,classe,混亂,nouns,0.15
1390,communiquer,祈禱,verbs,0.64
1391,rejeter,選舉,verbs,0.55
1392,roi,公主,nouns,2.69
1393,conduire,拖著腳走,verbs,0.1
1394,attaque,犯罪,nouns,1.66
1395,bois,毯,nouns,0.15
1396,rat,老鼠,nouns,4.61
1397,canapé,床,nouns,3.06
1398,fier,傷心,adjectives,0.65
1399,circonstance,情況,nouns,5.33
1400,apporter,恢復,verbs,0.28
1401,fort,強大,adjectives,5.48
1402,peuple,氣球,nouns,0.0
1403,cuisiner,失去,verbs,0.1
1404,simple,容易,adjectives,5.63
1405,honneur,敬重,nouns,3.36
1406,cadence,韻律,nouns,5.4
1407,cannelle,糖果,nouns,0.93
1408,date,日期,nouns,2.4
1409,guitare,小提琴,nouns,2.77
1410,arme,頭盔,nouns,1.77
1411,électrique,機械,adjectives,2.57
1412,bonne,女孩,nouns,0.72
1413,geyser,泉,nouns,3.67
1414,avionique,航空學,nouns,3.98
1415,souris,管理,nouns,0.04
1416,salaire,錢,nouns,4.21
1417,calibre,遮,nouns,0.05
1418,taille,戲法,nouns,0.0
1419,devenir,組織,verbs,0.24
1420,rivière,河谷,nouns,2.78
1421,tennis,統計資料,nouns,0.25
1422,posséder,攞,verbs,2.81
1423,véridique,不誠實,adjectives,0.55
1424,pull-over,褸,nouns,3.26
1425,soleil,天空,nouns,1.66
1426,proclamer,宣告,verbs,4.93
1427,rose,蝴蝶,nouns,0.39
1428,mer,海嘯,nouns,1.92
1429,zone,地區,nouns,3.85
1430,théâtre,電池,nouns,0.14
1431,mourir,埋葬,verbs,1.6
1432,combattre,咬,verbs,1.13
1433,acquérir,取得,verbs,5.03
1434,pot,瓶子,nouns,3.28
1435,lanceur,保齡球,nouns,1.67
1436,agréable,大方,adjectives,2.25
1437,légitime,非法,adjectives,0.74
1438,anormalement,一般,adverbs,0.75
1439,intuition,感覺,nouns,4.04
1440,triomphe,勝利,nouns,4.98
1441,bacon,豆,nouns,0.65
1442,rythme,詩,nouns,1.47
1443,constitution,皇帝,nouns,0.78
1444,essayer,實現,verbs,0.88
1445,herbe,刀口,nouns,0.1
1446,pâlir,侵蝕,verbs,0.94
1447,bière,酒,nouns,3.9
1448,rivière,溪流,nouns,3.88
1449,émeute,畫畫,nouns,0.2
1450,fou,高興,adjectives,0.93
1451,appareil photo,續集,nouns,0.2
1452,détériorer,抹,verbs,0.29
1453,être d'accord,不同,verbs,0.74
1454,bol,小巷,nouns,0.0
1455,musulman,主教,nouns,0.89
1456,déjeuner,晚餐,nouns,2.35
1457,tuteur,成人,nouns,2.81
1458,content,瘋狂,adjectives,0.93
1459,feu,大災變,nouns,0.98
1460,vainqueur,男人,nouns,0.83
1461,trimestre,半學年,nouns,4.18
1462,boeuf,肉,nouns,3.44
1463,taille,量,nouns,3.77
1464,liberté,綠洲,nouns,0.2
1465,gestion,老鼠,nouns,0.04
1466,lit,房間,nouns,0.73
1467,banal,普通,adjectives,5.4
1468,génial,精彩,adjectives,4.59
1469,groupe,酒,nouns,0.15
1470,mortellement,高高興興地,adverbs,0.34
1471,combattre,玩,verbs,0.88
1472,démon,怪獸,nouns,3.99
1473,esprit,神經官能症,nouns,1.07
1474,accepter,原諒,verbs,1.37
1475,cathédrale,天花板,nouns,0.29
1476,balle,手套,nouns,0.79
1477,adorer,敬佩,verbs,4.52
1478,doucement,大聲地,adverbs,0.69
1479,croyance,價值觀,nouns,3.18
1480,héros,女英雄,nouns,4.35
1481,se ruer,匆忙,verbs,4.88
1482,souper,早餐,nouns,2.35
1483,énergie,電池,nouns,3.17
1484,bain,氣球,nouns,0.1
1485,livre,文學,nouns,3.1
1486,badge,玻璃,nouns,0.34
1487,collecter,组织,verbs,1.48
1488,puissant,弱,adjectives,0.74
1489,chapeau,盒子,nouns,0.65
1490,mécaniquement,理想地,adverbs,0.33
1491,pendre,殺,verbs,3.58
1492,siècle,酒,nouns,0.1
1493,tranchant,溫和,adjectives,0.7
1494,intelligent,狡猾,adjectives,2.27
1495,laisser,見面,verbs,0.35
1496,cruel,嚴酷,adjectives,3.86
1497,maison,地毯,nouns,0.88
1498,terne,沉悶,adjectives,2.11
1499,content,開心,adjectives,5.33
1500,supplier,懇求,verbs,2.83
1501,malin,醒目,adjectives,4.54
1502,haricot,咖啡,nouns,0.63
1503,cuillère,果汁,nouns,0.68
1504,tâche,島,nouns,0.05
1505,frapper,吸引,verbs,0.55
1506,télescope,椅子,nouns,0.24
1507,honnêtement,忠誠地,adverbs,4.24
1508,veine,選擇,nouns,0.29
1509,précis,錯誤,adjectives,0.39
1510,follement,大聲地,adverbs,2.31
1511,essentiel,必須,adjectives,5.48
1512,détendu,強調,adjectives,1.08
