ID,FRA,RUS,PoS,score
755,initialement,творчески,adverbs,0.15
756,bête,животное,nouns,5.25
757,tuer,защищать,verbs,0.65
758,fier,дерзкий,adjectives,1.95
759,fonction,компилятор,nouns,2.0
760,éventuellement,оптимистически,adverbs,0.7
761,élégance,стиль,nouns,4.3
762,parfois,равномерно,adverbs,0.4
763,heureux,злой,adjectives,0.7
764,carte,площадь,nouns,0.75
765,livrer,брать,verbs,0.65
766,convenable,посредственный,adjectives,1.3
767,coin,область,nouns,0.55
768,grain,мельница,nouns,1.65
769,joue,язык,nouns,1.5
770,sorcier,кабель,nouns,0.0
771,apprendre,спутывать,verbs,0.5
772,jambe,конечность,nouns,3.35
773,tabouret,стул,nouns,3.55
774,livre,информация,nouns,1.8
775,main,ноготь,nouns,2.0
776,marine,армия,nouns,3.15
777,annoncer,провозглашать,verbs,5.25
778,bruyamment,тонко,adverbs,0.65
779,immédiatement,скоро,adverbs,2.7
780,créateur,изготовитель,nouns,4.6
781,siffler,останавливаться,verbs,0.25
782,étaler,размазывать,verbs,3.8
783,mer,цунами,nouns,1.5
784,salade,уксус,nouns,1.2
785,réceptacle,мышь,nouns,0.05
786,chérir,хранить,verbs,1.9
787,étranger,пришелец,nouns,3.25
788,récolter,получать,verbs,2.9
789,rare,экзотичный,adjectives,4.8
790,occasion,пенни,nouns,0.25
791,mousse,пузырь,nouns,2.1
792,pomme,диета,nouns,0.9
793,sujet,хэштег,nouns,3.15
794,terminer,ловить,verbs,0.25
795,faire,становиться,verbs,0.95
796,colonel,дантист,nouns,0.25
797,contrarié,пристыженный,adjectives,1.1
798,tragédie,смерть,nouns,2.6
799,bonheur,удача,nouns,2.8
800,amical,великодушный,adjectives,2.75
801,biographie,роман,nouns,1.65
802,laisser,разрешать,verbs,4.95
803,tuyau,автомобиль,nouns,0.5
804,cinématographie,режиссер,nouns,1.8
805,médecin,самообладание,nouns,0.15
806,cabine,хижина,nouns,2.45
807,privé,личный,adjectives,4.75
808,somme,соединение,nouns,2.75
809,fragile,бесстрастный,adjectives,0.2
810,permettre,утвердить,verbs,3.2
811,molécule,воздух,nouns,1.45
812,espace,регион,nouns,3.7
813,tête,гвоздь,nouns,1.2
814,chevaucher,бежать,verbs,0.95
815,conversion,высота,nouns,0.2
816,capteur,радиатор,nouns,0.7
817,son,акустика,nouns,3.7
818,doucement,громко,adverbs,0.55
819,différence,остаток,nouns,2.4
820,conseiller,рекомендовать,verbs,5.4
821,fait,доказательство,nouns,3.7
822,conversation,общение,nouns,4.65
823,laïc,религия,nouns,1.15
824,regarder,искать,verbs,1.8
825,furieux,ужасный,adjectives,0.8
826,prédire,предполагать,verbs,3.0
827,moissonneuse-batteuse,сахарный тростник,nouns,0.4
828,étouffer,жечь,verbs,0.35
829,alimentation,программа,nouns,0.8
830,foule,парад,nouns,2.2
831,couloir,дверь,nouns,1.35
832,île,принцесса,nouns,0.25
833,cruel,милый,adjectives,0.55
834,arrêter,ехать,verbs,0.8
835,intérêt,внимание,nouns,4.25
836,oncle,кузен,nouns,2.2
837,badge,стекло,nouns,0.25
838,psychologie,наука,nouns,2.25
839,herbe,мох,nouns,2.15
840,abdomen,брюшко,nouns,5.1
841,caractère,врач,nouns,0.15
842,mot,газета,nouns,1.65
843,œil,слеза,nouns,1.4
844,batterie,театр,nouns,0.05
845,thème,книга,nouns,1.05
846,exactement,активно,adverbs,0.25
847,oiseau,индейка,nouns,2.95
848,noyer,спасти,verbs,0.8
849,économie,экосистема,nouns,1.1
850,nuage,озеро,nouns,0.55
851,stupide,умный,adjectives,0.8
852,manager,глава,nouns,4.4
853,imprévu,непредвиденный,adjectives,5.8
854,pleinement,в принципе,adverbs,1.0
855,définition,словарь,nouns,2.7
856,père,дочь,nouns,1.55
857,fabricant,создатель,nouns,4.6
858,effrayé,в восторге,adjectives,0.75
859,marginalement,грубо,adverbs,0.65
860,tarte,шоколад,nouns,1.4
861,centime,сделка,nouns,0.25
862,récompense,оплата,nouns,3.8
863,téléphone,будка,nouns,1.2
864,huile,норка,nouns,0.3
865,couronne,ключ,nouns,0.05
866,avancer,продвигать,verbs,1.95
867,chercher,смотреть,verbs,1.8
868,suivre,гнаться,verbs,2.7
869,air,молекула,nouns,1.45
870,mec,друг,nouns,2.15
871,église,собор,nouns,4.25
872,balle,ракетка,nouns,1.75
873,parapsychologie,нейропсихология,nouns,2.05
874,important,необходимый,adjectives,4.1
875,courbe,угол,nouns,2.65
876,manuel,путеводитель,nouns,4.95
877,tuer,уничтожать,verbs,3.85
878,détériorer,протирать,verbs,0.2
879,informer,полировать,verbs,0.1
880,faible,мощный,adjectives,0.75
881,épaule,тело,nouns,1.8
882,rabbin,священник,nouns,1.85
883,carré,карта,nouns,0.75
884,enseignant,помощник,nouns,2.3
885,klaxon,автомобиль,nouns,1.4
886,adulte,опекун,nouns,2.15
887,sujet,история,nouns,1.35
888,radiateur,зонтик,nouns,0.25
889,sophistiqué,зрелый,adjectives,0.9
890,siècle,спиртное,nouns,0.05
891,sournois,странный,adjectives,1.55
892,taille,величина,nouns,4.35
893,centime,размер,nouns,0.35
894,chagrin,мука,nouns,1.95
895,milliardaire,бездомный,nouns,0.8
896,pauvre,одинокий,adjectives,0.65
897,propre,беспорядочный,adjectives,0.75
898,satisfaire,ладить,verbs,1.8
899,scénariste,телевидение,nouns,1.35
900,provenir,начинать,verbs,0.65
901,boîte,сигара,nouns,1.15
902,chiffon,одежда,nouns,1.85
903,pied,песок,nouns,0.3
904,flic,шериф,nouns,4.2
905,thé,лимон,nouns,1.25
906,pardonner,понимать,verbs,2.4
907,dépression,долина,nouns,0.6
908,vieux,свежий,adjectives,0.2
909,boisson,пиво,nouns,3.0
910,paisiblement,с гордостью,adverbs,0.45
911,arithmétique,ритм,nouns,0.2
912,chercher,охотиться,verbs,1.75
913,ami,мать,nouns,1.3
914,parapluie,калибр,nouns,0.05
915,agriculture,растение,nouns,1.35
916,frais,широкий,adjectives,0.1
917,incurvé,агрессивный,adjectives,0.0
918,couple,пара,nouns,5.5
919,cinéma,телевидение,nouns,3.05
920,plage,берег,nouns,3.15
921,rondin,древесина,nouns,3.4
922,porte,звонок,nouns,1.65
923,comparer,анализировать,verbs,3.35
924,fier,сильный,adjectives,1.4
925,beauté,сонет,nouns,0.45
926,accomplir,становиться,verbs,1.5
927,chapitre,ночь,nouns,0.1
928,exotique,редкий,adjectives,4.8
929,prévision,облачность,nouns,1.1
930,bain,комната,nouns,1.5
931,moutarde,зерно,nouns,2.05
932,pouffer,смеяться,verbs,4.8
933,gagner,заслуживать,verbs,2.35
934,corps,нерв,nouns,1.1
935,terne,острый,adjectives,0.1
936,carte graphique,материнская плата,nouns,3.6
937,clairement,конечно,adverbs,3.1
938,ordinaire,потрясающий,adjectives,0.75
939,reste,разница,nouns,2.4
940,merveilleux,красивый,adjectives,4.7
941,bon,вежливый,adjectives,2.45
942,saisir,читать,verbs,1.0
943,merveilleux,восхитительный,adjectives,4.5
944,bal,костюм,nouns,1.45
945,bière,напиток,nouns,3.0
946,nécessiter,устраивать,verbs,0.2
947,stylo,алфавит,nouns,0.8
948,carte,бридж,nouns,0.75
949,déraisonnablement,несправедливо,adverbs,2.25
950,globalisation,виза,nouns,0.8
951,hurler,орать,verbs,5.5
952,condition,пакт,nouns,2.15
953,femme,секретарь,nouns,1.15
954,blesser,падать,verbs,1.25
955,chœur,церковь,nouns,2.0
956,âge,красота,nouns,0.9
957,élire,выбирать,verbs,4.35
958,altitude,преобразование,nouns,0.2
959,satisfaire,понимать,verbs,0.55
960,similaire,подобный,adjectives,5.65
961,article,рукопись,nouns,3.0
962,oeuvre,художник,nouns,1.85
963,phonologie,экран,nouns,0.05
964,collant,грязный,adjectives,2.15
965,liqueur,век,nouns,0.05
966,donner,отрекаться,verbs,0.1
967,ignorant,обычный,adjectives,0.5
968,bonbon,корица,nouns,0.95
969,recevoir,достигать,verbs,0.75
970,se plaindre,приносить,verbs,0.2
971,tiroir,одежда,nouns,1.05
972,légende,мораль,nouns,1.2
973,docteur,ортодонт,nouns,2.85
974,organe,печень,nouns,2.6
975,fièrement,мирно,adverbs,0.45
976,radar,джойстик,nouns,0.35
977,transparent,указатель,nouns,0.1
978,longévité,цветок,nouns,0.2
979,manette,радар,nouns,0.35
980,lanceur,боулинг,nouns,1.75
981,gravité,метеор,nouns,0.8
982,agrume,апельсин,nouns,4.2
983,échec,шах,nouns,1.6
984,matrice,молекула,nouns,0.7
985,salaire,гонорар,nouns,4.2
986,facile,ранимый,adjectives,0.5
987,bois,бревно,nouns,3.4
988,bétail,йогурт,nouns,0.3
989,marteau,зубы,nouns,0.05
990,essuyer,ухудшать,verbs,0.2
991,incurvé,кривой,adjectives,5.5
992,mot,ключ,nouns,0.85
993,rythme,мелодия,nouns,3.5
994,criminalité,кража,nouns,2.5
995,généreux,приятный,adjectives,2.1
996,perception,видение,nouns,4.85
997,être diplômé,заканчивать,verbs,2.65
998,dépenser,копить,verbs,0.3
999,drapeau,столб,nouns,1.35
1000,mixte,старый,adjectives,0.05
1001,armée,флот,nouns,3.15
1002,repas,талия,nouns,0.15
1003,ruelle,шар,nouns,0.0
1004,constitution,император,nouns,0.8
1005,apporter,приходить,verbs,0.75
1006,décider,представлять,verbs,1.25
1007,effrayé,нервный,adjectives,1.6
1008,fort,гордый,adjectives,1.4
1009,mépriser,обвинять,verbs,0.95
1010,nier,признавать,verbs,0.85
1011,frais,новый,adjectives,3.7
1012,combattre,укусить,verbs,1.25
1013,chaise,телескоп,nouns,0.2
1014,commencer,идти,verbs,0.8
1015,machine,двигатель,nouns,2.85
1016,jus,ложка,nouns,0.65
1017,fille,ребенок,nouns,1.7
1018,sérieusement,ответственно,adverbs,3.4
1019,cuillère,сок,nouns,0.65
1020,illustration,волдырь,nouns,0.15
1021,donation,приношение,nouns,4.15
1022,étrangement,необычно,adverbs,3.1
1023,indice,слово,nouns,0.85
1024,spectacle,математик,nouns,0.1
1025,programme,питание,nouns,0.8
1026,succès,рамка,nouns,0.1
1027,signe,символ,nouns,5.0
1028,déranger,обострять,verbs,0.25
1029,assister,посылать,verbs,0.35
1030,convocation,сбор,nouns,3.85
1031,cuillère,чашка,nouns,1.35
1032,casque,оружие,nouns,1.5
1033,raquette,мяч,nouns,1.75
1034,transporter,поднимать,verbs,1.75
1035,vague,неясный,adjectives,4.75
1036,débat,дискуссия,nouns,4.5
1037,mal,великолепный,adjectives,0.3
1038,cloche,башня,nouns,1.2
1039,illégal,законный,adjectives,0.75
1040,neuropsychologie,парапсихология,nouns,2.05
1041,amical,навряд ли,adverbs,0.0
1042,dollar,миллионер,nouns,1.6
1043,agressif,изогнутый,adjectives,0.0
1044,anormalement,обычно,adverbs,0.75
1045,tempête,покрывало,nouns,0.05
1046,soleil,небо,nouns,1.7
1047,permettre,давать,verbs,1.45
1048,souris,управление,nouns,0.35
1049,arriver,посещать,verbs,0.75
1050,corde,провод,nouns,4.45
1051,principalement,критично,adverbs,0.4
1052,irrégulièrement,обычно,adverbs,0.75
1053,insulter,обижать,verbs,3.85
1054,clarifier,определять,verbs,3.95
1055,étrange,обычный,adjectives,0.85
1056,téléphone,потерпевший,nouns,0.1
1057,imaginer,притворяться,verbs,1.85
1058,artificiel,фальшивый,adjectives,4.25
1059,dire,подтверждать,verbs,0.8
1060,toit,окно,nouns,1.35
1061,ordinaire,средний,adjectives,2.9
1062,reprocher,обвинять,verbs,4.5
1063,important,незначительный,adjectives,0.75
1064,mort,трагедия,nouns,2.6
1065,gagner,завершать,verbs,1.0
1066,sévèrement,практически,adverbs,0.4
1067,personne,население,nouns,3.55
1068,ordinaire,странный,adjectives,0.85
1069,président,политик,nouns,3.05
1070,voiture,подъемник,nouns,0.75
1071,épée,окружение,nouns,0.25
1072,dîner,трапеза,nouns,3.6
1073,dentiste,полковник,nouns,0.25
1074,créer,нырять,verbs,0.1
1075,honneur,почтение,nouns,3.8
1076,deux fois,всегда,adverbs,0.8
1077,moniteur,экран,nouns,4.9
1078,garder,терять,verbs,0.8
1079,créateur,автор,nouns,4.8
1080,veine,рука,nouns,1.15
1081,couverture,шторм,nouns,0.05
1082,vérifier,обосновывать,verbs,2.95
1083,pièce,ванна,nouns,1.5
1084,population,народ,nouns,3.55
1085,acoustique,звук,nouns,3.7
1086,aviation,полет,nouns,2.05
1087,liberté,оазис,nouns,0.3
1088,danse,платье,nouns,0.8
1089,auteur,читатель,nouns,1.55
1090,envoyer,посещать,verbs,0.35
1091,verre,хрусталь,nouns,3.05
1092,brillant,отличный,adjectives,4.65
1093,purgatoire,загробный мир,nouns,2.35
1094,hanche,губа,nouns,0.85
1095,appartement,дом,nouns,4.1
1096,terne,захватывающий,adjectives,0.35
1097,personne,доллар,nouns,0.05
1098,laid,грубый,adjectives,1.25
1099,poli,приличный,adjectives,2.45
1100,journal,известие,nouns,1.65
1101,circonstance,ситуация,nouns,4.6
1102,ignorer,обращаться,verbs,0.55
1103,cabine,телефон,nouns,1.2
1104,armée,отряд,nouns,2.15
1105,soigneusement,опасно,adverbs,0.5
1106,avec optimisme,возможно,adverbs,0.7
1107,facile,большой,adjectives,0.2
1108,officier,лейтенант,nouns,2.2
1109,cytoplasme,цифра,nouns,0.0
1110,couler,дрейфовать,verbs,1.7
1111,neutre,спокойный,adjectives,2.0
1112,taxi,таксомотор,nouns,4.15
1113,fermement,мягко,adverbs,0.75
1114,réprimander,требовать,verbs,0.7
1115,indépendamment,ответственно,adverbs,0.7
1116,ordinaire,невежественный,adjectives,0.5
1117,pauvre,гордый,adjectives,0.35
1118,sculpture,статуя,nouns,4.55
1119,cigare,трубка,nouns,2.6
1120,emprunter,давать,verbs,1.6
1121,mentir,обвинять,verbs,0.6
1122,table,закат,nouns,0.0
1123,vague,погода,nouns,0.7
1124,tomber,ушибить,verbs,1.25
1125,toit,пол,nouns,1.25
1126,se produire,действовать,verbs,1.85
1127,coopérer,объединяться,verbs,2.85
1128,diviser,отрывать,verbs,1.55
1129,voiture,автострада,nouns,1.7
1130,sécheresse,вода,nouns,1.25
1131,rejoindre,сотрудничать,verbs,2.85
1132,aller,посылать,verbs,0.5
1133,débattre,подтверждать,verbs,3.15
1134,campagne,обезьяна,nouns,0.05
1135,grand,огромный,adjectives,4.7
1136,statue,скульптура,nouns,4.55
1137,terne,скучающий,adjectives,1.95
1138,formule,журнал,nouns,1.1
1139,idée,план,nouns,2.25
1140,choix,глава,nouns,0.7
1141,vision,восприятие,nouns,4.85
1142,avocat,галерея,nouns,0.05
1143,affiche,бумага,nouns,2.7
1144,acteur,многогранник,nouns,0.0
1145,quitter,выселять,verbs,1.35
1146,longévité,повязка,nouns,0.1
1147,pain,мука,nouns,1.95
1148,âme,брат,nouns,0.8
1149,situation,обстоятельство,nouns,4.6
1150,sérieusement,пассивно,adverbs,0.35
1151,structure,топология,nouns,3.15
1152,génial,плохой,adjectives,0.3
1153,dirigeant,король,nouns,4.45
1154,frontière,граница,nouns,5.0
1155,école,юриспруденция,nouns,1.25
1156,propager,мазать,verbs,3.8
1157,boîte,источник,nouns,0.0
1158,suspect,человек,nouns,0.85
1159,énorme,тупой,adjectives,0.65
1160,porte,кухня,nouns,0.85
1161,prendre,доставлять,verbs,0.65
1162,bien,пряный,adjectives,0.5
1163,avion,простынь,nouns,0.05
1164,construire,добавлять,verbs,1.0
1165,renier,отрекаться,verbs,3.25
1166,improbable,дружелюбно,adverbs,0.0
1167,costume,бал,nouns,1.45
1168,demander,умолять,verbs,3.95
1169,estomac,спальня,nouns,0.05
1170,industrie,предприятие,nouns,2.25
1171,cuisiner,потерять,verbs,0.05
1172,écosystème,экономика,nouns,1.1
1173,capturer,подражать,verbs,0.25
1174,chanceux,пристыженный,adjectives,0.4
1175,assister,прибывать,verbs,0.75
1176,étouffer,дышать,verbs,1.25
1177,confiserie,яблоко,nouns,1.3
1178,gardien,мать,nouns,1.2
1179,garçon,состояние,nouns,0.05
1180,plaider,просить,verbs,2.95
1181,dieu,дух,nouns,2.55
1182,difficile,плотный,adjectives,2.4
1183,assister,приходить,verbs,2.85
1184,meuble,квартира,nouns,1.45
1185,modeste,чистый,adjectives,1.0
1186,mot,литература,nouns,1.7
1187,cheville,кость,nouns,1.75
1188,comprendre,обнаруживать,verbs,2.8
1189,argent,жемчуг,nouns,0.95
1190,informe,униформа,adjectives,0.5
1191,chaise,табуретка,nouns,3.55
1192,faux,настоящий,adjectives,1.0
1193,trouver,убегать,verbs,0.3
1194,mutant,социобиология,nouns,0.5
1195,policier,политик,nouns,0.9
1196,permettre,позволять,verbs,4.95
1197,mère,подруга,nouns,1.3
1198,écrivain,дар,nouns,0.65
1199,vin,спиртное,nouns,2.65
1200,papier peint,фон,nouns,2.65
1201,région,область,nouns,3.7
1202,ballon,волейбол,nouns,1.55
1203,violent,пассивный,adjectives,0.4
1204,permettre,разъедать,verbs,0.15
1205,aéroport,кусок,nouns,0.1
1206,briller,сиять,verbs,5.1
1207,soigneusement,осторожно,adverbs,2.9
1208,apprendre,оценивать,verbs,1.75
1209,typhon,циклон,nouns,4.25
1210,doux,острый,adjectives,0.7
1211,parcourir,бродить,verbs,3.4
1212,mériter,зарабатывать,verbs,2.35
1213,national,большой,adjectives,0.2
1214,bois,одеяло,nouns,0.15
1215,homme,братство,nouns,1.1
1216,démon,чудовище,nouns,4.6
1217,fleur,фиалка,nouns,3.05
1218,voiture,датчик,nouns,0.8
1219,tour,колокол,nouns,1.2
1220,rejeter,избирать,verbs,0.65
1221,ministre,раввин,nouns,1.85
1222,personne,животное,nouns,1.15
1223,battre en retraite,спускаться,verbs,0.5
1224,tennis,статистика,nouns,0.25
1225,conquête,псалом,nouns,0.4
1226,profusion,изобилие,nouns,5.25
1227,acquérir,объединяться,verbs,0.7
1228,affaire,компания,nouns,3.75
1229,gamin,дочь,nouns,1.7
1230,bras,плечо,nouns,2.15
1231,course,выходные,nouns,0.25
1232,organiser,нуждаться,verbs,0.2
1233,autre,противолежащий,adjectives,1.85
1234,gagner,пожинать,verbs,2.9
1235,voler,давать,verbs,0.7
1236,intelligent,тупой,adjectives,1.0
1237,passé,предшествующее,nouns,4.4
1238,session,пациент,nouns,0.25
1239,dissertation,книга,nouns,1.5
1240,imprimer,игнорировать,verbs,0.1
1241,pomme,солнце,nouns,0.3
1242,dieu,священник,nouns,1.6
1243,exiger,выговаривать,verbs,0.7
1244,bébé,взрослый,nouns,1.5
1245,tsunami,море,nouns,1.5
1246,shérif,полицейский,nouns,4.2
1247,topologie,структура,nouns,3.15
1248,roman,писатель,nouns,1.6
1249,palais,небоскреб,nouns,1.45
1250,légèrement,ярко,adverbs,0.3
1251,informer,сообщать,verbs,5.15
1252,immédiatement,один раз,adverbs,0.7
1253,jardin,шланг,nouns,0.95
1254,immature,взрослый,adjectives,0.75
1255,clé,дом,nouns,1.15
1256,eau,засуха,nouns,1.25
1257,homme,победитель,nouns,1.1
1258,moine,крест,nouns,1.7
1259,représenter,решать,verbs,1.25
1260,échouer,полагаться,verbs,0.2
1261,feu,апокалипсис,nouns,1.4
1262,stupide,огромный,adjectives,0.65
1263,ballon,пушка,nouns,1.05
1264,timide,дорогой,adjectives,0.1
1265,abondance,множество,nouns,5.25
1266,arbre,лодка,nouns,0.5
1267,nihilisme,фильм,nouns,0.15
1268,prétendre,казаться,verbs,2.65
1269,bateau,мотор,nouns,1.35
1270,étroit,тонкий,adjectives,2.6
1271,bouclier,защита,nouns,3.2
1272,faible,пряный,adjectives,0.1
1273,adulte,младенец,nouns,1.5
1274,écran,фонология,nouns,0.05
1275,équitablement,несправедливо,adverbs,0.9
1276,nerveux,уверенный,adjectives,0.2
1277,siroter,глотать,verbs,2.4
1278,prudemment,внимательно,adverbs,2.9
1279,alcool,бренди,nouns,2.9
1280,satisfaire,развлекать,verbs,0.95
1281,tacot,такси,nouns,4.15
1282,voiture,завод,nouns,0.75
1283,vélo,кожа,nouns,0.2
1284,bière,алкоголь,nouns,2.95
1285,honteux,счастливый,adjectives,0.4
1286,basket,медаль,nouns,0.4
1287,fou,безумный,adjectives,5.6
1288,sonnette,дверь,nouns,1.65
1289,femme,мех,nouns,0.45
1290,laisser,странствовать,verbs,0.45
1291,château,стена,nouns,1.0
1292,intensité,звезда,nouns,1.35
1293,fermement,спокойно,adverbs,0.75
1294,interprète,песня,nouns,1.75
1295,disparaître,пропадать,verbs,5.35
1296,république,герцог,nouns,0.45
1297,auberge,мотель,nouns,4.15
1298,pistolet,народ,nouns,0.25
1299,poulet,ужин,nouns,1.15
1300,collecter,организовать,verbs,2.0
1301,rythme,стих,nouns,1.8
1302,critiquer,толкать,verbs,0.2
1303,malheureux,рассерженный,adjectives,1.65
1304,sagesse,ум,nouns,3.9
1305,masque,вечеринка,nouns,1.3
1306,accuser,осуждать,verbs,4.5
1307,pur,скромный,adjectives,1.0
1308,évidemment,видимо,adverbs,3.3
1309,poterie,керамика,nouns,4.35
1310,limite,рубеж,nouns,5.0
1311,feuille,саженец,nouns,1.15
1312,falaise,холм,nouns,2.65
1313,bois,бревно,nouns,3.5
1314,mot,страница,nouns,1.55
1315,alcool,пиво,nouns,2.95
1316,penser,спрашивать,verbs,0.95
1317,muffin,петрушка,nouns,0.4
1318,mentir,отрицать,verbs,1.8
1319,moteur,механизм,nouns,2.85
1320,bol,дорожка,nouns,0.0
1321,disque,компьютер,nouns,1.85
1322,lutter,предрешать,verbs,0.4
1323,liqueur,вино,nouns,2.65
1324,modeste,покладистый,adjectives,1.15
1325,moteur,двигатель,nouns,4.3
1326,retenir,оставаться,verbs,1.4
1327,poème,ритм,nouns,1.8
1328,principalement,терминально,adverbs,0.15
1329,mourir,закапывать,verbs,1.5
1330,lecteur,писатель,nouns,1.55
1331,flexible,скромный,adjectives,1.15
1332,protéger,помогать,verbs,3.0
1333,incurvé,прямой,adjectives,0.85
1334,hésitant,гневный,adjectives,0.45
1335,taxi,автомобиль,nouns,3.4
1336,pollinisation,тычинка,nouns,1.8
1337,emprunteur,кредит,nouns,1.95
1338,veine,желудок,nouns,0.95
1339,smartphone,ананас,nouns,0.0
1340,pécheur,святой,nouns,1.0
1341,activement,точно,adverbs,0.25
1342,câble,волшебник,nouns,0.0
1343,poulet,рис,nouns,1.0
1344,paix,счастье,nouns,2.7
1345,syntaxe,заглавное слово,nouns,0.8
1346,large,свежий,adjectives,0.1
1347,entrant,уходящий,adjectives,0.25
1348,perdre,сохранять,verbs,0.8
1349,frigide,грубый,adjectives,0.2
1350,merveilleux,великолепный,adjectives,5.3
1351,grossièrement,минимально,adverbs,0.65
1352,steak,мясо,nouns,4.55
1353,emprunter,нищенствовать,verbs,0.85
1354,flexible,эластичный,adjectives,4.45
1355,paiement,гонорар,nouns,3.7
1356,apocalypse,пожар,nouns,1.4
1357,satire,миф,nouns,1.35
1358,météore,сила тяжести,nouns,0.8
1359,rappeler,забывать,verbs,0.75
1360,colonne vertébrale,шея,nouns,2.1
1361,uniforme,вязание,nouns,0.25
1362,poignet,кисть,nouns,2.8
1363,maison,амбар,nouns,1.75
1364,critique,грубый,adjectives,0.6
1365,souris,контейнер,nouns,0.05
1366,flic,штурман,nouns,0.4
1367,fourrure,ружье,nouns,0.1
1368,approximativement,нетерпеливо,adverbs,0.85
1369,grand,большой,adjectives,4.55
1370,café,боб,nouns,0.75
1371,provenir,открывать,verbs,0.25
1372,réalisateur,кинематография,nouns,1.8
1373,cinéma,попкорн,nouns,1.45
1374,flore,природа,nouns,3.35
1375,médiocre,скучный,adjectives,2.7
1376,fiançailles,кольцо,nouns,1.85
1377,agréable,великодушный,adjectives,2.1
1378,ver à soie,гусеница,nouns,3.2
1379,sûrement,очевидно,adverbs,3.3
1380,brûler,душить,verbs,0.35
1381,château,скульптор,nouns,0.55
1382,se comporter,подчиняться,verbs,3.45
1383,nier,избежать,verbs,0.65
1384,populaire,известный,adjectives,4.9
1385,câble,часовня,nouns,0.05
1386,terrifiant,рассерженный,adjectives,0.8
1387,jus,яблоко,nouns,1.65
1388,nuit,глава,nouns,0.1
1389,rondin,дерево,nouns,3.5
1390,magnitude,глубина,nouns,1.5
1391,animal,зверь,nouns,5.25
1392,programme,экзамен,nouns,1.2
1393,crépuscule,вечер,nouns,3.85
1394,fraude,коррупция,nouns,3.55
1395,déchirer,одевать,verbs,0.1
1396,portail,дверь,nouns,4.2
1397,enquêter,заниматься,verbs,2.5
1398,scientifique,медбрат,nouns,0.75
1399,corniche,гора,nouns,1.5
1400,feuille,дерево,nouns,1.7
1401,maison,квартира,nouns,4.1
1402,défendre,убивать,verbs,0.65
1403,habit,ящик,nouns,1.05
1404,injustement,довольно,adverbs,0.9
1405,télévision,актер,nouns,1.3
1406,recevoir,давать,verbs,0.8
1407,s'écraser,разгромить,verbs,5.15
1408,effrayé,неуверенный,adjectives,1.2
1409,légitime,нелегальный,adjectives,0.75
1410,tasse,ложка,nouns,1.35
1411,différemment,терминально,adverbs,0.05
1412,mathématicien,показ,nouns,0.1
1413,veine,выбор,nouns,0.25
1414,télescope,мозговой штурм,nouns,0.05
1415,saisir,стараться,verbs,0.4
1416,cône,стакан,nouns,0.55
1417,inexactement,точно,adverbs,0.75
1418,se renseigner,думать,verbs,0.95
1419,confidentiel,открытый,adjectives,0.55
1420,tromper,мошенничать,verbs,4.05
1421,chiffre,число,nouns,4.9
1422,guerrier,мужчина,nouns,1.85
1423,salade,диета,nouns,1.2
1424,épaule,рука,nouns,2.15
1425,violation,преступление,nouns,4.65
1426,émotion,страсть,nouns,3.05
1427,clavier,свет,nouns,0.1
1428,intelligence,мудрость,nouns,3.9
1429,faux,точный,adjectives,0.25
1430,choix,тюрьма,nouns,0.15
1431,cerveau,разум,nouns,3.15
1432,étudiant,ученик,nouns,5.55
1433,cesser,делать,verbs,0.8
1434,alcool,виски,nouns,2.9
1435,environnement,меч,nouns,0.25
1436,canon,ядро,nouns,1.05
1437,idéalement,механически,adverbs,0.2
1438,sous-vêtement,тело,nouns,1.0
1439,bacon,боб,nouns,0.75
1440,décoration,стена,nouns,1.5
1441,mineur,значительный,adjectives,0.75
1442,pluie,изморось,nouns,2.75
1443,mortellement,счастливо,adverbs,0.4
1444,bouton,одежда,nouns,1.75
1445,grandement,серьезно,adverbs,2.2
1446,boîtier,электричество,nouns,0.95
1447,aller,продавать,verbs,0.6
1448,éclaboussure,вязкость,nouns,0.5
1449,comprendre,прощать,verbs,2.4
1450,crochet,форма,nouns,0.25
1451,gestion,мышь,nouns,0.35
1452,carte mère,главная плата,nouns,3.6
1453,photophone,омофон,nouns,0.35
1454,gentiment,любезно,adverbs,4.95
1455,crédit,заёмщик,nouns,1.95
1456,outil,работа,nouns,0.8
1457,calmement,мирно,adverbs,4.7
1458,moteur,поршень,nouns,2.5
1459,galaxie,приложение,nouns,0.4
1460,sentir,портить,verbs,0.1
1461,chargeur,диск,nouns,1.2
1462,agression,враждебность,nouns,4.45
1463,manifeste,неизвестный,adjectives,0.55
1464,gros,легкий,adjectives,0.2
1465,eau,соль,nouns,0.85
1466,échange,замена,nouns,5.05
1467,anarchie,хаос,nouns,4.45
1468,août,месяц,nouns,3.0
1469,télévision,коммуникация,nouns,2.35
1470,paille,псалом,nouns,0.1
1471,réchauffage,прогрев,nouns,3.65
1472,colonne vertébrale,тело,nouns,1.75
1473,télévision,кино,nouns,3.05
1474,cyclone,тайфун,nouns,4.25
1475,motel,гостиница,nouns,4.15
1476,chanter,плавать,verbs,0.15
1477,infection,болезнь,nouns,3.8
1478,précieux,особый,adjectives,2.75
1479,grossièrement,надежно,adverbs,0.5
1480,guitare,форель,nouns,0.05
1481,élire,отклонять,verbs,0.65
1482,boue,грязь,nouns,4.1
1483,voiture,мост,nouns,0.5
1484,fureur,злость,nouns,4.9
1485,combiné,смешанный,adjectives,4.6
