ID,CYM,FRA,PoS,score
726,buwch,bétail,nouns,4.45
727,deilen,arbre,nouns,1.9
728,salwch,infection,nouns,4.7
729,llyfr,sujet,nouns,1.0
730,barnu,décider,verbs,3.5
731,mynd,vendre,verbs,0.2
732,cymyl,brouillard,nouns,2.85
733,dryswch,hystérie,nouns,2.1
734,cwrw,boisson,nouns,3.0
735,ystafell ymolchi,chambre à coucher,nouns,2.25
736,anghofio,rappeler,verbs,0.8
737,pennod,queue,nouns,0.0
738,dyffryn,canyon,nouns,3.6
739,cyfreithiwr,avocat,nouns,4.25
740,dimai,personne,nouns,0.05
741,anghefnogi,frustrer,verbs,2.55
742,brwnt,incroyable,adjectives,0.35
743,llonydd,neutre,adjectives,1.5
744,yn ystyrlon,spécialement,adverbs,1.75
745,bàth,ballon,nouns,0.1
746,afon,ruisseau,nouns,4.35
747,twrci,poule,nouns,2.7
748,cymharu,analyser,verbs,2.8
749,modur,turbine,nouns,3.8
750,ysgoloriaeth,frais de scolarité,nouns,1.6
751,plymio,créer,verbs,0.1
752,llywydd,pollution,nouns,0.25
753,cwch,pont,nouns,1.45
754,atgoffa,vendre,verbs,0.2
755,marwolaeth,catastrophe,nouns,2.25
756,dod i feddiant,obtenir,verbs,4.8
757,cyfansoddiad,empereur,nouns,0.65
758,plasty,sculpteur,nouns,0.45
759,basged,ballon,nouns,0.7
760,yn negyddol,anormalement,adverbs,1.0
761,heb fod yn ddrud,abordable,adjectives,4.95
762,adeiladu,ajouter,verbs,1.3
763,afiechyd,danger,nouns,0.8
764,planed,lune,nouns,2.35
765,fel arfer,systématiquement,adverbs,3.6
766,traethawd,livre,nouns,1.0
767,car,ascenseur,nouns,0.45
768,gwaethygu,déranger,verbs,0.55
769,tywydd,vague,nouns,0.45
770,yn derfynol,principalement,adverbs,0.4
771,storm,ouragan,nouns,3.4
772,caffael,trouver,verbs,2.2
773,mynychu,rassembler,verbs,0.45
774,styden,type,nouns,1.3
775,ymadael,attendre,verbs,0.65
776,hawdd,gros,adjectives,0.2
777,llygoden,rat,nouns,3.85
778,derbyn,recommander,verbs,0.7
779,coeden,feuille,nouns,1.9
780,yn annibynnol,responsablement,adverbs,0.75
781,gwareiddiad,mode de vie,nouns,3.15
782,cwmpawd,éléphant,nouns,0.0
783,traeth,rivage,nouns,4.8
784,derbyn,prendre,verbs,2.45
785,arbennig,précieux,adjectives,2.7
786,llwyddo,essayer,verbs,1.6
787,gwerthfawr,paresseux,adjectives,0.1
788,cytuno,accepter,verbs,3.4
789,cynorthwy-ydd,enseignant,nouns,2.3
790,drifftio,couler,verbs,2.75
791,mynd  ,commencer,verbs,0.85
792,incwm,impôt,nouns,1.35
793,yn onest,jamais,adverbs,0.05
794,to,plafond,nouns,4.4
795,meddwl,se renseigner,verbs,1.15
796,diogelu,défendre,verbs,4.9
797,cegin,porte,nouns,0.55
798,coroni,eau,nouns,0.25
799,jin,whisky,nouns,2.6
800,log,bois,nouns,3.7
801,gallu,compétence,nouns,5.05
802,theatr,batterie,nouns,0.05
803,ffêr,fenêtre,nouns,0.0
804,medrydd,voiture,nouns,0.4
805,peiriant,moteur,nouns,3.65
806,cyfansoddwr,écrivain,nouns,3.5
807,cyflawn,fini,adjectives,5.7
808,taliad,frais,nouns,4.15
809,glob,monde,nouns,4.85
810,pili-pala,rose,nouns,0.55
811,anghyfreithlon,immoral,adjectives,2.55
812,achub,sauver,verbs,5.25
813,cytuno,différer,verbs,0.7
814,yn fuan,immédiatement,adverbs,2.75
815,wal,brique,nouns,1.7
816,mathemategydd,spectacle,nouns,0.1
817,oeraidd,fragile,adjectives,0.3
818,pren,couverture,nouns,0.15
819,olew,vison,nouns,0.1
820,diemwnt,argent,nouns,1.7
821,roboteg,simulation,nouns,0.9
822,serameg,poterie,nouns,4.3
823,beic,voiture,nouns,1.65
824,anthropoleg,archéologie,nouns,2.2
825,yn falch,paisiblement,adverbs,0.5
826,pêl-fasged,baseball,nouns,2.6
827,mwnci,campagne,nouns,0.05
828,arbed,détruire,verbs,0.65
829,pont,carte,nouns,0.25
830,diflannu,trouver,verbs,0.25
831,yn sicr,clairement,adverbs,2.95
832,gair,dictionnaire,nouns,2.2
833,ceffyl,poulain,nouns,4.05
834,maint,astuce,nouns,0.0
835,tyfu,développer,verbs,4.4
836,gofyn,mendier,verbs,3.0
837,cred,concept,nouns,3.1
838,parti,gens,nouns,1.1
839,cemeg,théorie,nouns,1.05
840,encilio,descendre,verbs,0.6
841,merch,mec,nouns,1.45
842,beddrod,tombe,nouns,1.65
843,gwartheg,boeuf,nouns,3.75
844,gadael,arriver,verbs,0.25
845,gêm,tour,nouns,1.7
846,ysgafn,tranchant,adjectives,0.75
847,terfyn,limite,nouns,4.85
848,paraseicoleg,neuropsychologie,nouns,2.3
849,bachgen,riz,nouns,0.05
850,symbol,signe,nouns,4.95
851,yn ddi-drefn,pacifiquement,adverbs,0.5
852,dygnwch,force,nouns,4.15
853,trydanol,doux,adjectives,0.2
854,blin,violent,adjectives,1.6
855,iris,acétylcholine,nouns,nan
856,swil,coûteux,adjectives,0.1
857,atwrnai,juriste,nouns,4.25
858,car,jauge,nouns,0.4
859,anwybodus,ordinaire,adjectives,0.45
860,drwg,génial,adjectives,0.3
861,angenrheidiol,essentiel,adjectives,5.2
862,metel,aluminium,nouns,3.1
863,gŵr,homme,nouns,4.1
864,dyfalu,énerver,verbs,0.15
865,cynffon,chapitre,nouns,0.0
866,dinistrio,tuer,verbs,3.15
867,ongl,courbe,nouns,1.95
868,eang,gros,adjectives,3.6
869,ymddangos,laisser,verbs,0.15
870,sffer,ballon,nouns,3.5
871,dyweddïad,bague,nouns,2.0
872,ceisio,réussir,verbs,1.6
873,cael,perdre,verbs,0.75
874,ffliw,fièvre,nouns,3.65
875,sant,pécheur,nouns,1.2
876,cerbyd,autobus,nouns,3.5
877,drysu,apprendre,verbs,0.5
878,dillad,chiffon,nouns,1.55
879,gwaethygu,agresser,verbs,0.75
880,rhoi,nier,verbs,0.2
881,rabi,ministre,nouns,2.25
882,anifail anwes,chat,nouns,3.45
883,ochr,bas,nouns,1.7
884,dadansoddi,comparer,verbs,2.8
885,ffres,large,adjectives,0.15
886,beio,accuser,verbs,4.9
887,trafodaeth,diplomatie,nouns,3.1
888,arf,casque,nouns,1.35
889,balch,triste,adjectives,0.75
890,sbeislyd,bien,adjectives,0.15
891,mynychu,arriver,verbs,0.7
892,osgoi,ignorer,verbs,3.35
893,cwympo,blesser,verbs,1.6
894,crefydd,laïc,nouns,1.55
895,gwrthod,élire,verbs,0.55
896,rhoi,obtenir,verbs,0.4
897,cyrchwr,frites,nouns,0.1
898,siarad,entendre,verbs,1.3
899,ffôn symudol,téléphone,nouns,5.05
900,gorsedd,épée,nouns,0.85
901,gaeaf,saison,nouns,3.0
902,cot,chapeau,nouns,1.65
903,boch,langue,nouns,1.35
904,yn hapus,mortellement,adverbs,0.3
905,gwerthuso,analyser,verbs,4.4
906,gwarcheidwad,adulte,nouns,2.15
907,actor,polyèdre,nouns,0.0
908,maes awyr,avion,nouns,2.3
909,ymchwilio,examiner,verbs,3.7
910,yn weithredol,heureusement,adverbs,0.25
911,cyfarfod,laisser,verbs,0.4
912,cyfreithiwr,galerie,nouns,0.05
913,amherchnogi,renoncer,verbs,2.5
914,ysgrifennydd,femme,nouns,0.95
915,gwyliadwraeth,jupe,nouns,0.35
916,garddwrn,bras,nouns,1.9
917,gadael,errer,verbs,0.7
918,enfawr,stupide,adjectives,0.65
919,marw,enterrer,verbs,1.65
920,tram,train,nouns,3.65
921,system,faute,nouns,0.2
922,eisiau,emprunter,verbs,0.6
923,dyddiad,calendrier,nouns,2.6
924,cyw iâr,dîner,nouns,1.25
925,benthyg,vouloir,verbs,0.6
926,cab,voiture,nouns,4.05
927,anghofio,apprendre,verbs,0.9
928,bychanu,conforter,verbs,0.45
929,car,automobile,nouns,5.5
930,amsugno,retirer,verbs,1.4
931,gwyn,étroit,adjectives,0.05
932,pryd bwyd,taille,nouns,0.15
933,braich,os,nouns,1.9
934,soned,beauté,nouns,0.55
935,gwaed,corps,nouns,1.7
936,arwr,héroïne,nouns,4.25
937,cath,animal de compagnie,nouns,3.45
938,afal,régime,nouns,0.95
939,goleddfu,influencer,verbs,3.5
940,prin,jamais,adverbs,3.3
941,parêd,foule,nouns,2.3
942,ychwanegu,multiplier,verbs,2.45
943,argraff,croyance,nouns,2.05
944,swltan,ministère,nouns,0.65
945,rhesymoli,penser,verbs,3.25
946,mintys poethion,gomme,nouns,0.7
947,bàth,pièce,nouns,0.95
948,cynllwyniwr,stratège,nouns,3.55
949,methu,perdre,verbs,4.2
950,estron,étranger,nouns,3.45
951,tŷ,tapis,nouns,0.8
952,aeddfed,sophistiqué,adjectives,1.8
953,car,usine,nouns,0.6
954,gwn,sergent,nouns,0.75
955,llwy,jus,nouns,0.55
956,nenfwd,cathédrale,nouns,0.3
957,brecwast,bacon,nouns,1.15
958,pumed,haut,adjectives,0.15
959,helpu,aider,verbs,5.7
960,esgob,musulman,nouns,0.95
961,bodloni,saisir,verbs,0.65
962,disg,ordinateur,nouns,1.55
963,pwyntydd,transparent,nouns,0.1
964,sarsiant,pistolet,nouns,0.75
965,penderfynu,juger,verbs,3.5
966,ymerawdwr,gouverneur,nouns,3.3
967,allwedd,maison,nouns,0.9
968,gwneud,cesser,verbs,0.7
969,arian,diamant,nouns,1.7
970,llyfr,information,nouns,1.5
971,rhyddhau,attraper,verbs,0.75
972,tymestl,couverture,nouns,0.05
973,batri,théâtre,nouns,0.05
974,newyddiadurwr,poète,nouns,1.1
975,yn sicr,évidemment,adverbs,3.1
976,cymryd,recevoir,verbs,2.45
977,afal,soleil,nouns,0.3
978,seciwlarydd,religion,nouns,1.55
979,dygnwch,fleur,nouns,0.3
980,iâr,oiseau,nouns,2.65
981,heicio,grimper,verbs,2.75
982,arbed,secourir,verbs,5.25
983,seiclon,typhon,nouns,4.45
984,pibell,voiture,nouns,0.1
985,treisgar,fâché,adjectives,1.6
986,twymyn,grippe,nouns,3.65
987,cân,ballade,nouns,4.5
988,yn rhyfedd,exceptionnellement,adverbs,3.2
989,prif fwrdd,carte mère,nouns,3.1
990,yn onest,sincèrement,adverbs,5.25
991,unig,pauvre,adjectives,0.6
992,drewi,sentir,verbs,4.0
993,enillydd,homme,nouns,0.75
994,gwallgof,heureux,adjectives,0.65
995,gadael,expulser,verbs,1.1
996,dadansoddi,évaluer,verbs,4.4
997,cansen siwgr,moissonneuse-batteuse,nouns,0.3
998,trafod,expliquer,verbs,2.25
999,hyll,brut,adjectives,0.65
1000,dewis,élire,verbs,4.3
1001,cario ,prendre,verbs,1.3
1002,eglwys gadeiriol,église,nouns,4.05
1003,pensil,histoire,nouns,0.35
1004,o reidrwydd,fondamentalement,adverbs,4.05
1005,duw,prêtre,nouns,1.45
1006,yn union,inexactement,adverbs,0.75
1007,bargen,centime,nouns,0.6
1008,amherchnogi,donner,verbs,0.6
1009,yn amlwg,grossièrement,adverbs,0.65
1010,coffi,haricot,nouns,0.75
1011,yn hapus,activement,adverbs,0.25
1012,swyddog,adjoint,nouns,1.6
1013,chwalu,fracasser,verbs,4.55
1014,merch,bébé,nouns,1.85
1015,gwrthod,éviter,verbs,1.45
1016,hela,chercher,verbs,2.2
1017,cod,symbole,nouns,2.75
1018,pur,modeste,adjectives,1.45
1019,yn fras,impatiemment,adverbs,0.6
1020,drws,fraternité,nouns,0.0
1021,pothell,illustration,nouns,0.15
1022,porth,porte,nouns,3.6
1023,mynnu,arguer,verbs,1.9
1024,ffrâm,succès,nouns,0.1
1025,ffôl,stupide,adjectives,5.4
1026,chwydu,fermer,verbs,0.05
1027,bachgen,frère,nouns,2.15
1028,ffoi,s'échapper,verbs,5.45
1029,derbyn,être d'accord,verbs,3.4
1030,clwb,marque,nouns,0.25
1031,sgwâr,carte,nouns,0.45
1032,crochenwaith,céramique,nouns,4.3
1033,rhadlon,agréable,adjectives,2.1
1034,mintys,musée,nouns,0.0
1035,pwffian chwerthin,rire,verbs,5.05
1036,credyd,emprunteur,nouns,1.6
1037,tasg,femme,nouns,0.05
1038,cwrw,alcool,nouns,3.25
1039,anhrefn,classe,nouns,0.2
1040,gadael,entrer,verbs,0.3
1041,codi,transporter,verbs,1.85
1042,pelydr,soleil,nouns,2.7
1043,gweddill,différence,nouns,3.2
1044,babi,fille,nouns,1.85
1045,gwych,délicieux,adjectives,3.4
1046,ffug,artificiel,adjectives,5.0
1047,bod mewn dyled,prêter,verbs,1.45
1048,gwahanu,partir,verbs,1.8
1049,cynorthwyo,assister,verbs,5.7
1050,gwisg unffurf,crochet,nouns,0.05
1051,stondin,téléphone,nouns,0.75
1052,teledu,scénariste,nouns,1.0
1053,camera,lentille,nouns,2.15
1054,mwslim,évêque,nouns,0.95
1055,gwleidydd,policier,nouns,0.9
1056,cadno,chien,nouns,1.55
1057,oer,ordinaire,adjectives,0.2
1058,ffenestr,nuage,nouns,0.4
1059,yn ddibynadwy,grossièrement,adverbs,0.45
1060,gadael,faire,verbs,0.7
1061,arferol,différent,adjectives,1.25
1062,anystwyth,facile,adjectives,0.2
1063,cosbi,enseigner,verbs,0.4
1064,diflas,marrant,adjectives,0.3
1065,jet,avion,nouns,4.45
1066,pwnc,livre,nouns,1.0
1067,cymdeithas,club,nouns,3.65
1068,trefnu,organiser,verbs,5.4
1069,newyddiadur,article,nouns,3.3
1070,bàth,journal,nouns,0.0
1071,cwmwl,météo,nouns,1.75
1072,dysgu,éduquer,verbs,4.25
1073,trosedd,vol,nouns,2.4
1074,iogwrt,bétail,nouns,0.2
1075,realiti,fantastique,nouns,1.25
1076,actor,actrice,nouns,4.4
1077,cwympo,trébucher,verbs,4.65
1078,pren,rondin,nouns,3.7
1079,chwalu,fracasser,verbs,4.65
1080,llosgfynydd,magma,nouns,2.3
1081,ystafell wely,vélo,nouns,0.05
1082,bowlio,lanceur,nouns,1.5
1083,milwr,garçon,nouns,1.1
1084,llygredd,président,nouns,0.25
1085,trydan,boîtier,nouns,0.65
1086,deintydd,colonel,nouns,0.25
1087,dynwared,capturer,verbs,0.25
1088,ysgytlaeth,jus,nouns,1.85
1089,geiriadur,mot,nouns,2.2
1090,adref,à l'extérieur,adverbs,1.1
1091,amwys,incertain,adjectives,4.95
1092,ale,bol,nouns,0.0
1093,dringo,randonner,verbs,2.75
1094,anwybyddu,explorer,verbs,0.35
1095,pwerus,faible,adjectives,0.7
1096,priodol,poli,adjectives,1.7
1097,dyfnder,magnitude,nouns,1.5
1098,yn derfynol,différemment,adverbs,0.0
1099,canolig,doux,adjectives,0.5
1100,cred,impression,nouns,2.05
1101,ardderchog,furieux,adjectives,0.6
1102,esgus,représenter,verbs,0.55
1103,yn bwysig,vraiment,adverbs,1.4
1104,sicr,sûr,adjectives,5.95
1105,creu,détruire,verbs,0.75
1106,derbyn,atteindre,verbs,0.25
1107,hyblyg,lâche,adjectives,1.0
1108,anghenus,impuissant,adjectives,1.6
1109,emyn,conquête,nouns,0.4
1110,caseg,cheval,nouns,4.55
1111,casglu,rencontrer,verbs,0.95
1112,gwneud,créer,verbs,5.05
1113,tyfu,rétrécir,verbs,0.85
1114,ofnus,timide,adjectives,2.1
1115,ymuno,attacher,verbs,1.5
1116,awdur,compositeur,nouns,3.5
1117,cael,acquérir,verbs,4.8
1118,yn agored,massivement,adverbs,0.9
1119,cyffrous,terne,adjectives,0.35
1120,mynd o'r golwg,se dissiper,verbs,5.4
1121,lori,paquet,nouns,0.45
1122,pêl-fas,fraternité,nouns,0.2
1123,ceisio,penser,verbs,0.3
1124,dweud ar goedd,annoncer,verbs,5.25
1125,alltud,extraterrestre,nouns,3.45
1126,portreadu,prétendre,verbs,0.55
1127,soffa,chaise,nouns,3.05
1128,yn ddiffuant,sérieusement,adverbs,1.6
1129,gwn,portable,nouns,0.1
1130,damwain,registre,nouns,0.3
1131,llong ryfel,croiseur,nouns,4.55
1132,reis,poulet,nouns,0.8
1133,cyflwr,garçon,nouns,0.05
1134,teledu,acteur,nouns,1.3
1135,herwgipio,voler,verbs,3.25
1136,galar,agonie,nouns,2.45
1137,nam,système,nouns,0.2
1138,crosio,uniforme,nouns,0.05
1139,maer,président,nouns,2.3
1140,sinematograffeg,réalisateur,nouns,1.65
1141,telesgop,cogitation,nouns,0.05
1142,cryfder,puissance,nouns,5.0
1143,ceunant,vallée,nouns,3.6
1144,sbeislyd,faible,adjectives,0.1
1145,cyfrwys,dur,adjectives,0.35
1146,crwm,droit,adjectives,0.85
1147,siarad,reconnaître,verbs,0.35
1148,uno,attacher,verbs,3.5
1149,crwydro,chercher,verbs,2.0
1150,ymuno,acquérir,verbs,0.7
1151,anniben,laid,adjectives,0.85
1152,cig eidion,bétail,nouns,3.75
1153,cwch,voiture,nouns,1.45
1154,yn wahanol,curieusement,adverbs,1.8
1155,cyfraith,école,nouns,1.0
1156,salad,vinaigre,nouns,1.1
1157,anghywir,précis,adjectives,0.3
1158,storm,nuage,nouns,1.5
1159,bwthyn,hutte,nouns,3.3
1160,unwaith,immédiatement,adverbs,1.2
1161,miniog,lisse,adjectives,1.0
1162,ôl-ddodiad,affixe,nouns,3.8
1163,enfawr,grand,adjectives,4.2
1164,cyflym,rapide,adjectives,5.35
1165,dweud,vérifier,verbs,0.65
1166,pêl,volley-ball,nouns,2.2
1167,penwythnos,semaine,nouns,2.3
1168,cymryd rhan,rejoindre,verbs,3.5
1169,oren,agrume,nouns,3.8
1170,nerfus,certain,adjectives,0.15
1171,cab,taxi,nouns,5.25
1172,modur,bateau,nouns,1.3
1173,reidio,courir,verbs,0.8
1174,het,manteau,nouns,1.65
1175,lens,appareil photo,nouns,2.15
1176,penelin,os,nouns,1.85
1177,cadair,banc,nouns,3.3
1178,yn llachar,légèrement,adverbs,0.3
1179,cyw iâr,steak,nouns,1.65
1180,gwefrydd,disque,nouns,0.6
1181,stêc,poulet,nouns,1.65
1182,mynd i mewn,aller,verbs,2.5
1183,cadach,vêtement,nouns,1.55
1184,pibell,jardin,nouns,0.55
1185,gwneuthurwr,créateur,nouns,5.1
1186,pryd bynnag,parfois,adverbs,0.4
1187,sudd,lait,nouns,1.6
1188,llywydd,maire,nouns,2.3
1189,llwyddo,gagner,verbs,4.35
1190,ymosodiad,criminalité,nouns,2.35
1191,môr,delta,nouns,1.7
1192,llawr,toit,nouns,1.15
1193,diog,occupé,adjectives,0.45
1194,lleuad,planète,nouns,2.35
1195,dod yn,accomplir,verbs,1.45
1196,sŵn,raquette,nouns,0.15
1197,boddi,sauver,verbs,0.8
1198,swyddfa,ouvrier,nouns,0.8
1199,pêl-fas,basket,nouns,2.6
1200,cyflogwr,ouvrier,nouns,1.35
1201,arbed,noyer,verbs,0.8
1202,tasg,autoroute,nouns,0.05
1203,dinistrio,créer,verbs,0.8
1204,modrwy,fiançailles,nouns,2.0
1205,drws,présence,nouns,0.15
1206,arholiad,programme,nouns,1.1
1207,cyflawni,recevoir,verbs,0.25
1208,rhoi,recevoir,verbs,0.8
1209,ffin,frontière,nouns,4.85
1210,cynorthwyo,demander,verbs,0.75
1211,mab,garçon,nouns,4.15
1212,dadlau,se plaindre,verbs,1.6
1213,digwyddiad codi arian,événement,nouns,1.75
1214,trefnu,devenir,verbs,0.15
1215,sylweddol,mineur,adjectives,0.7
1216,tywysoges,mariée,nouns,1.65
1217,calibr,parapluie,nouns,0.05
1218,ystafell,échouage,nouns,1.35
1219,pren,rondin,nouns,3.45
1220,pencampwr,gagnant,nouns,5.3
1221,tân,apocalypse,nouns,1.2
1222,fformiwla,équation,nouns,4.3
1223,wedi ei dychryn,enthousiasmé,adjectives,1.65
1224,gwasgu,étreindre,verbs,2.8
1225,disgybl,président,nouns,0.65
1226,iselder,vallée,nouns,0.9
1227,trên,tramway,nouns,3.65
1228,stopio,interdire,verbs,3.2
1229,uchel,grossier,adjectives,0.95
1230,gwirod,groupe,nouns,0.15
1231,drws,cuisine,nouns,0.55
1232,dibynnu,échouer,verbs,0.35
1233,cyfuniad,canne à sucre,nouns,0.3
1234,gwraig,centime,nouns,0.1
1235,amlwg,perceptible,adjectives,3.75
1236,ffasiwn,style,nouns,4.75
1237,anferthedd,taille,nouns,3.35
1238,heddwch,soldat,nouns,0.8
1239,ffisigwr,docteur,nouns,5.2
1240,gyferbyn,autre,adjectives,1.75
1241,cwpl,paire,nouns,5.85
1242,cythruddo,deviner,verbs,0.15
1243,bardd,journaliste,nouns,1.1
1244,bòs,réalisateur,nouns,2.55
1245,canol,repas,nouns,0.15
1246,mynychu,envoyer,verbs,0.25
1247,cyhuddo,mentir,verbs,0.8
1248,tad,dieu,nouns,2.5
1249,duw,père,nouns,2.5
1250,offeiriad,dieu,nouns,1.45
1251,canu,rire,verbs,1.15
1252,cael,rester,verbs,0.2
1253,pwerus,fort,adjectives,5.15
1254,ychwanegu,construire,verbs,1.3
1255,gwahaniaeth,reste,nouns,3.2
1256,goresgyn,dominer,verbs,3.8
1257,hawdd,rigide,adjectives,0.2
1258,cliw,mot,nouns,1.0
1259,diflannu,disparaître,verbs,5.4
1260,cerflun,sculpture,nouns,5.15
1261,losin,pomme,nouns,1.05
1262,llwythog,lourd,adjectives,4.2
1263,alwminiwm,étain,nouns,2.35
1264,damwain,catastrophe,nouns,4.05
1265,cwrs,estomac,nouns,0.1
1266,caniatáu,éroder,verbs,0.15
1267,greddf,sentiment,nouns,3.9
1268,lleihau,abaisser,verbs,4.85
1269,log,bois,nouns,3.45
1270,cefnogwr,criquet,nouns,0.4
1271,glân,désordonné,adjectives,0.75
1272,oedolyn,tuteur,nouns,2.15
1273,cynffon,falaise,nouns,0.05
1274,bwlch,cigare,nouns,0.7
1275,cân,histoire,nouns,1.45
1276,tun,aluminium,nouns,2.35
1277,lladd,se battre,verbs,1.5
1278,gorllewin,nord,nouns,1.8
1279,datgysylltu,diviser,verbs,1.35
1280,dibynnu ar,compter sur,verbs,3.95
1281,ysgwyd,recueillir,verbs,0.15
1282,llyfr,histoire,nouns,2.55
1283,hyfryd,merveilleux,adjectives,3.4
1284,gwellt,hymne,nouns,0.1
1285,moesol,légende,nouns,1.1
1286,ffilm,théâtre,nouns,1.75
1287,apocalyps,feu,nouns,1.2
1288,cotwm,pull-over,nouns,1.05
1289,ychydig,grossièrement,adverbs,0.65
1290,yn enfawr,ouvertement,adverbs,0.9
1291,syniad,schéma,nouns,2.75
1292,yfed,mélanger,verbs,0.55
1293,pennod,choix,nouns,0.4
1294,crwydro,laisser,verbs,0.7
1295,blodyn,longévité,nouns,0.3
1296,tad,mère,nouns,2.25
1297,cyffes,déni,nouns,1.0
1298,reidio,mélanger,verbs,0.1
1299,brwnt,étroit,adjectives,0.1
1300,diog,précieux,adjectives,0.1
1301,derbyn,accepter,verbs,3.55
1302,finegr,salade,nouns,1.1
1303,dannedd,marteau,nouns,0.0
1304,siwgr,miel,nouns,2.35
1305,cywilydd,modeste,adjectives,0.55
1306,amaethyddiaeth,plante,nouns,1.25
1307,seicoleg,science,nouns,2.3
1308,gostwng,réduire,verbs,4.85
1309,dyrchafu,élever,verbs,4.6
1310,rhoi,désavouer,verbs,0.6
1311,gwrthod,donner,verbs,0.2
1312,ymddeol,rétracter,verbs,0.85
1313,plesio,plaider,verbs,0.15
1314,awyren,feuille,nouns,0.05
1315,firws,sang,nouns,1.35
1316,malu,s'écraser,verbs,5.15
1317,llygoden,gestion,nouns,0.0
1318,naïf,innocent,adjectives,5.1
1319,hurt,intelligent,adjectives,0.75
1320,blin,heureux,adjectives,0.75
1321,drws,cave,nouns,0.7
1322,yn gadarn,doucement,adverbs,0.9
1323,caffael,voler,verbs,1.45
1324,hanfodol,nécessaire,adjectives,5.2
1325,gweithiwr,bureau,nouns,0.8
1326,tarw,veau,nouns,2.45
1327,pobl,centime,nouns,0.05
1328,minc,huile,nouns,0.1
1329,tywynnu,loucher,verbs,0.15
1330,cig eidion,viande,nouns,3.2
1331,cysuro,humilier,verbs,0.45
1332,saws,pomme,nouns,0.95
1333,awyren,hélicoptère,nouns,3.2
1334,digid,cytoplasme,nouns,0.0
1335,cymysgu,conduire,verbs,0.1
1336,esgus,imaginer,verbs,1.75
1337,caniatáu,donner,verbs,1.25
1338,erfyn,demander,verbs,3.0
1339,gwirod,vin,nouns,2.2
1340,dyn,partenaire,nouns,1.4
1341,anonest,véridique,adjectives,0.55
1342,allanfa,porte,nouns,2.65
1343,plentynaidd,idiot,adjectives,2.85
1344,canrif,liqueur,nouns,0.05
1345,ffêr,os,nouns,1.8
1346,ecosystem,économie,nouns,0.8
1347,paragraff,lettre,nouns,1.55
1348,ci,cheval,nouns,1.5
1349,bàth,femme,nouns,0.05
1350,balch ,fort,adjectives,1.25
1351,cyrraedd,assister,verbs,0.7
1352,tasg,paille,nouns,0.0
1353,anarchiaeth,chaos,nouns,4.35
1354,blodyn,croyance,nouns,0.0
1355,benthyg,vendre,verbs,0.75
1356,caniatáu,approuver,verbs,3.1
1357,angen,organiser,verbs,0.2
1358,rhoi,voler,verbs,0.75
1359,cynhwysydd,wagon,nouns,0.2
1360,clogwyn,queue,nouns,0.05
1361,cwyno,se disputer,verbs,1.6
1362,twyllo,tricher,verbs,3.9
1363,bioleg,anatomie,nouns,3.1
1364,cydsyniad,cours,nouns,0.65
1365,cadw,rester,verbs,0.95
1366,anghofio,savoir,verbs,0.85
1367,yn fras,facilement,adverbs,0.3
1368,jîns,femme,nouns,0.1
1369,medal,basket,nouns,0.4
1370,hel,attraper,verbs,1.5
1371,diplomyddiaeth,négociation,nouns,3.1
1372,stori,livre,nouns,2.55
1373,purdan,au-delà,nouns,2.3
1374,stumog,chambre,nouns,0.05
1375,yn unffurf,parfois,adverbs,0.35
1376,ci,chat,nouns,1.8
1377,llyncu,boire,verbs,3.5
1378,dweud celwydd,accuser,verbs,0.8
1379,cytoplasm,chiffre,nouns,0.0
1380,brwnt,bon marché,adjectives,0.15
1381,pêl-droed,plaisir,nouns,0.5
1382,perl,argent,nouns,0.95
1383,menyw,jeans,nouns,0.1
1384,eira,météo,nouns,1.6
1385,yn wir,surtout,adverbs,1.4
1386,ceiniog,occasion,nouns,0.6
1387,gwneuthurio,construire,verbs,4.05
1388,llygoden fawr,souris,nouns,3.85
1389,dosbarthu,accepter,verbs,0.6
1390,yn hael,jamais,adverbs,0.05
1391,meddu ,garder,verbs,2.95
1392,ffynhonnell,boîte,nouns,0.0
1393,mab,frère,nouns,1.7
1394,drachtio,avaler,verbs,3.5
1395,trefnu,collecter,verbs,1.3
1396,theori,théorème,nouns,3.8
1397,main,étroit,adjectives,3.1
1398,ymddangos,devenir,verbs,1.35
1399,datblygiad,collecte de fonds,nouns,1.15
1400,yn afreolaidd,généralement,adverbs,0.75
1401,twp,idiot,adjectives,5.65
1402,ffonoleg,écran,nouns,0.05
1403,cyfansoddiad,sénat,nouns,1.65
1404,ymerawdwr,constitution,nouns,0.65
1405,treisgar,passif,adjectives,0.35
1406,yn ddelfrydol,concrètement,adverbs,1.35
1407,cadair,canapé,nouns,3.05
1408,disgwyl,laisser,verbs,0.65
1409,yfed,élever,verbs,0.05
1410,pigo,sélectionner,verbs,5.05
1411,coeden,bateau,nouns,0.2
1412,telesgop,chaise,nouns,0.2
1413,dyn,père,nouns,2.6
1414,colli,garder,verbs,0.95
1415,gwerthuso,apprendre,verbs,0.95
1416,goruchafu,surmonter,verbs,3.8
1417,hapus,jeune,adjectives,0.5
1418,sesiwn,patient,nouns,0.1
1419,dwyn,kidnapper,verbs,3.25
1420,yn bennaf,en phase terminale,adverbs,0.4
1421,benthyg,supplier,verbs,0.9
1422,yn anarferol,normalement,adverbs,0.9
1423,maint,profondeur,nouns,1.5
1424,caled,dense,adjectives,1.25
1425,mynd i mewn,laisser,verbs,0.3
