ID,CYM,EST,PoS,score
697,cywilydd,kurbus,nouns,1.25
698,cwt,metsamajake,nouns,3.95
699,perfformiwr,laul,nouns,1.0
700,ffoi,põgenema,verbs,5.25
701,coeden,leht,nouns,1.3
702,deigryn,silm,nouns,1.15
703,pêl,kinnas,nouns,0.25
704,ffilm,linateos,nouns,4.55
705,lansio,saatma,verbs,0.75
706,madfall,madu,nouns,1.7
707,gwrthod,valima,verbs,0.45
708,taliad,auhind,nouns,1.3
709,ehangu,kasvatama,verbs,3.8
710,claddu,katma,verbs,0.8
711,colli,hoidma,verbs,0.4
712,pêl-fasged,pesapall,nouns,1.75
713,ffôn clyfar,ananass,nouns,0.05
714,wisgi,šampus,nouns,1.2
715,llyfr,käsikiri,nouns,2.1
716,ysgytlaeth,mahl,nouns,1.25
717,darganfod,otsima,verbs,1.15
718,yn amlwg,umbes,adverbs,0.3
719,newynog,janune,adjectives,1.8
720,ewin,pöial,nouns,1.05
721,hir,kitsas,adjectives,0.65
722,breuddwyd,taevas,nouns,0.5
723,pêl-fas,diivan,nouns,0.1
724,arestio,kahtlustama,verbs,0.7
725,diafol,jumal,nouns,1.0
726,ffensio,võimlemine,nouns,1.0
727,gwraig,sent,nouns,0.1
728,fisa,globalism,nouns,0.6
729,dyffryn,depressioon,nouns,0.6
730,log,vann,nouns,0.0
731,yn annaturiol,loomulikult,adverbs,0.3
732,yn heddychlon,uhkelt,adverbs,0.4
733,denu,lööma,verbs,0.3
734,pennod,valik,nouns,0.4
735,bywgraffiad,ilukirjandus,nouns,0.75
736,ceffyl,härg,nouns,1.05
737,aloi,teras,nouns,2.75
738,siart,graafik,nouns,3.8
739,sy'n dod i mewn,väljuv,adjectives,0.35
740,cath,koer,nouns,1.25
741,gweinidogaeth,sultan,nouns,0.25
742,tywynnu,kissitama,verbs,0.65
743,ffin,piire,nouns,3.75
744,hawdd,paindlik,adjectives,1.2
745,heliwm,õhk,nouns,2.1
746,gwregys,silmus,nouns,0.5
747,perygl,tõbi,nouns,0.45
748,argymell,nõu andma,verbs,4.3
749,ffaith,vihje,nouns,1.0
750,poen,kahju,nouns,1.9
751,deiet,salat,nouns,0.85
752,anghofio,säilitama,verbs,0.3
753,atodiad,liide,nouns,3.5
754,cyntedd,klassiruum,nouns,0.6
755,cymryd,hankima,verbs,1.7
756,orthodontydd,hambaarst,nouns,4.35
757,eglwys gadeiriol,lagi,nouns,0.55
758,trafferthu,raskendama,verbs,1.15
759,cas,elekter,nouns,0.2
760,wal,kindlus,nouns,1.1
761,saeth,sihtmärk,nouns,0.7
762,trist,naljakas,adjectives,0.35
763,siwgr,mesi,nouns,1.9
764,mynychu,kogunema,verbs,0.9
765,priodi,kihluma,verbs,1.3
766,traeth,rannik,nouns,2.55
767,coginio,praadima,verbs,2.2
768,ffens,hüppamine,nouns,0.45
769,pen-glin,käsi,nouns,0.85
770,helpu,abistama,verbs,5.15
771,twyllo,petma,verbs,4.55
772,anniben,korrapärane,adjectives,0.3
773,arbed,hävitama,verbs,0.2
774,cyflwr,poiss,nouns,0.05
775,anhrefn,klass,nouns,0.2
776,ethol,valima,verbs,3.6
777,alwminiwm,tina,nouns,1.75
778,gwadu,ülestunnistus,nouns,0.65
779,sinema,popkorn,nouns,0.9
780,codi,jooma,verbs,0.4
781,lluwchwynt,vihm,nouns,1.05
782,syml,keeruline,adjectives,0.4
783,traethawd,raamat,nouns,1.1
784,yn gryf,ametlikult,adverbs,0.6
785,ynys,merevägi,nouns,0.3
786,o ychydig,täielikult,adverbs,0.65
787,cwch,auto,nouns,0.8
788,plentynaidd,juhm,adjectives,1.85
789,yn feirniadol,põhiliselt,adverbs,0.25
790,yn sicr,mõnikord,adverbs,0.1
791,torri,lammutama,verbs,4.0
792,chwyrnu,ärkama,verbs,0.55
793,anfoesol,illegaalne,adjectives,2.1
794,capel,kirikutorn,nouns,0.8
795,ymddangos,saama,verbs,1.0
796,aderyn,hakk,nouns,2.3
797,pla,putukamürk,nouns,1.0
798,cul,pikk,adjectives,0.65
799,prin,ebatavaline,adjectives,4.35
800,pathogen,pisik,nouns,4.15
801,merch,isa,nouns,0.95
802,bws,takso,nouns,1.2
803,brithyll,kitarr,nouns,0.0
804,maes awyr,tükk,nouns,0.0
805,hyll,toores,adjectives,0.4
806,cyfrifiadur,ketas,nouns,0.7
807,diddordeb,tähelepanu,nouns,2.6
808,pryd bwyd,õhtusöök,nouns,3.1
809,gwrando,alluma,verbs,1.3
810,twll,abikaasa (naine),nouns,0.05
811,clogwyn,pära,nouns,0.0
812,tyfu,suurenema,verbs,4.15
813,botwm,riided,nouns,0.5
814,benthyg,andma,verbs,1.95
815,angel,deemon,nouns,0.75
816,wylo,nutma,verbs,4.45
817,trwyn,suu,nouns,0.95
818,cnoi,kaklema,verbs,0.6
819,ysgol,õigus,nouns,0.35
820,tenau,sale,adjectives,4.5
821,twymyn,haigus,nouns,2.85
822,trasiedi,surm,nouns,1.55
823,dwywaith,alati,adverbs,0.2
824,dyn,tüdruk,nouns,0.9
825,ecosystem,majandus,nouns,0.65
826,niweidio,jalaga lööma,verbs,1.75
827,ffidil,kitarr,nouns,1.15
828,ôl-ddodiad,järelliide,nouns,3.5
829,llywydd,õpilane,nouns,0.25
830,weithiau,kunaiganes,adverbs,0.85
831,mae'n debygol,võib-olla,adverbs,2.5
832,actores,näitleja,nouns,4.3
833,delwedd,peegeldus,nouns,1.0
834,hebog,kotkas,nouns,2.1
835,mynydd,perv,nouns,0.55
836,ifanc,püsimatu,adjectives,0.7
837,masarnen,tamm,nouns,1.5
838,gardd,voolik,nouns,0.45
839,hurt,tark,adjectives,0.35
840,ymddeol,tagasi võtma,verbs,0.2
841,diferu,kallama,verbs,1.7
842,offeiriad,jumal,nouns,1.1
843,tâl,makse,nouns,4.1
844,tenis,statistika,nouns,0.2
845,codi,sikutama,verbs,1.15
846,arall,vastandlik,adjectives,0.75
847,smart,loll,adjectives,0.35
848,gwraig,kõrs,nouns,0.0
849,dyweddïad,sõrmus,nouns,1.4
850,brenhines,mesilane,nouns,0.45
851,cân,esineja,nouns,1.0
852,crwm,agressiivne,adjectives,0.25
853,cyn,pärast,adverbs,0.35
854,llinyn,päikeseloojang,nouns,0.05
855,dysgu,imenduma,verbs,0.8
856,plentyn,poiss,nouns,2.3
857,yn naturiol,vaikselt,adverbs,0.55
858,oen,lammas,nouns,3.65
859,gogledd,lõuna,nouns,1.0
860,pellter,vaatenurk,nouns,0.4
861,o ddifrif,oluliselt,adverbs,2.0
862,creu,joonistama,verbs,0.65
863,coron,võti,nouns,0.45
864,safbwynt,vahemaa,nouns,0.4
865,yn ofalus,praegu,adverbs,0.2
866,ymadrodd,sõna,nouns,1.95
867,milwr,rahu,nouns,0.3
868,cyfeillgar,helde,adjectives,2.25
869,enwogrwydd,jõukus,nouns,0.9
870,bacwn,uba,nouns,0.35
871,doler,rahvas,nouns,0.05
872,dadl,kokkulepe,nouns,0.55
873,enillydd,tšempion,nouns,5.2
874,dysgu,segadusse ajama,verbs,0.3
875,meddwl,pärima,verbs,0.95
876,gwraig,naine,nouns,4.25
877,baco,sigaret,nouns,2.9
878,llythyr,lõik,nouns,0.8
879,aer,heelium,nouns,2.1
880,clou,tormakas,adjectives,3.65
881,teledu,kino,nouns,1.65
882,go iawn,võlts,adjectives,0.3
883,stopio,kontrollima,verbs,0.5
884,opera,kino,nouns,0.85
885,to,põrand,nouns,0.7
886,morwyn,tüdruk,nouns,2.3
887,dyn,naine,nouns,0.65
888,ysgrifennu,kritseldama,verbs,2.8
889,anystwyth,kerge,adjectives,0.05
890,dinas,väikelinn,nouns,2.1
891,cyfaill,sõber,nouns,5.4
892,llygad,kulm,nouns,1.25
893,polyester,puuvill,nouns,1.25
894,tasg,töö,nouns,3.15
895,ennill,teostama,verbs,1.8
896,anthropoleg,arheoloogia,nouns,1.5
897,cyrraedd,osalema,verbs,0.8
898,peiriannydd,tööline,nouns,2.2
899,hylif,tila,nouns,0.6
900,topoleg,struktuur,nouns,1.5
901,tân,apokalüpsis,nouns,0.75
902,dirprwy,ohvitser,nouns,0.75
903,awyrennaeth,lennuseadmeteadus,nouns,3.7
904,penelin,pahkluu,nouns,1.0
905,neidr,sisalik,nouns,1.7
906,stôl,tool,nouns,3.45
907,prawf,kohtuotsus,nouns,2.0
908,rhifyddeg,rütm,nouns,0.65
909,cyfarfod,tervitama,verbs,1.4
910,ffilm,nihilism,nouns,0.2
911,anrhagweledig,ootamatu,adjectives,4.65
912,anwybyddu,vältima,verbs,3.75
913,hel,püüdma,verbs,1.7
914,bodloni,heameelt tegema,verbs,3.25
915,traethawd,kodutöö,nouns,1.85
916,dechrau,lõpetama,verbs,0.3
917,gwrando,õppima,verbs,1.2
918,diogel,legaalne,adjectives,1.5
919,nyrs,teadlane,nouns,0.3
920,gludedd,plärtsatus,nouns,0.1
921,moleciwl,õhk,nouns,0.7
922,stoc,vara,nouns,3.15
923,torf,kamp,nouns,2.65
924,erthygl,ajakiri,nouns,2.2
925,yn ddibynadwy,passiivselt,adverbs,0.3
926,swyddfa,tööline,nouns,0.7
927,siarad,kuulma,verbs,0.7
928,anghyfreithlon,ebamoraalne,adjectives,2.1
929,pobl,pidu,nouns,0.95
930,taliad,paberraha,nouns,0.7
931,gadael,saabuma,verbs,0.45
932,cynorthwy-ydd,õpetaja,nouns,1.95
933,gwin,naps,nouns,1.85
934,awyr,unistus,nouns,0.5
935,cawod,klooster,nouns,0.1
936,ergyd,raam,nouns,0.25
937,gwenynen,kuninganna,nouns,0.45
938,casáu,kritiseerima,verbs,1.05
939,cyfyngu,vähendama,verbs,3.55
940,braich,säär,nouns,1.15
941,yn aml,harva,adverbs,0.35
942,cotwm,polüester,nouns,1.25
943,gwersyll,metsamajake,nouns,1.05
944,steil,mood,nouns,4.55
945,danfon,tooma,verbs,0.9
946,anniben,puhas,adjectives,0.25
947,sylw,huvi,nouns,2.6
948,ofnus,rahutu,adjectives,3.15
949,cyflogwr,tööline,nouns,1.0
950,mae'n debyg,lihtsalt,adverbs,0.8
951,ffurfdroad,nakkus,nouns,0.0
952,sgol,tuul,nouns,2.7
953,banereg,lipp,nouns,0.95
954,sensoriaeth,vabadus,nouns,0.25
955,arian,kapital,nouns,3.3
956,o bosibl,optimistlikult,adverbs,1.3
957,cyflawni,võitma,verbs,1.8
958,cyfreithiwr,pankur,nouns,1.0
959,mam,eestkostja,nouns,1.9
960,seren,asteroid,nouns,2.1
961,dosbarth,kolledž,nouns,1.25
962,cyrchwr,kiibid,nouns,0.2
963,drifftio,voolama,verbs,2.4
964,brawd,poeg,nouns,1.0
965,moesol,legend,nouns,0.55
966,diwylliant,ühiskond,nouns,1.85
967,nenfwd,katedraal,nouns,0.55
968,preifat,avalik,adjectives,0.65
969,ymosodol,ebaviisakas,adjectives,1.85
970,treisgar,vihane,adjectives,1.65
971,ifanc,õnnelik,adjectives,0.55
972,amau,arreteerima,verbs,0.7
973,cinio,võileib,nouns,1.0
974,cerflun,skulptuur,nouns,4.9
975,crys,kampsun,nouns,1.15
976,angenrheidiol,hädavajalik,adjectives,4.25
977,homoffon,fotofon,nouns,0.25
978,sefyllfa,seisund,nouns,3.05
979,ymuno,omandama,verbs,0.35
980,tywysoges,küpsis,nouns,0.05
981,gwael,hirmus,adjectives,1.5
982,gwrthod,hukka mõistma,verbs,0.55
983,deintydd,kolonel,nouns,0.05
984,ymchwilio,kontrollima,verbs,3.3
985,cadw,andma,verbs,0.3
986,rhosyn,liblikas,nouns,0.4
987,plisman,kaaspiloot,nouns,0.2
988,gwellt,abikaasa (naine),nouns,0.0
989,maneg,ball,nouns,0.25
990,bowliwr,keegel,nouns,1.45
991,llyncu,rüüpama,verbs,2.45
992,yn hawdd,mugavalt,adverbs,1.3
993,cyfuniad,suhkruroog,nouns,0.45
994,goruchafiaeth,kõikvõimsus,nouns,2.5
995,seremoni,pidustus,nouns,2.8
996,gwddf,nina,nouns,0.85
997,pibell,auto,nouns,0.2
998,torf,rahvasumm,nouns,5.1
999,barnwr,kohus,nouns,1.25
1000,methu,tuginema,verbs,0.15
1001,tŷ,võti,nouns,0.65
1002,soffa,tool,nouns,2.15
1003,pobl,sent,nouns,0.05
1004,egluro,selgitama,verbs,4.25
1005,môr,jõgi,nouns,1.4
1006,babi,tütar,nouns,1.3
1007,methu,tabama,verbs,0.45
1008,uchder,muutmine,nouns,0.1
1009,sibrwd,rääkima,verbs,2.2
1010,dod â,kandma,verbs,2.0
1011,drôr,riided,nouns,0.8
1012,dweud,väljendama,verbs,3.6
1013,ysgafn,terav,adjectives,0.2
1014,stondin,telefon,nouns,0.6
1015,rhyfedd,kaval,adjectives,0.5
1016,camera,president,nouns,0.2
1017,cul,ulatuslik,adjectives,0.2
1018,cwmwl,vine,nouns,2.3
1019,ystafell ymolchi,magamistuba,nouns,1.65
1020,band,paraad,nouns,0.9
1021,arbed,kaitsma,verbs,2.35
1022,sgrechian,karjuma,verbs,3.6
1023,perfedd,närv,nouns,0.4
1024,machlud haul,laud,nouns,0.05
1025,hawdd,raske,adjectives,0.25
1026,gair,kirjandus,nouns,1.45
1027,sicr,kindel,adjectives,5.4
1028,gweddïo,suhtlema,verbs,0.7
1029,lefel,tulemus,nouns,2.2
1030,arfordir,kallas,nouns,3.15
1031,hael,kena,adjectives,1.55
1032,caledwedd,karp,nouns,0.2
1033,yn syml,ilmselt,adverbs,0.8
1034,gwybod,unustama,verbs,0.25
1035,caled,keeruline,adjectives,4.8
1036,yn hanfodol,kriitiliselt,adverbs,0.25
1037,gwael,üksildane,adjectives,0.45
1038,achub,päästma,verbs,4.45
1039,ofnadwy,kurb,adjectives,1.45
1040,uno,jagama,verbs,0.6
1041,haint,käänamine,nouns,0.0
1042,pinsio,lööma,verbs,1.3
1043,dal,kinni püüdma,verbs,3.8
1044,dadlau,veenma,verbs,1.9
1045,arnofio,allkirjastama,verbs,0.0
1046,menyw,abikaasa (naine),nouns,4.25
1047,cydweithredu,ühinema,verbs,1.6
1048,eil,saal,nouns,0.6
1049,bywyd wedi marwolaeth,puhastustuli,nouns,1.55
1050,cleddyf,troon,nouns,0.65
1051,firws,veri,nouns,0.85
1052,adref,võõrsil,adverbs,0.55
1053,ymuno,lahkuma,verbs,0.2
1054,cytundeb,vaidlus,nouns,0.55
1055,yn hapus,ohutult,adverbs,0.8
1056,parsel,veok,nouns,1.0
1057,anghofio,teadma,verbs,0.25
1058,liberti,priius,nouns,5.55
1059,trafod,seletama,verbs,1.95
1060,anifail anwes,kass,nouns,2.5
1061,mab,isa,nouns,1.35
1062,glân,kena,adjectives,2.0
1063,gwas,ori,nouns,2.1
1064,nod,võitja,nouns,0.45
1065,ffasiwn,stiil,nouns,4.55
1066,concwest,võitlus,nouns,2.25
1067,graff,diagramm,nouns,3.8
1068,gallu,tugevus,nouns,2.4
1069,sgwrs,suhtlus,nouns,3.9
1070,eglwys,katedraal,nouns,3.8
1071,bri,jõukus,nouns,0.75
1072,yn bwysig,tõsiselt,adverbs,2.0
1073,swydd,juhtkond,nouns,0.95
1074,gwm,piparmünt,nouns,0.6
1075,ymbarél,kaliiber,nouns,0.05
1076,trist,uhke,adjectives,0.1
1077,canrif,kümnend,nouns,0.95
1078,cyfarwyddwr,kinematograafia,nouns,1.15
1079,symud,lõimima,verbs,0.2
1080,cul,valge,adjectives,0.1
1081,ofnus,närviline,adjectives,2.85
1082,pot,seade,nouns,0.15
1083,yn dawel,valjusti,adverbs,0.1
1084,gwadu,aktsepeerima,verbs,0.25
1085,lamp,džinn,nouns,0.4
1086,fector,maatriks,nouns,1.3
1087,yn rhyfeddol,fantastiliselt,adverbs,4.25
1088,ceisio,veenma,verbs,0.7
1089,cuddwisgo,katma,verbs,2.25
1090,coleg,amet,nouns,0.5
1091,arsylwi,vaatama,verbs,3.15
1092,yn drist,emotsionaalselt,adverbs,1.9
1093,glaw,rahe,nouns,2.15
1094,hapus,noor,adjectives,0.55
1095,goruchafiath,võit,nouns,4.15
1096,theori,keemia,nouns,0.55
1097,rhythm,meloodia,nouns,1.85
1098,cadernid,jõud,nouns,4.0
1099,mwydyn,pahavara,nouns,0.35
1100,damwain,katastroof,nouns,3.85
1101,trafodaeth,diplomaatia,nouns,2.85
1102,ffrio,keetma,verbs,1.0
1103,sawl,kaks korda,adverbs,1.15
1104,gormesu,loobuma,verbs,0.1
1105,mam,sõber,nouns,1.55
1106,atwrnai,advokaat,nouns,4.15
1107,handlen,valk,nouns,0.0
1108,bygythiad,oht,nouns,3.2
1109,yn nerfus,rahutult,adverbs,4.05
1110,blits,rünnak,nouns,3.65
1111,caniatáu,heaks kiitma,verbs,3.15
1112,gorchuddio,maskeerima,verbs,2.25
1113,graddio,lõppema,verbs,1.5
1114,deuod,kondensaator,nouns,1.0
1115,crebachu,kaduma,verbs,1.9
1116,ffwr,naine,nouns,0.25
1117,cwest,eesmärk,nouns,1.8
1118,caled,sitke,adjectives,2.9
1119,rhoi,teadma,verbs,0.0
1120,concwest,hümn,nouns,0.15
1121,athro,juhendaja,nouns,3.9
1122,proffwydo,eeldama,verbs,1.85
1123,mintys poethion,näts,nouns,0.6
1124,gwyddoniaeth,psühholoogia,nouns,2.0
1125,braich,keha,nouns,0.95
1126,corff,käsi,nouns,0.95
1127,gradd,kool,nouns,1.2
1128,gwenynen,sipelgas,nouns,1.0
1129,hynafol,modernne,adjectives,0.3
1130,braich,veen,nouns,0.6
1131,cyfieithydd,võõras,nouns,0.65
1132,allwedd,maja,nouns,0.65
1133,bowlen,saba,nouns,0.0
1134,gwirod,bänd,nouns,0.3
1135,yn uchel,õrnalt,adverbs,0.0
1136,ffantasi,reaalsus,nouns,0.75
1137,afal,kaste,nouns,0.4
1138,yr wyddor,pastakas,nouns,0.3
1139,gadael,sisenema,verbs,0.35
1140,colli,süüa tegema,verbs,0.0
1141,hyfforddwraig,mängija,nouns,0.9
1142,capten,madrus,nouns,1.35
1143,gorffennol,eellane,nouns,1.2
1144,ewythr,tädi,nouns,1.65
1145,cytuno,vaidlema,verbs,0.4
1146,gwyddbwyll,tuli,nouns,0.75
1147,minc,õli,nouns,0.2
1148,bwyd,programm,nouns,0.2
1149,incwm,maks,nouns,0.7
1150,garddwrn,käsivars,nouns,1.75
1151,hwyliau,emotsioon,nouns,3.1
1152,rhad,soodne,adjectives,4.65
1153,dynwared,portreteerima,verbs,2.75
1154,prif air,süntaks,nouns,0.65
1155,môr,rand,nouns,1.85
1156,cwmwl,torm,nouns,1.1
1157,pledio,küsima,verbs,2.45
1158,stondin,kast,nouns,0.6
1159,credu,teadma,verbs,1.9
1160,tywydd,laine,nouns,0.2
1161,gwahanu,väljuma,verbs,1.2
1162,duw,preester,nouns,1.1
1163,cyhyrau,luu,nouns,0.95
1164,siocled,pirukas,nouns,0.55
1165,niwl,pilv,nouns,2.95
1166,corff,õlg,nouns,0.85
1167,therapi,biheiviorism,nouns,1.4
1168,mwsogl,muru,nouns,1.55
1169,blanced,puit,nouns,0.05
1170,cwch,mootor,nouns,0.7
1171,stumog,keha,nouns,1.4
1172,haematoleg,patoloogia,nouns,1.5
1173,gwirio,male,nouns,0.75
1174,cyd-beilot,võmm,nouns,0.2
1175,ysgoloriaeth,õppemaks,nouns,1.15
1176,dioddefwr,telefon,nouns,0.15
1177,amsugno,tagasi võtma,verbs,0.45
1178,yn bwysig,ametlikult,adverbs,2.4
1179,mynychu,saatma,verbs,0.35
1180,cig,võileib,nouns,0.65
1181,beic,magamistuba,nouns,0.05
1182,ffon reoli,radar,nouns,0.25
1183,ysgwyd,koguma,verbs,0.05
1184,llawenydd,uhkus,nouns,1.55
1185,osgoi,eitama,verbs,2.15
1186,main,peenike,adjectives,4.5
1187,ffliwt,muusika,nouns,1.2
1188,penwythnos,rass,nouns,0.0
1189,cyfansoddiad,senat,nouns,0.95
1190,llosgfynydd,magma,nouns,1.95
1191,cythraul,ingel,nouns,0.75
1192,dod yn,teostama,verbs,0.9
1193,cyfreithiwr,jurist,nouns,4.15
1194,glofa,kalju,nouns,0.15
1195,tywysoges,kuningas,nouns,1.15
1196,trydanol,mehaaniline,adjectives,0.55
1197,dal,imiteerima,verbs,0.45
1198,rhedwr,sportlane,nouns,2.8
1199,crio,naerma,verbs,0.65
1200,gwawr,päev,nouns,1.35
1201,crogi,tapma,verbs,2.3
1202,dicter,pettumus,nouns,1.9
1203,amrwd,kole,adjectives,0.4
1204,gallu,pädevus,nouns,4.2
1205,pen,nina,nouns,0.85
1206,brwydr,sõjakus,nouns,1.75
1207,raced,lärm,nouns,0.45
1208,peiriant,mootor,nouns,3.1
1209,ton,ilm,nouns,0.2
1210,yn ddiffuant,ausalt,adverbs,4.75
1211,yn berffaith,tõesti,adverbs,0.7
1212,potel,konteiner,nouns,1.75
1213,llyfr,lugu,nouns,2.05
1214,cydweithredu,osalema,verbs,2.35
1215,sudd,lusikas,nouns,0.35
1216,casglu,korraldama,verbs,0.6
1217,treth,sissetulek,nouns,0.7
1218,lluosi,jagama,verbs,0.65
1219,arbed,koguma,verbs,2.05
1220,cwch,ankur,nouns,1.1
1221,da,viies,adjectives,0.35
1222,gwrando,mõistma,verbs,1.2
1223,diflannu,kahanema,verbs,1.9
1224,drwm,ruupor,nouns,0.75
1225,tudalen,lõik,nouns,1.2
1226,peilliad,tolmukas,nouns,1.55
1227,disgleirdeb,täht,nouns,1.25
1228,dod,minema,verbs,0.7
1229,isrwtîn,kompilaator,nouns,0.45
1230,ffidil,instrument,nouns,2.4
1231,chwedl,moraal,nouns,0.55
1232,llyfr,õnnetus,nouns,0.05
1233,gwynt,torm,nouns,2.7
1234,alltud,tulnukas,nouns,2.85
1235,banciwr,advokaat,nouns,1.0
1236,cywilydd,ärritunud,adjectives,0.25
1237,cyfradd,väärtus,nouns,2.2
1238,hunan,kindlustunne,nouns,0.65
1239,menyw,karusnahk,nouns,0.25
1240,cwpan,lusikas,nouns,1.1
1241,bar,vangla,nouns,0.9
1242,ffôl,lapsik,adjectives,1.85
1243,pren,palk,nouns,3.15
1244,pothell,illustratsioon,nouns,0.05
1245,meddyg,tuju,nouns,0.1
1246,mwynhau,meelt lahutama,verbs,1.8
1247,trydan,karp,nouns,0.2
1248,papur,puit,nouns,0.95
1249,dodrefn,voodi,nouns,1.9
1250,benthyciwr,krediit,nouns,1.45
1251,ceg,hammas,nouns,1.05
1252,tywydd,pilv,nouns,1.25
1253,anhygoel,räpane,adjectives,0.25
1254,creulon,ebaaus,adjectives,2.0
1255,cyfiawnder,vahekohus,nouns,1.3
1256,gwraig,vann,nouns,0.0
1257,cred,arvamus,nouns,3.7
1258,arloesol,loominguline,adjectives,3.15
1259,gwn,karusnahk,nouns,0.35
1260,car,voolik,nouns,0.2
1261,neigaredd,kuningas,nouns,0.8
1262,cath,jänes,nouns,1.0
1263,llwyddo,proovima,verbs,1.15
1264,modfedd,meeter,nouns,1.3
1265,ysbryd,jumal,nouns,1.05
1266,mwgwd,pidu,nouns,0.6
1267,mob,rahvahulk,nouns,5.1
1268,anghytuno,nõustuma,verbs,0.3
1269,pêl-fas,korvpall,nouns,1.75
1270,diflannu,kaduma,verbs,5.2
1271,gwacáu,määrama,verbs,0.05
1272,dicter,raev,nouns,4.35
1273,yn wallgof,kurvalt,adverbs,0.4
1274,gwaelod,ülaosa,nouns,0.6
1275,drws,kohalolek,nouns,0.2
1276,derbyn,tagasi lükkama,verbs,0.35
1277,traethu,meelde tuletama,verbs,1.15
1278,glaswellt,sammal,nouns,1.55
1279,uchel,ebaviisakas,adjectives,0.95
1280,diflas,väsinud,adjectives,1.1
1281,siarad,tunnistama,verbs,0.85
1282,eisiau,ihaldama,verbs,4.6
1283,eang,kitsas,adjectives,0.3
1284,clywed,kuulama,verbs,2.95
1285,blodyn,vastupidavus,nouns,0.25
1286,gwasgu,kallistama,verbs,1.75
1287,niwrosis,meel,nouns,1.2
1288,trosedd,rünnak,nouns,2.3
1289,telesgop,tool,nouns,0.0
1290,gweinidog,rabi,nouns,3.65
1291,gwahanu,lisama,verbs,0.2
1292,yn ddiweddar,realistlikult,adverbs,0.15
1293,emyn,vallutus,nouns,0.15
1294,llygoden,tekk,nouns,0.15
1295,dod â,kaebama,verbs,0.05
1296,dinistrio,tegema,verbs,0.45
1297,rheoli,hiir,nouns,0.0
1298,trychineb,õnnetus,nouns,3.85
1299,brwnt,hämmastav,adjectives,0.25
1300,gwych,rõõmustav,adjectives,2.5
1301,brigeryn,tolmendamine,nouns,1.55
1302,llynges,saar,nouns,0.3
1303,afal,dieet,nouns,0.65
1304,o ddifrif,siiralt,adverbs,1.55
1305,cynhwysydd,hiir,nouns,0.2
1306,cyrraedd,lahkuma,verbs,0.45
1307,wedi ymlacio,stressis,adjectives,0.3
1308,amgueddfa,piparmünt,nouns,0.0
1309,llwy,mahl,nouns,0.35
1310,yn swyddogol,tähtsalt,adverbs,2.4
1311,rhoi,varastama,verbs,0.2
1312,clwstwr,rahvahulk,nouns,2.65
1313,alcohol,kokteil,nouns,1.85
1314,canser,haigus,nouns,2.55
1315,dimai,suurus,nouns,0.35
1316,cysyniad,uskumus,nouns,2.6
1317,reis,uba,nouns,1.0
1318,hollalluogrwydd,ülevõim,nouns,2.5
1319,ffa,riis,nouns,1.0
1320,caled,lihtne,adjectives,0.25
1321,cyflwr,pakt,nouns,0.1
1322,pobl,rahvastik,nouns,2.55
1323,gwyddonydd,õde,nouns,0.3
1324,dyddiad,kalender,nouns,2.15
1325,ceisio,edu saavutama,verbs,1.15
1326,tlodi,jõukus,nouns,0.6
1327,gair,ajaleht,nouns,0.85
1328,rhagflaenydd,minevik,nouns,1.2
1329,chwilio,pärima,verbs,1.25
1330,bwrdd,päikeseloojang,nouns,0.05
1331,injan,masin,nouns,3.1
1332,amsugno,õppima,verbs,0.8
1333,ffonoleg,ekraan,nouns,0.1
1334,enaid,vend,nouns,0.3
1335,taliad,tasu,nouns,4.1
1336,llinyn,juhe,nouns,1.7
1337,rhyfedd,harilik,adjectives,0.35
1338,symbol,kood,nouns,1.95
1339,derbyn,tunnistama,verbs,3.05
1340,cefnfor,meri,nouns,3.55
1341,buddugoliaeth,triumf,nouns,4.15
1342,ymholi,mõtlema,verbs,0.95
1343,bowlio,keeglimängija,nouns,1.45
1344,lwcus,häbenev,adjectives,0.05
1345,heddwch,õnn,nouns,1.8
1346,gwddf,keel,nouns,0.8
1347,brecwast,õhtusöök,nouns,1.25
1348,ynys,rand,nouns,1.1
1349,gadael,ilmuma,verbs,0.25
1350,beic,auto,nouns,1.1
1351,nerf,soolikas,nouns,0.4
1352,amddiffyn,katma,verbs,1.15
1353,dyn,laps,nouns,0.7
1354,semester,periood,nouns,4.3
1355,anghenfil,deemon,nouns,3.05
1356,ystafell,voodi,nouns,0.5
1357,jar,tass,nouns,1.15
1358,gwyn,kitsas,adjectives,0.1
1359,calendr,kuupäev,nouns,2.15
1360,nofel,kirjanik,nouns,1.3
1361,diflas,turvaline,adjectives,0.25
1362,ymosodiad,kuritegu,nouns,2.3
1363,cyfrwys,karm,adjectives,0.3
1364,yn gyfrifol,iseseisvalt,adverbs,0.85
1365,rhaniad,korrutamine,nouns,1.1
1366,carchar,valik,nouns,0.2
1367,ffabrig,lina,nouns,2.3
1368,tarth,pilv,nouns,2.33
1369,calibr,vihmavari,nouns,0.05
1370,ci,hobune,nouns,0.9
1371,gwahaniaethu,vaidlema,verbs,0.95
1372,siampên,õlu,nouns,1.3
1373,bacwn,hommikusöök,nouns,0.75
1374,bara,jahu,nouns,1.1
1375,iard,meeter,nouns,1.4
1376,awyren,helikopter,nouns,2.55
1377,yn obeithiol,võimalikult,adverbs,1.3
1378,caniau,pudel,nouns,0.65
1379,anifail,inimene,nouns,0.85
1380,brwydro,tapma,verbs,0.95
